Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hale,DEM John Whitmire,LIB Gilberto VelasqueL Jr.,Totals
"State Senator, District 15",0405,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",0407,688,793,1481,3769,39.29%,922,490,26,1438
"State Senator, District 15",0410,132,80,212,899,23.58%,44,160,2,206
"State Senator, District 15",0413,767,386,1153,2992,38.54%,431,686,15,1132
"State Senator, District 15",0414,654,480,1134,3453,32.84%,852,247,17,1116
"State Senator, District 15",0424,240,111,351,967,36.30%,194,139,13,346
"State Senator, District 15",0444,687,583,1270,3262,38.93%,728,474,37,1239
"State Senator, District 15",0445,499,348,847,2026,41.81%,526,289,19,834
"State Senator, District 15",0446,31,22,53,291,18.21%,22,27,1,50
"State Senator, District 15",0448,590,778,1368,3138,43.59%,686,603,43,1332
"State Senator, District 15",0449,12,23,35,198,17.68%,3,31,0,34
"State Senator, District 15",0450,435,328,763,2635,28.96%,203,526,17,746
"State Senator, District 15",0456,482,362,844,3513,24.03%,487,339,6,832
"State Senator, District 15",0457,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",0460,554,331,885,2837,31.19%,215,635,26,876
"State Senator, District 15",0467,213,189,402,1270,31.65%,92,295,8,395
"State Senator, District 15",0468,352,443,795,3598,22.10%,235,521,17,773
"State Senator, District 15",0494,381,247,628,2467,25.46%,75,526,14,615
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hale,DEM John Whitmire,LIB Gilberto VelasqueL Jr.,Totals
"State Senator, District 15",0496,190,315,505,2160,23.38%,187,291,14,492
"State Senator, District 15",0498,353,323,686,2297,29.87%,279,376,18,673
"State Senator, District 15",0501,341,417,758,1801,42.09%,232,479,27,738
"State Senator, District 15",0505,631,562,1193,3773,31.62%,486,647,37,1170
"State Senator, District 15",0511,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 15",0516,1000,800,1800,5356,33.61%,933,795,34,1762
"State Senator, District 15",0520,473,457,930,4580,20.31%,158,737,17,912
"State Senator, District 15",0528,14,12,26,90,28.89%,2,23,0,25
"State Senator, District 15",0532,205,146,351,1048,33.49%,247,91,8,346
"State Senator, District 15",0549,343,418,761,2663,28.58%,101,633,12,746
"State Senator, District 15",0576,485,318,803,2734,29.37%,19,763,7,789
"State Senator, District 15",0577,147,88,235,608,38.65%,136,92,3,231
"State Senator, District 15",0578,409,538,947,1799,52.64%,515,396,17,928
"State Senator, District 15",0592,133,157,290,1350,21.48%,73,200,10,283
"State Senator, District 15",0593,543,564,1107,4380,25.27%,513,521,43,1077
"State Senator, District 15",0594,561,326,887,2490,35.62%,235,625,11,871
"State Senator, District 15",0597,367,394,761,3653,20.83%,311,422,19,752
"State Senator, District 15",0599,850,578,1428,4950,28.85%,482,889,33,1404
