Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM George E. Risner,Totals
"Justice of the Peace, Precinct 2, Place 2",0816,10,0,10,73,13.70%,5,5
"Justice of the Peace, Precinct 2, Place 2",0818,86,39,125,616,20.29%,98,98
"Justice of the Peace, Precinct 2, Place 2",0821,124,120,244,1242,19.65%,210,210
"Justice of the Peace, Precinct 2, Place 2",0838,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 2",0842,421,434,855,3259,26.24%,520,520
"Justice of the Peace, Precinct 2, Place 2",0845,54,9,63,134,47.01%,27,27
"Justice of the Peace, Precinct 2, Place 2",0849,201,291,492,2124,23.16%,316,316
"Justice of the Peace, Precinct 2, Place 2",0850,46,41,87,210,41.43%,58,58
"Justice of the Peace, Precinct 2, Place 2",0857,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 2",0860,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 2",0862,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 2",0905,123,100,223,904,24.67%,138,138
"Justice of the Peace, Precinct 2, Place 2",0908,0,1,1,0,0.00%,1,1
"Justice of the Peace, Precinct 2, Place 2",0925,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 2, Place 2",0935,3,2,5,54,9.26%,2,2
"Justice of the Peace, Precinct 2, Place 2",0996,135,140,275,694,39.63%,140,140
"Justice of the Peace, Precinct 2, Place 2",1039,2,0,2,25,8.00%,2,2
"Justice of the Peace, Precinct 2, Place 2",1050,60,63,123,537,22.91%,88,88
"Justice of the Peace, Precinct 2, Place 2",1058,241,285,526,1243,42.32%,431,431
"Justice of the Peace, Precinct 2, Place 2",Totals:,16925,17479,34404,128182,,21188,21188
