Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0103,700,714,1414,5371,28.33%,871,132,1003
County Judge,0104,530,231,781,1905,39.95%,51,98,147
County Judge,0105,198,210,408,2185,18.75%,181,57,218
County Judge,0108,18,7,25,294,8.50%,18,2,18
County Judge,0107,154,197,351,2032,17.27%,73,57,130
County Judge,0108,558,272,940,3385,27.93%,820,73,893
County Judge,0109,529,245,774,2824,27.41%,44,83,127
County Judge,0110,854,494,1148,3042,37.74%,805,128,931
County Judge,0111,818,795,1811,4102,39.27%,1250,141,1391
County Judge,0112,542,485,1027,2978,34.51%,805,78,883
County Judge,0113,582,429,991,2847,37.44%,875,110,785
County Judge,0114,707,547,1254,3311,37.87%,1053,88,1121
County Judge,0115,238,150,388,1800,21.58%,74,80,134
County Judge,0118,982,778,1758,3147,55.88%,1487,110,1577
County Judge,0117,215,228,441,1880,23.48%,245,80,305
County Judge,0118,304,123,427,759,58.28%,378,17,393
County Judge,0119,1288,1024,2312,5500,42.04%,1947,137,2084
County Judge,0120,712,422,1134,3191,35.54%,825,115,940
County Judge,0121,92,178,270,848,31.84%,198,18,214
County Judge,0122,352,225,577,1890,30.53%,51,59,110
County Judge,0123,284,288,572,1392,41.09%,228,170,398
County Judge,0124,1734,1292,3028,7254,41.71%,2508,195,2701
County Judge,0125,415,332,747,2405,31.08%,494,100,594
County Judge,0128,893,487,1380,3100,43.87%,1243,41,1284
County Judge,0127,435,154,589,1838,32.08%,442,42,484
County Judge,0128,445,707,1152,2290,50.31%,852,123,975
County Judge,0129,1030,1200,2230,5748,38.81%,1558,293,1851
County Judge,0130,727,523,1250,2333,53.58%,989,90,1079
County Judge,0131,251,259,510,1935,28.38%,148,79,227
County Judge,0132,593,323,918,2387,38.37%,81,75,138
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0133,513,858,1371,2662,51.50%,968,164,1132
County Judge,0134,192,265,457,1437,31.80%,238,74,312
County Judge,0135,727,579,1305,2671,48.90%,990,125,1115
County Judge,0136,503,371,874,2013,43.42%,107,202,309
County Judge,0137,166,141,307,716,42.88%,189,57,246
County Judge,0138,296,199,495,1699,29.13%,36,45,81
County Judge,0139,699,551,1250,3037,41.16%,703,252,955
County Judge,0140,699,480,1179,3214,36.68%,262,269,531
County Judge,0141,80,80,160,855,18.71%,108,11,119
County Judge,0142,87,103,190,902,21.06%,76,33,109
County Judge,0143,1962,580,2542,6386,39.81%,1950,187,2137
County Judge,0144,216,158,374,1093,34.22%,21,36,57
County Judge,0145,264,213,477,1538,31.01%,22,47,69
County Judge,0146,426,519,945,2008,47.06%,536,199,735
County Judge,0147,589,329,1018,3008,33.84%,202,159,361
County Judge,0148,500,780,1280,2540,50.39%,697,264,961
County Judge,0149,1621,737,2358,7993,29.50%,1357,324,1681
County Judge,0150,236,169,405,1256,32.25%,33,40,73
County Judge,0151,137,79,216,826,26.15%,18,24,42
County Judge,0152,213,299,512,2788,18.36%,178,70,248
County Judge,0153,125,206,331,1808,18.31%,139,42,181
County Judge,0154,249,183,432,2190,19.73%,153,68,221
County Judge,0155,1022,619,1641,4109,39.94%,1234,127,1361
County Judge,0156,799,326,1125,3071,36.63%,113,185,298
County Judge,0157,448,214,662,2236,29.61%,53,74,127
County Judge,0158,600,315,915,3035,30.15%,58,90,148
County Judge,0159,116,127,243,998,24.35%,62,53,115
County Judge,0160,122,73,195,696,28.02%,15,23,38
County Judge,0161,163,141,304,991,30.68%,24,31,55
County Judge,0162,101,83,184,1265,14.55%,78,25,103
County Judge,0163,230,320,550,3037,18.11%,274,53,327
County Judge,0164,182,205,387,1420,27.25%,35,29,64
County Judge,0165,535,483,1018,2334,43.62%,747,109,856
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0166,158,233,391,1028,38.04%,158,113,271
County Judge,0167,3,0,3,24,12.50%,1,0,1
County Judge,0168,92,58,150,503,29.82%,5,17,22
County Judge,0169,518,251,767,2513,30.52%,54,86,140
County Judge,0170,271,141,412,1869,22.04%,232,52,284
County Judge,0171,202,198,400,1604,24.94%,28,37,65
County Judge,0172,88,80,166,621,26.73%,81,26,107
County Judge,0173,817,739,1556,3599,43.23%,1314,91,1405
County Judge,0174,829,733,1562,3296,47.39%,1190,124,1314
County Judge,0175,557,749,1306,2618,49.89%,828,200,1028
County Judge,0176,344,451,795,1602,49.63%,544,100,644
County Judge,0177,278,326,604,1496,40.37%,396,88,484
County Judge,0178,504,365,869,1765,49.24%,678,63,741
County Judge,0179,256,188,444,1575,28.19%,268,67,335
County Judge,0180,470,343,813,2834,28.69%,60,101,161
County Judge,0181,175,262,437,2061,21.20%,182,58,240
County Judge,0182,590,974,1564,3405,45.93%,1141,175,1316
County Judge,0183,519,794,1313,2491,52.71%,1028,119,1147
County Judge,0184,106,135,241,994,24.25%,91,41,132
County Judge,0185,283,292,575,1933,29.75%,257,49,306
County Judge,0186,97,106,203,798,25.44%,47,20,67
County Judge,0187,21,25,46,311,14.79%,15,9,24
County Judge,0188,153,146,299,1637,18.27%,154,36,190
County Judge,0189,239,360,599,1465,40.89%,386,103,489
County Judge,0190,120,177,297,1723,17.24%,139,40,179
County Judge,0191,79,126,205,1366,15.01%,100,30,130
County Judge,0192,380,225,605,1959,30.88%,66,70,136
County Judge,0193,173,187,360,1074,33.52%,32,71,103
County Judge,0194,350,431,781,1912,40.85%,316,214,530
County Judge,0195,269,278,547,1694,32.29%,46,62,108
County Judge,0196,52,32,84,316,26.58%,11,11,22
County Judge,0197,543,309,852,2914,29.24%,56,101,157
County Judge,0198,53,74,127,642,19.78%,7,15,22
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0199,812,661,1473,3216,45.80%,1197,104,1301
County Judge,0200,962,536,1498,3382,44.29%,838,289,1127
County Judge,0201,98,87,185,724,25.55%,12,18,30
County Judge,0202,217,189,406,1464,27.73%,35,50,85
County Judge,0203,107,68,175,960,18.23%,55,23,78
County Judge,0204,816,784,1600,3487,45.88%,1043,262,1305
County Judge,0205,464,171,635,1664,38.16%,39,72,111
County Judge,0206,362,462,824,2779,29.65%,321,223,544
County Judge,0207,265,261,526,1188,44.28%,245,113,358
County Judge,0208,322,262,584,2195,26.61%,211,62,273
County Judge,0209,0,2,2,0,0.00%,2,0,2
County Judge,0210,502,467,969,2533,38.26%,185,228,413
County Judge,0211,307,386,693,2914,23.78%,312,116,428
County Judge,0212,95,155,251,1300,19.31%,69,26,95
County Judge,0213,826,913,1739,3350,51.91%,1492,89,1581
County Judge,0214,404,491,895,1854,48.27%,661,103,764
County Judge,0215,421,711,1132,2258,50.13%,796,148,944
County Judge,0216,362,223,585,1945,30.08%,77,72,149
County Judge,0217,844,631,1475,2678,55.08%,1117,131,1248
County Judge,0218,391,402,793,2292,34.60%,360,159,519
County Judge,0219,496,436,932,2767,33.68%,111,131,242
County Judge,0220,325,187,512,2310,22.16%,384,31,415
County Judge,0221,332,369,701,2529,27.72%,379,110,489
County Judge,0222,623,674,1297,2501,51.86%,794,219,1013
County Judge,0223,563,377,940,3582,26.24%,348,277,625
County Judge,0224,530,456,986,2238,44.06%,579,175,754
County Judge,0225,376,405,781,3305,23.63%,434,103,537
County Judge,0226,227,307,534,2436,21.92%,170,74,244
County Judge,0227,558,423,981,1785,54.96%,834,59,893
County Judge,0228,362,195,557,1050,53.05%,75,118,193
County Judge,0229,31,96,127,815,15.58%,66,15,81
County Judge,0230,185,116,301,1089,27.64%,16,29,45
County Judge,0231,233,264,497,2232,22.27%,175,85,260
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0232,351,474,835,1760,47.44%,565,111,676
County Judge,0233,890,801,1691,4445,38.04%,1024,306,1330
County Judge,0234,1192,913,2105,3993,52.72%,1750,95,1845
County Judge,0235,240,158,398,1356,29.35%,28,50,78
County Judge,0236,354,235,589,2079,28.33%,33,62,95
County Judge,0237,415,253,669,2161,30.96%,28,71,99
County Judge,0238,339,245,584,1925,30.34%,32,68,100
County Judge,0239,383,236,619,1964,31.52%,38,55,93
County Judge,0240,585,243,828,2649,31.26%,63,81,144
County Judge,0241,222,229,451,2372,19.01%,224,41,265
County Judge,0242,173,162,335,1596,20.99%,210,28,238
County Judge,0243,138,43,181,457,39.61%,12,18,30
County Judge,0244,480,425,905,3117,29.03%,560,120,680
County Judge,0245,946,799,1745,5828,29.94%,1294,174,1468
County Judge,0246,584,513,1197,3315,36.11%,919,76,995
County Judge,0247,173,254,427,1582,26.99%,33,63,96
County Judge,0248,161,167,328,2100,15.62%,108,45,153
County Judge,0249,461,348,809,2719,29.75%,596,72,668
County Judge,0250,109,164,273,964,28.32%,22,32,54
County Judge,0251,278,436,714,2089,34.18%,51,66,117
County Judge,0252,504,312,816,2377,34.33%,49,78,127
County Judge,0253,379,222,601,2177,27.61%,28,62,90
County Judge,0254,93,112,205,1550,13.23%,77,15,92
County Judge,0255,525,648,1173,2482,47.26%,677,213,890
County Judge,0256,575,449,1024,3254,31.47%,558,167,725
County Judge,0257,204,245,449,2523,17.80%,167,54,221
County Judge,0258,839,800,1539,3322,49.34%,1317,128,1445
County Judge,0259,555,382,1038,2361,43.96%,80,128,208
County Judge,0260,152,145,307,1260,24.37%,206,32,238
County Judge,0261,124,120,244,1417,17.22%,120,27,147
County Judge,0262,758,600,1358,4397,30.88%,966,162,1128
County Judge,0263,858,712,1570,3693,42.51%,1264,115,1379
County Judge,0264,480,457,937,2963,31.62%,657,113,770
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0265,988,759,1747,3584,48.74%,1440,101,1541
County Judge,0266,259,257,516,2104,24.52%,304,56,360
County Judge,0267,146,166,312,1327,23.51%,174,41,215
County Judge,0268,435,717,1152,2493,46.21%,808,129,937
County Judge,0269,702,453,1155,2030,56.90%,970,62,1032
County Judge,0270,817,672,1489,3605,41.30%,954,242,1196
County Judge,0271,656,382,1038,2518,41.22%,71,114,185
County Judge,0272,264,292,555,2162,25.72%,270,116,386
County Judge,0273,548,689,1237,2470,50.08%,1058,67,1125
County Judge,0274,588,346,934,2153,43.38%,720,87,807
County Judge,0275,207,236,443,1850,23.95%,142,74,216
County Judge,0276,572,231,803,2536,31.66%,39,83,122
County Judge,0277,170,186,356,1492,23.86%,197,28,225
County Judge,0278,421,320,741,2454,30.20%,469,64,533
County Judge,0279,250,223,473,1941,24.37%,314,49,363
County Judge,0280,130,188,318,1524,20.87%,156,45,201
County Judge,0281,655,742,1397,2633,53.06%,904,178,1082
County Judge,0282,314,455,769,2042,37.66%,540,75,615
County Judge,0283,0,0,0,0,0.00%,0,0,0
County Judge,0284,574,335,910,3172,28.69%,479,136,615
County Judge,0285,448,378,826,2540,32.52%,121,78,199
County Judge,0286,1255,821,2076,6170,33.65%,334,338,672
County Judge,0287,370,477,847,1621,52.25%,522,153,675
County Judge,0288,532,313,845,2210,38.24%,61,66,127
County Judge,0289,186,212,398,1564,25.45%,225,50,275
County Judge,0290,245,298,543,1642,33.07%,425,39,464
County Judge,0291,325,235,560,1225,45.71%,350,79,429
County Judge,0292,207,147,354,1356,26.11%,61,51,112
County Judge,0293,356,447,803,1759,45.65%,450,152,602
County Judge,0294,488,221,709,2097,33.81%,38,80,118
County Judge,0295,148,103,251,885,28.36%,17,25,42
County Judge,0296,327,340,667,1713,38.94%,425,85,510
County Judge,0297,280,249,529,2012,26.29%,279,79,358
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0298,415,358,773,2121,36.45%,508,90,598
County Judge,0299,178,117,295,1353,21.80%,130,47,177
County Judge,0300,1389,1016,2405,5406,44.49%,2020,153,2173
County Judge,0301,210,255,465,2352,19.77%,213,43,256
County Judge,0302,353,343,696,2720,25.59%,449,67,516
County Judge,0303,922,784,1706,3245,52.57%,1469,84,1553
County Judge,0304,606,505,1111,2298,48.35%,747,133,880
County Judge,0305,524,432,956,4191,22.81%,460,118,578
County Judge,0306,649,342,991,1879,52.74%,784,85,869
County Judge,0307,733,670,1403,3099,45.27%,1058,147,1205
County Judge,0308,199,130,329,1296,25.39%,138,47,185
County Judge,0309,708,593,1301,2524,51.55%,1126,59,1185
County Judge,0310,386,279,665,1435,46.34%,498,63,561
County Judge,0311,486,421,907,2986,30.38%,558,90,648
County Judge,0312,742,457,1199,3636,32.98%,849,107,956
County Judge,0313,9,0,9,62,14.52%,7,1,8
County Judge,0314,1121,913,2034,5647,36.02%,1384,200,1584
County Judge,0315,478,388,866,1608,53.86%,616,102,718
County Judge,0316,412,341,753,1537,48.99%,505,98,603
County Judge,0317,248,209,457,1588,28.78%,188,95,283
County Judge,0318,834,568,1402,3660,38.31%,175,208,383
County Judge,0319,512,230,742,2158,34.38%,92,97,189
County Judge,0320,234,168,402,1537,26.15%,228,41,269
County Judge,0321,262,191,453,2346,19.31%,202,56,258
County Judge,0322,181,129,310,1226,25.29%,119,53,172
County Judge,0323,278,211,489,1722,28.40%,276,89,365
County Judge,0324,532,646,1178,2336,50.43%,843,126,969
