Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0447,93,86,179,637,28.10%,69,44,113
County Judge,0448,590,778,1368,3138,43.59%,901,196,1097
County Judge,0449,12,23,35,198,17.68%,4,7,11
County Judge,0450,435,328,763,2635,28.96%,298,124,422
County Judge,0451,1002,510,1512,2687,56.27%,1301,73,1374
County Judge,0452,554,444,998,3048,32.74%,784,71,855
County Judge,0453,231,262,493,1937,25.45%,234,79,313
County Judge,0454,594,248,842,2561,32.88%,52,70,122
County Judge,0455,367,165,532,1689,31.50%,39,52,91
County Judge,0456,482,362,844,3513,24.03%,543,60,603
County Judge,0457,0,0,0,0,0.00%,0,0,0
County Judge,0458,471,237,708,1924,36.80%,84,99,183
County Judge,0459,951,474,1425,3021,47.17%,1185,97,1282
County Judge,0460,554,331,885,2837,31.19%,311,128,439
County Judge,0461,1155,735,1900,3871,49.08%,1459,142,1601
County Judge,0462,674,619,1293,3384,38.21%,599,176,775
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0463,480,404,884,3326,26.58%,461,135,596
County Judge,0464,356,430,786,2257,34.82%,599,63,662
County Judge,0465,687,520,1207,3564,33.87%,754,157,911
County Judge,0466,1058,614,1672,4184,39.96%,1081,178,1259
County Judge,0467,213,189,402,1270,31.65%,120,54,174
County Judge,0468,352,443,795,3598,22.10%,316,93,409
County Judge,0469,1294,547,1841,3985,46.20%,1531,117,1648
County Judge,0470,185,176,361,1326,27.22%,290,25,315
County Judge,0471,375,380,755,2387,31.63%,641,42,683
County Judge,0472,198,278,476,1081,44.03%,277,88,365
County Judge,0473,599,391,990,1806,54.82%,754,87,841
County Judge,0474,559,588,1147,3037,37.77%,860,115,975
County Judge,0475,189,267,456,1809,25.21%,256,53,309
County Judge,0476,404,473,877,2430,36.09%,545,92,637
County Judge,0477,737,567,1304,3505,37.20%,1067,97,1164
County Judge,0478,958,657,1615,4461,36.20%,1182,170,1352
County Judge,0479,638,612,1250,2714,46.06%,1005,96,1101
County Judge,0480,493,450,943,2415,39.05%,730,91,821
County Judge,0481,770,623,1393,3482,40.01%,1119,112,1231
County Judge,0482,878,630,1508,4373,34.48%,1157,160,1317
County Judge,0483,1042,478,1520,4308,35.28%,984,192,1176
County Judge,0484,1107,930,2037,4979,40.91%,1601,160,1761
County Judge,0485,1095,911,2006,5388,37.23%,1662,130,1792
County Judge,0486,873,855,1728,3866,44.70%,1439,108,1547
County Judge,0487,570,294,864,3860,22.38%,349,94,443
County Judge,0488,268,254,522,1719,30.37%,235,75,310
County Judge,0489,350,290,640,1893,33.81%,279,88,367
County Judge,0490,444,368,812,1975,41.11%,363,145,508
County Judge,0491,314,372,686,1888,36.33%,461,107,568
County Judge,0492,556,410,966,2335,41.37%,669,95,764
County Judge,0493,479,322,801,1853,43.23%,594,80,674
County Judge,0494,381,247,628,2467,25.46%,124,71,195
County Judge,0495,522,523,1045,2375,44.00%,811,78,889
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0496,190,315,505,2160,23.38%,236,66,302
County Judge,0497,526,243,769,2257,34.07%,48,77,125
County Judge,0498,363,323,686,2297,29.87%,364,110,474
County Judge,0499,750,518,1268,2326,54.51%,1019,101,1120
County Judge,0500,729,715,1444,3507,41.17%,1077,128,1205
County Judge,0501,341,417,758,1801,42.09%,365,173,538
County Judge,0502,477,350,827,2501,33.07%,699,44,743
County Judge,0503,174,116,290,1374,21.11%,134,30,164
County Judge,0504,624,527,1151,2288,50.31%,846,135,981
County Judge,0505,531,562,1193,3773,31.62%,679,217,896
County Judge,0506,665,670,1335,3502,38.12%,346,224,570
County Judge,0507,221,149,370,2452,15.09%,93,44,137
County Judge,0508,492,412,904,3287,27.50%,404,96,500
County Judge,0509,753,596,1349,3732,36.15%,1022,122,1144
County Judge,0510,687,514,1201,3590,33.45%,694,191,885
County Judge,0511,0,0,0,0,0.00%,0,0,0
County Judge,0512,602,660,1262,5057,24.96%,674,171,845
County Judge,0513,1019,487,1506,2894,52.04%,1244,112,1356
County Judge,0514,953,720,1673,4275,39.13%,1329,120,1449
County Judge,0515,942,683,1625,3455,47.03%,1396,88,1484
County Judge,0516,1000,800,1800,5356,33.61%,1073,217,1290
County Judge,0517,481,256,737,2954,24.95%,471,91,562
County Judge,0518,635,693,1328,3943,33.68%,959,130,1089
County Judge,0519,623,493,1116,2966,37.63%,881,113,994
County Judge,0520,473,457,930,4580,20.31%,224,174,398
County Judge,0521,471,464,935,2866,32.62%,572,117,689
County Judge,0522,715,572,1288,2689,47.90%,1059,90,1149
County Judge,0523,751,415,1166,3052,38.20%,871,107,978
County Judge,0524,567,459,1026,3410,30.09%,431,137,568
County Judge,0525,707,482,1189,3091,38.47%,381,180,561
County Judge,0526,58,84,152,780,19.49%,57,17,74
County Judge,0527,37,40,77,574,13.41%,46,5,51
County Judge,0528,14,12,26,90,28.89%,4,2,6
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0529,1043,491,1534,3710,41.35%,1357,78,1435
County Judge,0530,114,107,221,1196,18.48%,69,28,97
County Judge,0531,363,174,537,1145,46.90%,440,18,458
County Judge,0532,205,146,351,1048,33.49%,278,25,303
County Judge,0533,124,108,232,1119,20.73%,145,17,162
County Judge,0534,783,524,1,307,3837,34.06%,1066,74,1140
County Judge,0535,33,29,62,416,14.90%,34,8,42
County Judge,0536,554,780,1,334,5139,25.96%,633,155,788
County Judge,0537,855,778,1633,3050,53.54%,1274,82,1356
County Judge,0538,204,160,364,1303,27.94%,32,34,66
County Judge,0539,15,241,256,64,400.00%,91,54,145
County Judge,0540,378,316,694,1567,44.29%,375,124,499
County Judge,0541,784,505,1289,4599,28.03%,312,283,595
County Judge,0542,360,382,742,2557,29.02%,82,110,192
County Judge,0543,141,213,354,1565,22.62%,143,69,212
County Judge,0544,36,41,77,310,24.84%,15,9,24
County Judge,0545,596,620,1216,3629,33.51%,695,120,815
County Judge,0546,2,2,4,37,10.81%,3,1,4
County Judge,0547,501,466,967,2406,40.19%,728,89,817
County Judge,0548,285,293,579,2215,26.14%,346,58,404
County Judge,0549,343,418,761,2663,28.58%,148,105,253
County Judge,0550,501,431,932,3031,30.75%,584,112,696
County Judge,0551,1288,1394,2682,7034,38.13%,2155,183,2338
County Judge,0552,847,883,1730,3415,50.66%,1490,102,1592
County Judge,0553,578,529,1107,4686,23.62%,559,172,731
County Judge,0554,261,199,460,1757,26.18%,133,57,190
County Judge,0555,225,277,502,2219,22.62%,138,84,222
County Judge,0556,276,186,462,2319,19.92%,168,58,226
County Judge,0557,455,183,638,2830,22.54%,305,67,372
County Judge,0558,693,463,1156,4380,26.39%,514,196,710
County Judge,0559,640,494,1134,4969,22.82%,431,213,644
County Judge,0560,72,131,203,1120,18.13%,77,23,100
County Judge,0561,362,436,798,3064,26.04%,520,69,589
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0562,113,68,181,694,26.08%,33,22,55
County Judge,0563,1107,376,1483,3105,47.76%,1225,96,1321
County Judge,0564,470,426,896,3155,28.40%,332,218,550
County Judge,0565,108,78,186,1354,13.74%,50,37,87
County Judge,0566,417,324,741,2882,25.71%,304,155,459
County Judge,0567,301,193,494,2238,22.07%,195,80,275
County Judge,0568,876,685,1561,3594,43.43%,1145,150,1295
County Judge,0569,572,667,1239,3525,35.15%,757,203,960
County Judge,0570,238,210,448,1562,28.68%,207,114,321
County Judge,0571,155,149,304,1827,16.64%,144,23,167
County Judge,0572,555,375,930,3108,29.92%,549,145,694
County Judge,0573,290,151,441,1619,27.24%,22,51,73
County Judge,0574,31,42,73,402,18.16%,14,2,16
County Judge,0575,13,11,24,74,32.43%,20,2,22
County Judge,0576,485,318,803,2734,29.37%,49,97,146
County Judge,0577,147,88,235,608,38.65%,160,29,189
County Judge,0578,409,538,947,1799,52.64%,687,119,806
County Judge,0579,75,101,176,1056,16.67%,42,28,70
County Judge,0580,179,118,297,1031,28.81%,18,28,46
County Judge,0581,212,174,386,1032,37.40%,28,48,76
County Judge,0582,258,171,429,1588,27.02%,43,55,98
County Judge,0583,225,131,356,1262,28.21%,33,28,61
County Judge,0584,182,93,275,1014,27.12%,26,21,47
County Judge,0585,417,172,589,2511,23.46%,38,73,111
County Judge,0586,638,680,1318,4316,30.54%,865,141,1006
County Judge,0587,436,284,720,2598,27.71%,340,97,437
County Judge,0588,758,674,1432,3645,39.29%,1082,142,1224
County Judge,0589,500,386,886,3420,25.91%,546,115,661
County Judge,0590,772,399,1171,2162,54.16%,979,64,1043
County Judge,0591,183,231,414,2121,19.52%,155,53,208
County Judge,0592,133,157,290,1350,21.48%,92,50,142
County Judge,0593,543,564,1107,4380,25.27%,617,139,756
County Judge,0594,561,326,887,2490,35.62%,315,127,442
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0595,201,178,379,1693,22.39%,83,51,134
County Judge,0596,441,348,789,3007,26.24%,476,110,586
County Judge,0597,367,394,761,3653,20.83%,363,112,475
County Judge,0598,195,57,252,728,34.62%,214,16,230
County Judge,0599,850,578,1428,4950,28.85%,589,208,797
County Judge,0600,667,429,1096,3957,27.70%,507,141,648
County Judge,0601,1073,756,1829,4057,45.08%,1473,144,1617
County Judge,0602,293,235,528,1326,39.82%,411,49,460
County Judge,0603,554,794,1678,4843,34.65%,1147,205,1352
County Judge,0604,702,518,1220,3005,40.60%,1055,62,1117
County Judge,0605,907,556,1463,5582,26.21%,477,204,681
County Judge,0606,176,70,246,937,26.25%,17,22,39
County Judge,0607,52,51,113,728,15.52%,16,12,28
County Judge,0608,31,47,78,537,14.53%,51,5,56
County Judge,0609,557,680,1347,3384,39.80%,948,142,1090
County Judge,0610,231,188,419,1927,21.74%,244,49,293
County Judge,0611,495,242,737,2488,29.62%,46,78,124
County Judge,0612,996,497,1493,3307,45.15%,1193,121,1314
County Judge,0613,186,204,390,1554,25.10%,89,54,143
County Judge,0614,737,566,1303,4207,30.97%,597,165,762
County Judge,0615,450,299,779,1967,39.60%,540,72,612
County Judge,0616,739,663,1402,3436,40.80%,1069,105,1174
County Judge,0617,541,393,934,3809,24.52%,455,150,605
County Judge,0618,945,567,1513,6003,25.20%,856,197,1053
County Judge,0619,1219,803,2022,4297,47.06%,1600,176,1776
County Judge,0620,589,264,953,2897,32.90%,652,84,736
County Judge,0621,154,101,255,1133,22.51%,158,41,199
County Judge,0622,881,524,1405,4403,31.91%,961,148,1109
County Judge,0623,887,487,1374,3691,37.23%,1011,116,1127
County Judge,0624,1,1,2,3,66.67%,1,0,1
County Judge,0625,477,362,839,1820,46.10%,550,105,655
County Judge,0626,551,440,1021,2861,35.69%,658,141,799
County Judge,0627,346,322,668,3049,21.91%,280,87,367
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0628,152,219,371,1675,22.15%,226,37,263
County Judge,0629,37,53,90,696,12.93%,19,10,29
County Judge,0630,974,600,1574,3905,40.31%,259,332,591
County Judge,0631,822,404,1226,2846,43.08%,958,95,1053
County Judge,0632,7,4,11,343,3.21%,4,0,4
County Judge,0633,943,731,1674,3559,47.04%,1271,150,1421
County Judge,0634,458,442,900,3029,29.71%,639,112,751
County Judge,0635,743,485,1228,3393,36.19%,973,104,1077
County Judge,0636,836,874,1710,4140,41.30%,1530,50,1580
County Judge,0637,409,362,771,2512,30.69%,271,134,405
County Judge,0638,304,245,549,2204,24.91%,77,85,162
County Judge,0639,549,547,1096,2526,43.39%,927,54,981
County Judge,0640,641,459,1100,3733,29.47%,760,113,873
County Judge,0641,649,596,1245,3650,34.11%,887,116,1003
County Judge,0642,471,394,865,1764,49.04%,724,57,781
County Judge,0643,934,653,1587,5945,26.69%,733,247,980
County Judge,0644,1019,823,1842,5523,33.35%,1346,153,1499
County Judge,0645,654,594,1248,4185,29.82%,770,190,960
County Judge,0646,364,287,651,2220,29.32%,264,93,357
County Judge,0647,904,470,1374,6084,22.58%,475,162,637
County Judge,0648,838,579,1417,3367,42.08%,1104,107,1211
County Judge,0649,687,434,1121,4576,24.50%,426,177,603
County Judge,0650,906,766,1672,3888,43.00%,1331,117,1448
County Judge,0651,963,766,1729,5128,33.72%,1228,156,1384
County Judge,0652,467,515,982,2815,34.88%,244,166,410
County Judge,0653,0,4,4,0,0.00%,0,1,1
County Judge,0654,950,1005,1955,6208,31.49%,1246,220,1466
County Judge,0655,1116,1079,2195,6855,32.02%,1499,231,1730
County Judge,0656,579,393,972,2674,36.35%,69,95,164
County Judge,0657,246,172,418,1292,32.35%,196,51,247
County Judge,0658,540,426,966,2807,34.41%,670,83,753
County Judge,0659,1149,788,1937,4856,39.89%,1463,146,1609
County Judge,0660,950,825,1775,5372,33.04%,283,288,571
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0661,675,765,1440,4567,31.53%,941,172,1113
County Judge,0662,1148,890,2038,4874,41.81%,1723,105,1828
County Judge,0663,717,797,1514,3346,45.25%,947,252,1199
County Judge,0664,352,250,602,2869,20.98%,175,65,240
County Judge,0665,482,348,830,2154,38.53%,728,43,771
County Judge,0666,0,0,0,0,0.00%,0,0,0
County Judge,0667,488,502,990,2149,46.07%,833,57,890
County Judge,0668,399,509,908,2775,32.72%,650,100,750
County Judge,0669,850,738,1588,3425,46.36%,1244,130,1374
County Judge,0670,955,471,1427,2983,47.84%,1216,91,1307
County Judge,0671,403,565,968,3037,31.87%,662,118,780
County Judge,0672,959,862,1821,5706,31.91%,1314,170,1484
County Judge,0673,729,516,1245,2995,41.57%,1039,66,1105
County Judge,0674,1071,618,1689,4091,41.29%,1329,123,1452
County Judge,0675,0,1,1,0,0.00%,1,0,1
County Judge,0676,0,0,0,0,0.00%,0,0,0
County Judge,0677,127,127,254,1266,20.06%,112,29,141
County Judge,0678,166,108,274,735,37.28%,199,26,225
County Judge,0679,635,520,1155,3381,34.16%,942,70,1012
County Judge,0680,21,14,35,162,21.60%,17,9,26
County Judge,0681,1,0,1,5,20.00%,1,0,1
County Judge,0682,711,654,1365,4216,32.38%,1072,102,1174
County Judge,0683,29,20,49,276,17.75%,12,13,25
County Judge,0684,27,22,49,223,21.97%,29,10,39
County Judge,0685,110,29,139,307,45.28%,74,10,84
County Judge,0686,17,12,29,208,13.94%,14,4,18
County Judge,0687,549,537,1086,2609,41.63%,816,118,934
County Judge,0688,999,617,1616,3504,46.12%,1386,91,1477
County Judge,0689,211,387,598,2346,25.49%,341,71,412
County Judge,0690,926,1104,2030,5102,39.79%,1726,122,1848
County Judge,0691,2,5,7,25,28.00%,4,1,5
County Judge,0692,444,548,992,2847,34.84%,778,99,877
County Judge,0693,167,91,258,666,38.74%,97,59,156
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0694,260,120,380,845,44.97%,297,34,331
County Judge,0695,232,193,425,1724,24.65%,296,35,331
County Judge,0696,261,207,468,1982,23.61%,314,39,353
County Judge,0697,605,613,1218,4413,27.60%,390,161,551
County Judge,0698,448,489,937,3189,29.38%,166,116,282
County Judge,0699,568,414,982,2343,41.91%,736,78,814
County Judge,0700,255,251,506,1371,36.91%,447,23,470
County Judge,0701,56,43,99,588,16.84%,66,12,78
County Judge,0702,54,70,134,539,24.86%,24,18,42
County Judge,0703,372,490,862,1882,45.80%,702,57,759
County Judge,0704,569,599,1168,3064,38.12%,988,56,1044
County Judge,0705,114,113,227,1523,14.90%,42,31,73
County Judge,0706,115,71,186,610,30.49%,106,29,135
County Judge,0707,153,86,239,707,33.80%,175,28,203
County Judge,0708,54,52,106,563,18.83%,56,13,69
County Judge,0709,1375,947,2322,6848,33.91%,1560,236,1796
County Judge,0710,371,462,833,2082,40.01%,557,127,684
County Judge,0711,702,506,1208,3484,34.67%,814,157,971
County Judge,0712,491,463,954,3670,25.99%,472,131,603
County Judge,0713,228,262,490,1907,25.69%,278,70,348
County Judge,0714,35,19,55,296,18.58%,37,4,41
County Judge,0715,176,187,363,1408,25.78%,232,37,269
County Judge,0716,449,407,856,2680,31.94%,646,72,718
County Judge,0717,373,250,623,2002,31.12%,111,82,193
County Judge,0718,1017,806,1823,4229,43.11%,1412,123,1535
County Judge,0719,247,137,384,1589,24.17%,262,34,296
County Judge,0720,994,780,1774,4282,41.43%,1425,129,1554
County Judge,0721,754,532,1286,2870,44.81%,950,140,1090
County Judge,0722,871,494,1365,4479,30.48%,185,185,370
County Judge,0723,401,202,603,1858,32.45%,187,78,265
County Judge,0724,151,128,279,766,36.42%,236,18,254
County Judge,0725,423,237,660,2237,29.50%,365,68,433
County Judge,0726,592,402,994,2087,47.63%,891,51,942
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0727,338,290,628,2488,25.24%,265,120,385
County Judge,0728,209,151,360,880,40.91%,251,46,297
County Judge,0729,136,59,195,464,42.03%,127,22,149
County Judge,0730,428,359,787,1747,45.05%,576,73,649
County Judge,0731,58,27,85,352,24.15%,34,12,46
County Judge,0732,441,324,765,1924,39.76%,536,83,619
County Judge,0733,13,7,20,215,9.30%,9,2,11
County Judge,0734,1558,962,2520,7005,35.97%,1873,222,2095
County Judge,0735,e,0,6,18,33.33%,5,1,6
County Judge,0736,3,1,4,22,18.18%,0,1,1
County Judge,0737,11,7,18,51,35.29%,15,1,16
County Judge,0738,139,100,239,1361,17.56%,58,28,86
County Judge,0739,353,301,654,2955,22.13%,371,60,431
County Judge,0740,96,98,194,939,20.66%,133,13,146
County Judge,0741,0,1,1,0,0.00%,0,1,1
County Judge,0742,0,11,11,0,0.00%,6,2,8
County Judge,0743,15,18,33,210,15.71%,22,5,27
County Judge,0744,456,392,848,2027,41.84%,614,92,706
County Judge,0745,683,372,1055,2494,42.30%,729,143,872
County Judge,0746,114,77,191,691,27.64%,104,37,141
County Judge,0747,550,467,1017,3743,27.17%,565,138,703
County Judge,0748,170,140,310,1403,22.10%,180,64,244
County Judge,0749,30,17,47,377,12.47%,15,5,20
County Judge,0750,111,96,207,767,26.99%,138,24,162
County Judge,0751,925,964,1889,5084,37.16%,1371,191,1562
County Judge,0752,286,200,486,1483,32.77%,390,27,417
County Judge,0753,55,73,128,259,49.42%,88,20,108
County Judge,0754,0,0,0,0,0.00%,0,0,0
County Judge,0755,442,584,1026,4294,23.89%,555,135,690
County Judge,0756,251,177,428,1600,26.75%,196,45,241
County Judge,0757,520,508,1028,4035,25.48%,263,161,424
County Judge,0758,1114,692,1806,4096,44.09%,1535,106,1641
County Judge,0759,465,413,878,2730,32.16%,611,92,703
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0760,1432,639,2071,4367,47.42%,1824,81,1905
County Judge,0761,548,253,801,1550,51.68%,623,77,700
County Judge,0762,0,0,0,0,0.00%,0,0,0
County Judge,0763,108,146,254,1212,20.96%,121,33,154
County Judge,0764,1133,774,1907,5217,36.55%,1297,172,1469
County Judge,0765,647,426,1073,4055,26.46%,507,188,695
County Judge,0766,40,25,65,392,16.58%,21,10,31
County Judge,0767,10,2,12,86,13.95%,6,3,9
County Judge,0768,1359,1015,2374,5857,40.53%,2029,132,2161
County Judge,0769,54,16,70,183,38.25%,6,4,10
County Judge,0770,31,25,56,323,17.34%,29,11,40
County Judge,0771,324,254,578,2426,23.83%,371,71,442
County Judge,0772,1792,851,2643,5709,46.30%,2166,172,2338
County Judge,0773,473,312,785,2918,26.90%,264,123,387
County Judge,0774,30,41,71,378,18.78%,18,13,31
County Judge,0775,18,3,21,92,22.83%,2,2,4
County Judge,0776,551,496,1047,3053,34.29%,681,108,789
County Judge,0777,46,40,86,652,13.19%,39,5,44
County Judge,0778,0,0,0,0,0.00%,0,0,0
County Judge,0779,64,51,115,940,12.23%,47,8,55
County Judge,0780,63,59,122,595,20.50%,74,15,89
County Judge,0781,666,273,939,3603,26.06%,476,111,587
County Judge,0782,368,370,738,2236,33.01%,517,77,594
County Judge,0783,49,13,62,294,21.09%,48,4,52
County Judge,0784,208,128,336,1079,31.14%,18,23,41
County Judge,0785,28,25,53,296,17.91%,34,6,40
County Judge,0786,100,98,198,1251,15.83%,85,26,111
County Judge,0787,46,52,98,488,20.08%,43,16,59
County Judge,0788,74,32,106,454,23.35%,56,11,67
County Judge,0789,0,3,3,3,100.00%,1,1,2
County Judge,0790,0,0,0,3,0.00%,0,0,0
County Judge,0791,0,0,0,0,0.00%,0,0,0
County Judge,0792,269,239,508,1865,27.24%,153,64,217
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0793,448,247,695,2484,27.98%,462,68,530
County Judge,0794,124,144,268,2710,9.89%,51,56,107
County Judge,0795,90,125,215,1217,17.67%,110,25,135
County Judge,0796,83,51,134,476,28.15%,86,12,98
County Judge,0797,0,0,0,0,0.00%,0,0,0
County Judge,0798,99,111,210,500,42.00%,104,44,148
County Judge,0799,28,15,43,161,26.71%,9,15,24
County Judge,0800,588,642,1230,2932,41.95%,931,109,1040
County Judge,0801,32,14,46,258,17.83%,16,9,25
County Judge,0802,51,27,78,312,25.00%,18,33,51
County Judge,0803,725,511,1236,2893,42.72%,969,96,1065
County Judge,0804,932,591,1523,4768,31.94%,1039,166,1205
County Judge,0805,765,533,1298,2866,45.29%,1108,81,1189
County Judge,0806,0,0,0,0,0.00%,0,0,0
County Judge,0807,211,204,415,2028,20.46%,124,101,225
County Judge,0808,12,17,29,131,22.14%,10,10,20
County Judge,0809,7,6,13,92,14.13%,4,2,6
County Judge,0810,9,16,25,211,11.85%,9,2,11
County Judge,0811,29,50,79,270,29.26%,31,12,43
County Judge,0812,0,0,0,0,0.00%,0,0,0
County Judge,0813,938,761,1699,5807,29.26%,943,215,1158
County Judge,0814,673,533,1206,5102,23.64%,400,199,599
County Judge,0815,0,0,0,0,0.00%,0,0,0
County Judge,0816,10,0,10,73,13.70%,3,2,5
County Judge,0817,0,0,0,0,0.00%,0,0,0
County Judge,0818,86,39,125,616,20.29%,37,22,59
County Judge,0819,64,30,94,240,39.17%,61,11,72
County Judge,0820,0,0,0,0,0.00%,0,0,0
County Judge,0821,124,120,244,1242,19.65%,51,29,80
County Judge,0822,332,167,499,1535,32.51%,36,43,79
County Judge,0823,821,564,1385,5087,27.23%,889,167,1056
County Judge,0824,428,282,710,2700,26.30%,201,108,309
County Judge,0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0826,73,50,123,358,34.36%,82,15,97
County Judge,0827,60,98,158,979,16.14%,82,19,101
County Judge,0828,541,388,929,1916,48.49%,802,55,857
County Judge,0829,54,22,76,264,28.79%,29,10,39
County Judge,0830,0,0,0,2,0.00%,0,0,0
County Judge,0831,0,0,0,0,0.00%,0,0,0
County Judge,0832,34,28,62,352,17.61%,24,9,33
County Judge,0833,0,1,1,20,5.00%,0,0,0
County Judge,0834,0,0,0,0,0.00%,0,0,0
County Judge,0835,38,19,57,290,19.66%,19,12,31
County Judge,0836,3,0,3,19,15.79%,2,1,3
County Judge,0837,0,0,0,0,0.00%,0,0,0
County Judge,0838,0,0,0,0,0.00%,0,0,0
County Judge,0839,136,118,254,1128,22.52%,76,57,133
County Judge,0840,381,174,555,1705,32.55%,229,65,294
County Judge,0841,0,0,0,0,0.00%,0,0,0
County Judge,0842,421,434,855,3259,26.24%,475,114,589
County Judge,0843,0,1,1,0,0.00%,0,0,0
County Judge,0844,1,0,1,11,9.09%,0,0,0
County Judge,0845,54,9,63,134,47.01%,42,5,47
County Judge,0846,23,24,47,229,20.52%,7,6,13
County Judge,0847,305,211,516,2015,25.61%,180,87,267
County Judge,0848,489,266,755,1856,40.68%,286,136,422
County Judge,0849,201,291,492,2124,23.16%,219,65,284
County Judge,0850,46,41,87,210,41.43%,39,10,49
County Judge,0851,1029,657,1686,4709,35.80%,1213,170,1383
County Judge,0852,0,0,0,1,0.00%,0,0,0
County Judge,0853,575,620,1296,2882,44.97%,1050,93,1143
County Judge,0854,15,26,41,172,23.84%,13,4,17
County Judge,0855,5,9,14,16,87.50%,4,4,8
County Judge,0856,0,1,1,0,0.00%,0,1,1
County Judge,0857,0,0,0,1,0.00%,0,0,0
County Judge,0858,63,34,97,343,28.28%,8,8,16
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0859,157,106,263,890,29.55%,87,25,112
County Judge,0860,0,0,0,0,0.00%,0,0,0
County Judge,0861,315,199,514,1842,27.90%,122,65,187
County Judge,0862,0,0,0,0,0.00%,0,0,0
County Judge,0863,101,54,155,584,26.54%,11,7,18
County Judge,0864,193,299,492,2569,19.15%,173,52,225
County Judge,0865,2,3,5,21,23.81%,0,0,0
County Judge,0866,0,0,0,0,0.00%,0,0,0
County Judge,0867,0,0,0,0,0.00%,0,0,0
County Judge,0868,236,271,507,2326,21.80%,203,64,267
County Judge,0869,53,39,92,470,19.57%,29,12,41
County Judge,0870,0,0,0,0,0.00%,0,0,0
County Judge,0871,1,0,1,3,33.33%,0,1,1
County Judge,0872,5,3,8,59,13.56%,4,1,5
County Judge,0873,98,75,173,737,23.47%,58,21,79
County Judge,0874,763,707,1470,3223,45.61%,1193,99,1292
County Judge,0875,904,527,1431,5147,27.80%,794,192,986
County Judge,0876,698,641,1339,3265,41.01%,1093,83,1176
County Judge,0877,476,382,858,3032,28.30%,411,162,573
County Judge,0878,427,354,781,1666,46.88%,675,49,724
County Judge,0879,407,294,701,2667,26.28%,402,105,507
County Judge,0880,543,447,990,2352,42.09%,846,46,892
County Judge,0881,593,540,1133,4479,25.30%,468,164,632
County Judge,0882,426,291,717,2422,29.60%,476,71,547
County Judge,0883,643,702,1345,5408,24.87%,341,205,546
County Judge,0884,57,25,82,377,21.75%,10,11,21
County Judge,0885,562,368,930,2619,35.51%,593,106,699
County Judge,0886,128,108,236,675,34.96%,160,42,202
County Judge,0887,50,67,117,418,27.99%,66,24,90
County Judge,0888,0,3,3,0,0.00%,2,1,3
County Judge,0889,14,0,14,57,24.56%,5,4,9
County Judge,0890,164,103,267,1095,24.38%,123,64,187
County Judge,0891,317,243,560,1331,42.07%,269,111,380
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ed Emmett,GRN David Collins,Totals
County Judge,0892,115,86,201,808,24.88%,93,51,144
County Judge,0893,0,2,2,6,33.33%,0,0,0
County Judge,0894,0,3,3,0,0.00%,3,0,3
County Judge,0895,155,286,442,793,55.74%,246,102,348
County Judge,0896,370,297,667,1459,45.72%,346,147,493
County Judge,0897,252,297,549,1701,32.28%,348,66,414
County Judge,0898,0,0,0,3,0.00%,0,0,0
County Judge,0899,2,0,2,8,25.00%,0,0,0
