Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0327,380,129,509,1729,29.44%,12,477,489
"Judge, County Probate Court No. 1",0328,151,140,291,1434,20.29%,126,151,277
"Judge, County Probate Court No. 1",0329,189,184,373,1397,26.70%,150,201,351
"Judge, County Probate Court No. 1",0330,334,253,587,1936,30.32%,327,228,555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0332,18,7,25,138,18.12%,13,8,21
"Judge, County Probate Court No. 1",0333,524,714,1238,3021,40.98%,860,309,1169
"Judge, County Probate Court No. 1",0334,83,42,125,742,16.85%,20,100,120
"Judge, County Probate Court No. 1",0335,121,98,219,1300,16.85%,87,115,202
"Judge, County Probate Court No. 1",0336,866,624,1490,4051,36.78%,133,1323,1456
"Judge, County Probate Court No. 1",0337,124,103,227,1029,22.06%,42,174,216
"Judge, County Probate Court No. 1",0338,730,391,1121,4934,22.72%,387,659,1046
"Judge, County Probate Court No. 1",0339,202,222,424,1757,24.13%,95,300,395
"Judge, County Probate Court No. 1",0340,1038,594,1632,3765,43.35%,1237,316,1553
"Judge, County Probate Court No. 1",0341,91,167,258,1290,20.00%,89,159,248
"Judge, County Probate Court No. 1",0342,675,605,1280,6526,19.61%,211,1032,1243
"Judge, County Probate Court No. 1",0343,189,271,460,1964,23.42%,141,293,434
"Judge, County Probate Court No. 1",0344,154,172,326,1160,28.10%,14,296,310
"Judge, County Probate Court No. 1",0345,156,165,321,1804,17.79%,98,204,302
"Judge, County Probate Court No. 1",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Probate Court No. 1",0347,592,436,1028,3387,30.35%,704,285,989
"Judge, County Probate Court No. 1",0348,438,208,646,1708,37.82%,502,113,615
"Judge, County Probate Court No. 1",0349,188,267,455,1349,33.73%,281,148,429
"Judge, County Probate Court No. 1",0350,524,526,1050,2909,36.09%,435,521,956
"Judge, County Probate Court No. 1",0351,1491,710,2201,4712,46.71%,1743,373,2116
"Judge, County Probate Court No. 1",0352,520,339,859,3205,26.80%,631,195,826
"Judge, County Probate Court No. 1",0353,665,451,1116,3862,28.90%,211,869,1080
"Judge, County Probate Court No. 1",0354,715,338,1053,3388,31.08%,261,758,1019
"Judge, County Probate Court No. 1",0355,301,264,565,1560,36.22%,50,499,549
"Judge, County Probate Court No. 1",0356,594,538,1132,2972,38.09%,751,329,1080
"Judge, County Probate Court No. 1",0357,837,575,1412,3517,40.15%,1038,324,1362
"Judge, County Probate Court No. 1",0358,212,254,466,2492,18.70%,56,396,452
"Judge, County Probate Court No. 1",0359,234,224,458,3061,14.96%,65,383,448
"Judge, County Probate Court No. 1",0360,522,380,902,2146,42.03%,480,338,818
"Judge, County Probate Court No. 1",0361,41,295,336,1673,20.08%,50,243,293
"Judge, County Probate Court No. 1",0362,1138,887,2025,5086,39.82%,1492,423,1915
"Judge, County Probate Court No. 1",0363,620,412,1032,3677,28.07%,473,527,1000
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0364,488,405,893,2658,33.60%,518,327,845
"Judge, County Probate Court No. 1",0365,478,231,709,1305,54.33%,59,633,692
"Judge, County Probate Court No. 1",0366,252,270,522,2454,21.27%,139,368,507
"Judge, County Probate Court No. 1",0367,170,138,308,1130,27.26%,72,229,301
"Judge, County Probate Court No. 1",0368,178,88,266,958,27.77%,72,183,255
"Judge, County Probate Court No. 1",0369,32,29,61,559,10.91%,16,43,59
"Judge, County Probate Court No. 1",0370,1532,1105,2637,6593,40.00%,1993,545,2538
"Judge, County Probate Court No. 1",0371,122,52,174,502,34.66%,6,161,167
"Judge, County Probate Court No. 1",0372,221,170,391,1224,31.94%,54,317,371
"Judge, County Probate Court No. 1",0373,21,12,33,157,21.02%,1,30,31
"Judge, County Probate Court No. 1",0374,85,93,158,738,21.41%,56,93,149
"Judge, County Probate Court No. 1",0375,254,220,474,2645,17.92%,240,195,435
"Judge, County Probate Court No. 1",0376,278,205,483,1910,25.29%,218,240,458
"Judge, County Probate Court No. 1",0377,525,583,1109,2920,37.98%,812,235,1047
"Judge, County Probate Court No. 1",0378,232,354,586,1829,32.04%,367,188,555
"Judge, County Probate Court No. 1",0379,431,289,720,2027,35.52%,70,630,700
"Judge, County Probate Court No. 1",0380,1299,995,2294,5666,40.49%,1257,956,2213
"Judge, County Probate Court No. 1",0381,412,248,660,2855,23.12%,320,312,632
"Judge, County Probate Court No. 1",0382,132,157,289,922,31.34%,217,63,280
"Judge, County Probate Court No. 1",0383,289,263,552,2173,25.40%,232,297,529
"Judge, County Probate Court No. 1",0384,573,373,946,2657,35.60%,192,713,905
"Judge, County Probate Court No. 1",0385,583,670,1253,2207,56.77%,977,194,1171
"Judge, County Probate Court No. 1",0386,662,469,1131,2922,38.71%,826,255,1081
"Judge, County Probate Court No. 1",0387,555,672,1227,3935,31.18%,902,288,1190
"Judge, County Probate Court No. 1",0388,1430,1010,2440,6888,35.42%,1412,949,2361
"Judge, County Probate Court No. 1",0389,91,208,299,1026,29.14%,42,232,274
"Judge, County Probate Court No. 1",0390,356,263,619,1480,41.82%,80,516,596
"Judge, County Probate Court No. 1",0391,508,260,768,1883,40.79%,487,243,730
"Judge, County Probate Court No. 1",0392,387,155,542,1446,37.48%,7,524,531
"Judge, County Probate Court No. 1",0393,165,185,350,1292,27.09%,171,166,337
"Judge, County Probate Court No. 1",0394,69,73,142,834,17.03%,76,59,135
"Judge, County Probate Court No. 1",0395,469,404,873,1846,47.29%,631,190,821
"Judge, County Probate Court No. 1",0396,622,216,838,2082,40.25%,17,802,819
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0397,86,78,164,760,21.58%,80,78,158
"Judge, County Probate Court No. 1",0398,615,521,1136,4022,28.24%,612,490,1102
"Judge, County Probate Court No. 1",0399,402,366,768,2791,27.52%,429,312,741
"Judge, County Probate Court No. 1",0400,520,359,979,2411,40.61%,717,209,926
"Judge, County Probate Court No. 1",0401,330,205,535,1913,27.97%,21,497,518
"Judge, County Probate Court No. 1",0402,466,266,732,1794,40.80%,42,668,710
"Judge, County Probate Court No. 1",0403,475,498,973,1715,56.73%,542,332,874
"Judge, County Probate Court No. 1",0404,419,330,749,2585,28.97%,444,271,715
"Judge, County Probate Court No. 1",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0406,137,67,204,628,32.48%,4,195,199
"Judge, County Probate Court No. 1",0407,688,793,1481,3769,39.29%,1009,385,1394
"Judge, County Probate Court No. 1",0408,146,153,299,1691,17.68%,146,136,282
"Judge, County Probate Court No. 1",0409,122,149,271,1459,18.57%,115,146,261
"Judge, County Probate Court No. 1",0410,132,80,212,899,23.58%,47,154,201
"Judge, County Probate Court No. 1",0411,235,200,435,2339,18.60%,164,245,409
"Judge, County Probate Court No. 1",0412,74,44,118,468,25.21%,6,105,111
"Judge, County Probate Court No. 1",0413,767,386,1153,2992,38.54%,467,634,1101
"Judge, County Probate Court No. 1",0414,654,480,1134,3453,32.84%,881,203,1084
"Judge, County Probate Court No. 1",0415,539,598,1137,2203,51.61%,776,304,1080
"Judge, County Probate Court No. 1",0416,538,558,1096,3791,28.91%,615,435,1050
"Judge, County Probate Court No. 1",041,7,353,385,738,2448,30.15%,380,324,704
"Judge, County Probate Court No. 1",0418,403,469,872,3584,24.33%,365,462,827
"Judge, County Probate Court No. 1",0419,571,324,895,2658,33.67%,603,248,851
"Judge, County Probate Court No. 1",0420,1036,874,1910,4762,40.11%,1571,256,1827
"Judge, County Probate Court No. 1",0421,36,37,73,410,17.80%,26,42,68
"Judge, County Probate Court No. 1",0422,731,402,1133,3345,33.87%,33,1074,1107
"Judge, County Probate Court No. 1",0423,108,120,228,1376,16.57%,78,139,217
"Judge, County Probate Court No. 1",0424,240,111,351,967,36.30%,216,116,332
"Judge, County Probate Court No. 1",0425,107,123,230,883,26.05%,89,132,221
"Judge, County Probate Court No. 1",0426,260,183,443,1218,36.37%,264,153,417
"Judge, County Probate Court No. 1",0427,179,134,313,1092,28.66%,135,154,289
"Judge, County Probate Court No. 1",0428,619,421,1040,4538,22.92%,335,623,958
"Judge, County Probate Court No. 1",0429,445,314,759,3197,23.74%,217,503,720
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0430,161,133,294,1657,17.74%,95,185,280
"Judge, County Probate Court No. 1",0431,327,84,411,3417,12.03%,158,233,391
"Judge, County Probate Court No. 1",0432,123,157,280,1455,19.24%,107,163,270
"Judge, County Probate Court No. 1",0433,50,63,113,581,19.45%,28,80,108
"Judge, County Probate Court No. 1",0434,370,289,659,1503,43.85%,426,194,620
"Judge, County Probate Court No. 1",0435,855,636,1491,3252,45.85%,987,410,1397
"Judge, County Probate Court No. 1",0436,629,531,1160,2933,39.55%,741,345,1086
"Judge, County Probate Court No. 1",0437,521,512,1033,2033,50.81%,737,229,966
"Judge, County Probate Court No. 1",0438,517,389,1006,1861,54.06%,771,164,935
"Judge, County Probate Court No. 1",0439,710,884,1594,3554,44.85%,1166,329,1495
"Judge, County Probate Court No. 1",0440,664,858,1522,2930,51.95%,1218,205,1423
"Judge, County Probate Court No. 1",0441,345,420,765,1669,45.84%,589,131,720
"Judge, County Probate Court No. 1",0442,612,574,1186,2575,46.06%,975,160,1135
"Judge, County Probate Court No. 1",0443,226,138,364,646,56.35%,262,76,338
"Judge, County Probate Court No. 1",0444,587,583,1270,3262,38.93%,814,375,1189
"Judge, County Probate Court No. 1",0445,499,348,847,2026,41.81%,584,219,803
"Judge, County Probate Court No. 1",0446,31,22,53,291,18.21%,25,24,49
"Judge, County Probate Court No. 1",0447,93,86,179,637,28.10%,53,114,167
"Judge, County Probate Court No. 1",0448,590,778,1368,3138,43.59%,762,509,1271
"Judge, County Probate Court No. 1",0449,12,23,35,198,17.68%,4,31,35
"Judge, County Probate Court No. 1",0450,435,328,763,2635,28.96%,244,483,727
"Judge, County Probate Court No. 1",0451,1002,510,1512,2687,56.27%,1240,186,1426
"Judge, County Probate Court No. 1",0452,554,444,998,3048,32.74%,745,219,964
"Judge, County Probate Court No. 1",0453,231,262,493,1937,25.45%,198,274,472
"Judge, County Probate Court No. 1",0454,594,248,842,2561,32.88%,15,808,823
"Judge, County Probate Court No. 1",0455,367,165,532,1689,31.50%,21,503,524
"Judge, County Probate Court No. 1",0456,482,362,844,3513,24.03%,495,321,816
"Judge, County Probate Court No. 1",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0458,471,237,708,1924,36.80%,35,646,681
"Judge, County Probate Court No. 1",0459,951,474,1425,3021,47.17%,1135,234,1369
"Judge, County Probate Court No. 1",0460,554,331,885,2837,31.19%,235,627,862
"Judge, County Probate Court No. 1",0461,1155,735,1900,3871,49.08%,1330,436,1766
"Judge, County Probate Court No. 1",0462,674,619,1293,3384,38.21%,485,738,1223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0463,480,404,884,3326,26.58%,415,439,854
"Judge, County Probate Court No. 1",0464,356,430,786,2257,34.82%,570,187,757
"Judge, County Probate Court No. 1",0465,687,520,1207,3564,33.87%,688,477,1165
"Judge, County Probate Court No. 1",0466,1058,614,1672,4184,39.96%,984,625,1609
"Judge, County Probate Court No. 1",0467,213,189,402,1270,31.65%,103,289,392
"Judge, County Probate Court No. 1",0468,352,443,795,3598,22.10%,254,507,761
"Judge, County Probate Court No. 1",0469,1294,547,1841,3985,46.20%,1467,283,1750
"Judge, County Probate Court No. 1",0470,185,176,361,1326,27.22%,270,72,342
"Judge, County Probate Court No. 1",0471,375,380,755,2387,31.63%,609,123,732
"Judge, County Probate Court No. 1",0472,198,278,476,1081,44.03%,208,224,432
"Judge, County Probate Court No. 1",0473,599,391,990,1806,54.82%,699,236,935
"Judge, County Probate Court No. 1",0474,559,588,1147,3037,37.77%,792,310,1102
"Judge, County Probate Court No. 1",0475,189,267,456,1809,25.21%,227,208,435
"Judge, County Probate Court No. 1",0476,404,473,877,2430,36.09%,504,335,839
"Judge, County Probate Court No. 1",0477,737,567,1304,3505,37.20%,996,255,1251
"Judge, County Probate Court No. 1",0478,958,657,1615,4461,36.20%,1099,436,1535
"Judge, County Probate Court No. 1",0479,638,612,1250,2714,46.06%,938,262,1200
"Judge, County Probate Court No. 1",0480,493,450,943,2415,39.05%,684,217,901
"Judge, County Probate Court No. 1",0481,770,623,1393,3482,40.01%,1065,262,1327
"Judge, County Probate Court No. 1",0482,878,630,1508,4373,34.48%,1102,353,1455
"Judge, County Probate Court No. 1",0483,1042,478,1520,4308,35.28%,902,550,1452
"Judge, County Probate Court No. 1",0484,1107,930,2037,4979,40.91%,1482,481,1963
"Judge, County Probate Court No. 1",0485,1095,911,2006,5388,37.23%,1570,375,1945
"Judge, County Probate Court No. 1",0486,873,855,1728,3866,44.70%,1363,288,1651
"Judge, County Probate Court No. 1",0487,570,294,864,3860,22.38%,312,476,788
"Judge, County Probate Court No. 1",0488,268,254,522,1719,30.37%,197,283,480
"Judge, County Probate Court No. 1",0489,350,290,640,1893,33.81%,219,387,606
"Judge, County Probate Court No. 1",0490,444,368,812,1975,41.11%,311,469,780
"Judge, County Probate Court No. 1",0491,314,372,686,1888,36.33%,425,225,650
"Judge, County Probate Court No. 1",0492,556,410,966,2335,41.37%,602,315,917
"Judge, County Probate Court No. 1",0493,479,322,801,1853,43.23%,544,204,748
"Judge, County Probate Court No. 1",0494,381,247,628,2467,25.46%,84,527,611
"Judge, County Probate Court No. 1",0495,522,523,1045,2375,44.00%,755,217,972
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0496,190,315,505,2160,23.38%,205,283,488
"Judge, County Probate Court No. 1",0497,526,243,769,2257,34.07%,27,720,747
"Judge, County Probate Court No. 1",0498,363,323,686,2297,29.87%,308,359,667
"Judge, County Probate Court No. 1",0499,750,518,1268,2326,54.51%,943,244,1187
"Judge, County Probate Court No. 1",0500,729,715,1444,3507,41.17%,1013,378,1391
"Judge, County Probate Court No. 1",0501,341,417,758,1801,42.09%,280,421,701
"Judge, County Probate Court No. 1",0502,477,350,827,2501,33.07%,674,121,795
"Judge, County Probate Court No. 1",0503,174,116,290,1374,21.11%,111,155,266
"Judge, County Probate Court No. 1",0504,524,527,1151,2288,50.31%,753,325,1078
"Judge, County Probate Court No. 1",0505,531,562,1193,3773,31.62%,553,548,1101
"Judge, County Probate Court No. 1",0506,665,670,1335,3502,38.12%,244,1037,1281
"Judge, County Probate Court No. 1",0507,221,149,370,2452,15.09%,76,226,302
"Judge, County Probate Court No. 1",0508,492,412,904,3287,27.50%,353,478,831
"Judge, County Probate Court No. 1",0509,753,596,1349,3732,36.15%,954,330,1284
"Judge, County Probate Court No. 1",0510,687,514,1201,3590,33.45%,617,533,1150
"Judge, County Probate Court No. 1",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 1",0512,602,660,1262,5057,24.96%,617,612,1229
"Judge, County Probate Court No. 1",0513,1019,487,1506,2894,52.04%,1163,263,1426
"Judge, County Probate Court No. 1",0514,953,720,1673,4275,39.13%,1278,325,1603
"Judge, County Probate Court No. 1",0515,942,683,1625,3455,47.03%,1319,233,1552
"Judge, County Probate Court No. 1",0516,1000,800,1800,5356,33.61%,965,750,1715
"Judge, County Probate Court No. 1",0517,481,256,737,2954,24.95%,421,288,709
"Judge, County Probate Court No. 1",0518,635,693,1328,3943,33.68%,875,395,1270
"Judge, County Probate Court No. 1",0519,623,493,1116,2966,37.63%,838,236,1074
"Judge, County Probate Court No. 1",0520,473,457,930,4580,20.31%,173,735,908
"Judge, County Probate Court No. 1",0521,471,464,935,2866,32.62%,503,397,900
"Judge, County Probate Court No. 1",0522,715,572,1255,2689,47.90%,1011,226,1237
"Judge, County Probate Court No. 1",0523,751,415,1166,3052,38.20%,798,315,1113
"Judge, County Probate Court No. 1",0524,567,459,1026,3410,30.09%,361,627,988
"Judge, County Probate Court No. 1",0525,707,482,1189,3091,38.47%,284,851,1135
"Judge, County Probate Court No. 1",0526,68,84,152,780,19.49%,46,95,141
"Judge, County Probate Court No. 1",0527,37,40,77,574,13.41%,42,32,74
"Judge, County Probate Court No. 1",0528,14,12,26,90,28.89%,1,24,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0529,1043,491,1534,3710,41.35%,1319,152,1471
"Judge, County Probate Court No. 1",0530,114,107,221,1196,18.48%,57,147,204
"Judge, County Probate Court No. 1",0531,363,174,537,1145,46.90%,420,93,513
"Judge, County Probate Court No. 1",0532,205,146,351,1048,33.49%,257,82,339
"Judge, County Probate Court No. 1",0533,124,108,232,1119,20.73%,135,84,219
"Judge, County Probate Court No. 1",0534,783,524,1,307,3837,34.06%,1004,239,1243
"Judge, County Probate Court No. 1",0535,33,29,62,416,14.90%,32,28,60
"Judge, County Probate Court No. 1",0536,554,780,1334,5139,25.96%,543,742,1285
"Judge, County Probate Court No. 1",0537,855,778,1633,3050,53.54%,1214,344,1558
"Judge, County Probate Court No. 1",0538,204,160,364,1303,27.94%,8,349,357
"Judge, County Probate Court No. 1",0539,15,241,256,64,400.00%,72,163,235
"Judge, County Probate Court No. 1",0540,378,316,694,1567,44.29%,294,341,635
"Judge, County Probate Court No. 1",0541,784,505,1289,4599,28.03%,189,1036,1225
"Judge, County Probate Court No. 1",0542,360,382,742,2557,29.02%,45,667,712
"Judge, County Probate Court No. 1",0543,141,213,354,1565,22.62%,122,209,331
"Judge, County Probate Court No. 1",0544,36,41,77,310,24.84%,11,65,76
"Judge, County Probate Court No. 1",0545,596,620,1216,3629,33.51%,619,548,1167
"Judge, County Probate Court No. 1",0546,2,2,4,37,10.81%,2,1,3
"Judge, County Probate Court No. 1",0547,501,466,967,2406,40.19%,680,243,923
"Judge, County Probate Court No. 1",0548,286,293,579,2215,26.14%,310,253,563
"Judge, County Probate Court No. 1",0549,343,418,761,2663,28.58%,108,634,742
"Judge, County Probate Court No. 1",0550,501,431,932,3031,30.75%,541,357,898
"Judge, County Probate Court No. 1",0551,1288,1394,2682,7034,38.13%,2039,560,2599
"Judge, County Probate Court No. 1",0552,847,883,1730,3415,50.66%,1452,221,1673
"Judge, County Probate Court No. 1",0553,578,529,1107,4686,23.62%,514,555,1069
"Judge, County Probate Court No. 1",0554,261,199,460,1757,26.18%,110,318,428
"Judge, County Probate Court No. 1",0555,225,277,502,2219,22.62%,114,368,482
"Judge, County Probate Court No. 1",0556,276,186,462,2319,19.92%,142,304,446
"Judge, County Probate Court No. 1",0557,455,183,638,2830,22.54%,267,289,556
"Judge, County Probate Court No. 1",0558,693,463,1156,4380,26.39%,417,691,1108
"Judge, County Probate Court No. 1",0559,640,494,1134,4969,22.82%,354,734,1088
"Judge, County Probate Court No. 1",0560,72,131,203,1120,18.13%,57,132,189
"Judge, County Probate Court No. 1",0561,362,436,798,3064,26.04%,483,274,757
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0562,113,68,181,694,26.08%,27,150,177
"Judge, County Probate Court No. 1",0563,1107,376,1483,3105,47.76%,1174,235,1409
"Judge, County Probate Court No. 1",0564,470,426,896,3155,28.40%,234,616,850
"Judge, County Probate Court No. 1",0565,108,78,186,1354,13.74%,43,125,168
"Judge, County Probate Court No. 1",0566,417,324,741,2882,25.71%,234,485,719
"Judge, County Probate Court No. 1",0567,301,193,494,2238,22.07%,169,284,453
"Judge, County Probate Court No. 1",0568,876,685,1561,3594,43.43%,1031,427,1458
"Judge, County Probate Court No. 1",0569,572,667,1239,3525,35.15%,671,493,1164
"Judge, County Probate Court No. 1",0570,238,210,448,1562,28.68%,154,257,411
"Judge, County Probate Court No. 1",0571,155,149,304,1827,16.64%,124,170,294
"Judge, County Probate Court No. 1",0572,555,375,930,3108,29.92%,493,392,885
"Judge, County Probate Court No. 1",0573,290,151,441,1619,27.24%,8,429,437
"Judge, County Probate Court No. 1",0574,31,42,73,402,18.16%,10,62,72
"Judge, County Probate Court No. 1",0575,13,11,24,74,32.43%,17,6,23
"Judge, County Probate Court No. 1",0576,485,318,803,2734,29.37%,26,759,785
"Judge, County Probate Court No. 1",0577,147,88,235,608,38.65%,143,80,223
"Judge, County Probate Court No. 1",0578,409,538,947,1799,52.64%,596,297,893
"Judge, County Probate Court No. 1",0579,75,101,176,1056,16.67%,35,132,167
"Judge, County Probate Court No. 1",0580,179,118,297,1031,28.81%,6,282,288
"Judge, County Probate Court No. 1",0581,212,174,386,1032,37.40%,7,367,374
"Judge, County Probate Court No. 1",0582,258,171,429,1588,27.02%,22,394,416
"Judge, County Probate Court No. 1",0583,225,131,356,1262,28.21%,10,334,344
"Judge, County Probate Court No. 1",0584,182,93,275,1014,27.12%,13,258,271
"Judge, County Probate Court No. 1",0585,417,172,589,2511,23.46%,17,557,574
"Judge, County Probate Court No. 1",0586,638,680,1318,4316,30.54%,802,461,1263
"Judge, County Probate Court No. 1",0587,436,284,720,2598,27.71%,286,409,695
"Judge, County Probate Court No. 1",0588,758,674,1432,3645,39.29%,1030,348,1378
"Judge, County Probate Court No. 1",0589,500,386,886,3420,25.91%,498,357,855
"Judge, County Probate Court No. 1",0590,772,399,1171,2162,54.16%,930,198,1128
"Judge, County Probate Court No. 1",0591,183,231,414,2121,19.52%,131,263,394
"Judge, County Probate Court No. 1",0592,133,157,290,1350,21.48%,79,196,275
"Judge, County Probate Court No. 1",0593,543,564,1107,4380,25.27%,554,499,1053
"Judge, County Probate Court No. 1",0594,561,326,887,2490,35.62%,254,602,856
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0595,201,178,379,1693,22.39%,72,296,368
"Judge, County Probate Court No. 1",0596,441,348,789,3007,26.24%,442,318,760
"Judge, County Probate Court No. 1",0597,367,394,761,3653,20.83%,333,414,747
"Judge, County Probate Court No. 1",0598,195,57,252,728,34.62%,208,38,246
"Judge, County Probate Court No. 1",0599,850,578,1428,4950,28.85%,525,857,1382
"Judge, County Probate Court No. 1",0600,667,429,1096,3957,27.70%,451,594,1045
"Judge, County Probate Court No. 1",0601,1073,756,1829,4057,45.08%,1397,367,1764
"Judge, County Probate Court No. 1",0602,293,235,528,1326,39.82%,389,124,513
"Judge, County Probate Court No. 1",0603,554,794,1678,4843,34.65%,1083,550,1633
"Judge, County Probate Court No. 1",0604,702,518,1220,3005,40.60%,1021,157,1178
"Judge, County Probate Court No. 1",0605,907,556,1463,5582,26.21%,366,1055,1421
"Judge, County Probate Court No. 1",0606,176,70,246,937,26.25%,5,236,241
"Judge, County Probate Court No. 1",0607,52,51,113,728,15.52%,13,95,108
"Judge, County Probate Court No. 1",0608,31,47,78,537,14.53%,46,26,72
"Judge, County Probate Court No. 1",0609,557,680,1347,3384,39.80%,845,425,1270
"Judge, County Probate Court No. 1",0610,231,188,419,1927,21.74%,220,166,386
"Judge, County Probate Court No. 1",0611,495,242,737,2488,29.62%,26,699,725
"Judge, County Probate Court No. 1",0612,996,497,1493,3307,45.15%,1127,282,1409
"Judge, County Probate Court No. 1",0613,186,204,390,1554,25.10%,66,311,377
"Judge, County Probate Court No. 1",0614,737,566,1303,4207,30.97%,506,744,1250
"Judge, County Probate Court No. 1",0615,450,299,779,1967,39.60%,508,249,757
"Judge, County Probate Court No. 1",0616,739,663,1402,3436,40.80%,994,353,1347
"Judge, County Probate Court No. 1",0617,541,393,934,3809,24.52%,389,518,907
"Judge, County Probate Court No. 1",0618,946,567,1513,6003,25.20%,768,694,1462
"Judge, County Probate Court No. 1",0619,1219,803,2022,4297,47.06%,1515,404,1919
"Judge, County Probate Court No. 1",0620,589,264,953,2897,32.90%,611,299,910
"Judge, County Probate Court No. 1",0621,154,101,255,1133,22.51%,137,105,242
"Judge, County Probate Court No. 1",0622,881,524,1405,4403,31.91%,878,476,1354
"Judge, County Probate Court No. 1",0623,887,487,1374,3691,37.23%,936,369,1305
"Judge, County Probate Court No. 1",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Probate Court No. 1",0625,477,362,839,1820,46.10%,488,298,786
"Judge, County Probate Court No. 1",0626,551,440,1021,2861,35.69%,576,384,960
"Judge, County Probate Court No. 1",0627,345,322,668,3049,21.91%,248,385,633
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Loyd Wright,DEM Kim Bohannon Hoesl,Totals
"Judge, County Probate Court No. 1",0628,152,219,371,1675,22.15%,203,155,358
"Judge, County Probate Court No. 1",0629,37,53,90,696,12.93%,17,72,89
"Judge, County Probate Court No. 1",0630,974,600,1574,3905,40.31%,122,1404,1526
"Judge, County Probate Court No. 1",0631,822,404,1226,2846,43.08%,910,268,1178
"Judge, County Probate Court No. 1",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Probate Court No. 1",0633,943,731,1674,3559,47.04%,1199,408,1607
"Judge, County Probate Court No. 1",0634,458,442,900,3029,29.71%,598,269,867
"Judge, County Probate Court No. 1",0635,743,485,1228,3393,36.19%,931,260,1191
"Judge, County Probate Court No. 1",0636,836,874,1710,4140,41.30%,1481,170,1651
"Judge, County Probate Court No. 1",0637,409,362,771,2512,30.69%,193,526,719
"Judge, County Probate Court No. 1",0638,304,245,549,2204,24.91%,53,471,524
"Judge, County Probate Court No. 1",0639,549,547,1096,2526,43.39%,889,161,1050
"Judge, County Probate Court No. 1",0640,641,459,1100,3733,29.47%,701,361,1062
"Judge, County Probate Court No. 1",0641,649,596,1245,3650,34.11%,840,357,1197
"Judge, County Probate Court No. 1",0642,471,394,865,1764,49.04%,687,133,820
"Judge, County Probate Court No. 1",0643,934,653,1587,5945,26.69%,641,891,1532
"Judge, County Probate Court No. 1",0644,1019,823,1842,5523,33.35%,1223,534,1757
"Judge, County Probate Court No. 1",0645,654,594,1248,4185,29.82%,694,498,1192
"Judge, County Probate Court No. 1",0646,364,287,651,2220,29.32%,208,401,609
"Judge, County Probate Court No. 1",0647,904,470,1374,6084,22.58%,396,859,1255
"Judge, County Probate Court No. 1",0648,838,579,1417,3367,42.08%,1021,344,1365
"Judge, County Probate Court No. 1",0649,687,434,1121,4576,24.50%,369,671,1040
"Judge, County Probate Court No. 1",0650,906,766,1672,3888,43.00%,1225,369,1594
"Judge, County Probate Court No. 1",0651,963,766,1729,5128,33.72%,1122,530,1652
"Judge, County Probate Court No. 1",0652,467,515,982,2815,34.88%,178,764,942
"Judge, County Probate Court No. 1",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Probate Court No. 1",0654,950,1005,1955,6208,31.49%,1096,778,1874
