Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"District Judge, 180th Judicial District",0332,18,7,25,138,18.12%,14,8,22
"District Judge, 180th Judicial District",0333,524,714,1238,3021,40.98%,883,293,1176
"District Judge, 180th Judicial District",0334,83,42,125,742,16.85%,21,100,121
"District Judge, 180th Judicial District",0335,121,98,219,1300,16.85%,86,116,202
"District Judge, 180th Judicial District",0336,866,624,1490,4051,36.78%,149,1308,1457
"District Judge, 180th Judicial District",0337,124,103,227,1029,22.06%,46,170,216
"District Judge, 180th Judicial District",0338,730,391,1121,4934,22.72%,392,654,1046
"District Judge, 180th Judicial District",0339,202,222,424,1757,24.13%,104,295,399
"District Judge, 180th Judicial District",0340,1038,594,1632,3765,43.35%,1245,318,1563
"District Judge, 180th Judicial District",0341,91,167,258,1290,20.00%,90,161,251
"District Judge, 180th Judicial District",0342,675,605,1280,6526,19.61%,218,1032,1250
"District Judge, 180th Judicial District",0343,189,271,460,1964,23.42%,145,288,433
"District Judge, 180th Judicial District",0344,154,172,326,1160,28.10%,16,297,313
"District Judge, 180th Judicial District",0345,156,165,321,1804,17.79%,98,206,304
"District Judge, 180th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 180th Judicial District",0347,592,436,1028,3387,30.35%,703,289,992
"District Judge, 180th Judicial District",0348,438,208,646,1708,37.82%,503,116,619
"District Judge, 180th Judicial District",0349,188,267,455,1349,33.73%,290,145,435
"District Judge, 180th Judicial District",0350,524,526,1050,2909,36.09%,440,535,975
"District Judge, 180th Judicial District",0351,1491,710,2201,4712,46.71%,1763,362,2125
"District Judge, 180th Judicial District",0352,520,339,859,3205,26.80%,635,193,828
"District Judge, 180th Judicial District",0353,665,451,1116,3862,28.90%,219,865,1084
"District Judge, 180th Judicial District",0354,715,338,1053,3388,31.08%,275,750,1025
"District Judge, 180th Judicial District",0355,301,264,565,1560,36.22%,51,499,550
"District Judge, 180th Judicial District",0356,594,538,1132,2972,38.09%,749,329,1078
"District Judge, 180th Judicial District",0357,837,575,1412,3517,40.15%,1047,316,1363
"District Judge, 180th Judicial District",0358,212,254,466,2492,18.70%,54,396,450
"District Judge, 180th Judicial District",0359,234,224,458,3061,14.96%,68,382,450
"District Judge, 180th Judicial District",0360,522,380,902,2146,42.03%,486,344,830
"District Judge, 180th Judicial District",0361,41,295,336,1673,20.08%,53,249,302
"District Judge, 180th Judicial District",0362,1138,887,2025,5086,39.82%,1522,403,1925
"District Judge, 180th Judicial District",0363,620,412,1032,3677,28.07%,482,521,1003
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0364,488,405,893,2658,33.60%,532,320,852
"District Judge, 180th Judicial District",0365,478,231,709,1305,54.33%,60,632,692
"District Judge, 180th Judicial District",0366,252,270,522,2454,21.27%,147,361,508
"District Judge, 180th Judicial District",0367,170,138,308,1130,27.26%,70,232,302
"District Judge, 180th Judicial District",0368,178,88,266,958,27.77%,76,180,256
"District Judge, 180th Judicial District",0369,32,29,61,559,10.91%,18,42,60
"District Judge, 180th Judicial District",0370,1532,1105,2637,6593,40.00%,2016,534,2550
"District Judge, 180th Judicial District",0371,122,52,174,502,34.66%,8,161,169
"District Judge, 180th Judicial District",0372,221,170,391,1224,31.94%,52,327,379
"District Judge, 180th Judicial District",0373,21,12,33,157,21.02%,3,28,31
"District Judge, 180th Judicial District",0374,65,93,158,738,21.41%,60,93,153
"District Judge, 180th Judicial District",0375,254,220,474,2645,17.92%,245,197,442
"District Judge, 180th Judicial District",0376,278,205,483,1910,25.29%,221,241,462
"District Judge, 180th Judicial District",0377,525,583,1109,2920,37.98%,828,229,1057
"District Judge, 180th Judicial District",0378,232,354,586,1829,32.04%,376,189,565
"District Judge, 180th Judicial District",0379,431,289,720,2027,35.52%,77,621,698
"District Judge, 180th Judicial District",0380,1299,995,2294,5666,40.49%,1288,935,2223
"District Judge, 180th Judicial District",0381,412,248,660,2855,23.12%,316,319,635
"District Judge, 180th Judicial District",0382,132,157,289,922,31.34%,217,63,280
"District Judge, 180th Judicial District",0383,289,263,552,2173,25.40%,235,298,533
"District Judge, 180th Judicial District",0384,573,373,946,2657,35.60%,198,714,912
"District Judge, 180th Judicial District",0385,583,670,1253,2207,56.77%,982,201,1183
"District Judge, 180th Judicial District",0386,662,469,1131,2922,38.71%,832,259,1091
"District Judge, 180th Judicial District",0387,555,672,1227,3935,31.18%,902,285,1187
"District Judge, 180th Judicial District",0388,1430,1010,2440,6888,35.42%,1441,939,2380
"District Judge, 180th Judicial District",0389,91,208,299,1026,29.14%,44,233,277
"District Judge, 180th Judicial District",0390,356,263,619,1480,41.82%,81,517,598
"District Judge, 180th Judicial District",0391,508,260,768,1883,40.79%,497,239,736
"District Judge, 180th Judicial District",0392,387,155,542,1446,37.48%,5,528,533
"District Judge, 180th Judicial District",0393,165,185,350,1292,27.09%,176,168,344
"District Judge, 180th Judicial District",0394,69,73,142,834,17.03%,70,62,132
"District Judge, 180th Judicial District",0395,469,404,873,1846,47.29%,651,182,833
"District Judge, 180th Judicial District",0396,622,216,838,2082,40.25%,20,804,824
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0397,88,78,184,780,21.58%,81,78,159
"District Judge, 180th Judicial District",0398,815,521,1138,4022,28.24%,831,481,1112
"District Judge, 180th Judicial District",0399,402,366,788,2791,27.52%,438,305,743
"District Judge, 180th Judicial District",0400,820,359,979,2411,40.81%,724,208,932
"District Judge, 180th Judicial District",0401,330,205,535,1913,27.97%,24,500,524
"District Judge, 180th Judicial District",0402,488,288,732,1794,40.80%,45,870,715
"District Judge, 180th Judicial District",0403,475,498,973,1715,58.73%,582,329,891
"District Judge, 180th Judicial District",0404,419,330,749,2585,28.97%,445,277,722
"District Judge, 180th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 180th Judicial District",0408,137,87,204,828,32.48%,4,198,202
"District Judge, 180th Judicial District",0407,888,793,1481,3789,39.29%,1008,393,1399
"District Judge, 180th Judicial District",0408,148,153,299,1891,17.88%,148,139,285
"District Judge, 180th Judicial District",0409,122,149,271,1459,18.57%,115,149,284
"District Judge, 180th Judicial District",0410,132,80,212,899,23.58%,48,154,202
"District Judge, 180th Judicial District",0411,235,200,435,2339,18.80%,183,251,414
"District Judge, 180th Judicial District",0412,74,44,118,488,25.21%,7,107,114
"District Judge, 180th Judicial District",0413,787,388,1153,2992,38.54%,471,835,1108
"District Judge, 180th Judicial District",0414,854,480,1134,3453,32.84%,890,202,1092
"District Judge, 180th Judicial District",0415,539,598,1137,2203,51.81%,787,301,1088
"District Judge, 180th Judicial District",0418,538,558,1098,3791,28.91%,838,421,1057
"District Judge, 180th Judicial District",0417,353,385,738,2448,30.15%,388,315,703
"District Judge, 180th Judicial District",0418,403,489,872,3584,24.33%,379,450,829
"District Judge, 180th Judicial District",0419,571,324,895,2858,33.87%,815,241,858
"District Judge, 180th Judicial District",0420,1038,874,1910,4782,40.11%,1585,259,1844
"District Judge, 180th Judicial District",0421,38,37,73,410,17.80%,25,42,87
"District Judge, 180th Judicial District",0422,731,402,1133,3345,33.87%,31,1078,1109
"District Judge, 180th Judicial District",0423,108,120,228,1378,18.57%,77,143,220
"District Judge, 180th Judicial District",0424,240,111,351,987,38.30%,217,118,333
"District Judge, 180th Judicial District",0425,107,123,230,883,28.05%,94,128,222
"District Judge, 180th Judicial District",0428,280,183,443,1218,38.37%,289,151,420
"District Judge, 180th Judicial District",0427,179,134,313,1092,28.88%,141,148,287
"District Judge, 180th Judicial District",0428,819,421,1040,4538,22.92%,340,825,985
"District Judge, 180th Judicial District",0429,445,314,759,3197,23.74%,224,493,717
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0430,161,133,294,1657,17.74%,92,186,278
"District Judge, 180th Judicial District",0431,327,84,411,3417,12.03%,158,233,391
"District Judge, 180th Judicial District",0432,123,157,280,1455,19.24%,112,157,269
"District Judge, 180th Judicial District",0433,50,63,113,581,19.45%,29,81,110
"District Judge, 180th Judicial District",0434,370,289,659,1503,43.85%,424,198,622
"District Judge, 180th Judicial District",0435,855,636,1491,3252,45.85%,990,423,1413
"District Judge, 180th Judicial District",0436,629,531,1160,2933,39.55%,752,344,1096
"District Judge, 180th Judicial District",0437,521,512,1033,2033,50.81%,746,226,972
"District Judge, 180th Judicial District",0438,517,389,1006,1861,54.06%,785,167,952
"District Judge, 180th Judicial District",0439,710,884,1594,3554,44.85%,1175,328,1503
"District Judge, 180th Judicial District",0440,664,858,1522,2930,51.95%,1225,207,1432
"District Judge, 180th Judicial District",0441,345,420,765,1669,45.84%,591,136,727
"District Judge, 180th Judicial District",0442,612,574,1186,2575,46.06%,995,150,1145
"District Judge, 180th Judicial District",0443,226,138,364,646,56.35%,263,79,342
"District Judge, 180th Judicial District",0444,587,583,1270,3262,38.93%,819,377,1196
"District Judge, 180th Judicial District",0445,499,348,847,2026,41.81%,586,225,811
"District Judge, 180th Judicial District",0446,31,22,53,291,18.21%,25,23,48
"District Judge, 180th Judicial District",0447,93,86,179,637,28.10%,54,118,172
"District Judge, 180th Judicial District",0448,590,778,1368,3138,43.59%,783,507,1290
"District Judge, 180th Judicial District",0449,12,23,35,198,17.68%,3,32,35
"District Judge, 180th Judicial District",0450,435,328,763,2635,28.96%,253,484,737
"District Judge, 180th Judicial District",0451,1002,510,1512,2687,56.27%,1257,188,1445
"District Judge, 180th Judicial District",0452,554,444,998,3048,32.74%,749,216,965
"District Judge, 180th Judicial District",0453,231,262,493,1937,25.45%,206,266,472
"District Judge, 180th Judicial District",0454,594,248,842,2561,32.88%,15,807,822
"District Judge, 180th Judicial District",0455,367,165,532,1689,31.50%,26,503,529
"District Judge, 180th Judicial District",0456,482,362,844,3513,24.03%,502,319,821
"District Judge, 180th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 180th Judicial District",0458,471,237,708,1924,36.80%,38,649,687
"District Judge, 180th Judicial District",0459,951,474,1425,3021,47.17%,1150,230,1380
"District Judge, 180th Judicial District",0460,554,331,885,2837,31.19%,242,625,867
"District Judge, 180th Judicial District",0461,1155,735,1900,3871,49.08%,1348,434,1782
"District Judge, 180th Judicial District",0462,674,619,1293,3384,38.21%,503,733,1236
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0463,480,404,884,3326,26.58%,416,440,856
"District Judge, 180th Judicial District",0464,356,430,786,2257,34.82%,577,186,763
"District Judge, 180th Judicial District",0465,687,520,1207,3564,33.87%,703,468,1171
"District Judge, 180th Judicial District",0466,1058,614,1672,4184,39.96%,996,621,1617
"District Judge, 180th Judicial District",0467,213,189,402,1270,31.65%,101,291,392
"District Judge, 180th Judicial District",0468,352,443,795,3598,22.10%,267,499,766
"District Judge, 180th Judicial District",0469,1294,547,1841,3985,46.20%,1483,283,1766
"District Judge, 180th Judicial District",0470,185,176,361,1326,27.22%,269,73,342
"District Judge, 180th Judicial District",0471,375,380,755,2387,31.63%,614,126,740
"District Judge, 180th Judicial District",0472,198,278,476,1081,44.03%,224,216,440
"District Judge, 180th Judicial District",0473,599,391,990,1806,54.82%,712,235,947
"District Judge, 180th Judicial District",0474,559,588,1147,3037,37.77%,821,292,1113
"District Judge, 180th Judicial District",0475,189,267,456,1809,25.21%,231,207,438
"District Judge, 180th Judicial District",0476,404,473,877,2430,36.09%,509,334,843
"District Judge, 180th Judicial District",0477,737,567,1304,3505,37.20%,1015,244,1259
"District Judge, 180th Judicial District",0478,958,657,1615,4461,36.20%,1116,426,1542
"District Judge, 180th Judicial District",0479,638,612,1250,2714,46.06%,952,247,1199
"District Judge, 180th Judicial District",0480,493,450,943,2415,39.05%,689,221,910
"District Judge, 180th Judicial District",0481,770,623,1393,3482,40.01%,1082,255,1337
"District Judge, 180th Judicial District",0482,878,630,1508,4373,34.48%,1115,348,1463
"District Judge, 180th Judicial District",0483,1042,478,1520,4308,35.28%,912,548,1460
"District Judge, 180th Judicial District",0484,1107,930,2037,4979,40.91%,1503,473,1976
"District Judge, 180th Judicial District",0485,1095,911,2006,5388,37.23%,1589,373,1962
"District Judge, 180th Judicial District",0486,873,855,1728,3866,44.70%,1378,287,1665
"District Judge, 180th Judicial District",0487,570,294,864,3860,22.38%,322,475,797
"District Judge, 180th Judicial District",0488,268,254,522,1719,30.37%,204,279,483
"District Judge, 180th Judicial District",0489,350,290,640,1893,33.81%,223,388,611
"District Judge, 180th Judicial District",0490,444,368,812,1975,41.11%,304,475,779
"District Judge, 180th Judicial District",0491,314,372,686,1888,36.33%,429,228,657
"District Judge, 180th Judicial District",0492,556,410,966,2335,41.37%,606,316,922
"District Judge, 180th Judicial District",0493,479,322,801,1853,43.23%,556,197,753
"District Judge, 180th Judicial District",0494,381,247,628,2467,25.46%,84,530,614
"District Judge, 180th Judicial District",0495,522,523,1045,2375,44.00%,779,216,995
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0496,190,315,505,2160,23.38%,207,281,488
"District Judge, 180th Judicial District",0497,526,243,769,2257,34.07%,26,724,750
"District Judge, 180th Judicial District",0498,363,323,686,2297,29.87%,322,351,673
"District Judge, 180th Judicial District",0499,750,518,1268,2326,54.51%,958,243,1201
"District Judge, 180th Judicial District",0500,729,715,1444,3507,41.17%,1014,375,1389
"District Judge, 180th Judicial District",0501,341,417,758,1801,42.09%,299,409,708
"District Judge, 180th Judicial District",0502,477,350,827,2501,33.07%,667,133,800
"District Judge, 180th Judicial District",0503,174,116,290,1374,21.11%,113,157,270
"District Judge, 180th Judicial District",0504,624,527,1151,2288,50.31%,769,317,1086
"District Judge, 180th Judicial District",0505,531,562,1193,3773,31.62%,575,555,1130
"District Judge, 180th Judicial District",0506,665,670,1335,3502,38.12%,262,1028,1290
"District Judge, 180th Judicial District",0507,221,149,370,2452,15.09%,75,224,299
"District Judge, 180th Judicial District",0508,492,412,904,3287,27.50%,357,482,839
"District Judge, 180th Judicial District",0509,753,596,1349,3732,36.15%,974,319,1293
"District Judge, 180th Judicial District",0510,687,514,1201,3590,33.45%,622,528,1150
"District Judge, 180th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 180th Judicial District",0512,602,660,1262,5057,24.96%,627,603,1230
"District Judge, 180th Judicial District",0513,1019,487,1506,2894,52.04%,1176,265,1441
"District Judge, 180th Judicial District",0514,953,720,1673,4275,39.13%,1288,325,1613
"District Judge, 180th Judicial District",0515,942,683,1625,3455,47.03%,1333,226,1559
"District Judge, 180th Judicial District",0516,1000,800,1800,5356,33.61%,980,747,1727
"District Judge, 180th Judicial District",0517,481,256,737,2954,24.95%,433,282,715
"District Judge, 180th Judicial District",0518,635,693,1328,3943,33.68%,892,381,1273
"District Judge, 180th Judicial District",0519,623,493,1116,2966,37.63%,844,234,1078
"District Judge, 180th Judicial District",0520,473,457,930,4580,20.31%,179,731,910
"District Judge, 180th Judicial District",0521,471,464,935,2866,32.62%,518,384,902
"District Judge, 180th Judicial District",0522,715,572,1288,2689,47.90%,1018,230,1248
"District Judge, 180th Judicial District",0523,751,415,1166,3052,38.20%,810,309,1119
"District Judge, 180th Judicial District",0524,567,459,1026,3410,30.09%,369,621,990
"District Judge, 180th Judicial District",0525,707,482,1189,3091,38.47%,285,854,1139
"District Judge, 180th Judicial District",0526,58,84,152,780,19.49%,46,96,142
"District Judge, 180th Judicial District",0527,37,40,77,574,13.41%,43,32,75
"District Judge, 180th Judicial District",0528,14,12,26,90,28.89%,3,22,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0529,1043,491,1534,3710,41.35%,1325,152,1477
"District Judge, 180th Judicial District",0530,114,107,221,1196,18.48%,55,150,205
"District Judge, 180th Judicial District",0531,363,174,537,1145,46.90%,421,94,515
"District Judge, 180th Judicial District",0532,205,146,351,1048,33.49%,261,80,341
"District Judge, 180th Judicial District",0533,124,108,232,1119,20.73%,138,84,222
"District Judge, 180th Judicial District",0534,783,524,1307,3837,34.06%,1015,245,1260
"District Judge, 180th Judicial District",0535,33,29,62,416,14.90%,31,30,61
"District Judge, 180th Judicial District",0536,554,780,1334,5139,25.96%,543,747,1290
"District Judge, 180th Judicial District",0537,855,778,1633,3050,53.54%,1220,342,1562
"District Judge, 180th Judicial District",0538,204,160,364,1303,27.94%,11,345,356
"District Judge, 180th Judicial District",0539,15,241,256,64,400.00%,77,161,238
"District Judge, 180th Judicial District",0540,378,316,694,1567,44.29%,311,332,643
"District Judge, 180th Judicial District",0541,784,505,1289,4599,28.03%,204,1037,1241
"District Judge, 180th Judicial District",0542,360,382,742,2557,29.02%,46,664,710
"District Judge, 180th Judicial District",0543,141,213,354,1565,22.62%,133,202,335
"District Judge, 180th Judicial District",0544,35,41,77,310,24.84%,10,65,75
"District Judge, 180th Judicial District",0545,596,620,1216,3629,33.51%,643,526,1169
"District Judge, 180th Judicial District",0546,2,2,4,37,10.81%,3,0,3
"District Judge, 180th Judicial District",0547,501,466,967,2406,40.19%,695,229,924
"District Judge, 180th Judicial District",0548,286,293,579,2215,26.14%,312,252,564
"District Judge, 180th Judicial District",0549,343,418,761,2663,28.58%,115,629,744
"District Judge, 180th Judicial District",0550,501,431,932,3031,30.75%,545,357,902
"District Judge, 180th Judicial District",0551,1288,1394,2682,7034,38.13%,2065,544,2609
"District Judge, 180th Judicial District",0552,847,883,1730,3415,50.66%,1463,218,1681
"District Judge, 180th Judicial District",0553,578,529,1107,4686,23.62%,523,551,1074
"District Judge, 180th Judicial District",0554,261,199,460,1757,26.18%,107,322,429
"District Judge, 180th Judicial District",0555,225,277,502,2219,22.62%,115,368,483
"District Judge, 180th Judicial District",0556,276,186,462,2319,19.92%,147,297,444
"District Judge, 180th Judicial District",0557,455,183,638,2830,22.54%,275,286,561
"District Judge, 180th Judicial District",0558,693,463,1156,4380,26.39%,431,682,1113
"District Judge, 180th Judicial District",0559,640,494,1134,4969,22.82%,359,733,1092
"District Judge, 180th Judicial District",0560,72,131,203,1120,18.13%,57,133,190
"District Judge, 180th Judicial District",0561,362,436,798,3064,26.04%,498,275,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0562,113,68,181,694,26.08%,27,150,177
"District Judge, 180th Judicial District",0563,1107,376,1483,3105,47.76%,1183,235,1418
"District Judge, 180th Judicial District",0564,470,426,896,3155,28.40%,252,604,856
"District Judge, 180th Judicial District",0565,108,78,186,1354,13.74%,45,127,172
"District Judge, 180th Judicial District",0566,417,324,741,2882,25.71%,247,473,720
"District Judge, 180th Judicial District",0567,301,193,494,2238,22.07%,174,277,451
"District Judge, 180th Judicial District",0568,876,685,1561,3594,43.43%,1054,424,1478
"District Judge, 180th Judicial District",0569,572,667,1239,3525,35.15%,688,482,1170
"District Judge, 180th Judicial District",0570,238,210,448,1562,28.68%,162,254,416
"District Judge, 180th Judicial District",0571,155,149,304,1827,16.64%,123,171,294
"District Judge, 180th Judicial District",0572,555,375,930,3108,29.92%,496,395,891
"District Judge, 180th Judicial District",0573,290,151,441,1619,27.24%,5,428,433
"District Judge, 180th Judicial District",0574,31,42,73,402,18.16%,9,63,72
"District Judge, 180th Judicial District",0575,13,11,24,74,32.43%,19,4,23
"District Judge, 180th Judicial District",0576,485,318,803,2734,29.37%,27,756,783
"District Judge, 180th Judicial District",0577,147,88,235,608,38.65%,147,79,226
"District Judge, 180th Judicial District",0578,409,538,947,1799,52.64%,600,300,900
"District Judge, 180th Judicial District",0579,75,101,176,1056,16.67%,37,131,168
"District Judge, 180th Judicial District",0580,179,118,297,1031,28.81%,5,283,288
"District Judge, 180th Judicial District",0581,212,174,386,1032,37.40%,7,368,375
"District Judge, 180th Judicial District",0582,258,171,429,1588,27.02%,24,395,419
"District Judge, 180th Judicial District",0583,225,131,356,1262,28.21%,16,330,346
"District Judge, 180th Judicial District",0584,182,93,275,1014,27.12%,14,256,270
"District Judge, 180th Judicial District",0585,417,172,589,2511,23.46%,19,563,582
"District Judge, 180th Judicial District",0586,638,680,1318,4316,30.54%,822,451,1273
"District Judge, 180th Judicial District",0587,436,284,720,2598,27.71%,290,408,698
"District Judge, 180th Judicial District",0588,758,674,1432,3645,39.29%,1039,350,1389
"District Judge, 180th Judicial District",0589,500,386,886,3420,25.91%,508,356,864
"District Judge, 180th Judicial District",0590,772,399,1171,2162,54.16%,934,200,1134
"District Judge, 180th Judicial District",0591,183,231,414,2121,19.52%,136,260,396
"District Judge, 180th Judicial District",0592,133,157,290,1350,21.48%,80,198,278
"District Judge, 180th Judicial District",0593,543,564,1107,4380,25.27%,564,491,1055
"District Judge, 180th Judicial District",0594,561,326,887,2490,35.62%,255,605,860
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0595,201,178,379,1693,22.39%,78,292,370
"District Judge, 180th Judicial District",0596,441,348,789,3007,26.24%,444,321,765
"District Judge, 180th Judicial District",0597,367,394,761,3653,20.83%,342,408,750
"District Judge, 180th Judicial District",0598,195,57,252,728,34.62%,209,38,247
"District Judge, 180th Judicial District",0599,850,578,1428,4950,28.85%,529,855,1384
"District Judge, 180th Judicial District",0600,667,429,1096,3957,27.70%,452,596,1048
"District Judge, 180th Judicial District",0601,1073,756,1829,4057,45.08%,1408,355,1763
"District Judge, 180th Judicial District",0602,293,235,528,1326,39.82%,389,126,515
"District Judge, 180th Judicial District",0603,884,794,1678,4843,34.65%,1092,551,1643
"District Judge, 180th Judicial District",0604,702,518,1220,3005,40.60%,1022,164,1186
"District Judge, 180th Judicial District",0605,907,556,1463,5582,26.21%,384,1037,1421
"District Judge, 180th Judicial District",0606,176,70,246,937,26.25%,8,233,241
"District Judge, 180th Judicial District",0607,62,51,113,728,15.52%,12,95,107
"District Judge, 180th Judicial District",0608,31,47,78,537,14.53%,45,27,72
"District Judge, 180th Judicial District",0609,667,680,1347,3384,39.80%,863,420,1283
"District Judge, 180th Judicial District",0610,231,188,419,1927,21.74%,227,161,388
"District Judge, 180th Judicial District",0611,495,242,737,2488,29.62%,26,694,720
"District Judge, 180th Judicial District",0612,996,497,1493,3307,45.15%,1145,274,1419
"District Judge, 180th Judicial District",0613,186,204,390,1554,25.10%,70,309,379
"District Judge, 180th Judicial District",0614,737,566,1303,4207,30.97%,520,735,1255
"District Judge, 180th Judicial District",0615,480,299,779,1967,39.60%,511,246,757
"District Judge, 180th Judicial District",0616,739,663,1402,3436,40.80%,999,347,1346
"District Judge, 180th Judicial District",0617,541,393,934,3809,24.52%,399,517,916
"District Judge, 180th Judicial District",0618,946,567,1513,6003,25.20%,775,689,1464
"District Judge, 180th Judicial District",0619,1219,803,2022,4297,47.06%,1529,402,1931
"District Judge, 180th Judicial District",0620,689,264,953,2897,32.90%,615,295,910
"District Judge, 180th Judicial District",0621,154,101,255,1133,22.51%,140,102,242
"District Judge, 180th Judicial District",0622,881,524,1405,4403,31.91%,886,469,1355
"District Judge, 180th Judicial District",0623,887,487,1374,3691,37.23%,952,369,1321
"District Judge, 180th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 180th Judicial District",0625,477,362,839,1820,46.10%,500,294,794
"District Judge, 180th Judicial District",0626,581,440,1021,2861,35.69%,588,378,966
"District Judge, 180th Judicial District",0627,346,322,668,3049,21.91%,253,384,637
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0628,152,219,371,1675,22.15%,212,148,360
"District Judge, 180th Judicial District",0629,37,53,90,696,12.93%,17,73,90
"District Judge, 180th Judicial District",0630,974,600,1574,3905,40.31%,136,1393,1529
"District Judge, 180th Judicial District",0631,822,404,1226,2846,43.08%,913,269,1182
"District Judge, 180th Judicial District",0632,7,4,11,343,3.21%,4,7,11
"District Judge, 180th Judicial District",0633,943,731,1674,3559,47.04%,1219,395,1614
"District Judge, 180th Judicial District",0634,458,442,900,3029,29.71%,611,261,872
"District Judge, 180th Judicial District",0635,743,485,1228,3393,36.19%,949,249,1198
"District Judge, 180th Judicial District",0636,835,874,1710,4140,41.30%,1490,173,1663
"District Judge, 180th Judicial District",0637,409,362,771,2512,30.69%,212,514,726
"District Judge, 180th Judicial District",0638,304,245,549,2204,24.91%,46,485,531
"District Judge, 180th Judicial District",0639,549,547,1096,2526,43.39%,897,159,1056
"District Judge, 180th Judicial District",0640,641,459,1100,3733,29.47%,702,369,1071
"District Judge, 180th Judicial District",0641,649,596,1245,3650,34.11%,846,360,1206
"District Judge, 180th Judicial District",0642,471,394,865,1764,49.04%,709,121,830
"District Judge, 180th Judicial District",0643,934,653,1587,5945,26.69%,650,888,1538
"District Judge, 180th Judicial District",0644,1019,823,1842,5523,33.35%,1242,530,1772
"District Judge, 180th Judicial District",0645,654,594,1248,4185,29.82%,701,498,1199
"District Judge, 180th Judicial District",0646,364,287,651,2220,29.32%,222,392,614
"District Judge, 180th Judicial District",0647,904,470,1374,6084,22.58%,402,857,1259
"District Judge, 180th Judicial District",0648,838,579,1417,3367,42.08%,1038,332,1370
"District Judge, 180th Judicial District",0649,687,434,1121,4576,24.50%,390,661,1051
"District Judge, 180th Judicial District",0650,906,766,1672,3888,43.00%,1249,357,1606
"District Judge, 180th Judicial District",0651,963,766,1729,5128,33.72%,1143,517,1660
"District Judge, 180th Judicial District",0652,467,515,982,2815,34.88%,182,764,946
"District Judge, 180th Judicial District",0653,0,4,4,0,0.00%,1,3,4
"District Judge, 180th Judicial District",0654,950,1005,1955,6208,31.49%,1126,766,1892
"District Judge, 180th Judicial District",0655,1115,1079,2195,6855,32.02%,1403,718,2121
"District Judge, 180th Judicial District",0656,579,393,972,2674,36.35%,42,907,949
"District Judge, 180th Judicial District",0657,246,172,418,1292,32.35%,177,228,405
"District Judge, 180th Judicial District",0658,540,426,966,2807,34.41%,647,300,947
"District Judge, 180th Judicial District",0659,1149,788,1937,4856,39.89%,1413,470,1883
"District Judge, 180th Judicial District",0660,950,825,1775,5372,33.04%,179,1559,1738
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0661,675,765,1440,4567,31.53%,865,517,1382
"District Judge, 180th Judicial District",0662,1148,890,2038,4874,41.81%,1649,329,1978
"District Judge, 180th Judicial District",0663,717,797,1514,3346,45.25%,791,626,1417
"District Judge, 180th Judicial District",0664,352,250,602,2869,20.98%,141,434,575
"District Judge, 180th Judicial District",0665,482,348,830,2154,38.53%,711,97,808
"District Judge, 180th Judicial District",0666,0,0,0,0,0.00%,0,0,0
