Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0044,204,222,426,2001,21.29%,102,297,399
"District Judge, 180th Judicial District",0045,894,750,1644,6698,24.54%,340,1254,1594
"District Judge, 180th Judicial District",0046,290,247,537,2511,21.39%,101,408,509
"District Judge, 180th Judicial District",0047,213,218,431,1627,26.49%,20,404,424
"District Judge, 180th Judicial District",0048,157,142,299,940,31.81%,24,268,292
"District Judge, 180th Judicial District",0049,584,482,1066,3343,31.89%,783,246,1029
"District Judge, 180th Judicial District",0050,785,771,1556,5211,29.86%,873,628,1501
"District Judge, 180th Judicial District",0051,353,243,596,1689,35.29%,454,122,576
"District Judge, 180th Judicial District",0052,422,447,869,2457,35.37%,425,398,823
"District Judge, 180th Judicial District",0053,564,726,1290,2971,43.42%,552,656,1208
"District Judge, 180th Judicial District",0054,269,364,633,1487,42.57%,331,266,597
"District Judge, 180th Judicial District",0055,191,251,442,1506,29.35%,203,214,417
"District Judge, 180th Judicial District",0056,282,278,560,1326,42.23%,390,145,535
"District Judge, 180th Judicial District",0057,710,831,1541,3153,48.87%,627,794,1421
"District Judge, 180th Judicial District",0058,469,556,1025,2690,38.10%,450,527,977
"District Judge, 180th Judicial District",0059,555,609,1164,2544,45.75%,484,612,1096
"District Judge, 180th Judicial District",0060,498,564,1062,2453,43.29%,267,725,992
"District Judge, 180th Judicial District",0061,172,204,376,1773,21.21%,158,195,353
"District Judge, 180th Judicial District",0062,145,322,467,2181,21.41%,130,311,441
"District Judge, 180th Judicial District",0063,264,354,618,1826,33.84%,504,99,603
"District Judge, 180th Judicial District",0064,191,221,412,2141,19.24%,97,292,389
"District Judge, 180th Judicial District",0065,172,230,402,2167,18.55%,102,277,379
"District Judge, 180th Judicial District",0066,69,143,212,1098,19.31%,35,161,196
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0067,304,282,586,2794,20.97%,166,382,548
"District Judge, 180th Judicial District",0068,553,352,905,2924,30.95%,29,854,883
"District Judge, 180th Judicial District",0069,80,124,204,1284,15.89%,48,141,189
"District Judge, 180th Judicial District",0070,882,664,1546,3337,46.33%,924,507,1431
"District Judge, 180th Judicial District",0071,602,722,1324,4197,31.55%,667,591,1258
"District Judge, 180th Judicial District",0072,220,293,513,1924,26.66%,173,315,488
"District Judge, 180th Judicial District",0073,252,414,666,1555,42.83%,391,223,614
"District Judge, 180th Judicial District",0074,1153,782,1935,3583,54.01%,1532,330,1862
"District Judge, 180th Judicial District",0075,254,280,534,1444,36.98%,214,290,504
"District Judge, 180th Judicial District",0076,373,374,747,2362,31.63%,454,264,718
"District Judge, 180th Judicial District",0077,43,46,89,566,15.72%,21,65,86
"District Judge, 180th Judicial District",0078,180,201,381,1522,25.03%,141,223,364
"District Judge, 180th Judicial District",0079,205,306,511,2927,17.46%,138,330,468
"District Judge, 180th Judicial District",0080,501,351,852,2725,31.27%,223,590,813
"District Judge, 180th Judicial District",0081,183,187,370,1835,20.16%,147,202,349
"District Judge, 180th Judicial District",0082,639,671,1310,3368,38.90%,1004,272,1276
"District Judge, 180th Judicial District",0083,1296,888,2184,6625,32.97%,1089,1027,2116
"District Judge, 180th Judicial District",0084,208,218,426,1373,31.03%,315,97,412
"District Judge, 180th Judicial District",0085,271,248,519,2173,23.88%,24,484,508
"District Judge, 180th Judicial District",0086,447,568,1015,2910,34.88%,482,477,959
"District Judge, 180th Judicial District",0087,574,787,1461,2818,51.85%,947,413,1360
"District Judge, 180th Judicial District",0088,123,118,241,693,34.78%,155,72,227
"District Judge, 180th Judicial District",0089,165,371,536,1094,48.99%,304,185,489
"District Judge, 180th Judicial District",0090,844,790,1634,3700,44.16%,1223,350,1573
"District Judge, 180th Judicial District",0091,219,222,441,1505,29.30%,272,152,424
"District Judge, 180th Judicial District",0092,695,462,1157,2242,51.61%,787,302,1089
"District Judge, 180th Judicial District",0093,381,301,682,3356,20.32%,280,363,643
"District Judge, 180th Judicial District",0094,51,43,94,549,17.12%,30,61,91
