Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Lone Star College System, Proposition 1",0450,252,193,445,1903,23.38%,257,71,328
"Lone Star College System, Proposition 1",0451,1002,510,1512,2687,56.27%,789,379,1168
"Lone Star College System, Proposition 1",0452,554,444,998,3048,32.74%,515,274,789
"Lone Star College System, Proposition 1",0457,0,0,0,0,0.00%,0,0,0
"Lone Star College System, Proposition 1",0459,951,474,1425,3021,47.17%,753,482,1235
"Lone Star College System, Proposition 1",0464,355,430,786,2257,34.82%,418,195,613
"Lone Star College System, Proposition 1",0465,687,520,1207,3564,33.87%,681,255,936
"Lone Star College System, Proposition 1",0466,1058,614,1672,4184,39.96%,866,412,1278
"Lone Star College System, Proposition 1",0467,213,189,402,1270,31.65%,212,53,265
"Lone Star College System, Proposition 1",0468,352,443,795,3598,22.10%,431,121,552
"Lone Star College System, Proposition 1",0469,1294,547,1841,3985,46.20%,972,579,1551
"Lone Star College System, Proposition 1",0477,737,567,1304,3505,37.20%,631,368,999
"Lone Star College System, Proposition 1",0478,958,657,1615,4461,36.20%,890,403,1293
"Lone Star College System, Proposition 1",0479,638,612,1250,2714,46.06%,674,344,1018
"Lone Star College System, Proposition 1",0480,493,450,943,2415,39.05%,483,293,776
"Lone Star College System, Proposition 1",0481,770,623,1393,3482,40.01%,698,429,1127
"Lone Star College System, Proposition 1",0482,878,630,1508,4373,34.48%,748,415,1163
"Lone Star College System, Proposition 1",0484,1107,930,2037,4979,40.91%,1076,571,1647
"Lone Star College System, Proposition 1",0485,1095,911,2006,5388,37.23%,1015,563,1578
"Lone Star College System, Proposition 1",0486,873,855,1728,3866,44.70%,906,455,1361
"Lone Star College System, Proposition 1",0494,381,247,628,2467,25.46%,335,77,412
"Lone Star College System, Proposition 1",0495,522,523,1045,2375,44.00%,542,297,839
"Lone Star College System, Proposition 1",0496,190,315,505,2160,23.38%,290,95,385
"Lone Star College System, Proposition 1",0497,84,71,155,733,21.15%,85,20,105
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Lone Star College System, Proposition 1",0498,360,322,682,2290,29.78%,360,174,534
"Lone Star College System, Proposition 1",0500,729,715,1444,3507,41.17%,766,349,1115
"Lone Star College System, Proposition 1",0511,0,0,0,0,0.00%,0,0,0
"Lone Star College System, Proposition 1",0512,602,660,1262,5057,24.96%,735,265,1000
"Lone Star College System, Proposition 1",0513,1019,487,1506,2894,52.04%,834,421,1255
"Lone Star College System, Proposition 1",0514,953,720,1673,4275,39.13%,833,412,1245
"Lone Star College System, Proposition 1",0515,942,683,1625,3455,47.03%,842,430,1272
"Lone Star College System, Proposition 1",0516,1000,800,1800,5356,33.61%,962,387,1349
"Lone Star College System, Proposition 1",0517,325,186,512,2036,25.15%,275,124,399
"Lone Star College System, Proposition 1",0518,635,693,1328,3943,33.68%,724,304,1028
"Lone Star College System, Proposition 1",0519,623,493,1116,2966,37.63%,558,316,874
"Lone Star College System, Proposition 1",0520,473,457,930,4580,20.31%,570,131,701
"Lone Star College System, Proposition 1",0529,1043,491,1534,3710,41.35%,732,403,1135
"Lone Star College System, Proposition 1",0548,286,293,579,2215,26.14%,337,123,460
"Lone Star College System, Proposition 1",0549,343,418,761,2663,28.58%,417,94,511
"Lone Star College System, Proposition 1",0550,501,431,932,3031,30.75%,475,220,695
"Lone Star College System, Proposition 1",0551,1288,1394,2682,7034,38.13%,1356,731,2087
"Lone Star College System, Proposition 1",0552,847,883,1730,3415,50.66%,695,718,1413
"Lone Star College System, Proposition 1",0553,578,529,1107,4686,23.62%,623,229,852
"Lone Star College System, Proposition 1",0563,1107,376,1483,3105,47.76%,742,464,1206
"Lone Star College System, Proposition 1",0571,83,66,149,854,17.45%,100,24,124
"Lone Star College System, Proposition 1",0575,13,11,24,74,32.43%,13,5,18
"Lone Star College System, Proposition 1",0576,162,75,237,874,27.12%,118,28,146
"Lone Star College System, Proposition 1",0586,638,680,1318,4316,30.54%,679,325,1004
"Lone Star College System, Proposition 1",0587,436,284,720,2598,27.71%,397,142,539
"Lone Star College System, Proposition 1",0588,758,674,1432,3645,39.29%,729,414,1143
"Lone Star College System, Proposition 1",0590,772,399,1171,2162,54.16%,631,384,1015
"Lone Star College System, Proposition 1",0591,137,178,315,1573,20.03%,171,55,226
"Lone Star College System, Proposition 1",0592,133,157,290,1350,21.48%,167,43,210
"Lone Star College System, Proposition 1",0593,543,564,1107,4380,25.27%,610,232,842
"Lone Star College System, Proposition 1",0594,561,326,887,2490,35.62%,522,175,697
"Lone Star College System, Proposition 1",0595,201,178,379,1693,22.39%,219,42,261
"Lone Star College System, Proposition 1",0596,441,348,789,3007,26.24%,419,179,598
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Lone Star College System, Proposition 1",0597,367,394,761,3653,20.83%,417,150,567
"Lone Star College System, Proposition 1",0598,195,57,252,728,34.62%,119,84,203
"Lone Star College System, Proposition 1",0599,850,578,1428,4950,28.85%,788,322,1110
"Lone Star College System, Proposition 1",0601,1073,756,1829,4057,45.08%,966,472,1438
"Lone Star College System, Proposition 1",0602,293,235,528,1326,39.82%,285,144,429
"Lone Star College System, Proposition 1",0608,31,47,78,537,14.53%,34,23,57
"Lone Star College System, Proposition 1",0609,667,680,1347,3384,39.80%,679,377,1056
"Lone Star College System, Proposition 1",0612,996,497,1493,3307,45.15%,796,474,1270
"Lone Star College System, Proposition 1",0613,186,204,390,1554,25.10%,225,60,285
"Lone Star College System, Proposition 1",0614,737,566,1303,4207,30.97%,713,256,969
"Lone Star College System, Proposition 1",0615,480,299,779,1967,39.60%,402,189,591
"Lone Star College System, Proposition 1",0616,739,663,1402,3436,40.80%,810,362,1172
"Lone Star College System, Proposition 1",0617,541,393,934,3809,24.52%,545,224,769
"Lone Star College System, Proposition 1",0621,0,0,0,0,0.00%,0,0,0
"Lone Star College System, Proposition 1",0622,881,522,1403,4403,31.86%,687,425,1112
"Lone Star College System, Proposition 1",0623,887,487,1374,3691,37.23%,716,288,1004
"Lone Star College System, Proposition 1",0624,1,1,2,3,66.67%,1,0,1
"Lone Star College System, Proposition 1",0628,152,219,371,1675,22.15%,184,100,284
"Lone Star College System, Proposition 1",0629,37,53,90,696,12.93%,54,12,66
"Lone Star College System, Proposition 1",0631,822,404,1226,2846,43.08%,642,324,966
"Lone Star College System, Proposition 1",0633,943,731,1674,3559,47.04%,871,462,1333
"Lone Star College System, Proposition 1",0634,458,442,900,3029,29.71%,481,247,728
"Lone Star College System, Proposition 1",0635,743,485,1228,3393,36.19%,647,400,1047
"Lone Star College System, Proposition 1",0636,0,1,1,9,11.11%,0,1,1
"Lone Star College System, Proposition 1",0640,641,459,1100,3733,29.47%,594,291,885
"Lone Star College System, Proposition 1",0641,649,596,1245,3650,34.11%,614,343,957
"Lone Star College System, Proposition 1",0642,471,394,865,1764,49.04%,431,226,657
"Lone Star College System, Proposition 1",0643,934,653,1587,5945,26.69%,886,350,1236
"Lone Star College System, Proposition 1",0648,838,579,1417,3367,42.08%,697,386,1083
"Lone Star College System, Proposition 1",0650,770,718,1488,3293,45.19%,782,458,1240
"Lone Star College System, Proposition 1",0651,963,766,1729,5128,33.72%,961,461,1422
"Lone Star College System, Proposition 1",0657,246,172,418,1292,32.35%,247,82,329
"Lone Star College System, Proposition 1",0658,540,426,966,2807,34.41%,518,256,774
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Lone Star College System, Proposition 1",0659,1149,788,1937,4856,39.89%,973,554,1527
"Lone Star College System, Proposition 1",0660,950,825,1775,5372,33.04%,1045,263,1308
"Lone Star College System, Proposition 1",0661,675,765,1440,4567,31.53%,793,353,1146
"Lone Star College System, Proposition 1",0664,352,250,602,2869,20.98%,386,64,450
"Lone Star College System, Proposition 1",0667,488,502,990,2149,46.07%,583,261,844
"Lone Star College System, Proposition 1",0668,399,509,908,2775,32.72%,469,214,683
"Lone Star College System, Proposition 1",0669,850,738,1588,3425,46.36%,917,402,1319
"Lone Star College System, Proposition 1",0670,956,471,1427,2983,47.84%,708,535,1243
