Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"TOTLMUD, Proposition 1",0363,367,265,632,1911,33.07%,171,309,480
"TOTLMUD, Proposition 1",0388,407,282,689,2022,34.08%,205,359,564
"TOTLMUD, Proposition 1",0967,15,48,63,165,38.18%,22,25,47
