Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Don Coffey,Totals
"Justice of the Peace, Precinct 3, Place 2",0799,28,15,43,161,26.71%,35,35
"Justice of the Peace, Precinct 3, Place 2",0824,428,282,710,2700,26.30%,573,573
"Justice of the Peace, Precinct 3, Place 2",0827,60,98,158,979,16.14%,99,99
"Justice of the Peace, Precinct 3, Place 2",0832,34,28,62,352,17.61%,44,44
"Justice of the Peace, Precinct 3, Place 2",0834,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 3, Place 2",0843,0,1,1,0,0.00%,1,1
"Justice of the Peace, Precinct 3, Place 2",0847,305,211,516,2015,25.61%,384,384
"Justice of the Peace, Precinct 3, Place 2",0872,5,3,8,59,13.56%,4,4
"Justice of the Peace, Precinct 3, Place 2",0937,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 3, Place 2",0963,64,41,105,426,24.65%,54,54
"Justice of the Peace, Precinct 3, Place 2",0964,568,437,1005,2372,42.37%,464,464
"Justice of the Peace, Precinct 3, Place 2",0965,31,21,52,343,15.16%,29,29
"Justice of the Peace, Precinct 3, Place 2",0976,68,62,130,683,19.03%,52,52
"Justice of the Peace, Precinct 3, Place 2",0988,24,12,36,123,29.27%,7,7
"Justice of the Peace, Precinct 3, Place 2",1008,32,12,44,151,29.14%,14,14
"Justice of the Peace, Precinct 3, Place 2",1009,0,0,0,9,0.00%,0,0
"Justice of the Peace, Precinct 3, Place 2",1032,31,25,56,244,22.95%,22,22
"Justice of the Peace, Precinct 3, Place 2",1053,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 3, Place 2",1060,5,2,7,42,16.67%,2,2
"Justice of the Peace, Precinct 3, Place 2",Totals:,29579,21025,50604,169104,,31355,31355
