Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Devlin,DEM Tracy D. Good,Totals
"Family District Judge, 313th Judicial District",0078,180,201,381,1522,25.03%,131,228,359
"Family District Judge, 313th Judicial District",0079,205,306,511,2927,17.46%,131,337,468
"Family District Judge, 313th Judicial District",0080,501,351,852,2725,31.27%,209,603,812
"Family District Judge, 313th Judicial District",0081,183,187,370,1835,20.16%,148,199,347
"Family District Judge, 313th Judicial District",0082,639,671,1310,3368,38.90%,986,285,1271
"Family District Judge, 313th Judicial District",0083,1296,888,2184,6625,32.97%,1058,1048,2106
"Family District Judge, 313th Judicial District",0084,208,218,426,1373,31.03%,304,106,410
"Family District Judge, 313th Judicial District",0085,271,248,519,2173,23.88%,21,490,511
"Family District Judge, 313th Judicial District",0086,447,568,1015,2910,34.88%,454,503,957
"Family District Judge, 313th Judicial District",0087,574,787,1461,2818,51.85%,897,439,1336
"Family District Judge, 313th Judicial District",0088,123,118,241,693,34.78%,156,73,229
"Family District Judge, 313th Judicial District",0089,165,371,536,1094,48.99%,285,197,482
"Family District Judge, 313th Judicial District",0090,844,790,1634,3700,44.16%,1197,367,1564
"Family District Judge, 313th Judicial District",0091,219,222,441,1505,29.30%,264,160,424
"Family District Judge, 313th Judicial District",0092,695,462,1157,2242,51.61%,762,324,1086
"Family District Judge, 313th Judicial District",0093,381,301,682,3356,20.32%,279,361,640
"Family District Judge, 313th Judicial District",0094,51,43,94,549,17.12%,27,64,91
"Family District Judge, 313th Judicial District",0095,917,576,1493,3177,46.99%,1078,340,1418
"Family District Judge, 313th Judicial District",0096,83,83,166,1296,12.81%,23,141,164
"Family District Judge, 313th Judicial District",0097,1024,725,1749,4828,36.23%,1293,399,1692
"Family District Judge, 313th Judicial District",0098,403,488,891,2651,33.61%,730,129,859
"Family District Judge, 313th Judicial District",0099,254,184,438,2092,20.94%,213,209,422
"Family District Judge, 313th Judicial District",0100,155,173,338,1730,19.54%,173,158,331
"Family District Judge, 313th Judicial District",0101,72,58,130,946,13.74%,48,80,128
"Family District Judge, 313th Judicial District",0102,207,121,328,1872,17.52%,89,227,316
"Family District Judge, 313th Judicial District",0103,700,714,1414,5371,26.33%,796,580,1376
"Family District Judge, 313th Judicial District",0104,530,231,761,1905,39.95%,16,728,744
"Family District Judge, 313th Judicial District",0105,195,210,406,2165,18.75%,133,243,376
"Family District Judge, 313th Judicial District",0106,15,7,25,294,8.50%,14,9,23
"Family District Judge, 313th Judicial District",0107,154,197,351,2032,17.27%,60,278,338
"Family District Judge, 313th Judicial District",0108,558,272,940,3365,27.93%,560,346,906
"Family District Judge, 313th Judicial District",0109,529,245,774,2824,27.41%,10,747,757
"Family District Judge, 313th Judicial District",0110,554,494,1148,3042,37.74%,746,361,1107
"Family District Judge, 313th Judicial District",0111,815,795,1611,4102,39.27%,1177,369,1546
"Family District Judge, 313th Judicial District",0112,542,485,1027,2976,34.51%,746,237,983
"Family District Judge, 313th Judicial District",0113,552,429,991,2647,37.44%,602,341,943
"Family District Judge, 313th Judicial District",0114,707,547,1254,3311,37.87%,1003,219,1222
"Family District Judge, 313th Judicial District",0115,238,150,388,1800,21.56%,51,327,378
"Family District Judge, 313th Judicial District",0116,982,776,1758,3147,55.86%,1333,313,1646
"Family District Judge, 313th Judicial District",0117,215,226,441,1880,23.46%,217,200,417
"Family District Judge, 313th Judicial District",0118,304,123,427,759,56.26%,358,51,409
"Family District Judge, 313th Judicial District",0119,1288,1024,2312,5500,42.04%,1866,359,2225
"Family District Judge, 313th Judicial District",0120,712,422,1134,3191,35.54%,736,344,1080
"Family District Judge, 313th Judicial District",0121,92,178,270,848,31.84%,189,71,250
"Family District Judge, 313th Judicial District",0122,352,225,577,1890,30.53%,17,536,553
"Family District Judge, 313th Judicial District",0123,284,288,572,1392,41.09%,144,386,530
"Family District Judge, 313th Judicial District",0124,1734,1292,3026,7254,41.71%,2392,554,2946
"Family District Judge, 313th Judicial District",0125,415,332,747,2405,31.06%,458,262,720
"Family District Judge, 313th Judicial District",0126,893,467,1360,3100,43.87%,1198,122,1320
"Family District Judge, 313th Judicial District",0127,435,154,589,1836,32.08%,420,134,554
"Family District Judge, 313th Judicial District",0128,445,707,1152,2290,50.31%,715,329,1044
"Family District Judge, 313th Judicial District",0129,1030,1200,2230,5746,38.81%,1382,721,2103
"Family District Judge, 313th Judicial District",0130,727,523,1250,2333,53.58%,919,270,1189
"Family District Judge, 313th Judicial District",0131,251,259,510,1935,26.36%,118,369,487
"Family District Judge, 313th Judicial District",0132,593,323,916,2387,38.37%,18,879,897
"Family District Judge, 313th Judicial District",0133,513,858,1371,2662,51.50%,777,474,1251
"Family District Judge, 313th Judicial District",0134,192,265,457,1437,31.80%,205,228,433
"Family District Judge, 313th Judicial District",0135,727,579,1305,2671,48.90%,905,314,1219
"Family District Judge, 313th Judicial District",0136,503,371,874,2013,43.42%,28,820,848
