Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Devlin,DEM Tracy D. Good,Totals
"Family District Judge, 313th Judicial District",0334,83,42,125,742,16.85%,21,101,122
"Family District Judge, 313th Judicial District",0335,121,98,219,1300,16.85%,85,118,203
"Family District Judge, 313th Judicial District",0336,866,624,1490,4051,36.78%,137,1317,1454
"Family District Judge, 313th Judicial District",0337,124,103,227,1029,22.06%,41,174,215
"Family District Judge, 313th Judicial District",0338,730,391,1121,4934,22.72%,378,664,1042
"Family District Judge, 313th Judicial District",0339,202,222,424,1757,24.13%,88,307,395
"Family District Judge, 313th Judicial District",0340,1038,594,1632,3765,43.35%,1220,334,1554
"Family District Judge, 313th Judicial District",0341,91,167,258,1290,20.00%,86,166,252
"Family District Judge, 313th Judicial District",0342,675,605,1280,6526,19.61%,207,1039,1246
"Family District Judge, 313th Judicial District",0343,189,271,460,1964,23.42%,136,292,428
"Family District Judge, 313th Judicial District",0344,154,172,326,1160,28.10%,15,297,312
"Family District Judge, 313th Judicial District",0345,156,165,321,1804,17.79%,97,208,305
"Family District Judge, 313th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"Family District Judge, 313th Judicial District",0347,592,436,1028,3387,30.35%,686,305,991
"Family District Judge, 313th Judicial District",0348,438,208,646,1708,37.82%,493,122,615
"Family District Judge, 313th Judicial District",0349,188,267,455,1349,33.73%,281,150,431
"Family District Judge, 313th Judicial District",0350,524,526,1050,2909,36.09%,420,540,960
"Family District Judge, 313th Judicial District",0351,1491,710,2201,4712,46.71%,1735,384,2119
"Family District Judge, 313th Judicial District",0352,520,339,859,3205,26.80%,622,200,822
"Family District Judge, 313th Judicial District",0353,665,451,1116,3862,28.90%,199,886,1085
"Family District Judge, 313th Judicial District",0354,715,338,1053,3388,31.08%,256,765,1021
"Family District Judge, 313th Judicial District",0355,301,264,565,1560,36.22%,48,500,548
"Family District Judge, 313th Judicial District",0356,594,538,1132,2972,38.09%,732,347,1079
"Family District Judge, 313th Judicial District",0357,837,575,1412,3517,40.15%,1034,330,1364
"Family District Judge, 313th Judicial District",0358,212,254,466,2492,18.70%,48,403,451
"Family District Judge, 313th Judicial District",0359,234,224,458,3061,14.96%,61,389,450
"Family District Judge, 313th Judicial District",0360,522,380,902,2146,42.03%,466,350,816
"Family District Judge, 313th Judicial District",0361,41,295,336,1673,20.08%,48,247,295
"Family District Judge, 313th Judicial District",0362,1138,887,2025,5086,39.82%,1484,437,1921
"Family District Judge, 313th Judicial District",0363,620,412,1032,3677,28.07%,459,540,999
"Family District Judge, 313th Judicial District",0364,488,405,893,2658,33.60%,515,332,847
"Family District Judge, 313th Judicial District",0365,478,231,709,1305,54.33%,53,639,692
"Family District Judge, 313th Judicial District",0366,252,270,522,2454,21.27%,133,375,508
"Family District Judge, 313th Judicial District",0367,170,138,308,1130,27.26%,69,233,302
"Family District Judge, 313th Judicial District",0368,178,88,266,958,27.77%,69,186,255
"Family District Judge, 313th Judicial District",0369,32,29,61,559,10.91%,16,43,59
"Family District Judge, 313th Judicial District",0370,1532,1105,2637,6593,40.00%,1982,566,2548
"Family District Judge, 313th Judicial District",0371,122,52,174,502,34.66%,6,163,169
"Family District Judge, 313th Judicial District",0372,221,170,391,1224,31.94%,46,333,379
"Family District Judge, 313th Judicial District",0373,21,12,33,157,21.02%,2,29,31
"Family District Judge, 313th Judicial District",0374,65,93,158,738,21.41%,57,93,150
"Family District Judge, 313th Judicial District",0375,254,220,474,2645,17.92%,233,207,440
"Family District Judge, 313th Judicial District",0376,278,205,483,1910,25.29%,217,243,460
"Family District Judge, 313th Judicial District",0377,525,583,1109,2920,37.98%,821,229,1050
"Family District Judge, 313th Judicial District",0378,232,354,586,1829,32.04%,365,192,557
"Family District Judge, 313th Judicial District",0379,431,289,720,2027,35.52%,72,633,705
"Family District Judge, 313th Judicial District",0380,1299,995,2294,5666,40.49%,1246,974,2220
"Family District Judge, 313th Judicial District",0381,412,248,660,2855,23.12%,308,322,630
"Family District Judge, 313th Judicial District",0382,132,157,289,922,31.34%,212,68,280
"Family District Judge, 313th Judicial District",0383,289,263,552,2173,25.40%,225,305,530
"Family District Judge, 313th Judicial District",0384,573,373,946,2657,35.60%,187,722,909
"Family District Judge, 313th Judicial District",0385,583,670,1253,2207,56.77%,974,209,1183
"Family District Judge, 313th Judicial District",0386,662,469,1131,2922,38.71%,825,259,1084
"Family District Judge, 313th Judicial District",0387,555,672,1227,3935,31.18%,884,302,1186
"Family District Judge, 313th Judicial District",0388,1430,1010,2440,6888,35.42%,1406,963,2369
"Family District Judge, 313th Judicial District",0389,91,208,299,1026,29.14%,42,233,275
"Family District Judge, 313th Judicial District",0390,356,263,619,1480,41.82%,75,522,597
"Family District Judge, 313th Judicial District",0391,508,260,768,1883,40.79%,476,253,729
"Family District Judge, 313th Judicial District",0392,387,155,542,1446,37.48%,9,524,533
"Family District Judge, 313th Judicial District",0393,165,185,350,1292,27.09%,165,175,340
"Family District Judge, 313th Judicial District",0394,69,73,142,834,17.03%,73,63,136
"Family District Judge, 313th Judicial District",0395,469,404,873,1846,47.29%,627,199,826
"Family District Judge, 313th Judicial District",0396,622,216,838,2082,40.25%,19,802,821
"Family District Judge, 313th Judicial District",0397,86,78,164,760,21.58%,75,83,158
"Family District Judge, 313th Judicial District",0398,615,521,1136,4022,28.24%,611,495,1106
"Family District Judge, 313th Judicial District",0399,402,366,768,2791,27.52%,418,325,743
"Family District Judge, 313th Judicial District",0400,620,359,979,2411,40.61%,704,224,928
"Family District Judge, 313th Judicial District",0401,330,205,535,1913,27.97%,18,505,523
"Family District Judge, 313th Judicial District",0402,466,266,732,1794,40.80%,37,680,717
"Family District Judge, 313th Judicial District",0403,475,498,973,1715,56.73%,529,347,876
"Family District Judge, 313th Judicial District",0404,419,330,749,2585,28.97%,429,289,718
"Family District Judge, 313th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"Family District Judge, 313th Judicial District",0406,137,67,204,628,32.48%,3,197,200
"Family District Judge, 313th Judicial District",0407,688,793,1481,3769,39.29%,988,403,1391
"Family District Judge, 313th Judicial District",0408,146,153,299,1691,17.68%,142,142,284
"Family District Judge, 313th Judicial District",0409,122,149,271,1459,18.57%,111,149,260
"Family District Judge, 313th Judicial District",0410,132,80,212,899,23.58%,44,157,201
"Family District Judge, 313th Judicial District",0411,235,200,435,2339,18.60%,160,252,412
"Family District Judge, 313th Judicial District",0412,74,44,118,468,25.21%,6,107,113
"Family District Judge, 313th Judicial District",0413,767,386,1153,2992,38.54%,453,650,1103
"Family District Judge, 313th Judicial District",0414,654,480,1134,3453,32.84%,870,212,1082
"Family District Judge, 313th Judicial District",0415,539,598,1137,2203,51.61%,763,322,1085
"Family District Judge, 313th Judicial District",0416,538,558,1096,3791,28.91%,609,442,1051
"Family District Judge, 313th Judicial District",0417,353,385,738,2448,30.15%,368,337,705
"Family District Judge, 313th Judicial District",0418,403,469,872,3584,24.33%,361,471,832
"Family District Judge, 313th Judicial District",0419,571,324,895,2658,33.67%,591,263,854
"Family District Judge, 313th Judicial District",0420,1036,874,1910,4762,40.11%,1565,275,1840
"Family District Judge, 313th Judicial District",0421,36,37,73,410,17.80%,26,42,68
"Family District Judge, 313th Judicial District",0422,731,402,1133,3345,33.87%,34,1078,1112
"Family District Judge, 313th Judicial District",0423,108,120,228,1376,16.57%,75,141,216
"Family District Judge, 313th Judicial District",0424,240,111,351,967,36.30%,209,122,331
"Family District Judge, 313th Judicial District",0425,107,123,230,883,26.05%,89,130,219
"Family District Judge, 313th Judicial District",0426,260,183,443,1218,36.37%,259,159,418
"Family District Judge, 313th Judicial District",0427,179,134,313,1092,28.66%,138,152,290
"Family District Judge, 313th Judicial District",0428,619,421,1040,4538,22.92%,329,631,960
"Family District Judge, 313th Judicial District",0429,445,314,759,3197,23.74%,205,510,715
"Family District Judge, 313th Judicial District",0430,161,133,294,1657,17.74%,92,186,278
"Family District Judge, 313th Judicial District",0431,327,84,411,3417,12.03%,153,234,387
"Family District Judge, 313th Judicial District",0432,123,157,280,1455,19.24%,104,166,270
"Family District Judge, 313th Judicial District",0433,50,63,113,581,19.45%,26,83,109
"Family District Judge, 313th Judicial District",0434,370,289,659,1503,43.85%,410,209,619
"Family District Judge, 313th Judicial District",0435,855,636,1491,3252,45.85%,965,441,1406
"Family District Judge, 313th Judicial District",0436,629,531,1160,2933,39.55%,729,359,1088
"Family District Judge, 313th Judicial District",0437,521,512,1033,2033,50.81%,716,247,963
"Family District Judge, 313th Judicial District",0438,517,389,1006,1861,54.06%,770,178,948
"Family District Judge, 313th Judicial District",0439,710,884,1594,3554,44.85%,1153,345,1498
"Family District Judge, 313th Judicial District",0440,664,858,1522,2930,51.95%,1209,218,1427
"Family District Judge, 313th Judicial District",0441,345,420,765,1669,45.84%,575,144,719
"Family District Judge, 313th Judicial District",0442,612,574,1186,2575,46.06%,975,163,1138
"Family District Judge, 313th Judicial District",0443,226,138,364,646,56.35%,256,81,337
"Family District Judge, 313th Judicial District",0444,587,583,1270,3262,38.93%,797,395,1192
"Family District Judge, 313th Judicial District",0445,499,348,847,2026,41.81%,570,236,806
"Family District Judge, 313th Judicial District",0446,31,22,53,291,18.21%,23,27,50
"Family District Judge, 313th Judicial District",0447,93,86,179,637,28.10%,49,119,168
"Family District Judge, 313th Judicial District",0448,590,778,1368,3138,43.59%,740,534,1274
"Family District Judge, 313th Judicial District",0449,12,23,35,198,17.68%,4,30,34
"Family District Judge, 313th Judicial District",0450,435,328,763,2635,28.96%,237,494,731
"Family District Judge, 313th Judicial District",0451,1002,510,1512,2687,56.27%,1228,204,1432
"Family District Judge, 313th Judicial District",0452,554,444,998,3048,32.74%,735,229,964
"Family District Judge, 313th Judicial District",0453,231,262,493,1937,25.45%,195,274,469
"Family District Judge, 313th Judicial District",0454,594,248,842,2561,32.88%,9,813,822
"Family District Judge, 313th Judicial District",0455,367,165,532,1689,31.50%,20,504,524
"Family District Judge, 313th Judicial District",0456,482,362,844,3513,24.03%,488,329,817
"Family District Judge, 313th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"Family District Judge, 313th Judicial District",0458,471,237,708,1924,36.80%,37,648,685
"Family District Judge, 313th Judicial District",0459,951,474,1425,3021,47.17%,1114,257,1371
"Family District Judge, 313th Judicial District",0460,554,331,885,2837,31.19%,233,633,866
"Family District Judge, 313th Judicial District",0461,1155,735,1900,3871,49.08%,1318,452,1770
"Family District Judge, 313th Judicial District",0462,674,619,1293,3384,38.21%,473,754,1227
"Family District Judge, 313th Judicial District",0463,480,404,884,3326,26.58%,404,448,852
"Family District Judge, 313th Judicial District",0464,356,430,786,2257,34.82%,563,194,757
"Family District Judge, 313th Judicial District",0465,687,520,1207,3564,33.87%,681,484,1165
"Family District Judge, 313th Judicial District",0466,1058,614,1672,4184,39.96%,970,642,1612
"Family District Judge, 313th Judicial District",0467,213,189,402,1270,31.65%,100,293,393
"Family District Judge, 313th Judicial District",0468,352,443,795,3598,22.10%,248,515,763
"Family District Judge, 313th Judicial District",0469,1294,547,1841,3985,46.20%,1448,302,1750
"Family District Judge, 313th Judicial District",0470,185,176,361,1326,27.22%,265,76,341
"Family District Judge, 313th Judicial District",0471,375,380,755,2387,31.63%,605,128,733
"Family District Judge, 313th Judicial District",0472,198,278,476,1081,44.03%,195,240,435
"Family District Judge, 313th Judicial District",0473,599,391,990,1806,54.82%,690,248,938
"Family District Judge, 313th Judicial District",0474,559,588,1147,3037,37.77%,794,316,1110
"Family District Judge, 313th Judicial District",0475,189,267,456,1809,25.21%,219,214,433
"Family District Judge, 313th Judicial District",0476,404,473,877,2430,36.09%,490,351,841
"Family District Judge, 313th Judicial District",0477,737,567,1304,3505,37.20%,979,271,1250
"Family District Judge, 313th Judicial District",0478,958,657,1615,4461,36.20%,1090,450,1540
"Family District Judge, 313th Judicial District",0479,638,612,1250,2714,46.06%,918,279,1197
"Family District Judge, 313th Judicial District",0480,493,450,943,2415,39.05%,678,224,902
"Family District Judge, 313th Judicial District",0481,770,623,1393,3482,40.01%,1050,276,1326
"Family District Judge, 313th Judicial District",0482,878,630,1508,4373,34.48%,1081,377,1458
"Family District Judge, 313th Judicial District",0483,1042,478,1520,4308,35.28%,886,565,1451
"Family District Judge, 313th Judicial District",0484,1107,930,2037,4979,40.91%,1453,516,1969
"Family District Judge, 313th Judicial District",0485,1095,911,2006,5388,37.23%,1554,392,1946
"Family District Judge, 313th Judicial District",0486,873,855,1728,3866,44.70%,1356,301,1657
"Family District Judge, 313th Judicial District",0487,570,294,864,3860,22.38%,310,482,792
"Family District Judge, 313th Judicial District",0488,268,254,522,1719,30.37%,194,287,481
"Family District Judge, 313th Judicial District",0489,350,290,640,1893,33.81%,210,398,608
"Family District Judge, 313th Judicial District",0490,444,368,812,1975,41.11%,290,486,776
"Family District Judge, 313th Judicial District",0491,314,372,686,1888,36.33%,407,241,648
"Family District Judge, 313th Judicial District",0492,556,410,966,2335,41.37%,582,332,914
"Family District Judge, 313th Judicial District",0493,479,322,801,1853,43.23%,535,218,753
"Family District Judge, 313th Judicial District",0494,381,247,628,2467,25.46%,79,532,611
"Family District Judge, 313th Judicial District",0495,522,523,1045,2375,44.00%,752,227,979
"Family District Judge, 313th Judicial District",0496,190,315,505,2160,23.38%,200,289,489
"Family District Judge, 313th Judicial District",0497,526,243,769,2257,34.07%,25,722,747
"Family District Judge, 313th Judicial District",0498,363,323,686,2297,29.87%,310,357,667
"Family District Judge, 313th Judicial District",0499,750,518,1268,2326,54.51%,920,267,1187
"Family District Judge, 313th Judicial District",0500,729,715,1444,3507,41.17%,998,388,1386
"Family District Judge, 313th Judicial District",0501,341,417,758,1801,42.09%,269,431,700
"Family District Judge, 313th Judicial District",0502,477,350,827,2501,33.07%,671,126,797
"Family District Judge, 313th Judicial District",0503,174,116,290,1374,21.11%,113,155,268
"Family District Judge, 313th Judicial District",0504,524,527,1151,2288,50.31%,746,332,1078
"Family District Judge, 313th Judicial District",0505,531,562,1193,3773,31.62%,541,566,1107
"Family District Judge, 313th Judicial District",0506,665,670,1335,3502,38.12%,228,1061,1289
"Family District Judge, 313th Judicial District",0507,221,149,370,2452,15.09%,75,228,303
"Family District Judge, 313th Judicial District",0508,492,412,904,3287,27.50%,344,492,836
"Family District Judge, 313th Judicial District",0509,753,596,1349,3732,36.15%,944,339,1283
"Family District Judge, 313th Judicial District",0510,687,514,1201,3590,33.45%,607,539,1146
"Family District Judge, 313th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"Family District Judge, 313th Judicial District",0512,602,660,1262,5057,24.96%,602,626,1228
"Family District Judge, 313th Judicial District",0513,1019,487,1506,2894,52.04%,1156,275,1431
"Family District Judge, 313th Judicial District",0514,953,720,1673,4275,39.13%,1252,351,1603
"Family District Judge, 313th Judicial District",0515,942,683,1625,3455,47.03%,1312,245,1557
"Family District Judge, 313th Judicial District",0516,1000,800,1800,5356,33.61%,954,759,1713
"Family District Judge, 313th Judicial District",0517,481,256,737,2954,24.95%,419,295,714
"Family District Judge, 313th Judicial District",0518,635,693,1328,3943,33.68%,865,406,1271
"Family District Judge, 313th Judicial District",0519,623,493,1116,2966,37.63%,827,250,1077
"Family District Judge, 313th Judicial District",0520,473,457,930,4580,20.31%,170,735,905
"Family District Judge, 313th Judicial District",0521,471,464,935,2866,32.62%,510,390,900
"Family District Judge, 313th Judicial District",0522,715,572,1288,2689,47.90%,982,255,1237
"Family District Judge, 313th Judicial District",0523,751,415,1166,3052,38.20%,784,330,1114
"Family District Judge, 313th Judicial District",0524,567,459,1026,3410,30.09%,357,633,990
"Family District Judge, 313th Judicial District",0525,707,482,1189,3091,38.47%,272,867,1139
"Family District Judge, 313th Judicial District",0526,58,84,152,780,19.49%,46,96,142
"Family District Judge, 313th Judicial District",0527,37,40,77,574,13.41%,40,33,73
"Family District Judge, 313th Judicial District",0528,14,12,26,90,28.89%,3,22,25
"Family District Judge, 313th Judicial District",0529,1043,491,1534,3710,41.35%,1309,165,1474
"Family District Judge, 313th Judicial District",0530,114,107,221,1196,18.48%,57,149,206
"Family District Judge, 313th Judicial District",0531,363,174,537,1145,46.90%,415,100,515
"Family District Judge, 313th Judicial District",0532,205,146,351,1048,33.49%,256,83,339
"Family District Judge, 313th Judicial District",0533,124,108,232,1119,20.73%,137,84,221
"Family District Judge, 313th Judicial District",0534,783,524,1,307,3837,34.06%,993,252,1245
"Family District Judge, 313th Judicial District",0535,33,29,62,416,14.90%,31,30,61
"Family District Judge, 313th Judicial District",0536,554,780,1334,5139,25.96%,518,769,1287
"Family District Judge, 313th Judicial District",0537,855,778,1633,3050,53.54%,1198,360,1558
"Family District Judge, 313th Judicial District",0538,204,160,364,1303,27.94%,6,352,358
"Family District Judge, 313th Judicial District",0539,15,241,256,64,400.00%,72,166,238
"Family District Judge, 313th Judicial District",0540,378,316,694,1567,44.29%,290,348,638
"Family District Judge, 313th Judicial District",0541,784,505,1289,4599,28.03%,180,1058,1238
"Family District Judge, 313th Judicial District",0542,360,382,742,2557,29.02%,45,671,716
"Family District Judge, 313th Judicial District",0543,141,213,354,1565,22.62%,114,220,334
"Family District Judge, 313th Judicial District",0544,35,41,77,310,24.84%,12,64,76
"Family District Judge, 313th Judicial District",0545,596,620,1216,3629,33.51%,615,551,1166
"Family District Judge, 313th Judicial District",0546,2,2,4,37,10.81%,2,1,3
"Family District Judge, 313th Judicial District",0547,501,466,967,2406,40.19%,670,252,922
"Family District Judge, 313th Judicial District",0548,285,293,579,2215,26.14%,305,257,562
"Family District Judge, 313th Judicial District",0549,343,418,761,2663,28.58%,112,634,746
"Family District Judge, 313th Judicial District",0550,501,431,932,3031,30.75%,533,364,897
"Family District Judge, 313th Judicial District",0551,1288,1394,2682,7034,38.13%,2032,572,2604
"Family District Judge, 313th Judicial District",0552,847,883,1730,3415,50.66%,1441,233,1674
"Family District Judge, 313th Judicial District",0553,578,529,1107,4686,23.62%,507,564,1071
"Family District Judge, 313th Judicial District",0554,261,199,460,1757,26.18%,98,328,426
"Family District Judge, 313th Judicial District",0555,225,277,502,2219,22.62%,107,374,481
"Family District Judge, 313th Judicial District",0556,276,186,462,2319,19.92%,142,304,446
"Family District Judge, 313th Judicial District",0557,455,183,638,2830,22.54%,260,297,557
"Family District Judge, 313th Judicial District",0558,693,463,1156,4380,26.39%,406,707,1113
"Family District Judge, 313th Judicial District",0559,640,494,1134,4969,22.82%,349,743,1092
"Family District Judge, 313th Judicial District",0560,72,131,203,1120,18.13%,54,136,190
"Family District Judge, 313th Judicial District",0561,362,436,798,3064,26.04%,482,281,763
"Family District Judge, 313th Judicial District",0562,113,68,181,694,26.08%,25,153,178
"Family District Judge, 313th Judicial District",0563,1107,376,1483,3105,47.76%,1164,254,1418
"Family District Judge, 313th Judicial District",0564,470,426,896,3155,28.40%,234,618,852
"Family District Judge, 313th Judicial District",0565,108,78,186,1354,13.74%,43,129,172
"Family District Judge, 313th Judicial District",0566,417,324,741,2882,25.71%,233,484,717
"Family District Judge, 313th Judicial District",0567,301,193,494,2238,22.07%,165,285,450
"Family District Judge, 313th Judicial District",0568,876,685,1561,3594,43.43%,1025,443,1468
"Family District Judge, 313th Judicial District",0569,572,667,1239,3525,35.15%,651,511,1162
"Family District Judge, 313th Judicial District",0570,238,210,448,1562,28.68%,147,261,408
"Family District Judge, 313th Judicial District",0571,155,149,304,1827,16.64%,119,176,295
"Family District Judge, 313th Judicial District",0572,555,375,930,3108,29.92%,484,398,882
"Family District Judge, 313th Judicial District",0573,290,151,441,1619,27.24%,7,429,436
"Family District Judge, 313th Judicial District",0574,31,42,73,402,18.16%,9,64,73
"Family District Judge, 313th Judicial District",0575,13,11,24,74,32.43%,17,6,23
"Family District Judge, 313th Judicial District",0576,485,318,803,2734,29.37%,24,763,787
"Family District Judge, 313th Judicial District",0577,147,88,235,608,38.65%,139,83,222
"Family District Judge, 313th Judicial District",0578,409,538,947,1799,52.64%,585,315,900
"Family District Judge, 313th Judicial District",0579,75,101,176,1056,16.67%,34,135,169
"Family District Judge, 313th Judicial District",0580,179,118,297,1031,28.81%,3,282,285
"Family District Judge, 313th Judicial District",0581,212,174,386,1032,37.40%,7,367,374
"Family District Judge, 313th Judicial District",0582,258,171,429,1588,27.02%,20,398,418
"Family District Judge, 313th Judicial District",0583,225,131,356,1262,28.21%,12,335,347
"Family District Judge, 313th Judicial District",0584,182,93,275,1014,27.12%,11,261,272
"Family District Judge, 313th Judicial District",0585,417,172,589,2511,23.46%,15,561,576
"Family District Judge, 313th Judicial District",0586,638,680,1318,4316,30.54%,803,463,1266
"Family District Judge, 313th Judicial District",0587,436,284,720,2598,27.71%,286,414,700
"Family District Judge, 313th Judicial District",0588,758,674,1432,3645,39.29%,1022,356,1378
"Family District Judge, 313th Judicial District",0589,500,386,886,3420,25.91%,495,362,857
"Family District Judge, 313th Judicial District",0590,772,399,1171,2162,54.16%,915,211,1126
"Family District Judge, 313th Judicial District",0591,183,231,414,2121,19.52%,125,270,395
"Family District Judge, 313th Judicial District",0592,133,157,290,1350,21.48%,79,196,275
"Family District Judge, 313th Judicial District",0593,543,564,1107,4380,25.27%,532,519,1051
"Family District Judge, 313th Judicial District",0594,561,326,887,2490,35.62%,253,601,854
"Family District Judge, 313th Judicial District",0595,201,178,379,1693,22.39%,71,300,371
"Family District Judge, 313th Judicial District",0596,441,348,789,3007,26.24%,437,322,759
"Family District Judge, 313th Judicial District",0597,367,394,761,3653,20.83%,333,412,745
"Family District Judge, 313th Judicial District",0598,195,57,252,728,34.62%,203,43,246
"Family District Judge, 313th Judicial District",0599,850,578,1428,4950,28.85%,503,875,1378
"Family District Judge, 313th Judicial District",0600,667,429,1096,3957,27.70%,446,602,1048
"Family District Judge, 313th Judicial District",0601,1073,756,1829,4057,45.08%,1394,368,1762
"Family District Judge, 313th Judicial District",0602,293,235,528,1326,39.82%,386,125,511
"Family District Judge, 313th Judicial District",0603,884,794,1678,4843,34.65%,1069,568,1637
"Family District Judge, 313th Judicial District",0604,702,518,1220,3005,40.60%,1005,170,1175
"Family District Judge, 313th Judicial District",0605,907,556,1463,5582,26.21%,363,1058,1421
"Family District Judge, 313th Judicial District",0606,176,70,246,937,26.25%,4,237,241
"Family District Judge, 313th Judicial District",0607,62,51,113,728,15.52%,12,94,106
"Family District Judge, 313th Judicial District",0608,31,47,78,537,14.53%,43,31,74
"Family District Judge, 313th Judicial District",0609,667,680,1347,3384,39.80%,831,442,1273
"Family District Judge, 313th Judicial District",0610,231,188,419,1927,21.74%,216,173,389
"Family District Judge, 313th Judicial District",0611,495,242,737,2488,29.62%,20,701,721
"Family District Judge, 313th Judicial District",0612,996,497,1493,3307,45.15%,1115,295,1410
"Family District Judge, 313th Judicial District",0613,186,204,390,1554,25.10%,61,316,377
"Family District Judge, 313th Judicial District",0614,737,566,1303,4207,30.97%,499,755,1254
"Family District Judge, 313th Judicial District",0615,480,299,779,1967,39.60%,500,257,757
"Family District Judge, 313th Judicial District",0616,739,663,1402,3436,40.80%,984,363,1347
"Family District Judge, 313th Judicial District",0617,541,393,934,3809,24.52%,383,532,915
"Family District Judge, 313th Judicial District",0618,946,567,1513,6003,25.20%,763,704,1467
"Family District Judge, 313th Judicial District",0619,1219,803,2022,4297,47.06%,1498,431,1929
"Family District Judge, 313th Judicial District",0620,689,264,953,2897,32.90%,613,295,908
"Family District Judge, 313th Judicial District",0621,154,101,255,1133,22.51%,129,112,241
"Family District Judge, 313th Judicial District",0622,881,524,1405,4403,31.91%,864,487,1351
"Family District Judge, 313th Judicial District",0623,887,487,1374,3691,37.23%,931,376,1307
"Family District Judge, 313th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"Family District Judge, 313th Judicial District",0625,477,362,839,1820,46.10%,480,304,784
"Family District Judge, 313th Judicial District",0626,581,440,1021,2861,35.69%,568,396,964
"Family District Judge, 313th Judicial District",0627,346,322,668,3049,21.91%,242,395,637
"Family District Judge, 313th Judicial District",0628,152,219,371,1675,22.15%,198,164,362
"Family District Judge, 313th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"Family District Judge, 313th Judicial District",0630,974,600,1574,3905,40.31%,119,1414,1533
"Family District Judge, 313th Judicial District",0631,822,404,1226,2846,43.08%,896,281,1177
"Family District Judge, 313th Judicial District",0632,7,4,11,343,3.21%,3,8,11
"Family District Judge, 313th Judicial District",0633,943,731,1674,3559,47.04%,1186,422,1608
"Family District Judge, 313th Judicial District",0634,458,442,900,3029,29.71%,593,274,867
"Family District Judge, 313th Judicial District",0635,743,485,1228,3393,36.19%,924,265,1189
"Family District Judge, 313th Judicial District",0636,835,874,1710,4140,41.30%,1474,180,1654
"Family District Judge, 313th Judicial District",0637,409,362,771,2512,30.69%,189,533,722
"Family District Judge, 313th Judicial District",0638,304,245,549,2204,24.91%,45,483,528
"Family District Judge, 313th Judicial District",0639,549,547,1096,2526,43.39%,881,172,1053
"Family District Judge, 313th Judicial District",0640,641,459,1100,3733,29.47%,697,368,1065
"Family District Judge, 313th Judicial District",0641,649,596,1245,3650,34.11%,826,370,1196
"Family District Judge, 313th Judicial District",0642,471,394,865,1764,49.04%,688,137,825
"Family District Judge, 313th Judicial District",0643,934,653,1587,5945,26.69%,629,911,1540
"Family District Judge, 313th Judicial District",0644,1019,823,1842,5523,33.35%,1216,549,1765
"Family District Judge, 313th Judicial District",0645,654,594,1248,4185,29.82%,686,511,1197
"Family District Judge, 313th Judicial District",0646,364,287,651,2220,29.32%,208,400,608
"Family District Judge, 313th Judicial District",0647,904,470,1374,6084,22.58%,387,874,1261
"Family District Judge, 313th Judicial District",0648,838,579,1417,3367,42.08%,1020,350,1370
"Family District Judge, 313th Judicial District",0649,687,434,1121,4576,24.50%,364,681,1045
"Family District Judge, 313th Judicial District",0650,906,766,1672,3888,43.00%,1210,387,1597
"Family District Judge, 313th Judicial District",0651,963,766,1729,5128,33.72%,1114,540,1654
"Family District Judge, 313th Judicial District",0652,467,515,982,2815,34.88%,168,780,948
"Family District Judge, 313th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"Family District Judge, 313th Judicial District",0654,950,1005,1955,6208,31.49%,1085,798,1883
"Family District Judge, 313th Judicial District",0655,1115,1079,2195,6855,32.02%,1373,736,2109
"Family District Judge, 313th Judicial District",0656,579,393,972,2674,36.35%,36,916,952
"Family District Judge, 313th Judicial District",0657,246,172,418,1292,32.35%,169,232,401
"Family District Judge, 313th Judicial District",0658,540,426,966,2807,34.41%,623,319,942
"Family District Judge, 313th Judicial District",0659,1149,788,1937,4856,39.89%,1390,489,1879
"Family District Judge, 313th Judicial District",0660,950,825,1775,5372,33.04%,158,1576,1734
"Family District Judge, 313th Judicial District",0661,675,765,1440,4567,31.53%,840,543,1383
"Family District Judge, 313th Judicial District",0662,1148,890,2038,4874,41.81%,1634,337,1971
"Family District Judge, 313th Judicial District",0663,717,797,1514,3346,45.25%,756,650,1406
"Family District Judge, 313th Judicial District",0664,352,250,602,2869,20.98%,132,439,571
"Family District Judge, 313th Judicial District",0665,482,348,830,2154,38.53%,701,102,803
"Family District Judge, 313th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"Family District Judge, 313th Judicial District",0667,488,502,990,2149,46.07%,772,178,950
"Family District Judge, 313th Judicial District",0668,399,509,908,2775,32.72%,589,291,880
"Family District Judge, 313th Judicial District",0669,850,738,1,588,3425,46.36%,1145,374,1519
"Family District Judge, 313th Judicial District",0670,955,471,1427,2983,47.84%,1136,232,1368
"Family District Judge, 313th Judicial District",0671,403,565,968,3037,31.87%,593,335,928
"Family District Judge, 313th Judicial District",0672,959,862,1821,5706,31.91%,1241,528,1769
"Family District Judge, 313th Judicial District",0673,729,516,1245,2995,41.57%,989,206,1195
