Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0330,334,253,587,1938,30.32%,299,247,21,2,589
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0331,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,0332,18,7,25,138,18.12%,14,10,1,0,25
Lieutenant Governor,0333,524,714,1238,3021,40.98%,826,341,44,5,1216
Lieutenant Governor,0334,83,42,125,742,16.85%,24,98,0,0,122
Lieutenant Governor,0335,121,98,219,1300,16.85%,80,125,6,1,212
Lieutenant Governor,0336,870,624,1494,4051,36.88%,141,1306,22,11,1480
Lieutenant Governor,0337,124,103,227,1029,22.06%,37,175,3,2,217
Lieutenant Governor,0338,731,391,1122,4934,22.74%,391,653,13,10,1067
Lieutenant Governor,0339,202,222,424,1757,24.13%,92,306,8,7,413
Lieutenant Governor,0340,1038,594,1632,3765,43.35%,1196,372,41,12,1621
Lieutenant Governor,0341,91,167,258,1290,20.00%,80,166,2,2,250
Lieutenant Governor,0342,675,605,1280,6526,19.61%,214,1026,13,8,1261
Lieutenant Governor,0343,189,271,460,1964,23.42%,133,299,6,2,440
Lieutenant Governor,0344,154,172,326,1160,28.10%,14,299,4,0,317
Lieutenant Governor,0345,156,165,321,1804,17.79%,91,208,11,4,314
Lieutenant Governor,0346,0,1,1,3,33.33%,1,0,0,0,1
Lieutenant Governor,0347,592,436,1028,3387,30.35%,669,316,25,3,1013
Lieutenant Governor,0348,438,208,646,1708,37.82%,483,138,16,4,641
Lieutenant Governor,0349,188,267,455,1349,33.73%,268,161,15,6,450
Lieutenant Governor,0350,525,526,1051,2909,36.13%,368,631,25,12,1036
Lieutenant Governor,0351,1491,710,2201,4712,46.71%,1671,449,50,6,2176
Lieutenant Governor,0352,520,339,859,3205,26.80%,617,202,30,1,850
Lieutenant Governor,0353,665,451,1116,3862,28.90%,209,873,9,6,1097
Lieutenant Governor,0354,715,338,1053,3388,31.08%,266,749,18,5,1038
Lieutenant Governor,0355,301,264,565,1560,36.22%,48,501,6,2,557
Lieutenant Governor,0356,594,538,1132,2972,38.09%,680,393,27,9,1109
Lieutenant Governor,0357,837,575,1412,3517,40.15%,999,360,30,6,1395
Lieutenant Governor,0358,213,254,467,2492,18.74%,50,394,7,4,455
Lieutenant Governor,0359,235,224,459,3061,15.00%,61,383,4,3,451
Lieutenant Governor,0360,524,380,904,2146,42.12%,412,436,29,9,886
Lieutenant Governor,0361,41,295,336,1673,20.08%,48,264,13,6,331
Lieutenant Governor,0362,1138,887,2025,5086,39.82%,1437,492,57,8,1994
Lieutenant Governor,0363,620,412,1032,3677,28.07%,461,528,20,6,1015
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0364,489,405,894,2658,33.63%,496,356,27,5,884
Lieutenant Governor,0365,478,231,709,1305,54.33%,60,638,3,0,701
Lieutenant Governor,0366,252,270,522,2454,21.27%,139,363,8,3,513
Lieutenant Governor,0367,170,138,308,1130,27.26%,63,228,8,4,303
Lieutenant Governor,0368,178,88,266,958,27.77%,80,179,2,0,261
Lieutenant Governor,0369,32,29,61,559,10.91%,15,43,0,1,59
Lieutenant Governor,0370,1532,1105,2637,6593,40.00%,1974,576,50,10,2610
Lieutenant Governor,0371,122,52,174,502,34.66%,8,162,2,0,172
Lieutenant Governor,0372,221,170,391,1224,31.94%,60,324,1,2,387
Lieutenant Governor,0373,21,12,33,157,21.02%,1,30,0,0,31
Lieutenant Governor,0374,85,93,158,738,21.41%,50,104,4,0,158
Lieutenant Governor,0375,254,220,474,2645,17.92%,254,204,4,4,488
Lieutenant Governor,0376,278,205,483,1910,25.29%,224,245,6,1,476
Lieutenant Governor,0377,525,583,1109,2920,37.98%,784,277,30,7,1098
Lieutenant Governor,0378,232,354,586,1829,32.04%,365,199,17,1,582
Lieutenant Governor,0379,432,289,721,2027,35.57%,84,622,4,2,712
Lieutenant Governor,0380,1303,995,2298,5666,40.56%,1214,991,50,13,2268
Lieutenant Governor,0381,412,248,660,2855,23.12%,307,316,12,1,636
Lieutenant Governor,0382,132,157,289,922,31.34%,213,66,9,0,288
Lieutenant Governor,0383,289,283,552,2173,25.40%,233,295,4,7,539
Lieutenant Governor,0384,573,373,946,2657,35.60%,191,729,8,3,931
Lieutenant Governor,0385,583,670,1253,2207,56.77%,857,330,29,9,1225
Lieutenant Governor,0386,662,469,1131,2922,38.71%,821,271,20,3,1115
Lieutenant Governor,0387,555,672,1227,3935,31.18%,894,288,23,5,1210
Lieutenant Governor,0388,1432,1010,2442,6888,35.45%,1378,988,45,8,2419
Lieutenant Governor,0389,91,208,299,1026,29.14%,37,241,12,2,292
Lieutenant Governor,0390,355,283,819,1480,41.82%,68,523,11,7,609
Lieutenant Governor,0391,508,260,768,1883,40.79%,454,280,14,9,757
Lieutenant Governor,0392,387,155,542,1446,37.48%,10,523,2,2,537
Lieutenant Governor,0393,165,185,350,1292,27.09%,162,174,10,1,347
Lieutenant Governor,0394,89,73,142,834,17.03%,69,62,6,3,140
Lieutenant Governor,0395,470,404,874,1846,47.35%,588,249,19,6,862
Lieutenant Governor,0396,623,216,839,2082,40.30%,25,799,4,1,829
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0397,86,78,164,760,21,58%,87,72,2,0,161
Lieutenant Governor,0398,615,521,1136,4022,28.24%,587,503,27,6,1123
Lieutenant Governor,0399,404,366,770,2791,27.59%,418,325,9,6,758
Lieutenant Governor,0400,520,359,979,2411,40.61%,679,255,24,9,967
Lieutenant Governor,0401,330,205,535,1913,27.97%,19,495,5,5,524
Lieutenant Governor,0402,466,266,732,1794,40.80%,42,675,4,4,725
Lieutenant Governor,0403,475,498,973,1715,56.73%,461,467,21,5,954
Lieutenant Governor,0404,419,330,749,2585,28.97%,435,282,13,3,733
Lieutenant Governor,0405,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,0406,137,67,204,628,32.48%,4,195,0,2,201
Lieutenant Governor,0407,692,793,1485,3769,39.40%,953,465,34,8,1460
Lieutenant Governor,0408,146,153,299,1691,17.68%,149,139,3,3,294
Lieutenant Governor,0409,122,149,271,1459,18.57%,114,146,3,3,266
Lieutenant Governor,0410,132,80,212,899,23.58%,46,157,2,1,206
Lieutenant Governor,0411,235,200,435,2339,18.60%,156,259,9,1,425
Lieutenant Governor,0412,74,44,118,468,25.21%,9,106,0,1,116
Lieutenant Governor,0413,767,386,1153,2992,38.54%,468,657,10,3,1138
Lieutenant Governor,0414,654,480,1134,3453,32.84%,865,231,17,5,1118
Lieutenant Governor,0415,539,598,1137,2203,51.61%,715,376,31,6,1128
Lieutenant Governor,0416,538,558,1095,3791,28.91%,596,455,23,12,1086
Lieutenant Governor,0417,353,385,738,2448,30.15%,374,332,13,6,725
Lieutenant Governor,0418,404,469,873,3584,24.36%,370,463,14,5,852
Lieutenant Governor,0419,571,324,895,2658,33.67%,597,268,22,1,888
Lieutenant Governor,0420,1036,874,1910,4762,40.11%,1544,298,40,5,1887
Lieutenant Governor,0421,36,37,73,410,17.80%,23,44,4,1,72
Lieutenant Governor,0422,731,402,1133,3345,33.87%,37,1070,7,8,1122
Lieutenant Governor,0423,108,120,228,1376,16.57%,80,141,2,0,223
Lieutenant Governor,0424,240,111,351,967,36.30%,194,135,12,4,345
Lieutenant Governor,0425,107,123,230,883,26.05%,85,133,8,1,227
Lieutenant Governor,0426,260,183,443,1218,36.37%,255,173,6,1,435
Lieutenant Governor,0427,179,134,313,1092,28.66%,131,168,2,2,303
Lieutenant Governor,0428,619,421,1040,4538,22.92%,337,622,11,4,974
Lieutenant Governor,0429,445,314,759,3197,23.74%,208,507,10,5,730
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0430,161,133,294,1657,17.74%,81,199,8,4,292
Lieutenant Governor,0431,327,84,411,3417,12.03%,137,245,7,9,398
Lieutenant Governor,0432,123,157,280,1455,19.24%,101,162,11,5,279
Lieutenant Governor,0433,50,63,113,581,19.45%,24,81,1,0,106
Lieutenant Governor,0434,371,289,660,1503,43.91%,371,253,15,4,643
Lieutenant Governor,0435,856,636,1492,3252,45.88%,871,546,42,5,1464
Lieutenant Governor,0436,629,531,1160,2933,39.55%,671,445,20,7,1143
Lieutenant Governor,0437,521,512,1033,2033,50.81%,663,325,25,5,1018
Lieutenant Governor,0438,519,389,1008,1861,54.16%,697,276,18,3,994
Lieutenant Governor,0439,710,884,1594,3554,44.85%,1035,477,44,9,1565
Lieutenant Governor,0440,664,858,1522,2930,51.95%,1094,345,49,9,1497
Lieutenant Governor,0441,345,420,765,1669,45.84%,540,191,17,2,750
Lieutenant Governor,0442,612,574,1186,2575,46.06%,949,199,20,12,1180
Lieutenant Governor,0443,227,138,365,646,56.50%,235,101,14,4,354
Lieutenant Governor,0444,587,583,1270,3262,38.93%,766,450,35,2,1253
Lieutenant Governor,0445,499,348,847,2026,41.81%,544,273,12,6,835
Lieutenant Governor,0446,31,22,53,291,18.21%,25,26,0,1,52
Lieutenant Governor,0447,93,86,179,637,28.10%,48,118,8,2,176
Lieutenant Governor,0448,590,778,1368,3138,43.59%,711,582,36,14,1343
Lieutenant Governor,0449,12,23,35,198,17.68%,3,32,0,0,35
Lieutenant Governor,0450,435,328,764,2635,28.99%,225,516,11,4,756
Lieutenant Governor,0451,1002,510,1512,2687,56.27%,1137,301,35,3,1476
Lieutenant Governor,0452,554,444,998,3048,32.74%,719,241,21,3,984
Lieutenant Governor,0453,231,262,493,1937,25.45%,198,270,5,4,477
Lieutenant Governor,0454,594,248,842,2561,32.88%,18,805,6,1,830
Lieutenant Governor,0455,367,165,532,1689,31.50%,24,499,2,2,527
Lieutenant Governor,0456,482,362,844,3513,24.03%,508,322,4,4,838
Lieutenant Governor,0457,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,0458,471,237,708,1924,36.80%,40,640,10,8,698
Lieutenant Governor,0459,951,474,1425,3021,47.17%,1076,289,35,6,1406
Lieutenant Governor,0460,554,331,885,2837,31.19%,236,619,19,6,880
Lieutenant Governor,0461,1155,735,1900,3871,49.08%,1218,596,49,12,1875
Lieutenant Governor,0462,675,619,1294,3384,38.24%,461,781,17,16,1275
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0463,481,404,885,3326,26.61%,396,434,32,8,870
Lieutenant Governor,0464,356,430,786,2257,34.82%,528,226,21,4,779
Lieutenant Governor,0465,688,520,1208,3564,33.89%,656,500,37,4,1197
Lieutenant Governor,0466,1058,614,1672,4184,39.96%,947,675,21,5,1648
Lieutenant Governor,0467,213,189,402,1270,31.65%,96,290,6,2,394
Lieutenant Governor,0468,352,443,795,3598,22.10%,253,513,8,8,782
Lieutenant Governor,0469,1299,547,1846,3985,46.32%,1405,383,24,10,1822
Lieutenant Governor,0470,185,176,361,1326,27.22%,267,76,9,2,354
Lieutenant Governor,0471,375,380,755,2387,31.63%,599,130,13,7,749
Lieutenant Governor,0472,198,278,476,1081,44.03%,150,296,16,4,466
Lieutenant Governor,0473,603,391,994,1806,55.04%,646,315,18,3,982
Lieutenant Governor,0474,559,588,1147,3037,37.77%,763,327,39,7,1136
Lieutenant Governor,0475,189,267,456,1809,25.21%,226,207,10,2,445
Lieutenant Governor,0476,404,473,877,2430,36.09%,484,358,17,3,862
Lieutenant Governor,0477,737,567,1304,3505,37.20%,977,295,21,4,1297
Lieutenant Governor,0478,958,657,1615,4461,36.20%,1063,483,37,8,1591
Lieutenant Governor,0479,840,612,1252,2714,46.13%,878,299,44,6,1227
Lieutenant Governor,0480,493,450,943,2415,39.05%,675,227,27,4,933
Lieutenant Governor,0481,770,623,1393,3482,40.01%,1058,290,21,6,1375
Lieutenant Governor,0482,878,830,1508,4373,34.48%,1046,390,54,3,1493
Lieutenant Governor,0483,1043,478,1521,4308,35.31%,835,613,37,11,1496
Lieutenant Governor,0484,1107,930,2037,4979,40.91%,1416,547,37,8,2008
Lieutenant Governor,0485,1095,911,2006,5388,37.23%,1521,410,58,9,1998
Lieutenant Governor,0486,873,855,1728,3866,44.70%,1301,362,48,3,1714
Lieutenant Governor,0487,570,294,864,3860,22.38%,314,473,18,2,807
Lieutenant Governor,0488,268,254,522,1719,30.37%,191,287,17,5,500
Lieutenant Governor,0489,350,290,640,1893,33.81%,201,407,15,6,629
Lieutenant Governor,0490,444,368,812,1975,41.11%,262,519,11,6,798
Lieutenant Governor,0491,315,372,687,1888,36.39%,372,269,26,4,671
Lieutenant Governor,0492,556,410,966,2335,41.37%,559,376,19,2,956
Lieutenant Governor,0493,480,322,802,1853,43.28%,514,257,15,4,790
Lieutenant Governor,0494,381,247,628,2467,25.46%,87,523,8,3,621
Lieutenant Governor,0495,522,523,1045,2375,44.00%,736,264,21,9,1030
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0496,190,315,505,2160,23.38%,199,286,9,1,495
Lieutenant Governor,0497,526,243,769,2257,34.07%,31,719,5,2,757
Lieutenant Governor,0498,363,323,585,2297,29.87%,299,358,13,7,677
Lieutenant Governor,0499,751,518,1269,2326,54.56%,856,363,30,4,1253
Lieutenant Governor,0500,729,715,1444,3507,41.17%,984,401,29,11,1425
Lieutenant Governor,0501,341,417,758,1801,42.09%,235,469,37,10,751
Lieutenant Governor,0502,477,350,827,2501,33.07%,683,126,8,1,818
Lieutenant Governor,0503,174,116,290,1374,21.11%,105,155,10,4,274
Lieutenant Governor,0504,624,527,1151,2288,50.31%,703,400,32,3,1138
Lieutenant Governor,0505,531,562,1193,3773,31.62%,520,614,35,14,1183
Lieutenant Governor,0506,665,670,1335,3502,38.12%,238,1052,11,11,1312
Lieutenant Governor,0507,221,149,370,2452,15.09%,80,232,6,0,318
Lieutenant Governor,0508,492,412,904,3287,27.50%,352,474,21,8,855
Lieutenant Governor,0509,754,596,1350,3732,36.17%,913,361,35,11,1320
Lieutenant Governor,0510,689,514,1203,3590,33.51%,562,586,31,12,1191
Lieutenant Governor,0511,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,0512,602,660,1262,5057,24.96%,581,631,28,11,1251
Lieutenant Governor,0513,1019,487,1506,2894,52.04%,1066,377,40,3,1486
Lieutenant Governor,0514,954,720,1674,4275,39.16%,1218,379,48,10,1655
Lieutenant Governor,0515,943,683,1626,3455,47.06%,1255,304,42,5,1606
Lieutenant Governor,0516,1001,800,1801,5356,33.63%,932,782,44,16,1774
Lieutenant Governor,0517,482,256,738,2954,24.98%,414,294,17,7,732
Lieutenant Governor,0518,635,693,1328,3943,33.68%,859,418,29,10,1316
Lieutenant Governor,0519,623,493,1116,2966,37.63%,820,252,25,12,1109
Lieutenant Governor,0520,474,457,931,4580,20.33%,170,723,14,7,914
Lieutenant Governor,0521,471,464,935,2866,32.62%,492,384,29,9,914
Lieutenant Governor,0522,715,572,1288,2689,47.90%,932,282,48,6,1268
Lieutenant Governor,0523,751,415,1166,3052,38.20%,759,353,33,8,1153
Lieutenant Governor,0524,568,459,1027,3410,30.12%,343,645,11,5,1004
Lieutenant Governor,0525,707,482,1189,3091,38.47%,253,888,24,6,1171
Lieutenant Governor,0526,58,84,152,780,19.49%,41,99,3,2,145
Lieutenant Governor,0527,37,40,77,574,13.41%,40,31,2,2,75
Lieutenant Governor,0528,14,12,26,90,28.89%,1,22,1,2,26
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0529,1043,491,1534,3710,41.35%,1294,191,30,7,1522
Lieutenant Governor,0530,114,107,221,1196,18.48%,56,151,5,1,213
Lieutenant Governor,0531,363,174,537,1145,46.90%,421,96,11,1,529
Lieutenant Governor,0532,205,146,351,1048,33.49%,238,99,10,2,349
Lieutenant Governor,0533,124,108,232,1119,20.73%,132,84,6,1,223
Lieutenant Governor,0534,783,524,1,307,3837,34.06%,967,283,31,7,1288
Lieutenant Governor,0535,33,29,62,416,14.90%,31,27,3,0,61
Lieutenant Governor,0536,554,780,1334,5139,25.96%,522,759,19,8,1308
Lieutenant Governor,0537,857,778,1635,3050,53.61%,1166,419,22,7,1614
Lieutenant Governor,0538,204,160,364,1303,27.94%,8,338,4,4,354
Lieutenant Governor,0539,15,241,256,64,400.00%,74,163,8,1,246
Lieutenant Governor,0540,378,316,694,1567,44.29%,221,442,19,4,686
Lieutenant Governor,0541,789,505,1294,4599,28.14%,190,1046,21,15,1272
Lieutenant Governor,0542,360,382,742,2557,29.02%,53,662,9,2,726
Lieutenant Governor,0543,141,213,354,1565,22.62%,107,229,4,4,344
Lieutenant Governor,0544,36,41,77,310,24.84%,12,61,1,0,74
Lieutenant Governor,0545,596,620,1216,3629,33.51%,600,566,25,9,1200
Lieutenant Governor,0546,2,2,4,37,10.81%,2,0,1,1,4
Lieutenant Governor,0547,501,466,967,2406,40.19%,655,263,28,8,954
Lieutenant Governor,0548,286,293,579,2215,26.14%,289,265,12,5,571
Lieutenant Governor,0549,343,418,761,2663,28.58%,110,625,8,3,746
Lieutenant Governor,0550,501,431,932,3031,30.75%,506,386,18,8,918
Lieutenant Governor,0551,1288,1394,2682,7034,38.13%,1950,635,62,12,2659
Lieutenant Governor,0552,847,883,1730,3415,50.66%,1390,290,29,8,1717
Lieutenant Governor,0553,579,529,1108,4686,23.64%,500,560,21,5,1086
Lieutenant Governor,0554,261,199,460,1757,26.18%,97,335,8,1,441
Lieutenant Governor,0555,225,277,502,2219,22.62%,103,376,9,6,494
Lieutenant Governor,0556,276,186,462,2319,19.92%,137,299,6,7,449
Lieutenant Governor,0557,455,183,638,2830,22.54%,270,301,5,6,582
Lieutenant Governor,0558,694,463,1157,4380,26.42%,394,707,29,11,1141
Lieutenant Governor,0559,641,494,1135,4969,22.84%,336,754,19,11,1120
Lieutenant Governor,0560,72,131,203,1120,18.13%,55,137,4,2,198
Lieutenant Governor,0561,362,436,798,3064,26.04%,478,293,13,5,789
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0562,113,68,181,694,26.08%,29,147,2,0,178
Lieutenant Governor,0563,1108,376,1484,3105,47.79%,1106,317,36,8,1467
Lieutenant Governor,0564,471,426,897,3155,28.43%,223,632,25,11,891
Lieutenant Governor,0565,108,78,186,1354,13.74%,40,129,8,3,180
Lieutenant Governor,0566,418,324,742,2882,25.75%,211,489,21,8,729
Lieutenant Governor,0567,301,193,494,2238,22.07%,157,295,6,6,464
Lieutenant Governor,0568,876,685,1561,3594,43.43%,960,519,48,12,1539
Lieutenant Governor,0569,575,667,1242,3525,35.23%,606,565,34,12,1217
Lieutenant Governor,0570,239,210,449,1562,28.75%,148,278,10,6,442
Lieutenant Governor,0571,155,149,304,1827,16.64%,118,172,2,4,296
Lieutenant Governor,0572,556,375,931,3108,29.95%,442,442,30,5,919
Lieutenant Governor,0573,290,151,441,1619,27.24%,9,420,3,4,436
Lieutenant Governor,0574,31,42,73,402,18.16%,10,62,0,1,73
Lieutenant Governor,0575,13,11,24,74,32.43%,17,6,0,0,23
Lieutenant Governor,0576,485,318,804,2734,29.41%,25,757,4,5,791
Lieutenant Governor,0577,148,88,236,608,38.82%,134,91,6,1,232
Lieutenant Governor,0578,409,538,947,1799,52.64%,545,374,18,3,940
Lieutenant Governor,0579,76,101,177,1056,16.76%,33,135,2,2,172
Lieutenant Governor,0580,179,118,297,1031,28.81%,6,282,1,1,290
Lieutenant Governor,0581,212,174,386,1032,37.40%,10,369,1,2,382
Lieutenant Governor,0582,258,171,429,1588,27.02%,28,388,2,3,421
Lieutenant Governor,0583,225,131,356,1262,28.21%,15,326,6,2,349
Lieutenant Governor,0584,182,93,275,1014,27.12%,10,257,3,0,270
Lieutenant Governor,0585,417,172,589,2511,23.46%,22,556,4,3,585
Lieutenant Governor,0586,638,680,1318,4316,30.54%,792,477,29,6,1304
Lieutenant Governor,0587,439,284,723,2598,27.83%,290,407,15,2,714
Lieutenant Governor,0588,758,674,1432,3645,39.29%,1002,376,38,5,1421
Lieutenant Governor,0589,500,386,886,3420,25.91%,493,359,19,5,876
Lieutenant Governor,0590,773,399,1172,2162,54.21%,874,261,20,3,1158
Lieutenant Governor,0591,183,231,414,2121,19.52%,123,265,7,5,400
Lieutenant Governor,0592,133,157,290,1350,21.48%,82,194,4,7,287
Lieutenant Governor,0593,544,564,1108,4380,25.30%,541,512,30,10,1093
Lieutenant Governor,0594,551,325,887,2490,35.62%,252,602,12,9,875
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0595,201,178,379,1693,22.39%,73,294,2,3,372
Lieutenant Governor,0596,441,348,789,3007,26.24%,437,317,18,6,778
Lieutenant Governor,0597,367,394,761,3653,20.83%,333,405,11,4,753
Lieutenant Governor,0598,195,57,252,728,34.62%,201,42,4,1,248
Lieutenant Governor,0599,850,578,1428,4950,28.85%,515,861,25,10,1411
Lieutenant Governor,0600,667,429,1096,3957,27.70%,432,611,22,12,1077
Lieutenant Governor,0601,1074,756,1830,4057,45.11%,1337,416,50,5,1808
Lieutenant Governor,0602,293,235,525,1326,39.82%,372,135,15,2,524
Lieutenant Governor,0603,554,794,1678,4843,34.65%,1018,573,55,10,1656
Lieutenant Governor,0604,702,518,1220,3005,40.60%,998,179,28,4,1209
Lieutenant Governor,0605,907,556,1463,5582,26.21%,374,1044,13,11,1442
Lieutenant Governor,0606,176,70,246,937,26.25%,5,234,2,0,241
Lieutenant Governor,0607,52,51,113,728,15.52%,13,95,1,0,109
Lieutenant Governor,0608,31,47,78,537,14.53%,40,32,2,0,74
Lieutenant Governor,0609,557,680,1347,3384,39.80%,821,470,29,5,1325
Lieutenant Governor,0610,231,188,419,1927,21.74%,212,184,10,2,408
Lieutenant Governor,0611,495,242,737,2488,29.62%,26,685,6,2,719
Lieutenant Governor,0612,996,497,1493,3307,45.15%,1089,345,32,4,1470
Lieutenant Governor,0613,186,204,390,1554,25.10%,61,316,6,1,384
Lieutenant Governor,0514,737,555,1303,4207,30.97%,489,768,14,9,1280
Lieutenant Governor,0615,450,299,779,1967,39.60%,481,275,13,2,771
Lieutenant Governor,0616,739,663,1402,3436,40.80%,964,388,34,4,1390
Lieutenant Governor,0617,541,393,934,3809,24.52%,391,513,19,3,926
Lieutenant Governor,0618,946,567,1513,6003,25.20%,753,697,30,17,1497
Lieutenant Governor,0619,1219,803,2022,4297,47.06%,1426,498,56,15,1995
Lieutenant Governor,0620,689,264,953,2897,32.90%,578,349,12,7,946
Lieutenant Governor,0621,154,101,255,1133,22.51%,132,106,8,4,250
Lieutenant Governor,0622,881,524,1405,4403,31.91,%,829,514,32,10,1385
Lieutenant Governor,0623,887,487,1374,3691,37.23%,908,407,27,11,1353
Lieutenant Governor,0624,1,1,2,3,66.67%,1,1,0,0,2
Lieutenant Governor,0625,477,362,839,1820,46.10%,450,345,25,6,826
Lieutenant Governor,0626,551,440,1021,2861,35.69%,531,433,23,8,995
Lieutenant Governor,0627,346,322,668,3049,21.91%,239,396,11,10,656
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0628,152,219,371,1675,22.15%,192,157,11,2,362
Lieutenant Governor,0629,37,53,90,696,12.93%,15,74,1,0,90
Lieutenant Governor,0630,975,600,1575,3905,40.36%,121,1405,15,16,1557
Lieutenant Governor,0631,822,404,1226,2846,43.08%,866,322,30,2,1220
Lieutenant Governor,0632,7,4,11,343,3.21%,2,7,1,0,10
Lieutenant Governor,0633,945,731,1676,3559,47.09%,1141,469,37,8,1655
Lieutenant Governor,0634,458,442,900,3029,29.71%,577,285,28,3,893
Lieutenant Governor,0635,743,485,1228,3393,36.19%,894,275,41,10,1220
Lieutenant Governor,0636,835,874,1710,4140,41.30%,1468,197,31,2,1698
Lieutenant Governor,0637,409,362,771,2512,30.69%,182,556,6,6,750
Lieutenant Governor,0638,304,245,549,2204,24.91%,48,482,3,5,538
Lieutenant Governor,0639,549,547,1096,2526,43.39%,841,207,34,3,1085
Lieutenant Governor,0640,641,459,1100,3733,29.47%,690,372,30,2,1094
Lieutenant Governor,0641,649,596,1245,3650,34.11%,828,378,21,7,1234
Lieutenant Governor,0642,472,394,866,1764,49.09%,685,156,15,0,856
Lieutenant Governor,0643,934,653,1587,5945,26.69%,616,907,29,10,1562
Lieutenant Governor,0644,1020,823,1843,5523,33.37%,1175,567,53,15,1810
Lieutenant Governor,0645,655,594,1249,4185,29.84%,642,540,35,15,1232
Lieutenant Governor,0646,364,287,651,2220,29.32%,210,400,8,6,624
Lieutenant Governor,0647,904,470,1374,6084,22.58%,399,853,17,6,1275
Lieutenant Governor,0648,838,579,1417,3367,42.08%,990,379,27,5,1401
Lieutenant Governor,0649,687,434,1121,4576,24.50%,366,692,20,9,1087
Lieutenant Governor,0650,906,766,1672,3888,43.00%,1168,441,46,6,1661
Lieutenant Governor,0651,963,766,1729,5128,33.72%,1085,575,38,12,1710
Lieutenant Governor,0652,467,515,982,2815,34.88%,169,780,14,4,967
Lieutenant Governor,0653,0,4,4,0,0.00%,0,4,0,0,4
Lieutenant Governor,0654,950,1005,1955,6208,31.49%,1069,817,32,8,1926
Lieutenant Governor,0655,1115,1079,2195,6855,32.02%,1320,754,73,20,2167
Lieutenant Governor,0656,579,393,972,2674,36.35%,49,901,5,3,958
Lieutenant Governor,0657,247,172,419,1292,32.43%,168,236,6,2,412
Lieutenant Governor,0658,540,426,966,2807,34.41%,612,315,22,4,953
Lieutenant Governor,0659,1150,788,1938,4856,39.91%,1351,524,41,5,1921
Lieutenant Governor,0660,950,825,1775,5372,33.04%,180,1551,12,8,1751
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0881,875,765,1440,4587,31.53%,821,554,28,15,1418
Lieutenant Governor,0882,1148,890,2038,4874,41.81%,1578,385,37,7,2007
Lieutenant Governor,0883,719,797,1515,3348,45.31%,715,741,38,8,1498
Lieutenant Governor,0884,352,250,802,2889,20.98%,130,438,8,5,581
