Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0429,445,314,759,3197,23.74%,278,278
"Justice of the Peace, Precinct 5, Place 2",0430,151,133,294,1657,17.74%,116,116
"Justice of the Peace, Precinct 5, Place 2",0431,327,84,411,3417,12.03%,181,181
"Justice of the Peace, Precinct 5, Place 2",0432,123,157,280,1455,19.24%,128,128
"Justice of the Peace, Precinct 5, Place 2",0433,50,63,113,581,19.45%,36,36
"Justice of the Peace, Precinct 5, Place 2",0435,855,636,1491,3252,45.85%,1027,1027
"Justice of the Peace, Precinct 5, Place 2",0436,629,531,1160,2933,39.55%,785,785
"Justice of the Peace, Precinct 5, Place 2",0437,521,512,1033,2033,50.81%,761,761
"Justice of the Peace, Precinct 5, Place 2",0438,617,389,1006,1861,54.06%,782,782
"Justice of the Peace, Precinct 5, Place 2",0439,710,884,1594,3554,44.85%,1213,1213
"Justice of the Peace, Precinct 5, Place 2",0440,664,858,1522,2930,51.95%,1220,1220
"Justice of the Peace, Precinct 5, Place 2",0441,345,420,765,1669,45.84%,603,603
"Justice of the Peace, Precinct 5, Place 2",0443,225,138,364,646,56.35%,272,272
"Justice of the Peace, Precinct 5, Place 2",0444,687,583,1270,3262,38.93%,860,860
"Justice of the Peace, Precinct 5, Place 2",0445,499,348,847,2026,41.81%,609,609
"Justice of the Peace, Precinct 5, Place 2",0453,231,262,493,1937,25.45%,236,236
"Justice of the Peace, Precinct 5, Place 2",0461,1165,735,1900,3871,49.08%,1398,1398
"Justice of the Peace, Precinct 5, Place 2",0463,480,404,884,3326,26.58%,494,494
"Justice of the Peace, Precinct 5, Place 2",0483,1042,478,1520,4308,35.28%,983,983
"Justice of the Peace, Precinct 5, Place 2",0487,570,294,864,3860,22.38%,370,370
"Justice of the Peace, Precinct 5, Place 2",0488,268,254,522,1719,30.37%,235,235
"Justice of the Peace, Precinct 5, Place 2",0490,444,368,812,1975,41.11%,346,346
"Justice of the Peace, Precinct 5, Place 2",0491,314,372,686,1888,36.33%,449,449
"Justice of the Peace, Precinct 5, Place 2",0492,556,410,966,2335,41.37%,636,636
"Justice of the Peace, Precinct 5, Place 2",0493,479,322,801,1853,43.23%,577,577
"Justice of the Peace, Precinct 5, Place 2",0499,750,518,1268,2326,54.51%,972,972
"Justice of the Peace, Precinct 5, Place 2",0503,174,116,290,1374,21.11%,132,132
"Justice of the Peace, Precinct 5, Place 2",0504,624,527,1151,2288,50.31%,811,811
"Justice of the Peace, Precinct 5, Place 2",0507,221,149,370,2452,15.09%,103,103
"Justice of the Peace, Precinct 5, Place 2",0508,492,412,904,3287,27.50%,412,412
"Justice of the Peace, Precinct 5, Place 2",0509,753,596,1349,3732,36.15%,1013,1013
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0510,687,514,1201,3590,33.45%,686,686
"Justice of the Peace, Precinct 5, Place 2",0512,802,660,1262,5057,24.96%,707,707
"Justice of the Peace, Precinct 5, Place 2",0517,481,256,737,2954,24.95%,470,470
"Justice of the Peace, Precinct 5, Place 2",0521,471,464,935,2866,32.62%,586,586
"Justice of the Peace, Precinct 5, Place 2",0522,716,572,1288,2689,47.90%,1033,1033
"Justice of the Peace, Precinct 5, Place 2",0523,751,415,1166,3052,38.20%,842,842
"Justice of the Peace, Precinct 5, Place 2",0524,567,459,1026,3410,30.09%,428,428
"Justice of the Peace, Precinct 5, Place 2",0539,15,241,256,64,400.00%,98,98
"Justice of the Peace, Precinct 5, Place 2",0546,2,2,4,37,10.81%,3,3
"Justice of the Peace, Precinct 5, Place 2",0547,501,466,967,2406,40.19%,735,735
"Justice of the Peace, Precinct 5, Place 2",0553,578,529,1107,4686,23.62%,606,606
"Justice of the Peace, Precinct 5, Place 2",0556,276,186,462,2319,19.92%,156,156
"Justice of the Peace, Precinct 5, Place 2",0557,455,183,638,2830,22.54%,315,315
"Justice of the Peace, Precinct 5, Place 2",0558,693,463,1156,4380,26.39%,518,518
"Justice of the Peace, Precinct 5, Place 2",0559,840,494,1134,4969,22.82%,456,456
"Justice of the Peace, Precinct 5, Place 2",0565,108,78,186,1354,13.74%,57,57
"Justice of the Peace, Precinct 5, Place 2",0566,417,324,741,2882,25.71%,294,294
"Justice of the Peace, Precinct 5, Place 2",0567,301,193,494,2238,22.07%,195,195
"Justice of the Peace, Precinct 5, Place 2",0569,572,667,1239,3525,35.15%,755,755
"Justice of the Peace, Precinct 5, Place 2",0572,555,375,930,3108,29.92%,548,548
"Justice of the Peace, Precinct 5, Place 2",0589,500,386,886,3420,25.91%,557,557
"Justice of the Peace, Precinct 5, Place 2",0600,667,429,1096,3957,27.70%,511,511
"Justice of the Peace, Precinct 5, Place 2",0603,884,794,1678,4843,34.65%,1175,1175
"Justice of the Peace, Precinct 5, Place 2",0616,739,663,1402,3436,40.80%,1053,1053
"Justice of the Peace, Precinct 5, Place 2",0617,541,393,934,3809,24.52%,472,472
"Justice of the Peace, Precinct 5, Place 2",0618,948,567,1513,6003,25.20%,882,882
"Justice of the Peace, Precinct 5, Place 2",0619,1219,803,2022,4297,47.06%,1584,1584
"Justice of the Peace, Precinct 5, Place 2",0620,689,264,953,2897,32.90%,637,637
"Justice of the Peace, Precinct 5, Place 2",0621,154,101,255,1133,22.51%,157,157
"Justice of the Peace, Precinct 5, Place 2",0622,881,524,1405,4403,31.91%,948,948
"Justice of the Peace, Precinct 5, Place 2",0625,477,362,839,1820,46.10%,528,528
"Justice of the Peace, Precinct 5, Place 2",0626,581,440,1021,2861,35.69%,643,643
"Justice of the Peace, Precinct 5, Place 2",0627,348,322,668,3049,21.91%,299,299
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Williams,Totals
"Justice of the Peace, Precinct 5, Place 2",0639,549,547,1096,2526,43.39%,915,915
"Justice of the Peace, Precinct 5, Place 2",0642,471,394,865,1764,49.04%,713,713
"Justice of the Peace, Precinct 5, Place 2",0643,934,653,1587,5945,26.69%,754,754
"Justice of the Peace, Precinct 5, Place 2",0644,1019,823,1842,5523,33.35%,1328,1328
"Justice of the Peace, Precinct 5, Place 2",0645,654,594,1248,4185,29.82%,770,770
"Justice of the Peace, Precinct 5, Place 2",0646,364,287,651,2220,29.32%,263,263
"Justice of the Peace, Precinct 5, Place 2",0647,904,470,1374,6084,22.58%,499,499
"Justice of the Peace, Precinct 5, Place 2",0649,687,434,1121,4576,24.50%,460,460
"Justice of the Peace, Precinct 5, Place 2",0650,905,766,1672,3888,43.00%,1311,1311
