Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Diane Bull,Totals
"Judge, County Criminal Court No.11",0366,252,270,522,2454,21.27%,190,190
"Judge, County Criminal Court No.11",0367,170,138,308,1130,27.26%,92,92
"Judge, County Criminal Court No.11",0368,178,88,266,958,27.77%,97,97
"Judge, County Criminal Court No.11",0369,32,29,61,559,10.91%,24,24
"Judge, County Criminal Court No.11",0370,1532,1105,2637,6593,40.00%,2072,2072
"Judge, County Criminal Court No.11",0371,122,52,174,502,34.66%,13,13
"Judge, County Criminal Court No.11",0372,221,170,391,1224,31.94%,77,77
"Judge, County Criminal Court No.11",0373,21,12,33,157,21.02%,4,4
"Judge, County Criminal Court No.11",0374,85,93,158,738,21.41%,65,65
"Judge, County Criminal Court No.11",0375,254,220,474,2645,17.92%,274,274
"Judge, County Criminal Court No.11",0376,278,205,483,1910,25.29%,243,243
"Judge, County Criminal Court No.11",0377,526,583,1109,2920,37.98%,836,836
"Judge, County Criminal Court No.11",0378,232,354,586,1829,32.04%,403,403
"Judge, County Criminal Court No.11",0379,431,289,720,2027,35.52%,113,113
"Judge, County Criminal Court No.11",0380,1299,995,2294,5666,40.49%,1381,1381
"Judge, County Criminal Court No.11",0381,412,248,660,2855,23.12%,355,355
"Judge, County Criminal Court No.11",0382,132,157,289,922,31.34%,224,224
"Judge, County Criminal Court No.11",0383,289,263,552,2173,25.40%,259,259
"Judge, County Criminal Court No.11",0384,573,373,946,2657,35.60%,255,255
"Judge, County Criminal Court No.11",0385,583,670,1253,2207,56.77%,980,980
"Judge, County Criminal Court No.11",0386,662,469,1131,2922,38.71%,870,870
"Judge, County Criminal Court No.11",0387,555,672,1227,3935,31.18%,939,939
"Judge, County Criminal Court No.11",0388,1430,1010,2440,6888,35.42%,1526,1526
"Judge, County Criminal Court No.11",0389,91,208,299,1026,29.14%,89,89
"Judge, County Criminal Court No.11",0390,356,263,619,1480,41.82%,146,146
"Judge, County Criminal Court No.11",0391,508,260,768,1883,40.79%,518,518
"Judge, County Criminal Court No.11",0392,387,155,542,1446,37.48%,36,36
"Judge, County Criminal Court No.11",0393,165,185,350,1292,27.09%,192,192
"Judge, County Criminal Court No.11",0394,89,73,142,834,17.03%,78,78
"Judge, County Criminal Court No.11",0395,469,404,873,1846,47.29%,657,657
"Judge, County Criminal Court No.11",0396,622,216,838,2082,40.25%,43,43
"Judge, County Criminal Court No.11",0397,86,78,164,760,21,58%,89,89
"Judge, County Criminal Court No.11",0398,615,521,1136,4022,28.24%,679,679
"Judge, County Criminal Court No.11",0399,402,366,768,2791,27.52%,473,473
"Judge, County Criminal Court No.11",0400,620,359,979,2411,40.61%,766,766
"Judge, County Criminal Court No.11",0401,330,205,535,1913,27.97%,52,52
"Judge, County Criminal Court No.11",0402,466,266,732,1794,40.80%,70,70
"Judge, County Criminal Court No.11",0403,475,498,973,1715,56.73%,580,580
"Judge, County Criminal Court No.11",0404,419,330,749,2585,28.97%,485,485
"Judge, County Criminal Court No.11",0405,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0406,137,67,204,628,32.48%,14,14
"Judge, County Criminal Court No.11",0407,688,793,1481,3769,39.29%,1063,1063
"Judge, County Criminal Court No.11",0408,146,153,299,1691,17.68%,171,171
"Judge, County Criminal Court No.11",0409,122,149,271,1459,18.57%,127,127
"Judge, County Criminal Court No.11",0410,132,80,212,899,23.58%,50,50
"Judge, County Criminal Court No.11",0411,235,200,435,2339,18.60%,194,194
"Judge, County Criminal Court No.11",0412,74,44,118,468,25.21%,14,14
"Judge, County Criminal Court No.11",0413,767,386,1153,2992,38.54%,502,502
"Judge, County Criminal Court No.11",0414,654,480,1134,3453,32.84%,905,905
"Judge, County Criminal Court No.11",0415,539,598,1137,2203,51.61%,792,792
"Judge, County Criminal Court No.11",0416,538,558,1096,3791,28.91%,691,691
"Judge, County Criminal Court No.11",0417,353,385,738,2448,30.15%,416,416
"Judge, County Criminal Court No.11",0418,403,469,872,3584,24.33%,424,424
"Judge, County Criminal Court No.11",0419,571,324,895,2658,33.67%,638,638
"Judge, County Criminal Court No.11",0420,1036,874,1910,4762,40.11%,1598,1598
"Judge, County Criminal Court No.11",0421,36,37,73,410,17.80%,34,34
"Judge, County Criminal Court No.11",0422,731,402,1133,3345,33.87%,91,91
"Judge, County Criminal Court No.11",0423,108,120,228,1376,16.57%,94,94
"Judge, County Criminal Court No.11",0424,240,111,351,967,36.30%,225,225
"Judge, County Criminal Court No.11",0425,107,123,230,883,26.05%,104,104
"Judge, County Criminal Court No.11",0426,260,183,443,1218,36.37%,284,284
"Judge, County Criminal Court No.11",0427,179,134,313,1092,28.66%,151,151
"Judge, County Criminal Court No.11",0428,619,421,1040,4538,22.92%,418,418
"Judge, County Criminal Court No.11",0429,445,314,759,3197,23.74%,273,273
"Judge, County Criminal Court No.11",0430,161,133,294,1657,17.74%,113,113
"Judge, County Criminal Court No.11",0431,327,84,411,3417,12.03%,187,187
"Judge, County Criminal Court No.11",0432,123,157,280,1455,19.24%,128,128
"Judge, County Criminal Court No.11",0433,50,63,113,581,19.45%,36,36
"Judge, County Criminal Court No.11",0434,370,289,659,1503,43.85%,452,452
"Judge, County Criminal Court No.11",0435,855,636,1491,3252,45.85%,1019,1019
"Judge, County Criminal Court No.11",0436,629,531,1160,2933,39.55%,783,783
"Judge, County Criminal Court No.11",0437,521,512,1033,2033,50.81%,757,757
"Judge, County Criminal Court No.11",0438,617,389,1006,1861,54.06%,783,783
"Judge, County Criminal Court No.11",0439,710,884,1594,3554,44.85%,1201,1201
"Judge, County Criminal Court No.11",0440,664,858,1522,2930,51.95%,1216,1216
"Judge, County Criminal Court No.11",0441,345,420,765,1669,45.84%,595,595
"Judge, County Criminal Court No.11",0442,612,574,1186,2575,46.06%,999,999
"Judge, County Criminal Court No.11",0443,226,138,364,646,56.35%,266,266
"Judge, County Criminal Court No.11",0444,687,583,1270,3262,38.93%,851,851
"Judge, County Criminal Court No.11",0445,499,348,847,2026,41.81%,602,602
"Judge, County Criminal Court No.11",0446,31,22,53,291,18.21%,27,27
"Judge, County Criminal Court No.11",0447,93,86,179,637,28.10%,70,70
"Judge, County Criminal Court No.11",0448,590,778,1368,3138,43.59%,811,811
"Judge, County Criminal Court No.11",0449,12,23,35,198,17.68%,4,4
"Judge, County Criminal Court No.11",0450,435,328,763,2635,28.96%,289,289
"Judge, County Criminal Court No.11",0451,1002,510,1512,2687,56.27%,1256,1256
"Judge, County Criminal Court No.11",0452,554,444,998,3048,32.74%,779,779
"Judge, County Criminal Court No.11",0453,231,262,493,1937,25.45%,235,235
"Judge, County Criminal Court No.11",0454,594,248,842,2561,32.88%,35,35
"Judge, County Criminal Court No.11",0455,367,165,532,1689,31.50%,42,42
"Judge, County Criminal Court No.11",0456,482,362,844,3513,24.03%,535,535
"Judge, County Criminal Court No.11",0457,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0458,471,237,708,1924,36.80%,77,77
"Judge, County Criminal Court No.11",0459,951,474,1425,3021,47.17%,1173,1173
"Judge, County Criminal Court No.11",0460,554,331,885,2837,31.19%,302,302
"Judge, County Criminal Court No.11",0461,1165,735,1900,3871,49.08%,1389,1389
"Judge, County Criminal Court No.11",0462,674,619,1293,3384,38.21%,553,553
"Judge, County Criminal Court No.11",0463,480,404,884,3326,26.58%,484,484
"Judge, County Criminal Court No.11",0464,356,430,786,2257,34.82%,593,593
"Judge, County Criminal Court No.11",0465,687,520,1207,3564,33.87%,761,761
"Judge, County Criminal Court No.11",0466,1058,614,1672,4184,39.96%,1041,1041
"Judge, County Criminal Court No.11",0467,213,189,402,1270,31.65%,127,127
"Judge, County Criminal Court No.11",0468,352,443,795,3598,22.10%,302,302
"Judge, County Criminal Court No.11",0469,1294,547,1841,3985,46.20%,1485,1485
"Judge, County Criminal Court No.11",0470,185,176,361,1326,27.22%,285,285
"Judge, County Criminal Court No.11",0471,375,380,755,2387,31.63%,633,633
"Judge, County Criminal Court No.11",0472,198,278,476,1081,44.03%,234,234
"Judge, County Criminal Court No.11",0473,599,391,990,1806,54.82%,719,719
"Judge, County Criminal Court No.11",0474,559,588,1147,3037,37.77%,856,856
"Judge, County Criminal Court No.11",0475,189,267,456,1809,25.21%,251,251
"Judge, County Criminal Court No.11",0476,404,473,877,2430,36.09%,537,537
"Judge, County Criminal Court No.11",0477,737,567,1304,3505,37.20%,1055,1055
"Judge, County Criminal Court No.11",0478,958,657,1615,4461,36.20%,1157,1157
"Judge, County Criminal Court No.11",0479,638,612,1250,2714,46.06%,971,971
"Judge, County Criminal Court No.11",0480,493,450,943,2415,39.05%,716,716
"Judge, County Criminal Court No.11",0481,770,623,1393,3482,40.01%,1119,1119
"Judge, County Criminal Court No.11",0482,878,630,1508,4373,34.48%,1155,1155
"Judge, County Criminal Court No.11",0483,1042,478,1520,4308,35.28%,976,976
"Judge, County Criminal Court No.11",0484,1107,930,2037,4979,40.91%,1551,1551
"Judge, County Criminal Court No.11",0485,1095,911,2006,5388,37.23%,1638,1638
"Judge, County Criminal Court No.11",0486,873,855,1728,3866,44.70%,1401,1401
"Judge, County Criminal Court No.11",0487,570,294,864,3860,22.38%,361,361
"Judge, County Criminal Court No.11",0488,268,254,522,1719,30.37%,230,230
"Judge, County Criminal Court No.11",0489,350,290,640,1893,33.81%,271,271
"Judge, County Criminal Court No.11",0490,444,368,812,1975,41.11%,341,341
"Judge, County Criminal Court No.11",0491,314,372,686,1888,36.33%,448,448
"Judge, County Criminal Court No.11",0492,556,410,966,2335,41.37%,628,628
"Judge, County Criminal Court No.11",0493,479,322,801,1853,43.23%,577,577
"Judge, County Criminal Court No.11",0494,381,247,628,2467,25.46%,124,124
"Judge, County Criminal Court No.11",0495,522,523,1045,2375,44.00%,793,793
"Judge, County Criminal Court No.11",0496,190,315,505,2160,23.38%,235,235
"Judge, County Criminal Court No.11",0497,526,243,769,2257,34.07%,48,48
"Judge, County Criminal Court No.11",0498,363,323,686,2297,29.87%,356,356
"Judge, County Criminal Court No.11",0499,750,518,1268,2326,54.51%,965,965
"Judge, County Criminal Court No.11",0500,729,715,1444,3507,41.17%,1063,1063
"Judge, County Criminal Court No.11",0501,341,417,758,1801,42.09%,348,348
"Judge, County Criminal Court No.11",0502,477,350,827,2501,33.07%,691,691
"Judge, County Criminal Court No.11",0503,174,116,290,1374,21.11%,127,127
"Judge, County Criminal Court No.11",0504,624,527,1151,2288,50.31%,795,795
"Judge, County Criminal Court No.11",0505,531,562,1193,3773,31,62%,633,633
"Judge, County Criminal Court No.11",0506,665,670,1335,3502,38.12%,344,344
"Judge, County Criminal Court No.11",0507,221,149,370,2452,15.09%,100,100
"Judge, County Criminal Court No.11",0508,492,412,904,3287,27.50%,404,404
"Judge, County Criminal Court No.11",0509,753,596,1349,3732,36.15%,1017,1017
"Judge, County Criminal Court No.11",0510,687,514,1201,3590,33.45%,686,686
"Judge, County Criminal Court No.11",0511,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0512,602,660,1262,5057,24.96%,698,698
"Judge, County Criminal Court No.11",0513,1019,487,1506,2894,52.04%,1202,1202
"Judge, County Criminal Court No.11",0514,953,720,1673,4275,39.13%,1311,1311
"Judge, County Criminal Court No.11",0515,942,683,1625,3455,47.03%,1343,1343
"Judge, County Criminal Court No.11",0516,1000,800,1800,5356,33.61%,1054,1054
"Judge, County Criminal Court No.11",0517,481,256,737,2954,24.95%,469,469
"Judge, County Criminal Court No.11",0518,635,693,1328,3943,33.68%,948,948
"Judge, County Criminal Court No.11",0519,623,493,1116,2966,37.63%,883,883
"Judge, County Criminal Court No.11",0520,473,457,930,4580,20.31%,246,246
"Judge, County Criminal Court No.11",0521,471,464,935,2866,32.62%,574,574
"Judge, County Criminal Court No.11",0522,715,572,1288,2689,47.90%,1028,1028
"Judge, County Criminal Court No.11",0523,751,415,1166,3052,38.20%,834,834
"Judge, County Criminal Court No.11",0524,567,459,1026,3410,30.09%,424,424
"Judge, County Criminal Court No.11",0525,707,482,1189,3091,38.47%,343,343
"Judge, County Criminal Court No.11",0526,68,84,152,780,19.49%,56,56
"Judge, County Criminal Court No.11",0527,37,40,77,574,13.41%,47,47
"Judge, County Criminal Court No.11",0528,14,12,26,90,28.89%,3,3
"Judge, County Criminal Court No.11",0529,1043,491,1534,3710,41.35%,1339,1339
"Judge, County Criminal Court No.11",0530,114,107,221,1196,18.48%,77,77
"Judge, County Criminal Court No.11",0531,363,174,537,1145,46.90%,431,431
"Judge, County Criminal Court No.11",0532,205,146,351,1048,33.49%,270,270
"Judge, County Criminal Court No.11",0533,124,108,232,1119,20.73%,141,141
"Judge, County Criminal Court No.11",0534,783,524,1307,3837,34.06%,1050,1050
"Judge, County Criminal Court No.11",0535,33,29,62,416,14.90%,37,37
"Judge, County Criminal Court No.11",0536,554,780,1334,5139,25.96%,649,649
"Judge, County Criminal Court No.11",0537,855,778,1633,3050,53.54%,1240,1240
"Judge, County Criminal Court No.11",0538,204,160,364,1303,27.94%,29,29
"Judge, County Criminal Court No.11",0539,15,241,256,64,400.00%,100,100
"Judge, County Criminal Court No.11",0540,378,316,694,1567,44.29%,323,323
"Judge, County Criminal Court No.11",0541,784,505,1289,4599,28.03%,324,324
"Judge, County Criminal Court No.11",0542,360,382,742,2557,29.02%,104,104
"Judge, County Criminal Court No.11",0543,141,213,354,1565,22.62%,164,164
"Judge, County Criminal Court No.11",0544,35,41,77,310,24.84%,14,14
"Judge, County Criminal Court No.11",0545,596,620,1216,3629,33.51%,687,687
"Judge, County Criminal Court No.11",0546,2,2,4,37,10.81%,3,3
"Judge, County Criminal Court No.11",0547,501,466,967,2406,40.19%,727,727
"Judge, County Criminal Court No.11",0548,285,293,579,2215,26.14%,345,345
"Judge, County Criminal Court No.11",0549,343,418,761,2663,28.58%,147,147
"Judge, County Criminal Court No.11",0550,501,431,932,3031,30.75%,572,572
"Judge, County Criminal Court No.11",0551,1288,1394,2682,7034,38.13%,2153,2153
"Judge, County Criminal Court No.11",0552,847,883,1730,3415,50.66%,1465,1465
"Judge, County Criminal Court No.11",0553,578,529,1107,4686,23.62%,603,603
"Judge, County Criminal Court No.11",0554,261,199,460,1757,26.18%,136,136
"Judge, County Criminal Court No.11",0555,225,277,502,2219,22.62%,140,140
"Judge, County Criminal Court No.11",0556,276,186,462,2319,19.92%,160,160
"Judge, County Criminal Court No.11",0557,455,183,638,2830,22.54%,310,310
"Judge, County Criminal Court No.11",0558,693,463,1156,4380,26.39%,510,510
"Judge, County Criminal Court No.11",0559,640,494,1134,4969,22.82%,451,451
"Judge, County Criminal Court No.11",0560,72,131,203,1120,18.13%,78,78
"Judge, County Criminal Court No.11",0561,362,436,798,3064,26.04%,509,509
"Judge, County Criminal Court No.11",0562,113,68,181,694,26.08%,36,36
"Judge, County Criminal Court No.11",0563,1107,376,1483,3105,47.76%,1200,1200
"Judge, County Criminal Court No.11",0564,470,426,896,3155,28.40%,343,343
"Judge, County Criminal Court No.11",0565,108,78,186,1354,13.74%,57,57
"Judge, County Criminal Court No.11",0566,417,324,741,2882,25.71%,296,296
"Judge, County Criminal Court No.11",0567,301,193,494,2238,22.07%,195,195
"Judge, County Criminal Court No.11",0568,876,685,1561,3594,43.43%,1080,1080
"Judge, County Criminal Court No.11",0569,572,667,1239,3525,35.15%,752,752
"Judge, County Criminal Court No.11",0570,238,210,448,1562,28.68%,201,201
"Judge, County Criminal Court No.11",0571,155,149,304,1827,16.64%,146,146
"Judge, County Criminal Court No.11",0572,555,375,930,3108,29.92%,552,552
"Judge, County Criminal Court No.11",0573,290,151,441,1619,27.24%,26,26
"Judge, County Criminal Court No.11",0574,31,42,73,402,18.16%,12,12
"Judge, County Criminal Court No.11",0575,13,11,24,74,32.43%,20,20
"Judge, County Criminal Court No.11",0576,485,318,803,2734,29.37%,58,58
"Judge, County Criminal Court No.11",0577,147,88,235,608,38.65%,156,156
"Judge, County Criminal Court No.11",0578,409,538,947,1799,52.64%,629,629
"Judge, County Criminal Court No.11",0579,75,101,176,1056,16.67%,48,48
"Judge, County Criminal Court No.11",0580,179,118,297,1031,28.81%,21,21
"Judge, County Criminal Court No.11",0581,212,174,386,1032,37.40%,24,24
"Judge, County Criminal Court No.11",0582,258,171,429,1588,27.02%,38,38
"Judge, County Criminal Court No.11",0583,225,131,356,1262,28.21%,26,26
"Judge, County Criminal Court No.11",0584,182,93,275,1014,27.12%,29,29
"Judge, County Criminal Court No.11",0585,417,172,589,2511,23.46%,46,46
"Judge, County Criminal Court No.11",0586,638,680,1318,4316,30.54%,860,860
"Judge, County Criminal Court No.11",0587,436,284,720,2598,27.71%,332,332
"Judge, County Criminal Court No.11",0588,758,674,1432,3645,39.29%,1074,1074
"Judge, County Criminal Court No.11",0589,500,386,886,3420,25.91%,549,549
"Judge, County Criminal Court No.11",0590,772,399,1171,2162,54.16%,946,946
"Judge, County Criminal Court No.11",0591,183,231,414,2121,19.52%,164,164
"Judge, County Criminal Court No.11",0592,133,157,290,1350,21.48%,99,99
"Judge, County Criminal Court No.11",0593,543,564,1107,4380,25.27%,630,630
"Judge, County Criminal Court No.11",0594,561,326,887,2490,35.62%,312,312
"Judge, County Criminal Court No.11",0595,201,178,379,1693,22.39%,94,94
"Judge, County Criminal Court No.11",0596,441,348,789,3007,26.24%,489,489
"Judge, County Criminal Court No.11",0597,367,394,761,3653,20.83%,387,387
"Judge, County Criminal Court No.11",0598,195,57,252,728,34.62%,211,211
"Judge, County Criminal Court No.11",0599,850,578,1428,4950,28.85%,603,603
"Judge, County Criminal Court No.11",0600,667,429,1096,3957,27.70%,506,506
"Judge, County Criminal Court No.11",0601,1073,756,1829,4057,45.08%,1438,1438
"Judge, County Criminal Court No.11",0602,293,235,528,1326,39.82%,419,419
"Judge, County Criminal Court No.11",0603,884,794,1678,4843,34.65%,1169,1169
"Judge, County Criminal Court No.11",0604,702,518,1220,3005,40.60%,1033,1033
"Judge, County Criminal Court No.11",0605,907,556,1463,5582,26.21%,485,485
"Judge, County Criminal Court No.11",0606,176,70,246,937,26.25%,15,15
"Judge, County Criminal Court No.11",0607,52,51,113,728,15.52%,17,17
"Judge, County Criminal Court No.11",0608,31,47,78,537,14.53%,50,50
"Judge, County Criminal Court No.11",0609,557,680,1347,3384,39.80%,904,904
"Judge, County Criminal Court No.11",0610,231,188,419,1927,21.74%,245,245
"Judge, County Criminal Court No.11",0611,495,242,737,2488,29.62%,49,49
"Judge, County Criminal Court No.11",0612,996,497,1493,3307,45.15%,1157,1157
"Judge, County Criminal Court No.11",0613,186,204,390,1554,25.10%,95,95
"Judge, County Criminal Court No.11",0614,737,566,1303,4207,30.97%,592,592
"Judge, County Criminal Court No.11",0615,480,299,779,1967,39.60%,536,536
"Judge, County Criminal Court No.11",0616,739,663,1402,3436,40.80%,1050,1050
"Judge, County Criminal Court No.11",0617,541,393,934,3809,24.52%,468,468
"Judge, County Criminal Court No.11",0618,946,567,1513,6003,25.20%,882,882
"Judge, County Criminal Court No.11",0619,1219,803,2022,4297,47.06%,1583,1583
"Judge, County Criminal Court No.11",0620,689,264,953,2897,32.90%,639,639
"Judge, County Criminal Court No.11",0621,154,101,255,1133,22.51%,153,153
"Judge, County Criminal Court No.11",0622,881,524,1405,4403,31.91%,941,941
"Judge, County Criminal Court No.11",0623,887,487,1374,3691,37.23%,984,984
"Judge, County Criminal Court No.11",0624,1,1,2,3,66.67%,1,1
"Judge, County Criminal Court No.11",0625,477,362,839,1820,46.10%,518,518
"Judge, County Criminal Court No.11",0626,581,440,1021,2861,35.69%,642,642
"Judge, County Criminal Court No.11",0627,346,322,668,3049,21.91%,290,290
"Judge, County Criminal Court No.11",0628,152,219,371,1675,22.15%,225,225
"Judge, County Criminal Court No.11",0629,37,53,90,696,12.93%,19,19
"Judge, County Criminal Court No.11",0630,974,600,1574,3905,40.31%,277,277
"Judge, County Criminal Court No.11",0631,822,404,1226,2846,43.08%,943,943
"Judge, County Criminal Court No.11",0632,7,4,11,343,3.21%,3,3
"Judge, County Criminal Court No.11",0633,943,731,1674,3559,47.04%,1260,1260
"Judge, County Criminal Court No.11",0634,458,442,900,3029,29.71%,635,635
"Judge, County Criminal Court No.11",0635,743,485,1228,3393,36.19%,959,959
"Judge, County Criminal Court No.11",0636,835,874,1710,4140,41.30%,1511,1511
"Judge, County Criminal Court No.11",0637,409,362,771,2512,30.69%,255,255
"Judge, County Criminal Court No.11",0638,304,245,549,2204,24.91%,90,90
"Judge, County Criminal Court No.11",0639,549,547,1096,2526,43.39%,907,907
"Judge, County Criminal Court No.11",0640,641,459,1100,3733,29.47%,750,750
"Judge, County Criminal Court No.11",0641,649,596,1245,3650,34.11%,878,878
"Judge, County Criminal Court No.11",0642,471,394,865,1764,49.04%,711,711
"Judge, County Criminal Court No.11",0643,934,653,1587,5945,26.69%,744,744
"Judge, County Criminal Court No.11",0644,1019,823,1842,5523,33.35%,1328,1328
"Judge, County Criminal Court No.11",0645,654,594,1248,4185,29.82%,760,760
"Judge, County Criminal Court No.11",0646,364,287,651,2220,29.32%,258,258
"Judge, County Criminal Court No.11",0647,904,470,1374,6084,22.58%,494,494
"Judge, County Criminal Court No.11",0648,838,579,1417,3367,42.08%,1082,1082
"Judge, County Criminal Court No.11",0649,687,434,1121,4576,24.50%,458,458
"Judge, County Criminal Court No.11",0650,906,766,1672,3888,43.00%,1291,1291
"Judge, County Criminal Court No.11",0651,963,766,1729,5128,33.72%,1206,1206
"Judge, County Criminal Court No.11",0652,467,515,982,2815,34.88%,257,257
"Judge, County Criminal Court No.11",0653,0,4,4,0,0.00%,1,1
"Judge, County Criminal Court No.11",0654,950,1005,1955,6208,31.49%,1216,1216
"Judge, County Criminal Court No.11",0655,1115,1079,2195,6855,32.02%,1470,1470
"Judge, County Criminal Court No.11",0656,579,393,972,2674,36.35%,68,68
"Judge, County Criminal Court No.11",0657,246,172,418,1292,32.35%,198,198
"Judge, County Criminal Court No.11",0658,540,426,966,2807,34.41%,677,677
"Judge, County Criminal Court No.11",0659,1149,788,1937,4856,39.89%,1453,1453
"Judge, County Criminal Court No.11",0660,950,825,1775,5372,33.04%,286,286
"Judge, County Criminal Court No.11",0661,675,765,1440,4567,31.53%,928,928
"Judge, County Criminal Court No.11",0662,1148,890,2038,4874,41.81%,1676,1676
"Judge, County Criminal Court No.11",0663,717,797,1514,3346,45.25%,842,842
"Judge, County Criminal Court No.11",0664,352,250,602,2869,20.98%,190,190
"Judge, County Criminal Court No.11",0665,482,348,830,2154,38.53%,719,719
"Judge, County Criminal Court No.11",0666,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0667,488,502,990,2149,46.07%,801,801
"Judge, County Criminal Court No.11",0668,399,509,908,2775,32.72%,640,640
"Judge, County Criminal Court No.11",0669,850,738,1588,3425,46.36%,1213,1213
"Judge, County Criminal Court No.11",0670,955,471,1427,2983,47.84%,1179,1179
"Judge, County Criminal Court No.11",0671,403,565,968,3037,31.87%,664,664
"Judge, County Criminal Court No.11",0672,959,862,1821,5706,31.91%,1323,1323
"Judge, County Criminal Court No.11",0673,729,516,1245,2995,41.57%,1021,1021
"Judge, County Criminal Court No.11",0674,1071,618,1689,4091,41.29%,1330,1330
"Judge, County Criminal Court No.11",0675,0,1,1,0,0.00%,1,1
"Judge, County Criminal Court No.11",0676,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No.11",0677,127,127,254,1266,20.06%,112,112
"Judge, County Criminal Court No.11",0678,166,108,274,735,37.28%,193,193
"Judge, County Criminal Court No.11",0679,635,520,1155,3381,34.16%,923,923
"Judge, County Criminal Court No.11",0680,21,14,35,162,21.60%,16,16
"Judge, County Criminal Court No.11",0681,1,0,1,5,20.00%,1,1
"Judge, County Criminal Court No.11",0682,711,654,1365,4216,32.38%,1061,1061
"Judge, County Criminal Court No.11",0683,29,20,49,276,17.75%,17,17
"Judge, County Criminal Court No.11",0684,27,22,49,223,21.97%,30,30
"Judge, County Criminal Court No.11",0685,110,29,139,307,45.28%,68,68
"Judge, County Criminal Court No.11",0686,17,12,29,208,13.94%,14,14
"Judge, County Criminal Court No.11",0687,549,537,1086,2609,41.63%,787,787
"Judge, County Criminal Court No.11",0688,999,617,1616,3504,46.12%,1339,1339
"Judge, County Criminal Court No.11",0689,211,387,598,2346,25.49%,336,336
"Judge, County Criminal Court No.11",0690,926,1104,2030,5102,39.79%,1718,1718
"Judge, County Criminal Court No.11",0691,2,5,7,25,28.00%,5,5
"Judge, County Criminal Court No.11",0692,444,548,992,2847,34.84%,781,781
"Judge, County Criminal Court No.11",0693,167,91,258,666,38.74%,88,88
"Judge, County Criminal Court No.11",0694,260,120,380,845,44.97%,281,281
"Judge, County Criminal Court No.11",0695,232,193,425,1724,24.65%,292,292
"Judge, County Criminal Court No.11",0696,261,207,468,1982,23.61%,319,319
"Judge, County Criminal Court No.11",0697,605,613,1218,4413,27.60%,392,392
"Judge, County Criminal Court No.11",0698,448,489,937,3189,29.38%,168,168
"Judge, County Criminal Court No.11",0699,568,414,982,2343,41.91%,707,707
"Judge, County Criminal Court No.11",0700,255,251,506,1371,36.91%,435,435
"Judge, County Criminal Court No.11",0701,56,43,99,588,16.84%,66,66
"Judge, County Criminal Court No.11",0702,54,70,134,539,24.86%,35,35
"Judge, County Criminal Court No.11",0703,372,490,862,1882,45.80%,670,670
"Judge, County Criminal Court No.11",0704,569,599,1168,3064,38.12%,966,966
"Judge, County Criminal Court No.11",0705,114,113,227,1523,14.90%,44,44
"Judge, County Criminal Court No.11",0706,115,71,186,610,30.49%,104,104
"Judge, County Criminal Court No.11",0707,153,86,239,707,33.80%,162,162
"Judge, County Criminal Court No.11",0708,54,52,106,563,18.83%,59,59
"Judge, County Criminal Court No.11",0709,1375,947,2322,6848,33.91%,1531,1531
"Judge, County Criminal Court No.11",0710,371,462,833,2082,40.01%,504,504
"Judge, County Criminal Court No.11",0711,702,506,1208,3484,34.67%,805,805
"Judge, County Criminal Court No.11",0712,491,463,954,3670,25.99%,491,491
"Judge, County Criminal Court No.11",0713,228,262,490,1907,25.69%,279,279
"Judge, County Criminal Court No.11",0714,35,19,55,296,18.58%,36,36
"Judge, County Criminal Court No.11",0715,176,187,363,1408,25.78%,221,221
"Judge, County Criminal Court No.11",0716,449,407,856,2680,31.94%,634,634
"Judge, County Criminal Court No.11",0717,373,250,623,2002,31.12%,110,110
"Judge, County Criminal Court No.11",0718,1017,806,1823,4229,43.11%,1356,1356
"Judge, County Criminal Court No.11",0719,247,137,384,1589,24.17%,259,259
"Judge, County Criminal Court No.11",0720,994,780,1774,4282,41.43%,1418,1418
"Judge, County Criminal Court No.11",0721,754,532,1286,2870,44.81%,906,906
"Judge, County Criminal Court No.11",0722,871,494,1365,4479,30.48%,181,181
"Judge, County Criminal Court No.11",0723,401,202,603,1858,32.45%,179,179
"Judge, County Criminal Court No.11",0724,151,128,279,766,36.42%,224,224
"Judge, County Criminal Court No.11",0725,423,237,660,2237,29.50%,352,352
"Judge, County Criminal Court No.11",0726,592,402,994,2087,47.63%,888,888
"Judge, County Criminal Court No.11",0727,338,290,628,2488,25.24%,263,263
"Judge, County Criminal Court No.11",0728,209,151,360,880,40.91%,232,232
"Judge, County Criminal Court No.11",0729,136,59,195,464,42.03%,123,123
"Judge, County Criminal Court No.11",0730,428,359,787,1747,45.05%,546,546
"Judge, County Criminal Court No.11",0731,58,27,85,352,24.15%,32,32
"Judge, County Criminal Court No.11",0732,441,324,765,1924,39.76%,522,522
"Judge, County Criminal Court No.11",0733,13,7,20,215,9.30%,9,9
"Judge, County Criminal Court No.11",0734,1558,962,2520,7005,35.97%,1863,1863
"Judge, County Criminal Court No.11",07356,0,6,18,33.33%,6,6
