Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Diane Bull,Totals
"Judge, County Criminal Court No.11",0085,271,248,519,2173,23.88%,64,64
"Judge, County Criminal Court No.11",0086,447,568,1015,2910,34.88%,536,536
"Judge, County Criminal Court No.11",0087,574,787,1461,2818,51.85%,978,978
"Judge, County Criminal Court No.11",0088,123,118,241,693,34.78%,162,162
"Judge, County Criminal Court No.11",0089,165,371,536,1094,48.99%,326,326
"Judge, County Criminal Court No.11",0090,844,790,1634,3700,44.16%,1241,1241
"Judge, County Criminal Court No.11",0091,219,222,441,1505,29.30%,296,296
"Judge, County Criminal Court No.11",0092,695,462,1157,2242,51.61%,800,800
"Judge, County Criminal Court No.11",0093,381,301,682,3356,20.32%,327,327
"Judge, County Criminal Court No.11",0094,51,43,94,549,17.12%,39,39
"Judge, County Criminal Court No.11",0095,917,576,1493,3177,46.99%,1120,1120
"Judge, County Criminal Court No.11",0096,83,83,166,1296,12.81%,35,35
"Judge, County Criminal Court No.11",0097,1024,725,1749,4828,36.23%,1349,1349
"Judge, County Criminal Court No.11",0098,403,488,891,2651,33.61%,754,754
"Judge, County Criminal Court No.11",0099,254,184,438,2092,20.94%,233,233
"Judge, County Criminal Court No.11",0100,155,173,338,1730,19.54%,193,193
"Judge, County Criminal Court No.11",0101,72,58,130,946,13.74%,61,61
"Judge, County Criminal Court No.11",0102,207,121,328,1872,17.52%,110,110
"Judge, County Criminal Court No.11",0103,700,714,1414,5371,26.33%,866,866
"Judge, County Criminal Court No.11",0104,530,231,761,1905,39.95%,62,62
"Judge, County Criminal Court No.11",0105,195,210,406,2165,18.75%,176,176
"Judge, County Criminal Court No.11",0106,18,7,25,294,8.50%,17,17
"Judge, County Criminal Court No.11",0107,154,197,351,2032,17.27%,86,86
"Judge, County Criminal Court No.11",0108,558,272,940,3365,27.93%,611,611
"Judge, County Criminal Court No.11",0109,529,245,774,2824,27.41%,33,33
"Judge, County Criminal Court No.11",0110,554,494,1148,3042,37.74%,806,806
"Judge, County Criminal Court No.11",0111,816,795,1611,4102,39.27%,1249,1249
"Judge, County Criminal Court No.11",0112,542,485,1027,2976,34.51%,788,788
"Judge, County Criminal Court No.11",0113,552,429,991,2647,37.44%,661,661
"Judge, County Criminal Court No.11",0114,707,547,1254,3311,37.87%,1054,1054
