Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0074,1153,782,1935,3583,54.01%,1531,316,1847
"Judge, County Criminal Court No. 5",0075,254,280,534,1444,36.98%,208,293,501
"Judge, County Criminal Court No. 5",0076,373,374,747,2362,31.63%,445,270,715
"Judge, County Criminal Court No. 5",0077,43,46,89,566,15.72%,19,65,84
"Judge, County Criminal Court No. 5",0078,180,201,381,1522,25.03%,135,222,357
"Judge, County Criminal Court No. 5",0079,205,306,511,2927,17.46%,132,337,469
"Judge, County Criminal Court No. 5",0080,501,351,852,2725,31.27%,221,589,810
"Judge, County Criminal Court No. 5",0081,183,187,370,1835,20.16%,147,196,343
"Judge, County Criminal Court No. 5",0082,639,671,1310,3368,38.90%,995,276,1271
"Judge, County Criminal Court No. 5",0083,1296,888,2184,6625,32.97%,1080,1022,2102
"Judge, County Criminal Court No. 5",0084,208,218,426,1373,31.03%,312,94,406
"Judge, County Criminal Court No. 5",0085,271,248,519,2173,23.88%,21,489,510
"Judge, County Criminal Court No. 5",0086,447,568,1015,2910,34.88%,471,485,956
"Judge, County Criminal Court No. 5",0087,574,787,1461,2818,51.85%,944,402,1346
"Judge, County Criminal Court No. 5",0088,123,118,241,693,34.78%,156,71,227
"Judge, County Criminal Court No. 5",0089,165,371,536,1094,48.99%,302,185,487
"Judge, County Criminal Court No. 5",0090,844,790,1634,3700,44.16%,1212,346,1558
"Judge, County Criminal Court No. 5",0091,219,222,441,1505,29.30%,270,151,421
"Judge, County Criminal Court No. 5",0092,695,462,1157,2242,51.61%,780,297,1077
"Judge, County Criminal Court No. 5",0093,381,301,682,3356,20.32%,273,365,638
"Judge, County Criminal Court No. 5",0094,51,43,94,549,17.12%,28,62,90
"Judge, County Criminal Court No. 5",0095,917,576,1493,3177,46.99%,1103,316,1419
"Judge, County Criminal Court No. 5",0096,83,83,166,1296,12.81%,23,141,164
"Judge, County Criminal Court No. 5",0097,1024,725,1749,4828,36.23%,1306,377,1683
"Judge, County Criminal Court No. 5",0098,403,488,891,2651,33.61%,742,117,859
"Judge, County Criminal Court No. 5",0099,254,184,438,2092,20.94%,215,208,423
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0100,165,173,338,1730,19.54%,181,150,331
"Judge, County Criminal Court No. 5",0101,72,58,130,946,13.74%,49,77,126
"Judge, County Criminal Court No. 5",0102,207,121,328,1872,17.52%,94,222,316
"Judge, County Criminal Court No. 5",0103,700,714,1414,5371,26.33%,805,564,1369
"Judge, County Criminal Court No. 5",0104,530,231,761,1905,39.95%,20,724,744
"Judge, County Criminal Court No. 5",0105,195,210,406,2165,18.75%,135,242,377
"Judge, County Criminal Court No. 5",0106,18,7,25,294,8.50%,15,9,24
"Judge, County Criminal Court No. 5",0107,154,197,351,2032,17.27%,56,280,336
"Judge, County Criminal Court No. 5",0108,558,272,940,3365,27.93%,575,330,905
"Judge, County Criminal Court No. 5",0109,529,245,774,2824,27.41%,6,748,754
"Judge, County Criminal Court No. 5",0110,654,494,1148,3042,37.74%,756,356,1112
"Judge, County Criminal Court No. 5",0111,816,795,1611,4102,39.27%,1190,345,1535
"Judge, County Criminal Court No. 5",0112,542,485,1027,2976,34.51%,758,225,983
"Judge, County Criminal Court No. 5",0113,562,429,991,2647,37.44%,615,324,939
"Judge, County Criminal Court No. 5",0114,707,547,1254,3311,37.87%,1013,204,1217
"Judge, County Criminal Court No. 5",0115,238,150,388,1800,21.56%,51,325,376
"Judge, County Criminal Court No. 5",0116,982,776,1758,3147,55.86%,1365,280,1645
"Judge, County Criminal Court No. 5",0117,215,226,441,1880,23.46%,228,189,417
"Judge, County Criminal Court No. 5",0118,304,123,427,759,56.26%,362,49,411
"Judge, County Criminal Court No. 5",0119,1288,1024,2312,5500,42.04%,1890,327,2217
"Judge, County Criminal Court No. 5",0120,712,422,1134,3191,35.54%,742,339,1081
"Judge, County Criminal Court No. 5",0121,92,178,270,848,31.84%,191,68,259
"Judge, County Criminal Court No. 5",0122,352,225,577,1890,30.53%,19,536,555
"Judge, County Criminal Court No. 5",0123,284,288,572,1392,41.09%,147,384,531
"Judge, County Criminal Court No. 5",0124,1734,1292,3026,7254,41.71%,2414,527,2941
"Judge, County Criminal Court No. 5",0125,415,332,747,2405,31.06%,465,255,720
"Judge, County Criminal Court No. 5",0126,893,467,1360,3100,43.87%,1205,114,1319
"Judge, County Criminal Court No. 5",0127,435,154,589,1836,32.08%,429,125,554
"Judge, County Criminal Court No. 5",0128,445,707,1152,2290,50.31%,749,295,1044
"Judge, County Criminal Court No. 5",0129,1030,1200,2230,5746,38.81%,1427,679,2106
"Judge, County Criminal Court No. 5",0130,727,523,1250,2333,53.58%,945,238,1183
"Judge, County Criminal Court No. 5",0131,251,259,510,1935,26.36%,123,361,484
"Judge, County Criminal Court No. 5",0132,593,323,916,2387,38.37%,18,873,891
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0133,513,858,1371,2662,51.50%,813,430,1243
"Judge, County Criminal Court No. 5",0134,192,265,457,1437,31.80%,204,228,432
"Judge, County Criminal Court No. 5",0135,727,579,1306,2671,48.90%,935,282,1217
"Judge, County Criminal Court No. 5",0136,503,371,874,2013,43.42%,31,814,845
"Judge, County Criminal Court No. 5",0137,166,141,307,716,42.88%,153,122,275
"Judge, County Criminal Court No. 5",0138,296,199,495,1699,29.13%,16,467,483
"Judge, County Criminal Court No. 5",0139,699,551,1250,3037,41.16%,563,601,1164
"Judge, County Criminal Court No. 5",0140,699,480,1179,3214,36.68%,145,996,1141
"Judge, County Criminal Court No. 5",0141,80,80,160,855,18.71%,99,52,151
"Judge, County Criminal Court No. 5",0142,87,103,190,902,21.06%,63,116,179
"Judge, County Criminal Court No. 5",0143,1962,580,2542,6386,39.81%,1839,635,2474
"Judge, County Criminal Court No. 5",0144,216,158,374,1093,34.22%,13,352,365
"Judge, County Criminal Court No. 5",0145,264,213,477,1538,31.01%,9,453,462
"Judge, County Criminal Court No. 5",0146,426,519,945,2008,47.06%,423,463,886
"Judge, County Criminal Court No. 5",0147,689,329,1018,3008,33.84%,133,859,992
"Judge, County Criminal Court No. 5",0148,500,780,1280,2540,50.39%,518,639,1157
"Judge, County Criminal Court No. 5",0149,1621,737,2358,7993,29.50%,1241,1052,2293
"Judge, County Criminal Court No. 5",0150,236,169,405,1256,32.25%,10,388,398
"Judge, County Criminal Court No. 5",0151,137,79,216,826,26.15%,10,198,208
"Judge, County Criminal Court No. 5",0152,213,299,512,2788,18.36%,137,350,487
"Judge, County Criminal Court No. 5",0153,125,206,331,1808,18.31%,103,213,316
"Judge, County Criminal Court No. 5",0154,249,183,432,2190,19.73%,120,284,404
"Judge, County Criminal Court No. 5",0155,1022,619,1641,4109,39.94%,1168,409,1577
"Judge, County Criminal Court No. 5",0156,799,326,1125,3071,36.63%,38,1057,1095
"Judge, County Criminal Court No. 5",0157,448,214,662,2236,29.61%,23,619,642
"Judge, County Criminal Court No. 5",0158,600,315,915,3035,30.15%,24,867,891
"Judge, County Criminal Court No. 5",0159,116,127,243,998,24.35%,39,197,236
"Judge, County Criminal Court No. 5",0160,122,73,195,696,28.02%,5,187,192
"Judge, County Criminal Court No. 5",0161,163,141,304,991,30.68%,6,289,295
"Judge, County Criminal Court No. 5",0162,101,83,184,1265,14.55%,72,97,169
"Judge, County Criminal Court No. 5",0163,230,320,550,3037,18.11%,236,287,523
"Judge, County Criminal Court No. 5",0164,182,205,387,1420,27.25%,13,367,380
"Judge, County Criminal Court No. 5",0165,535,483,1018,2334,43.62%,693,275,968
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Margaret Stewart Harris,DEM Ramona Franklin,Totals
"Judge, County Criminal Court No. 5",0166,158,233,391,1028,38.04%,119,250,369
"Judge, County Criminal Court No. 5",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Criminal Court No. 5",0168,92,58,150,503,29.82%,3,143,146
"Judge, County Criminal Court No. 5",0169,518,251,767,2513,30.52%,17,731,748
"Judge, County Criminal Court No. 5",0170,271,141,412,1869,22.04%,218,174,392
"Judge, County Criminal Court No. 5",0171,202,198,400,1604,24.94%,13,377,390
"Judge, County Criminal Court No. 5",0172,88,80,166,621,26.73%,68,85,153
"Judge, County Criminal Court No. 5",0173,817,739,1556,3599,43.23%,1264,241,1505
