Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0064,191,221,412,2141,19.24%,88,293,12,393
"Judge, Court of Criminal Appeals, Place 3",0065,172,230,402,2167,18.55%,95,275,10,380
"Judge, Court of Criminal Appeals, Place 3",0066,69,143,212,1098,19.31%,36,159,6,201
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0067,304,282,586,2794,20.97%,166,377,14,557
"Judge, Court of Criminal Appeals, Place 3",0068,553,352,905,2924,30.95%,22,850,14,886
"Judge, Court of Criminal Appeals, Place 3",0069,80,124,204,1284,15.89%,42,145,5,192
"Judge, Court of Criminal Appeals, Place 3",0070,882,664,1546,3337,46.33%,899,506,54,1459
"Judge, Court of Criminal Appeals, Place 3",0071,602,722,1324,4197,31.55%,610,589,76,1275
"Judge, Court of Criminal Appeals, Place 3",0072,220,293,513,1924,26.66%,162,311,15,488
"Judge, Court of Criminal Appeals, Place 3",0073,252,414,666,1555,42.83%,364,230,26,620
"Judge, Court of Criminal Appeals, Place 3",0074,1153,782,1935,3583,54.01%,1506,322,34,1862
"Judge, Court of Criminal Appeals, Place 3",0075,254,280,534,1444,36.98%,198,281,27,506
"Judge, Court of Criminal Appeals, Place 3",0076,373,374,747,2362,31.63%,441,274,13,728
"Judge, Court of Criminal Appeals, Place 3",0077,43,46,89,566,15.72%,21,65,3,89
"Judge, Court of Criminal Appeals, Place 3",0078,181,201,382,1522,25.10%,131,213,18,362
"Judge, Court of Criminal Appeals, Place 3",0079,205,306,511,2927,17.46%,137,330,16,483
"Judge, Court of Criminal Appeals, Place 3",0080,501,351,852,2725,31.27%,211,589,15,815
"Judge, Court of Criminal Appeals, Place 3",0081,183,187,370,1835,20.16%,143,194,14,351
"Judge, Court of Criminal Appeals, Place 3",0082,639,671,1310,3368,38.90%,968,273,43,1284
"Judge, Court of Criminal Appeals, Place 3",0083,1298,888,2186,6625,33.00%,1054,1031,45,2130
"Judge, Court of Criminal Appeals, Place 3",0084,208,218,426,1373,31.03%,303,97,11,411
"Judge, Court of Criminal Appeals, Place 3",0085,271,248,519,2173,23.88%,21,480,8,509
"Judge, Court of Criminal Appeals, Place 3",0086,448,568,1016,2910,34.91%,438,489,44,971
"Judge, Court of Criminal Appeals, Place 3",0087,674,787,1461,2818,51.85%,911,421,41,1373
"Judge, Court of Criminal Appeals, Place 3",0088,123,118,241,693,34.78%,153,69,7,229
"Judge, Court of Criminal Appeals, Place 3",0089,165,371,536,1094,48.99%,287,190,23,500
"Judge, Court of Criminal Appeals, Place 3",0090,845,790,1635,3700,44.19%,1177,354,55,1586
"Judge, Court of Criminal Appeals, Place 3",0091,221,222,443,1505,29.44%,255,151,20,426
"Judge, Court of Criminal Appeals, Place 3",0092,695,462,1157,2242,51.61%,768,300,37,1105
"Judge, Court of Criminal Appeals, Place 3",0093,381,301,682,3356,20.32%,267,359,21,647
"Judge, Court of Criminal Appeals, Place 3",0094,51,43,94,549,17.12%,28,60,3,91
"Judge, Court of Criminal Appeals, Place 3",0095,917,576,1493,3177,46.99%,1096,304,35,1435
"Judge, Court of Criminal Appeals, Place 3",0096,83,83,166,1296,12.81%,22,141,2,165
"Judge, Court of Criminal Appeals, Place 3",0097,1024,725,1749,4828,36.23%,1295,376,36,1707
"Judge, Court of Criminal Appeals, Place 3",0098,403,488,891,2651,33.61%,718,113,33,864
"Judge, Court of Criminal Appeals, Place 3",0099,254,184,438,2092,20.94%,212,207,13,432
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0100,155,173,338,1730,19.54%,174,147,9,330
"Judge, Court of Criminal Appeals, Place 3",0101,72,58,130,946,13.74%,43,76,8,127
"Judge, Court of Criminal Appeals, Place 3",0102,207,121,328,1872,17.52%,88,219,9,316
"Judge, Court of Criminal Appeals, Place 3",0103,700,714,1414,5371,26.33%,780,563,39,1382
"Judge, Court of Criminal Appeals, Place 3",0104,530,231,761,1905,39.95%,17,731,2,750
"Judge, Court of Criminal Appeals, Place 3",0105,195,210,406,2165,18.75%,125,244,11,380
"Judge, Court of Criminal Appeals, Place 3",0106,15,7,25,294,8.50%,16,9,0,25
"Judge, Court of Criminal Appeals, Place 3",0107,154,197,351,2032,17.27%,56,278,6,340
"Judge, Court of Criminal Appeals, Place 3",0108,558,272,940,3365,27.93%,558,333,22,913
"Judge, Court of Criminal Appeals, Place 3",0109,530,245,775,2824,27.44%,7,750,8,765
"Judge, Court of Criminal Appeals, Place 3",0110,554,494,1148,3042,37.74%,741,349,25,1115
"Judge, Court of Criminal Appeals, Place 3",0111,815,795,1611,4102,39.27%,1158,351,52,1561
"Judge, Court of Criminal Appeals, Place 3",0112,542,485,1027,2976,34.51%,749,226,31,1006
"Judge, Court of Criminal Appeals, Place 3",0113,552,429,991,2647,37.44%,608,323,23,954
"Judge, Court of Criminal Appeals, Place 3",0114,707,547,1254,3311,37.87%,1007,198,25,1230
"Judge, Court of Criminal Appeals, Place 3",0115,238,150,388,1800,21.56%,51,323,6,380
"Judge, Court of Criminal Appeals, Place 3",0116,982,776,1758,3147,55.86%,1334,289,49,1672
"Judge, Court of Criminal Appeals, Place 3",0117,215,226,442,1880,23.51%,218,191,12,421
"Judge, Court of Criminal Appeals, Place 3",0118,304,123,427,759,56.26%,356,50,8,414
"Judge, Court of Criminal Appeals, Place 3",0119,1290,1024,2314,5500,42.07%,1850,339,58,2247
"Judge, Court of Criminal Appeals, Place 3",0120,713,422,1135,3191,35.57%,736,331,30,1097
"Judge, Court of Criminal Appeals, Place 3",0121,92,178,270,848,31.84%,188,72,3,253
"Judge, Court of Criminal Appeals, Place 3",0122,352,225,577,1890,30.53%,19,535,10,564
"Judge, Court of Criminal Appeals, Place 3",0123,285,288,573,1392,41.16%,135,380,25,540
"Judge, Court of Criminal Appeals, Place 3",0124,1734,1292,3026,7254,41.71%,2380,519,66,2965
"Judge, Court of Criminal Appeals, Place 3",0125,415,332,747,2405,31.06%,446,254,25,725
"Judge, Court of Criminal Appeals, Place 3",0126,893,467,1360,3100,43.87%,1194,113,29,1336
"Judge, Court of Criminal Appeals, Place 3",0127,435,154,589,1836,32.08%,405,134,19,558
"Judge, Court of Criminal Appeals, Place 3",0128,445,707,1152,2290,50.31%,713,321,39,1073
"Judge, Court of Criminal Appeals, Place 3",0129,1031,1200,2231,5746,38.83%,1388,684,73,2145
"Judge, Court of Criminal Appeals, Place 3",0130,727,523,1250,2333,53.58%,934,248,15,1197
"Judge, Court of Criminal Appeals, Place 3",0131,251,259,510,1935,26.36%,120,360,12,492
"Judge, Court of Criminal Appeals, Place 3",0132,593,323,916,2387,38.37%,16,867,13,896
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0133,514,858,1372,2662,51.54%,779,458,56,1293
"Judge, Court of Criminal Appeals, Place 3",0134,192,265,457,1437,31.80%,203,220,19,442
"Judge, Court of Criminal Appeals, Place 3",0135,730,579,1309,2671,49.01%,925,294,35,1254
"Judge, Court of Criminal Appeals, Place 3",0136,503,371,874,2013,43.42%,35,798,17,850
"Judge, Court of Criminal Appeals, Place 3",0137,166,141,307,716,42.88%,143,132,12,287
"Judge, Court of Criminal Appeals, Place 3",0138,296,199,495,1699,29.13%,13,466,3,482
"Judge, Court of Criminal Appeals, Place 3",0139,700,551,1251,3037,41.19%,550,585,46,1181
"Judge, Court of Criminal Appeals, Place 3",0140,701,480,1181,3214,36.75%,127,993,32,1152
"Judge, Court of Criminal Appeals, Place 3",0141,80,80,160,855,18.71%,100,51,3,154
"Judge, Court of Criminal Appeals, Place 3",0142,87,103,190,902,21.06%,65,110,6,181
"Judge, Court of Criminal Appeals, Place 3",0143,1962,580,2542,6386,39.81%,1815,624,57,2496
"Judge, Court of Criminal Appeals, Place 3",0144,216,158,374,1093,34.22%,10,351,3,364
"Judge, Court of Criminal Appeals, Place 3",0145,264,213,477,1538,31.01%,11,454,0,465
"Judge, Court of Criminal Appeals, Place 3",0146,426,519,945,2008,47.06%,403,453,44,900
