Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0270,819,672,1491,3605,41.36%,805,562,63,1430
"Judge, Court of Criminal Appeals, Place 3",0271,656,382,1038,2518,41.22%,26,997,6,1029
"Judge, Court of Criminal Appeals, Place 3",0272,264,292,556,2162,25.72%,208,307,27,542
"Judge, Court of Criminal Appeals, Place 3",0273,548,689,1237,2470,50.08%,992,164,31,1187
"Judge, Court of Criminal Appeals, Place 3",0274,588,346,934,2153,43.38%,640,219,28,887
"Judge, Court of Criminal Appeals, Place 3",0275,207,236,443,1850,23.95%,110,313,7,430
"Judge, Court of Criminal Appeals, Place 3",0276,572,231,803,2536,31.66%,8,770,10,788
"Judge, Court of Criminal Appeals, Place 3",0277,170,186,356,1492,23.86%,162,169,12,343
"Judge, Court of Criminal Appeals, Place 3",0278,421,320,741,2454,30.20%,422,278,18,718
"Judge, Court of Criminal Appeals, Place 3",0279,251,223,474,1941,24.42%,275,163,18,456
"Judge, Court of Criminal Appeals, Place 3",0280,130,188,318,1524,20.87%,136,156,11,303
"Judge, Court of Criminal Appeals, Place 3",0281,655,742,1397,2633,53.06%,676,566,37,1279
"Judge, Court of Criminal Appeals, Place 3",0282,314,455,769,2042,37.66%,488,220,32,740
"Judge, Court of Criminal Appeals, Place 3",0283,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0284,574,336,910,3172,28.69%,416,434,22,872
"Judge, Court of Criminal Appeals, Place 3",0285,448,378,826,2540,32.52%,74,723,9,806
"Judge, Court of Criminal Appeals, Place 3",0286,1255,821,2076,6170,33.65%,186,1808,25,2019
"Judge, Court of Criminal Appeals, Place 3",0287,371,477,848,1621,52.31%,409,373,23,805
"Judge, Court of Criminal Appeals, Place 3",0288,532,313,845,2210,38.24%,20,807,8,835
"Judge, Court of Criminal Appeals, Place 3",0289,186,212,398,1564,25.45%,203,166,9,378
"Judge, Court of Criminal Appeals, Place 3",0290,245,298,543,1642,33.07%,398,115,21,534
"Judge, Court of Criminal Appeals, Place 3",0291,325,235,560,1225,45.71%,282,230,17,529
"Judge, Court of Criminal Appeals, Place 3",0292,207,147,354,1356,26.11%,42,300,7,349
"Judge, Court of Criminal Appeals, Place 3",0293,357,447,804,1759,45.71%,366,363,28,757
"Judge, Court of Criminal Appeals, Place 3",0294,488,221,709,2097,33.81%,7,682,9,698
"Judge, Court of Criminal Appeals, Place 3",0295,148,103,251,885,28.36%,7,237,1,245
"Judge, Court of Criminal Appeals, Place 3",0296,327,340,667,1713,38.94%,393,223,21,637
"Judge, Court of Criminal Appeals, Place 3",0297,280,249,529,2012,26.29%,231,262,14,507
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0298,415,358,773,2121,36.45%,443,258,27,728
"Judge, Court of Criminal Appeals, Place 3",0299,179,117,296,1353,21.88%,118,153,10,281
"Judge, Court of Criminal Appeals, Place 3",0300,1389,1016,2405,5406,44.49%,1895,381,56,2332
"Judge, Court of Criminal Appeals, Place 3",0301,210,255,465,2352,19.77%,185,247,12,444
"Judge, Court of Criminal Appeals, Place 3",0302,353,343,696,2720,25.59%,404,255,17,676
"Judge, Court of Criminal Appeals, Place 3",0303,924,784,1708,3245,52.63%,1366,237,37,1640
"Judge, Court of Criminal Appeals, Place 3",0304,606,505,1111,2298,48.35%,611,402,32,1045
"Judge, Court of Criminal Appeals, Place 3",0305,524,432,956,4191,22.81%,401,515,19,935
"Judge, Court of Criminal Appeals, Place 3",0306,550,342,992,1879,52.79%,723,200,24,947
"Judge, Court of Criminal Appeals, Place 3",0307,733,670,1403,3099,45.27%,944,340,56,1340
"Judge, Court of Criminal Appeals, Place 3",0308,199,130,329,1296,25.39%,115,192,12,319
"Judge, Court of Criminal Appeals, Place 3",0309,708,593,1301,2524,51.55%,1046,170,25,1241
"Judge, Court of Criminal Appeals, Place 3",0310,386,279,665,1435,46.34%,454,164,12,630
"Judge, Court of Criminal Appeals, Place 3",0311,486,421,907,2986,30.38%,488,347,17,852
"Judge, Court of Criminal Appeals, Place 3",0312,742,457,1199,3636,32.98%,779,352,30,1161
"Judge, Court of Criminal Appeals, Place 3",0313,9,0,9,62,14.52%,7,2,0,9
"Judge, Court of Criminal Appeals, Place 3",0314,1121,913,2034,5647,36.02%,1263,667,63,1993
"Judge, Court of Criminal Appeals, Place 3",0315,478,388,866,1608,53.86%,505,288,26,819
"Judge, Court of Criminal Appeals, Place 3",0316,412,341,753,1537,48.99%,419,259,28,706
"Judge, Court of Criminal Appeals, Place 3",0317,250,209,459,1588,28.90%,141,283,17,441
"Judge, Court of Criminal Appeals, Place 3",0318,834,568,1402,3660,38.31%,63,1285,12,1360
"Judge, Court of Criminal Appeals, Place 3",0319,512,230,742,2158,34.38%,43,669,7,719
"Judge, Court of Criminal Appeals, Place 3",0320,234,168,402,1537,26.15%,196,184,9,389
"Judge, Court of Criminal Appeals, Place 3",0321,262,191,453,2346,19.31%,168,256,12,436
"Judge, Court of Criminal Appeals, Place 3",0322,182,129,311,1226,25.37%,100,191,10,301
"Judge, Court of Criminal Appeals, Place 3",0323,278,211,489,1722,28.40%,230,217,14,461
"Judge, Court of Criminal Appeals, Place 3",0324,532,545,1178,2336,50.43%,732,329,41,1102
"Judge, Court of Criminal Appeals, Place 3",0325,289,193,482,2112,22.82%,105,350,12,467
"Judge, Court of Criminal Appeals, Place 3",0326,87,74,161,698,23.07%,77,68,5,150
"Judge, Court of Criminal Appeals, Place 3",0327,380,129,509,1729,29.44%,10,484,5,499
"Judge, Court of Criminal Appeals, Place 3",0328,151,140,291,1434,20.29%,124,146,9,279
"Judge, Court of Criminal Appeals, Place 3",0329,191,184,375,1397,26.84%,141,205,18,364
"Judge, Court of Criminal Appeals, Place 3",0330,334,253,587,1936,30.32%,318,217,20,555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0331,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0332,18,7,25,138,18.12%,14,8,0,22
"Judge, Court of Criminal Appeals, Place 3",0333,524,714,1238,3021,40.98%,848,288,55,1191
"Judge, Court of Criminal Appeals, Place 3",0334,83,42,125,742,16.85%,21,100,2,123
"Judge, Court of Criminal Appeals, Place 3",0335,121,98,219,1300,16.85%,82,118,7,207
"Judge, Court of Criminal Appeals, Place 3",0336,870,624,1494,4051,36.88%,127,1310,28,1465
"Judge, Court of Criminal Appeals, Place 3",0337,124,103,227,1029,22.06%,38,172,8,218
"Judge, Court of Criminal Appeals, Place 3",0338,731,391,1122,4934,22.74%,383,647,22,1052
"Judge, Court of Criminal Appeals, Place 3",0339,202,222,424,1757,24.13%,93,297,11,401
"Judge, Court of Criminal Appeals, Place 3",0340,1038,594,1632,3765,43.35%,1204,312,63,1579
"Judge, Court of Criminal Appeals, Place 3",0341,91,167,258,1290,20.00%,84,160,6,250
"Judge, Court of Criminal Appeals, Place 3",0342,675,605,1280,6526,19.61%,199,1027,25,1251
"Judge, Court of Criminal Appeals, Place 3",0343,189,271,460,1964,23.42%,133,292,11,436
"Judge, Court of Criminal Appeals, Place 3",0344,154,172,326,1160,28.10%,12,297,3,312
"Judge, Court of Criminal Appeals, Place 3",0345,156,165,321,1804,17.79%,95,203,7,305
"Judge, Court of Criminal Appeals, Place 3",0346,0,1,1,3,33.33%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 3",0347,592,436,1028,3387,30.35%,686,284,32,1002
"Judge, Court of Criminal Appeals, Place 3",0348,438,208,646,1708,37.82%,500,120,8,628
"Judge, Court of Criminal Appeals, Place 3",0349,188,267,455,1349,33.73%,269,145,26,440
"Judge, Court of Criminal Appeals, Place 3",0350,525,526,1051,2909,36.13%,430,528,29,987
"Judge, Court of Criminal Appeals, Place 3",0351,1491,710,2201,4712,46.71%,1740,370,40,2150
"Judge, Court of Criminal Appeals, Place 3",0352,520,339,859,3205,26.80%,620,187,31,838
"Judge, Court of Criminal Appeals, Place 3",0353,665,451,1116,3862,28.90%,205,874,12,1091
"Judge, Court of Criminal Appeals, Place 3",0354,715,338,1053,3388,31.08%,258,753,14,1025
"Judge, Court of Criminal Appeals, Place 3",0355,301,264,565,1560,36.22%,53,492,10,555
"Judge, Court of Criminal Appeals, Place 3",0356,594,538,1132,2972,38.09%,738,320,28,1086
"Judge, Court of Criminal Appeals, Place 3",0357,837,575,1412,3517,40.15%,1020,322,35,1377
"Judge, Court of Criminal Appeals, Place 3",0358,213,254,467,2492,18.74%,48,395,11,454
"Judge, Court of Criminal Appeals, Place 3",0359,235,224,459,3061,15.00%,58,381,9,448
"Judge, Court of Criminal Appeals, Place 3",0360,524,380,904,2146,42.12%,466,339,33,838
"Judge, Court of Criminal Appeals, Place 3",0361,41,295,336,1673,20.08%,47,245,15,307
"Judge, Court of Criminal Appeals, Place 3",0362,1138,887,2025,5086,39.82%,1478,425,52,1955
"Judge, Court of Criminal Appeals, Place 3",0363,620,412,1032,3677,28.07%,467,528,16,1011
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0364,489,405,894,2658,33.63%,507,325,25,857
"Judge, Court of Criminal Appeals, Place 3",0365,478,231,709,1305,54.33%,56,624,11,691
"Judge, Court of Criminal Appeals, Place 3",0366,252,270,522,2454,21.27%,129,363,14,506
"Judge, Court of Criminal Appeals, Place 3",0367,170,138,308,1130,27.26%,60,232,11,303
"Judge, Court of Criminal Appeals, Place 3",0368,178,88,266,958,27.77%,69,184,2,255
"Judge, Court of Criminal Appeals, Place 3",0369,32,29,61,559,10.91%,17,43,1,61
"Judge, Court of Criminal Appeals, Place 3",0370,1532,1105,2637,6593,40.00%,1987,518,54,2559
"Judge, Court of Criminal Appeals, Place 3",0371,122,52,174,502,34.66%,6,161,3,170
"Judge, Court of Criminal Appeals, Place 3",0372,221,170,391,1224,31.94%,52,320,6,378
"Judge, Court of Criminal Appeals, Place 3",0373,21,12,33,157,21.02%,1,28,2,31
"Judge, Court of Criminal Appeals, Place 3",0374,65,93,158,738,21.41,%,54,98,3,155
"Judge, Court of Criminal Appeals, Place 3",0375,254,220,474,2645,17.92%,231,204,14,449
"Judge, Court of Criminal Appeals, Place 3",0376,278,205,483,1910,25.29%,214,243,10,467
"Judge, Court of Criminal Appeals, Place 3",0377,526,583,1109,2920,37.98%,816,218,31,1065
"Judge, Court of Criminal Appeals, Place 3",0378,232,354,586,1829,32.04%,361,181,28,570
"Judge, Court of Criminal Appeals, Place 3",0379,432,289,721,2027,35.57%,69,625,9,703
"Judge, Court of Criminal Appeals, Place 3",0380,1303,995,2298,5666,40.56%,1240,933,66,2239
"Judge, Court of Criminal Appeals, Place 3",0381,412,248,660,2855,23.12%,301,322,14,637
"Judge, Court of Criminal Appeals, Place 3",0382,132,157,289,922,31.34%,212,64,6,282
"Judge, Court of Criminal Appeals, Place 3",0383,289,263,552,2173,25.40%,227,299,8,534
"Judge, Court of Criminal Appeals, Place 3",0384,573,373,946,2657,35.60%,183,718,17,918
"Judge, Court of Criminal Appeals, Place 3",0385,583,670,1253,2207,56.77%,959,205,31,1195
"Judge, Court of Criminal Appeals, Place 3",0386,662,469,1131,2922,38.71%,828,257,13,1098
"Judge, Court of Criminal Appeals, Place 3",0387,555,672,1227,3935,31.18%,883,286,27,1196
"Judge, Court of Criminal Appeals, Place 3",0388,1432,1010,2442,6888,35.45%,1379,947,68,2394
"Judge, Court of Criminal Appeals, Place 3",0389,91,208,299,1026,29.14%,36,229,15,280
"Judge, Court of Criminal Appeals, Place 3",0390,355,263,619,1480,41.82%,75,511,14,600
"Judge, Court of Criminal Appeals, Place 3",0391,508,260,768,1883,40.79%,476,246,15,737
"Judge, Court of Criminal Appeals, Place 3",0392,387,155,542,1446,37.48%,6,528,3,537
"Judge, Court of Criminal Appeals, Place 3",0393,165,185,350,1292,27.09%,162,163,19,344
"Judge, Court of Criminal Appeals, Place 3",0394,69,73,142,834,17.03%,67,64,6,137
"Judge, Court of Criminal Appeals, Place 3",0395,470,404,874,1846,47.35%,617,181,40,838
"Judge, Court of Criminal Appeals, Place 3",0396,623,216,839,2082,40.30%,17,810,4,831
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0397,86,78,164,760,21.58%,79,79,2,160
"Judge, Court of Criminal Appeals, Place 3",0398,615,521,1136,4022,28.24%,606,478,29,1113
"Judge, Court of Criminal Appeals, Place 3",0399,404,366,770,2791,27.59%,425,299,28,752
"Judge, Court of Criminal Appeals, Place 3",0400,620,359,979,2411,40.61%,703,207,30,940
"Judge, Court of Criminal Appeals, Place 3",0401,330,205,535,1913,27.97%,17,504,5,526
"Judge, Court of Criminal Appeals, Place 3",0402,466,266,732,1794,40.80%,37,674,5,716
"Judge, Court of Criminal Appeals, Place 3",0403,475,498,973,1715,56.73%,544,334,28,906
"Judge, Court of Criminal Appeals, Place 3",0404,419,330,749,2585,28.97%,421,276,23,720
"Judge, Court of Criminal Appeals, Place 3",0405,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0406,137,67,204,628,32.48%,4,199,0,203
"Judge, Court of Criminal Appeals, Place 3",0407,692,793,1485,3769,39.40%,987,394,36,1417
"Judge, Court of Criminal Appeals, Place 3",0408,146,153,299,1691,17.68%,140,139,9,288
"Judge, Court of Criminal Appeals, Place 3",0409,122,149,271,1459,18.57%,109,153,3,265
"Judge, Court of Criminal Appeals, Place 3",0410,132,80,212,899,23.58%,48,155,2,205
"Judge, Court of Criminal Appeals, Place 3",0411,235,200,435,2339,18.60%,154,253,14,421
"Judge, Court of Criminal Appeals, Place 3",0412,74,44,118,468,25.21%,8,106,1,115
"Judge, Court of Criminal Appeals, Place 3",0413,767,386,1153,2992,38.54%,459,634,16,1109
"Judge, Court of Criminal Appeals, Place 3",0414,654,480,1134,3453,32.84%,873,207,17,1097
"Judge, Court of Criminal Appeals, Place 3",0415,539,598,1137,2203,51.61%,752,308,37,1097
"Judge, Court of Criminal Appeals, Place 3",0416,538,558,1096,3791,28.91%,601,428,35,1064
"Judge, Court of Criminal Appeals, Place 3",0417,353,385,738,2448,30.15%,372,321,22,715
"Judge, Court of Criminal Appeals, Place 3",0418,404,469,873,3584,24.36%,361,458,23,842
"Judge, Court of Criminal Appeals, Place 3",0419,571,324,895,2658,33.67%,584,248,32,864
"Judge, Court of Criminal Appeals, Place 3",0420,1036,874,1910,4762,40.11%,1548,261,36,1845
"Judge, Court of Criminal Appeals, Place 3",0421,36,37,73,410,17.80%,26,42,3,71
"Judge, Court of Criminal Appeals, Place 3",0422,731,402,1133,3345,33.87%,36,1075,3,1114
"Judge, Court of Criminal Appeals, Place 3",0423,108,120,228,1376,16.57%,78,139,6,223
"Judge, Court of Criminal Appeals, Place 3",0424,240,111,351,967,36.30%,208,119,12,339
"Judge, Court of Criminal Appeals, Place 3",0425,107,123,230,883,26.05%,88,127,6,221
"Judge, Court of Criminal Appeals, Place 3",0426,260,183,443,1218,36.37%,261,150,12,423
"Judge, Court of Criminal Appeals, Place 3",0427,179,134,313,1092,28.66%,140,151,5,296
"Judge, Court of Criminal Appeals, Place 3",0428,619,421,1040,4538,22.92%,325,619,20,964
"Judge, Court of Criminal Appeals, Place 3",0429,445,314,759,3197,23.74%,206,498,14,718
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0430,161,133,294,1657,17.74%,85,185,12,282
"Judge, Court of Criminal Appeals, Place 3",0431,327,84,411,3417,12.03%,147,232,12,391
"Judge, Court of Criminal Appeals, Place 3",0432,123,157,280,1455,19.24%,97,158,18,273
"Judge, Court of Criminal Appeals, Place 3",0433,50,63,113,581,19.45%,26,75,4,105
"Judge, Court of Criminal Appeals, Place 3",0434,371,289,660,1503,43.91%,417,198,17,632
"Judge, Court of Criminal Appeals, Place 3",0435,856,636,1492,3252,45.88%,966,406,52,1424
"Judge, Court of Criminal Appeals, Place 3",0436,629,531,1160,2933,39.55%,731,340,28,1099
"Judge, Court of Criminal Appeals, Place 3",0437,521,512,1033,2033,50.81%,727,230,25,982
"Judge, Court of Criminal Appeals, Place 3",0438,519,389,1008,1861,54.16%,762,165,30,957
"Judge, Court of Criminal Appeals, Place 3",0439,710,884,1594,3554,44.85%,1149,316,46,1511
"Judge, Court of Criminal Appeals, Place 3",0440,664,858,1522,2930,51.95%,1194,208,38,1440
"Judge, Court of Criminal Appeals, Place 3",0441,345,420,765,1669,45.84%,586,130,18,734
"Judge, Court of Criminal Appeals, Place 3",0442,612,574,1186,2575,46.06%,974,154,18,1146
"Judge, Court of Criminal Appeals, Place 3",0443,227,138,365,646,56.50%,254,76,18,348
"Judge, Court of Criminal Appeals, Place 3",0444,587,583,1270,3262,38.93%,789,372,51,1212
"Judge, Court of Criminal Appeals, Place 3",0445,499,348,847,2026,41.81%,572,218,25,815
"Judge, Court of Criminal Appeals, Place 3",0446,31,22,53,291,18.21%,24,25,0,49
"Judge, Court of Criminal Appeals, Place 3",0447,93,86,179,637,28.10%,47,112,13,172
"Judge, Court of Criminal Appeals, Place 3",0448,590,778,1368,3138,43.59%,749,498,59,1306
"Judge, Court of Criminal Appeals, Place 3",0449,12,23,35,198,17.68%,3,32,0,35
"Judge, Court of Criminal Appeals, Place 3",0450,435,328,764,2635,28.99%,243,482,17,742
"Judge, Court of Criminal Appeals, Place 3",0451,1002,510,1512,2687,56.27%,1241,193,24,1458
"Judge, Court of Criminal Appeals, Place 3",0452,554,444,998,3048,32.74%,720,220,30,970
"Judge, Court of Criminal Appeals, Place 3",0453,231,262,493,1937,25.45%,195,270,5,470
"Judge, Court of Criminal Appeals, Place 3",0454,594,248,842,2561,32.88%,12,812,2,826
"Judge, Court of Criminal Appeals, Place 3",0455,367,165,532,1689,31.50%,20,498,6,524
"Judge, Court of Criminal Appeals, Place 3",0456,482,362,844,3513,24.03%,497,319,10,826
"Judge, Court of Criminal Appeals, Place 3",0457,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0458,471,237,708,1924,36.80%,30,648,12,690
"Judge, Court of Criminal Appeals, Place 3",0459,951,474,1425,3021,47.17%,1116,242,30,1388
"Judge, Court of Criminal Appeals, Place 3",0460,554,331,885,2837,31.19%,230,617,20,867
"Judge, Court of Criminal Appeals, Place 3",0461,1155,735,1900,3871,49.08%,1330,424,47,1801
"Judge, Court of Criminal Appeals, Place 3",0462,675,619,1294,3384,38.24%,476,740,27,1243
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0463,481,404,885,3326,26.61%,399,439,27,865
"Judge, Court of Criminal Appeals, Place 3",0464,356,430,786,2257,34.82%,551,181,28,760
"Judge, Court of Criminal Appeals, Place 3",0465,688,520,1208,3564,33.89%,678,467,33,1178
"Judge, Court of Criminal Appeals, Place 3",0466,1058,614,1672,4184,39.96%,972,634,24,1630
"Judge, Court of Criminal Appeals, Place 3",0467,213,189,402,1270,31.65%,95,290,6,391
"Judge, Court of Criminal Appeals, Place 3",0468,352,443,795,3598,22.10%,253,504,10,767
"Judge, Court of Criminal Appeals, Place 3",0469,1299,547,1846,3985,46.32%,1461,286,35,1782
"Judge, Court of Criminal Appeals, Place 3",0470,185,176,361,1326,27.22%,263,67,18,348
"Judge, Court of Criminal Appeals, Place 3",0471,375,380,755,2387,31.63%,597,114,34,745
"Judge, Court of Criminal Appeals, Place 3",0472,198,278,476,1081,44.03%,205,221,19,445
"Judge, Court of Criminal Appeals, Place 3",0473,603,391,994,1806,55.04%,698,236,25,959
"Judge, Court of Criminal Appeals, Place 3",0474,559,588,1147,3037,37.77%,791,283,42,1116
"Judge, Court of Criminal Appeals, Place 3",0475,189,267,456,1809,25.21%,220,208,11,439
"Judge, Court of Criminal Appeals, Place 3",0476,404,473,877,2430,36.09%,488,331,29,848
"Judge, Court of Criminal Appeals, Place 3",0477,737,567,1304,3505,37.20%,968,249,52,1269
"Judge, Court of Criminal Appeals, Place 3",0478,958,657,1615,4461,36.20%,1083,438,37,1558
"Judge, Court of Criminal Appeals, Place 3",0479,640,612,1252,2714,46.13%,916,256,34,1206
"Judge, Court of Criminal Appeals, Place 3",0480,493,450,943,2415,39.05%,677,209,35,921
"Judge, Court of Criminal Appeals, Place 3",0481,770,623,1393,3482,40.01%,1053,256,32,1341
"Judge, Court of Criminal Appeals, Place 3",0482,878,630,1508,4373,34.48%,1065,355,52,1472
"Judge, Court of Criminal Appeals, Place 3",0483,1043,478,1521,4308,35.31%,877,546,47,1470
"Judge, Court of Criminal Appeals, Place 3",0484,1107,930,2037,4979,40.91%,1462,472,54,1988
"Judge, Court of Criminal Appeals, Place 3",0485,1095,911,2006,5388,37.23%,1545,371,55,1971
"Judge, Court of Criminal Appeals, Place 3",0486,873,855,1728,3866,44.70%,1339,291,46,1676
"Judge, Court of Criminal Appeals, Place 3",0487,570,294,864,3860,22.38%,315,467,21,803
"Judge, Court of Criminal Appeals, Place 3",0488,268,254,522,1719,30.37%,188,280,17,485
"Judge, Court of Criminal Appeals, Place 3",0489,350,290,640,1893,33.81%,206,388,19,613
"Judge, Court of Criminal Appeals, Place 3",0490,444,368,812,1975,41.11%,295,476,15,786
"Judge, Court of Criminal Appeals, Place 3",0491,315,372,687,1888,36.39%,414,232,23,669
"Judge, Court of Criminal Appeals, Place 3",0492,556,410,966,2335,41.37%,599,311,16,926
"Judge, Court of Criminal Appeals, Place 3",0493,480,322,802,1853,43.28%,537,199,29,765
"Judge, Court of Criminal Appeals, Place 3",0494,381,247,628,2467,25.46%,84,529,2,615
"Judge, Court of Criminal Appeals, Place 3",0495,522,523,1045,2375,44.00%,743,225,29,997
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0496,190,315,505,2160,23.38%,198,278,14,490
"Judge, Court of Criminal Appeals, Place 3",0497,526,243,769,2257,34.07%,23,727,2,752
"Judge, Court of Criminal Appeals, Place 3",0498,363,323,686,2297,29.87%,303,346,21,670
"Judge, Court of Criminal Appeals, Place 3",0499,751,518,1269,2326,54.56%,933,252,34,1219
"Judge, Court of Criminal Appeals, Place 3",0500,729,715,1444,3507,41.17%,995,373,38,1406
"Judge, Court of Criminal Appeals, Place 3",0501,341,417,758,1801,42.09%,260,418,44,722
"Judge, Court of Criminal Appeals, Place 3",0502,477,350,827,2501,33.07%,662,122,16,800
"Judge, Court of Criminal Appeals, Place 3",0503,174,116,290,1374,21.11%,112,151,8,271
"Judge, Court of Criminal Appeals, Place 3",0504,624,527,1151,2288,50.31%,750,310,41,1101
"Judge, Court of Criminal Appeals, Place 3",0505,531,562,1193,3773,31.62%,532,557,48,1137
"Judge, Court of Criminal Appeals, Place 3",0506,665,670,1335,3502,38.12%,229,1045,21,1295
"Judge, Court of Criminal Appeals, Place 3",0507,221,149,370,2452,15.09%,74,226,9,309
"Judge, Court of Criminal Appeals, Place 3",0508,492,412,904,3287,27.50%,341,480,29,850
"Judge, Court of Criminal Appeals, Place 3",0509,754,596,1350,3732,36.17%,936,322,47,1305
"Judge, Court of Criminal Appeals, Place 3",0510,689,514,1203,3590,33.51%,598,521,43,1162
"Judge, Court of Criminal Appeals, Place 3",0511,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 3",0512,602,660,1262,5057,24.96%,592,606,40,1238
"Judge, Court of Criminal Appeals, Place 3",0513,1019,487,1506,2894,52.04%,1168,257,28,1453
"Judge, Court of Criminal Appeals, Place 3",0514,954,720,1674,4275,39.16%,1263,312,52,1627
"Judge, Court of Criminal Appeals, Place 3",0515,943,683,1626,3455,47.06%,1309,226,34,1569
"Judge, Court of Criminal Appeals, Place 3",0516,1001,800,1801,5356,33.63%,958,738,48,1744
"Judge, Court of Criminal Appeals, Place 3",0517,482,256,738,2954,24.98%,420,277,25,722
"Judge, Court of Criminal Appeals, Place 3",0518,635,693,1328,3943,33.68%,865,381,36,1282
"Judge, Court of Criminal Appeals, Place 3",0519,623,493,1116,2966,37.63%,819,236,31,1086
"Judge, Court of Criminal Appeals, Place 3",0520,474,457,931,4580,20.33%,168,727,18,913
"Judge, Court of Criminal Appeals, Place 3",0521,471,464,935,2866,32.62%,498,388,26,912
"Judge, Court of Criminal Appeals, Place 3",0522,716,572,1288,2689,47.90%,982,230,41,1253
"Judge, Court of Criminal Appeals, Place 3",0523,751,415,1166,3052,38.20%,787,305,40,1132
"Judge, Court of Criminal Appeals, Place 3",0524,568,459,1027,3410,30.12%,357,625,15,997
"Judge, Court of Criminal Appeals, Place 3",0525,707,482,1189,3091,38.47%,275,853,24,1152
"Judge, Court of Criminal Appeals, Place 3",0526,58,84,152,780,19.49%,42,94,5,141
"Judge, Court of Criminal Appeals, Place 3",0527,37,40,77,574,13.41%,38,32,6,76
"Judge, Court of Criminal Appeals, Place 3",0528,14,12,26,90,28.89%,1,22,2,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bert Richardson,DEM John Granberg,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 3",0529,1043,491,1534,3710,41.35%,1309,147,33,1489
"Judge, Court of Criminal Appeals, Place 3",0530,114,107,221,1196,18.48%,56,148,5,209
"Judge, Court of Criminal Appeals, Place 3",0531,363,174,537,1145,46.90%,417,98,6,521
"Judge, Court of Criminal Appeals, Place 3",0532,205,146,351,1048,33.49%,254,86,6,346
"Judge, Court of Criminal Appeals, Place 3",0533,124,108,232,1119,20.73%,131,83,8,222
"Judge, Court of Criminal Appeals, Place 3",0534,783,524,1,307,3837,34.06%,993,237,36,1266
"Judge, Court of Criminal Appeals, Place 3",0535,33,29,62,416,14.90%,28,29,3,60
"Judge, Court of Criminal Appeals, Place 3",0536,554,780,1,334,5139,25.96%,516,748,30,1294
"Judge, Court of Criminal Appeals, Place 3",0537,857,778,1635,3050,53.61%,1203,349,30,1582
"Judge, Court of Criminal Appeals, Place 3",0538,204,160,364,1,303,27.94%,8,341,7,356
"Judge, Court of Criminal Appeals, Place 3",0539,15,241,256,64,400.00%,75,158,8,241
"Judge, Court of Criminal Appeals, Place 3",0540,378,316,694,1567,44.29%,284,348,17,649
"Judge, Court of Criminal Appeals, Place 3",0541,789,505,1294,4599,28.14%,184,1039,32,1255
"Judge, Court of Criminal Appeals, Place 3",0542,360,382,742,2557,29.02%,45,657,12,714
"Judge, Court of Criminal Appeals, Place 3",0543,141,213,354,1565,22.62%,122,204,10,336
"Judge, Court of Criminal Appeals, Place 3",0544,35,41,77,310,24.84%,12,63,0,75
"Judge, Court of Criminal Appeals, Place 3",0545,596,620,1216,3629,33.51%,617,536,23,1176
