Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0338,730,391,1121,4934,22.72%,453,453
"Judge, County Criminal Court No. 9",0339,202,222,424,1757,24.13%,135,135
"Judge, County Criminal Court No. 9",0340,1038,594,1632,3765,43.35%,1270,1270
"Judge, County Criminal Court No. 9",0341,91,167,258,1290,20.00%,105,105
"Judge, County Criminal Court No. 9",0342,675,605,1280,6526,19.61%,320,320
"Judge, County Criminal Court No. 9",0343,189,271,460,1964,23.42%,186,186
"Judge, County Criminal Court No. 9",0344,154,172,326,1160,28.10%,28,28
"Judge, County Criminal Court No. 9",0345,156,165,321,1804,17.79%,126,126
"Judge, County Criminal Court No. 9",0346,0,1,1,3,33.33%,1,1
"Judge, County Criminal Court No. 9",0347,592,436,1028,3387,30.35%,746,746
"Judge, County Criminal Court No. 9",0348,438,208,646,1708,37.82%,519,519
"Judge, County Criminal Court No. 9",0349,188,267,455,1349,33.73%,308,308
"Judge, County Criminal Court No. 9",0350,524,526,1050,2909,36.09%,515,515
"Judge, County Criminal Court No. 9",0351,1491,710,2201,4712,46.71%,1797,1797
"Judge, County Criminal Court No. 9",0352,520,339,859,3205,26.80%,663,663
"Judge, County Criminal Court No. 9",0353,665,451,1116,3862,28.90%,283,283
"Judge, County Criminal Court No. 9",0354,715,338,1053,3388,31.08%,323,323
"Judge, County Criminal Court No. 9",0355,301,264,565,1560,36.22%,90,90
"Judge, County Criminal Court No. 9",0356,594,538,1132,2972,38.09%,787,787
"Judge, County Criminal Court No. 9",0357,837,575,1412,3517,40.15%,1079,1079
"Judge, County Criminal Court No. 9",0358,212,254,466,2492,18.70%,89,89
"Judge, County Criminal Court No. 9",0359,234,224,458,3061,14.96%,98,98
"Judge, County Criminal Court No. 9",0360,522,380,902,2146,42.03%,507,507
"Judge, County Criminal Court No. 9",0361,41,295,336,1673,20.08%,105,105
"Judge, County Criminal Court No. 9",0362,1138,887,2025,5086,39.82%,1567,1567
"Judge, County Criminal Court No. 9",0363,620,412,1032,3677,28.07%,523,523
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0364,488,405,893,2658,33.60%,558,558
"Judge, County Criminal Court No. 9",0365,478,231,709,1305,54.33%,93,93
"Judge, County Criminal Court No. 9",0366,252,270,522,2454,21.27%,191,191
"Judge, County Criminal Court No. 9",0367,170,138,308,1130,27.26%,92,92
"Judge, County Criminal Court No. 9",0368,178,88,266,958,27.77%,93,93
"Judge, County Criminal Court No. 9",0369,32,29,61,559,10.91%,24,24
"Judge, County Criminal Court No. 9",0370,1532,1105,2637,6593,40.00%,2065,2065
"Judge, County Criminal Court No. 9",0371,122,52,174,502,34.66%,13,13
"Judge, County Criminal Court No. 9",0372,221,170,391,1224,31.94%,77,77
"Judge, County Criminal Court No. 9",0373,21,12,33,157,21.02%,4,4
"Judge, County Criminal Court No. 9",0374,85,93,158,738,21.41%,65,65
"Judge, County Criminal Court No. 9",0375,254,220,474,2645,17.92%,275,275
"Judge, County Criminal Court No. 9",0376,278,205,483,1910,25.29%,243,243
"Judge, County Criminal Court No. 9",0377,525,583,1109,2920,37.98%,842,842
"Judge, County Criminal Court No. 9",0378,232,354,586,1829,32.04%,404,404
"Judge, County Criminal Court No. 9",0379,431,289,720,2027,35.52%,116,116
"Judge, County Criminal Court No. 9",0380,1299,995,2294,5666,40.49%,1377,1377
"Judge, County Criminal Court No. 9",0381,412,248,660,2855,23.12%,353,353
"Judge, County Criminal Court No. 9",0382,132,157,289,922,31.34%,225,225
"Judge, County Criminal Court No. 9",0383,289,263,552,2173,25.40%,259,259
"Judge, County Criminal Court No. 9",0384,573,373,946,2657,35.60%,255,255
"Judge, County Criminal Court No. 9",0385,583,670,1253,2207,56.77%,978,978
"Judge, County Criminal Court No. 9",0386,662,469,1131,2922,38.71%,869,869
"Judge, County Criminal Court No. 9",0387,555,672,1227,3935,31.18%,937,937
"Judge, County Criminal Court No. 9",0388,1430,1010,2440,6888,35.42%,1528,1528
"Judge, County Criminal Court No. 9",0389,91,208,299,1026,29.14%,87,87
"Judge, County Criminal Court No. 9",0390,356,263,619,1480,41.82%,139,139
"Judge, County Criminal Court No. 9",0391,508,260,768,1883,40.79%,522,522
"Judge, County Criminal Court No. 9",0392,387,155,542,1446,37.48%,39,39
"Judge, County Criminal Court No. 9",0393,165,185,350,1292,27.09%,193,193
"Judge, County Criminal Court No. 9",0394,89,73,142,834,17.03%,78,78
"Judge, County Criminal Court No. 9",0395,469,404,873,1846,47.29%,655,655
"Judge, County Criminal Court No. 9",0396,622,216,838,2082,40.25%,44,44
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0397,86,78,164,760,21.58%,90,90
"Judge, County Criminal Court No. 9",0398,615,521,1136,4022,28.24%,672,672
"Judge, County Criminal Court No. 9",0399,402,366,768,2791,27.52%,475,475
"Judge, County Criminal Court No. 9",0400,620,359,979,2411,40.61%,767,767
"Judge, County Criminal Court No. 9",0401,330,205,535,1913,27.97%,52,52
"Judge, County Criminal Court No. 9",0402,466,266,732,1794,40.80%,71,71
"Judge, County Criminal Court No. 9",0403,475,498,973,1715,56.73%,584,584
"Judge, County Criminal Court No. 9",0404,419,330,749,2585,28.97%,489,489
"Judge, County Criminal Court No. 9",0405,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0406,137,67,204,628,32.48%,14,14
"Judge, County Criminal Court No. 9",0407,688,793,1481,3769,39.29%,1067,1067
"Judge, County Criminal Court No. 9",0408,146,153,299,1691,17.68%,166,166
"Judge, County Criminal Court No. 9",0409,122,149,271,1459,18.57%,130,130
"Judge, County Criminal Court No. 9",0410,132,80,212,899,23.58%,52,52
"Judge, County Criminal Court No. 9",0411,235,200,435,2339,18.60%,198,198
"Judge, County Criminal Court No. 9",0412,74,44,118,468,25.21%,14,14
"Judge, County Criminal Court No. 9",0413,767,386,1153,2992,38.54%,499,499
"Judge, County Criminal Court No. 9",0414,654,480,1134,3453,32.84%,902,902
"Judge, County Criminal Court No. 9",0415,539,598,1137,2203,51.61%,798,798
"Judge, County Criminal Court No. 9",0416,538,558,1096,3791,28.91%,686,686
"Judge, County Criminal Court No. 9",0417,353,385,738,2448,30.15%,415,415
"Judge, County Criminal Court No. 9",0418,403,469,872,3584,24.33%,421,421
"Judge, County Criminal Court No. 9",0419,571,324,895,2658,33.67%,640,640
"Judge, County Criminal Court No. 9",0420,1036,874,1910,4762,40.11%,1602,1602
"Judge, County Criminal Court No. 9",0421,36,37,73,410,17.80%,35,35
"Judge, County Criminal Court No. 9",0422,731,402,1133,3345,33.87%,92,92
"Judge, County Criminal Court No. 9",0423,108,120,228,1376,16.57%,94,94
"Judge, County Criminal Court No. 9",0424,240,111,351,967,36.30%,226,226
"Judge, County Criminal Court No. 9",0425,107,123,230,883,26.05%,102,102
"Judge, County Criminal Court No. 9",0426,260,183,443,1218,36.37%,286,286
"Judge, County Criminal Court No. 9",0427,179,134,313,1092,28.66%,151,151
"Judge, County Criminal Court No. 9",0428,619,421,1040,4538,22.92%,419,419
"Judge, County Criminal Court No. 9",0429,445,314,759,3197,23.74%,276,276
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0430,161,133,294,1657,17.74%,116,116
"Judge, County Criminal Court No. 9",0431,327,84,411,3417,12.03%,184,184
"Judge, County Criminal Court No. 9",0432,123,157,280,1455,19.24%,129,129
"Judge, County Criminal Court No. 9",0433,50,63,113,581,19.45%,36,36
"Judge, County Criminal Court No. 9",0434,370,289,659,1503,43.85%,455,455
"Judge, County Criminal Court No. 9",0435,855,636,1491,3252,45.85%,1018,1018
"Judge, County Criminal Court No. 9",0436,629,531,1160,2933,39.55%,786,786
"Judge, County Criminal Court No. 9",0437,521,512,1033,2033,50.81%,757,757
"Judge, County Criminal Court No. 9",0438,617,389,1006,1861,54.06%,779,779
"Judge, County Criminal Court No. 9",0439,710,884,1594,3554,44.85%,1196,1196
"Judge, County Criminal Court No. 9",0440,664,858,1522,2930,51.95%,1220,1220
"Judge, County Criminal Court No. 9",0441,345,420,765,1669,45.84%,594,594
"Judge, County Criminal Court No. 9",0442,612,574,1186,2575,46.06%,993,993
"Judge, County Criminal Court No. 9",0443,226,138,364,646,56.35%,267,267
"Judge, County Criminal Court No. 9",0444,687,583,1270,3262,38.93%,850,850
"Judge, County Criminal Court No. 9",0445,499,348,847,2026,41.81%,599,599
"Judge, County Criminal Court No. 9",0446,31,22,53,291,18.21%,29,29
"Judge, County Criminal Court No. 9",0447,93,86,179,637,28.10%,69,69
"Judge, County Criminal Court No. 9",0448,590,778,1368,3138,43.59%,812,812
"Judge, County Criminal Court No. 9",0449,12,23,35,198,17.68%,4,4
"Judge, County Criminal Court No. 9",0450,435,328,763,2635,28.96%,287,287
"Judge, County Criminal Court No. 9",0451,1002,510,1512,2687,56.27%,1258,1258
"Judge, County Criminal Court No. 9",0452,554,444,998,3048,32.74%,777,777
"Judge, County Criminal Court No. 9",0453,231,262,493,1937,25.45%,232,232
"Judge, County Criminal Court No. 9",0454,594,248,842,2561,32.88%,36,36
"Judge, County Criminal Court No. 9",0455,367,165,532,1689,31.50%,42,42
"Judge, County Criminal Court No. 9",0456,482,362,844,3513,24.03%,530,530
"Judge, County Criminal Court No. 9",0457,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0458,471,237,708,1924,36.80%,82,82
"Judge, County Criminal Court No. 9",0459,951,474,1425,3021,47.17%,1170,1170
"Judge, County Criminal Court No. 9",0460,554,331,885,2837,31.19%,296,296
"Judge, County Criminal Court No. 9",0461,1165,735,1900,3871,49.08%,1379,1379
"Judge, County Criminal Court No. 9",0462,674,619,1293,3384,38.21%,551,551
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0463,480,404,884,3326,26.58%,486,486
"Judge, County Criminal Court No. 9",0464,356,430,786,2257,34,82%,594,594
"Judge, County Criminal Court No. 9",0465,687,520,1207,3564,33.87%,762,762
"Judge, County Criminal Court No. 9",0466,1058,614,1672,4184,39.96%,1038,1038
"Judge, County Criminal Court No. 9",0467,213,189,402,1270,31.65%,127,127
"Judge, County Criminal Court No. 9",0468,352,443,795,3598,22.10%,299,299
"Judge, County Criminal Court No. 9",0469,1294,547,1841,3985,46.20%,1486,1486
"Judge, County Criminal Court No. 9",0470,185,176,361,1326,27.22%,284,284
"Judge, County Criminal Court No. 9",0471,375,380,755,2387,31.63%,636,636
"Judge, County Criminal Court No. 9",0472,198,278,476,1081,44.03%,235,235
"Judge, County Criminal Court No. 9",0473,599,391,990,1806,54.82%,723,723
"Judge, County Criminal Court No. 9",0474,559,588,1147,3037,37.77%,859,859
"Judge, County Criminal Court No. 9",0475,189,267,456,1809,25.21%,248,248
"Judge, County Criminal Court No. 9",0476,404,473,877,2430,36.09%,537,537
"Judge, County Criminal Court No. 9",0477,737,567,1304,3505,37.20%,1056,1056
"Judge, County Criminal Court No. 9",0478,958,657,1615,4461,36.20%,1154,1154
"Judge, County Criminal Court No. 9",0479,638,612,1250,2714,46.06%,969,969
"Judge, County Criminal Court No. 9",0480,493,450,943,2415,39.05%,713,713
"Judge, County Criminal Court No. 9",0481,770,623,1393,3482,40.01%,1117,1117
"Judge, County Criminal Court No. 9",0482,878,630,1508,4373,34.48%,1153,1153
"Judge, County Criminal Court No. 9",0483,1042,478,1520,4308,35.28%,972,972
"Judge, County Criminal Court No. 9",0484,1107,930,2037,4979,40.91%,1550,1550
"Judge, County Criminal Court No. 9",0485,1095,911,2006,5388,37.23%,1640,1640
"Judge, County Criminal Court No. 9",0486,873,855,1728,3866,44.70%,1399,1399
"Judge, County Criminal Court No. 9",0487,570,294,864,3860,22.38%,364,364
"Judge, County Criminal Court No. 9",0488,268,254,522,1719,30.37%,236,236
"Judge, County Criminal Court No. 9",0489,350,290,640,1893,33.81%,270,270
"Judge, County Criminal Court No. 9",0490,444,368,812,1975,41.11%,343,343
"Judge, County Criminal Court No. 9",0491,314,372,686,1888,36.33%,447,447
"Judge, County Criminal Court No. 9",0492,556,410,966,2335,41.37%,625,625
"Judge, County Criminal Court No. 9",0493,479,322,801,1853,43.23%,574,574
"Judge, County Criminal Court No. 9",0494,381,247,628,2467,25.46%,124,124
"Judge, County Criminal Court No. 9",0495,522,523,1045,2375,44.00%,790,790
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0496,190,315,505,2160,23.38%,235,235
"Judge, County Criminal Court No. 9",0497,526,243,769,2257,34.07%,45,45
"Judge, County Criminal Court No. 9",0498,363,323,686,2297,29.87%,357,357
"Judge, County Criminal Court No. 9",0499,750,518,1268,2326,54.51%,967,967
"Judge, County Criminal Court No. 9",0500,729,715,1444,3507,41.17%,1068,1068
"Judge, County Criminal Court No. 9",0501,341,417,758,1801,42.09%,355,355
"Judge, County Criminal Court No. 9",0502,477,350,827,2501,33.07%,692,692
"Judge, County Criminal Court No. 9",0503,174,116,290,1374,21.11%,131,131
"Judge, County Criminal Court No. 9",0504,624,527,1151,2288,50.31%,797,797
"Judge, County Criminal Court No. 9",0505,531,562,1193,3773,31.62%,636,636
"Judge, County Criminal Court No. 9",0506,665,670,1335,3502,38.12%,333,333
"Judge, County Criminal Court No. 9",0507,221,149,370,2452,15.09%,96,96
"Judge, County Criminal Court No. 9",0508,492,412,904,3287,27.50%,400,400
"Judge, County Criminal Court No. 9",0509,753,596,1349,3732,36.15%,1010,1010
"Judge, County Criminal Court No. 9",0510,687,514,1201,3590,33.45%,682,682
"Judge, County Criminal Court No. 9",0511,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0512,602,660,1262,5057,24.96%,693,693
"Judge, County Criminal Court No. 9",0513,1019,487,1506,2894,52.04%,1199,1199
"Judge, County Criminal Court No. 9",0514,953,720,1673,4275,39.13%,1313,1313
"Judge, County Criminal Court No. 9",0515,942,683,1625,3455,47.03%,1340,1340
"Judge, County Criminal Court No. 9",0516,1000,800,1800,5356,33.61%,1051,1051
"Judge, County Criminal Court No. 9",0517,481,256,737,2954,24.95%,467,467
"Judge, County Criminal Court No. 9",0518,635,693,1328,3943,33.68%,942,942
"Judge, County Criminal Court No. 9",0519,623,493,1116,2966,37.63%,884,884
"Judge, County Criminal Court No. 9",0520,473,457,930,4580,20.31%,245,245
"Judge, County Criminal Court No. 9",0521,471,464,935,2866,32.62%,572,572
"Judge, County Criminal Court No. 9",0522,715,572,1288,2689,47.90%,1027,1027
"Judge, County Criminal Court No. 9",0523,751,415,1166,3052,38.20%,836,836
"Judge, County Criminal Court No. 9",0524,567,459,1026,3410,30.09%,426,426
"Judge, County Criminal Court No. 9",0525,707,482,1189,3091,38.47%,350,350
"Judge, County Criminal Court No. 9",0526,58,84,152,780,19.49%,56,56
"Judge, County Criminal Court No. 9",0527,37,40,77,574,13.41%,46,46
"Judge, County Criminal Court No. 9",0528,14,12,26,90,28.89%,3,3
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0529,1043,491,1534,3710,41.35%,1338,1338
"Judge, County Criminal Court No. 9",0530,114,107,221,1196,18.48%,77,77
"Judge, County Criminal Court No. 9",0531,363,174,537,1145,46.90%,431,431
"Judge, County Criminal Court No. 9",0532,205,146,351,1048,33.49%,270,270
"Judge, County Criminal Court No. 9",0533,124,108,232,1119,20.73%,143,143
"Judge, County Criminal Court No. 9",0534,783,524,1307,3837,34.06%,1057,1057
"Judge, County Criminal Court No. 9",0535,33,29,62,416,14.90%,38,38
"Judge, County Criminal Court No. 9",0536,554,780,1334,5139,25.96%,641,641
"Judge, County Criminal Court No. 9",0537,855,778,1633,3050,53.54%,1242,1242
"Judge, County Criminal Court No. 9",0538,204,160,364,1303,27.94%,33,33
"Judge, County Criminal Court No. 9",0539,15,241,256,64,400.00%,99,99
"Judge, County Criminal Court No. 9",0540,378,316,694,1567,44.29%,324,324
"Judge, County Criminal Court No. 9",0541,784,505,1289,4599,28.03%,319,319
"Judge, County Criminal Court No. 9",0542,360,382,742,2557,29.02%,103,103
"Judge, County Criminal Court No. 9",0543,141,213,354,1565,22.62%,162,162
"Judge, County Criminal Court No. 9",0544,35,41,77,310,24.84%,14,14
"Judge, County Criminal Court No. 9",0545,596,620,1216,3629,33.51%,689,689
"Judge, County Criminal Court No. 9",0546,2,2,4,37,10.81%,3,3
"Judge, County Criminal Court No. 9",0547,501,466,967,2406,40.19%,728,728
"Judge, County Criminal Court No. 9",0548,286,293,579,2215,26.14%,340,340
"Judge, County Criminal Court No. 9",0549,343,418,761,2663,28.58%,149,149
"Judge, County Criminal Court No. 9",0550,501,431,932,3031,30.75%,569,569
"Judge, County Criminal Court No. 9",0551,1288,1394,2682,7034,38.13%,2150,2150
"Judge, County Criminal Court No. 9",0552,847,883,1730,3415,50.66%,1464,1464
"Judge, County Criminal Court No. 9",0553,578,529,1107,4686,23.62%,600,600
"Judge, County Criminal Court No. 9",0554,261,199,460,1757,26.18%,137,137
"Judge, County Criminal Court No. 9",0555,225,277,502,2219,22.62%,145,145
"Judge, County Criminal Court No. 9",0556,276,186,462,2319,19.92%,160,160
"Judge, County Criminal Court No. 9",0557,455,183,638,2830,22.54%,306,306
"Judge, County Criminal Court No. 9",0558,693,463,1156,4380,26.39%,519,519
"Judge, County Criminal Court No. 9",0559,540,494,1134,4969,22.82%,454,454
"Judge, County Criminal Court No. 9",0560,72,131,203,1120,18.13%,77,77
"Judge, County Criminal Court No. 9",0561,362,436,798,3064,26.04%,506,506
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0562,113,68,181,694,26.08%,37,37
"Judge, County Criminal Court No. 9",0563,1107,376,1483,3105,47.76%,1201,1201
"Judge, County Criminal Court No. 9",0564,470,426,896,3155,28.40%,338,338
"Judge, County Criminal Court No. 9",0565,108,78,186,1354,13.74%,53,53
"Judge, County Criminal Court No. 9",0566,417,324,741,2882,25.71%,290,290
"Judge, County Criminal Court No. 9",0567,301,193,494,2238,22.07%,193,193
"Judge, County Criminal Court No. 9",0568,876,685,1561,3594,43.43%,1077,1077
"Judge, County Criminal Court No. 9",0569,572,667,1239,3525,35.15%,749,749
"Judge, County Criminal Court No. 9",0570,238,210,448,1562,28.68%,198,198
"Judge, County Criminal Court No. 9",0571,155,149,304,1827,16.64%,148,148
"Judge, County Criminal Court No. 9",0572,555,375,930,3108,29.92%,543,543
"Judge, County Criminal Court No. 9",0573,290,151,441,1619,27.24%,25,25
"Judge, County Criminal Court No. 9",0574,31,42,73,402,18.16%,11,11
"Judge, County Criminal Court No. 9",0575,13,11,24,74,32.43%,20,20
"Judge, County Criminal Court No. 9",0576,485,318,803,2734,29.37%,54,54
"Judge, County Criminal Court No. 9",0577,147,88,235,608,38.65%,156,156
"Judge, County Criminal Court No. 9",0578,409,538,947,1799,52.64%,635,635
"Judge, County Criminal Court No. 9",0579,75,101,176,1056,16.67%,48,48
"Judge, County Criminal Court No. 9",0580,179,118,297,1031,28.81%,19,19
"Judge, County Criminal Court No. 9",0581,212,174,386,1032,37.40%,21,21
"Judge, County Criminal Court No. 9",0582,258,171,429,1588,27.02%,35,35
"Judge, County Criminal Court No. 9",0583,225,131,356,1262,28.21%,27,27
"Judge, County Criminal Court No. 9",0584,182,93,275,1014,27.12%,29,29
"Judge, County Criminal Court No. 9",0585,417,172,589,2511,23.46%,46,46
"Judge, County Criminal Court No. 9",0586,638,680,1318,4316,30.54%,857,857
"Judge, County Criminal Court No. 9",0587,436,284,720,2598,27.71%,333,333
"Judge, County Criminal Court No. 9",0588,758,674,1432,3645,39.29%,1075,1075
"Judge, County Criminal Court No. 9",0589,500,386,886,3420,25.91%,552,552
"Judge, County Criminal Court No. 9",0590,772,399,1171,2162,54.16%,945,945
"Judge, County Criminal Court No. 9",0591,183,231,414,2121,19.52%,162,162
"Judge, County Criminal Court No. 9",0592,133,157,290,1350,21.48%,96,96
"Judge, County Criminal Court No. 9",0593,543,564,1107,4380,25.27%,627,627
"Judge, County Criminal Court No. 9",0594,561,326,887,2490,35.62%,309,309
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0595,201,178,379,1693,22.39%,95,95
"Judge, County Criminal Court No. 9",0596,441,348,789,3007,26.24%,491,491
"Judge, County Criminal Court No. 9",0597,367,394,761,3653,20.83%,390,390
"Judge, County Criminal Court No. 9",0598,195,57,252,728,34.62%,210,210
"Judge, County Criminal Court No. 9",0599,850,578,1428,4950,28.85%,601,601
"Judge, County Criminal Court No. 9",0600,667,429,1096,3957,27.70%,506,506
"Judge, County Criminal Court No. 9",0601,1073,756,1829,4057,45.08%,1435,1435
"Judge, County Criminal Court No. 9",0602,293,235,528,1326,39.82%,416,416
"Judge, County Criminal Court No. 9",0603,884,794,1678,4843,34.65%,1165,1165
"Judge, County Criminal Court No. 9",0604,702,518,1220,3005,40.60%,1032,1032
"Judge, County Criminal Court No. 9",0605,907,556,1463,5582,26.21%,482,482
"Judge, County Criminal Court No. 9",0606,176,70,246,937,26.25%,14,14
"Judge, County Criminal Court No. 9",0607,52,51,113,728,15.52%,17,17
"Judge, County Criminal Court No. 9",0608,31,47,78,537,14.53%,51,51
"Judge, County Criminal Court No. 9",0609,557,680,1347,3384,39.80%,901,901
"Judge, County Criminal Court No. 9",0610,231,188,419,1927,21.74%,246,246
"Judge, County Criminal Court No. 9",0611,495,242,737,2488,29.62%,47,47
"Judge, County Criminal Court No. 9",0612,996,497,1493,3307,45.15%,1158,1158
"Judge, County Criminal Court No. 9",0613,186,204,390,1554,25.10%,96,96
"Judge, County Criminal Court No. 9",0614,737,566,1303,4207,30.97%,589,589
"Judge, County Criminal Court No. 9",0615,480,299,779,1967,39.60%,536,536
"Judge, County Criminal Court No. 9",0616,739,663,1402,3436,40.80%,1046,1046
"Judge, County Criminal Court No. 9",0617,541,393,934,3809,24.52%,466,466
"Judge, County Criminal Court No. 9",0618,946,567,1513,6003,25.20%,879,879
"Judge, County Criminal Court No. 9",0619,1219,803,2022,4297,47.06%,1579,1579
"Judge, County Criminal Court No. 9",0620,689,264,953,2897,32.90%,633,633
"Judge, County Criminal Court No. 9",0621,154,101,255,1133,22.51%,154,154
"Judge, County Criminal Court No. 9",0622,881,524,1405,4403,31.91%,935,935
"Judge, County Criminal Court No. 9",0623,887,487,1374,3691,37.23%,977,977
"Judge, County Criminal Court No. 9",0624,1,1,2,3,66.67%,1,1
"Judge, County Criminal Court No. 9",0625,477,362,839,1820,46.10%,520,520
"Judge, County Criminal Court No. 9",0626,581,440,1021,2861,35.69%,640,640
"Judge, County Criminal Court No. 9",0627,346,322,668,3049,21.91%,290,290
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0628,152,219,371,1675,22.15%,223,223
"Judge, County Criminal Court No. 9",0629,37,53,90,696,12.93%,19,19
"Judge, County Criminal Court No. 9",0630,974,600,1574,3905,40.31%,269,269
"Judge, County Criminal Court No. 9",0631,822,404,1226,2846,43.08%,945,945
"Judge, County Criminal Court No. 9",0632,7,4,11,343,3.21%,3,3
"Judge, County Criminal Court No. 9",0633,943,731,1674,3559,47.04%,1259,1259
"Judge, County Criminal Court No. 9",0634,458,442,900,3029,29.71%,633,633
"Judge, County Criminal Court No. 9",0635,743,485,1228,3393,36.19%,964,964
"Judge, County Criminal Court No. 9",0636,835,874,1710,4140,41.30%,1513,1513
"Judge, County Criminal Court No. 9",0637,409,362,771,2512,30.69%,260,260
"Judge, County Criminal Court No. 9",0638,304,245,549,2204,24.91%,89,89
"Judge, County Criminal Court No. 9",0639,549,547,1096,2526,43.39%,913,913
"Judge, County Criminal Court No. 9",0640,641,459,1100,3733,29.47%,748,748
"Judge, County Criminal Court No. 9",0641,649,596,1245,3650,34.11%,879,879
"Judge, County Criminal Court No. 9",0642,471,394,865,1764,49.04%,712,712
"Judge, County Criminal Court No. 9",0643,934,653,1587,5945,26.69%,744,744
"Judge, County Criminal Court No. 9",0644,1019,823,1842,5523,33.35%,1320,1320
"Judge, County Criminal Court No. 9",0645,654,594,1248,4185,29.82%,757,757
"Judge, County Criminal Court No. 9",0646,364,287,651,2220,29.32%,261,261
"Judge, County Criminal Court No. 9",0647,904,470,1374,6084,22.58%,493,493
"Judge, County Criminal Court No. 9",0648,838,579,1417,3367,42.08%,1079,1079
"Judge, County Criminal Court No. 9",0649,687,434,1121,4576,24.50%,452,452
"Judge, County Criminal Court No. 9",0650,906,766,1672,3888,43.00%,1287,1287
"Judge, County Criminal Court No. 9",0651,963,766,1729,5128,33.72%,1202,1202
"Judge, County Criminal Court No. 9",0652,467,515,982,2815,34.88%,249,249
"Judge, County Criminal Court No. 9",0653,0,4,4,0,0.00%,1,1
"Judge, County Criminal Court No. 9",0654,950,1005,1955,6208,31.49%,1225,1225
"Judge, County Criminal Court No. 9",0655,1115,1079,2195,6855,32.02%,1469,1469
"Judge, County Criminal Court No. 9",0656,579,393,972,2674,36.35%,71,71
"Judge, County Criminal Court No. 9",0657,246,172,418,1292,32.35%,201,201
"Judge, County Criminal Court No. 9",0658,540,426,966,2807,34.41%,679,679
"Judge, County Criminal Court No. 9",0659,1149,788,1937,4856,39.89%,1446,1446
"Judge, County Criminal Court No. 9",0660,950,825,1775,5372,33.04%,281,281
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0661,675,765,1440,4567,31.53%,919,919
"Judge, County Criminal Court No. 9",0662,1148,890,2038,4874,41.81%,1678,1678
"Judge, County Criminal Court No. 9",0663,717,797,1514,3346,45.25%,844,844
"Judge, County Criminal Court No. 9",0664,352,250,602,2869,20.98%,191,191
"Judge, County Criminal Court No. 9",0665,482,348,830,2154,38.53%,723,723
"Judge, County Criminal Court No. 9",0666,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0667,488,502,990,2149,46.07%,800,800
"Judge, County Criminal Court No. 9",0668,399,509,908,2775,32.72%,640,640
"Judge, County Criminal Court No. 9",0669,850,738,1588,3425,46.36%,1214,1214
"Judge, County Criminal Court No. 9",0670,956,471,1427,2983,47.84%,1182,1182
"Judge, County Criminal Court No. 9",0671,403,565,968,3037,31.87%,664,664
"Judge, County Criminal Court No. 9",0672,959,862,1821,5706,31.91%,1324,1324
"Judge, County Criminal Court No. 9",0673,729,516,1245,2995,41.57%,1023,1023
"Judge, County Criminal Court No. 9",0674,1071,618,1689,4091,41.29%,1328,1328
"Judge, County Criminal Court No. 9",0675,0,1,1,0,0.00%,1,1
"Judge, County Criminal Court No. 9",0676,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 9",0677,127,127,254,1266,20.06%,115,115
"Judge, County Criminal Court No. 9",0678,166,108,274,735,37.28%,192,192
"Judge, County Criminal Court No. 9",0679,635,520,1155,3381,34.16%,924,924
