Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0079,205,306,511,2927,17.46%,196,196
"Judge, County Criminal Court No. 9",0080,501,351,852,2725,31.27%,282,282
"Judge, County Criminal Court No. 9",0081,183,187,370,1835,20.16%,178,178
"Judge, County Criminal Court No. 9",0082,639,671,1310,3368,38.90%,1029,1029
"Judge, County Criminal Court No. 9",0083,1296,888,2184,6625,32.97%,1214,1214
"Judge, County Criminal Court No. 9",0084,208,218,426,1373,31.03%,322,322
"Judge, County Criminal Court No. 9",0085,271,248,519,2173,23.88%,62,62
"Judge, County Criminal Court No. 9",0086,447,568,1015,2910,34.88%,532,532
"Judge, County Criminal Court No. 9",0087,574,787,1461,2818,51.85%,972,972
"Judge, County Criminal Court No. 9",0088,123,118,241,693,34.78%,162,162
"Judge, County Criminal Court No. 9",0089,165,371,536,1094,48.99%,324,324
"Judge, County Criminal Court No. 9",0090,844,790,1634,3700,44.16%,1242,1242
"Judge, County Criminal Court No. 9",0091,219,222,441,1505,29.30%,298,298
"Judge, County Criminal Court No. 9",0092,695,462,1157,2242,51.61%,801,801
"Judge, County Criminal Court No. 9",0093,381,301,682,3356,20.32%,332,332
"Judge, County Criminal Court No. 9",0094,51,43,94,549,17.12%,39,39
"Judge, County Criminal Court No. 9",0095,917,576,1493,3177,46.99%,1118,1118
"Judge, County Criminal Court No. 9",0096,83,83,166,1296,12.81%,37,37
"Judge, County Criminal Court No. 9",0097,1024,725,1749,4828,36.23%,1354,1354
"Judge, County Criminal Court No. 9",0098,403,488,891,2651,33.61%,755,755
"Judge, County Criminal Court No. 9",0099,254,184,438,2092,20.94%,237,237
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0100,165,173,338,1730,19.54%,196,196
"Judge, County Criminal Court No. 9",0101,72,58,130,946,13.74%,61,61
"Judge, County Criminal Court No. 9",0102,207,121,328,1872,17.52%,111,111
"Judge, County Criminal Court No. 9",0103,700,714,1414,5371,26.33%,871,871
"Judge, County Criminal Court No. 9",0104,530,231,761,1905,39.95%,58,58
"Judge, County Criminal Court No. 9",0105,196,210,406,2165,18.75%,175,175
"Judge, County Criminal Court No. 9",0106,18,7,25,294,8.50%,17,17
"Judge, County Criminal Court No. 9",0107,154,197,351,2032,17.27%,86,86
"Judge, County Criminal Court No. 9",0108,668,272,940,3365,27.93%,601,601
"Judge, County Criminal Court No. 9",0109,529,245,774,2824,27.41%,28,28
"Judge, County Criminal Court No. 9",0110,654,494,1148,3042,37.74%,806,806
"Judge, County Criminal Court No. 9",0111,816,795,1611,4102,39.27%,1245,1245
"Judge, County Criminal Court No. 9",0112,542,485,1027,2976,34.51%,787,787
"Judge, County Criminal Court No. 9",0113,562,429,991,2647,37.44%,662,662
"Judge, County Criminal Court No. 9",0114,707,547,1254,3311,37.87%,1054,1054
"Judge, County Criminal Court No. 9",0115,238,150,388,1800,21.56%,79,79
"Judge, County Criminal Court No. 9",0116,982,776,1758,3147,55.86%,1370,1370
"Judge, County Criminal Court No. 9",0117,215,226,441,1880,23.46%,256,256
"Judge, County Criminal Court No. 9",0118,304,123,427,759,56.26%,362,362
"Judge, County Criminal Court No. 9",0119,1288,1024,2312,5500,42.04%,1945,1945
"Judge, County Criminal Court No. 9",0120,712,422,1134,3191,35.54%,793,793
"Judge, County Criminal Court No. 9",0121,92,178,270,848,31.84%,193,193
"Judge, County Criminal Court No. 9",0122,352,225,577,1890,30.53%,42,42
"Judge, County Criminal Court No. 9",0123,284,288,572,1392,41.09%,193,193
"Judge, County Criminal Court No. 9",0124,1734,1292,3026,7254,41.71%,2484,2484
"Judge, County Criminal Court No. 9",0125,415,332,747,2405,31.06%,506,506
"Judge, County Criminal Court No. 9",0126,893,467,1360,3100,43.87%,1211,1211
"Judge, County Criminal Court No. 9",0127,435,154,589,1836,32.08%,439,439
"Judge, County Criminal Court No. 9",0128,445,707,1152,2290,50.31%,754,754
"Judge, County Criminal Court No. 9",0129,1030,1200,2230,5746,38.81%,1505,1505
"Judge, County Criminal Court No. 9",0130,727,523,1250,2333,53.58%,939,939
"Judge, County Criminal Court No. 9",0131,251,259,510,1935,26.36%,156,156
"Judge, County Criminal Court No. 9",0132,593,323,916,2387,38.37%,53,53
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Analia Wilkerson,Totals
"Judge, County Criminal Court No. 9",0133,513,858,1371,2662,51.50%,857,857
"Judge, County Criminal Court No. 9",0134,192,265,457,1437,31.80%,236,236
"Judge, County Criminal Court No. 9",0135,727,579,1306,2671,48.90%,934,934
"Judge, County Criminal Court No. 9",0136,503,371,874,2013,43.42%,102,102
"Judge, County Criminal Court No. 9",0137,166,141,307,716,42.88%,163,163
"Judge, County Criminal Court No. 9",0138,296,199,495,1699,29.13%,31,31
"Judge, County Criminal Court No. 9",0139,699,551,1250,3037,41.16%,620,620
"Judge, County Criminal Court No. 9",0140,699,480,1179,3214,36.68%,259,259
"Judge, County Criminal Court No. 9",0141,80,80,160,855,18.71%,101,101
"Judge, County Criminal Court No. 9",0142,87,103,190,902,21.06%,84,84
"Judge, County Criminal Court No. 9",0143,1962,580,2542,6386,39.81%,1925,1925
"Judge, County Criminal Court No. 9",0144,216,158,374,1093,34.22%,22,22
"Judge, County Criminal Court No. 9",0145,264,213,477,1538,31.01%,26,26
"Judge, County Criminal Court No. 9",0146,426,519,945,2008,47.06%,483,483
"Judge, County Criminal Court No. 9",0147,689,329,1018,3008,33.84%,195,195
"Judge, County Criminal Court No. 9",0148,500,780,1280,2540,50.39%,559,559
"Judge, County Criminal Court No. 9",0149,1621,737,2358,7993,29.50%,1386,1386
"Judge, County Criminal Court No. 9",0150,236,169,405,1256,32.25%,31,31
"Judge, County Criminal Court No. 9",0151,137,79,216,826,26.15%,19,19
"Judge, County Criminal Court No. 9",0152,213,299,512,2788,18.36%,195,195
"Judge, County Criminal Court No. 9",0153,125,206,331,1808,18.31%,149,149
"Judge, County Criminal Court No. 9",0154,249,183,432,2190,19.73%,157,157
"Judge, County Criminal Court No. 9",0155,1022,619,1641,4109,39.94%,1202,1202
"Judge, County Criminal Court No. 9",0156,799,326,1125,3071,36.63%,119,119
"Judge, County Criminal Court No. 9",0157,448,214,662,2236,29.61%,49,49
"Judge, County Criminal Court No. 9",0158,600,315,915,3035,30.15%,63,63
"Judge, County Criminal Court No. 9",0159,116,127,243,998,24.35%,63,63
"Judge, County Criminal Court No. 9",0160,122,73,195,696,28.02%,14,14
"Judge, County Criminal Court No. 9",0161,163,141,304,991,30.68%,15,15
"Judge, County Criminal Court No. 9",0162,101,83,184,1265,14.55%,80,80
"Judge, County Criminal Court No. 9",0163,230,320,550,3037,18.11%,283,283
"Judge, County Criminal Court No. 9",0164,182,205,387,1420,27.25%,26,26
"Judge, County Criminal Court No. 9",0165,535,483,1018,2334,43.62%,704,704
