Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0087,574,787,1461,2818,51.85%,842,590,23,1,0,1455
Governor,0088,123,118,241,693,34.78%,155,77,4,1,0,237
Governor,0089,165,371,536,1094,48.99%,260,267,5,2,0,534
Governor,0090,845,790,1635,3700,44.19%,1165,427,25,3,0,1520
Governor,0091,221,222,443,1505,29.44%,254,177,8,0,0,439
Governor,0092,695,462,1157,2242,51.61%,749,379,16,3,0,1147
Governor,0093,381,301,682,3356,20.32%,284,370,3,5,0,552
Governor,0094,51,43,94,549,17.12%,28,61,1,2,0,92
Governor,0095,917,576,1493,3177,46.99%,1057,397,23,4,0,1481
Governor,0096,83,83,166,1296,12.81%,19,141,2,2,0,154
Governor,0097,1024,725,1749,4828,36.23%,1281,432,16,6,0,1735
Governor,0098,403,488,891,2651,33.61%,738,124,14,5,0,881
Governor,0099,254,184,438,2092,20.94%,209,210,7,5,0,431
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0100,165,173,338,1730,19.54%,176,148,6,3,0,333
Governor,0101,72,58,130,946,13.74%,46,82,2,0,0,130
Governor,0102,207,121,328,1872,17.52%,94,223,1,1,0,319
Governor,0103,700,714,1414,5371,26.33%,804,583,16,5,0,1408
Governor,0104,530,231,761,1905,39.95%,20,731,3,0,0,754
Governor,0105,196,210,406,2165,18.75%,130,241,7,3,0,381
Governor,0106,15,7,25,294,8.50%,16,9,0,0,0,25
Governor,0107,154,197,351,2032,17.27%,65,279,0,1,0,345
Governor,0108,555,272,940,3365,27.93%,561,344,17,3,0,925
Governor,0109,530,245,775,2824,27.44%,15,749,1,1,0,755
Governor,0110,654,494,1148,3042,37.74%,742,379,15,1,0,1137
Governor,0111,816,795,1611,4102,39.27%,1159,408,31,4,0,1502
Governor,0112,542,485,1027,2976,34.51%,737,259,22,0,0,1015
Governor,0113,562,429,991,2647,37.44%,589,374,15,2,1,951
Governor,0114,707,547,1254,3311,37.87%,1014,223,11,2,0,1250
Governor,0115,238,150,388,1800,21.56%,54,322,1,3,0,350
Governor,0116,982,776,1758,3147,55.86%,1306,414,23,0,0,1743
Governor,0117,216,226,442,1880,23.51%,214,213,8,5,0,440
Governor,0118,304,123,427,759,56.26%,344,75,4,1,0,424
Governor,0119,1290,1024,2314,5500,42.07%,1861,401,23,8,0,2293
Governor,0120,713,422,1135,3191,35.57%,732,375,12,5,0,1124
Governor,0121,92,178,270,848,31.84%,190,72,2,3,0,257
Governor,0122,352,225,577,1890,30.53%,16,542,4,5,0,557
Governor,0123,285,288,573,1392,41.16%,132,429,4,5,0,570
Governor,0124,1734,1292,3026,7254,41.71%,2381,590,30,7,0,3005
Governor,0125,415,332,747,2405,31.06%,452,275,11,4,0,742
Governor,0126,893,467,1360,3100,43.87%,1202,136,15,2,0,1355
Governor,0127,435,154,589,1836,32.08%,417,148,12,2,0,579
Governor,0128,445,707,1152,2290,50.31%,659,483,10,0,0,1152
Governor,0129,1031,1200,2231,5746,38.83%,1355,826,28,7,0,2215
Governor,0130,727,523,1250,2333,53.58%,913,324,4,1,0,1242
Governor,0131,251,259,510,1935,26.36%,125,369,3,1,0,498
Governor,0132,593,323,916,2387,38.37%,18,882,4,3,0,907
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0133,514,858,1372,2662,51.54%,731,610,22,2,0,1365
Governor,0134,192,265,457,1437,31.80%,212,238,3,1,0,454
Governor,0135,730,579,1309,2671,49.01%,843,445,10,5,0,1303
Governor,0136,503,371,874,2013,43.42%,36,826,1,2,0,865
Governor,0137,166,141,307,716,42.88%,135,161,7,0,0,303
