Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Harmon,DEM Harold J. Landreneau,Totals
"Judge, County Criminal Court No. 2",0078,180,201,381,1522,25.03%,136,222,358
"Judge, County Criminal Court No. 2",0079,205,306,511,2927,17.46%,129,343,472
"Judge, County Criminal Court No. 2",0080,501,351,852,2725,31.27%,222,591,813
"Judge, County Criminal Court No. 2",0081,183,187,370,1835,20.16%,152,195,347
"Judge, County Criminal Court No. 2",0082,639,671,1310,3368,38.90%,994,278,1272
"Judge, County Criminal Court No. 2",0083,1296,888,2184,6625,32.97%,1074,1034,2108
"Judge, County Criminal Court No. 2",0084,208,218,426,1373,31.03%,309,99,408
"Judge, County Criminal Court No. 2",0085,271,248,519,2173,23.88%,21,484,505
"Judge, County Criminal Court No. 2",0086,447,568,1015,2910,34.88%,466,490,956
"Judge, County Criminal Court No. 2",0087,574,787,1461,2818,51.85%,951,397,1348
"Judge, County Criminal Court No. 2",0088,123,118,241,693,34.78%,157,72,229
"Judge, County Criminal Court No. 2",0089,165,371,536,1094,48.99%,309,179,488
"Judge, County Criminal Court No. 2",0090,844,790,1634,3700,44.16%,1208,349,1557
"Judge, County Criminal Court No. 2",0091,219,222,441,1505,29.30%,270,153,423
"Judge, County Criminal Court No. 2",0092,695,462,1157,2242,51.61%,775,303,1078
"Judge, County Criminal Court No. 2",0093,381,301,682,3356,20.32%,274,363,637
"Judge, County Criminal Court No. 2",0094,51,43,94,549,17.12%,28,63,91
"Judge, County Criminal Court No. 2",0095,917,576,1493,3177,46.99%,1101,320,1421
"Judge, County Criminal Court No. 2",0096,83,83,166,1296,12.81%,23,141,164
"Judge, County Criminal Court No. 2",0097,1024,725,1749,4828,36.23%,1308,379,1687
"Judge, County Criminal Court No. 2",0098,403,488,891,2651,33.61%,743,119,862
"Judge, County Criminal Court No. 2",0099,254,184,438,2092,20.94%,213,210,423
"Judge, County Criminal Court No. 2",0100,165,173,338,1730,19.54%,186,145,331
"Judge, County Criminal Court No. 2",0101,72,58,130,946,13.74%,50,78,128
"Judge, County Criminal Court No. 2",0102,207,121,328,1872,17.52%,91,223,314
"Judge, County Criminal Court No. 2",0103,700,714,1414,5371,26.33%,804,561,1365
"Judge, County Criminal Court No. 2",0104,530,231,761,1905,39.95%,20,723,743
"Judge, County Criminal Court No. 2",0105,196,210,406,2165,18.75%,131,243,374
"Judge, County Criminal Court No. 2",0106,18,7,25,294,8.50%,15,9,24
"Judge, County Criminal Court No. 2",0107,154,197,351,2032,17.27%,60,273,333
"Judge, County Criminal Court No. 2",0108,558,272,940,3365,27.93%,573,334,907
"Judge, County Criminal Court No. 2",0109,529,245,774,2824,27.41%,11,743,754
"Judge, County Criminal Court No. 2",0110,654,494,1148,3042,37.74%,754,358,1112
"Judge, County Criminal Court No. 2",0111,816,795,1611,4102,39.27%,1193,339,1532
"Judge, County Criminal Court No. 2",0112,542,485,1027,2976,34.51%,757,223,980
"Judge, County Criminal Court No. 2",0113,562,429,991,2647,37.44%,619,323,942
"Judge, County Criminal Court No. 2",0114,707,547,1254,3311,37.87%,1014,208,1222
"Judge, County Criminal Court No. 2",0115,238,150,388,1800,21.56%,50,328,378
"Judge, County Criminal Court No. 2",0116,982,776,1758,3147,55.86%,1365,282,1647
"Judge, County Criminal Court No. 2",0117,215,226,441,1880,23.46%,220,196,416
"Judge, County Criminal Court No. 2",0118,304,123,427,759,56.26%,359,51,410
"Judge, County Criminal Court No. 2",0119,1288,1024,2312,5500,42.04%,1891,325,2216
"Judge, County Criminal Court No. 2",0120,712,422,1134,3191,35.54%,748,332,1080
"Judge, County Criminal Court No. 2",0121,92,178,270,848,31.84%,190,68,258
"Judge, County Criminal Court No. 2",0122,352,225,577,1890,30.53%,20,535,555
"Judge, County Criminal Court No. 2",0123,284,288,572,1392,41.09%,150,385,535
"Judge, County Criminal Court No. 2",0124,1734,1292,3026,7254,41.71%,2412,529,2941
"Judge, County Criminal Court No. 2",0125,415,332,747,2405,31.06%,464,254,718
"Judge, County Criminal Court No. 2",0126,893,467,1360,3100,43.87%,1205,118,1323
"Judge, County Criminal Court No. 2",0127,435,154,589,1836,32.08%,426,130,556
"Judge, County Criminal Court No. 2",0128,445,707,1152,2290,50.31%,744,306,1050
"Judge, County Criminal Court No. 2",0129,1030,1200,2230,5746,38.81%,1416,699,2115
"Judge, County Criminal Court No. 2",0130,727,523,1250,2333,53.58%,943,244,1187
"Judge, County Criminal Court No. 2",0131,251,259,510,1935,26.36%,123,360,483
"Judge, County Criminal Court No. 2",0132,593,323,916,2387,38.37%,20,874,894
"Judge, County Criminal Court No. 2",0133,513,858,1371,2662,51.50%,821,431,1252
"Judge, County Criminal Court No. 2",0134,192,265,457,1437,31.80%,208,226,434
"Judge, County Criminal Court No. 2",0135,727,579,1306,2671,48.90%,939,291,1230
"Judge, County Criminal Court No. 2",0136,503,371,874,2013,43.42%,32,813,845
"Judge, County Criminal Court No. 2",0137,166,141,307,716,42.88%,153,125,278
"Judge, County Criminal Court No. 2",0138,296,199,495,1699,29.13%,16,468,484
"Judge, County Criminal Court No. 2",0139,699,551,1250,3037,41.16%,568,605,1173
"Judge, County Criminal Court No. 2",0140,699,480,1179,3214,36.68%,142,992,1134
"Judge, County Criminal Court No. 2",0141,80,80,160,855,18.71%,100,52,152
"Judge, County Criminal Court No. 2",0142,87,103,190,902,21.06%,66,116,182
"Judge, County Criminal Court No. 2",0143,1962,580,2542,6386,39.81%,1839,635,2474
"Judge, County Criminal Court No. 2",0144,216,158,374,1093,34.22%,10,354,364
"Judge, County Criminal Court No. 2",0145,264,213,477,1538,31.01%,9,453,462
"Judge, County Criminal Court No. 2",0146,426,519,945,2008,47.06%,421,465,886
"Judge, County Criminal Court No. 2",0147,689,329,1018,3008,33.84%,126,870,996
"Judge, County Criminal Court No. 2",0148,500,780,1280,2540,50.39%,525,643,1168
"Judge, County Criminal Court No. 2",0149,1621,737,2358,7993,29.50%,1241,1055,2296
"Judge, County Criminal Court No. 2",0150,236,169,405,1256,32.25%,15,383,398
"Judge, County Criminal Court No. 2",0151,137,79,216,826,26.15%,11,198,209
"Judge, County Criminal Court No. 2",0152,213,299,512,2788,18.36%,136,353,489
"Judge, County Criminal Court No. 2",0153,125,206,331,1808,18.31%,111,205,316
"Judge, County Criminal Court No. 2",0154,249,183,432,2190,19.73%,118,288,406
"Judge, County Criminal Court No. 2",0155,1022,619,1641,4109,39.94%,1158,418,1576
"Judge, County Criminal Court No. 2",0156,799,326,1125,3071,36.63%,43,1049,1092
"Judge, County Criminal Court No. 2",0157,448,214,662,2236,29.61%,25,616,641
"Judge, County Criminal Court No. 2",0158,600,315,915,3035,30.15%,25,865,890
"Judge, County Criminal Court No. 2",0159,116,127,243,998,24.35%,39,196,235
"Judge, County Criminal Court No. 2",0160,122,73,195,696,28.02%,5,187,192
"Judge, County Criminal Court No. 2",0161,163,141,304,991,30.68%,6,288,294
"Judge, County Criminal Court No. 2",0162,101,83,184,1265,14.55%,69,102,171
"Judge, County Criminal Court No. 2",0163,230,320,550,3037,18.11%,242,281,523
"Judge, County Criminal Court No. 2",0164,182,205,387,1420,27.25%,11,369,380
"Judge, County Criminal Court No. 2",0165,535,483,1018,2334,43.62%,683,284,967
"Judge, County Criminal Court No. 2",0166,158,233,391,1028,38.04%,117,251,368
"Judge, County Criminal Court No. 2",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Criminal Court No. 2",0168,92,58,150,503,29.82%,4,142,146
"Judge, County Criminal Court No. 2",0169,518,251,767,2513,30.52%,13,735,748
"Judge, County Criminal Court No. 2",0170,271,141,412,1869,22.04%,219,172,391
"Judge, County Criminal Court No. 2",0171,202,198,400,1604,24.94%,11,380,391
"Judge, County Criminal Court No. 2",0172,88,80,166,621,26.73%,65,89,154
"Judge, County Criminal Court No. 2",0173,817,739,1556,3599,43.23%,1264,239,1503
"Judge, County Criminal Court No. 2",0174,829,733,1562,3296,47.39%,1086,381,1467
"Judge, County Criminal Court No. 2",0175,557,749,1306,2618,49.89%,672,519,1191
"Judge, County Criminal Court No. 2",0176,344,451,795,1602,49.63%,425,296,721
"Judge, County Criminal Court No. 2",0177,278,326,604,1496,40.37%,346,214,560
"Judge, County Criminal Court No. 2",0178,504,365,869,1765,49.24%,615,188,803
"Judge, County Criminal Court No. 2",0179,256,188,444,1575,28.19%,243,177,420
