Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bill Harmon,DEM Harold J. Landreneau,Totals
"Judge, County Criminal Court No. 2",0338,730,391,1121,4934,22.72%,393,654,1047
"Judge, County Criminal Court No. 2",0339,202,222,424,1757,24.13%,95,298,393
"Judge, County Criminal Court No. 2",0340,1038,594,1632,3765,43.35%,1245,309,1554
"Judge, County Criminal Court No. 2",0341,91,167,258,1290,20.00%,86,163,249
"Judge, County Criminal Court No. 2",0342,675,605,1280,6526,19.61%,214,1032,1246
"Judge, County Criminal Court No. 2",0343,189,271,460,1964,23.42%,137,291,428
"Judge, County Criminal Court No. 2",0344,154,172,326,1160,28.10%,15,297,312
"Judge, County Criminal Court No. 2",0345,156,165,321,1804,17.79%,98,204,302
"Judge, County Criminal Court No. 2",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Criminal Court No. 2",0347,592,436,1028,3387,30.35%,701,291,992
"Judge, County Criminal Court No. 2",0348,438,208,646,1708,37.82%,503,114,617
"Judge, County Criminal Court No. 2",0349,188,267,455,1349,33.73%,283,146,429
"Judge, County Criminal Court No. 2",0350,524,526,1050,2909,36.09%,430,534,964
"Judge, County Criminal Court No. 2",0351,1491,710,2201,4712,46.71%,1759,359,2118
"Judge, County Criminal Court No. 2",0352,520,339,859,3205,26.80%,635,193,828
"Judge, County Criminal Court No. 2",0353,665,451,1116,3862,28.90%,208,875,1083
"Judge, County Criminal Court No. 2",0354,715,338,1053,3388,31.08%,271,747,1018
"Judge, County Criminal Court No. 2",0355,301,264,565,1560,36.22%,54,495,549
"Judge, County Criminal Court No. 2",0356,594,538,1132,2972,38.09%,756,322,1078
"Judge, County Criminal Court No. 2",0357,837,575,1412,3517,40.15%,1048,318,1366
"Judge, County Criminal Court No. 2",0358,212,254,466,2492,18.70%,54,396,450
"Judge, County Criminal Court No. 2",0359,234,224,458,3061,14.96%,67,380,447
"Judge, County Criminal Court No. 2",0360,522,380,902,2146,42.03%,483,339,822
"Judge, County Criminal Court No. 2",0361,41,295,336,1673,20.08%,50,242,292
"Judge, County Criminal Court No. 2",0362,1138,887,2025,5086,39.82%,1501,417,1918
"Judge, County Criminal Court No. 2",0363,620,412,1032,3677,28.07%,474,524,998
"Judge, County Criminal Court No. 2",0364,488,405,893,2658,33.60%,525,321,846
"Judge, County Criminal Court No. 2",0365,478,231,709,1305,54.33%,54,639,693
"Judge, County Criminal Court No. 2",0366,252,270,522,2454,21.27%,141,366,507
"Judge, County Criminal Court No. 2",0367,170,138,308,1130,27.26%,70,230,300
"Judge, County Criminal Court No. 2",0368,178,88,266,958,27.77%,75,181,256
"Judge, County Criminal Court No. 2",0369,32,29,61,559,10.91%,19,39,58
"Judge, County Criminal Court No. 2",0370,1532,1105,2637,6593,40.00%,2008,537,2545
"Judge, County Criminal Court No. 2",0371,122,52,174,502,34.66%,8,160,168
"Judge, County Criminal Court No. 2",0372,221,170,391,1224,31.94%,51,324,375
"Judge, County Criminal Court No. 2",0373,21,12,33,157,21.02%,2,29,31
"Judge, County Criminal Court No. 2",0374,85,93,158,738,21.41%,59,91,150
"Judge, County Criminal Court No. 2",0375,254,220,474,2645,17.92%,243,197,440
"Judge, County Criminal Court No. 2",0376,278,205,483,1910,25.29%,217,242,459
"Judge, County Criminal Court No. 2",0377,525,583,1109,2920,37.98%,817,234,1051
"Judge, County Criminal Court No. 2",0378,232,354,586,1829,32.04%,371,188,559
"Judge, County Criminal Court No. 2",0379,431,289,720,2027,35.52%,72,628,700
"Judge, County Criminal Court No. 2",0380,1299,995,2294,5666,40.49%,1268,949,2217
"Judge, County Criminal Court No. 2",0381,412,248,660,2855,23.12%,315,318,633
"Judge, County Criminal Court No. 2",0382,132,157,289,922,31.34%,217,63,280
"Judge, County Criminal Court No. 2",0383,289,263,552,2173,25.40%,233,297,530
"Judge, County Criminal Court No. 2",0384,573,373,946,2657,35.60%,190,719,909
"Judge, County Criminal Court No. 2",0385,583,670,1253,2207,56.77%,972,205,1177
"Judge, County Criminal Court No. 2",0386,662,469,1131,2922,38.71%,827,255,1082
"Judge, County Criminal Court No. 2",0387,555,672,1227,3935,31.18%,898,288,1186
"Judge, County Criminal Court No. 2",0388,1430,1010,2440,6888,35.42%,1416,944,2360
"Judge, County Criminal Court No. 2",0389,91,208,299,1026,29.14%,44,230,274
"Judge, County Criminal Court No. 2",0390,356,263,619,1480,41.82%,76,519,595
"Judge, County Criminal Court No. 2",0391,508,260,768,1883,40.79%,493,234,727
"Judge, County Criminal Court No. 2",0392,387,155,542,1446,37.48%,9,521,530
"Judge, County Criminal Court No. 2",0393,165,185,350,1292,27.09%,175,164,339
"Judge, County Criminal Court No. 2",0394,69,73,142,834,17.03%,76,60,136
"Judge, County Criminal Court No. 2",0395,469,404,873,1846,47.29%,638,184,822
"Judge, County Criminal Court No. 2",0396,622,216,838,2082,40.25%,21,799,820
"Judge, County Criminal Court No. 2",0397,88,78,184,780,21.58%,78,81,159
"Judge, County Criminal Court No. 2",0398,815,521,1138,4022,28.24%,818,487,1103
"Judge, County Criminal Court No. 2",0399,402,388,788,2791,27.52%,433,308,741
"Judge, County Criminal Court No. 2",0400,820,359,979,2411,40.81%,721,211,932
"Judge, County Criminal Court No. 2",0401,330,205,535,1913,27.97%,20,500,520
"Judge, County Criminal Court No. 2",0402,488,288,732,1794,40.80%,38,874,712
"Judge, County Criminal Court No. 2",0403,475,498,973,1715,58.73%,548,328,874
"Judge, County Criminal Court No. 2",0404,419,330,749,2585,28.97%,449,270,719
"Judge, County Criminal Court No. 2",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0408,137,87,204,828,32.48%,3,198,199
"Judge, County Criminal Court No. 2",0407,888,793,1481,3789,39.29%,1014,382,1398
"Judge, County Criminal Court No. 2",0408,148,153,299,1891,17.88%,142,143,285
"Judge, County Criminal Court No. 2",0409,122,149,271,1459,18.57%,112,149,281
"Judge, County Criminal Court No. 2",0410,132,80,212,899,23.58%,48,152,200
"Judge, County Criminal Court No. 2",0411,235,200,435,2339,18.80%,185,245,410
"Judge, County Criminal Court No. 2",0412,74,44,118,488,25.21%,7,108,113
"Judge, County Criminal Court No. 2",0413,787,388,1153,2992,38.54%,482,837,1099
"Judge, County Criminal Court No. 2",0414,854,480,1134,3453,32.84%,877,210,1087
"Judge, County Criminal Court No. 2",0415,539,598,1137,2203,51.81%,778,301,1079
"Judge, County Criminal Court No. 2",0418,538,558,1098,3791,28.91%,824,428,1052
"Judge, County Criminal Court No. 2",0417,353,385,738,2448,30.15%,377,327,704
"Judge, County Criminal Court No. 2",0418,403,489,872,3584,24.33%,371,481,832
"Judge, County Criminal Court No. 2",0419,571,324,895,2858,33.87%,808,244,852
"Judge, County Criminal Court No. 2",0420,1038,874,1910,4782,40.11%,1581,254,1835
"Judge, County Criminal Court No. 2",0421,38,37,73,410,17.80%,27,41,88
"Judge, County Criminal Court No. 2",0422,731,402,1133,3345,33.87%,31,1078,1107
"Judge, County Criminal Court No. 2",0423,108,120,228,1378,18.57%,75,142,217
"Judge, County Criminal Court No. 2",0424,240,111,351,987,38.30%,218,113,331
"Judge, County Criminal Court No. 2",0425,107,123,230,883,28.05%,91,130,221
"Judge, County Criminal Court No. 2",0428,280,183,443,1218,38.37%,287,154,421
"Judge, County Criminal Court No. 2",0427,179,134,313,1092,28.88%,142,150,292
"Judge, County Criminal Court No. 2",0428,819,421,1040,4538,22.92%,339,817,958
"Judge, County Criminal Court No. 2",0429,445,314,759,3197,23.74%,211,507,718
"Judge, County Criminal Court No. 2",0430,161,133,294,1657,17.74%,94,187,281
"Judge, County Criminal Court No. 2",0431,327,84,411,3417,12.03%,159,232,391
"Judge, County Criminal Court No. 2",0432,123,157,280,1455,19.24%,109,162,271
"Judge, County Criminal Court No. 2",0433,50,63,113,581,19.45%,29,78,107
"Judge, County Criminal Court No. 2",0434,370,289,659,1503,43.85%,428,191,619
"Judge, County Criminal Court No. 2",0435,855,636,1491,3252,45.85%,998,405,1403
"Judge, County Criminal Court No. 2",0436,629,531,1160,2933,39.55%,747,337,1084
"Judge, County Criminal Court No. 2",0437,521,512,1033,2033,50.81%,735,232,967
"Judge, County Criminal Court No. 2",0438,517,389,1006,1861,54.06%,776,172,948
"Judge, County Criminal Court No. 2",0439,710,884,1594,3554,44.85%,1160,338,1498
"Judge, County Criminal Court No. 2",0440,664,858,1522,2930,51.95%,1225,200,1425
"Judge, County Criminal Court No. 2",0441,345,420,765,1669,45.84%,597,125,722
"Judge, County Criminal Court No. 2",0442,612,574,1186,2575,46.06%,992,147,1139
"Judge, County Criminal Court No. 2",0443,226,138,364,646,56.35%,265,72,337
"Judge, County Criminal Court No. 2",0444,587,583,1270,3262,38.93%,818,378,1196
"Judge, County Criminal Court No. 2",0445,499,348,847,2026,41.81%,590,218,808
"Judge, County Criminal Court No. 2",0446,31,22,53,291,18.21%,26,24,50
"Judge, County Criminal Court No. 2",0447,93,86,179,637,28.10%,53,116,169
"Judge, County Criminal Court No. 2",0448,590,778,1368,3138,43.59%,774,506,1280
"Judge, County Criminal Court No. 2",0449,12,23,35,198,17.68%,3,32,35
"Judge, County Criminal Court No. 2",0450,435,328,763,2635,28.96%,241,488,729
"Judge, County Criminal Court No. 2",0451,1002,510,1512,2687,56.27%,1243,184,1427
"Judge, County Criminal Court No. 2",0452,554,444,998,3048,32.74%,748,223,971
"Judge, County Criminal Court No. 2",0453,231,262,493,1937,25.45%,195,273,468
"Judge, County Criminal Court No. 2",0454,594,248,842,2561,32.88%,13,811,824
"Judge, County Criminal Court No. 2",0455,367,165,532,1689,31.50%,20,504,524
"Judge, County Criminal Court No. 2",0456,482,362,844,3513,24.03%,503,318,821
"Judge, County Criminal Court No. 2",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0458,471,237,708,1924,36.80%,39,646,685
"Judge, County Criminal Court No. 2",0459,951,474,1425,3021,47.17%,1131,239,1370
"Judge, County Criminal Court No. 2",0460,554,331,885,2837,31.19%,233,630,863
"Judge, County Criminal Court No. 2",0461,1155,735,1900,3871,49.08%,1329,442,1771
"Judge, County Criminal Court No. 2",0462,674,619,1293,3384,38.21%,488,737,1225
"Judge, County Criminal Court No. 2",0463,480,404,884,3326,26.58%,413,439,852
"Judge, County Criminal Court No. 2",0464,356,430,786,2257,34.82%,573,184,757
"Judge, County Criminal Court No. 2",0465,687,520,1207,3564,33.87%,694,468,1162
"Judge, County Criminal Court No. 2",0466,1058,614,1672,4184,39.96%,993,616,1609
"Judge, County Criminal Court No. 2",0467,213,189,402,1270,31.65%,101,291,392
"Judge, County Criminal Court No. 2",0468,352,443,795,3598,22.10%,260,503,763
"Judge, County Criminal Court No. 2",0469,1294,547,1841,3985,46.20%,1466,286,1752
"Judge, County Criminal Court No. 2",0470,185,176,361,1326,27.22%,272,71,343
"Judge, County Criminal Court No. 2",0471,375,380,755,2387,31.63%,608,127,735
"Judge, County Criminal Court No. 2",0472,198,278,476,1081,44.03%,208,227,435
"Judge, County Criminal Court No. 2",0473,599,391,990,1806,54.82%,699,234,933
"Judge, County Criminal Court No. 2",0474,559,588,1147,3037,37.77%,810,290,1100
"Judge, County Criminal Court No. 2",0475,189,267,456,1809,25.21%,221,211,432
"Judge, County Criminal Court No. 2",0476,404,473,877,2430,36.09%,499,340,839
"Judge, County Criminal Court No. 2",0477,737,567,1304,3505,37.20%,1006,245,1251
"Judge, County Criminal Court No. 2",0478,958,657,1615,4461,36.20%,1098,435,1533
"Judge, County Criminal Court No. 2",0479,638,612,1250,2714,46.06%,941,258,1199
"Judge, County Criminal Court No. 2",0480,493,450,943,2415,39.05%,684,217,901
"Judge, County Criminal Court No. 2",0481,770,623,1393,3482,40.01%,1074,257,1331
"Judge, County Criminal Court No. 2",0482,878,630,1508,4373,34.48%,1106,351,1457
"Judge, County Criminal Court No. 2",0483,1042,478,1520,4308,35.28%,898,554,1452
"Judge, County Criminal Court No. 2",0484,1107,930,2037,4979,40.91%,1481,477,1958
"Judge, County Criminal Court No. 2",0485,1095,911,2006,5388,37.23%,1570,376,1946
"Judge, County Criminal Court No. 2",0486,873,855,1728,3866,44.70%,1362,286,1648
"Judge, County Criminal Court No. 2",0487,570,294,864,3860,22.38%,319,471,790
"Judge, County Criminal Court No. 2",0488,268,254,522,1719,30.37%,202,280,482
"Judge, County Criminal Court No. 2",0489,350,290,640,1893,33.81%,220,387,607
"Judge, County Criminal Court No. 2",0490,444,368,812,1975,41.11%,305,475,780
"Judge, County Criminal Court No. 2",0491,314,372,686,1888,36.33%,421,227,648
"Judge, County Criminal Court No. 2",0492,556,410,966,2335,41.37%,598,316,914
"Judge, County Criminal Court No. 2",0493,479,322,801,1853,43.23%,549,199,748
"Judge, County Criminal Court No. 2",0494,381,247,628,2467,25.46%,82,530,612
"Judge, County Criminal Court No. 2",0495,522,523,1045,2375,44.00%,769,211,980
"Judge, County Criminal Court No. 2",0496,190,315,505,2160,23.38%,203,285,488
"Judge, County Criminal Court No. 2",0497,526,243,769,2257,34.07%,26,720,746
"Judge, County Criminal Court No. 2",0498,363,323,686,2297,29.87%,310,359,669
"Judge, County Criminal Court No. 2",0499,750,518,1268,2326,54.51%,949,240,1189
"Judge, County Criminal Court No. 2",0500,729,715,1444,3507,41.17%,1009,376,1385
"Judge, County Criminal Court No. 2",0501,341,417,758,1801,42.09%,276,424,700
"Judge, County Criminal Court No. 2",0502,477,350,827,2501,33.07%,674,121,795
"Judge, County Criminal Court No. 2",0503,174,116,290,1374,21.11%,115,153,268
"Judge, County Criminal Court No. 2",0504,624,527,1151,2288,50.31%,765,316,1081
"Judge, County Criminal Court No. 2",0505,531,562,1193,3773,31.62%,568,546,1114
"Judge, County Criminal Court No. 2",0506,665,670,1335,3502,38.12%,240,1044,1284
"Judge, County Criminal Court No. 2",0507,221,149,370,2452,15.09%,75,227,302
"Judge, County Criminal Court No. 2",0508,492,412,904,3287,27.50%,357,476,833
"Judge, County Criminal Court No. 2",0509,753,596,1349,3732,36.15%,961,316,1277
"Judge, County Criminal Court No. 2",0510,687,514,1201,3590,33.45%,620,523,1143
"Judge, County Criminal Court No. 2",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0512,602,660,1262,5057,24.96%,613,618,1231
"Judge, County Criminal Court No. 2",0513,1019,487,1506,2894,52.04%,1165,265,1430
"Judge, County Criminal Court No. 2",0514,953,720,1673,4275,39.13%,1275,327,1602
"Judge, County Criminal Court No. 2",0515,942,683,1625,3455,47.03%,1331,217,1548
"Judge, County Criminal Court No. 2",0516,1000,800,1800,5356,33.61%,964,746,1710
"Judge, County Criminal Court No. 2",0517,481,256,737,2954,24.95%,432,282,714
"Judge, County Criminal Court No. 2",0518,635,693,1328,3943,33.68%,884,390,1274
"Judge, County Criminal Court No. 2",0519,623,493,1116,2966,37.63%,842,233,1075
"Judge, County Criminal Court No. 2",0520,473,457,930,4580,20.31%,178,732,910
"Judge, County Criminal Court No. 2",0521,471,464,935,2866,32.62%,516,388,904
"Judge, County Criminal Court No. 2",0522,715,572,1288,2689,47.90%,1007,230,1237
"Judge, County Criminal Court No. 2",0523,751,415,1166,3052,38.20%,806,308,1114
"Judge, County Criminal Court No. 2",0524,567,459,1026,3410,30.09%,365,623,988
"Judge, County Criminal Court No. 2",0525,707,482,1189,3091,38.47%,284,851,1135
"Judge, County Criminal Court No. 2",0526,58,84,152,780,19.49%,49,92,141
"Judge, County Criminal Court No. 2",0527,37,40,77,574,13.41%,42,33,75
"Judge, County Criminal Court No. 2",0528,14,12,26,90,28.89%,1,24,25
"Judge, County Criminal Court No. 2",0529,1043,491,1534,3710,41.35%,1322,151,1473
"Judge, County Criminal Court No. 2",0530,114,107,221,1196,18.48%,59,147,206
"Judge, County Criminal Court No. 2",0531,363,174,537,1145,46.90%,418,93,511
"Judge, County Criminal Court No. 2",0532,205,146,351,1048,33.49%,257,82,339
"Judge, County Criminal Court No. 2",0533,124,108,232,1119,20.73%,135,85,220
"Judge, County Criminal Court No. 2",0534,783,524,1307,3837,34.06%,1012,236,1248
"Judge, County Criminal Court No. 2",0535,33,29,62,416,14.90%,30,30,60
"Judge, County Criminal Court No. 2",0536,554,780,1334,5139,25.96%,540,750,1290
"Judge, County Criminal Court No. 2",0537,855,778,1633,3050,53.54%,1210,345,1555
"Judge, County Criminal Court No. 2",0538,204,160,364,1303,27.94%,8,348,356
"Judge, County Criminal Court No. 2",0539,15,241,256,64,400.00%,75,163,238
"Judge, County Criminal Court No. 2",0540,378,316,694,1567,44.29%,296,337,633
"Judge, County Criminal Court No. 2",0541,784,505,1289,4599,28.03%,187,1042,1229
"Judge, County Criminal Court No. 2",0542,360,382,742,2557,29.02%,48,669,717
"Judge, County Criminal Court No. 2",0543,141,213,354,1565,22.62%,120,213,333
"Judge, County Criminal Court No. 2",0544,35,41,77,310,24.84%,11,65,76
"Judge, County Criminal Court No. 2",0545,596,620,1216,3629,33.51%,630,534,1164
"Judge, County Criminal Court No. 2",0546,2,2,4,37,10.81%,3,0,3
"Judge, County Criminal Court No. 2",0547,501,466,967,2406,40.19%,685,241,926
"Judge, County Criminal Court No. 2",0548,286,293,579,2215,26.14%,311,249,560
"Judge, County Criminal Court No. 2",0549,343,418,761,2663,28.58%,113,629,742
"Judge, County Criminal Court No. 2",0550,501,431,932,3031,30.75%,544,351,895
"Judge, County Criminal Court No. 2",0551,1288,1394,2682,7034,38.13%,2054,550,2604
"Judge, County Criminal Court No. 2",0552,847,883,1730,3415,50.66%,1457,218,1675
"Judge, County Criminal Court No. 2",0553,578,529,1107,4686,23.62%,516,556,1072
"Judge, County Criminal Court No. 2",0554,261,199,460,1757,26.18%,106,321,427
"Judge, County Criminal Court No. 2",0555,225,277,502,2219,22.62%,108,373,481
"Judge, County Criminal Court No. 2",0556,276,186,462,2319,19.92%,139,306,445
"Judge, County Criminal Court No. 2",0557,455,183,638,2830,22.54%,271,295,566
"Judge, County Criminal Court No. 2",0558,693,463,1156,4380,26.39%,420,689,1109
"Judge, County Criminal Court No. 2",0559,640,494,1134,4969,22.82%,346,742,1088
"Judge, County Criminal Court No. 2",0560,72,131,203,1120,18.13%,55,133,188
"Judge, County Criminal Court No. 2",0561,362,436,798,3064,26.04%,486,272,758
"Judge, County Criminal Court No. 2",0562,113,68,181,694,26.08%,26,152,178
"Judge, County Criminal Court No. 2",0563,1107,376,1483,3105,47.76%,1174,244,1418
"Judge, County Criminal Court No. 2",0564,470,426,896,3155,28.40%,243,607,850
"Judge, County Criminal Court No. 2",0565,108,78,186,1354,13.74%,44,127,171
"Judge, County Criminal Court No. 2",0566,417,324,741,2882,25.71%,239,477,716
"Judge, County Criminal Court No. 2",0567,301,193,494,2238,22.07%,172,282,454
"Judge, County Criminal Court No. 2",0568,876,685,1561,3594,43.43%,1033,431,1464
"Judge, County Criminal Court No. 2",0569,572,667,1239,3525,35.15%,670,489,1159
"Judge, County Criminal Court No. 2",0570,238,210,448,1562,28.68%,161,253,414
"Judge, County Criminal Court No. 2",0571,155,149,304,1827,16.64%,125,171,296
"Judge, County Criminal Court No. 2",0572,555,375,930,3108,29.92%,504,387,891
"Judge, County Criminal Court No. 2",0573,290,151,441,1619,27.24%,7,430,437
"Judge, County Criminal Court No. 2",0574,31,42,73,402,18.16%,10,62,72
"Judge, County Criminal Court No. 2",0575,13,11,24,74,32.43%,19,4,23
"Judge, County Criminal Court No. 2",0576,485,318,803,2734,29.37%,27,760,787
"Judge, County Criminal Court No. 2",0577,147,88,235,608,38.65%,144,82,226
"Judge, County Criminal Court No. 2",0578,409,538,947,1799,52.64%,593,305,898
"Judge, County Criminal Court No. 2",0579,75,101,176,1056,16.67%,36,134,170
"Judge, County Criminal Court No. 2",0580,179,118,297,1031,28.81%,5,282,287
"Judge, County Criminal Court No. 2",0581,212,174,386,1032,37.40%,7,366,373
"Judge, County Criminal Court No. 2",0582,258,171,429,1588,27.02%,23,394,417
"Judge, County Criminal Court No. 2",0583,225,131,356,1262,28.21%,11,337,348
"Judge, County Criminal Court No. 2",0584,182,93,275,1014,27.12%,13,257,270
"Judge, County Criminal Court No. 2",0585,417,172,589,2511,23.46%,14,563,577
"Judge, County Criminal Court No. 2",0586,638,680,1318,4316,30.54%,808,459,1267
"Judge, County Criminal Court No. 2",0587,436,284,720,2598,27.71%,291,408,699
"Judge, County Criminal Court No. 2",0588,758,674,1432,3645,39.29%,1033,346,1379
"Judge, County Criminal Court No. 2",0589,500,386,886,3420,25.91%,498,359,857
"Judge, County Criminal Court No. 2",0590,772,399,1171,2162,54.16%,933,197,1130
"Judge, County Criminal Court No. 2",0591,183,231,414,2121,19.52%,129,268,397
"Judge, County Criminal Court No. 2",0592,133,157,290,1350,21.48%,81,192,273
"Judge, County Criminal Court No. 2",0593,543,564,1107,4380,25.27%,556,497,1053
"Judge, County Criminal Court No. 2",0594,561,326,887,2490,35.62%,257,598,855
"Judge, County Criminal Court No. 2",0595,201,178,379,1693,22.39%,69,300,369
"Judge, County Criminal Court No. 2",0596,441,348,789,3007,26.24%,442,317,759
"Judge, County Criminal Court No. 2",0597,367,394,761,3653,20.83%,339,410,749
"Judge, County Criminal Court No. 2",0598,195,57,252,728,34.62%,209,36,245
"Judge, County Criminal Court No. 2",0599,850,578,1428,4950,28.85%,522,857,1379
"Judge, County Criminal Court No. 2",0600,667,429,1096,3957,27.70%,453,592,1045
"Judge, County Criminal Court No. 2",0601,1073,756,1829,4057,45.08%,1400,364,1764
"Judge, County Criminal Court No. 2",0602,293,235,525,1326,39.82%,391,120,511
"Judge, County Criminal Court No. 2",0603,554,794,1678,4843,34.65%,1088,546,1634
"Judge, County Criminal Court No. 2",0604,702,518,1220,3005,40.60%,1020,161,1181
"Judge, County Criminal Court No. 2",0605,907,556,1463,5582,26.21%,370,1049,1419
"Judge, County Criminal Court No. 2",0606,176,70,246,937,26.25%,4,237,241
"Judge, County Criminal Court No. 2",0607,52,51,113,728,15.52%,13,93,106
"Judge, County Criminal Court No. 2",0608,31,47,78,537,14.53%,44,27,71
"Judge, County Criminal Court No. 2",0609,557,680,1347,3384,39.80%,855,415,1270
"Judge, County Criminal Court No. 2",0610,231,188,419,1927,21.74%,226,162,388
"Judge, County Criminal Court No. 2",0611,495,242,737,2488,29.62%,25,698,723
"Judge, County Criminal Court No. 2",0612,996,497,1493,3307,45.15%,1128,282,1410
"Judge, County Criminal Court No. 2",0613,186,204,390,1554,25.10%,66,312,378
"Judge, County Criminal Court No. 2",0614,737,566,1303,4207,30.97%,517,730,1247
"Judge, County Criminal Court No. 2",0615,450,299,779,1967,39.60%,509,244,753
"Judge, County Criminal Court No. 2",0616,739,663,1402,3436,40.80%,999,348,1347
"Judge, County Criminal Court No. 2",0617,541,393,934,3809,24.52%,401,508,909
"Judge, County Criminal Court No. 2",0618,946,567,1513,6003,25.20%,772,685,1457
"Judge, County Criminal Court No. 2",0619,1219,803,2022,4297,47.06%,1520,400,1920
"Judge, County Criminal Court No. 2",0620,689,264,953,2897,32.90%,615,291,906
"Judge, County Criminal Court No. 2",0621,154,101,255,1133,22.51%,136,105,241
"Judge, County Criminal Court No. 2",0622,881,524,1405,4403,31.91%,876,479,1355
"Judge, County Criminal Court No. 2",0623,887,487,1374,3691,37.23%,943,365,1308
"Judge, County Criminal Court No. 2",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Criminal Court No. 2",0625,477,362,839,1820,46.10%,491,295,786
"Judge, County Criminal Court No. 2",0626,551,440,1021,2861,35.69%,581,381,962
"Judge, County Criminal Court No. 2",0627,345,322,668,3049,21.91%,247,392,639
"Judge, County Criminal Court No. 2",0628,152,219,371,1675,22.15%,204,156,360
"Judge, County Criminal Court No. 2",0629,37,53,90,696,12.93%,15,74,89
"Judge, County Criminal Court No. 2",0630,974,600,1574,3905,40.31%,136,1393,1529
"Judge, County Criminal Court No. 2",0631,822,404,1226,2846,43.08%,910,266,1176
"Judge, County Criminal Court No. 2",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Criminal Court No. 2",0633,943,731,1674,3559,47.04%,1197,406,1603
"Judge, County Criminal Court No. 2",0634,458,442,900,3029,29.71%,604,263,867
"Judge, County Criminal Court No. 2",0635,743,485,1228,3393,36.19%,938,253,1191
"Judge, County Criminal Court No. 2",0636,836,874,1710,4140,41.30%,1487,172,1659
"Judge, County Criminal Court No. 2",0637,409,362,771,2512,30.69%,189,529,718
"Judge, County Criminal Court No. 2",0638,304,245,549,2204,24.91%,45,480,525
"Judge, County Criminal Court No. 2",0639,549,547,1096,2526,43.39%,889,163,1052
"Judge, County Criminal Court No. 2",0640,641,459,1100,3733,29.47%,703,358,1061
"Judge, County Criminal Court No. 2",0641,649,596,1245,3650,34.11%,835,362,1197
"Judge, County Criminal Court No. 2",0642,471,394,865,1764,49.04%,697,125,822
"Judge, County Criminal Court No. 2",0643,934,653,1587,5945,26.69%,643,892,1535
"Judge, County Criminal Court No. 2",0644,1019,823,1842,5523,33.35%,1240,523,1763
"Judge, County Criminal Court No. 2",0645,654,594,1248,4185,29.82%,697,500,1197
"Judge, County Criminal Court No. 2",0646,364,287,651,2220,29.32%,211,399,610
"Judge, County Criminal Court No. 2",0647,904,470,1374,6084,22.58%,398,859,1257
"Judge, County Criminal Court No. 2",0648,838,579,1417,3367,42.08%,1035,331,1366
"Judge, County Criminal Court No. 2",0649,687,434,1121,4576,24.50%,379,666,1045
"Judge, County Criminal Court No. 2",0650,906,766,1672,3888,43.00%,1241,356,1597
"Judge, County Criminal Court No. 2",0651,963,766,1729,5128,33.72%,1129,522,1651
"Judge, County Criminal Court No. 2",0652,467,515,982,2815,34.88%,182,762,944
"Judge, County Criminal Court No. 2",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Criminal Court No. 2",0654,950,1005,1955,6208,31.49%,1119,757,1876
"Judge, County Criminal Court No. 2",0655,1116,1079,2195,6855,32.02%,1396,712,2108
"Judge, County Criminal Court No. 2",0656,579,393,972,2674,36.35%,39,909,948
"Judge, County Criminal Court No. 2",0657,246,172,418,1292,32.35%,169,231,400
"Judge, County Criminal Court No. 2",0658,540,426,966,2807,34.41%,641,304,945
"Judge, County Criminal Court No. 2",0659,1149,788,1937,4856,39.89%,1407,470,1877
"Judge, County Criminal Court No. 2",0660,950,825,1775,5372,33.04%,166,1561,1727
"Judge, County Criminal Court No. 2",0661,675,765,1440,4567,31.53%,867,521,1388
"Judge, County Criminal Court No. 2",0662,1148,890,2038,4874,41.81%,1651,320,1971
"Judge, County Criminal Court No. 2",0663,717,797,1514,3346,45.25%,775,624,1399
"Judge, County Criminal Court No. 2",0664,352,250,602,2869,20.98%,140,434,574
"Judge, County Criminal Court No. 2",0665,482,348,830,2154,38.53%,704,98,802
"Judge, County Criminal Court No. 2",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0667,488,502,990,2149,46.07%,786,164,950
"Judge, County Criminal Court No. 2",0668,399,509,908,2775,32.72%,600,282,882
"Judge, County Criminal Court No. 2",0669,850,738,1588,3425,46.36%,1168,347,1515
"Judge, County Criminal Court No. 2",0670,955,471,1427,2983,47.84%,1158,215,1373
"Judge, County Criminal Court No. 2",0671,403,565,968,3037,31.87%,606,316,922
"Judge, County Criminal Court No. 2",0672,959,862,1821,5706,31.91%,1249,515,1764
"Judge, County Criminal Court No. 2",0673,729,516,1245,2995,41.57%,1003,190,1193
"Judge, County Criminal Court No. 2",0674,1071,618,1689,4091,41.29%,1289,340,1629
"Judge, County Criminal Court No. 2",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Criminal Court No. 2",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 2",0677,127,127,254,1266,20.06%,94,144,238
