"City of Seabrook, Proposition 3",0090,337,302,639,1567,40.78%,344,208,552
"City of Seabrook, Proposition 3",0333,524,714,1238,3021,40.98%,680,368,1048
"City of Seabrook, Proposition 3",0692,444,548,992,2847,34.84%,557,276,833
