Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Sitton,DEM Steve Brown,LIB Mark A. Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0779,64,51,115,940,12.23%,40,65,1,6,112
Railroad Commissioner,0780,63,59,122,595,20.50%,70,48,2,2,122
Railroad Commissioner,0781,666,273,939,3603,26.06%,405,412,22,23,862
Railroad Commissioner,0782,368,370,738,2236,33.01%,456,243,23,8,730
Railroad Commissioner,0783,49,13,62,294,21.09%,45,14,1,1,61
Railroad Commissioner,0784,208,128,336,1079,31.14%,6,318,1,1,326
Railroad Commissioner,0785,28,25,53,296,17.91%,26,25,1,1,53
Railroad Commissioner,0786,100,98,198,1251,15.83%,69,109,3,12,193
Railroad Commissioner,0787,46,52,98,488,20.08%,35,55,2,3,95
Railroad Commissioner,0788,74,32,106,454,23.35%,44,50,6,5,105
Railroad Commissioner,0789,0,3,3,3,100.00%,1,2,0,0,3
Railroad Commissioner,0790,0,0,0,3,0.00%,0,0,0,0,0
Railroad Commissioner,0791,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0792,269,239,508,1865,27.24%,122,344,6,17,489
Railroad Commissioner,0793,448,247,695,2484,27.98%,402,240,22,15,679
Railroad Commissioner,0794,124,144,268,2710,9.89%,25,225,3,6,259
Railroad Commissioner,0795,90,125,215,1217,17.67%,75,122,1,9,207
Railroad Commissioner,0796,83,51,134,476,28.15%,75,51,2,1,129
Railroad Commissioner,0797,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0798,99,111,210,500,42.00%,77,105,6,16,204
Railroad Commissioner,0799,28,15,43,161,26.71%,8,32,0,3,43
Railroad Commissioner,0800,588,642,1230,2932,41.95%,829,326,20,17,1192
Railroad Commissioner,0801,32,14,46,258,17.83%,14,28,3,1,46
Railroad Commissioner,0802,51,27,78,312,25.00%,17,51,2,6,76
Railroad Commissioner,0803,725,511,1236,2893,42.72%,912,268,23,13,1216
Railroad Commissioner,0804,933,591,1524,4768,31.96%,944,491,40,18,1493
Railroad Commissioner,0805,765,533,1298,2866,45.29%,1033,196,32,13,1274
Railroad Commissioner,0806,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0807,211,204,415,2028,20.46%,87,286,20,15,408
Railroad Commissioner,0808,12,17,29,131,22.14%,9,18,0,1,28
Railroad Commissioner,0809,7,6,13,92,14.13%,5,6,1,0,12
Railroad Commissioner,0810,9,16,25,211,11.85%,8,15,0,1,24
Railroad Commissioner,0811,29,50,79,270,29.26%,26,46,1,4,77
Railroad Commissioner,0812,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0813,938,761,1699,5807,29.26%,826,779,45,21,1671
Railroad Commissioner,0814,673,533,1206,5102,23.64%,294,840,19,29,1182
Railroad Commissioner,0815,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0816,10,0,10,73,13.70%,2,6,0,2,10
Railroad Commissioner,0817,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0818,86,39,125,616,20.29%,25,93,0,2,120
Railroad Commissioner,0819,64,30,94,240,39.17%,53,31,3,1,88
Railroad Commissioner,0820,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0821,124,120,244,1242,19.65%,27,199,4,7,237
Railroad Commissioner,0822,332,167,499,1535,32.51%,14,472,2,1,489
Railroad Commissioner,0823,821,564,1385,5087,27.23%,784,524,30,23,1361
Railroad Commissioner,0824,428,282,710,2700,26.30%,147,516,10,21,694
Railroad Commissioner,0825,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0826,73,50,123,358,34.36%,69,48,1,1,119
Railroad Commissioner,0827,60,98,158,979,16.14%,64,72,5,13,154
Railroad Commissioner,0828,541,388,929,1916,48.49%,748,130,25,5,908
Railroad Commissioner,0829,54,22,76,264,28.79%,18,54,1,1,74
Railroad Commissioner,0830,0,0,0,2,0.00%,0,0,0,0,0
Railroad Commissioner,0831,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0832,34,28,62,352,17.61%,15,43,1,1,60
Railroad Commissioner,0833,0,1,1,20,5.00%,0,1,0,0,1
Railroad Commissioner,0834,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0835,38,19,57,290,19.66%,13,38,0,2,53
Railroad Commissioner,0836,3,0,3,19,15.79%,1,2,0,0,3
Railroad Commissioner,0837,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0838,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0839,136,118,254,1128,22.52%,45,179,12,10,246
Railroad Commissioner,0840,381,174,555,1705,32.55%,196,334,7,9,546
Railroad Commissioner,0841,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0842,421,434,855,3259,26.24%,382,412,14,23,831
Railroad Commissioner,0843,0,1,1,0,0.00%,0,1,0,0,1
Railroad Commissioner,0844,1,0,1,11,9.09%,0,1,0,0,1
Railroad Commissioner,0845,54,9,63,134,47.01%,40,20,0,1,61
Railroad Commissioner,0846,23,24,47,229,20.52%,2,43,1,0,46
Railroad Commissioner,0847,306,211,517,2015,25.66%,135,357,11,6,509
Railroad Commissioner,0848,489,266,755,1856,40.68%,223,486,10,16,735
Railroad Commissioner,0849,201,291,492,2124,23.16%,184,259,13,22,478
Railroad Commissioner,0850,45,41,87,210,41.43%,32,50,0,3,85
Railroad Commissioner,0851,1029,657,1686,4709,35.80%,1109,469,39,26,1643
Railroad Commissioner,0852,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0853,575,620,1296,2882,44.97%,990,238,24,8,1260
Railroad Commissioner,0854,15,26,41,172,23.84%,7,30,1,2,40
Railroad Commissioner,0855,5,9,14,16,87.50%,4,8,1,0,13
Railroad Commissioner,0856,0,1,1,0,0.00%,0,1,0,0,1
Railroad Commissioner,0857,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0858,63,34,97,343,28.28%,3,92,0,1,96
Railroad Commissioner,0859,157,106,263,890,29.55%,69,185,4,1,259
Railroad Commissioner,0860,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0861,315,199,514,1842,27.90%,86,412,5,4,507
Railroad Commissioner,0862,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0863,101,54,155,584,26.54%,8,146,0,0,154
Railroad Commissioner,0864,193,299,492,2569,19.15%,130,319,9,19,477
Railroad Commissioner,0865,2,3,5,21,23.81%,0,5,0,0,5
Railroad Commissioner,0866,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0867,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0868,236,271,507,2326,21.80%,161,310,3,17,491
Railroad Commissioner,0869,53,39,92,470,19.57%,21,65,2,1,89
Railroad Commissioner,0870,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0871,1,0,1,3,33.33%,0,1,0,0,1
Railroad Commissioner,0872,5,3,8,59,13.56%,4,4,0,0,8
Railroad Commissioner,0873,98,75,173,737,23.47%,43,122,4,2,171
Railroad Commissioner,0874,764,707,1471,3223,45.64%,1107,293,29,9,1438
Railroad Commissioner,0875,905,527,1432,5147,27.82%,668,676,31,27,1402
Railroad Commissioner,0876,698,641,1339,3265,41.01%,1012,270,24,10,1316
Railroad Commissioner,0877,476,382,858,3032,28.30%,344,459,25,17,845
Railroad Commissioner,0878,428,354,782,1666,46.94%,638,101,22,9,770
Railroad Commissioner,0879,407,294,701,2667,26.28%,346,297,22,19,684
Railroad Commissioner,0880,543,447,990,2352,42.09%,796,152,16,8,972
Railroad Commissioner,0881,596,540,1136,4479,25.36%,378,704,20,18,1120
Railroad Commissioner,0882,426,291,717,2422,29.60%,419,256,19,8,702
Railroad Commissioner,0883,643,702,1345,5408,24.87%,231,1046,15,23,1315
Railroad Commissioner,0884,57,25,82,377,21.75%,7,70,1,2,80
Railroad Commissioner,0885,562,368,930,2619,35.51%,532,357,21,11,921
Railroad Commissioner,0886,128,108,236,675,34.96%,131,86,8,0,225
Railroad Commissioner,0887,51,67,118,418,28.23%,60,50,2,2,114
Railroad Commissioner,0888,0,3,3,0,0.00%,2,1,0,0,3
Railroad Commissioner,0889,14,0,14,57,24.56%,5,8,0,0,13
Railroad Commissioner,0890,164,103,267,1095,24.38%,94,147,7,9,257
Railroad Commissioner,0891,319,243,562,1331,42.22%,206,311,16,7,540
Railroad Commissioner,0892,115,86,201,808,24.88%,68,113,10,6,197
Railroad Commissioner,0893,0,2,2,6,33.33%,0,2,0,0,2
Railroad Commissioner,0894,0,3,3,0,0.00%,2,1,0,0,3
Railroad Commissioner,0895,156,286,442,793,55.74%,181,221,7,10,419
Railroad Commissioner,0896,370,297,667,1459,45.72%,246,364,14,15,639
Railroad Commissioner,0897,253,297,550,1701,32.33%,304,210,18,7,539
Railroad Commissioner,0898,0,0,0,3,0.00%,0,0,0,0,0
Railroad Commissioner,0899,2,0,2,8,25.00%,0,2,0,0,2
Railroad Commissioner,0900,0,2,2,10,20.00%,1,1,0,0,2
Railroad Commissioner,0901,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0902,396,486,882,2139,41.23%,472,336,24,12,844
Railroad Commissioner,0903,3,7,10,50,20.00%,3,6,0,0,9
Railroad Commissioner,0904,1,0,1,7,14.29%,1,0,0,0,1
Railroad Commissioner,0905,123,100,223,904,24.67%,95,115,1,6,217
Railroad Commissioner,0906,8,6,14,25,56.00%,8,5,0,1,14
Railroad Commissioner,0907,12,19,31,181,17.13%,6,24,0,1,31
Railroad Commissioner,0908,0,1,1,0,0.00%,0,1,0,0,1
Railroad Commissioner,0909,2,1,3,18,16.67%,0,3,0,0,3
Railroad Commissioner,0910,25,24,49,217,22.58%,18,24,2,1,45
Railroad Commissioner,0911,118,60,178,551,32.30%,116,49,3,5,173
Railroad Commissioner,0912,316,201,517,1273,40.61%,328,143,20,10,501
Railroad Commissioner,0913,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0914,169,179,348,701,49.64%,274,50,13,4,341
Railroad Commissioner,0915,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0916,417,240,657,1491,44.06%,520,109,10,2,641
Railroad Commissioner,0917,177,62,239,483,49.48%,155,66,8,1,230
Railroad Commissioner,0918,304,168,472,883,53.45%,369,83,5,3,460
Railroad Commissioner,0919,0,0,0,3,0.00%,0,0,0,0,0
Railroad Commissioner,0920,22,12,34,71,47.89%,23,8,1,1,33
Railroad Commissioner,0921,32,15,47,119,39.50%,33,11,2,0,46
Railroad Commissioner,0922,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0923,470,137,607,1511,40.17%,454,131,8,5,598
Railroad Commissioner,0924,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0925,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0926,171,128,299,796,37.56%,222,64,5,2,293
Railroad Commissioner,0927,44,30,74,270,27.41%,29,40,1,1,71
Railroad Commissioner,0928,3,0,3,8,37.50%,0,3,0,0,3
Railroad Commissioner,0929,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0930,109,54,163,584,27.91%,6,154,0,2,162
Railroad Commissioner,0931,30,40,70,130,53.85%,36,27,2,0,65
Railroad Commissioner,0932,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0933,115,85,200,627,31.90%,52,133,5,6,196
Railroad Commissioner,0934,2,0,2,63,3.17%,1,1,0,0,2
Railroad Commissioner,0935,3,2,5,54,9.26%,1,2,0,1,4
Railroad Commissioner,0936,8,2,10,81,12.35%,3,6,0,1,10
Railroad Commissioner,0937,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0938,30,14,44,231,19.05%,13,28,0,2,43
Railroad Commissioner,0939,0,0,0,2,0.00%,0,0,0,0,0
Railroad Commissioner,0940,0,0,0,10,0.00%,0,0,0,0,0
Railroad Commissioner,0941,9,10,19,25,76.00%,19,0,0,0,19
Railroad Commissioner,0942,53,27,80,156,51.28%,63,12,4,0,79
Railroad Commissioner,0943,166,80,246,547,44.97%,169,63,1,1,234
Railroad Commissioner,0944,20,4,24,45,53.33%,20,0,0,0,20
Railroad Commissioner,0945,1,2,3,17,17.65%,0,2,0,0,2
Railroad Commissioner,0946,0,1,1,13,7.69%,0,1,0,0,1
Railroad Commissioner,0947,177,246,423,799,52.94%,214,177,15,7,413
Railroad Commissioner,0948,0,14,14,1,1400.00%,8,4,0,0,12
Railroad Commissioner,0949,34,27,61,193,31.61%,30,27,1,2,60
Railroad Commissioner,0950,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0951,33,30,63,277,22.74%,16,45,0,1,62
Railroad Commissioner,0952,18,15,33,71,46.48%,16,11,1,3,31
Railroad Commissioner,0953,18,9,27,275,9.82%,4,22,1,0,27
Railroad Commissioner,0954,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0955,3,2,5,19,26.32%,4,1,0,0,5
Railroad Commissioner,0956,2,4,6,11,54.55%,2,3,0,0,5
Railroad Commissioner,0957,97,95,192,562,34.16%,19,169,2,2,192
Railroad Commissioner,0958,81,129,210,1081,19.43%,48,149,2,7,206
Railroad Commissioner,0959,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0960,195,157,353,976,36.17%,70,264,8,5,347
Railroad Commissioner,0961,16,0,16,56,28.57%,0,15,0,1,16
Railroad Commissioner,0962,10,17,27,88,30.68%,4,19,2,2,27
Railroad Commissioner,0963,64,41,105,426,24.65%,56,41,1,5,103
Railroad Commissioner,0964,568,437,1005,2372,42.37%,617,340,13,14,984
Railroad Commissioner,0965,31,21,52,343,15.16%,25,23,0,4,52
Railroad Commissioner,0966,129,83,212,1148,18.47%,73,126,4,5,208
Railroad Commissioner,0967,15,48,63,165,38.18%,17,44,1,0,62
Railroad Commissioner,0968,119,30,149,692,21.53%,28,116,3,1,148
Railroad Commissioner,0969,156,73,229,604,37.91%,0,224,2,1,227
Railroad Commissioner,0970,83,36,119,731,16.28%,17,97,0,2,116
Railroad Commissioner,0971,11,8,19,147,12.93%,2,15,0,0,17
Railroad Commissioner,0972,5,8,14,31,45.16%,13,0,1,0,14
Railroad Commissioner,0973,24,19,43,111,38.74%,19,17,3,1,40
Railroad Commissioner,0974,57,36,93,299,31.10%,57,33,2,0,92
Railroad Commissioner,0975,55,30,85,193,44.04%,41,39,2,0,82
Railroad Commissioner,0976,68,62,130,683,19.03%,81,40,4,4,129
Railroad Commissioner,0977,50,43,93,572,16.26%,38,49,2,4,93
Railroad Commissioner,0978,77,79,156,546,28.57%,27,124,2,2,155
Railroad Commissioner,0979,2,6,8,27,29.63%,5,3,0,0,8
Railroad Commissioner,0980,280,321,601,1389,43.27%,451,119,12,3,585
Railroad Commissioner,0981,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0982,312,312,624,1567,39.82%,507,83,11,10,611
Railroad Commissioner,0983,12,21,33,161,20.50%,19,11,2,0,32
Railroad Commissioner,0984,18,9,27,192,14.06%,4,21,0,1,26
Railroad Commissioner,0985,117,63,180,351,51.28%,84,81,6,3,174
Railroad Commissioner,0986,43,30,73,463,15.77%,11,60,0,1,72
Railroad Commissioner,0987,231,90,321,1155,27.79%,26,284,4,3,317
Railroad Commissioner,0988,24,12,36,123,29.27%,33,3,0,0,36
Railroad Commissioner,0989,6,6,12,43,27.91%,7,3,1,1,12
Railroad Commissioner,0990,16,1,17,140,12.14%,8,8,0,0,16
Railroad Commissioner,0991,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,0992,157,107,264,1048,25.19%,137,106,9,4,256
Railroad Commissioner,0993,159,101,270,568,47.54%,219,38,7,2,266
Railroad Commissioner,09946,5,11,25,44.00%,2,9,0,0,11
Railroad Commissioner,0995,296,156,452,1393,32.45%,24,410,7,2,443
Railroad Commissioner,0996,136,140,276,694,39.77%,149,100,8,8,265
Railroad Commissioner,0997,101,163,264,1656,15.94%,57,197,4,5,263
Railroad Commissioner,0998,5,1,6,57,10.53%,3,3,0,0,6
Railroad Commissioner,0999,17,10,27,68,39.71%,24,3,0,0,27
Railroad Commissioner,1000,42,6,48,405,11.85%,12,34,0,1,47
Railroad Commissioner,1001,228,136,364,1565,23.26%,92,246,6,5,349
Railroad Commissioner,1002,170,139,309,1744,17.72%,51,236,6,7,300
Railroad Commissioner,1003,1,0,1,0,0.00%,1,0,0,0,1
Railroad Commissioner,1004,111,139,250,654,38.23%,115,103,14,6,238
Railroad Commissioner,1005,0,8,8,0,0.00%,4,3,1,0,8
Railroad Commissioner,1006,1,0,1,5,20.00%,1,0,0,0,1
Railroad Commissioner,1007,208,188,396,1547,25.60%,90,280,8,7,385
Railroad Commissioner,1008,32,12,44,151,29.14%,33,9,0,1,43
Railroad Commissioner,1009,0,0,0,9,0.00%,0,0,0,0,0
Railroad Commissioner,1010,59,35,94,459,20.48%,16,74,1,1,92
Railroad Commissioner,1011,8,1,9,26,34.62%,5,3,0,0,8
Railroad Commissioner,1012,134,201,335,1365,24.54%,100,220,2,6,328
Railroad Commissioner,1013,0,6,6,58,10.34%,2,3,0,1,6
Railroad Commissioner,1014,4,6,10,31,32.26%,1,9,0,0,10
Railroad Commissioner,1015,5,4,9,25,36.00%,2,5,0,1,8
Railroad Commissioner,1016,252,212,464,1691,27.44%,222,216,12,5,455
Railroad Commissioner,1017,61,44,105,330,31.82%,31,70,3,0,104
Railroad Commissioner,1018,93,64,157,494,31.78%,70,81,3,0,154
Railroad Commissioner,1019,130,107,237,1456,16.28%,9,216,5,4,234
Railroad Commissioner,1020,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,1021,0,0,0,2,0.00%,0,0,0,0,0
Railroad Commissioner,1022,97,79,176,441,39.91%,134,29,6,0,169
Railroad Commissioner,1023,430,315,745,2026,36.77%,525,187,10,4,726
Railroad Commissioner,1024,55,61,116,249,46.59%,62,43,4,4,113
Railroad Commissioner,1025,0,1,1,14,7.14%,1,0,0,0,1
Railroad Commissioner,1026,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1027,1,0,1,8,12.50%,0,0,0,1,1
Railroad Commissioner,1028,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1029,538,719,1257,2927,42.94%,995,198,21,11,1225
Railroad Commissioner,1030,231,151,382,785,48.66%,334,36,5,3,378
Railroad Commissioner,1031,59,71,130,792,16.41%,34,84,1,3,122
Railroad Commissioner,1032,31,25,56,244,22.95%,36,16,1,0,53
Railroad Commissioner,1033,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1034,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1035,2,4,6,138,4.35%,2,4,0,0,6
Railroad Commissioner,1036,55,24,89,449,19.82%,70,13,1,4,88
Railroad Commissioner,1037,19,11,30,76,39.47%,17,10,1,0,28
Railroad Commissioner,1038,52,6,68,327,20.80%,9,57,0,0,66
Railroad Commissioner,1039,2,0,2,25,8.00%,0,2,0,0,2
Railroad Commissioner,1040,91,66,157,771,20.36%,71,76,4,2,153
Railroad Commissioner,1041,0,2,2,0,0.00%,0,2,0,0,2
Railroad Commissioner,1042,105,67,172,521,33.01%,51,110,3,5,169
Railroad Commissioner,1043,6,5,12,33,36.36%,4,8,0,0,12
Railroad Commissioner,1044,15,6,22,55,40.00%,7,14,0,0,21
Railroad Commissioner,1045,197,173,370,1788,20.69%,46,303,6,3,358
Railroad Commissioner,1046,11,5,16,62,25.81%,1,15,0,0,16
Railroad Commissioner,1047,255,186,441,1568,28.13%,161,255,13,7,436
Railroad Commissioner,1048,1,0,1,17,5.88%,1,0,0,0,1
Railroad Commissioner,1049,14,45,59,290,20.34%,19,33,0,6,58
Railroad Commissioner,1050,60,63,123,537,22.91%,33,83,0,1,117
Railroad Commissioner,1051,0,31,31,0,0.00%,16,10,4,1,31
Railroad Commissioner,1052,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1053,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1054,0,0,0,1,0.00%,0,0,0,0,0
Railroad Commissioner,1055,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1056,4,2,6,8,75.00%,1,4,0,1,6
Railroad Commissioner,1057,7,9,16,118,13.56%,2,13,0,1,16
Railroad Commissioner,1058,241,285,526,1243,42.32%,98,406,5,8,517
Railroad Commissioner,1059,3,3,6,28,21.43%,1,5,0,0,6
Railroad Commissioner,1060,5,2,7,42,16.67%,5,2,0,0,7
Railroad Commissioner,1061,332,184,516,1716,30.07%,263,216,16,10,505
Railroad Commissioner,1062,17,6,23,201,11.44%,4,16,0,1,21
Railroad Commissioner,1063,66,59,125,857,14.59%,16,103,1,2,122
Railroad Commissioner,1064,25,11,36,119,30.25%,27,8,0,1,36
Railroad Commissioner,1065,1,0,1,28,3.57%,0,1,0,0,1
Railroad Commissioner,1066,72,0,72,229,31.44%,3,66,1,0,70
Railroad Commissioner,1067,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,1068,22,8,30,121,24.79%,13,15,0,1,29
Railroad Commissioner,1069,434,256,690,2580,26.74%,314,324,16,8,662
Railroad Commissioner,Totals:,379077,308736,687813,2044361,,351743,292690,14254,10911,669598
