Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Sitton,DEM Steve Brown,LIB Mark A. Miller,GRN Martina Salinas,Totals
Railroad Commissioner,0493,480,322,802,1853,43.28%,527,213,21,12,773
Railroad Commissioner,0494,381,247,628,2467,25.46%,77,522,3,13,615
Railroad Commissioner,0495,522,523,1045,2375,44.00%,741,235,25,8,1009
Railroad Commissioner,0496,190,315,505,2160,23.38%,197,269,9,15,490
Railroad Commissioner,0497,526,243,769,2257,34.07%,23,730,0,1,754
Railroad Commissioner,0498,363,323,686,2297,29.87%,296,347,22,9,674
Railroad Commissioner,0499,751,518,1269,2326,54.56%,949,249,24,13,1235
Railroad Commissioner,0500,729,715,1444,3507,41.17%,996,367,33,22,1418
Railroad Commissioner,0501,341,417,758,1801,42.09%,262,420,36,17,735
Railroad Commissioner,0502,477,350,827,2501,33.07%,662,128,12,5,807
Railroad Commissioner,0503,174,116,290,1374,21.11%,106,154,5,6,271
Railroad Commissioner,0504,624,527,1151,2288,50.31%,747,318,37,19,1121
Railroad Commissioner,0505,531,562,1193,3773,31.62%,528,555,34,38,1155
Railroad Commissioner,0506,665,670,1335,3502,38.12%,224,1037,12,28,1301
Railroad Commissioner,0507,221,149,370,2452,15.09%,74,228,5,5,312
Railroad Commissioner,0508,492,412,904,3287,27.50%,329,484,19,15,847
Railroad Commissioner,0509,754,596,1350,3732,36.17%,937,326,39,16,1318
Railroad Commissioner,0510,689,514,1203,3590,33.51%,596,520,39,22,1177
Railroad Commissioner,0511,0,0,0,0,0.00%,0,0,0,0,0
Railroad Commissioner,0512,602,660,1262,5057,24.96%,583,614,29,17,1243
Railroad Commissioner,0513,1019,487,1506,2894,52.04%,1167,267,28,8,1470
Railroad Commissioner,0514,954,720,1674,4275,39.16%,1266,316,47,11,1640
Railroad Commissioner,0515,943,683,1626,3455,47.06%,1310,237,32,12,1591
Railroad Commissioner,0516,1001,800,1801,5356,33.63%,945,732,47,31,1755
Railroad Commissioner,0517,482,256,738,2954,24.98%,413,279,17,15,724
Railroad Commissioner,0518,635,693,1328,3943,33.68%,852,400,25,20,1297
Railroad Commissioner,0519,623,493,1116,2966,37.63%,825,229,25,18,1097
Railroad Commissioner,0520,474,457,931,4580,20.33%,166,720,13,17,916
Railroad Commissioner,0521,471,464,935,2866,32.62%,483,388,28,12,911
Railroad Commissioner,0522,715,572,1288,2689,47.90%,985,234,38,10,1267
Railroad Commissioner,0523,751,415,1166,3052,38.20%,781,311,41,8,1141
Railroad Commissioner,0524,568,459,1027,3410,30.12%,349,624,12,13,998
Railroad Commissioner,0525,707,482,1189,3091,38.47%,265,858,23,16,1162
Railroad Commissioner,0526,58,84,152,780,19.49%,42,95,2,6,145
Railroad Commissioner,0527,37,40,77,574,13.41%,37,33,3,3,76
Railroad Commissioner,0528,14,12,26,90,28.89%,1,22,2,0,25
Railroad Commissioner,0529,1043,491,1534,3710,41.35%,1301,152,33,19,1505
Railroad Commissioner,0530,114,107,221,1196,18.48%,48,146,3,11,208
Railroad Commissioner,0531,363,174,537,1145,46.90%,418,96,7,3,524
Railroad Commissioner,0532,205,146,351,1048,33.49%,252,76,7,11,346
Railroad Commissioner,0533,124,108,232,1119,20.73%,129,82,8,3,222
Railroad Commissioner,0534,783,524,1,307,3837,34.06%,981,252,24,17,1274
Railroad Commissioner,0535,33,29,62,416,14.90%,28,28,2,3,61
Railroad Commissioner,0536,554,780,1,334,5139,25.96%,492,739,21,48,1300
Railroad Commissioner,0537,857,778,1635,3050,53.61%,1207,358,26,9,1600
Railroad Commissioner,0538,204,160,364,1,303,27.94%,5,337,2,11,355
Railroad Commissioner,0539,15,241,256,64,400.00%,76,154,12,3,245
Railroad Commissioner,0540,378,316,694,1567,44.29%,284,358,10,11,663
Railroad Commissioner,0541,789,505,1294,4599,28.14%,172,1045,24,24,1265
Railroad Commissioner,0542,360,382,742,2557,29.02%,45,656,6,14,721
Railroad Commissioner,0543,141,213,354,1565,22.62%,114,197,4,25,340
Railroad Commissioner,0544,36,41,77,310,24.84%,10,63,1,0,74
Railroad Commissioner,0545,596,620,1216,3629,33.51%,601,545,22,15,1183
Railroad Commissioner,0546,2,2,4,37,10.81%,1,0,2,1,4
Railroad Commissioner,0547,501,466,967,2406,40.19%,667,227,32,19,945
Railroad Commissioner,0548,286,293,579,2215,26.14%,290,250,18,9,567
Railroad Commissioner,0549,343,418,761,2663,28.58%,104,627,5,12,748
Railroad Commissioner,0550,501,431,932,3031,30.75%,525,352,21,12,910
Railroad Commissioner,0551,1288,1,394,2682,7034,38.13%,2006,538,64,27,2635
Railroad Commissioner,0552,847,883,1730,3415,50.66%,1430,231,24,13,1698
Railroad Commissioner,0553,579,529,1108,4686,23.64%,499,541,22,25,1087
Railroad Commissioner,0554,261,199,460,1757,26.18%,97,323,9,4,433
Railroad Commissioner,0555,225,277,502,2219,22.62%,107,374,7,3,491
Railroad Commissioner,0556,276,186,462,2319,19.92%,141,294,5,10,450
Railroad Commissioner,0557,455,183,638,2830,22.54%,258,289,9,19,575
Railroad Commissioner,0558,694,463,1157,4380,26.42%,392,688,31,21,1132
Railroad Commissioner,0559,641,494,1135,4969,22.84%,330,729,27,23,1109
Railroad Commissioner,0560,72,131,203,1120,18.13%,47,126,1,16,190
Railroad Commissioner,0561,362,436,798,3064,26.04%,486,265,15,16,782
Railroad Commissioner,0562,113,68,181,694,26.08%,23,148,1,5,177
Railroad Commissioner,0563,1108,376,1484,3105,47.79%,1175,240,28,10,1453
Railroad Commissioner,0564,471,426,897,3155,28.43%,222,598,28,20,868
Railroad Commissioner,0565,108,78,186,1354,13.74%,39,125,4,8,176
Railroad Commissioner,0566,418,324,742,2882,25.75%,223,468,15,22,728
Railroad Commissioner,0567,301,193,494,2238,22.07%,168,275,12,8,463
Railroad Commissioner,0568,876,685,1561,3594,43.43%,1016,433,40,21,1510
Railroad Commissioner,0569,575,667,1242,3525,35.23%,676,472,35,19,1202
Railroad Commissioner,0570,239,210,449,1562,28.75%,150,241,22,12,425
Railroad Commissioner,0571,155,149,304,1827,16.64%,115,168,4,9,296
Railroad Commissioner,0572,556,375,931,3108,29.95%,484,399,23,7,913
Railroad Commissioner,0573,290,151,441,1619,27.24%,5,421,0,7,433
Railroad Commissioner,0574,31,42,73,402,18.16%,9,62,0,2,73
Railroad Commissioner,0575,13,11,24,74,32.43%,19,2,0,2,23
Railroad Commissioner,0576,485,318,804,2734,29.41%,22,754,5,9,790
Railroad Commissioner,0577,148,88,236,608,38.82%,142,82,4,3,231
Railroad Commissioner,0578,409,538,947,1799,52.64%,581,302,27,7,917
Railroad Commissioner,0579,76,101,177,1056,16.76%,32,131,3,5,171
Railroad Commissioner,0580,179,118,297,1031,28.81%,2,283,1,3,289
Railroad Commissioner,0581,212,174,386,1032,37.40%,7,368,1,4,380
Railroad Commissioner,0582,258,171,429,1588,27.02%,18,392,1,7,418
Railroad Commissioner,0583,225,131,356,1262,28.21%,7,334,4,5,350
Railroad Commissioner,0584,182,93,275,1014,27.12%,9,258,1,3,271
Railroad Commissioner,0585,417,172,589,2511,23.46%,12,563,3,4,582
Railroad Commissioner,0586,638,680,1318,4316,30.54%,781,453,35,19,1288
Railroad Commissioner,0587,439,284,723,2598,27.83%,278,411,16,7,712
Railroad Commissioner,0588,758,674,1432,3645,39.29%,1018,335,33,19,1405
Railroad Commissioner,0589,500,386,886,3420,25.91%,480,349,23,13,865
Railroad Commissioner,0590,773,399,1172,2162,54.21%,919,203,24,5,1151
Railroad Commissioner,0591,183,231,414,2121,19.52%,114,245,8,30,397
Railroad Commissioner,0592,133,157,290,1350,21.48%,75,197,2,9,283
Railroad Commissioner,0593,544,564,1108,4380,25.30%,521,495,31,31,1078
Railroad Commissioner,0594,551,325,887,2490,35.62%,244,600,9,21,874
Railroad Commissioner,0595,201,178,379,1693,22.39%,68,291,3,10,372
Railroad Commissioner,0596,441,348,789,3007,26.24%,425,308,22,17,772
Railroad Commissioner,0597,367,394,761,3653,20.83%,316,406,16,15,753
Railroad Commissioner,0598,195,57,252,728,34.62%,202,37,3,4,246
Railroad Commissioner,0599,850,578,1428,4950,28.85%,497,858,24,22,1401
Railroad Commissioner,0600,667,429,1096,3957,27.70%,424,598,20,18,1060
Railroad Commissioner,0601,1074,756,1830,4057,45.11%,1382,359,44,12,1797
Railroad Commissioner,0602,293,235,528,1326,39.82%,384,117,14,9,524
Railroad Commissioner,0603,554,794,1678,4843,34.65%,1034,533,50,28,1645
Railroad Commissioner,0604,702,518,1220,3005,40.60%,998,166,27,7,1198
Railroad Commissioner,0605,907,556,1463,5582,26.21%,354,1042,13,31,1440
Railroad Commissioner,0606,176,70,246,937,26.25%,2,238,0,2,242
Railroad Commissioner,0607,52,51,113,728,15.52%,13,94,0,2,109
Railroad Commissioner,0608,31,47,78,537,14.53%,41,29,2,1,73
Railroad Commissioner,0609,557,680,1347,3384,39.80%,831,435,28,15,1309
Railroad Commissioner,0610,231,188,419,1927,21.74%,217,152,16,11,396
