Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0324,532,646,1178,2336,50.43%,708,373,1081
"Judge, County Probate Court No. 3",0325,289,193,482,2112,22.82%,103,355,458
"Judge, County Probate Court No. 3",0326,87,74,161,698,23.07%,82,69,151
"Judge, County Probate Court No. 3",0327,380,129,509,1729,29.44%,8,484,492
"Judge, County Probate Court No. 3",0328,151,140,291,1434,20.29%,128,147,275
"Judge, County Probate Court No. 3",0329,189,184,373,1397,26.70%,144,207,351
"Judge, County Probate Court No. 3",0330,334,253,587,1936,30.32%,327,229,556
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0332,18,7,25,138,18.12%,12,10,22
"Judge, County Probate Court No. 3",0333,524,714,1238,3021,40.98%,859,306,1165
"Judge, County Probate Court No. 3",0334,83,42,125,742,16.85%,22,98,120
"Judge, County Probate Court No. 3",0335,121,98,219,1300,16.85%,85,118,203
"Judge, County Probate Court No. 3",0336,866,624,1490,4051,36.78%,133,1317,1450
"Judge, County Probate Court No. 3",0337,124,103,227,1029,22.06%,42,174,216
"Judge, County Probate Court No. 3",0338,730,391,1121,4934,22.72%,391,653,1044
"Judge, County Probate Court No. 3",0339,202,222,424,1757,24.13%,96,298,394
"Judge, County Probate Court No. 3",0340,1038,594,1632,3765,43.35%,1217,338,1555
"Judge, County Probate Court No. 3",0341,91,167,258,1290,20.00%,87,162,249
"Judge, County Probate Court No. 3",0342,675,605,1280,6526,19.61%,213,1032,1245
"Judge, County Probate Court No. 3",0343,189,271,460,1964,23.42%,139,293,432
"Judge, County Probate Court No. 3",0344,154,172,326,1160,28.10%,14,293,307
"Judge, County Probate Court No. 3",0345,156,165,321,1804,17.79%,96,206,302
"Judge, County Probate Court No. 3",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Probate Court No. 3",0347,592,436,1028,3387,30.35%,689,300,989
"Judge, County Probate Court No. 3",0348,438,208,646,1708,37.82%,494,119,613
"Judge, County Probate Court No. 3",0349,188,267,455,1349,33.73%,280,150,430
"Judge, County Probate Court No. 3",0350,524,526,1050,2909,36.09%,395,562,957
"Judge, County Probate Court No. 3",0351,1491,710,2201,4712,46.71%,1725,390,2115
"Judge, County Probate Court No. 3",0352,520,339,859,3205,26.80%,632,194,826
"Judge, County Probate Court No. 3",0353,665,451,1116,3862,28.90%,205,876,1081
"Judge, County Probate Court No. 3",0354,715,338,1053,3388,31.08%,264,752,1016
"Judge, County Probate Court No. 3",0355,301,264,565,1560,36.22%,51,498,549
"Judge, County Probate Court No. 3",0356,594,538,1132,2972,38.09%,727,349,1076
"Judge, County Probate Court No. 3",0357,837,575,1412,3517,40.15%,1027,335,1362
"Judge, County Probate Court No. 3",0358,212,254,466,2492,18.70%,53,397,450
"Judge, County Probate Court No. 3",0359,234,224,458,3061,14.96%,60,384,444
"Judge, County Probate Court No. 3",0360,522,380,902,2146,42.03%,439,379,818
"Judge, County Probate Court No. 3",0361,41,295,336,1673,20.08%,50,243,293
"Judge, County Probate Court No. 3",0362,1138,887,2025,5086,39.82%,1486,429,1915
"Judge, County Probate Court No. 3",0363,620,412,1032,3677,28.07%,474,526,1000
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0364,488,405,893,2658,33.60%,514,335,849
"Judge, County Probate Court No. 3",0365,478,231,709,1305,54.33%,55,636,691
"Judge, County Probate Court No. 3",0366,252,270,522,2454,21.27%,144,364,508
"Judge, County Probate Court No. 3",0367,170,138,308,1130,27.26%,68,232,300
"Judge, County Probate Court No. 3",0368,178,88,266,958,27.77%,71,185,256
"Judge, County Probate Court No. 3",0369,32,29,61,559,10.91%,18,41,59
"Judge, County Probate Court No. 3",0370,1532,1105,2637,6593,40.00%,1997,543,2540
"Judge, County Probate Court No. 3",0371,122,52,174,502,34.66%,7,161,168
"Judge, County Probate Court No. 3",0372,221,170,391,1224,31.94%,50,323,373
"Judge, County Probate Court No. 3",0373,21,12,33,157,21.02%,3,28,31
"Judge, County Probate Court No. 3",0374,65,93,158,738,21.41%,58,92,150
"Judge, County Probate Court No. 3",0375,254,220,474,2645,17.92%,241,195,436
"Judge, County Probate Court No. 3",0376,278,205,483,1910,25.29%,217,243,460
"Judge, County Probate Court No. 3",0377,525,583,1109,2920,37.98%,807,240,1047
"Judge, County Probate Court No. 3",0378,232,354,586,1829,32.04%,369,188,557
"Judge, County Probate Court No. 3",0379,431,289,720,2027,35.52%,69,629,698
"Judge, County Probate Court No. 3",0380,1299,995,2294,5666,40.49%,1256,953,2209
"Judge, County Probate Court No. 3",0381,412,248,660,2855,23.12%,315,317,632
"Judge, County Probate Court No. 3",0382,132,157,289,922,31.34%,217,63,280
"Judge, County Probate Court No. 3",0383,289,263,552,2173,25.40%,229,300,529
"Judge, County Probate Court No. 3",0384,573,373,946,2657,35.60%,188,716,904
"Judge, County Probate Court No. 3",0385,583,670,1253,2207,56.77%,924,249,1173
"Judge, County Probate Court No. 3",0386,662,469,1131,2922,38.71%,826,253,1079
"Judge, County Probate Court No. 3",0387,555,672,1227,3935,31.18%,895,294,1189
"Judge, County Probate Court No. 3",0388,1430,1010,2440,6888,35.42%,1412,947,2359
"Judge, County Probate Court No. 3",0389,91,208,299,1026,29.14%,43,231,274
"Judge, County Probate Court No. 3",0390,356,263,619,1480,41.82%,78,517,595
"Judge, County Probate Court No. 3",0391,508,260,768,1883,40.79%,472,256,728
"Judge, County Probate Court No. 3",0392,387,155,542,1446,37.48%,7,523,530
"Judge, County Probate Court No. 3",0393,165,185,350,1292,27.09%,171,169,340
"Judge, County Probate Court No. 3",0394,69,73,142,834,17.03%,74,61,135
"Judge, County Probate Court No. 3",0395,469,404,873,1846,47.29%,614,209,823
"Judge, County Probate Court No. 3",0396,622,216,838,2082,40.25%,16,798,814
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0397,86,78,164,760,21,58%,79,79,158
"Judge, County Probate Court No. 3",0398,615,521,1136,4022,28.24%,610,492,1102
"Judge, County Probate Court No. 3",0399,402,366,768,2791,27.52%,419,321,740
"Judge, County Probate Court No. 3",0400,520,359,979,2411,40.61%,717,213,930
"Judge, County Probate Court No. 3",0401,330,205,535,1913,27.97%,21,497,518
"Judge, County Probate Court No. 3",0402,466,266,732,1794,40.80%,36,676,712
"Judge, County Probate Court No. 3",0403,475,498,973,1715,56.73%,505,371,876
"Judge, County Probate Court No. 3",0404,419,330,749,2585,28.97%,439,277,716
"Judge, County Probate Court No. 3",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0406,137,67,204,628,32.48%,3,195,198
"Judge, County Probate Court No. 3",0407,688,793,1481,3769,39.29%,989,407,1396
"Judge, County Probate Court No. 3",0408,146,153,299,1691,17.68%,142,143,285
"Judge, County Probate Court No. 3",0409,122,149,271,1459,18.57%,111,149,260
"Judge, County Probate Court No. 3",0410,132,80,212,899,23.58%,44,155,199
"Judge, County Probate Court No. 3",0411,235,200,435,2339,18.60%,163,247,410
"Judge, County Probate Court No. 3",0412,74,44,118,468,25.21%,7,105,112
"Judge, County Probate Court No. 3",0413,767,386,1153,2992,38.54%,467,632,1099
"Judge, County Probate Court No. 3",0414,654,480,1134,3453,32.84%,873,213,1086
"Judge, County Probate Court No. 3",0415,539,598,1137,2203,51.61%,751,328,1079
"Judge, County Probate Court No. 3",0416,538,558,1096,3791,28.91%,616,434,1050
"Judge, County Probate Court No. 3",0417,353,385,738,2448,30.15%,378,328,706
"Judge, County Probate Court No. 3",0418,403,469,872,3584,24.33%,368,461,829
"Judge, County Probate Court No. 3",0419,571,324,895,2658,33.67%,599,255,854
"Judge, County Probate Court No. 3",0420,1036,874,1910,4762,40.11%,1559,265,1824
"Judge, County Probate Court No. 3",0421,35,37,73,410,17.80%,24,44,68
"Judge, County Probate Court No. 3",0422,731,402,1133,3345,33.87%,28,1080,1108
"Judge, County Probate Court No. 3",0423,108,120,228,1376,16.57%,77,142,219
"Judge, County Probate Court No. 3",0424,240,111,351,967,36.30%,199,131,330
"Judge, County Probate Court No. 3",0425,107,123,230,883,26.05%,88,134,222
"Judge, County Probate Court No. 3",0426,260,183,443,1218,36.37%,258,158,416
"Judge, County Probate Court No. 3",0427,179,134,313,1092,28.66%,134,156,290
"Judge, County Probate Court No. 3",0428,619,421,1040,4538,22.92%,331,628,959
"Judge, County Probate Court No. 3",0429,445,314,759,3197,23.74%,217,498,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0430,161,133,294,1657,17.74%,87,193,280
"Judge, County Probate Court No. 3",0431,327,84,411,3417,12.03%,150,240,390
"Judge, County Probate Court No. 3",0432,123,157,280,1455,19.24%,108,161,269
"Judge, County Probate Court No. 3",0433,50,63,113,581,19.45%,28,79,107
"Judge, County Probate Court No. 3",0434,370,289,659,1503,43.85%,402,216,618
"Judge, County Probate Court No. 3",0435,855,636,1491,3252,45.85%,934,469,1403
"Judge, County Probate Court No. 3",0436,629,531,1160,2933,39.55%,705,381,1086
"Judge, County Probate Court No. 3",0437,521,512,1033,2033,50.81%,701,263,964
"Judge, County Probate Court No. 3",0438,617,389,1006,1861,54.06%,723,209,932
"Judge, County Probate Court No. 3",0439,710,884,1594,3554,44.85%,1115,376,1491
"Judge, County Probate Court No. 3",0440,664,858,1522,2930,51.95%,1161,259,1420
"Judge, County Probate Court No. 3",0441,345,420,765,1669,45.84%,572,144,716
"Judge, County Probate Court No. 3",0442,612,574,1186,2575,46.06%,964,173,1137
"Judge, County Probate Court No. 3",0443,226,138,364,646,56.35%,244,93,337
"Judge, County Probate Court No. 3",0444,687,583,1270,3262,38.93%,791,398,1189
"Judge, County Probate Court No. 3",0445,499,348,847,2026,41.81%,558,242,800
"Judge, County Probate Court No. 3",0446,31,22,53,291,18.21%,26,23,49
"Judge, County Probate Court No. 3",0447,93,86,179,637,28.10%,49,118,167
"Judge, County Probate Court No. 3",0448,590,778,1368,3138,43.59%,744,522,1266
"Judge, County Probate Court No. 3",0449,12,23,35,198,17.68%,4,31,35
"Judge, County Probate Court No. 3",0450,435,328,763,2635,28.96%,229,499,728
"Judge, County Probate Court No. 3",0451,1002,510,1512,2687,56.27%,1200,224,1424
"Judge, County Probate Court No. 3",0452,554,444,998,3048,32.74%,736,229,965
"Judge, County Probate Court No. 3",0453,231,262,493,1937,25.45%,203,265,468
"Judge, County Probate Court No. 3",0454,594,248,842,2561,32.88%,12,812,824
"Judge, County Probate Court No. 3",0455,367,165,532,1689,31.50%,22,503,525
"Judge, County Probate Court No. 3",0456,482,362,844,3513,24.03%,497,321,818
"Judge, County Probate Court No. 3",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0458,471,237,708,1924,36.80%,34,648,682
"Judge, County Probate Court No. 3",0459,951,474,1425,3021,47.17%,1122,247,1369
"Judge, County Probate Court No. 3",0460,554,331,885,2837,31.19%,236,625,861
"Judge, County Probate Court No. 3",0461,1165,735,1900,3871,49.08%,1281,485,1766
"Judge, County Probate Court No. 3",0462,674,619,1293,3384,38.21%,459,762,1221
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0463,480,404,884,3326,26.58%,404,446,850
"Judge, County Probate Court No. 3",0464,356,430,786,2257,34.82%,559,196,755
"Judge, County Probate Court No. 3",0465,687,520,1207,3564,33.87%,680,484,1164
"Judge, County Probate Court No. 3",0466,1058,614,1672,4184,39.96%,969,643,1612
"Judge, County Probate Court No. 3",0467,213,189,402,1270,31.65%,102,291,393
"Judge, County Probate Court No. 3",0468,352,443,795,3598,22.10%,246,514,760
"Judge, County Probate Court No. 3",0469,1294,547,1841,3985,46.20%,1433,319,1752
"Judge, County Probate Court No. 3",0470,185,176,361,1326,27.22%,268,73,341
"Judge, County Probate Court No. 3",0471,375,380,755,2387,31.63%,610,121,731
"Judge, County Probate Court No. 3",0472,198,278,476,1081,44.03%,181,251,432
"Judge, County Probate Court No. 3",0473,599,391,990,1806,54.82%,675,259,934
"Judge, County Probate Court No. 3",0474,559,588,1147,3037,37.77%,794,306,1100
"Judge, County Probate Court No. 3",0475,189,267,456,1809,25.21%,217,217,434
"Judge, County Probate Court No. 3",0476,404,473,877,2430,36.09%,500,341,841
"Judge, County Probate Court No. 3",0477,737,567,1304,3505,37.20%,987,261,1248
"Judge, County Probate Court No. 3",0478,958,657,1615,4461,36.20%,1076,459,1535
"Judge, County Probate Court No. 3",0479,638,612,1250,2714,46.06%,919,278,1197
"Judge, County Probate Court No. 3",0480,493,450,943,2415,39.05%,675,224,899
"Judge, County Probate Court No. 3",0481,770,623,1393,3482,40.01%,1062,268,1330
"Judge, County Probate Court No. 3",0482,878,630,1508,4373,34.48%,1092,364,1456
"Judge, County Probate Court No. 3",0483,1042,478,1520,4308,35.28%,877,579,1456
"Judge, County Probate Court No. 3",0484,1107,930,2037,4979,40.91%,1464,500,1964
"Judge, County Probate Court No. 3",0485,1095,911,2006,5388,37.23%,1563,384,1947
"Judge, County Probate Court No. 3",0486,873,855,1728,3866,44.70%,1339,312,1651
"Judge, County Probate Court No. 3",0487,570,294,864,3860,22.38%,317,477,794
"Judge, County Probate Court No. 3",0488,268,254,522,1719,30.37%,193,283,476
"Judge, County Probate Court No. 3",0489,350,290,640,1893,33.81%,214,391,605
"Judge, County Probate Court No. 3",0490,444,368,812,1975,41.11%,293,485,778
"Judge, County Probate Court No. 3",0491,314,372,686,1888,36.33%,407,242,649
"Judge, County Probate Court No. 3",0492,556,410,966,2335,41.37%,575,341,916
"Judge, County Probate Court No. 3",0493,479,322,801,1853,43.23%,540,206,746
"Judge, County Probate Court No. 3",0494,381,247,628,2467,25.46%,80,531,611
"Judge, County Probate Court No. 3",0495,522,523,1045,2375,44.00%,748,225,973
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0496,190,315,505,2160,23.38%,201,285,486
"Judge, County Probate Court No. 3",0497,526,243,769,2257,34.07%,26,722,748
"Judge, County Probate Court No. 3",0498,363,323,686,2297,29.87%,309,359,668
"Judge, County Probate Court No. 3",0499,750,518,1268,2326,54.51%,901,285,1186
"Judge, County Probate Court No. 3",0500,729,715,1444,3507,41.17%,999,389,1388
"Judge, County Probate Court No. 3",0501,341,417,758,1801,42.09%,267,435,702
"Judge, County Probate Court No. 3",0502,477,350,827,2501,33.07%,675,123,798
"Judge, County Probate Court No. 3",0503,174,116,290,1374,21.11%,110,160,270
"Judge, County Probate Court No. 3",0504,524,527,1151,2288,50.31%,722,358,1080
"Judge, County Probate Court No. 3",0505,531,562,1193,3773,31.62%,541,562,1103
"Judge, County Probate Court No. 3",0506,665,670,1335,3502,38.12%,235,1051,1286
"Judge, County Probate Court No. 3",0507,221,149,370,2452,15.09%,76,227,303
"Judge, County Probate Court No. 3",0508,492,412,904,3287,27.50%,352,481,833
"Judge, County Probate Court No. 3",0509,753,596,1349,3732,36.15%,945,330,1275
"Judge, County Probate Court No. 3",0510,687,514,1201,3590,33.45%,597,551,1148
"Judge, County Probate Court No. 3",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 3",0512,602,660,1262,5057,24.96%,621,606,1227
"Judge, County Probate Court No. 3",0513,1019,487,1506,2894,52.04%,1126,302,1428
"Judge, County Probate Court No. 3",0514,953,720,1673,4275,39.13%,1269,333,1602
"Judge, County Probate Court No. 3",0515,942,683,1625,3455,47.03%,1305,246,1551
"Judge, County Probate Court No. 3",0516,1000,800,1800,5356,33.61%,959,751,1710
"Judge, County Probate Court No. 3",0517,481,256,737,2954,24.95%,424,287,711
"Judge, County Probate Court No. 3",0518,635,693,1328,3943,33.68%,869,400,1269
"Judge, County Probate Court No. 3",0519,623,493,1116,2966,37.63%,833,242,1075
"Judge, County Probate Court No. 3",0520,473,457,930,4580,20.31%,174,730,904
"Judge, County Probate Court No. 3",0521,471,464,935,2866,32.62%,509,392,901
"Judge, County Probate Court No. 3",0522,715,572,1255,2689,47.90%,991,244,1235
"Judge, County Probate Court No. 3",0523,751,415,1166,3052,38.20%,784,326,1110
"Judge, County Probate Court No. 3",0524,567,459,1026,3410,30.09%,350,636,986
"Judge, County Probate Court No. 3",0525,707,482,1189,3091,38.47%,266,866,1132
"Judge, County Probate Court No. 3",0526,68,84,152,780,19.49%,45,96,141
"Judge, County Probate Court No. 3",0527,37,40,77,574,13.41%,42,33,75
"Judge, County Probate Court No. 3",0528,14,12,26,90,28.89%,3,22,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0529,1043,491,1534,3710,41.35%,1313,157,1470
"Judge, County Probate Court No. 3",0530,114,107,221,1196,18.48%,56,149,205
"Judge, County Probate Court No. 3",0531,363,174,537,1145,46.90%,415,96,511
"Judge, County Probate Court No. 3",0532,205,146,351,1048,33.49%,259,81,340
"Judge, County Probate Court No. 3",0533,124,108,232,1119,20.73%,135,84,219
"Judge, County Probate Court No. 3",0534,783,524,1,307,3837,34.06%,990,254,1244
"Judge, County Probate Court No. 3",0535,33,29,62,416,14.90%,31,29,60
"Judge, County Probate Court No. 3",0536,554,780,1334,5139,25.96%,548,738,1286
"Judge, County Probate Court No. 3",0537,855,778,1633,3050,53.54%,1199,361,1560
"Judge, County Probate Court No. 3",0538,204,160,364,1303,27.94%,8,349,357
"Judge, County Probate Court No. 3",0539,15,241,256,64,400.00%,75,162,237
"Judge, County Probate Court No. 3",0540,378,316,694,1567,44.29%,252,380,632
"Judge, County Probate Court No. 3",0541,784,505,1289,4599,28.03%,182,1042,1224
"Judge, County Probate Court No. 3",0542,360,382,742,2557,29.02%,46,667,713
"Judge, County Probate Court No. 3",0543,141,213,354,1565,22.62%,124,208,332
"Judge, County Probate Court No. 3",0544,35,41,77,310,24.84%,10,66,76
"Judge, County Probate Court No. 3",0545,596,620,1216,3629,33.51%,617,551,1168
"Judge, County Probate Court No. 3",0546,2,2,4,37,10.81%,3,0,3
"Judge, County Probate Court No. 3",0547,501,466,967,2406,40.19%,681,241,922
"Judge, County Probate Court No. 3",0548,286,293,579,2215,26.14%,306,258,564
"Judge, County Probate Court No. 3",0549,343,418,761,2663,28.58%,113,633,746
"Judge, County Probate Court No. 3",0550,501,431,932,3031,30.75%,536,362,898
"Judge, County Probate Court No. 3",0551,1288,1394,2682,7034,38.13%,2025,573,2598
"Judge, County Probate Court No. 3",0552,847,883,1730,3415,50.66%,1428,242,1670
"Judge, County Probate Court No. 3",0553,578,529,1107,4686,23.62%,515,555,1070
"Judge, County Probate Court No. 3",0554,261,199,460,1757,26.18%,99,328,427
"Judge, County Probate Court No. 3",0555,225,277,502,2219,22.62%,110,371,481
"Judge, County Probate Court No. 3",0556,276,186,462,2319,19.92%,144,302,446
"Judge, County Probate Court No. 3",0557,455,183,638,2830,22.54%,268,292,560
"Judge, County Probate Court No. 3",0558,693,463,1156,4380,26.39%,426,683,1109
"Judge, County Probate Court No. 3",0559,640,494,1134,4969,22.82%,346,744,1090
"Judge, County Probate Court No. 3",0560,72,131,203,1120,18.13%,51,137,188
"Judge, County Probate Court No. 3",0561,362,436,798,3064,26.04%,478,279,757
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0562,113,68,181,694,26.08%,26,152,178
"Judge, County Probate Court No. 3",0563,1107,376,1483,3105,47.76%,1157,256,1413
"Judge, County Probate Court No. 3",0564,470,426,896,3155,28.40%,236,613,849
"Judge, County Probate Court No. 3",0565,108,78,186,1354,13.74%,44,128,172
"Judge, County Probate Court No. 3",0566,417,324,741,2882,25.71%,235,484,719
"Judge, County Probate Court No. 3",0567,301,193,494,2238,22.07%,163,289,452
"Judge, County Probate Court No. 3",0568,876,685,1561,3594,43.43%,1017,444,1461
"Judge, County Probate Court No. 3",0569,572,667,1239,3525,35.15%,638,521,1159
"Judge, County Probate Court No. 3",0570,238,210,448,1562,28.68%,148,265,413
"Judge, County Probate Court No. 3",0571,155,149,304,1827,16.64%,126,169,295
"Judge, County Probate Court No. 3",0572,555,375,930,3108,29.92%,476,407,883
"Judge, County Probate Court No. 3",0573,290,151,441,1619,27.24%,6,431,437
"Judge, County Probate Court No. 3",0574,31,42,73,402,18.16%,10,61,71
"Judge, County Probate Court No. 3",0575,13,11,24,74,32.43%,19,4,23
"Judge, County Probate Court No. 3",0576,485,318,803,2734,29.37%,25,762,787
"Judge, County Probate Court No. 3",0577,147,88,235,608,38.65%,143,81,224
"Judge, County Probate Court No. 3",0578,409,538,947,1799,52.64%,565,326,891
"Judge, County Probate Court No. 3",0579,75,101,176,1056,16.67%,35,133,168
"Judge, County Probate Court No. 3",0580,179,118,297,1031,28.81%,4,282,286
"Judge, County Probate Court No. 3",0581,212,174,386,1032,37.40%,8,365,373
"Judge, County Probate Court No. 3",0582,258,171,429,1588,27.02%,20,398,418
"Judge, County Probate Court No. 3",0583,225,131,356,1262,28.21%,10,336,346
"Judge, County Probate Court No. 3",0584,182,93,275,1014,27.12%,13,259,272
"Judge, County Probate Court No. 3",0585,417,172,589,2511,23.46%,16,558,574
"Judge, County Probate Court No. 3",0586,638,680,1318,4316,30.54%,807,459,1266
"Judge, County Probate Court No. 3",0587,436,284,720,2598,27.71%,283,412,695
"Judge, County Probate Court No. 3",0588,758,674,1432,3645,39.29%,1024,355,1379
"Judge, County Probate Court No. 3",0589,500,386,886,3420,25.91%,491,363,854
"Judge, County Probate Court No. 3",0590,772,399,1171,2162,54.16%,893,235,1128
"Judge, County Probate Court No. 3",0591,183,231,414,2121,19.52%,129,266,395
"Judge, County Probate Court No. 3",0592,133,157,290,1350,21.48%,77,198,275
"Judge, County Probate Court No. 3",0593,543,564,1107,4380,25.27%,544,506,1050
"Judge, County Probate Court No. 3",0594,561,326,887,2490,35.62%,249,610,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0595,201,178,379,1693,22.39%,67,303,370
"Judge, County Probate Court No. 3",0596,441,348,789,3007,26.24%,433,327,760
"Judge, County Probate Court No. 3",0597,367,394,761,3653,20.83%,337,411,748
"Judge, County Probate Court No. 3",0598,195,57,252,728,34.62%,207,38,245
"Judge, County Probate Court No. 3",0599,850,578,1428,4950,28.85%,516,866,1382
"Judge, County Probate Court No. 3",0600,667,429,1096,3957,27.70%,447,593,1040
"Judge, County Probate Court No. 3",0601,1073,756,1829,4057,45.08%,1383,379,1762
"Judge, County Probate Court No. 3",0602,293,235,528,1326,39.82%,383,128,511
"Judge, County Probate Court No. 3",0603,884,794,1678,4843,34.65%,1082,553,1635
"Judge, County Probate Court No. 3",0604,702,518,1220,3005,40.60%,1013,165,1178
"Judge, County Probate Court No. 3",0605,907,556,1463,5582,26.21%,373,1048,1421
"Judge, County Probate Court No. 3",0606,176,70,246,937,26.25%,4,235,239
"Judge, County Probate Court No. 3",0607,62,51,113,728,15.52%,13,95,108
"Judge, County Probate Court No. 3",0608,31,47,78,537,14.53%,45,27,72
"Judge, County Probate Court No. 3",0609,557,680,1347,3384,39.80%,828,443,1271
"Judge, County Probate Court No. 3",0610,231,188,419,1927,21.74%,218,163,381
"Judge, County Probate Court No. 3",0611,495,242,737,2488,29.62%,24,702,726
"Judge, County Probate Court No. 3",0612,996,497,1493,3307,45.15%,1114,296,1410
"Judge, County Probate Court No. 3",0613,186,204,390,1554,25.10%,68,309,377
"Judge, County Probate Court No. 3",0614,737,566,1303,4207,30.97%,506,746,1252
"Judge, County Probate Court No. 3",0615,480,299,779,1967,39.60%,494,262,756
"Judge, County Probate Court No. 3",0616,739,663,1402,3436,40.80%,986,363,1349
"Judge, County Probate Court No. 3",0617,541,393,934,3809,24.52%,392,516,908
"Judge, County Probate Court No. 3",0618,946,567,1513,6003,25.20%,766,697,1463
"Judge, County Probate Court No. 3",0619,1219,803,2022,4297,47.06%,1495,424,1919
"Judge, County Probate Court No. 3",0620,689,264,953,2897,32.90%,597,312,909
"Judge, County Probate Court No. 3",0621,154,101,255,1133,22.51%,134,109,243
"Judge, County Probate Court No. 3",0622,881,524,1405,4403,31.91,%,870,485,1355
"Judge, County Probate Court No. 3",0623,887,487,1374,3691,37.23%,920,383,1303
"Judge, County Probate Court No. 3",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Probate Court No. 3",0625,477,362,839,1820,46.10%,474,307,781
"Judge, County Probate Court No. 3",0626,581,440,1021,2861,35.69%,554,406,960
"Judge, County Probate Court No. 3",0627,346,322,668,3049,21.91%,244,393,637
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0628,152,219,371,1675,22.15%,195,163,358
"Judge, County Probate Court No. 3",0629,37,53,90,696,12.93%,17,72,89
"Judge, County Probate Court No. 3",0630,974,600,1574,3905,40.31%,124,1402,1526
"Judge, County Probate Court No. 3",0631,822,404,1226,2846,43.08%,893,284,1177
"Judge, County Probate Court No. 3",0632,7,4,11,343,3.21%,2,9,11
"Judge, County Probate Court No. 3",0633,943,731,1674,3559,47.04%,1192,415,1607
"Judge, County Probate Court No. 3",0634,458,442,900,3029,29.71%,598,272,870
"Judge, County Probate Court No. 3",0635,743,485,1228,3393,36.19%,925,262,1187
"Judge, County Probate Court No. 3",0636,835,874,1710,4140,41.30%,1483,170,1653
"Judge, County Probate Court No. 3",0637,409,362,771,2512,30.69%,189,531,720
"Judge, County Probate Court No. 3",0638,304,245,549,2204,24.91%,44,482,526
"Judge, County Probate Court No. 3",0639,549,547,1096,2526,43.39%,878,170,1048
"Judge, County Probate Court No. 3",0640,641,459,1100,3733,29.47%,697,363,1060
"Judge, County Probate Court No. 3",0641,649,596,1245,3650,34.11%,836,360,1196
"Judge, County Probate Court No. 3",0642,471,394,865,1764,49.04%,685,133,818
"Judge, County Probate Court No. 3",0643,934,653,1587,5945,26.69%,632,901,1533
"Judge, County Probate Court No. 3",0644,1019,823,1842,5523,33.35%,1224,536,1760
"Judge, County Probate Court No. 3",0645,654,594,1248,4185,29.82%,675,517,1192
"Judge, County Probate Court No. 3",0646,364,287,651,2220,29.32%,209,402,611
"Judge, County Probate Court No. 3",0647,904,470,1374,6084,22.58%,399,856,1255
"Judge, County Probate Court No. 3",0648,838,579,1417,3367,42.08%,1020,344,1364
"Judge, County Probate Court No. 3",0649,687,434,1121,4576,24.50%,367,672,1039
"Judge, County Probate Court No. 3",0650,906,766,1672,3888,43.00%,1208,383,1591
"Judge, County Probate Court No. 3",0651,963,766,1729,5128,33.72%,1118,533,1651
