Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0075,254,280,534,1444,36.98%,196,304,500
"Judge, County Probate Court No. 3",0076,373,374,747,2362,31.63%,436,276,712
"Judge, County Probate Court No. 3",0077,43,46,89,566,15.72%,23,63,86
"Judge, County Probate Court No. 3",0078,180,201,381,1522,25.03%,138,222,360
"Judge, County Probate Court No. 3",0079,205,306,511,2927,17.46%,133,332,465
"Judge, County Probate Court No. 3",0080,501,351,852,2725,31.27%,216,594,810
"Judge, County Probate Court No. 3",0081,183,187,370,1835,20.16%,145,204,349
"Judge, County Probate Court No. 3",0082,639,671,1310,3368,38.90%,986,285,1271
"Judge, County Probate Court No. 3",0083,1296,888,2184,6625,32.97%,1064,1037,2101
"Judge, County Probate Court No. 3",0084,208,218,426,1373,31.03%,312,97,409
"Judge, County Probate Court No. 3",0085,271,248,519,2173,23.88%,23,485,508
"Judge, County Probate Court No. 3",0086,447,568,1015,2910,34.88%,447,503,950
"Judge, County Probate Court No. 3",0087,574,787,1461,2818,51.85%,859,489,1348
"Judge, County Probate Court No. 3",0088,123,118,241,693,34.78%,154,72,226
"Judge, County Probate Court No. 3",0089,165,371,536,1094,48.99%,279,208,487
"Judge, County Probate Court No. 3",0090,844,790,1634,3700,44.16%,1171,390,1561
"Judge, County Probate Court No. 3",0091,219,222,441,1505,29.30%,267,156,423
"Judge, County Probate Court No. 3",0092,695,462,1157,2242,51.61%,745,338,1083
"Judge, County Probate Court No. 3",0093,381,301,682,3356,20.32%,278,358,636
"Judge, County Probate Court No. 3",0094,51,43,94,549,17.12%,28,63,91
"Judge, County Probate Court No. 3",0095,917,576,1493,3177,46.99%,1056,365,1421
"Judge, County Probate Court No. 3",0096,83,83,166,1296,12.81%,23,141,164
"Judge, County Probate Court No. 3",0097,1024,725,1749,4828,36.23%,1297,386,1683
"Judge, County Probate Court No. 3",0098,403,488,891,2651,33.61%,735,122,857
"Judge, County Probate Court No. 3",0099,254,184,438,2092,20.94%,212,209,421
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rory Robert Olsen,DEM Jerry Simoneaux,Totals
"Judge, County Probate Court No. 3",0100,155,173,338,1730,19.54%,184,145,329
"Judge, County Probate Court No. 3",0101,72,58,130,946,13.74%,49,79,128
"Judge, County Probate Court No. 3",0102,207,121,328,1872,17.52%,91,223,314
"Judge, County Probate Court No. 3",0103,700,714,1414,5371,26.33%,810,557,1367
"Judge, County Probate Court No. 3",0104,530,231,761,1905,39.95%,19,725,744
"Judge, County Probate Court No. 3",0105,195,210,406,2165,18.75%,132,240,372
"Judge, County Probate Court No. 3",0106,15,7,25,294,8.50%,15,9,24
"Judge, County Probate Court No. 3",0107,154,197,351,2032,17.27%,57,275,332
"Judge, County Probate Court No. 3",0108,558,272,940,3365,27.93%,571,333,904
"Judge, County Probate Court No. 3",0109,529,245,774,2824,27.41%,11,744,755
"Judge, County Probate Court No. 3",0110,554,494,1148,3042,37.74%,741,366,1107
"Judge, County Probate Court No. 3",0111,815,795,1611,4102,39.27%,1170,362,1532
"Judge, County Probate Court No. 3",0112,542,485,1027,2976,34.51%,759,219,978
"Judge, County Probate Court No. 3",0113,552,429,991,2647,37.44%,593,350,943
"Judge, County Probate Court No. 3",0114,707,547,1254,3311,37.87%,1011,210,1221
