Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0317,248,209,457,1588,28.78%,147,289,436
"Family District Judge, 311th Judicial District",0318,834,568,1402,3660,38.31%,78,1280,1358
"Family District Judge, 311th Judicial District",0319,512,230,742,2158,34.38%,47,673,720
"Family District Judge, 311th Judicial District",0320,234,168,402,1537,26.15%,208,178,386
"Family District Judge, 311th Judicial District",0321,262,191,453,2346,19.31%,166,257,423
"Family District Judge, 311th Judicial District",0322,181,129,310,1226,25.29%,102,196,298
"Family District Judge, 311th Judicial District",0323,278,211,489,1722,28.40%,233,228,461
"Family District Judge, 311th Judicial District",0324,532,646,1178,2336,50.43%,699,389,1088
"Family District Judge, 311th Judicial District",0325,289,193,482,2112,22.82%,106,358,464
"Family District Judge, 311th Judicial District",0326,87,74,161,698,23.07%,85,68,153
"Family District Judge, 311th Judicial District",0327,380,129,509,1729,29.44%,11,484,495
"Family District Judge, 311th Judicial District",0328,151,140,291,1434,20.29%,127,153,280
"Family District Judge, 311th Judicial District",0329,189,184,373,1397,26.70%,142,210,352
"Family District Judge, 311th Judicial District",0330,334,253,587,1936,30.32%,327,228,555
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0332,18,7,25,138,18.12%,11,11,22
"Family District Judge, 311th Judicial District",0333,524,714,1238,3021,40.98%,859,316,1175
"Family District Judge, 311th Judicial District",0334,83,42,125,742,16.85%,21,100,121
"Family District Judge, 311th Judicial District",0335,121,98,219,1300,16.85%,80,121,201
"Family District Judge, 311th Judicial District",0336,866,624,1490,4051,36.78%,135,1321,1456
"Family District Judge, 311th Judicial District",0337,124,103,227,1029,22.06%,42,174,216
"Family District Judge, 311th Judicial District",0338,730,391,1121,4934,22.72%,381,663,1044
"Family District Judge, 311th Judicial District",0339,202,222,424,1757,24.13%,97,299,396
"Family District Judge, 311th Judicial District",0340,1038,594,1632,3765,43.35%,1221,338,1559
"Family District Judge, 311th Judicial District",0341,91,167,258,1290,20.00%,89,160,249
"Family District Judge, 311th Judicial District",0342,675,605,1280,6526,19.61%,217,1030,1247
"Family District Judge, 311th Judicial District",0343,189,271,460,1964,23.42%,135,294,429
"Family District Judge, 311th Judicial District",0344,154,172,326,1160,28.10%,12,299,311
"Family District Judge, 311th Judicial District",0345,156,165,321,1804,17.79%,97,207,304
"Family District Judge, 311th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"Family District Judge, 311th Judicial District",0347,592,436,1028,3387,30.35%,684,308,992
"Family District Judge, 311th Judicial District",0348,438,208,646,1708,37.82%,495,121,616
"Family District Judge, 311th Judicial District",0349,188,267,455,1349,33.73%,278,152,430
"Family District Judge, 311th Judicial District",0350,524,526,1050,2909,36.09%,388,580,968
"Family District Judge, 311th Judicial District",0351,1491,710,2201,4712,46.71%,1718,402,2120
"Family District Judge, 311th Judicial District",0352,520,339,859,3205,26.80%,628,195,823
"Family District Judge, 311th Judicial District",0353,665,451,1116,3862,28.90%,209,874,1083
"Family District Judge, 311th Judicial District",0354,715,338,1053,3388,31.08%,266,754,1020
"Family District Judge, 311th Judicial District",0355,301,264,565,1560,36.22%,52,497,549
"Family District Judge, 311th Judicial District",0356,594,538,1132,2972,38.09%,719,356,1075
"Family District Judge, 311th Judicial District",0357,837,575,1412,3517,40.15%,1023,340,1363
"Family District Judge, 311th Judicial District",0358,212,254,466,2492,18.70%,53,403,456
"Family District Judge, 311th Judicial District",0359,234,224,458,3061,14.96%,60,386,446
"Family District Judge, 311th Judicial District",0360,522,380,902,2146,42.03%,435,391,826
"Family District Judge, 311th Judicial District",0361,41,295,336,1673,20.08%,48,247,295
"Family District Judge, 311th Judicial District",0362,1138,887,2025,5086,39.82%,1479,453,1932
"Family District Judge, 311th Judicial District",0363,620,412,1032,3677,28.07%,470,535,1005
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0364,488,405,893,2658,33.60%,513,339,852
"Family District Judge, 311th Judicial District",0365,478,231,709,1305,54.33%,55,637,692
"Family District Judge, 311th Judicial District",0366,252,270,522,2454,21.27%,139,366,505
"Family District Judge, 311th Judicial District",0367,170,138,308,1130,27.26%,72,230,302
"Family District Judge, 311th Judicial District",0368,178,88,266,958,27.77%,75,181,256
"Family District Judge, 311th Judicial District",0369,32,29,61,559,10.91%,17,42,59
"Family District Judge, 311th Judicial District",0370,1532,1105,2637,6593,40.00%,1995,556,2551
"Family District Judge, 311th Judicial District",0371,122,52,174,502,34.66%,8,162,170
"Family District Judge, 311th Judicial District",0372,221,170,391,1224,31.94%,51,327,378
"Family District Judge, 311th Judicial District",0373,21,12,33,157,21.02%,2,29,31
"Family District Judge, 311th Judicial District",0374,65,93,158,738,21.41%,59,95,154
"Family District Judge, 311th Judicial District",0375,254,220,474,2645,17.92%,237,205,442
"Family District Judge, 311th Judicial District",0376,278,205,483,1910,25.29%,219,241,460
"Family District Judge, 311th Judicial District",0377,525,583,1109,2920,37.98%,800,252,1052
"Family District Judge, 311th Judicial District",0378,232,354,586,1829,32.04%,361,202,563
"Family District Judge, 311th Judicial District",0379,431,289,720,2027,35.52%,77,626,703
"Family District Judge, 311th Judicial District",0380,1299,995,2294,5666,40.49%,1247,977,2224
"Family District Judge, 311th Judicial District",0381,412,248,660,2855,23.12%,320,316,636
"Family District Judge, 311th Judicial District",0382,132,157,289,922,31.34%,213,67,280
"Family District Judge, 311th Judicial District",0383,289,263,552,2173,25.40%,225,309,534
"Family District Judge, 311th Judicial District",0384,573,373,946,2657,35.60%,186,720,906
"Family District Judge, 311th Judicial District",0385,583,670,1253,2207,56.77%,907,276,1183
"Family District Judge, 311th Judicial District",0386,662,469,1131,2922,38.71%,832,256,1088
"Family District Judge, 311th Judicial District",0387,555,672,1227,3935,31.18%,887,301,1188
"Family District Judge, 311th Judicial District",0388,1430,1010,2440,6888,35.42%,1410,958,2368
"Family District Judge, 311th Judicial District",0389,91,208,299,1026,29.14%,46,229,275
"Family District Judge, 311th Judicial District",0390,356,263,619,1480,41.82%,73,522,595
"Family District Judge, 311th Judicial District",0391,508,260,768,1883,40.79%,468,263,731
"Family District Judge, 311th Judicial District",0392,387,155,542,1446,37.48%,6,527,533
"Family District Judge, 311th Judicial District",0393,165,185,350,1292,27.09%,165,174,339
"Family District Judge, 311th Judicial District",0394,69,73,142,834,17.03%,73,63,136
"Family District Judge, 311th Judicial District",0395,469,404,873,1846,47.29%,612,218,830
"Family District Judge, 311th Judicial District",0396,622,216,838,2082,40.25%,20,807,827
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0397,86,78,164,760,21.58%,82,79,161
"Family District Judge, 311th Judicial District",0398,615,521,1136,4022,28.24%,610,500,1110
"Family District Judge, 311th Judicial District",0399,402,366,768,2791,27.52%,417,329,746
"Family District Judge, 311th Judicial District",0400,620,359,979,2411,40.61%,700,233,933
"Family District Judge, 311th Judicial District",0401,330,205,535,1913,27.97%,22,502,524
"Family District Judge, 311th Judicial District",0402,466,266,732,1794,40.80%,34,682,716
"Family District Judge, 311th Judicial District",0403,475,498,973,1715,56.73%,494,385,879
"Family District Judge, 311th Judicial District",0404,419,330,749,2585,28.97%,430,293,723
"Family District Judge, 311th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0406,137,67,204,628,32.48%,3,198,201
"Family District Judge, 311th Judicial District",0407,688,793,1481,3769,39.29%,966,432,1398
"Family District Judge, 311th Judicial District",0408,146,153,299,1691,17.68%,143,142,285
"Family District Judge, 311th Judicial District",0409,122,149,271,1459,18.57%,110,151,261
"Family District Judge, 311th Judicial District",0410,132,80,212,899,23.58%,46,154,200
"Family District Judge, 311th Judicial District",0411,235,200,435,2339,18.60%,161,252,413
"Family District Judge, 311th Judicial District",0412,74,44,118,468,25.21%,7,108,115
"Family District Judge, 311th Judicial District",0413,767,386,1153,2992,38.54%,461,640,1101
"Family District Judge, 311th Judicial District",0414,654,480,1134,3453,32.84%,868,220,1088
"Family District Judge, 311th Judicial District",0415,539,598,1137,2203,51.61%,748,335,1083
"Family District Judge, 311th Judicial District",0416,538,558,1096,3791,28.91%,604,451,1055
"Family District Judge, 311th Judicial District",0417,353,385,738,2448,30.15%,377,326,703
"Family District Judge, 311th Judicial District",0418,403,469,872,3584,24.33%,369,465,834
"Family District Judge, 311th Judicial District",0419,571,324,895,2658,33.67%,600,257,857
"Family District Judge, 311th Judicial District",0420,1036,874,1910,4762,40.11%,1549,287,1836
"Family District Judge, 311th Judicial District",0421,36,37,73,410,17.80%,25,44,69
"Family District Judge, 311th Judicial District",0422,731,402,1133,3345,33.87%,32,1083,1115
"Family District Judge, 311th Judicial District",0423,108,120,228,1376,16.57%,71,146,217
"Family District Judge, 311th Judicial District",0424,240,111,351,967,36.30%,198,139,337
"Family District Judge, 311th Judicial District",0425,107,123,230,883,26.05%,91,130,221
"Family District Judge, 311th Judicial District",0426,260,183,443,1218,36.37%,261,158,419
"Family District Judge, 311th Judicial District",0427,179,134,313,1092,28.66%,137,154,291
"Family District Judge, 311th Judicial District",0428,619,421,1040,4538,22.92%,334,625,959
"Family District Judge, 311th Judicial District",0429,445,314,759,3197,23.74%,219,499,718
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0430,161,133,294,1657,17.74%,83,196,279
"Family District Judge, 311th Judicial District",0431,327,84,411,3417,12.03%,151,241,392
"Family District Judge, 311th Judicial District",0432,123,157,280,1455,19.24%,104,167,271
"Family District Judge, 311th Judicial District",0433,50,63,113,581,19.45%,26,81,107
"Family District Judge, 311th Judicial District",0434,370,289,659,1503,43.85%,396,225,621
"Family District Judge, 311th Judicial District",0435,855,636,1491,3252,45.85%,930,478,1408
"Family District Judge, 311th Judicial District",0436,629,531,1160,2933,39.55%,698,399,1097
"Family District Judge, 311th Judicial District",0437,521,512,1033,2033,50.81%,696,274,970
"Family District Judge, 311th Judicial District",0438,617,389,1006,1861,54.06%,727,214,941
"Family District Judge, 311th Judicial District",0439,710,884,1594,3554,44.85%,1102,403,1505
"Family District Judge, 311th Judicial District",0440,664,858,1522,2930,51.95%,1146,283,1429
"Family District Judge, 311th Judicial District",0441,345,420,765,1669,45.84%,559,159,718
"Family District Judge, 311th Judicial District",0442,612,574,1186,2575,46.06%,959,180,1139
"Family District Judge, 311th Judicial District",0443,226,138,364,646,56.35%,243,99,342
"Family District Judge, 311th Judicial District",0444,687,583,1270,3262,38.93%,791,407,1198
"Family District Judge, 311th Judicial District",0445,499,348,847,2026,41.81%,552,256,808
"Family District Judge, 311th Judicial District",0446,31,22,53,291,18.21%,26,24,50
"Family District Judge, 311th Judicial District",0447,93,86,179,637,28.10%,50,118,168
"Family District Judge, 311th Judicial District",0448,590,778,1368,3138,43.59%,744,539,1283
"Family District Judge, 311th Judicial District",0449,12,23,35,198,17.68%,3,32,35
"Family District Judge, 311th Judicial District",0450,435,328,763,2635,28.96%,230,505,735
"Family District Judge, 311th Judicial District",0451,1002,510,1512,2687,56.27%,1201,244,1445
"Family District Judge, 311th Judicial District",0452,554,444,998,3048,32.74%,737,230,967
"Family District Judge, 311th Judicial District",0453,231,262,493,1937,25.45%,197,271,468
"Family District Judge, 311th Judicial District",0454,594,248,842,2561,32.88%,15,816,831
"Family District Judge, 311th Judicial District",0455,367,165,532,1689,31.50%,21,506,527
"Family District Judge, 311th Judicial District",0456,482,362,844,3513,24.03%,492,327,819
"Family District Judge, 311th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0458,471,237,708,1924,36.80%,41,646,687
"Family District Judge, 311th Judicial District",0459,951,474,1425,3021,47.17%,1113,259,1372
"Family District Judge, 311th Judicial District",0460,554,331,885,2837,31.19%,234,635,869
"Family District Judge, 311th Judicial District",0461,1165,735,1900,3871,49.08%,1271,505,1776
"Family District Judge, 311th Judicial District",0462,674,619,1293,3384,38.21%,471,760,1231
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0463,480,404,884,3326,26.58%,401,452,853
"Family District Judge, 311th Judicial District",0464,356,430,786,2257,34.82%,560,198,758
"Family District Judge, 311th Judicial District",0465,687,520,1207,3564,33.87%,675,490,1165
"Family District Judge, 311th Judicial District",0466,1058,614,1672,4184,39.96%,962,655,1617
"Family District Judge, 311th Judicial District",0467,213,189,402,1270,31.65%,102,291,393
"Family District Judge, 311th Judicial District",0468,352,443,795,3598,22.10%,263,504,767
"Family District Judge, 311th Judicial District",0469,1294,547,1841,3985,46.20%,1427,334,1761
"Family District Judge, 311th Judicial District",0470,185,176,361,1326,27.22%,261,78,339
"Family District Judge, 311th Judicial District",0471,375,380,755,2387,31.63%,603,131,734
"Family District Judge, 311th Judicial District",0472,198,278,476,1081,44.03%,172,264,436
"Family District Judge, 311th Judicial District",0473,599,391,990,1806,54.82%,671,273,944
"Family District Judge, 311th Judicial District",0474,559,588,1147,3037,37.77%,788,318,1106
"Family District Judge, 311th Judicial District",0475,189,267,456,1809,25.21%,227,208,435
"Family District Judge, 311th Judicial District",0476,404,473,877,2430,36.09%,493,350,843
"Family District Judge, 311th Judicial District",0477,737,567,1304,3505,37.20%,996,264,1260
"Family District Judge, 311th Judicial District",0478,958,657,1615,4461,36.20%,1090,456,1546
"Family District Judge, 311th Judicial District",0479,638,612,1250,2714,46.06%,924,276,1200
"Family District Judge, 311th Judicial District",0480,493,450,943,2415,39.05%,676,229,905
"Family District Judge, 311th Judicial District",0481,770,623,1393,3482,40.01%,1054,276,1330
"Family District Judge, 311th Judicial District",0482,878,630,1508,4373,34.48%,1075,382,1457
"Family District Judge, 311th Judicial District",0483,1042,478,1520,4308,35.28%,876,578,1454
"Family District Judge, 311th Judicial District",0484,1107,930,2037,4979,40.91%,1463,511,1974
"Family District Judge, 311th Judicial District",0485,1095,911,2006,5388,37.23%,1561,391,1952
"Family District Judge, 311th Judicial District",0486,873,855,1728,3866,44.70%,1347,314,1661
"Family District Judge, 311th Judicial District",0487,570,294,864,3860,22.38%,315,486,801
"Family District Judge, 311th Judicial District",0488,268,254,522,1719,30.37%,201,280,481
"Family District Judge, 311th Judicial District",0489,350,290,640,1893,33.81%,213,396,609
"Family District Judge, 311th Judicial District",0490,444,368,812,1975,41.11%,280,498,778
"Family District Judge, 311th Judicial District",0491,314,372,686,1888,36.33%,395,254,649
"Family District Judge, 311th Judicial District",0492,556,410,966,2335,41.37%,569,344,913
"Family District Judge, 311th Judicial District",0493,479,322,801,1853,43.23%,527,229,756
"Family District Judge, 311th Judicial District",0494,381,247,628,2467,25.46%,81,531,612
"Family District Judge, 311th Judicial District",0495,522,523,1045,2375,44.00%,748,235,983
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0496,190,315,505,2160,23.38%,210,276,486
"Family District Judge, 311th Judicial District",0497,526,243,769,2257,34.07%,29,720,749
"Family District Judge, 311th Judicial District",0498,363,323,686,2297,29.87%,304,363,667
"Family District Judge, 311th Judicial District",0499,750,518,1268,2326,54.51%,900,294,1194
"Family District Judge, 311th Judicial District",0500,729,715,1444,3507,41.17%,992,398,1390
"Family District Judge, 311th Judicial District",0501,341,417,758,1801,42.09%,265,434,699
"Family District Judge, 311th Judicial District",0502,477,350,827,2501,33.07%,669,129,798
"Family District Judge, 311th Judicial District",0503,174,116,290,1374,21.11%,112,158,270
"Family District Judge, 311th Judicial District",0504,524,527,1151,2288,50.31%,719,362,1081
"Family District Judge, 311th Judicial District",0505,531,562,1193,3773,31.62%,526,579,1105
"Family District Judge, 311th Judicial District",0506,665,670,1335,3502,38.12%,243,1042,1285
"Family District Judge, 311th Judicial District",0507,221,149,370,2452,15.09%,80,224,304
"Family District Judge, 311th Judicial District",0508,492,412,904,3287,27.50%,355,480,835
"Family District Judge, 311th Judicial District",0509,753,596,1349,3732,36.15%,941,341,1282
"Family District Judge, 311th Judicial District",0510,687,514,1201,3590,33.45%,594,552,1146
"Family District Judge, 311th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"Family District Judge, 311th Judicial District",0512,602,660,1262,5057,24.96%,614,615,1229
"Family District Judge, 311th Judicial District",0513,1019,487,1506,2894,52.04%,1119,318,1437
"Family District Judge, 311th Judicial District",0514,953,720,1673,4275,39.13%,1263,343,1606
"Family District Judge, 311th Judicial District",0515,942,683,1625,3455,47.03%,1313,249,1562
"Family District Judge, 311th Judicial District",0516,1000,800,1800,5356,33.61%,957,760,1717
"Family District Judge, 311th Judicial District",0517,481,256,737,2954,24.95%,421,295,716
"Family District Judge, 311th Judicial District",0518,635,693,1328,3943,33.68%,868,411,1279
"Family District Judge, 311th Judicial District",0519,623,493,1116,2966,37.63%,827,251,1078
"Family District Judge, 311th Judicial District",0520,473,457,930,4580,20.31%,169,740,909
"Family District Judge, 311th Judicial District",0521,471,464,935,2866,32.62%,509,392,901
"Family District Judge, 311th Judicial District",0522,715,572,1288,2689,47.90%,981,264,1245
"Family District Judge, 311th Judicial District",0523,751,415,1166,3052,38.20%,786,329,1115
"Family District Judge, 311th Judicial District",0524,567,459,1026,3410,30.09%,350,642,992
"Family District Judge, 311th Judicial District",0525,707,482,1189,3091,38.47%,266,869,1135
"Family District Judge, 311th Judicial District",0526,68,84,152,780,19.49%,46,94,140
"Family District Judge, 311th Judicial District",0527,37,40,77,574,13.41%,40,34,74
"Family District Judge, 311th Judicial District",0528,14,12,26,90,28.89%,2,23,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0529,1043,491,1534,3710,41.35%,1315,168,1483
"Family District Judge, 311th Judicial District",0530,114,107,221,1196,18.48%,60,148,208
"Family District Judge, 311th Judicial District",0531,363,174,537,1145,46.90%,415,102,517
"Family District Judge, 311th Judicial District",0532,205,146,351,1048,33.49%,255,87,342
"Family District Judge, 311th Judicial District",0533,124,108,232,1119,20.73%,131,89,220
"Family District Judge, 311th Judicial District",0534,783,524,1307,3837,34.06%,975,272,1247
"Family District Judge, 311th Judicial District",0535,33,29,62,416,14.90%,32,29,61
"Family District Judge, 311th Judicial District",0536,554,780,1334,5139,25.96%,536,752,1288
"Family District Judge, 311th Judicial District",0537,855,778,1633,3050,53.54%,1184,375,1559
"Family District Judge, 311th Judicial District",0538,204,160,364,1303,27.94%,9,347,356
"Family District Judge, 311th Judicial District",0539,15,241,256,64,400.00%,71,166,237
"Family District Judge, 311th Judicial District",0540,378,316,694,1567,44.29%,251,387,638
"Family District Judge, 311th Judicial District",0541,784,505,1289,4599,28.03%,184,1053,1237
"Family District Judge, 311th Judicial District",0542,360,382,742,2557,29.02%,50,663,713
"Family District Judge, 311th Judicial District",0543,141,213,354,1565,22.62%,120,211,331
"Family District Judge, 311th Judicial District",0544,35,41,77,310,24.84%,12,64,76
"Family District Judge, 311th Judicial District",0545,596,620,1216,3629,33.51%,617,551,1168
"Family District Judge, 311th Judicial District",0546,2,2,4,37,10.81%,3,0,3
"Family District Judge, 311th Judicial District",0547,501,466,967,2406,40.19%,681,243,924
"Family District Judge, 311th Judicial District",0548,285,293,579,2215,26.14%,314,248,562
"Family District Judge, 311th Judicial District",0549,343,418,761,2663,28.58%,117,630,747
"Family District Judge, 311th Judicial District",0550,501,431,932,3031,30.75%,532,369,901
"Family District Judge, 311th Judicial District",0551,1288,1394,2682,7034,38.13%,2010,596,2606
"Family District Judge, 311th Judicial District",0552,847,883,1730,3415,50.66%,1425,254,1679
"Family District Judge, 311th Judicial District",0553,578,529,1107,4686,23.62%,509,568,1077
"Family District Judge, 311th Judicial District",0554,261,199,460,1757,26.18%,100,327,427
"Family District Judge, 311th Judicial District",0555,225,277,502,2219,22.62%,107,376,483
"Family District Judge, 311th Judicial District",0556,276,186,462,2319,19.92%,134,311,445
"Family District Judge, 311th Judicial District",0557,455,183,638,2830,22.54%,270,290,560
"Family District Judge, 311th Judicial District",0558,693,463,1156,4380,26.39%,405,702,1107
"Family District Judge, 311th Judicial District",0559,640,494,1134,4969,22.82%,346,746,1092
"Family District Judge, 311th Judicial District",0560,72,131,203,1120,18.13%,58,131,189
"Family District Judge, 311th Judicial District",0561,362,436,798,3064,26.04%,483,286,769
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0582,113,88,181,894,28.08%,28,150,178
"Family District Judge, 311th Judicial District",0583,1107,378,1483,3105,47.78%,1148,271,1419
"Family District Judge, 311th Judicial District",0584,470,428,898,3155,28.40%,233,821,854
"Family District Judge, 311th Judicial District",0585,108,78,188,1354,13.74%,44,129,173
"Family District Judge, 311th Judicial District",0588,417,324,741,2882,25.71%,233,487,720
"Family District Judge, 311th Judicial District",0587,301,193,494,2238,22.07%,181,291,452
"Family District Judge, 311th Judicial District",0588,878,885,1581,3594,43.43%,985,478,1483
"Family District Judge, 311th Judicial District",0589,572,887,1239,3525,35.15%,824,544,1188
"Family District Judge, 311th Judicial District",0570,238,210,448,1562,28.88%,150,285,415
"Family District Judge, 311th Judicial District",0571,155,149,304,1827,18.84%,123,173,298
"Family District Judge, 311th Judicial District",0572,555,375,930,3108,29.92%,471,418,887
"Family District Judge, 311th Judicial District",0573,290,151,441,1819,27.24%,5,431,438
"Family District Judge, 311th Judicial District",0574,31,42,73,402,18.18%,9,84,73
"Family District Judge, 311th Judicial District",0575,13,11,24,74,32.43%,17,8,23
"Family District Judge, 311th Judicial District",0578,485,318,803,2734,29.37%,22,783,785
"Family District Judge, 311th Judicial District",0577,147,88,235,808,38.85%,140,82,222
"Family District Judge, 311th Judicial District",0578,409,538,947,1799,52.84%,554,344,898
"Family District Judge, 311th Judicial District",0579,75,101,178,1058,18.87%,37,132,189
"Family District Judge, 311th Judicial District",0580,179,118,297,1031,28.81%,8,280,288
"Family District Judge, 311th Judicial District",0581,212,174,388,1032,37.40%,8,388,378
"Family District Judge, 311th Judicial District",0582,258,171,429,1588,27.02%,20,398,418
"Family District Judge, 311th Judicial District",0583,225,131,358,1282,28.21%,13,338,349
"Family District Judge, 311th Judicial District",0584,182,93,275,1014,27.12%,11,259,270
"Family District Judge, 311th Judicial District",0585,417,172,589,2511,23.48%,13,588,581
"Family District Judge, 311th Judicial District",0588,838,880,1318,4318,30.54%,801,471,1272
"Family District Judge, 311th Judicial District",0587,438,284,720,2598,27.71%,288,415,703
"Family District Judge, 311th Judicial District",0588,758,874,1432,3845,39.29%,1014,387,1381
"Family District Judge, 311th Judicial District",0589,500,388,888,3420,25.91%,494,388,880
"Family District Judge, 311th Judicial District",0590,772,399,1171,2182,54.18%,894,235,1129
"Family District Judge, 311th Judicial District",0591,183,231,414,2121,19.52%,131,284,395
"Family District Judge, 311th Judicial District",0592,133,157,290,1350,21.48%,82,198,278
"Family District Judge, 311th Judicial District",0593,543,584,1107,4380,25.27%,548,512,1080
"Family District Judge, 311th Judicial District",0594,581,328,887,2490,35.82%,253,803,858
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0595,201,178,379,1693,22.39%,73,297,370
"Family District Judge, 311th Judicial District",0596,441,348,789,3007,26.24%,445,322,767
"Family District Judge, 311th Judicial District",0597,367,394,761,3653,20.83%,335,410,745
"Family District Judge, 311th Judicial District",0598,195,57,252,728,34.62%,198,47,245
"Family District Judge, 311th Judicial District",0599,850,578,1428,4950,28.85%,514,869,1383
"Family District Judge, 311th Judicial District",0600,667,429,1096,3957,27.70%,446,601,1047
"Family District Judge, 311th Judicial District",0601,1073,756,1829,4057,45.08%,1383,381,1764
"Family District Judge, 311th Judicial District",0602,293,235,528,1326,39.82%,383,129,512
"Family District Judge, 311th Judicial District",0603,554,794,1678,4843,34.65%,1077,558,1635
"Family District Judge, 311th Judicial District",0604,702,518,1220,3005,40.60%,1005,173,1178
"Family District Judge, 311th Judicial District",0605,907,556,1463,5582,26.21%,385,1040,1425
"Family District Judge, 311th Judicial District",0606,176,70,246,937,26.25%,5,237,242
"Family District Judge, 311th Judicial District",0607,52,51,113,728,15.52%,13,95,108
"Family District Judge, 311th Judicial District",0608,31,47,78,537,14.53%,43,29,72
"Family District Judge, 311th Judicial District",0609,557,680,1347,3384,39.80%,834,445,1279
"Family District Judge, 311th Judicial District",0610,231,188,419,1927,21.74%,215,173,388
"Family District Judge, 311th Judicial District",0611,495,242,737,2488,29.62%,29,697,726
"Family District Judge, 311th Judicial District",0612,996,497,1493,3307,45.15%,1105,304,1409
"Family District Judge, 311th Judicial District",0613,186,204,390,1554,25.10%,62,315,377
"Family District Judge, 311th Judicial District",0614,737,566,1303,4207,30.97%,504,750,1254
"Family District Judge, 311th Judicial District",0615,450,299,779,1967,39.60%,493,266,759
"Family District Judge, 311th Judicial District",0616,739,663,1402,3436,40.80%,977,371,1348
"Family District Judge, 311th Judicial District",0617,541,393,934,3809,24.52%,394,520,914
"Family District Judge, 311th Judicial District",0618,945,567,1513,6003,25.20%,775,695,1470
"Family District Judge, 311th Judicial District",0619,1219,803,2022,4297,47.06%,1498,432,1930
"Family District Judge, 311th Judicial District",0620,589,264,953,2897,32.90%,594,320,914
"Family District Judge, 311th Judicial District",0621,154,101,255,1133,22.51%,133,112,245
"Family District Judge, 311th Judicial District",0622,881,524,1405,4403,31.91%,861,495,1356
"Family District Judge, 311th Judicial District",0623,887,487,1374,3691,37.23%,924,390,1314
"Family District Judge, 311th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"Family District Judge, 311th Judicial District",0625,477,362,839,1820,46.10%,473,318,791
"Family District Judge, 311th Judicial District",0626,551,440,1021,2861,35.69%,551,412,963
"Family District Judge, 311th Judicial District",0627,346,322,668,3049,21.91%,248,391,639
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0628,152,219,371,1675,22.15%,198,163,361
"Family District Judge, 311th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"Family District Judge, 311th Judicial District",0630,974,600,1574,3905,40.31%,128,1403,1531
"Family District Judge, 311th Judicial District",0631,822,404,1226,2846,43.08%,894,289,1183
"Family District Judge, 311th Judicial District",0632,7,4,11,343,3.21%,2,9,11
"Family District Judge, 311th Judicial District",0633,943,731,1674,3559,47.04%,1180,429,1609
"Family District Judge, 311th Judicial District",0634,458,442,900,3029,29.71%,589,280,869
"Family District Judge, 311th Judicial District",0635,743,485,1228,3393,36.19%,920,270,1190
"Family District Judge, 311th Judicial District",0636,835,874,1710,4140,41.30%,1478,180,1658
"Family District Judge, 311th Judicial District",0637,409,362,771,2512,30.69%,193,529,722
