Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0074,1153,782,1935,3583,54.01%,1474,376,1850
"Family District Judge, 311th Judicial District",0075,254,280,534,1444,36.98%,196,308,504
"Family District Judge, 311th Judicial District",0076,373,374,747,2362,31.63%,435,281,716
"Family District Judge, 311th Judicial District",0077,43,46,89,566,15.72%,19,66,85
"Family District Judge, 311th Judicial District",0078,180,201,381,1522,25.03%,141,221,362
"Family District Judge, 311th Judicial District",0079,205,306,511,2927,17.46%,136,334,470
"Family District Judge, 311th Judicial District",0080,501,351,852,2725,31.27%,218,597,815
"Family District Judge, 311th Judicial District",0081,183,187,370,1835,20.16%,147,197,344
"Family District Judge, 311th Judicial District",0082,639,671,1310,3368,38.90%,978,295,1273
"Family District Judge, 311th Judicial District",0083,1296,888,2184,6625,32.97%,1062,1044,2106
"Family District Judge, 311th Judicial District",0084,208,218,426,1373,31.03%,310,101,411
"Family District Judge, 311th Judicial District",0085,271,248,519,2173,23.88%,20,491,511
"Family District Judge, 311th Judicial District",0086,447,568,1015,2910,34.88%,450,513,963
"Family District Judge, 311th Judicial District",0087,574,787,1461,2818,51.85%,831,519,1350
"Family District Judge, 311th Judicial District",0088,123,118,241,693,34.78%,154,75,229
"Family District Judge, 311th Judicial District",0089,165,371,536,1094,48.99%,262,223,485
"Family District Judge, 311th Judicial District",0090,844,790,1634,3700,44.16%,1168,401,1569
"Family District Judge, 311th Judicial District",0091,219,222,441,1505,29.30%,260,162,422
"Family District Judge, 311th Judicial District",0092,695,462,1157,2242,51.61%,749,341,1090
"Family District Judge, 311th Judicial District",0093,381,301,682,3356,20.32%,275,367,642
"Family District Judge, 311th Judicial District",0094,51,43,94,549,17.12%,29,62,91
"Family District Judge, 311th Judicial District",0095,917,576,1493,3177,46.99%,1054,373,1427
"Family District Judge, 311th Judicial District",0096,83,83,166,1296,12.81%,21,143,164
"Family District Judge, 311th Judicial District",0097,1024,725,1749,4828,36.23%,1292,400,1692
"Family District Judge, 311th Judicial District",0098,403,488,891,2651,33.61%,737,125,862
"Family District Judge, 311th Judicial District",0099,254,184,438,2092,20.94%,215,208,423
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Alicia Franklin,DEM Sherri L. Cothrun,Totals
"Family District Judge, 311th Judicial District",0100,155,173,338,1730,19.54%,184,148,332
"Family District Judge, 311th Judicial District",0101,72,58,130,946,13.74%,48,79,127
"Family District Judge, 311th Judicial District",0102,207,121,328,1872,17.52%,96,219,315
"Family District Judge, 311th Judicial District",0103,700,714,1414,5371,26.33%,807,570,1377
"Family District Judge, 311th Judicial District",0104,530,231,761,1905,39.95%,20,734,754
"Family District Judge, 311th Judicial District",0105,195,210,406,2165,18.75%,136,238,374
"Family District Judge, 311th Judicial District",0106,15,7,25,294,8.50%,16,9,25
"Family District Judge, 311th Judicial District",0107,154,197,351,2032,17.27%,57,278,335
"Family District Judge, 311th Judicial District",0108,558,272,940,3365,27.93%,564,340,904
"Family District Judge, 311th Judicial District",0109,529,245,774,2824,27.41%,14,743,757
"Family District Judge, 311th Judicial District",0110,554,494,1148,3042,37.74%,747,366,1113
"Family District Judge, 311th Judicial District",0111,815,795,1611,4102,39.27%,1179,374,1553
"Family District Judge, 311th Judicial District",0112,542,485,1027,2976,34.51%,757,230,987
"Family District Judge, 311th Judicial District",0113,552,429,991,2647,37.44%,595,348,943
"Family District Judge, 311th Judicial District",0114,707,547,1254,3311,37.87%,1007,217,1224
"Family District Judge, 311th Judicial District",0115,238,150,388,1800,21.56%,51,325,376
