Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wood,DEM Josefina Rendon,Totals
"Judge, County Probate Court No. 2",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Probate Court No. 2",0347,592,436,1028,3387,30.35%,705,287,992
"Judge, County Probate Court No. 2",0348,438,208,646,1708,37.82%,502,115,617
"Judge, County Probate Court No. 2",0349,188,267,455,1349,33.73%,284,145,429
"Judge, County Probate Court No. 2",0350,524,526,1050,2909,36.09%,430,532,962
"Judge, County Probate Court No. 2",0351,1491,710,2201,4712,46.71%,1750,369,2119
"Judge, County Probate Court No. 2",0352,520,339,859,3205,26.80%,635,192,827
"Judge, County Probate Court No. 2",0353,665,451,1116,3862,28.90%,205,878,1083
"Judge, County Probate Court No. 2",0354,715,338,1053,3388,31.08%,261,762,1023
"Judge, County Probate Court No. 2",0355,301,264,565,1560,36.22%,50,499,549
"Judge, County Probate Court No. 2",0356,594,538,1132,2972,38.09%,753,327,1080
"Judge, County Probate Court No. 2",0357,837,575,1412,3517,40.15%,1041,320,1361
"Judge, County Probate Court No. 2",0358,212,254,466,2492,18.70%,53,399,452
"Judge, County Probate Court No. 2",0359,234,224,458,3061,14.96%,61,386,447
"Judge, County Probate Court No. 2",0360,522,380,902,2146,42.03%,484,338,822
"Judge, County Probate Court No. 2",0361,41,295,336,1673,20.08%,48,244,292
"Judge, County Probate Court No. 2",0362,1138,887,2025,5086,39.82%,1489,427,1916
"Judge, County Probate Court No. 2",0363,620,412,1032,3677,28.07%,468,533,1001
"Judge, County Probate Court No. 2",0364,488,405,893,2658,33.60%,51,7,331,848
"Judge, County Probate Court No. 2",0365,478,231,709,1305,54.33%,58,634,692
"Judge, County Probate Court No. 2",0366,252,270,522,2454,21.27%,131,378,509
"Judge, County Probate Court No. 2",0367,170,138,308,1130,27.26%,67,233,300
"Judge, County Probate Court No. 2",0368,178,88,266,958,27.77%,70,184,254
"Judge, County Probate Court No. 2",0369,32,29,61,559,10.91%,16,43,59
"Judge, County Probate Court No. 2",0370,1532,1105,2637,6593,40.00%,1989,550,2539
"Judge, County Probate Court No. 2",0371,122,52,174,502,34.66%,6,161,167
"Judge, County Probate Court No. 2",0372,221,170,391,1224,31.94%,49,323,372
"Judge, County Probate Court No. 2",0373,21,12,33,157,21.02%,1,30,31
"Judge, County Probate Court No. 2",0374,65,93,158,738,21.41%,51,100,151
"Judge, County Probate Court No. 2",0375,254,220,474,2645,17.92%,235,204,439
"Judge, County Probate Court No. 2",0376,278,205,483,1910,25.29%,216,245,461
"Judge, County Probate Court No. 2",0377,525,583,1109,2920,37.98%,815,233,1048
"Judge, County Probate Court No. 2",0378,232,354,586,1829,32.04%,372,187,559
"Judge, County Probate Court No. 2",0379,431,289,720,2027,35.52%,72,628,700
"Judge, County Probate Court No. 2",0380,1299,995,2294,5666,40.49%,1260,957,2217
"Judge, County Probate Court No. 2",0381,412,248,660,2855,23.12%,314,317,631
"Judge, County Probate Court No. 2",0382,132,157,289,922,31.34%,216,64,280
"Judge, County Probate Court No. 2",0383,289,263,552,2173,25.40%,229,300,529
"Judge, County Probate Court No. 2",0384,573,373,946,2657,35.60%,194,711,905
"Judge, County Probate Court No. 2",0385,583,670,1253,2207,56.77%,990,191,1181
"Judge, County Probate Court No. 2",0386,662,469,1131,2922,38.71%,832,251,1083
"Judge, County Probate Court No. 2",0387,555,672,1227,3935,31.18%,901,288,1189
"Judge, County Probate Court No. 2",0388,1430,1010,2440,6888,35.42%,1408,955,2363
"Judge, County Probate Court No. 2",0389,91,208,299,1026,29.14%,41,234,275
"Judge, County Probate Court No. 2",0390,356,263,619,1480,41.82%,80,514,594
"Judge, County Probate Court No. 2",0391,508,260,768,1883,40.79%,493,237,730
"Judge, County Probate Court No. 2",0392,387,155,542,1446,37.48%,10,522,532
"Judge, County Probate Court No. 2",0393,165,185,350,1292,27.09%,171,168,339
"Judge, County Probate Court No. 2",0394,69,73,142,834,17.03%,75,60,135
"Judge, County Probate Court No. 2",0395,469,404,873,1846,47.29%,636,189,825
"Judge, County Probate Court No. 2",0396,622,216,838,2082,40.25%,19,801,820
"Judge, County Probate Court No. 2",0397,86,78,164,760,21.58%,78,79,157
"Judge, County Probate Court No. 2",0398,615,521,1136,4022,28.24%,614,489,1103
"Judge, County Probate Court No. 2",0399,402,366,768,2791,27.52%,428,314,742
"Judge, County Probate Court No. 2",0400,620,359,979,2411,40.61%,726,205,931
"Judge, County Probate Court No. 2",0401,330,205,535,1913,27.97%,22,500,522
"Judge, County Probate Court No. 2",0402,466,266,732,1794,40.80%,40,671,711
"Judge, County Probate Court No. 2",0403,475,498,973,1715,56.73%,544,336,880
"Judge, County Probate Court No. 2",0404,419,330,749,2585,28.97%,447,274,721
"Judge, County Probate Court No. 2",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0406,137,67,204,628,32.48%,4,194,198
"Judge, County Probate Court No. 2",0407,688,793,1481,3769,39.29%,1004,393,1397
"Judge, County Probate Court No. 2",0408,146,153,299,1691,17.68%,143,139,282
"Judge, County Probate Court No. 2",0409,122,149,271,1459,18.57%,112,150,262
"Judge, County Probate Court No. 2",0410,132,80,212,899,23.58%,46,154,200
"Judge, County Probate Court No. 2",0411,235,200,435,2339,18.60%,156,257,413
"Judge, County Probate Court No. 2",0412,74,44,118,468,25.21%,7,104,111
"Judge, County Probate Court No. 2",0413,767,386,1153,2992,38.54%,464,640,1104
"Judge, County Probate Court No. 2",0414,654,480,1134,3453,32.84%,887,199,1086
"Judge, County Probate Court No. 2",0415,539,598,1137,2203,51.61%,778,308,1086
"Judge, County Probate Court No. 2",0416,538,558,1096,3791,28.91%,626,429,1055
"Judge, County Probate Court No. 2",0417,353,385,738,2448,30.15%,373,331,704
"Judge, County Probate Court No. 2",0418,403,469,872,3584,24.33%,361,471,832
"Judge, County Probate Court No. 2",0419,571,324,895,2658,33.67%,604,254,858
"Judge, County Probate Court No. 2",0420,1036,874,1910,4762,40.11%,1579,248,1827
"Judge, County Probate Court No. 2",0421,36,37,73,410,17.80%,27,40,67
"Judge, County Probate Court No. 2",0422,731,402,1133,3345,33.87%,33,1079,1112
"Judge, County Probate Court No. 2",0423,108,120,228,1376,16.57%,75,142,217
"Judge, County Probate Court No. 2",0424,240,111,351,967,36.30%,217,116,333
"Judge, County Probate Court No. 2",0425,107,123,230,883,26.05%,86,134,220
"Judge, County Probate Court No. 2",0426,260,183,443,1218,36.37%,269,150,419
"Judge, County Probate Court No. 2",0427,179,134,313,1092,28.66%,139,154,293
"Judge, County Probate Court No. 2",0428,619,421,1040,4538,22.92%,333,625,958
"Judge, County Probate Court No. 2",0429,445,314,759,3197,23.74%,216,502,718
"Judge, County Probate Court No. 2",0430,161,133,294,1657,17.74%,95,187,282
"Judge, County Probate Court No. 2",0431,327,84,411,3417,12.03%,157,232,389
"Judge, County Probate Court No. 2",0432,123,157,280,1455,19.24%,102,169,271
"Judge, County Probate Court No. 2",0433,50,63,113,581,19.45%,29,79,108
"Judge, County Probate Court No. 2",0434,370,289,659,1503,43.85%,418,201,619
"Judge, County Probate Court No. 2",0435,855,636,1491,3252,45.85%,982,424,1406
"Judge, County Probate Court No. 2",0436,629,531,1160,2933,39.55%,745,343,1088
"Judge, County Probate Court No. 2",0437,521,512,1033,2033,50.81%,733,234,967
"Judge, County Probate Court No. 2",0438,517,389,1006,1861,54.06%,771,165,936
"Judge, County Probate Court No. 2",0439,710,884,1594,3554,44.85%,1172,324,1496
"Judge, County Probate Court No. 2",0440,664,858,1522,2930,51.95%,1230,207,1437
"Judge, County Probate Court No. 2",0441,345,420,765,1669,45.84%,593,131,724
"Judge, County Probate Court No. 2",0442,612,574,1186,2575,46.06%,985,153,1138
"Judge, County Probate Court No. 2",0443,226,138,364,646,56.35%,273,67,340
"Judge, County Probate Court No. 2",0444,587,583,1270,3262,38.93%,823,379,1202
"Judge, County Probate Court No. 2",0445,499,348,847,2026,41.81%,590,217,807
"Judge, County Probate Court No. 2",0446,31,22,53,291,18.21%,25,24,49
"Judge, County Probate Court No. 2",0447,93,86,179,637,28.10%,56,111,167
"Judge, County Probate Court No. 2",0448,590,778,1368,3138,43.59%,765,509,1274
"Judge, County Probate Court No. 2",0449,12,23,35,198,17.68%,4,31,35
"Judge, County Probate Court No. 2",0450,435,328,763,2635,28.96%,237,493,730
"Judge, County Probate Court No. 2",0451,1002,510,1512,2687,56.27%,1246,186,1432
"Judge, County Probate Court No. 2",0452,554,444,998,3048,32.74%,741,225,966
"Judge, County Probate Court No. 2",0453,231,262,493,1937,25.45%,199,273,472
"Judge, County Probate Court No. 2",0454,594,248,842,2561,32.88%,12,814,826
"Judge, County Probate Court No. 2",0455,367,165,532,1689,31.50%,21,504,525
"Judge, County Probate Court No. 2",0456,482,362,844,3513,24.03%,495,321,816
"Judge, County Probate Court No. 2",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0458,471,237,708,1924,36.80%,36,650,686
"Judge, County Probate Court No. 2",0459,951,474,1425,3021,47.17%,1131,239,1370
"Judge, County Probate Court No. 2",0460,554,331,885,2837,31.19%,225,636,861
"Judge, County Probate Court No. 2",0461,1155,735,1900,3871,49.08%,1329,440,1769
"Judge, County Probate Court No. 2",0462,674,619,1293,3384,38.21%,485,736,1221
"Judge, County Probate Court No. 2",0463,480,404,884,3326,26.58%,411,443,854
"Judge, County Probate Court No. 2",0464,356,430,786,2257,34.82%,573,185,758
"Judge, County Probate Court No. 2",0465,687,520,1207,3564,33.87%,692,475,1167
"Judge, County Probate Court No. 2",0466,1058,614,1672,4184,39.96%,988,624,1612
"Judge, County Probate Court No. 2",0467,213,189,402,1270,31.65%,99,295,394
"Judge, County Probate Court No. 2",0468,352,443,795,3598,22.10%,246,513,759
"Judge, County Probate Court No. 2",0469,1294,547,1841,3985,46.20%,1472,282,1754
"Judge, County Probate Court No. 2",0470,185,176,361,1326,27.22%,273,70,343
"Judge, County Probate Court No. 2",0471,375,380,755,2387,31.63%,609,123,732
"Judge, County Probate Court No. 2",0472,198,278,476,1081,44.03%,202,232,434
"Judge, County Probate Court No. 2",0473,599,391,990,1806,54.82%,700,237,937
"Judge, County Probate Court No. 2",0474,559,588,1147,3037,37.77%,798,305,1103
"Judge, County Probate Court No. 2",0475,189,267,456,1809,25.21%,218,219,437
"Judge, County Probate Court No. 2",0476,404,473,877,2430,36.09%,500,342,842
"Judge, County Probate Court No. 2",0477,737,567,1304,3505,37.20%,998,253,1251
"Judge, County Probate Court No. 2",0478,958,657,1615,4461,36.20%,1096,440,1536
"Judge, County Probate Court No. 2",0479,638,612,1250,2714,46.06%,937,265,1202
"Judge, County Probate Court No. 2",0480,493,450,943,2415,39.05%,682,219,901
"Judge, County Probate Court No. 2",0481,770,623,1393,3482,40.01%,1067,266,1333
"Judge, County Probate Court No. 2",0482,878,630,1508,4373,34.48%,1095,360,1455
"Judge, County Probate Court No. 2",0483,1042,478,1520,4308,35.28%,899,555,1454
"Judge, County Probate Court No. 2",0484,1107,930,2037,4979,40.91%,1490,477,1967
"Judge, County Probate Court No. 2",0485,1095,911,2006,5388,37.23%,1572,372,1944
"Judge, County Probate Court No. 2",0486,873,855,1728,3866,44.70%,1370,282,1652
"Judge, County Probate Court No. 2",0487,570,294,864,3860,22.38%,314,477,791
"Judge, County Probate Court No. 2",0488,268,254,522,1719,30.37%,197,281,478
"Judge, County Probate Court No. 2",0489,350,290,640,1893,33.81%,213,394,607
"Judge, County Probate Court No. 2",0490,444,368,812,1975,41.11%,311,470,781
"Judge, County Probate Court No. 2",0491,314,372,686,1888,36.33%,415,233,648
"Judge, County Probate Court No. 2",0492,556,410,966,2335,41.37%,604,318,922
"Judge, County Probate Court No. 2",0493,479,322,801,1853,43.23%,544,208,752
"Judge, County Probate Court No. 2",0494,381,247,628,2467,25.46%,82,529,611
"Judge, County Probate Court No. 2",0495,522,523,1045,2375,44.00%,759,221,980
"Judge, County Probate Court No. 2",0496,190,315,505,2160,23.38%,201,286,487
"Judge, County Probate Court No. 2",0497,526,243,769,2257,34.07%,28,721,749
"Judge, County Probate Court No. 2",0498,363,323,686,2297,29.87%,307,361,668
"Judge, County Probate Court No. 2",0499,750,518,1268,2326,54.51%,943,247,1190
"Judge, County Probate Court No. 2",0500,729,715,1444,3507,41.17%,1011,374,1385
"Judge, County Probate Court No. 2",0501,341,417,758,1801,42.09%,282,419,701
"Judge, County Probate Court No. 2",0502,477,350,827,2501,33.07%,674,121,795
"Judge, County Probate Court No. 2",0503,174,116,290,1374,21.11%,106,163,269
"Judge, County Probate Court No. 2",0504,624,527,1151,2288,50.31%,758,322,1080
"Judge, County Probate Court No. 2",0505,531,562,1193,3773,31.62%,552,557,1109
"Judge, County Probate Court No. 2",0506,665,670,1335,3502,38.12%,241,1046,1287
"Judge, County Probate Court No. 2",0507,221,149,370,2452,15.09%,76,224,300
"Judge, County Probate Court No. 2",0508,492,412,904,3287,27.50%,351,487,838
"Judge, County Probate Court No. 2",0509,753,596,1349,3732,36.15%,959,324,1283
"Judge, County Probate Court No. 2",0510,687,514,1201,3590,33.45%,623,528,1151
"Judge, County Probate Court No. 2",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0512,602,660,1262,5057,24.96%,614,614,1228
"Judge, County Probate Court No. 2",0513,1019,487,1506,2894,52.04%,1164,265,1429
"Judge, County Probate Court No. 2",0514,953,720,1673,4275,39.13%,1279,326,1605
"Judge, County Probate Court No. 2",0515,942,683,1625,3455,47.03%,1318,240,1558
"Judge, County Probate Court No. 2",0516,1000,800,1800,5356,33.61%,967,747,1714
"Judge, County Probate Court No. 2",0517,481,256,737,2954,24.95%,426,284,710
"Judge, County Probate Court No. 2",0518,635,693,1328,3943,33.68%,881,388,1269
"Judge, County Probate Court No. 2",0519,623,493,1116,2966,37.63%,837,239,1076
"Judge, County Probate Court No. 2",0520,473,457,930,4580,20.31%,180,732,912
"Judge, County Probate Court No. 2",0521,471,464,935,2866,32.62%,501,398,899
"Judge, County Probate Court No. 2",0522,715,572,1288,2689,47.90%,1011,224,1235
"Judge, County Probate Court No. 2",0523,751,415,1166,3052,38.20%,804,312,1116
"Judge, County Probate Court No. 2",0524,567,459,1026,3410,30.09%,359,632,991
"Judge, County Probate Court No. 2",0525,707,482,1189,3091,38.47%,284,851,1135
"Judge, County Probate Court No. 2",0526,68,84,152,780,19.49%,44,99,143
"Judge, County Probate Court No. 2",0527,37,40,77,574,13.41%,45,30,75
"Judge, County Probate Court No. 2",0528,14,12,26,90,28.89%,1,24,25
"Judge, County Probate Court No. 2",0529,1043,491,1534,3710,41.35%,1316,156,1472
"Judge, County Probate Court No. 2",0530,114,107,221,1196,18.48%,53,155,208
"Judge, County Probate Court No. 2",0531,363,174,537,1145,46.90%,419,95,514
"Judge, County Probate Court No. 2",0532,205,146,351,1048,33.49%,256,85,341
"Judge, County Probate Court No. 2",0533,124,108,232,1119,20.73%,138,83,221
"Judge, County Probate Court No. 2",0534,783,524,1,307,3837,34.06%,1009,239,1248
"Judge, County Probate Court No. 2",0535,33,29,62,416,14.90%,30,31,61
"Judge, County Probate Court No. 2",0536,554,780,1334,5139,25.96%,531,752,1283
"Judge, County Probate Court No. 2",0537,855,778,1633,3050,53.54%,1216,346,1562
"Judge, County Probate Court No. 2",0538,204,160,364,1303,27.94%,10,347,357
"Judge, County Probate Court No. 2",0539,15,241,256,64,400.00%,75,161,236
"Judge, County Probate Court No. 2",0540,378,316,694,1567,44.29%,306,336,642
"Judge, County Probate Court No. 2",0541,784,505,1289,4599,28.03%,190,1035,1225
"Judge, County Probate Court No. 2",0542,360,382,742,2557,29.02%,47,669,716
"Judge, County Probate Court No. 2",0543,141,213,354,1565,22.62%,110,226,336
"Judge, County Probate Court No. 2",0544,35,41,77,310,24.84%,13,63,76
"Judge, County Probate Court No. 2",0545,596,620,1216,3629,33.51%,623,542,1165
"Judge, County Probate Court No. 2",0546,2,2,4,37,10.81%,1,2,3
"Judge, County Probate Court No. 2",0547,501,466,967,2406,40.19%,691,232,923
"Judge, County Probate Court No. 2",0548,286,293,579,2215,26.14%,308,256,564
"Judge, County Probate Court No. 2",0549,343,418,761,2663,28.58%,109,636,745
"Judge, County Probate Court No. 2",0550,501,431,932,3031,30.75%,539,358,897
"Judge, County Probate Court No. 2",0551,1288,1394,2682,7034,38.13%,2052,549,2601
"Judge, County Probate Court No. 2",0552,847,883,1730,3415,50.66%,1452,221,1673
"Judge, County Probate Court No. 2",0553,578,529,1107,4686,23.62%,508,561,1069
"Judge, County Probate Court No. 2",0554,261,199,460,1757,26.18%,104,323,427
"Judge, County Probate Court No. 2",0555,225,277,502,2219,22.62%,112,371,483
"Judge, County Probate Court No. 2",0556,276,186,462,2319,19.92%,142,302,444
"Judge, County Probate Court No. 2",0557,455,183,638,2830,22.54%,261,296,557
"Judge, County Probate Court No. 2",0558,693,463,1156,4380,26.39%,414,697,1111
"Judge, County Probate Court No. 2",0559,640,494,1134,4969,22.82%,349,739,1088
"Judge, County Probate Court No. 2",0560,72,131,203,1120,18.13%,48,139,187
"Judge, County Probate Court No. 2",0561,362,436,798,3064,26.04%,484,276,760
"Judge, County Probate Court No. 2",0562,113,68,181,694,26.08%,24,154,178
"Judge, County Probate Court No. 2",0563,1107,376,1483,3105,47.76%,1178,238,1416
"Judge, County Probate Court No. 2",0564,470,426,896,3155,28.40%,242,609,851
"Judge, County Probate Court No. 2",0565,108,78,186,1354,13.74%,43,127,170
"Judge, County Probate Court No. 2",0566,417,324,741,2882,25.71%,238,481,719
"Judge, County Probate Court No. 2",0567,301,193,494,2238,22.07%,171,281,452
"Judge, County Probate Court No. 2",0568,876,685,1561,3594,43.43%,1028,432,1460
"Judge, County Probate Court No. 2",0569,572,667,1239,3525,35.15%,676,489,1165
"Judge, County Probate Court No. 2",0570,238,210,448,1562,28.68%,155,259,414
"Judge, County Probate Court No. 2",0571,155,149,304,1827,16.64%,116,178,294
"Judge, County Probate Court No. 2",0572,555,375,930,3108,29.92%,496,393,889
"Judge, County Probate Court No. 2",0573,290,151,441,1619,27.24%,10,427,437
"Judge, County Probate Court No. 2",0574,31,42,73,402,18.16%,10,61,71
"Judge, County Probate Court No. 2",0575,13,11,24,74,32.43%,19,4,23
"Judge, County Probate Court No. 2",0576,485,318,803,2734,29.37%,26,763,789
"Judge, County Probate Court No. 2",0577,147,88,235,608,38.65%,142,83,225
"Judge, County Probate Court No. 2",0578,409,538,947,1799,52.64%,599,297,896
"Judge, County Probate Court No. 2",0579,75,101,176,1056,16.67%,33,136,169
"Judge, County Probate Court No. 2",0580,179,118,297,1031,28.81%,3,284,287
"Judge, County Probate Court No. 2",0581,212,174,386,1032,37.40%,6,368,374
"Judge, County Probate Court No. 2",0582,258,171,429,1588,27.02%,24,393,417
"Judge, County Probate Court No. 2",0583,225,131,356,1262,28.21%,13,334,347
"Judge, County Probate Court No. 2",0584,182,93,275,1014,27.12%,12,259,271
"Judge, County Probate Court No. 2",0585,417,172,589,2511,23.46%,18,555,573
"Judge, County Probate Court No. 2",0586,638,680,1318,4316,30.54%,810,457,1267
"Judge, County Probate Court No. 2",0587,436,284,720,2598,27.71%,288,409,697
"Judge, County Probate Court No. 2",0588,758,674,1432,3645,39.29%,1031,349,1380
"Judge, County Probate Court No. 2",0589,500,386,886,3420,25.91%,497,359,856
"Judge, County Probate Court No. 2",0590,772,399,1171,2162,54.16%,936,195,1131
"Judge, County Probate Court No. 2",0591,183,231,414,2121,19.52%,124,273,397
"Judge, County Probate Court No. 2",0592,133,157,290,1350,21.48%,78,197,275
"Judge, County Probate Court No. 2",0593,543,564,1107,4380,25.27%,545,507,1052
"Judge, County Probate Court No. 2",0594,561,326,887,2490,35.62%,256,604,860
"Judge, County Probate Court No. 2",0595,201,178,379,1693,22.39%,71,296,367
"Judge, County Probate Court No. 2",0596,441,348,789,3007,26.24%,445,314,759
"Judge, County Probate Court No. 2",0597,367,394,761,3653,20.83%,331,417,748
"Judge, County Probate Court No. 2",0598,195,57,252,728,34.62%,208,38,246
"Judge, County Probate Court No. 2",0599,850,578,1428,4950,28.85%,517,866,1383
"Judge, County Probate Court No. 2",0600,667,429,1096,3957,27.70%,449,596,1045
"Judge, County Probate Court No. 2",0601,1073,756,1829,4057,45.08%,1395,369,1764
"Judge, County Probate Court No. 2",0602,293,235,528,1326,39.82%,391,123,514
"Judge, County Probate Court No. 2",0603,884,794,1678,4843,34.65%,1084,551,1635
"Judge, County Probate Court No. 2",0604,702,518,1220,3005,40.60%,1031,152,1183
"Judge, County Probate Court No. 2",0605,907,556,1463,5582,26.21%,366,1057,1423
"Judge, County Probate Court No. 2",0606,176,70,246,937,26.25%,5,237,242
"Judge, County Probate Court No. 2",0607,52,51,113,728,15.52%,13,95,108
"Judge, County Probate Court No. 2",0608,31,47,78,537,14.53%,44,28,72
"Judge, County Probate Court No. 2",0609,557,680,1347,3384,39.80%,854,421,1275
"Judge, County Probate Court No. 2",0610,231,188,419,1927,21.74%,223,162,385
"Judge, County Probate Court No. 2",0611,495,242,737,2488,29.62%,26,697,723
"Judge, County Probate Court No. 2",0612,996,497,1493,3307,45.15%,1134,278,1412
"Judge, County Probate Court No. 2",0613,186,204,390,1554,25.10%,67,311,378
"Judge, County Probate Court No. 2",0614,737,566,1303,4207,30.97%,508,746,1254
"Judge, County Probate Court No. 2",0615,480,299,779,1967,39.60%,510,245,755
"Judge, County Probate Court No. 2",0616,739,663,1402,3436,40.80%,1000,348,1348
"Judge, County Probate Court No. 2",0617,541,393,934,3809,24.52%,388,521,909
"Judge, County Probate Court No. 2",0618,946,567,1513,6003,25.20%,768,698,1466
"Judge, County Probate Court No. 2",0619,1219,803,2022,4297,47.06%,1509,417,1926
"Judge, County Probate Court No. 2",0620,689,264,953,2897,32.90%,611,301,912
"Judge, County Probate Court No. 2",0621,154,101,255,1133,22.51%,138,104,242
"Judge, County Probate Court No. 2",0622,881,524,1405,4403,31.91%,878,475,1353
"Judge, County Probate Court No. 2",0623,887,487,1374,3691,37.23%,939,368,1307
"Judge, County Probate Court No. 2",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Probate Court No. 2",0625,477,362,839,1820,46.10%,491,293,784
"Judge, County Probate Court No. 2",0626,581,440,1021,2861,35.69%,576,387,963
"Judge, County Probate Court No. 2",0627,346,322,668,3049,21.91%,254,384,638
"Judge, County Probate Court No. 2",0628,152,219,371,1675,22.15%,199,163,362
"Judge, County Probate Court No. 2",0629,37,53,90,696,12.93%,16,73,89
"Judge, County Probate Court No. 2",0630,974,600,1574,3905,40.31%,128,1403,1531
"Judge, County Probate Court No. 2",0631,822,404,1226,2846,43.08%,913,265,1178
"Judge, County Probate Court No. 2",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Probate Court No. 2",0633,943,731,1674,3559,47.04%,1202,410,1612
"Judge, County Probate Court No. 2",0634,458,442,900,3029,29.71%,605,262,867
"Judge, County Probate Court No. 2",0635,743,485,1228,3393,36.19%,934,254,1188
"Judge, County Probate Court No. 2",0636,836,874,1710,4140,41.30%,1488,166,1654
"Judge, County Probate Court No. 2",0637,409,362,771,2512,30.69%,179,545,724
"Judge, County Probate Court No. 2",0638,304,245,549,2204,24.91%,46,477,523
"Judge, County Probate Court No. 2",0639,549,547,1096,2526,43.39%,894,159,1053
"Judge, County Probate Court No. 2",0640,641,459,1100,3733,29.47%,701,360,1061
"Judge, County Probate Court No. 2",0641,649,596,1245,3650,34.11%,841,356,1197
"Judge, County Probate Court No. 2",0642,471,394,865,1764,49.04%,691,129,820
"Judge, County Probate Court No. 2",0643,934,653,1587,5945,26.69%,635,899,1534
"Judge, County Probate Court No. 2",0644,1019,823,1842,5523,33.35%,1234,527,1761
"Judge, County Probate Court No. 2",0645,654,594,1248,4185,29.82%,698,498,1196
"Judge, County Probate Court No. 2",0646,364,287,651,2220,29.32%,205,408,613
"Judge, County Probate Court No. 2",0647,904,470,1374,6084,22.58%,389,869,1258
"Judge, County Probate Court No. 2",0648,838,579,1417,3367,42.08%,1023,346,1369
"Judge, County Probate Court No. 2",0649,687,434,1121,4576,24.50%,367,677,1044
"Judge, County Probate Court No. 2",0650,906,766,1672,3888,43.00%,1238,360,1598
"Judge, County Probate Court No. 2",0651,963,766,1729,5128,33.72%,1121,535,1656
"Judge, County Probate Court No. 2",0652,467,515,982,2815,34.88%,180,769,949
"Judge, County Probate Court No. 2",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Probate Court No. 2",0654,950,1005,1955,6208,31.49%,1086,797,1883
"Judge, County Probate Court No. 2",0655,1116,1079,2195,6855,32.02%,1384,723,2107
"Judge, County Probate Court No. 2",0656,579,393,972,2674,36.35%,37,911,948
"Judge, County Probate Court No. 2",0657,246,172,418,1292,32.35%,169,232,401
"Judge, County Probate Court No. 2",0658,540,426,966,2807,34.41%,644,298,942
"Judge, County Probate Court No. 2",0659,1149,788,1937,4856,39.89%,1397,479,1876
"Judge, County Probate Court No. 2",0660,950,825,1775,5372,33.04%,164,1565,1729
"Judge, County Probate Court No. 2",0661,675,765,1440,4567,31.53%,855,528,1383
"Judge, County Probate Court No. 2",0662,1148,890,2038,4874,41.81%,1653,313,1966
"Judge, County Probate Court No. 2",0663,717,797,1514,3346,45.25%,777,628,1405
"Judge, County Probate Court No. 2",0664,352,250,602,2869,20.98%,137,436,573
"Judge, County Probate Court No. 2",0665,482,348,830,2154,38.53%,706,95,801
"Judge, County Probate Court No. 2",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0667,488,502,990,2149,46.07%,784,166,950
"Judge, County Probate Court No. 2",0668,399,509,908,2775,32.72%,601,280,881
"Judge, County Probate Court No. 2",0669,850,738,1,588,3425,46.36%,1168,354,1522
"Judge, County Probate Court No. 2",0670,955,471,1427,2983,47.84%,1151,221,1372
"Judge, County Probate Court No. 2",0671,403,565,968,3037,31.87%,601,326,927
"Judge, County Probate Court No. 2",0672,959,862,1821,5706,31.91%,1261,500,1761
"Judge, County Probate Court No. 2",0673,729,516,1245,2995,41.57%,1010,186,1196
"Judge, County Probate Court No. 2",0674,1071,618,1689,4091,41.29%,1282,345,1627
"Judge, County Probate Court No. 2",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Probate Court No. 2",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Probate Court No. 2",0677,127,127,254,1266,20.06%,92,147,239
"Judge, County Probate Court No. 2",0678,166,108,274,735,37.28%,178,75,253
"Judge, County Probate Court No. 2",0679,635,520,1155,3381,34.16%,887,220,1107
"Judge, County Probate Court No. 2",0680,21,14,35,162,21.60%,14,21,35
"Judge, County Probate Court No. 2",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Probate Court No. 2",0682,711,654,1365,4216,32.38%,1023,299,1322
"Judge, County Probate Court No. 2",0683,29,20,49,276,17.75%,9,36,45
"Judge, County Probate Court No. 2",0684,27,22,49,223,21.97%,25,21,46
"Judge, County Probate Court No. 2",0685,110,29,139,307,45.28%,65,65,130
"Judge, County Probate Court No. 2",0686,17,12,29,208,13.94%,12,16,28
"Judge, County Probate Court No. 2",0687,549,537,1086,2609,41.63%,740,282,1022
"Judge, County Probate Court No. 2",0688,999,617,1616,3504,46.12%,1308,239,1547
"Judge, County Probate Court No. 2",0689,211,387,598,2346,25.49%,309,258,567
"Judge, County Probate Court No. 2",0690,926,1104,2030,5102,39.79%,1651,309,1960
"Judge, County Probate Court No. 2",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Probate Court No. 2",0692,444,548,992,2847,34.84%,759,194,953
"Judge, County Probate Court No. 2",0693,167,91,258,666,38.74%,73,172,245
"Judge, County Probate Court No. 2",0694,260,120,380,845,44.97%,267,91,358
