Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0366,252,270,522,2454,21.27%,132,369,8,6,515
Attorney General,0367,170,138,308,1130,27.26%,67,229,9,1,306
Attorney General,0368,178,88,266,958,27.77%,76,182,2,2,262
Attorney General,0369,32,29,61,559,10.91%,17,43,0,1,61
Attorney General,0370,1532,1105,2637,6593,40.00%,2010,551,36,13,2610
Attorney General,0371,122,52,174,502,34.66%,6,161,3,3,173
Attorney General,0372,221,170,391,1224,31.94%,56,324,1,2,383
Attorney General,0373,21,12,33,157,21.02%,3,28,0,1,32
Attorney General,0374,65,93,158,738,21.41%,58,95,3,2,158
Attorney General,0375,254,220,474,2645,17.92%,242,210,4,5,461
Attorney General,0376,278,205,483,1910,25.29%,218,247,5,2,472
Attorney General,0377,525,583,1109,2920,37.98%,807,253,22,13,1095
Attorney General,0378,232,354,586,1829,32.04%,362,201,17,1,581
Attorney General,0379,432,289,721,2027,35.57%,74,623,7,4,708
Attorney General,0380,1303,995,2298,5666,40.56%,1210,988,54,18,2270
Attorney General,0381,412,248,660,2855,23.12%,314,327,5,3,649
Attorney General,0382,132,157,289,922,31.34%,209,70,5,2,286
Attorney General,0383,289,263,552,2173,25.40%,225,305,6,5,541
Attorney General,0384,573,373,946,2657,35.60%,190,724,10,8,932
Attorney General,0385,583,670,1253,2207,56.77%,916,293,18,7,1234
Attorney General,0386,662,469,1131,2922,38.71%,826,276,7,4,1113
Attorney General,0387,555,672,1227,3935,31.18%,888,296,16,8,1208
Attorney General,0388,1432,1010,2442,6888,35.45%,1395,968,42,17,2422
Attorney General,0389,91,208,299,1026,29.14%,36,231,15,7,289
Attorney General,0390,355,263,619,1480,41.82%,66,524,9,8,607
Attorney General,0391,508,260,768,1883,40.79%,475,264,13,9,761
Attorney General,0392,387,155,542,1446,37.48%,9,517,2,7,535
Attorney General,0393,165,185,350,1292,27.09%,162,173,8,2,345
Attorney General,0394,69,73,142,834,17.03%,71,62,4,2,139
Attorney General,0395,470,404,874,1846,47.35%,610,226,18,5,859
Attorney General,0396,623,216,839,2082,40.30%,18,805,7,1,831
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0397,86,78,164,760,21.58%,78,78,4,1,161
Attorney General,0398,615,521,1136,4022,28.24%,603,497,19,6,1125
Attorney General,0399,404,366,770,2791,27.59%,418,327,10,7,762
Attorney General,0400,620,359,979,2411,40.61%,702,229,18,8,957
Attorney General,0401,330,205,535,1913,27.97%,25,492,6,5,528
Attorney General,0402,466,266,732,1794,40.80%,44,667,5,5,721
Attorney General,0403,475,498,973,1715,56.73%,512,428,8,3,951
Attorney General,0404,419,330,749,2585,28.97%,430,292,10,4,736
Attorney General,0405,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0406,137,67,204,628,32.48%,7,195,0,0,202
Attorney General,0407,692,793,1485,3769,39.40%,964,456,24,10,1454
Attorney General,0408,146,153,299,1691,17.68%,139,146,7,3,295
Attorney General,0409,122,149,271,1459,18.57%,107,146,4,5,262
Attorney General,0410,132,80,212,899,23.58%,46,155,3,2,206
Attorney General,0411,235,200,435,2339,18.60%,159,256,8,3,426
Attorney General,0412,74,44,118,468,25.21%,8,106,1,0,115
Attorney General,0413,767,386,1153,2992,38.54%,459,648,12,9,1128
Attorney General,0414,654,480,1134,3453,32.84%,879,226,10,3,1118
Attorney General,0415,539,598,1137,2203,51.61%,749,344,26,7,1126
Attorney General,0416,538,558,1096,3791,28.91%,597,453,23,7,1080
Attorney General,0417,353,385,738,2448,30.15%,380,331,16,4,731
Attorney General,0418,404,469,873,3584,24.36%,360,467,16,7,850
Attorney General,0419,571,324,895,2658,33.67%,590,267,20,5,882
Attorney General,0420,1036,874,1910,4762,40.11%,1580,282,28,4,1894
Attorney General,0421,36,37,73,410,17.80%,26,43,3,0,72
Attorney General,0422,731,402,1133,3345,33.87%,32,1080,2,8,1122
Attorney General,0423,108,120,228,1376,16.57%,78,143,3,1,225
Attorney General,0424,240,111,351,967,36.30%,195,137,11,3,346
Attorney General,0425,107,123,230,883,26.05%,83,132,6,1,222
Attorney General,0426,260,183,443,1218,36.37%,255,164,9,1,429
Attorney General,0427,179,134,313,1092,28.66%,135,159,3,2,299
Attorney General,0428,619,421,1040,4538,22.92%,330,618,15,6,969
Attorney General,0429,445,314,759,3197,23.74%,209,494,10,8,721
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0430,161,133,294,1657,17.74%,61,193,10,5,269
Attorney General,0431,327,64,411,3417,12.03%,142,235,7,6,392
Attorney General,0432,123,157,260,1455,19.24%,91,167,16,2,276
Attorney General,0433,50,63,113,561,19.45%,23,77,6,2,106
Attorney General,0434,371,269,660,1503,43.91%,396,236,14,2,646
Attorney General,0435,656,636,1492,3252,45.66%,924,504,26,9,1463
Attorney General,0436,629,531,1160,2933,39.55%,692,412,21,11,1136
Attorney General,0437,521,512,1033,2033,50.61%,704,296,19,2,1021
Attorney General,0436,519,369,1006,1661,54.16%,734,246,15,0,995
Attorney General,0439,710,664,1594,3554,44.65%,1091,437,29,5,1562
Attorney General,0440,664,656,1522,2930,51.95%,1153,319,22,3,1497
Attorney General,0441,345,420,765,1669,45.64%,564,170,12,3,749
Attorney General,0442,612,574,1166,2575,46.06%,979,160,6,6,1173
Attorney General,0443,227,136,365,646,56.50%,246,103,6,3,362
Attorney General,0444,587,563,1270,3262,36.93%,765,430,39,4,1256
Attorney General,0445,499,346,647,2026,41.61%,555,263,6,9,635
Attorney General,0446,31,22,53,291,16.21%,26,23,1,1,51
Attorney General,0447,93,66,179,637,26.10%,51,116,7,2,176
Attorney General,0446,590,776,1366,3136,43.59%,736,546,42,6,1334
Attorney General,0449,12,23,35,196,17.66%,3,30,1,0,34
Attorney General,0450,435,326,764,2635,26.99%,229,502,16,7,754
Attorney General,0451,1002,510,1512,2667,56.27%,1206,264,17,1,1490
Attorney General,0452,554,444,996,3046,32.74%,723,234,21,4,962
Attorney General,0453,231,262,493,1937,25.45%,197,274,4,3,476
Attorney General,0454,594,246,642,2561,32.66%,14,610,3,7,634
Attorney General,0455,367,165,532,1669,31.50%,21,497,3,7,526
Attorney General,0456,462,362,644,3513,24.03%,499,329,3,7,636
Attorney General,0457,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0456,471,237,706,1924,36.60%,31,646,7,9,695
Attorney General,0459,951,474,1425,3021,47.17%,1107,264,21,4,1416
Attorney General,0460,554,331,665,2637,31.19%,223,626,17,11,677
Attorney General,0461,1155,735,1900,3671,49.06%,1273,552,35,7,1667
Attorney General,0462,675,619,1294,3364,36.24%,461,765,16,7,1269
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0463,481,404,885,3326,26.61%,389,458,19,5,871
Attorney General,0464,356,430,786,2257,34.82%,552,204,23,3,782
Attorney General,0465,688,520,1208,3564,33.89%,673,493,28,5,1199
Attorney General,0466,1058,614,1672,4184,39.96%,960,668,12,5,1645
Attorney General,0467,213,189,402,1270,31.65%,95,292,5,3,395
Attorney General,0468,352,443,795,3598,22.10%,256,504,10,11,781
Attorney General,0469,1299,547,1846,3985,46.32%,1432,361,19,10,1822
Attorney General,0470,185,176,361,1326,27.22%,268,75,8,3,354
Attorney General,0471,375,380,755,2387,31.63%,606,129,9,6,750
Attorney General,0472,198,278,476,1081,44.03%,173,277,12,6,468
Attorney General,0473,603,391,994,1806,55.04%,675,289,14,3,981
Attorney General,0474,559,588,1147,3037,37.77%,783,322,31,4,1140
Attorney General,0475,189,267,456,1809,25.21%,224,204,13,5,446
Attorney General,0476,404,473,877,2430,36.09%,487,354,17,7,865
Attorney General,0477,737,567,1304,3505,37.20%,989,270,31,3,1293
Attorney General,0478,958,657,1615,4461,36.20%,1081,472,35,9,1597
Attorney General,0479,840,612,1252,2714,46.13%,902,295,35,4,1236
Attorney General,0480,493,450,943,2415,39.05%,682,227,21,5,935
Attorney General,0481,770,623,1393,3482,40.01%,1055,288,22,7,1372
Attorney General,0482,878,830,1508,4373,34.48%,1059,384,43,8,1494
Attorney General,0483,1043,478,1521,4308,35.31%,867,587,28,12,1494
Attorney General,0484,1107,930,2037,4979,40.91%,1442,522,38,13,2015
Attorney General,0485,1095,911,2006,5388,37.23%,1544,399,44,5,1992
Attorney General,0486,873,855,1728,3866,44.70%,1329,330,35,3,1697
Attorney General,0487,570,294,864,3860,22.38%,306,485,13,3,807
Attorney General,0488,268,254,522,1719,30.37%,191,294,15,2,502
Attorney General,0489,350,290,640,1893,33.81%,206,399,17,5,627
Attorney General,0490,444,368,812,1975,41.11%,283,502,9,4,798
Attorney General,0491,315,372,687,1888,36.39%,397,257,20,4,678
Attorney General,0492,556,410,966,2335,41.37%,571,360,13,7,951
Attorney General,0493,480,322,802,1853,43.28%,523,241,14,5,783
Attorney General,0494,381,247,628,2467,25.46%,80,527,6,5,618
Attorney General,0495,522,523,1045,2375,44.00%,735,260,22,4,1021
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0496,190,315,505,2160,23.38%,206,278,7,4,495
Attorney General,0497,526,243,769,2257,34.07%,27,721,1,4,753
Attorney General,0498,363,323,585,2297,29.87%,302,348,16,6,672
Attorney General,0499,751,518,1269,2326,54.56%,908,318,17,5,1248
Attorney General,0500,729,715,1444,3507,41.17%,996,399,26,10,1431
Attorney General,0501,341,417,758,1801,42.09%,252,451,36,7,746
Attorney General,0502,477,350,827,2501,33.07%,677,127,7,6,817
Attorney General,0503,174,116,290,1374,21.11%,111,153,6,6,276
Attorney General,0504,624,527,1151,2288,50.31%,727,371,36,4,1138
Attorney General,0505,531,562,1193,3773,31.62%,531,603,27,13,1174
Attorney General,0506,665,670,1335,3502,38.12%,238,1036,12,19,1305
Attorney General,0507,221,149,370,2452,15.09%,70,230,6,3,309
Attorney General,0508,492,412,904,3287,27.50%,330,491,22,4,847
Attorney General,0509,754,596,1350,3732,36.17%,937,348,37,8,1330
Attorney General,0510,689,514,1203,3590,33.51%,572,564,37,11,1184
Attorney General,0511,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0512,602,660,1262,5057,24.96%,598,619,27,10,1254
Attorney General,0513,1019,487,1506,2894,52.04%,1134,326,24,2,1486
Attorney General,0514,954,720,1674,4275,39.16%,1252,363,37,7,1659
Attorney General,0515,943,683,1626,3455,47.06%,1305,266,28,5,1604
Attorney General,0516,1001,800,1801,5356,33.63%,958,766,32,14,1770
Attorney General,0517,482,256,738,2954,24.98%,413,299,14,7,733
Attorney General,0518,635,693,1328,3943,33.68%,868,411,29,5,1313
Attorney General,0519,623,493,1116,2966,37.63%,822,256,21,9,1108
Attorney General,0520,474,457,931,4580,20.33%,172,726,15,9,922
Attorney General,0521,471,464,935,2866,32.62%,498,392,21,8,919
Attorney General,0522,716,572,1288,2689,47.90%,961,278,32,3,1274
Attorney General,0523,751,415,1166,3052,38.20%,781,337,29,7,1154
Attorney General,0524,568,459,1027,3410,30.12%,337,648,12,4,1001
Attorney General,0525,707,482,1189,3091,38.47%,274,870,18,4,1166
Attorney General,0526,58,84,152,780,19.49%,44,93,4,2,143
Attorney General,0527,37,40,77,574,13.41%,42,30,4,1,77
Attorney General,0528,14,12,26,90,28.89%,2,23,1,0,26
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0529,1043,491,1534,3710,41.35%,1314,188,24,5,1511
Attorney General,0530,114,107,221,1198,18.48%,58,148,8,2,212
Attorney General,0531,383,174,537,1145,48.90%,421,103,5,1,530
Attorney General,0532,205,148,351,1048,33.49%,259,81,4,3,347
Attorney General,0533,124,108,232,1119,20.73%,134,82,8,3,225
Attorney General,0534,783,524,1,307,3837,34.08%,991,270,25,3,1289
Attorney General,0535,33,29,82,418,14.90%,28,30,2,1,81
Attorney General,0538,554,780,1,334,5139,25.98%,508,787,25,7,1307
Attorney General,0537,857,778,1835,3050,53.81%,1188,398,22,4,1810
Attorney General,0538,204,180,384,1,303,27.94%,4,338,4,10,358
Attorney General,0539,15,241,258,84,400.00%,89,187,8,1,245
Attorney General,0540,378,318,894,1587,44.29%,243,418,8,8,875
Attorney General,0541,789,505,1294,4599,28.14%,180,1051,25,17,1273
Attorney General,0542,380,382,742,2557,29.02%,51,881,5,5,722
Attorney General,0543,141,213,354,1585,22.82%,114,209,12,8,341
Attorney General,0544,38,41,77,310,24.84%,11,83,1,0,75
Attorney General,0545,598,820,1218,3829,33.51%,823,558,20,4,1203
Attorney General,0548,2,2,4,37,10.81%,1,1,1,1,4
Attorney General,0547,501,488,987,2408,40.19%,873,243,35,7,958
Attorney General,0548,288,293,579,2215,28.14%,304,250,12,3,589
Attorney General,0549,343,418,781,2883,28.58%,109,831,8,4,752
Attorney General,0550,501,431,932,3031,30.75%,528,389,17,7,919
Attorney General,0551,1288,1394,2882,7034,38.13%,1998,814,40,8,2858
Attorney General,0552,847,883,1730,3415,50.88%,1418,259,27,12,1718
Attorney General,0553,579,529,1108,4888,23.84%,502,559,23,7,1091
Attorney General,0554,281,199,480,1757,28.18%,90,328,7,8,431
Attorney General,0555,225,277,502,2219,22.82%,105,377,5,4,491
Attorney General,0558,278,188,482,2319,19.92%,137,298,9,8,450
Attorney General,0557,455,183,838,2830,22.54%,283,300,9,7,579
Attorney General,0558,894,483,1157,4380,28.42%,395,705,19,14,1133
Attorney General,0559,841,494,1135,4989,22.84%,331,753,20,11,1115
Attorney General,0580,72,131,203,1120,18.13%,55,135,4,1,195
Attorney General,0581,382,438,798,3084,28.04%,488,277,20,5,790
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0562,113,68,181,694,26.08%,25,149,4,1,179
Attorney General,0563,1108,376,1484,3105,47.79%,1146,283,30,10,1469
Attorney General,0564,471,426,897,3155,28.43%,228,616,30,6,880
Attorney General,0565,108,78,186,1354,13.74%,40,126,4,6,176
Attorney General,0566,418,324,742,2882,25.75%,219,477,26,10,732
Attorney General,0567,301,193,494,2238,22.07%,155,293,9,7,464
Attorney General,0568,876,685,1561,3594,43.43%,1004,487,36,8,1535
Attorney General,0569,575,667,1242,3525,35.23%,645,530,31,11,1217
Attorney General,0570,239,210,449,1562,28.75%,152,270,11,7,440
Attorney General,0571,155,149,304,1827,16.64%,116,172,1,6,295
Attorney General,0572,556,375,931,3108,29.95%,469,438,16,2,925
Attorney General,0573,290,151,441,1619,27.24%,6,426,3,2,437
Attorney General,0574,31,42,73,402,18.16%,9,62,1,1,73
Attorney General,0575,13,11,24,74,32.43%,19,3,0,1,23
Attorney General,0576,485,318,804,2734,29.41%,23,761,6,5,795
Attorney General,0577,148,88,236,608,38.82%,138,88,3,1,230
Attorney General,0578,409,538,947,1799,52.64%,564,351,19,4,938
Attorney General,0579,76,101,177,1056,16.76%,33,130,5,4,172
Attorney General,0580,179,118,297,1031,28.81%,4,283,1,1,289
Attorney General,0581,212,174,386,1032,37.40%,8,370,1,2,381
Attorney General,0582,258,171,429,1588,27.02%,25,390,2,3,420
Attorney General,0583,225,131,356,1262,28.21%,12,332,3,4,351
Attorney General,0584,182,93,275,1014,27.12%,9,259,2,1,271
Attorney General,0585,417,172,589,2511,23.46%,15,560,2,4,581
Attorney General,0586,638,680,1318,4316,30.54%,794,465,32,9,1300
Attorney General,0587,439,284,723,2598,27.83%,286,418,13,3,720
Attorney General,0588,758,674,1432,3645,39.29%,1010,366,39,4,1419
Attorney General,0589,500,386,886,3420,25.91%,486,351,24,9,870
Attorney General,0590,773,399,1172,2162,54.21%,887,251,17,2,1157
Attorney General,0591,183,231,414,2121,19.52%,119,262,13,6,400
Attorney General,0592,133,157,290,1350,21.48%,79,198,6,3,286
Attorney General,0593,544,564,1108,4380,25.30%,542,519,18,13,1092
Attorney General,0594,551,325,887,2490,35.62%,245,618,8,7,878
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0595,201,178,379,1693,22.39%,67,300,1,4,372
Attorney General,0596,441,348,789,3007,26.24%,428,318,21,10,777
Attorney General,0597,367,394,761,3653,20.83%,320,414,13,7,754
Attorney General,0598,195,57,252,728,34.62%,201,42,6,0,249
Attorney General,0599,850,578,1428,4950,28.85%,512,867,20,10,1409
Attorney General,0600,667,429,1096,3957,27.70%,447,596,21,7,1071
Attorney General,0601,1074,756,1830,4057,45.11%,1378,388,35,9,1810
Attorney General,0602,293,235,528,1326,39.82%,382,131,10,4,527
Attorney General,0603,884,794,1678,4843,34.65%,1038,560,47,12,1657
Attorney General,0604,702,518,1220,3005,40.60%,1011,175,18,3,1207
Attorney General,0605,907,556,1463,5582,26.21%,366,1045,18,9,1438
Attorney General,0606,176,70,246,937,26.25%,4,237,0,1,242
Attorney General,0607,62,51,113,728,15.52%,13,95,2,0,110
Attorney General,0608,31,47,78,537,14.53%,43,28,0,1,72
Attorney General,0609,557,680,1347,3384,39.80%,838,456,22,7,1323
Attorney General,0610,231,188,419,1927,21.74%,217,180,6,2,405
Attorney General,0611,495,242,737,2488,29.62%,27,688,2,7,724
Attorney General,0612,996,497,1493,3307,45.15%,1119,312,28,10,1469
Attorney General,0613,186,204,390,1554,25.10%,69,311,5,2,387
Attorney General,0614,737,566,1303,4207,30.97%,494,764,15,9,1282
Attorney General,0615,480,299,779,1967,39.60%,486,268,16,4,774
Attorney General,0616,739,663,1402,3436,40.80%,967,376,32,5,1380
Attorney General,0617,541,393,934,3809,24.52%,381,517,20,9,927
Attorney General,0618,946,567,1513,6003,25.20%,754,699,31,9,1493
Attorney General,0619,1219,803,2022,4297,47.06%,1471,452,60,12,1995
Attorney General,0620,689,264,953,2897,32.90%,587,341,9,5,942
Attorney General,0621,154,101,255,1133,22.51%,132,110,7,4,253
Attorney General,0622,881,524,1405,4403,31.91,%,857,493,26,7,1383
Attorney General,0623,887,487,1374,3691,37.23%,936,395,18,5,1354
Attorney General,0624,1,1,2,3,66.67%,1,1,0,0,2
Attorney General,0625,477,362,839,1820,46.10%,470,333,15,7,825
Attorney General,0626,581,440,1021,2861,35.69%,567,411,19,8,1005
Attorney General,0627,346,322,668,3049,21.91%,240,391,9,10,650
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0628,152,219,371,1675,22.15%,188,168,7,2,365
Attorney General,0629,37,53,90,696,12.93%,18,72,0,0,90
Attorney General,0630,975,600,1576,3905,40.36%,114,1399,22,15,1550
Attorney General,0631,822,404,1226,2846,43.08%,887,303,16,8,1214
Attorney General,0632,7,4,11,343,3.21%,2,8,1,0,11
Attorney General,0633,945,731,1676,3559,47.09%,1170,453,27,10,1660
Attorney General,0634,458,442,900,3029,29.71%,588,272,26,7,893
Attorney General,0635,743,485,1228,3393,36.19%,896,280,31,10,1217
Attorney General,0636,836,874,1710,4140,41.30%,1480,200,17,4,1701
Attorney General,0637,409,362,771,2512,30.69%,193,527,16,8,744
Attorney General,0638,304,245,549,2204,24.91%,42,485,5,4,536
Attorney General,0639,549,547,1096,2526,43.39%,867,185,32,2,1086
Attorney General,0640,641,459,1100,3733,29.47%,687,375,25,5,1092
Attorney General,0641,649,596,1245,3650,34.11%,828,378,21,9,1236
Attorney General,0642,472,394,866,1764,49.09%,695,148,10,2,855
Attorney General,0643,934,653,1587,5945,26.69%,613,909,29,8,1559
Attorney General,0644,1020,823,1843,5523,33.37%,1205,552,41,13,1811
Attorney General,0645,655,594,1249,4185,29.84%,657,529,32,12,1230
Attorney General,0646,364,287,651,2220,29.32%,208,401,6,6,621
Attorney General,0647,904,470,1374,6084,22.58%,388,870,16,8,1282
Attorney General,0648,838,579,1417,3367,42.08%,1006,368,23,5,1402
Attorney General,0649,687,434,1121,4576,24.50%,368,684,22,12,1086
Attorney General,0650,906,766,1672,3888,43.00%,1190,429,26,5,1650
Attorney General,0651,963,766,1729,5128,33.72%,1096,563,33,10,1702
Attorney General,0652,467,515,982,2815,34.88%,168,775,8,8,959
Attorney General,0653,0,4,4,0,0.00%,0,4,0,0,4
Attorney General,0654,950,1005,1955,6208,31.49%,1080,814,33,8,1935
Attorney General,0655,1116,1079,2195,6855,32.02%,1338,751,64,12,2165
Attorney General,0656,579,393,972,2674,36.35%,38,909,7,5,959
Attorney General,0657,247,172,419,1292,32.43%,176,234,4,2,416
Attorney General,0658,540,426,966,2807,34.41%,618,324,12,3,957
Attorney General,0659,1150,788,1938,4856,39.91%,1372,497,37,13,1919
Attorney General,0660,950,825,1775,5372,33.04%,168,1562,7,19,1756
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0661,675,765,1440,4567,31.53%,825,548,29,15,1417
Attorney General,0662,1148,890,2038,4874,41.81%,1642,347,22,5,2016
Attorney General,0663,719,797,1516,3346,45.31%,733,706,36,14,1489
Attorney General,0664,352,250,602,2869,20.98%,128,440,11,5,584
Attorney General,0665,484,348,832,2154,38.63%,703,97,18,5,823
Attorney General,0666,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0667,488,502,990,2149,46.07%,761,202,20,1,984
Attorney General,0668,399,509,908,2775,32.72%,573,295,27,4,899
Attorney General,0669,850,738,1588,3425,46.36%,1118,417,23,10,1568
Attorney General,0670,957,471,1428,2983,47.87%,1110,270,32,6,1418
Attorney General,0671,403,565,968,3037,31.87%,589,338,22,8,957
Attorney General,0672,960,862,1822,5706,31.93%,1235,521,34,7,1797
Attorney General,0673,729,516,1245,2995,41.57%,983,223,19,8,1233
Attorney General,0674,1071,618,1689,4091,41.29%,1249,379,25,12,1665
Attorney General,0675,0,1,1,0,0.00%,1,0,0,0,1
Attorney General,0676,0,0,0,0,0.00%,0,0,0,0,0
Attorney General,0677,127,127,254,1266,20.06%,98,147,2,2,249
Attorney General,0678,166,108,274,735,37.28%,171,88,11,1,271
Attorney General,0679,635,520,1155,3381,34.16%,875,240,15,5,1135
Attorney General,0680,21,14,35,162,21.60%,13,20,0,2,35
Attorney General,0681,1,0,1,5,20.00%,1,0,0,0,1
Attorney General,0682,711,654,1365,4216,32.38%,1010,309,23,5,1347
Attorney General,0683,29,20,49,276,17.75%,10,33,3,1,47
Attorney General,0684,28,22,50,223,22.42%,25,23,1,0,49
Attorney General,0685,110,29,139,307,45.28%,65,69,1,1,136
Attorney General,0686,17,12,29,208,13.94%,8,18,3,0,29
Attorney General,0687,549,537,1086,2609,41.63%,744,297,23,6,1070
Attorney General,0688,999,617,1616,3504,46.12%,1300,279,14,9,1602
Attorney General,0689,211,387,598,2346,25.49%,305,265,15,3,588
Attorney General,0690,926,1104,2030,5102,39.79%,1635,327,46,6,2014
Attorney General,0691,2,5,7,25,28.00%,3,4,0,0,7
Attorney General,0692,444,548,992,2847,34.84%,737,214,25,8,984
Attorney General,0693,167,91,258,666,38.74%,68,172,10,3,253
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0694,250,120,380,845,44.97%,248,114,9,1,372
Attorney General,0695,232,193,425,1724,24.65%,275,131,4,5,415
Attorney General,0696,251,207,468,1982,23.61%,294,153,14,1,462
Attorney General,0697,605,613,1218,4413,27.60%,312,858,12,16,1198
Attorney General,0698,448,489,937,3189,29.38%,99,800,12,8,919
Attorney General,0699,568,414,982,2343,41.91,%,639,306,13,4,962
Attorney General,0700,255,251,506,1371,36.91%,427,62,6,3,498
Attorney General,0701,56,43,99,588,16.84%,65,30,2,0,97
Attorney General,0702,54,70,134,539,24.86%,19,111,0,1,131
Attorney General,0703,372,490,862,1882,45.80%,611,212,21,7,851
Attorney General,0704,569,599,1168,3064,38.12%,942,195,17,3,1157
Attorney General,0705,114,113,227,1523,14.90%,34,183,2,3,222
Attorney General,0706,115,71,186,610,30.49%,95,85,2,2,184
Attorney General,0707,153,86,239,707,33.80%,149,76,6,2,233
Attorney General,0708,54,52,106,563,18.83%,52,47,2,2,103
Attorney General,0709,1375,947,2322,6848,33.91%,1392,855,46,11,2304
Attorney General,0710,371,462,833,2082,40.01%,440,346,23,4,813
Attorney General,0711,703,506,1209,3484,34.70%,725,436,28,10,1199
Attorney General,0712,491,463,954,3670,25.99%,407,511,16,10,944
Attorney General,0713,228,252,490,1907,25.69%,251,223,10,2,486
Attorney General,0714,35,19,55,296,18.58%,32,20,2,0,54
Attorney General,0715,175,187,363,1408,25.78%,212,139,4,2,357
Attorney General,0716,449,407,856,2680,31.94%,603,227,17,5,852
Attorney General,0717,373,250,623,2002,31.12%,82,524,3,6,515
Attorney General,0718,1017,806,1823,4229,43.11%,1261,483,43,2,1789
Attorney General,0719,247,137,384,1589,24.17%,230,140,5,3,378
Attorney General,0720,995,780,1775,4282,41.45%,1307,397,37,7,1748
Attorney General,0721,754,532,1286,2870,44.81%,833,413,19,4,1269
Attorney General,0722,873,494,1367,4479,30.52%,102,1215,11,11,1339
Attorney General,0723,401,202,603,1858,32.45%,131,449,6,4,590
Attorney General,0724,151,128,279,766,36.42%,213,60,2,1,276
Attorney General,0725,423,237,660,2237,29.50%,310,328,7,6,651
Attorney General,0726,592,402,994,2087,47.63%,858,109,17,2,986
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0727,338,290,628,2488,25.24%,201,381,20,8,610
Attorney General,0728,209,151,360,880,40.91%,218,124,9,2,353
Attorney General,0729,136,59,195,464,42.03%,119,73,2,1,195
Attorney General,0730,428,359,787,1747,45.05%,502,253,10,4,769
Attorney General,0731,58,27,85,352,24.15%,25,59,1,0,85
Attorney General,0732,441,324,765,1924,39.76%,467,252,27,6,752
Attorney General,0733,13,7,20,215,9.30%,8,10,1,0,19
Attorney General,0734,1558,962,2520,7005,35.97%,1727,712,44,14,2497
Attorney General,0735,8,0,8,18,33.33%,6,0,0,0,6
Attorney General,0736,3,1,4,22,18.18%,0,3,0,1,4
Attorney General,0737,11,7,18,51,35.29%,13,4,0,1,18
Attorney General,0738,139,100,239,1361,17.56%,46,178,5,1,230
Attorney General,0739,353,301,654,2955,22.13%,340,276,16,6,638
Attorney General,0740,96,98,194,939,20.66%,128,55,2,4,189
Attorney General,0741,0,1,1,0,0.00%,0,1,0,0,1
Attorney General,0742,0,11,11,0,0.00%,6,5,0,0,11
Attorney General,0743,15,18,33,210,15.71%,17,10,2,1,30
