Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0087,574,787,1461,2818,51.85%,836,575,31,4,1446
Attorney General,0088,123,118,241,693,34.78%,158,72,4,2,236
Attorney General,0089,165,371,536,1094,48.99%,257,251,8,4,520
Attorney General,0090,845,790,1635,3700,44.19%,1159,413,44,5,1621
Attorney General,0091,221,222,443,1505,29.44%,257,167,14,1,439
Attorney General,0092,695,462,1157,2242,51.61%,751,361,22,5,1139
Attorney General,0093,381,301,582,3356,20.32%,270,361,15,8,654
Attorney General,0094,51,43,94,549,17.12%,28,62,2,1,93
Attorney General,0095,917,576,1493,3177,46.99%,1048,392,28,5,1473
Attorney General,0096,83,83,166,1296,12.81%,22,142,0,2,166
Attorney General,0097,1024,725,1749,4828,36.23%,1300,405,22,6,1733
Attorney General,0098,403,488,891,2651,33.61%,731,121,19,8,879
Attorney General,0099,254,184,438,2092,20.94%,207,214,8,5,434
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0100,165,173,338,1730,19.54%,174,147,9,3,333
Attorney General,0101,72,58,130,946,13.74%,46,76,6,1,129
Attorney General,0102,207,121,328,1872,17.52%,88,225,6,0,319
Attorney General,0103,700,714,1414,5371,26.33%,806,563,19,8,1396
Attorney General,0104,530,231,761,1905,39.95%,18,727,2,3,750
Attorney General,0105,196,210,406,2165,18.75%,133,235,11,5,384
Attorney General,0106,18,7,25,294,8.50%,16,9,0,0,25
Attorney General,0107,154,197,351,2032,17.27%,56,277,5,6,344
Attorney General,0108,558,272,940,3365,27.93%,563,343,18,4,928
Attorney General,0109,530,245,775,2824,27.44%,9,748,2,5,764
Attorney General,0110,854,494,1148,3042,37.74%,742,368,17,5,1132
Attorney General,0111,816,795,1611,4102,39.27%,1178,377,36,3,1594
Attorney General,0112,542,485,1027,2976,34.51%,760,239,19,3,1021
Attorney General,0113,552,429,991,2647,37.44%,582,358,20,15,975
Attorney General,0114,707,547,1254,3311,37.87%,1008,216,19,4,1247
Attorney General,0115,238,150,388,1800,21.56%,53,319,1,4,377
Attorney General,0116,982,776,1758,3147,55.86%,1295,396,35,2,1728
Attorney General,0117,216,226,442,1880,23.51%,217,207,8,3,435
Attorney General,0118,304,123,427,759,56.26%,333,81,10,1,425
Attorney General,0119,1290,1024,2314,5500,42.07%,1853,386,38,9,2286
Attorney General,0120,713,422,1135,3191,35.57%,732,364,16,8,1120
Attorney General,0121,92,178,270,848,31.84%,191,69,4,2,266
Attorney General,0122,352,225,577,1890,30.53%,22,532,8,7,569
Attorney General,0123,285,288,573,1392,41.16%,132,411,18,7,568
Attorney General,0124,1734,1292,3026,7254,41.71%,2384,576,40,6,3006
Attorney General,0125,415,332,747,2405,31.06%,452,259,17,10,738
Attorney General,0126,893,467,1360,3100,43.87%,1207,128,13,5,1353
Attorney General,0127,435,154,589,1836,32.08%,419,144,10,3,576
Attorney General,0128,445,707,1152,2290,50.31%,646,460,19,5,1130
Attorney General,0129,1031,1200,2231,5746,38.83%,1339,790,51,15,2195
Attorney General,0130,727,523,1250,2333,53.58%,897,322,9,2,1230
Attorney General,0131,251,259,510,1935,26.36%,120,361,7,6,494
Attorney General,0132,593,323,916,2387,38.37%,20,869,6,6,901
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0133,514,858,1372,2662,51.54%,728,572,37,10,1347
Attorney General,0134,192,265,457,1437,31.80%,209,230,7,3,449
Attorney General,0135,730,579,1309,2671,49.01%,832,427,22,4,1285
Attorney General,0136,503,371,874,2013,43.42%,30,811,9,11,861
Attorney General,0137,166,141,307,716,42.88%,138,156,8,3,305
Attorney General,0138,296,199,495,1699,29.13%,16,469,0,5,490
Attorney General,0139,700,551,1251,3037,41.19%,505,681,30,12,1228
Attorney General,0140,701,480,1181,3214,36.75%,137,990,21,18,1166
Attorney General,0141,80,80,160,855,18.71%,97,54,4,0,155
Attorney General,0142,87,103,190,902,21.06%,63,118,3,2,186
Attorney General,0143,1962,580,2542,6386,39.81%,1807,672,34,4,2517
Attorney General,0144,216,158,374,1093,34.22%,7,355,4,2,368
Attorney General,0145,264,213,477,1538,31.01%,11,451,2,1,465
Attorney General,0146,426,519,945,2008,47.06%,383,499,26,17,925
Attorney General,0147,589,329,101,8,3008,33.84%,125,861,11,7,1004
Attorney General,0148,500,780,1280,2540,50.39%,428,784,33,7,1252
Attorney General,0149,1621,737,2358,7993,29.50%,1201,1070,44,19,2334
Attorney General,0150,236,169,405,1256,32.25%,16,385,1,0,402
Attorney General,0151,137,79,216,826,26.15%,10,198,0,2,210
Attorney General,0152,214,299,513,2788,18.40%,127,345,14,11,497
Attorney General,0153,125,206,331,1808,18.31%,102,205,7,3,317
Attorney General,0154,249,183,432,2190,19.73%,103,290,14,9,416
Attorney General,0155,1022,619,1641,4109,39.94%,1129,469,15,12,1625
Attorney General,0156,800,326,1126,3071,36.67%,40,1046,14,9,1109
Attorney General,0157,448,214,662,2236,29.61%,25,619,6,1,651
Attorney General,0158,600,315,915,3035,30.15%,26,864,5,5,900
Attorney General,0159,116,127,243,998,24.35%,37,196,5,2,240
Attorney General,0160,122,73,195,696,28.02%,7,184,3,1,195
Attorney General,0161,163,141,304,991,30.68%,4,291,0,2,297
Attorney General,0162,101,83,184,1265,14.55%,70,103,4,0,177
Attorney General,0163,230,320,550,3037,18.11%,229,288,9,3,529
Attorney General,0164,182,205,387,1420,27.25%,11,364,2,0,377
Attorney General,0165,535,483,1018,2334,43.62%,654,322,21,4,1001
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0166,158,233,391,1028,38.04%,107,254,13,6,380
Attorney General,0167,3,0,3,24,12.50%,1,2,0,0,3
Attorney General,0168,92,58,150,503,29.82%,6,141,0,0,147
Attorney General,0169,516,251,767,2513,30.52%,14,730,6,3,753
Attorney General,0170,271,141,412,1869,22.04%,209,180,8,4,401
Attorney General,0171,202,198,400,1604,24.94%,14,380,0,2,396
Attorney General,0172,86,80,166,621,26.73%,63,89,2,6,160
Attorney General,0173,819,739,1558,3599,43.29%,1243,266,26,7,1542
Attorney General,0174,830,733,1563,3296,47.42%,1036,466,29,8,1539
Attorney General,0175,560,749,1309,2618,50.00%,617,632,25,13,1287
Attorney General,0176,344,451,795,1602,49.63%,396,364,12,4,776
Attorney General,0177,278,326,604,1496,40.37%,321,259,13,3,596
Attorney General,0178,504,365,869,1765,49.24%,548,289,20,0,857
Attorney General,0179,256,188,444,1575,28.19%,237,181,11,9,438
Attorney General,0180,470,343,813,2834,28.69%,19,757,10,10,796
Attorney General,0181,175,262,437,2061,21.20%,135,274,10,5,424
Attorney General,0182,590,974,1564,3405,45.93%,895,592,20,9,1516
Attorney General,0183,520,794,1314,2491,52.75%,770,489,21,4,1284
Attorney General,0184,106,135,241,994,24.25%,88,127,6,0,221
Attorney General,0185,283,292,575,1933,29.75%,197,343,11,5,556
Attorney General,0186,97,106,203,798,25.44%,34,165,2,0,201
Attorney General,0187,21,25,46,311,14.79%,13,30,1,0,44
Attorney General,0188,153,146,299,1637,18.27%,135,147,8,2,292
Attorney General,0189,239,360,599,1465,40.89%,301,251,26,9,587
Attorney General,0190,120,177,297,1723,17.24%,123,151,10,3,287
Attorney General,0191,79,126,205,1366,15.01%,91,103,5,2,201
Attorney General,0192,381,225,606,1959,30.93%,31,556,3,7,597
Attorney General,0193,173,187,360,1074,33.52%,10,334,2,6,352
Attorney General,0194,351,431,782,1912,40.90%,212,516,25,17,770
Attorney General,0195,269,278,547,1694,32.29%,18,512,8,4,542
Attorney General,0196,52,32,84,316,26.58%,5,74,5,0,84
Attorney General,0197,543,309,852,2914,29.24%,20,812,7,6,845
Attorney General,0198,53,74,127,642,19.78%,2,122,0,2,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0199,812,661,1473,3216,45.80%,1126,275,45,8,1454
Attorney General,0200,962,536,1498,3382,44.29%,639,778,32,10,1459
Attorney General,0201,98,87,185,724,25.55%,3,177,0,3,183
