Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0275,207,236,443,1850,23.95%,136,136
"County Commissioner, Precinct 2",0277,170,186,356,1492,23.86%,197,197
"County Commissioner, Precinct 2",0278,421,320,741,2454,30.20%,463,463
"County Commissioner, Precinct 2",0279,250,223,473,1941,24.37%,314,314
"County Commissioner, Precinct 2",0280,130,188,318,1524,20.87%,155,155
"County Commissioner, Precinct 2",0289,186,212,398,1564,25.45%,236,236
"County Commissioner, Precinct 2",0290,245,298,543,1642,33.07%,423,423
"County Commissioner, Precinct 2",0301,210,255,465,2352,19.77%,216,216
"County Commissioner, Precinct 2",0302,353,343,696,2720,25.59%,473,473
"County Commissioner, Precinct 2",0306,649,342,991,1879,52.74%,754,754
"County Commissioner, Precinct 2",0307,733,670,1403,3099,45.27%,1028,1028
"County Commissioner, Precinct 2",0308,199,130,329,1296,25.39%,137,137
"County Commissioner, Precinct 2",0326,87,74,161,698,23.07%,93,93
"County Commissioner, Precinct 2",0328,151,140,291,1434,20.29%,154,154
"County Commissioner, Precinct 2",0329,189,184,373,1397,26.70%,176,176
"County Commissioner, Precinct 2",0333,524,714,1238,3021,40.98%,927,927
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jack Morman,Totals
"County Commissioner, Precinct 2",0339,202,222,424,1757,24.13%,131,131
"County Commissioner, Precinct 2",0341,91,167,258,1290,20.00%,100,100
"County Commissioner, Precinct 2",0343,189,271,460,1964,23.42%,182,182
"County Commissioner, Precinct 2",0346,0,1,1,3,33.33%,1,1
"County Commissioner, Precinct 2",0347,592,436,1028,3387,30.35%,751,751
"County Commissioner, Precinct 2",0348,438,208,646,1708,37.82%,522,522
"County Commissioner, Precinct 2",0351,1491,710,2201,4712,46.71%,1809,1809
"County Commissioner, Precinct 2",0352,520,339,859,3205,26.80%,662,662
"County Commissioner, Precinct 2",0354,715,338,1053,3388,31.08%,327,327
"County Commissioner, Precinct 2",0369,32,29,61,559,10.91%,24,24
"County Commissioner, Precinct 2",0374,65,93,158,738,21.41,%,65,65
"County Commissioner, Precinct 2",0375,254,220,474,2645,17.92%,277,277
"County Commissioner, Precinct 2",0377,526,583,1109,2920,37.98%,868,868
"County Commissioner, Precinct 2",0381,412,248,660,2855,23.12%,361,361
"County Commissioner, Precinct 2",0386,662,469,1131,2922,38.71%,875,875
"County Commissioner, Precinct 2",0387,555,672,1227,3935,31.18%,952,952
"County Commissioner, Precinct 2",0388,1430,1010,2440,6888,35.42%,1538,1538
"County Commissioner, Precinct 2",0391,508,260,768,1883,40.79%,527,527
"County Commissioner, Precinct 2",0393,165,185,350,1292,27.09%,193,193
"County Commissioner, Precinct 2",0394,69,73,142,834,17.03%,81,81
"County Commissioner, Precinct 2",0397,86,78,164,760,21.58%,90,90
"County Commissioner, Precinct 2",0404,419,330,749,2585,28.97%,488,488
"County Commissioner, Precinct 2",0409,122,149,271,1459,18.57%,128,128
"County Commissioner, Precinct 2",0411,235,200,435,2339,18.60%,199,199
"County Commissioner, Precinct 2",0413,767,386,1153,2992,38.54%,514,514
"County Commissioner, Precinct 2",0414,654,480,1134,3453,32.84%,912,912
"County Commissioner, Precinct 2",0415,539,598,1137,2203,51.61%,809,809
"County Commissioner, Precinct 2",0416,538,558,1096,3791,28.91%,695,695
"County Commissioner, Precinct 2",0419,571,324,895,2658,33.67%,648,648
"County Commissioner, Precinct 2",0420,1036,874,1910,4762,40.11%,1621,1621
"County Commissioner, Precinct 2",0456,482,362,844,3513,24.03%,536,536
