Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0078,180,201,381,1522,25.03%,147,214,361
"District Judge, 295th Judicial District",0079,205,306,511,2927,17.46%,140,325,465
"District Judge, 295th Judicial District",0080,501,351,852,2725,31.27%,228,583,811
"District Judge, 295th Judicial District",0081,183,187,370,1835,20.16%,155,188,343
"District Judge, 295th Judicial District",0082,639,671,1310,3368,38.90%,1007,264,1271
"District Judge, 295th Judicial District",0083,1296,888,2184,6625,32.97%,1097,1014,2111
"District Judge, 295th Judicial District",0084,208,218,426,1373,31.03%,319,91,410
"District Judge, 295th Judicial District",0085,271,248,519,2173,23.88%,24,488,512
"District Judge, 295th Judicial District",0086,447,568,1015,2910,34.88%,482,473,955
"District Judge, 295th Judicial District",0087,574,787,1461,2818,51.85%,971,383,1354
"District Judge, 295th Judicial District",0088,123,118,241,693,34.78%,160,67,227
"District Judge, 295th Judicial District",0089,165,371,536,1094,48.99%,330,162,492
"District Judge, 295th Judicial District",0090,844,790,1634,3700,44.16%,1224,340,1564
"District Judge, 295th Judicial District",0091,219,222,441,1505,29.30%,277,147,424
"District Judge, 295th Judicial District",0092,695,462,1157,2242,51.61%,795,288,1083
"District Judge, 295th Judicial District",0093,381,301,682,3356,20.32%,291,351,642
"District Judge, 295th Judicial District",0094,51,43,94,549,17.12%,28,63,91
"District Judge, 295th Judicial District",0095,917,576,1493,3177,46.99%,1130,297,1427
"District Judge, 295th Judicial District",0096,83,83,166,1296,12.81%,25,140,165
"District Judge, 295th Judicial District",0097,1024,725,1749,4828,36.23%,1315,370,1685
"District Judge, 295th Judicial District",0098,403,488,891,2651,33.61%,749,111,860
"District Judge, 295th Judicial District",0099,254,184,438,2092,20.94%,221,204,425
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0100,155,173,338,1730,19.54%,190,140,330
"District Judge, 295th Judicial District",0101,72,58,130,946,13.74%,51,76,127
"District Judge, 295th Judicial District",0102,207,121,328,1872,17.52%,97,219,316
"District Judge, 295th Judicial District",0103,700,714,1414,5371,26.33%,820,555,1375
"District Judge, 295th Judicial District",0104,530,231,761,1905,39.95%,18,736,754
"District Judge, 295th Judicial District",0105,195,210,406,2165,18.75%,141,236,377
"District Judge, 295th Judicial District",0106,18,7,25,294,8.50%,16,9,25
"District Judge, 295th Judicial District",0107,154,197,351,2032,17.27%,57,278,335
"District Judge, 295th Judicial District",0108,558,272,940,3365,27.93%,581,323,904
"District Judge, 295th Judicial District",0109,529,245,774,2824,27.41%,9,751,760
"District Judge, 295th Judicial District",0110,554,494,1148,3042,37.74%,754,356,1110
"District Judge, 295th Judicial District",0111,816,795,1611,4102,39.27%,1206,336,1542
"District Judge, 295th Judicial District",0112,542,485,1027,2976,34.51%,770,217,987
"District Judge, 295th Judicial District",0113,552,429,991,2647,37.44%,626,318,944
"District Judge, 295th Judicial District",0114,707,547,1254,3311,37.87%,1021,201,1222
"District Judge, 295th Judicial District",0115,238,150,388,1800,21.56%,53,326,379
"District Judge, 295th Judicial District",0116,982,776,1758,3147,55.86%,1396,261,1657
"District Judge, 295th Judicial District",0117,215,226,441,1880,23.46%,230,188,418
"District Judge, 295th Judicial District",0118,304,123,427,759,56.26%,366,47,413
"District Judge, 295th Judicial District",0119,1288,1024,2312,5500,42.04%,1907,316,2223
"District Judge, 295th Judicial District",0120,712,422,1134,3191,35.54%,755,328,1083
"District Judge, 295th Judicial District",0121,92,178,270,848,31.84%,191,66,257
"District Judge, 295th Judicial District",0122,352,225,577,1890,30.53%,18,544,562
"District Judge, 295th Judicial District",0123,284,288,572,1392,41.09%,160,376,536
"District Judge, 295th Judicial District",0124,1734,1292,3026,7254,41.71%,2434,512,2946
"District Judge, 295th Judicial District",0125,415,332,747,2405,31.06%,465,254,719
"District Judge, 295th Judicial District",0126,893,467,1360,3100,43.87%,1216,111,1327
"District Judge, 295th Judicial District",0127,435,154,589,1836,32.08%,434,121,555
"District Judge, 295th Judicial District",0128,445,707,1152,2290,50.31%,776,279,1055
"District Judge, 295th Judicial District",0129,1030,1200,2230,5746,38.81%,1469,645,2114
"District Judge, 295th Judicial District",0130,727,523,1250,2333,53.58%,959,230,1189
"District Judge, 295th Judicial District",0131,251,259,510,1935,26.36%,129,357,486
"District Judge, 295th Judicial District",0132,593,323,916,2387,38.37%,21,875,896
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Caroline E. Baker,DEM Latosha Lewis,Totals
"District Judge, 295th Judicial District",0133,513,858,1371,2662,51.50%,854,399,1253
"District Judge, 295th Judicial District",0134,192,265,457,1437,31.80%,217,218,435
"District Judge, 295th Judicial District",0135,727,579,1305,2671,48.90%,974,265,1239
"District Judge, 295th Judicial District",0136,503,371,874,2013,43.42%,35,817,852
"District Judge, 295th Judicial District",0137,166,141,307,716,42.88%,165,116,281
"District Judge, 295th Judicial District",0138,296,199,495,1699,29.13%,18,471,489
"District Judge, 295th Judicial District",0139,699,551,1250,3037,41.16%,592,577,1169
"District Judge, 295th Judicial District",0140,699,480,1179,3214,36.68%,151,991,1142
"District Judge, 295th Judicial District",0141,80,80,160,855,18.71%,101,51,152
"District Judge, 295th Judicial District",0142,87,103,190,902,21.06%,70,112,182
"District Judge, 295th Judicial District",0143,1962,580,2542,6386,39.81%,1858,626,2484
"District Judge, 295th Judicial District",0144,216,158,374,1093,34.22%,9,356,365
"District Judge, 295th Judicial District",0145,264,213,477,1538,31.01%,10,453,463
"District Judge, 295th Judicial District",0146,426,519,945,2008,47.06%,437,457,894
"District Judge, 295th Judicial District",0147,589,329,1018,3008,33.84%,132,858,990
"District Judge, 295th Judicial District",0148,500,780,1280,2540,50.39%,567,605,1172
"District Judge, 295th Judicial District",0149,1621,737,2358,7993,29.50%,1245,1049,2294
"District Judge, 295th Judicial District",0150,236,169,405,1256,32.25%,13,387,400
"District Judge, 295th Judicial District",0151,137,79,216,826,26.15%,10,198,208
"District Judge, 295th Judicial District",0152,213,299,512,2788,18.36%,152,338,490
"District Judge, 295th Judicial District",0153,125,206,331,1808,18.31%,118,196,314
"District Judge, 295th Judicial District",0154,249,183,432,2190,19.73%,127,282,409
"District Judge, 295th Judicial District",0155,1022,619,1641,4109,39.94%,1176,410,1586
"District Judge, 295th Judicial District",0156,799,326,1125,3071,36.63%,40,1060,1100
"District Judge, 295th Judicial District",0157,448,214,662,2236,29.61%,23,623,646
"District Judge, 295th Judicial District",0158,600,315,915,3035,30.15%,25,874,899
"District Judge, 295th Judicial District",0159,116,127,243,998,24.35%,43,192,235
"District Judge, 295th Judicial District",0160,122,73,195,696,28.02%,5,188,193
"District Judge, 295th Judicial District",0161,163,141,304,991,30.68%,4,293,297
"District Judge, 295th Judicial District",0162,101,83,184,1265,14.55%,74,97,171
"District Judge, 295th Judicial District",0163,230,320,550,3037,18.11%,255,266,521
"District Judge, 295th Judicial District",0164,182,205,387,1420,27.25%,11,369,380
"District Judge, 295th Judicial District",0165,535,483,1018,2334,43.62%,711,260,971
