Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0072,220,293,513,1924,26.66%,160,311,10,17,498
Comptroller of Public Accounts,0073,252,414,666,1555,42.83%,351,258,11,18,638
Comptroller of Public Accounts,0074,1153,782,1935,3583,54.01%,1459,408,22,6,1895
Comptroller of Public Accounts,0075,254,280,534,1444,36.98%,194,291,21,9,515
Comptroller of Public Accounts,0076,373,374,747,2362,31.63%,424,292,13,5,734
Comptroller of Public Accounts,0077,43,46,89,566,15.72%,18,66,2,0,86
Comptroller of Public Accounts,0078,181,201,382,1522,25.10%,127,231,7,7,372
Comptroller of Public Accounts,0079,205,306,511,2927,17.46%,124,339,10,10,483
Comptroller of Public Accounts,0080,501,351,852,2725,31.27%,206,604,10,8,828
Comptroller of Public Accounts,0081,183,187,370,1835,20.16%,141,200,6,6,353
Comptroller of Public Accounts,0082,639,671,1310,3368,38.90%,933,307,38,9,1287
Comptroller of Public Accounts,0083,1298,888,2186,6625,33.00%,1053,1042,35,11,2141
Comptroller of Public Accounts,0084,208,218,426,1373,31.03%,304,100,9,4,417
Comptroller of Public Accounts,0085,271,248,519,2173,23.88%,20,476,7,9,512
Comptroller of Public Accounts,0086,448,568,1016,2910,34.91%,433,512,41,6,992
Comptroller of Public Accounts,0087,574,787,1461,2818,51.85%,835,546,38,4,1423
Comptroller of Public Accounts,0088,123,118,241,693,34.78%,155,72,6,3,236
Comptroller of Public Accounts,0089,165,371,536,1094,48.99%,257,240,15,3,515
Comptroller of Public Accounts,0090,845,790,1635,3700,44.19%,1118,412,49,11,1590
Comptroller of Public Accounts,0091,221,222,443,1505,29.44%,249,156,22,3,430
Comptroller of Public Accounts,0092,695,462,1157,2242,51.61%,725,360,29,14,1128
Comptroller of Public Accounts,0093,381,301,682,3356,20.32%,268,367,14,7,656
Comptroller of Public Accounts,0094,51,43,94,549,17.12%,28,58,2,4,92
Comptroller of Public Accounts,0095,917,576,1493,3177,46.99%,1023,401,28,13,1465
Comptroller of Public Accounts,0096,83,83,166,1296,12.81%,23,137,1,4,165
Comptroller of Public Accounts,0097,1024,725,1749,4828,36.23%,1267,404,43,4,1718
Comptroller of Public Accounts,0098,403,488,891,2651,33.61%,713,133,21,4,871
Comptroller of Public Accounts,0099,254,184,438,2092,20.94%,211,207,10,6,434
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0100,165,173,338,1730,19.54%,174,151,6,3,334
Comptroller of Public Accounts,0101,72,58,130,946,13.74%,40,81,6,1,128
Comptroller of Public Accounts,0102,207,121,328,1872,17.52%,87,220,8,1,316
Comptroller of Public Accounts,0103,700,714,1414,5371,26.33%,781,570,34,6,1391
Comptroller of Public Accounts,0104,530,231,761,1905,39.95%,18,728,5,2,753
Comptroller of Public Accounts,0105,196,210,406,2165,18.75%,133,240,8,6,387
Comptroller of Public Accounts,0106,18,7,25,294,8.50%,16,9,0,0,25
Comptroller of Public Accounts,0107,154,197,351,2032,17.27%,53,281,7,3,344
Comptroller of Public Accounts,0108,668,272,940,3365,27.93%,552,348,15,3,918
Comptroller of Public Accounts,0109,530,245,775,2824,27.44%,12,748,3,1,764
Comptroller of Public Accounts,0110,654,494,1148,3042,37.74%,722,366,29,4,1121
Comptroller of Public Accounts,0111,816,795,1611,4102,39.27%,1165,370,39,7,1581
Comptroller of Public Accounts,0112,542,485,1027,2976,34.51%,747,228,29,5,1009
Comptroller of Public Accounts,0113,552,429,991,2647,37.44%,577,367,18,10,972
Comptroller of Public Accounts,0114,707,547,1254,3311,37.87%,1012,202,20,5,1239
Comptroller of Public Accounts,0115,238,150,388,1800,21.56%,50,321,3,4,378
Comptroller of Public Accounts,0116,982,776,1758,3147,55.86%,1292,373,32,8,1705
Comptroller of Public Accounts,0117,216,226,442,1880,23.51%,216,202,9,3,430
Comptroller of Public Accounts,0118,304,123,427,759,56.26%,334,76,12,0,422
Comptroller of Public Accounts,0119,1290,1024,2314,5500,42.07%,1873,360,43,11,2287
