Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0309,708,593,1301,2524,51.55%,996,262,18,3,1279
Comptroller of Public Accounts,0310,386,279,665,1435,46.34%,431,202,7,5,645
Comptroller of Public Accounts,0311,485,421,907,2986,30.38%,465,373,13,17,868
Comptroller of Public Accounts,0312,742,457,1199,3636,32.98%,742,399,27,8,1176
Comptroller of Public Accounts,0313,9,0,9,62,14.52%,7,2,0,0,9
Comptroller of Public Accounts,0314,1121,913,2034,5647,36.02%,1262,688,41,11,2002
Comptroller of Public Accounts,0315,478,388,866,1608,53.86%,466,338,21,13,838
Comptroller of Public Accounts,0316,412,341,753,1537,48.99%,361,343,17,9,730
Comptroller of Public Accounts,0317,250,209,459,1588,28.90%,145,290,11,5,451
Comptroller of Public Accounts,0318,834,568,1402,3660,38.31%,62,1297,9,9,1377
Comptroller of Public Accounts,0319,512,230,742,2158,34.38%,42,676,3,6,727
Comptroller of Public Accounts,0320,234,168,402,1537,26.15%,197,192,5,2,396
Comptroller of Public Accounts,0321,262,191,453,2346,19.31%,162,261,4,13,440
Comptroller of Public Accounts,0322,182,129,311,1226,25.37%,98,197,7,3,305
Comptroller of Public Accounts,0323,278,211,489,1722,28.40%,229,221,13,7,470
Comptroller of Public Accounts,0324,532,545,1178,2336,50.43%,685,419,27,6,1137
Comptroller of Public Accounts,0325,289,193,482,2112,22.82%,97,351,16,5,469
Comptroller of Public Accounts,0326,87,74,161,698,23.07%,70,79,5,1,155
Comptroller of Public Accounts,0327,380,129,509,1729,29.44%,9,484,5,4,502
Comptroller of Public Accounts,0328,151,140,291,1434,20.29%,125,145,5,5,280
Comptroller of Public Accounts,0329,191,184,375,1397,26.84%,140,208,11,6,365
Comptroller of Public Accounts,0330,334,253,587,1936,30.32%,309,235,17,6,567
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0331,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0332,18,7,25,138,18.12%,12,10,0,0,22
Comptroller of Public Accounts,0333,524,714,1238,3021,40.98%,845,305,44,14,1208
Comptroller of Public Accounts,0334,83,42,125,742,16.85%,22,96,1,1,120
Comptroller of Public Accounts,0335,121,98,219,1300,16.85%,84,118,6,4,212
Comptroller of Public Accounts,0336,870,624,1494,4051,36.88%,128,1308,23,12,1471
Comptroller of Public Accounts,0337,124,103,227,1029,22.06%,35,175,2,4,216
Comptroller of Public Accounts,0338,731,391,1122,4934,22.74%,373,662,20,11,1066
Comptroller of Public Accounts,0339,202,222,424,1757,24.13%,87,302,11,8,408
Comptroller of Public Accounts,0340,1038,594,1632,3765,43.35%,1181,358,45,13,1597
Comptroller of Public Accounts,0341,91,167,258,1290,20.00%,78,167,4,3,252
Comptroller of Public Accounts,0342,675,605,1280,6526,19.61%,201,1035,12,10,1258
Comptroller of Public Accounts,0343,189,271,460,1964,23.42%,124,300,12,7,443
Comptroller of Public Accounts,0344,154,172,326,1160,28.10%,13,295,2,1,311
Comptroller of Public Accounts,0345,156,165,321,1804,17.79%,89,206,8,6,309
Comptroller of Public Accounts,0346,0,1,1,3,33.33%,1,0,0,0,1
Comptroller of Public Accounts,0347,592,436,1028,3387,30.35%,663,316,24,6,1009
Comptroller of Public Accounts,0348,438,208,646,1708,37.82%,495,126,11,4,636
Comptroller of Public Accounts,0349,188,267,455,1349,33.73%,272,152,16,9,449
Comptroller of Public Accounts,0350,525,526,1051,2909,36.13%,390,572,29,16,1007
Comptroller of Public Accounts,0351,1491,710,2201,4712,46.71%,1708,415,35,12,2170
Comptroller of Public Accounts,0352,520,339,859,3205,26.80%,609,203,28,3,843
Comptroller of Public Accounts,0353,665,451,1116,3862,28.90%,200,877,10,7,1094
Comptroller of Public Accounts,0354,715,338,1053,3388,31.08%,255,753,16,5,1029
Comptroller of Public Accounts,0355,301,264,565,1560,36.22%,48,496,6,4,554
Comptroller of Public Accounts,0356,594,538,1132,2972,38.09%,706,362,25,5,1098
Comptroller of Public Accounts,0357,837,575,1412,3517,40.15%,992,359,23,9,1383
Comptroller of Public Accounts,0358,213,254,467,2492,18.74%,49,403,4,1,457
Comptroller of Public Accounts,0359,235,224,459,3061,15.00%,61,384,4,3,452
Comptroller of Public Accounts,0360,524,380,904,2146,42.12%,436,390,21,14,861
Comptroller of Public Accounts,0361,41,295,336,1673,20.08%,51,244,15,10,320
Comptroller of Public Accounts,0362,1138,887,2025,5086,39.82%,1454,452,48,14,1968
Comptroller of Public Accounts,0363,620,412,1032,3677,28.07%,459,535,15,7,1016
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0364,489,405,894,2658,33.63%,506,339,20,12,877
Comptroller of Public Accounts,0365,478,231,709,1305,54.33%,47,635,10,3,695
Comptroller of Public Accounts,0366,252,270,522,2454,21.27%,133,372,7,3,515
Comptroller of Public Accounts,0367,170,138,308,1130,27.26%,65,229,7,3,304
Comptroller of Public Accounts,0368,178,88,266,958,27.77%,74,185,2,1,262
Comptroller of Public Accounts,0369,32,29,61,559,10.91%,16,43,0,1,60
Comptroller of Public Accounts,0370,1532,1105,2637,6593,40.00%,1977,553,43,16,2589
Comptroller of Public Accounts,0371,122,52,174,502,34.66%,5,161,3,2,171
Comptroller of Public Accounts,0372,221,170,391,1224,31.94%,47,335,2,0,384
Comptroller of Public Accounts,0373,21,12,33,157,21.02%,1,28,0,2,31
Comptroller of Public Accounts,0374,85,93,158,738,21.41%,50,99,3,0,152
Comptroller of Public Accounts,0375,254,220,474,2645,17.92%,225,213,13,6,457
Comptroller of Public Accounts,0376,278,205,483,1910,25.29%,213,251,4,4,472
Comptroller of Public Accounts,0377,525,583,1109,2920,37.98%,803,246,24,8,1081
Comptroller of Public Accounts,0378,232,354,586,1829,32.04%,358,194,21,3,576
Comptroller of Public Accounts,0379,432,289,721,2027,35.57%,73,628,5,2,708
Comptroller of Public Accounts,0380,1303,995,2298,5666,40.56%,1206,973,59,18,2256
Comptroller of Public Accounts,0381,412,248,660,2855,23.12%,306,322,9,3,640
Comptroller of Public Accounts,0382,132,157,289,922,31.34%,207,72,5,1,285
Comptroller of Public Accounts,0383,289,263,552,2173,25.40%,219,310,6,5,540
Comptroller of Public Accounts,0384,573,373,946,2657,35.60%,192,724,8,6,930
Comptroller of Public Accounts,0385,583,670,1253,2207,56.77%,912,286,18,6,1222
Comptroller of Public Accounts,0386,662,469,1131,2922,38.71%,832,260,13,3,1108
Comptroller of Public Accounts,0387,555,672,1227,3935,31.18%,875,300,24,7,1206
Comptroller of Public Accounts,0388,1432,1010,2442,6888,35.45%,1347,996,54,13,2410
Comptroller of Public Accounts,0389,91,208,299,1026,29.14%,36,223,15,8,282
Comptroller of Public Accounts,0390,355,283,819,1480,41.82%,64,526,10,5,605
Comptroller of Public Accounts,0391,508,260,768,1883,40.79%,461,265,12,16,754
Comptroller of Public Accounts,0392,387,155,542,1446,37.48%,7,521,1,6,535
Comptroller of Public Accounts,0393,165,185,350,1292,27.09%,156,172,16,2,346
Comptroller of Public Accounts,0394,89,73,142,834,17.03%,65,62,6,4,137
Comptroller of Public Accounts,0395,470,404,874,1846,47.35%,594,227,21,8,850
Comptroller of Public Accounts,0396,623,216,839,2082,40.30%,1,7,804,3,1,825
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0397,85,78,164,760,21,58%,81,78,2,0,161
Comptroller of Public Accounts,0398,615,521,1136,4022,28.24%,605,487,19,9,1120
Comptroller of Public Accounts,0399,404,366,770,2791,27.59%,413,322,15,7,757
Comptroller of Public Accounts,0400,520,359,979,2411,40.61%,686,234,22,7,949
Comptroller of Public Accounts,0401,330,205,535,1913,27.97%,18,498,5,6,527
Comptroller of Public Accounts,0402,466,266,732,1794,40.80%,39,676,4,3,722
Comptroller of Public Accounts,0403,475,498,973,1715,56.73%,507,422,10,2,941
Comptroller of Public Accounts,0404,419,330,749,2585,28.97%,420,288,14,8,730
Comptroller of Public Accounts,0405,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0406,137,67,204,628,32.48%,4,198,0,0,202
Comptroller of Public Accounts,0407,692,793,1485,3769,39.40%,955,453,25,5,1438
Comptroller of Public Accounts,0408,146,153,299,1691,17.68%,140,143,6,5,294
Comptroller of Public Accounts,0409,122,149,271,1459,18.57%,105,147,5,4,261
Comptroller of Public Accounts,0410,132,80,212,899,23.58%,43,162,2,0,207
Comptroller of Public Accounts,0411,235,200,435,2339,18.60%,150,261,7,8,426
Comptroller of Public Accounts,0412,74,44,118,468,25.21%,7,106,1,0,114
Comptroller of Public Accounts,0413,767,386,1153,2992,38.54%,444,661,15,7,1127
Comptroller of Public Accounts,0414,654,480,1134,3453,32.84%,860,234,10,7,1111
Comptroller of Public Accounts,0415,539,598,1137,2203,51.61%,727,343,31,11,1112
Comptroller of Public Accounts,0416,538,558,1095,3791,28.91%,595,434,31,15,1075
Comptroller of Public Accounts,0417,353,385,738,2448,30.15%,371,325,15,9,720
Comptroller of Public Accounts,0418,404,469,873,3584,24.36%,354,466,17,11,848
Comptroller of Public Accounts,0419,571,324,895,2658,33.67%,591,265,17,6,879
Comptroller of Public Accounts,0420,1036,874,1910,4762,40.11%,1542,291,35,8,1876
Comptroller of Public Accounts,0421,35,37,73,410,17.80%,25,44,3,0,72
Comptroller of Public Accounts,0422,731,402,1133,3345,33.87%,32,1079,3,7,1121
Comptroller of Public Accounts,0423,108,120,228,1376,16.57%,73,147,1,2,223
Comptroller of Public Accounts,0424,240,111,351,967,36.30%,194,134,11,4,343
Comptroller of Public Accounts,0425,107,123,230,883,26.05%,78,133,9,5,225
Comptroller of Public Accounts,0426,260,183,443,1218,36.37%,257,166,5,3,431
Comptroller of Public Accounts,0427,179,134,313,1092,28.66%,142,152,6,2,302
Comptroller of Public Accounts,0428,619,421,1040,4538,22.92%,335,619,14,7,975
Comptroller of Public Accounts,0429,445,314,759,3197,23.74%,205,503,4,10,722
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0430,161,133,294,1657,17.74%,81,190,10,6,287
Comptroller of Public Accounts,0431,327,84,411,3417,12.03%,136,236,10,9,391
Comptroller of Public Accounts,0432,123,157,280,1455,19.24%,93,163,15,4,275
Comptroller of Public Accounts,0433,50,63,113,581,19.45%,22,81,4,1,108
Comptroller of Public Accounts,0434,371,289,660,1503,43.91%,394,221,15,4,634
Comptroller of Public Accounts,0435,856,636,1492,3252,45.88%,914,502,28,8,1452
Comptroller of Public Accounts,0436,629,531,1160,2933,39.55%,698,399,20,8,1125
Comptroller of Public Accounts,0437,521,512,1033,2033,50.81%,695,287,19,4,1005
Comptroller of Public Accounts,0438,519,389,1008,1861,54.16%,724,238,14,1,977
Comptroller of Public Accounts,0439,710,884,1594,3554,44.85%,1086,411,30,11,1538
Comptroller of Public Accounts,0440,664,858,1522,2930,51.95%,1133,319,27,2,1481
Comptroller of Public Accounts,0441,345,420,765,1669,45.84%,560,165,12,3,740
Comptroller of Public Accounts,0442,612,574,1186,2575,46.06%,957,191,15,8,1171
Comptroller of Public Accounts,0443,227,138,365,646,56.50%,236,105,9,4,354
Comptroller of Public Accounts,0444,587,583,1270,3262,38.93%,768,419,38,9,1234
Comptroller of Public Accounts,0445,499,348,847,2026,41.81%,549,258,13,7,827
Comptroller of Public Accounts,0446,31,22,53,291,18.21%,25,26,0,0,51
Comptroller of Public Accounts,0447,93,86,179,637,28.10%,49,118,5,3,175
Comptroller of Public Accounts,0448,590,778,1368,3138,43.59%,741,528,37,14,1320
Comptroller of Public Accounts,0449,12,23,35,198,17.68%,4,30,0,0,34
Comptroller of Public Accounts,0450,435,328,764,2635,28.99%,227,499,15,9,750
Comptroller of Public Accounts,0451,1002,510,1512,2687,56.27%,1212,242,15,3,1472
Comptroller of Public Accounts,0452,554,444,998,3048,32.74%,715,235,23,7,980
Comptroller of Public Accounts,0453,231,262,493,1937,25.45%,195,272,7,6,480
Comptroller of Public Accounts,0454,594,248,842,2561,32.88%,15,805,3,5,828
Comptroller of Public Accounts,0455,367,165,532,1689,31.50%,21,497,5,4,527
Comptroller of Public Accounts,0456,482,362,844,3513,24.03%,491,327,7,5,830
Comptroller of Public Accounts,0457,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0458,471,237,708,1924,36.80%,36,642,5,9,692
Comptroller of Public Accounts,0459,951,474,1425,3021,47.17%,1077,294,27,6,1404
Comptroller of Public Accounts,0460,554,331,885,2837,31.19%,230,624,16,6,876
Comptroller of Public Accounts,0461,1155,735,1900,3871,49.08%,1263,525,41,11,1840
Comptroller of Public Accounts,0462,675,619,1294,3384,38.24%,449,784,16,18,1267
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0463,481,404,885,3326,26.61%,402,438,23,7,870
Comptroller of Public Accounts,0464,356,430,786,2257,34.82%,538,210,21,6,775
Comptroller of Public Accounts,0465,688,520,1208,3564,33.89%,672,491,22,6,1191
Comptroller of Public Accounts,0466,1058,614,1672,4184,39.96%,954,670,12,4,1640
Comptroller of Public Accounts,0467,213,189,402,1270,31.65%,88,298,6,2,394
Comptroller of Public Accounts,0468,352,443,795,3598,22.10%,237,513,10,11,771
Comptroller of Public Accounts,0469,1299,547,1846,3985,46.32%,1402,361,26,9,1798
Comptroller of Public Accounts,0470,185,176,361,1326,27.22%,263,75,7,4,349
Comptroller of Public Accounts,0471,375,380,755,2387,31.63%,594,126,19,9,748
Comptroller of Public Accounts,0472,198,278,476,1081,44.03%,169,269,12,6,456
Comptroller of Public Accounts,0473,603,391,994,1806,55.04%,666,284,14,10,974
Comptroller of Public Accounts,0474,559,588,1147,3037,37.77%,768,315,35,7,1125
Comptroller of Public Accounts,0475,189,267,456,1809,25.21%,214,209,12,6,441
Comptroller of Public Accounts,0476,404,473,877,2430,36.09%,477,356,17,7,857
Comptroller of Public Accounts,0477,737,567,1304,3505,37.20%,971,269,40,2,1282
Comptroller of Public Accounts,0478,958,657,1615,4461,36.20%,1065,481,30,13,1589
Comptroller of Public Accounts,0479,640,612,1252,2714,46.13%,891,291,37,10,1229
Comptroller of Public Accounts,0480,493,450,943,2415,39.05%,663,227,25,6,921
Comptroller of Public Accounts,0481,770,623,1393,3482,40.01%,1054,268,23,15,1360
Comptroller of Public Accounts,0482,878,830,1508,4373,34.48%,1045,375,49,11,1480
Comptroller of Public Accounts,0483,1043,478,1521,4308,35.31%,843,584,41,18,1486
Comptroller of Public Accounts,0484,1107,930,2037,4979,40.91%,1430,519,46,7,2002
Comptroller of Public Accounts,0485,1095,911,2006,5388,37.23%,1533,385,54,11,1983
Comptroller of Public Accounts,0486,873,855,1728,3866,44.70%,1326,325,40,3,1694
Comptroller of Public Accounts,0487,570,294,864,3860,22.38%,307,478,14,10,809
Comptroller of Public Accounts,0488,268,254,522,1719,30.37%,194,286,15,5,500
Comptroller of Public Accounts,0489,350,290,640,1893,33.81%,204,400,13,7,624
Comptroller of Public Accounts,0490,444,368,812,1975,41.11%,274,504,10,10,798
Comptroller of Public Accounts,0491,315,372,687,1888,36.39%,389,255,19,5,668
Comptroller of Public Accounts,0492,556,410,966,2335,41.37%,558,365,14,12,949
Comptroller of Public Accounts,0493,480,322,802,1853,43.28%,522,237,16,4,779
Comptroller of Public Accounts,0494,381,247,628,2467,25.46%,77,529,3,6,615
Comptroller of Public Accounts,0495,522,523,1045,2375,44.00%,723,262,24,6,1015
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0496,190,315,505,2160,23.38%,192,285,8,5,490
Comptroller of Public Accounts,0497,526,243,769,2257,34.07%,24,725,1,1,751
Comptroller of Public Accounts,0498,363,323,585,2297,29.87%,292,349,20,9,670
Comptroller of Public Accounts,0499,751,518,1269,2326,54.56%,898,313,20,7,1238
Comptroller of Public Accounts,0500,729,715,1444,3507,41.17%,981,395,30,15,1421
Comptroller of Public Accounts,0501,341,417,758,1801,42.09%,252,443,30,7,732
Comptroller of Public Accounts,0502,477,350,827,2501,33.07%,669,133,8,3,813
Comptroller of Public Accounts,0503,174,116,290,1374,21.11%,105,157,9,3,274
Comptroller of Public Accounts,0504,624,527,1151,2288,50.31%,706,372,40,9,1127
Comptroller of Public Accounts,0505,531,562,1193,3773,31.62%,516,592,27,19,1154
Comptroller of Public Accounts,0506,665,670,1335,3502,38.12%,226,1054,14,13,1307
Comptroller of Public Accounts,0507,221,149,370,2452,15.09%,73,223,6,8,310
Comptroller of Public Accounts,0508,492,412,904,3287,27.50%,334,490,23,10,857
Comptroller of Public Accounts,0509,754,596,1350,3732,36.17%,938,334,32,17,1321
Comptroller of Public Accounts,0510,689,514,1203,3590,33.51%,576,543,41,18,1178
Comptroller of Public Accounts,0511,0,0,0,0,0.00%,0,0,0,0,0
Comptroller of Public Accounts,0512,602,660,1262,5057,24.96%,585,621,32,12,1250
Comptroller of Public Accounts,0513,1019,487,1506,2894,52.04%,1119,335,23,6,1483
Comptroller of Public Accounts,0514,954,720,1674,4275,39.16%,1238,355,45,7,1645
Comptroller of Public Accounts,0515,943,683,1626,3455,47.06%,1294,262,30,7,1593
Comptroller of Public Accounts,0516,1001,800,1801,5356,33.63%,940,761,37,18,1756
Comptroller of Public Accounts,0517,482,256,738,2954,24.98%,409,289,19,10,727
Comptroller of Public Accounts,0518,635,693,1328,3943,33.68%,865,404,25,11,1305
Comptroller of Public Accounts,0519,623,493,1116,2966,37.63%,805,253,27,12,1097
Comptroller of Public Accounts,0520,474,457,931,4580,20.33%,165,729,13,8,915
Comptroller of Public Accounts,0521,471,464,935,2866,32.62%,496,396,18,8,918
Comptroller of Public Accounts,0522,715,572,1288,2689,47.90%,978,250,30,7,1265
Comptroller of Public Accounts,0523,751,415,1166,3052,38.20%,766,339,31,7,1143
Comptroller of Public Accounts,0524,568,459,1027,3410,30.12%,339,640,17,5,1001
Comptroller of Public Accounts,0525,707,482,1189,3091,38.47%,263,885,19,7,1174
Comptroller of Public Accounts,0526,68,84,152,780,19.49%,42,98,3,1,144
Comptroller of Public Accounts,0527,37,40,77,574,13.41%,40,33,2,1,76
Comptroller of Public Accounts,0528,14,12,26,90,28.89%,1,22,1,1,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0529,1043,491,1534,3710,41.35%,1301,169,24,8,1502
Comptroller of Public Accounts,0530,114,107,221,1196,18.48%,56,147,4,2,209
Comptroller of Public Accounts,0531,363,174,537,1145,46.90%,419,96,6,1,522
Comptroller of Public Accounts,0532,205,146,351,1048,33.49%,245,86,8,6,345
Comptroller of Public Accounts,0533,124,108,232,1119,20.73%,126,84,10,3,223
Comptroller of Public Accounts,0534,783,524,1,307,3837,34.06%,959,288,26,4,1277
Comptroller of Public Accounts,0535,33,29,62,416,14.90%,28,30,2,1,61
Comptroller of Public Accounts,0536,554,780,1,334,5139,25.96%,509,768,24,8,1309
Comptroller of Public Accounts,0537,857,778,1635,3050,53.61%,1172,399,21,7,1599
Comptroller of Public Accounts,0538,204,160,364,1,303,27.94%,5,340,7,4,356
Comptroller of Public Accounts,0539,15,241,256,64,400.00%,74,158,8,2,242
Comptroller of Public Accounts,0540,378,316,694,1567,44.29%,244,402,15,6,667
Comptroller of Public Accounts,0541,789,505,1294,4599,28.14%,181,1049,19,15,1264
Comptroller of Public Accounts,0542,350,382,742,2557,29.02%,48,663,5,4,720
Comptroller of Public Accounts,0543,141,213,354,1565,22.62%,119,211,6,8,344
Comptroller of Public Accounts,0544,36,41,77,310,24.84%,12,63,0,0,75
Comptroller of Public Accounts,0545,596,620,1216,3629,33.51%,608,557,18,7,1190
Comptroller of Public Accounts,0546,2,2,4,37,10.81%,2,1,0,0,3
Comptroller of Public Accounts,0547,501,466,967,2406,40.19%,676,233,36,7,952
Comptroller of Public Accounts,0548,286,293,579,2215,26.14%,294,259,17,0,570
Comptroller of Public Accounts,0549,343,418,761,2663,28.58%,107,625,3,7,742
Comptroller of Public Accounts,0550,501,431,932,3031,30.75%,510,376,15,11,912
Comptroller of Public Accounts,0551,1288,1394,2682,7034,38.13%,1968,603,57,14,2642
Comptroller of Public Accounts,0552,847,883,1730,3415,50.66%,1,398,259,28,13,1698
Comptroller of Public Accounts,0553,579,529,1108,4686,23.64%,493,560,22,7,1082
Comptroller of Public Accounts,0554,261,199,460,1757,26.18%,92,333,8,2,435
Comptroller of Public Accounts,0555,225,277,502,2219,22.62%,107,370,10,5,492
Comptroller of Public Accounts,0556,276,186,462,2319,19.92%,134,301,9,7,451
Comptroller of Public Accounts,0557,455,183,638,2830,22.54%,268,294,10,5,577
Comptroller of Public Accounts,0558,694,463,1157,4380,26.42%,400,692,24,13,1129
Comptroller of Public Accounts,0559,641,494,1135,4969,22.84%,339,739,22,13,1113
Comptroller of Public Accounts,0560,72,131,203,1120,18.13%,54,132,3,5,194
Comptroller of Public Accounts,0561,362,436,798,3064,26.04%,481,276,20,9,786
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0562,113,68,181,694,26.08%,23,151,1,1,176
Comptroller of Public Accounts,0563,1108,376,1484,3105,47.79%,1117,298,28,9,1452
Comptroller of Public Accounts,0564,471,426,897,3155,28.43%,226,611,28,12,877
Comptroller of Public Accounts,0565,108,78,186,1354,13.74%,40,131,5,3,179
Comptroller of Public Accounts,0566,418,324,742,2882,25.75%,213,484,18,16,731
Comptroller of Public Accounts,0567,301,193,494,2238,22.07%,153,292,11,4,460
Comptroller of Public Accounts,0568,876,685,1561,3594,43.43%,992,467,41,17,1517
Comptroller of Public Accounts,0569,575,667,1242,3525,35.23%,635,523,35,8,1201
Comptroller of Public Accounts,0570,239,210,449,1562,28.75%,147,253,15,11,426
Comptroller of Public Accounts,0571,155,149,304,1827,16.64%,119,170,3,6,298
Comptroller of Public Accounts,0572,556,375,931,3108,29.95%,461,427,27,1,916
Comptroller of Public Accounts,0573,290,151,441,1619,27.24%,4,426,1,2,433
Comptroller of Public Accounts,0574,31,42,73,402,18.16%,8,61,1,2,72
Comptroller of Public Accounts,0575,13,11,24,74,32.43%,19,4,0,1,24
Comptroller of Public Accounts,0576,485,318,804,2734,29.41%,21,753,6,9,789
Comptroller of Public Accounts,0577,148,88,236,608,38.82%,142,84,1,3,230
Comptroller of Public Accounts,0578,409,538,947,1799,52.64%,559,343,18,10,930
Comptroller of Public Accounts,0579,76,101,177,1056,16.76%,34,134,3,0,171
Comptroller of Public Accounts,0580,179,118,297,1031,28.81%,2,285,1,1,289
Comptroller of Public Accounts,0581,212,174,385,1032,37.40%,8,370,2,1,381
Comptroller of Public Accounts,0582,258,171,429,1588,27.02%,23,394,1,3,421
Comptroller of Public Accounts,0583,225,131,356,1262,28.21%,9,334,4,2,349
Comptroller of Public Accounts,0584,182,93,275,1014,27.12%,12,256,2,1,271
Comptroller of Public Accounts,0585,417,172,589,2511,23.46%,15,565,3,2,585
Comptroller of Public Accounts,0586,638,680,1318,4316,30.54%,777,467,35,10,1289
Comptroller of Public Accounts,0587,439,284,723,2598,27.83%,285,410,11,6,712
Comptroller of Public Accounts,0588,758,674,1432,3645,39.29%,1011,356,36,8,1411
Comptroller of Public Accounts,0589,500,386,886,3420,25.91%,488,353,25,6,872
Comptroller of Public Accounts,0590,773,399,1172,2162,54.21%,884,242,25,2,1153
Comptroller of Public Accounts,0591,183,231,414,2121,19.52%,120,272,5,6,403
Comptroller of Public Accounts,0592,133,157,290,1350,21.48%,77,198,4,5,284
Comptroller of Public Accounts,0593,544,564,1108,4380,25.30%,542,508,18,12,1080
Comptroller of Public Accounts,0594,551,325,887,2490,35.62%,244,611,13,7,875
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0595,201,178,379,1693,22.39%,69,293,3,4,369
Comptroller of Public Accounts,0596,441,348,789,3007,26.24%,430,309,23,13,775
Comptroller of Public Accounts,0597,367,394,761,3653,20.83%,316,420,12,7,755
Comptroller of Public Accounts,0598,195,57,252,728,34.62%,197,45,1,2,245
Comptroller of Public Accounts,0599,850,578,1428,4950,28.85%,496,871,22,12,1401
Comptroller of Public Accounts,0600,667,429,1096,3957,27.70%,434,604,22,10,1070
Comptroller of Public Accounts,0601,1074,756,1830,4057,45.11%,1356,398,39,7,1800
Comptroller of Public Accounts,0602,293,235,525,1326,39.82%,384,126,12,4,526
Comptroller of Public Accounts,0603,554,794,1678,4843,34.65%,1046,541,52,11,1650
Comptroller of Public Accounts,0604,702,518,1220,3005,40.60%,995,170,25,5,1195
Comptroller of Public Accounts,0605,907,556,1463,5582,26.21%,356,1056,17,13,1442
Comptroller of Public Accounts,0606,176,70,246,937,26.25%,6,235,0,0,241
Comptroller of Public Accounts,0607,52,51,113,728,15.52%,12,98,1,0,111
Comptroller of Public Accounts,0608,31,47,78,537,14.53%,45,28,1,0,74
Comptroller of Public Accounts,0609,557,680,1347,3384,39.80%,826,446,26,10,1308
Comptroller of Public Accounts,0610,231,188,419,1927,21.74%,212,176,8,1,397
Comptroller of Public Accounts,0611,495,242,737,2488,29.62%,23,695,3,3,724
Comptroller of Public Accounts,0612,996,497,1493,3307,45.15%,1081,324,34,10,1449
Comptroller of Public Accounts,0613,186,204,390,1554,25.10%,66,315,3,1,385
Comptroller of Public Accounts,0514,737,555,1303,4207,30.97%,479,771,18,8,1276
Comptroller of Public Accounts,0615,450,299,779,1967,39.60%,480,263,19,6,768
Comptroller of Public Accounts,0616,739,663,1402,3436,40.80%,981,352,28,9,1370
Comptroller of Public Accounts,0617,541,393,934,3809,24.52%,375,525,18,8,926
Comptroller of Public Accounts,0618,946,567,1513,6003,25.20%,747,690,35,11,1483
Comptroller of Public Accounts,0619,1219,803,2022,4297,47.06%,1464,454,49,16,1983
Comptroller of Public Accounts,0620,689,264,953,2897,32.90%,580,342,8,6,936
Comptroller of Public Accounts,0621,154,101,255,1133,22.51%,135,103,4,8,250
Comptroller of Public Accounts,0622,881,524,1405,4403,31.91%,843,482,34,11,1370
Comptroller of Public Accounts,0623,887,487,1374,3691,37.23%,926,384,25,9,1344
Comptroller of Public Accounts,0624,1,1,2,3,66.67%,1,1,0,0,2
Comptroller of Public Accounts,0625,477,362,839,1820,46.10%,460,331,18,11,820
Comptroller of Public Accounts,0626,551,440,1021,2861,35.69%,544,414,17,10,985
