Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0264,482,457,939,2963,31.69%,600,75,88,763
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0265,988,759,1747,3584,48.74%,1337,83,73,1493
"Judge, Court of Criminal Appeals, Place 4",0266,259,257,516,2104,24.52%,282,34,50,366
"Judge, Court of Criminal Appeals, Place 4",0267,146,166,312,1327,23.51%,171,20,36,227
"Judge, Court of Criminal Appeals, Place 4",0268,435,717,1152,2493,46.21%,725,72,107,904
"Judge, Court of Criminal Appeals, Place 4",0269,702,453,1155,2030,56.90%,930,58,36,1024
"Judge, Court of Criminal Appeals, Place 4",0270,819,672,1491,3605,41.36%,882,130,199,1211
"Judge, Court of Criminal Appeals, Place 4",0271,656,382,1038,2518,41.22%,50,100,70,220
"Judge, Court of Criminal Appeals, Place 4",0272,264,292,556,2162,25.72%,229,95,88,412
"Judge, Court of Criminal Appeals, Place 4",0273,548,689,1237,2470,50.08%,1009,60,42,1111
"Judge, Court of Criminal Appeals, Place 4",0274,588,346,934,2153,43.38%,657,59,66,782
"Judge, Court of Criminal Appeals, Place 4",0275,207,236,443,1850,23.95%,121,61,50,232
"Judge, Court of Criminal Appeals, Place 4",0276,572,231,803,2536,31.66%,25,74,53,152
"Judge, Court of Criminal Appeals, Place 4",0277,170,186,356,1492,23.86%,182,21,26,229
"Judge, Court of Criminal Appeals, Place 4",0278,421,320,741,2454,30.20%,435,37,72,544
"Judge, Court of Criminal Appeals, Place 4",0279,251,223,474,1941,24.42%,300,38,31,369
"Judge, Court of Criminal Appeals, Place 4",0280,130,188,318,1524,20.87%,149,35,28,212
"Judge, Court of Criminal Appeals, Place 4",0281,655,742,1397,2633,53.06%,761,93,167,1021
"Judge, Court of Criminal Appeals, Place 4",0282,314,455,769,2042,37.66%,502,74,60,636
"Judge, Court of Criminal Appeals, Place 4",0283,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0284,574,336,910,3172,28.69%,453,73,98,624
"Judge, Court of Criminal Appeals, Place 4",0285,448,378,826,2540,32.52%,96,77,60,233
"Judge, Court of Criminal Appeals, Place 4",0286,1255,821,2076,6170,33.65%,261,316,211,788
"Judge, Court of Criminal Appeals, Place 4",0287,371,477,848,1621,52.31%,447,78,133,658
"Judge, Court of Criminal Appeals, Place 4",0288,532,313,845,2210,38.24%,30,81,51,162
"Judge, Court of Criminal Appeals, Place 4",0289,186,212,398,1564,25.45%,214,27,39,280
"Judge, Court of Criminal Appeals, Place 4",0290,245,298,543,1642,33.07%,406,40,30,476
"Judge, Court of Criminal Appeals, Place 4",0291,325,235,560,1225,45.71%,295,45,72,412
"Judge, Court of Criminal Appeals, Place 4",0292,207,147,354,1356,26.11%,49,50,34,133
"Judge, Court of Criminal Appeals, Place 4",0293,357,447,804,1759,45.71%,378,96,115,589
"Judge, Court of Criminal Appeals, Place 4",0294,488,221,709,2097,33.81%,27,63,50,140
"Judge, Court of Criminal Appeals, Place 4",0295,148,103,251,885,28.36%,11,15,17,43
"Judge, Court of Criminal Appeals, Place 4",0296,327,340,667,1713,38.94%,417,54,62,533
"Judge, Court of Criminal Appeals, Place 4",0297,280,249,529,2012,26.29%,253,50,58,361
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0298,415,358,773,2121,36.45%,468,75,78,621
"Judge, Court of Criminal Appeals, Place 4",0299,179,117,296,1353,21.88%,128,30,36,194
"Judge, Court of Criminal Appeals, Place 4",0300,1389,1016,2405,5406,44.49%,1962,132,105,2199
"Judge, Court of Criminal Appeals, Place 4",0301,210,255,465,2352,19.77%,203,23,34,260
"Judge, Court of Criminal Appeals, Place 4",0302,353,343,696,2720,25.59%,427,35,54,516
"Judge, Court of Criminal Appeals, Place 4",0303,924,784,1708,3245,52.63%,1402,59,72,1533
"Judge, Court of Criminal Appeals, Place 4",0304,606,505,1111,2298,48.35%,658,66,125,849
"Judge, Court of Criminal Appeals, Place 4",0305,524,432,956,4191,22.81%,429,103,99,631
"Judge, Court of Criminal Appeals, Place 4",0306,650,342,992,1879,52.79%,743,47,59,849
"Judge, Court of Criminal Appeals, Place 4",0307,733,670,1403,3099,45.27%,981,101,126,1208
"Judge, Court of Criminal Appeals, Place 4",0308,199,130,329,1296,25.39%,125,35,33,193
"Judge, Court of Criminal Appeals, Place 4",0309,708,593,1301,2524,51.55%,1072,38,52,1162
"Judge, Court of Criminal Appeals, Place 4",0310,386,279,665,1435,46.34%,472,38,52,562
"Judge, Court of Criminal Appeals, Place 4",0311,486,421,907,2986,30.38%,509,73,73,655
"Judge, Court of Criminal Appeals, Place 4",0312,742,457,1199,3636,32.98%,795,101,81,977
"Judge, Court of Criminal Appeals, Place 4",031,3,9,0,9,62,14.52%,7,1,0,8
"Judge, Court of Criminal Appeals, Place 4",0314,1121,913,2034,5647,36.02%,1313,196,131,1640
"Judge, Court of Criminal Appeals, Place 4",0315,478,388,866,1608,53.86%,543,61,86,690
"Judge, Court of Criminal Appeals, Place 4",0316,412,341,753,1537,48.99%,426,50,113,589
"Judge, Court of Criminal Appeals, Place 4",0317,250,209,459,1588,28.90%,173,78,56,307
"Judge, Court of Criminal Appeals, Place 4",0318,834,568,1402,3660,38.31%,113,180,139,432
"Judge, Court of Criminal Appeals, Place 4",0319,512,230,742,2158,34.38%,70,90,69,229
"Judge, Court of Criminal Appeals, Place 4",0320,234,168,402,1537,26.15%,219,28,32,279
"Judge, Court of Criminal Appeals, Place 4",0321,262,191,453,2346,19.31%,185,43,50,278
"Judge, Court of Criminal Appeals, Place 4",0322,182,129,311,1226,25.37%,104,43,41,188
"Judge, Court of Criminal Appeals, Place 4",0323,278,211,489,1722,28.40%,244,56,60,360
"Judge, Court of Criminal Appeals, Place 4",0324,532,646,1178,2336,50.43%,767,78,103,948
"Judge, Court of Criminal Appeals, Place 4",0325,289,193,482,2112,22.82%,115,54,55,224
"Judge, Court of Criminal Appeals, Place 4",0326,87,74,161,698,23.07%,83,11,11,105
"Judge, Court of Criminal Appeals, Place 4",0327,380,129,509,1729,29.44%,23,67,36,126
"Judge, Court of Criminal Appeals, Place 4",0328,151,140,291,1434,20.29%,130,28,39,197
"Judge, Court of Criminal Appeals, Place 4",0329,191,184,375,1397,26.84%,161,38,47,246
"Judge, Court of Criminal Appeals, Place 4",0330,334,253,587,1936,30.32%,348,48,59,455
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0331,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0332,18,7,25,138,18.12%,15,3,2,20
"Judge, Court of Criminal Appeals, Place 4",0333,524,714,1238,3021,40.98%,872,103,107,1082
"Judge, Court of Criminal Appeals, Place 4",0334,83,42,125,742,16.85%,24,19,12,55
"Judge, Court of Criminal Appeals, Place 4",0335,121,98,219,1300,16.85%,90,23,20,133
"Judge, Court of Criminal Appeals, Place 4",0336,870,624,1494,4051,36.88%,202,291,177,670
"Judge, Court of Criminal Appeals, Place 4",0337,124,103,227,1029,22.06%,47,29,32,108
"Judge, Court of Criminal Appeals, Place 4",0338,731,391,1122,4934,22.74%,416,128,94,638
"Judge, Court of Criminal Appeals, Place 4",0339,202,222,424,1757,24.13%,109,35,58,202
"Judge, Court of Criminal Appeals, Place 4",0340,1038,594,1632,3765,43.35%,1243,88,107,1438
"Judge, Court of Criminal Appeals, Place 4",0341,91,167,258,1290,20.00%,87,26,35,148
"Judge, Court of Criminal Appeals, Place 4",0342,875,605,1280,6526,19.61%,254,187,160,601
"Judge, Court of Criminal Appeals, Place 4",0343,189,271,460,1964,23.42%,153,40,73,266
"Judge, Court of Criminal Appeals, Place 4",0344,154,172,326,1160,28.10%,24,33,28,85
"Judge, Court of Criminal Appeals, Place 4",0345,158,165,321,1804,17.79%,103,54,50,207
"Judge, Court of Criminal Appeals, Place 4",0346,0,1,1,3,33.33%,1,0,0,1
"Judge, Court of Criminal Appeals, Place 4",0347,592,436,1028,3387,30.35%,726,70,48,844
"Judge, Court of Criminal Appeals, Place 4",0348,438,208,646,1708,37.82%,514,32,29,575
"Judge, Court of Criminal Appeals, Place 4",0349,188,267,455,1349,33.73%,285,44,37,366
"Judge, Court of Criminal Appeals, Place 4",0350,525,526,1051,2909,36.13%,487,130,177,794
"Judge, Court of Criminal Appeals, Place 4",0351,1491,710,2201,4712,46.71%,1770,99,88,1957
"Judge, Court of Criminal Appeals, Place 4",0352,520,339,859,3205,26.80%,644,53,39,736
"Judge, Court of Criminal Appeals, Place 4",0353,885,451,1116,3862,28.90%,254,114,100,468
"Judge, Court of Criminal Appeals, Place 4",0354,715,338,1053,3388,31.08%,298,136,108,542
"Judge, Court of Criminal Appeals, Place 4",0355,301,264,565,1560,36.22%,70,88,48,206
"Judge, Court of Criminal Appeals, Place 4",0356,594,538,1132,2972,38.09%,763,78,88,929
"Judge, Court of Criminal Appeals, Place 4",0357,837,575,1412,3517,40.15%,1058,89,100,1247
"Judge, Court of Criminal Appeals, Place 4",0358,213,254,487,2492,18.74%,76,66,46,188
"Judge, Court of Criminal Appeals, Place 4",0359,235,224,459,3061,15.00%,73,72,48,193
"Judge, Court of Criminal Appeals, Place 4",0360,524,380,904,2146,42.12%,497,73,111,681
"Judge, Court of Criminal Appeals, Place 4",0361,41,295,336,1673,20.08%,71,60,115,246
"Judge, Court of Criminal Appeals, Place 4",0362,1138,887,2025,5086,39.82%,1542,114,116,1772
"Judge, Court of Criminal Appeals, Place 4",0383,620,412,1032,3677,28.07%,505,110,79,694
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0364,489,405,894,2658,33.63%,526,73,97,696
"Judge, Court of Criminal Appeals, Place 4",0365,478,231,709,1305,54.33%,72,98,57,227
"Judge, Court of Criminal Appeals, Place 4",0366,252,270,522,2454,21.27%,160,66,55,281
"Judge, Court of Criminal Appeals, Place 4",0367,170,138,308,1130,27.26%,74,46,32,152
"Judge, Court of Criminal Appeals, Place 4",0368,178,88,266,958,27.77%,84,28,17,129
"Judge, Court of Criminal Appeals, Place 4",0369,32,29,61,559,10.91%,24,9,13,46
"Judge, Court of Criminal Appeals, Place 4",0370,1532,1105,2637,6593,40.00%,2039,157,109,2305
"Judge, Court of Criminal Appeals, Place 4",0371,122,52,174,502,34.66%,8,27,8,43
"Judge, Court of Criminal Appeals, Place 4",0372,221,170,391,1224,31.94%,71,58,45,174
"Judge, Court of Criminal Appeals, Place 4",0373,21,12,33,157,21.02%,3,3,3,9
"Judge, Court of Criminal Appeals, Place 4",0374,65,93,158,738,21.41%,60,9,21,90
"Judge, Court of Criminal Appeals, Place 4",0375,254,220,474,2645,17.92%,255,25,36,316
"Judge, Court of Criminal Appeals, Place 4",0376,278,205,483,1910,25.29%,233,35,34,302
"Judge, Court of Criminal Appeals, Place 4",0377,526,583,1109,2920,37.98%,826,61,62,949
"Judge, Court of Criminal Appeals, Place 4",0378,232,354,586,1829,32.04%,386,46,53,485
"Judge, Court of Criminal Appeals, Place 4",0379,432,289,721,2027,35.57%,103,83,71,257
"Judge, Court of Criminal Appeals, Place 4",0380,1303,995,2298,5666,40.56%,1314,231,211,1756
"Judge, Court of Criminal Appeals, Place 4",0381,412,248,660,2855,23.12%,331,62,51,444
"Judge, Court of Criminal Appeals, Place 4",0382,132,157,289,922,31.34%,215,19,14,248
"Judge, Court of Criminal Appeals, Place 4",0383,289,263,552,2173,25.40%,239,49,42,330
"Judge, Court of Criminal Appeals, Place 4",0384,573,373,946,2657,35.60%,215,142,98,455
"Judge, Court of Criminal Appeals, Place 4",0385,583,670,1253,2207,56.77%,988,47,55,1090
"Judge, Court of Criminal Appeals, Place 4",0386,662,469,1131,2922,38.71%,845,62,42,949
"Judge, Court of Criminal Appeals, Place 4",0387,555,672,1227,3935,31.18%,911,60,51,1022
"Judge, Court of Criminal Appeals, Place 4",0388,1432,1010,2442,6888,35.45%,1446,237,192,1875
"Judge, Court of Criminal Appeals, Place 4",0389,91,208,299,1026,29.14%,52,72,47,171
"Judge, Court of Criminal Appeals, Place 4",0390,356,263,619,1480,41.82%,103,104,107,314
"Judge, Court of Criminal Appeals, Place 4",0391,508,260,768,1883,40.79%,508,41,76,625
"Judge, Court of Criminal Appeals, Place 4",0392,387,155,542,1446,37.48%,17,54,34,105
"Judge, Court of Criminal Appeals, Place 4",0393,165,185,350,1292,27.09%,176,48,29,253
"Judge, Court of Criminal Appeals, Place 4",0394,69,73,142,834,17.03%,69,15,12,96
"Judge, Court of Criminal Appeals, Place 4",0395,470,404,874,1846,47.35%,646,52,69,767
"Judge, Court of Criminal Appeals, Place 4",0396,623,216,839,2082,40.30%,35,83,46,164
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0397,86,78,164,760,21.58%,88,16,13,117
"Judge, Court of Criminal Appeals, Place 4",0398,615,521,1136,4022,28.24%,636,123,103,862
"Judge, Court of Criminal Appeals, Place 4",0399,404,366,770,2791,27.59%,437,80,57,574
"Judge, Court of Criminal Appeals, Place 4",0400,620,359,979,2411,40.61%,739,51,59,849
"Judge, Court of Criminal Appeals, Place 4",0401,330,205,535,1913,27.97%,36,69,41,146
"Judge, Court of Criminal Appeals, Place 4",0402,466,266,732,1794,40.80%,57,95,52,204
"Judge, Court of Criminal Appeals, Place 4",0403,475,498,973,1715,56.73%,599,69,88,756
"Judge, Court of Criminal Appeals, Place 4",0404,419,330,749,2585,28.97%,457,50,55,562
"Judge, Court of Criminal Appeals, Place 4",0405,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0406,137,67,204,628,32.48%,9,29,17,55
"Judge, Court of Criminal Appeals, Place 4",0407,692,793,1485,3769,39.40%,1045,98,108,1251
"Judge, Court of Criminal Appeals, Place 4",0408,146,153,299,1691,17.68%,162,17,29,208
"Judge, Court of Criminal Appeals, Place 4",0409,122,149,271,1459,18.57%,120,16,27,163
"Judge, Court of Criminal Appeals, Place 4",0410,132,80,212,899,23.58%,48,24,16,88
"Judge, Court of Criminal Appeals, Place 4",0411,235,200,435,2339,18.60%,177,30,39,246
"Judge, Court of Criminal Appeals, Place 4",0412,74,44,118,468,25.21%,12,18,8,38
"Judge, Court of Criminal Appeals, Place 4",0413,767,386,1153,2992,38.54%,492,99,97,688
"Judge, Court of Criminal Appeals, Place 4",0414,654,480,1134,3453,32.84%,897,47,33,977
"Judge, Court of Criminal Appeals, Place 4",0415,539,598,1137,2203,51.61%,782,73,90,945
"Judge, Court of Criminal Appeals, Place 4",0416,538,558,1096,3791,28.91%,639,108,113,860
"Judge, Court of Criminal Appeals, Place 4",041,7,353,385,738,2448,30.15%,388,63,79,530
"Judge, Court of Criminal Appeals, Place 4",0418,404,469,873,3584,24.36%,389,89,86,564
"Judge, Court of Criminal Appeals, Place 4",0419,571,324,895,2658,33.67%,613,57,53,723
"Judge, Court of Criminal Appeals, Place 4",0420,1036,874,1910,4762,40.11%,1588,85,56,1729
"Judge, Court of Criminal Appeals, Place 4",0421,36,37,73,410,17.80%,28,9,12,49
"Judge, Court of Criminal Appeals, Place 4",0422,731,402,1133,3345,33.87%,55,135,70,260
"Judge, Court of Criminal Appeals, Place 4",0423,108,120,228,1376,16.57%,87,20,23,130
"Judge, Court of Criminal Appeals, Place 4",0424,240,111,351,967,36.30%,212,34,41,287
"Judge, Court of Criminal Appeals, Place 4",0425,107,123,230,883,26.05%,87,36,26,149
"Judge, Court of Criminal Appeals, Place 4",0426,260,183,443,1218,36.37%,281,31,31,343
"Judge, Court of Criminal Appeals, Place 4",0427,179,134,313,1092,28.66%,149,27,17,193
"Judge, Court of Criminal Appeals, Place 4",0428,619,421,1040,4538,22.92%,376,95,99,570
"Judge, Court of Criminal Appeals, Place 4",0429,445,314,759,3197,23.74%,231,87,88,406
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0430,161,133,294,1657,17.74%,94,45,48,187
"Judge, Court of Criminal Appeals, Place 4",0431,327,84,411,3417,12.03%,163,50,56,269
"Judge, Court of Criminal Appeals, Place 4",0432,123,157,280,1455,19.24%,115,48,48,211
"Judge, Court of Criminal Appeals, Place 4",0433,50,63,113,581,19.45%,27,17,20,64
"Judge, Court of Criminal Appeals, Place 4",0434,371,289,660,1503,43.91%,436,49,55,540
"Judge, Court of Criminal Appeals, Place 4",0435,856,636,1492,3252,45.88%,1001,101,123,1225
"Judge, Court of Criminal Appeals, Place 4",0436,629,531,1160,2933,39.55%,770,83,105,958
"Judge, Court of Criminal Appeals, Place 4",0437,521,512,1033,2033,50.81%,748,52,66,866
"Judge, Court of Criminal Appeals, Place 4",0438,519,389,1008,1861,54.16%,777,52,55,884
"Judge, Court of Criminal Appeals, Place 4",0439,710,884,1594,3554,44.85%,1172,97,98,1367
"Judge, Court of Criminal Appeals, Place 4",0440,664,858,1522,2930,51.95%,1221,54,49,1324
"Judge, Court of Criminal Appeals, Place 4",0441,345,420,765,1669,45.84%,600,33,37,670
"Judge, Court of Criminal Appeals, Place 4",0442,612,574,1186,2575,46.06%,989,45,53,1087
"Judge, Court of Criminal Appeals, Place 4",0443,227,138,365,646,56.50%,270,16,35,321
"Judge, Court of Criminal Appeals, Place 4",0444,587,583,1270,3262,38.93%,824,108,108,1040
"Judge, Court of Criminal Appeals, Place 4",0445,499,348,847,2026,41.81%,589,59,56,704
"Judge, Court of Criminal Appeals, Place 4",0446,31,22,53,291,18.21%,26,4,6,36
"Judge, Court of Criminal Appeals, Place 4",0447,93,86,179,637,28.10%,61,30,35,126
"Judge, Court of Criminal Appeals, Place 4",0448,590,778,1368,3138,43.59%,804,126,169,1099
"Judge, Court of Criminal Appeals, Place 4",0449,12,23,35,198,17.68%,4,8,1,13
"Judge, Court of Criminal Appeals, Place 4",0450,435,328,764,2635,28.99%,266,88,87,441
"Judge, Court of Criminal Appeals, Place 4",0451,1002,510,1512,2687,56.27%,1269,51,44,1364
"Judge, Court of Criminal Appeals, Place 4",0452,554,444,998,3048,32.74%,735,68,56,859
"Judge, Court of Criminal Appeals, Place 4",0453,231,262,493,1937,25.45%,225,37,67,329
"Judge, Court of Criminal Appeals, Place 4",0454,594,248,842,2561,32.88%,34,82,32,148
"Judge, Court of Criminal Appeals, Place 4",0455,367,165,532,1689,31.50%,29,62,33,124
"Judge, Court of Criminal Appeals, Place 4",0456,482,362,844,3513,24.03%,523,47,43,613
"Judge, Court of Criminal Appeals, Place 4",0457,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0458,471,237,708,1924,36.80%,57,94,56,207
"Judge, Court of Criminal Appeals, Place 4",0459,951,474,1425,3021,47.17%,1144,75,67,1286
"Judge, Court of Criminal Appeals, Place 4",0460,554,331,885,2837,31.19%,262,118,91,471
"Judge, Court of Criminal Appeals, Place 4",0461,1155,735,1900,3871,49.08%,1365,96,117,1578
"Judge, Court of Criminal Appeals, Place 4",0462,675,619,1294,3384,38.24%,538,136,139,813
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0463,481,404,885,3326,26.61%,439,122,89,650
"Judge, Court of Criminal Appeals, Place 4",0464,356,430,786,2257,34.82%,571,49,42,662
"Judge, Court of Criminal Appeals, Place 4",0465,688,520,1208,3564,33.89%,720,131,98,949
"Judge, Court of Criminal Appeals, Place 4",0466,1058,614,1672,4184,39.96%,1026,143,119,1288
"Judge, Court of Criminal Appeals, Place 4",0467,213,189,402,1270,31.65%,114,44,35,193
"Judge, Court of Criminal Appeals, Place 4",0468,352,443,795,3598,22.10%,278,99,69,446
"Judge, Court of Criminal Appeals, Place 4",0469,1299,547,1846,3985,46.32%,1489,73,83,1645
"Judge, Court of Criminal Appeals, Place 4",0470,185,176,361,1326,27.22%,272,27,17,316
"Judge, Court of Criminal Appeals, Place 4",0471,375,380,755,2387,31.63%,615,34,35,684
"Judge, Court of Criminal Appeals, Place 4",0472,198,278,476,1081,44.03%,227,51,81,359
"Judge, Court of Criminal Appeals, Place 4",0473,603,391,994,1806,55.04%,716,64,67,847
"Judge, Court of Criminal Appeals, Place 4",0474,559,588,1147,3037,37.77%,808,102,83,993
"Judge, Court of Criminal Appeals, Place 4",0475,189,267,456,1809,25.21%,237,50,34,321
"Judge, Court of Criminal Appeals, Place 4",0476,404,473,877,2430,36.09%,524,67,62,653
"Judge, Court of Criminal Appeals, Place 4",0477,737,567,1304,3505,37.20%,1020,73,74,1167
"Judge, Court of Criminal Appeals, Place 4",0478,958,657,1615,4461,36.20%,1121,128,122,1371
"Judge, Court of Criminal Appeals, Place 4",0479,840,612,1252,2714,46.13%,948,78,78,1104
"Judge, Court of Criminal Appeals, Place 4",0480,493,450,943,2415,39.05%,701,71,58,830
"Judge, Court of Criminal Appeals, Place 4",0481,770,623,1393,3482,40.01%,1080,69,79,1228
"Judge, Court of Criminal Appeals, Place 4",0482,878,630,1508,4373,34.48%,1098,133,110,1341
"Judge, Court of Criminal Appeals, Place 4",0483,1043,478,1521,4308,35.31%,930,132,151,1213
"Judge, Court of Criminal Appeals, Place 4",0484,1107,930,2037,4979,40.91%,1524,127,139,1790
"Judge, Court of Criminal Appeals, Place 4",0485,1095,911,2006,5388,37.23%,1596,136,87,1819
"Judge, Court of Criminal Appeals, Place 4",0486,873,855,1728,3866,44.70%,1378,99,73,1550
"Judge, Court of Criminal Appeals, Place 4",0487,570,294,864,3860,22.38%,335,73,71,479
"Judge, Court of Criminal Appeals, Place 4",0488,268,254,522,1719,30.37%,214,56,45,315
"Judge, Court of Criminal Appeals, Place 4",0489,350,290,640,1893,33.81%,238,81,73,392
"Judge, Court of Criminal Appeals, Place 4",0490,444,368,812,1975,41.11%,324,101,95,520
"Judge, Court of Criminal Appeals, Place 4",0491,315,372,687,1888,36.39%,442,69,76,587
"Judge, Court of Criminal Appeals, Place 4",0492,556,410,966,2335,41.37%,626,77,69,772
"Judge, Court of Criminal Appeals, Place 4",0493,480,322,802,1853,43.28%,564,59,61,684
"Judge, Court of Criminal Appeals, Place 4",0494,381,247,628,2467,25.46%,101,72,51,224
"Judge, Court of Criminal Appeals, Place 4",0495,522,523,1045,2375,44.00%,768,67,54,889
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0496,190,315,505,2160,23.38%,214,50,50,314
"Judge, Court of Criminal Appeals, Place 4",0497,526,243,769,2257,34.07%,39,68,49,156
"Judge, Court of Criminal Appeals, Place 4",0498,363,323,686,2297,29.87%,332,75,86,493
"Judge, Court of Criminal Appeals, Place 4",0499,751,518,1269,2326,54.56%,969,55,95,1119
"Judge, Court of Criminal Appeals, Place 4",0500,729,715,1444,3507,41.17%,1026,100,96,1222
"Judge, Court of Criminal Appeals, Place 4",0501,341,417,758,1801,42.09%,294,111,158,563
"Judge, Court of Criminal Appeals, Place 4",0502,477,350,827,2501,33.07%,681,31,29,741
"Judge, Court of Criminal Appeals, Place 4",0503,174,116,290,1374,21.11%,123,25,32,180
"Judge, Court of Criminal Appeals, Place 4",0504,624,527,1151,2288,50.31%,780,92,103,975
"Judge, Court of Criminal Appeals, Place 4",0505,531,562,1193,3773,31.62%,580,131,182,893
"Judge, Court of Criminal Appeals, Place 4",0506,665,670,1335,3502,38.12%,277,198,163,638
"Judge, Court of Criminal Appeals, Place 4",0507,221,149,370,2452,15.09%,88,32,34,154
"Judge, Court of Criminal Appeals, Place 4",0508,492,412,904,3287,27.50%,382,90,60,532
"Judge, Court of Criminal Appeals, Place 4",0509,754,596,1350,3732,36.17%,985,91,80,1156
"Judge, Court of Criminal Appeals, Place 4",0510,689,514,1203,3590,33.51%,640,138,145,923
"Judge, Court of Criminal Appeals, Place 4",0511,0,0,0,0,0.00%,0,0,0,0
"Judge, Court of Criminal Appeals, Place 4",0512,602,660,1262,5057,24.96%,647,134,122,903
"Judge, Court of Criminal Appeals, Place 4",0513,1019,487,1506,2894,52.04%,1190,81,76,1347
"Judge, Court of Criminal Appeals, Place 4",0514,954,720,1674,4275,39.16%,1293,106,71,1470
"Judge, Court of Criminal Appeals, Place 4",0515,943,683,1626,3455,47.06%,1329,81,56,1466
"Judge, Court of Criminal Appeals, Place 4",0516,1001,800,1801,5356,33.63%,1007,179,147,1333
"Judge, Court of Criminal Appeals, Place 4",0517,482,256,738,2954,24.98%,438,70,63,571
"Judge, Court of Criminal Appeals, Place 4",0518,635,693,1328,3943,33.68%,904,99,98,1101
"Judge, Court of Criminal Appeals, Place 4",0519,623,493,1116,2966,37.63%,848,76,76,1000
"Judge, Court of Criminal Appeals, Place 4",0520,474,457,931,4580,20.33%,199,161,109,469
"Judge, Court of Criminal Appeals, Place 4",0521,471,464,935,2866,32.62%,533,91,87,711
"Judge, Court of Criminal Appeals, Place 4",0522,716,572,1288,2689,47.90%,1011,68,66,1145
"Judge, Court of Criminal Appeals, Place 4",0523,751,415,1166,3052,38.20%,816,93,95,1004
"Judge, Court of Criminal Appeals, Place 4",0524,568,459,1027,3410,30.12%,398,100,115,613
"Judge, Court of Criminal Appeals, Place 4",0525,707,482,1189,3091,38.47%,307,152,136,595
"Judge, Court of Criminal Appeals, Place 4",0526,58,84,152,780,19.49%,48,11,21,80
"Judge, Court of Criminal Appeals, Place 4",0527,37,40,77,574,13.41%,43,2,7,52
"Judge, Court of Criminal Appeals, Place 4",0528,14,12,26,90,28.89%,2,1,2,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kevin Patrick Yeary,LIB Quanah Parker,GRN Judith Sanders-Castro,Totals
"Judge, Court of Criminal Appeals, Place 4",0529,1043,491,1534,3710,41.35%,1329,54,50,1433
"Judge, Court of Criminal Appeals, Place 4",0530,114,107,221,1196,18.48%,65,19,23,107
"Judge, Court of Criminal Appeals, Place 4",0531,363,174,537,1145,46.90%,428,24,11,463
"Judge, Court of Criminal Appeals, Place 4",0532,205,146,351,1048,33.49%,260,23,21,304
"Judge, Court of Criminal Appeals, Place 4",0533,124,108,232,1119,20.73%,134,24,12,170
"Judge, Court of Criminal Appeals, Place 4",0534,783,524,1307,3837,34.06%,1034,59,48,1141
"Judge, Court of Criminal Appeals, Place 4",0535,33,29,62,416,14.90%,32,5,6,43
"Judge, Court of Criminal Appeals, Place 4",0536,554,780,1,334,5139,25.96%,572,122,144,838
