Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0070,882,664,1546,3337,46.33%,984,156,133,1273
"Justice, Supreme Court, Place 8",0071,602,722,1324,4197,31.55%,669,212,173,1054
"Justice, Supreme Court, Place 8",0072,220,293,513,1924,26.66%,187,54,61,302
"Justice, Supreme Court, Place 8",0073,252,414,666,1555,42.83%,402,52,82,536
"Justice, Supreme Court, Place 8",0074,1153,782,1935,3583,54.01%,1548,83,80,1711
"Justice, Supreme Court, Place 8",0075,254,280,534,1444,36.98%,226,65,106,397
"Justice, Supreme Court, Place 8",0076,373,374,747,2362,31.63%,488,53,44,585
"Justice, Supreme Court, Place 8",0077,43,46,89,566,15.72%,26,15,8,49
"Justice, Supreme Court, Place 8",0078,181,201,382,1522,25.10%,153,40,47,240
"Justice, Supreme Court, Place 8",0079,205,306,511,2927,17.46%,161,51,51,263
"Justice, Supreme Court, Place 8",0080,501,351,852,2725,31.27%,253,78,69,400
"Justice, Supreme Court, Place 8",0081,183,187,370,1835,20.16%,173,26,22,221
"Justice, Supreme Court, Place 8",0082,639,671,1310,3368,38.90%,991,96,54,1141
"Justice, Supreme Court, Place 8",0083,1298,888,2186,6625,33.00%,1157,205,189,1551
"Justice, Supreme Court, Place 8",0084,208,218,426,1373,31.03%,322,25,15,362
"Justice, Supreme Court, Place 8",0085,271,248,519,2173,23.88%,41,65,88,194
"Justice, Supreme Court, Place 8",0086,448,568,1016,2910,34.91%,497,144,145,786
"Justice, Supreme Court, Place 8",0087,674,787,1461,2818,51.85%,988,82,106,1176
"Justice, Supreme Court, Place 8",0088,123,118,241,693,34.78%,158,5,19,182
"Justice, Supreme Court, Place 8",0089,165,371,536,1094,48.99%,321,44,48,413
"Justice, Supreme Court, Place 8",0090,845,790,1635,3700,44.19%,1218,101,100,1419
"Justice, Supreme Court, Place 8",0091,221,222,443,1505,29.44%,278,49,45,372
"Justice, Supreme Court, Place 8",0092,695,462,1157,2242,51.61%,803,67,73,943
"Justice, Supreme Court, Place 8",0093,381,301,682,3356,20.32%,304,52,41,397
"Justice, Supreme Court, Place 8",0094,51,43,94,549,17.12%,32,11,12,55
"Justice, Supreme Court, Place 8",0095,917,576,1493,3177,46.99%,1113,96,78,1287
"Justice, Supreme Court, Place 8",0096,83,83,166,1296,12.81%,34,18,17,69
"Justice, Supreme Court, Place 8",0097,1024,725,1749,4828,36.23%,1337,109,56,1502
"Justice, Supreme Court, Place 8",0098,403,488,891,2651,33.61%,737,43,20,800
"Justice, Supreme Court, Place 8",0099,254,184,438,2092,20.94%,227,30,31,288
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0100,165,173,338,1730,19.54%,196,22,18,236
"Justice, Supreme Court, Place 8",0101,72,58,130,946,13.74%,55,14,13,82
"Justice, Supreme Court, Place 8",0102,207,121,328,1872,17.52%,100,26,29,155
"Justice, Supreme Court, Place 8",0103,700,714,1414,5371,26.33%,832,120,73,1025
"Justice, Supreme Court, Place 8",0104,530,231,761,1905,39.95%,49,68,44,161
"Justice, Supreme Court, Place 8",0105,196,210,406,2165,18.75%,153,45,27,225
"Justice, Supreme Court, Place 8",0106,18,7,25,294,8.50%,17,1,1,19
"Justice, Supreme Court, Place 8",0107,154,197,351,2032,17.27%,78,26,32,136
"Justice, Supreme Court, Place 8",0108,558,272,940,3365,27.93%,601,50,49,700
"Justice, Supreme Court, Place 8",0109,530,245,775,2824,27.44%,26,62,66,154
"Justice, Supreme Court, Place 8",0110,654,494,1148,3042,37.74%,779,105,58,942
"Justice, Supreme Court, Place 8",0111,816,795,1611,4102,39.27%,1223,104,71,1398
"Justice, Supreme Court, Place 8",0112,542,485,1027,2976,34.51%,781,76,36,893
"Justice, Supreme Court, Place 8",0113,562,429,991,2647,37.44%,640,71,70,781
"Justice, Supreme Court, Place 8",0114,707,547,1254,3311,37.87%,1044,60,38,1142
"Justice, Supreme Court, Place 8",0115,238,150,388,1800,21.56%,72,36,33,141
"Justice, Supreme Court, Place 8",0116,982,776,1758,3147,55.86%,1380,97,78,1555
"Justice, Supreme Court, Place 8",0117,216,226,442,1880,23.51%,238,41,36,315
"Justice, Supreme Court, Place 8",0118,304,123,427,759,56.26%,364,16,13,393
"Justice, Supreme Court, Place 8",0119,1290,1024,2314,5500,42.07%,1904,94,87,2085
"Justice, Supreme Court, Place 8",0120,713,422,1135,3191,35.57%,771,86,90,947
"Justice, Supreme Court, Place 8",0121,92,178,270,848,31.84%,193,8,13,214
"Justice, Supreme Court, Place 8",0122,352,225,577,1890,30.53%,39,47,47,133
"Justice, Supreme Court, Place 8",0123,285,288,573,1392,41.16%,168,87,140,395
"Justice, Supreme Court, Place 8",0124,1734,1292,3026,7254,41.71%,2459,127,114,2700
"Justice, Supreme Court, Place 8",0125,415,332,747,2405,31.06%,478,64,58,600
"Justice, Supreme Court, Place 8",0126,893,467,1360,3100,43.87%,1213,37,29,1279
"Justice, Supreme Court, Place 8",0127,435,154,589,1836,32.08%,422,37,28,487
"Justice, Supreme Court, Place 8",0128,445,707,1152,2290,50.31%,775,71,84,930
"Justice, Supreme Court, Place 8",0129,1031,1200,2231,5746,38.83%,1467,183,177,1827
"Justice, Supreme Court, Place 8",0130,727,523,1250,2333,53.58%,964,50,62,1076
"Justice, Supreme Court, Place 8",0131,251,259,510,1935,26.36%,134,59,50,243
"Justice, Supreme Court, Place 8",0132,593,323,916,2387,38.37%,41,67,41,149
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0133,514,858,1372,2662,51.54%,862,107,137,1106
"Justice, Supreme Court, Place 8",0134,192,265,457,1437,31.80%,233,46,50,329
"Justice, Supreme Court, Place 8",0135,730,579,1309,2671,49.01%,950,79,77,1106
"Justice, Supreme Court, Place 8",0136,503,371,874,2013,43.42%,72,112,145,329
"Justice, Supreme Court, Place 8",0137,166,141,307,716,42.88%,159,33,43,235
"Justice, Supreme Court, Place 8",0138,296,199,495,1699,29.13%,23,31,39,93
"Justice, Supreme Court, Place 8",0139,700,551,1251,3037,41.19%,593,125,195,913
"Justice, Supreme Court, Place 8",0140,701,480,1181,3214,36.75%,204,156,190,550
"Justice, Supreme Court, Place 8",0141,80,80,160,855,18.71%,102,3,11,116
"Justice, Supreme Court, Place 8",0142,87,103,190,902,21.06%,72,25,22,119
"Justice, Supreme Court, Place 8",0143,1962,580,2542,6386,39.81%,1900,163,100,2163
"Justice, Supreme Court, Place 8",0144,216,158,374,1093,34.22%,18,28,20,66
"Justice, Supreme Court, Place 8",0145,264,213,477,1538,31.01%,21,31,30,82
"Justice, Supreme Court, Place 8",0146,426,519,945,2008,47.06%,446,97,165,708
"Justice, Supreme Court, Place 8",0147,689,329,1018,3008,33.84%,180,118,89,387
"Justice, Supreme Court, Place 8",0148,500,780,1280,2540,50.39%,570,128,234,932
"Justice, Supreme Court, Place 8",0149,1621,737,2358,7993,29.50%,1290,268,165,1723
"Justice, Supreme Court, Place 8",0150,236,169,405,1256,32.25%,25,29,37,91
"Justice, Supreme Court, Place 8",0151,137,79,216,826,26.15%,16,18,15,49
"Justice, Supreme Court, Place 8",0152,214,299,513,2788,18.40%,160,58,42,260
"Justice, Supreme Court, Place 8",0153,125,206,331,1808,18.31%,132,28,29,189
"Justice, Supreme Court, Place 8",0154,249,183,432,2190,19.73%,137,50,40,227
"Justice, Supreme Court, Place 8",0155,1022,619,1641,4109,39.94%,1200,82,100,1382
"Justice, Supreme Court, Place 8",0156,800,326,1126,3071,36.67%,90,126,112,328
"Justice, Supreme Court, Place 8",0157,448,214,662,2236,29.61%,48,65,47,160
"Justice, Supreme Court, Place 8",0158,600,315,915,3035,30.15%,47,83,50,180
"Justice, Supreme Court, Place 8",0159,116,127,243,998,24.35%,48,43,34,125
"Justice, Supreme Court, Place 8",0160,122,73,195,696,28.02%,10,15,14,39
"Justice, Supreme Court, Place 8",0161,163,141,304,991,30.68%,13,30,19,62
"Justice, Supreme Court, Place 8",0162,101,83,184,1265,14.55%,79,8,11,98
"Justice, Supreme Court, Place 8",0163,230,320,550,3037,18.11%,267,34,30,331
"Justice, Supreme Court, Place 8",0164,182,205,387,1420,27.25%,20,29,23,72
"Justice, Supreme Court, Place 8",0165,535,483,1018,2334,43.62%,696,73,76,845
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0166,158,233,391,1028,38.04%,134,67,89,290
"Justice, Supreme Court, Place 8",0167,3,0,3,24,12.50%,1,0,0,1
"Justice, Supreme Court, Place 8",0168,92,58,150,503,29.82%,4,14,14,32
"Justice, Supreme Court, Place 8",0169,518,251,767,2513,30.52%,46,57,42,145
"Justice, Supreme Court, Place 8",0170,271,141,412,1869,22.04%,233,33,27,293
"Justice, Supreme Court, Place 8",0171,202,198,400,1604,24.94%,18,45,16,79
"Justice, Supreme Court, Place 8",0172,88,80,166,621,26.73%,74,12,21,107
"Justice, Supreme Court, Place 8",0173,819,739,1558,3599,43.29%,1272,81,59,1412
"Justice, Supreme Court, Place 8",0174,830,733,1563,3296,47.42%,1129,84,95,1308
"Justice, Supreme Court, Place 8",0175,580,749,1309,2618,50.00%,726,117,167,1010
"Justice, Supreme Court, Place 8",0176,344,451,795,1602,49.63%,465,49,88,602
"Justice, Supreme Court, Place 8",0177,278,326,604,1496,40.37%,365,64,51,480
"Justice, Supreme Court, Place 8",0178,504,365,869,1765,49.24%,611,59,47,717
"Justice, Supreme Court, Place 8",0179,256,188,444,1575,28.19%,251,45,45,341
"Justice, Supreme Court, Place 8",0180,470,343,813,2834,28.69%,47,86,58,191
"Justice, Supreme Court, Place 8",0181,175,262,437,2061,21.20%,165,44,37,246
"Justice, Supreme Court, Place 8",0182,590,974,1564,3405,45.93%,1033,104,146,1283
"Justice, Supreme Court, Place 8",0183,520,794,1314,2491,52.75%,940,77,93,1110
"Justice, Supreme Court, Place 8",0184,106,135,241,994,24.25%,83,28,20,131
"Justice, Supreme Court, Place 8",0185,283,292,575,1933,29.75%,239,44,43,326
"Justice, Supreme Court, Place 8",0186,97,106,203,798,25.44%,43,19,11,73
"Justice, Supreme Court, Place 8",0187,21,25,46,311,14.79%,15,5,6,26
"Justice, Supreme Court, Place 8",0188,153,146,299,1637,18.27%,151,26,18,195
"Justice, Supreme Court, Place 8",0189,239,360,599,1465,40.89%,328,66,86,480
"Justice, Supreme Court, Place 8",0190,120,177,297,1723,17.24%,138,25,20,183
"Justice, Supreme Court, Place 8",0191,79,126,205,1366,15.01%,104,18,13,135
"Justice, Supreme Court, Place 8",0192,381,225,808,1959,30.93%,57,50,43,150
"Justice, Supreme Court, Place 8",0193,173,187,360,1074,33.52%,22,36,57,115
"Justice, Supreme Court, Place 8",0194,351,431,782,1912,40.90%,261,112,180,553
"Justice, Supreme Court, Place 8",0195,269,278,547,1694,32.29%,39,46,46,131
"Justice, Supreme Court, Place 8",0196,52,32,84,316,26.58%,7,15,6,28
"Justice, Supreme Court, Place 8",0197,543,309,852,2914,29.24%,38,79,56,173
"Justice, Supreme Court, Place 8",0198,53,74,127,642,19.78%,9,11,11,31
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0199,812,661,1473,3216,45.80%,1154,98,58,1310
"Justice, Supreme Court, Place 8",0200,962,536,1498,3382,44.29%,720,187,211,1118
"Justice, Supreme Court, Place 8",0201,98,87,185,724,25.55%,7,18,12,37
"Justice, Supreme Court, Place 8",0202,217,189,406,1464,27.73%,22,41,43,106
"Justice, Supreme Court, Place 8",0203,107,68,175,960,18.23%,49,17,18,84
"Justice, Supreme Court, Place 8",0204,817,784,1601,3487,45.91%,932,170,182,1284
"Justice, Supreme Court, Place 8",0205,465,171,636,1664,38.22%,28,52,53,133
"Justice, Supreme Court, Place 8",0206,364,462,826,2779,29.72%,268,120,181,569
"Justice, Supreme Court, Place 8",0207,265,261,526,1188,44.28%,198,58,98,354
"Justice, Supreme Court, Place 8",0208,322,262,584,2195,26.61%,209,45,36,290
"Justice, Supreme Court, Place 8",0209,0,2,2,0,0.00%,2,0,0,2
"Justice, Supreme Court, Place 8",0210,502,467,969,2533,38.26%,139,128,179,446
"Justice, Supreme Court, Place 8",0211,307,386,693,2914,23.78%,310,76,65,451
"Justice, Supreme Court, Place 8",0212,96,155,251,1300,19.31%,66,20,18,104
"Justice, Supreme Court, Place 8",0213,826,913,1739,3350,51.91%,1430,65,57,1552
"Justice, Supreme Court, Place 8",0214,404,491,895,1854,48.27%,593,69,82,744
"Justice, Supreme Court, Place 8",0215,423,711,1134,2258,50.22%,716,98,112,926
"Justice, Supreme Court, Place 8",0216,362,223,585,1945,30.08%,55,52,57,164
"Justice, Supreme Court, Place 8",0217,844,631,1475,2678,55.08%,1035,96,94,1225
"Justice, Supreme Court, Place 8",0218,392,402,794,2292,34.64%,307,79,128,514
"Justice, Supreme Court, Place 8",0219,497,436,933,2767,33.72%,77,82,83,242
"Justice, Supreme Court, Place 8",0220,325,187,512,2310,22.16%,376,28,17,421
"Justice, Supreme Court, Place 8",0221,332,369,701,2529,27.72%,358,61,69,488
"Justice, Supreme Court, Place 8",0222,623,674,1297,2501,51.86%,684,106,176,966
"Justice, Supreme Court, Place 8",0223,563,377,940,3582,26.24%,314,157,172,643
"Justice, Supreme Court, Place 8",0224,531,456,987,2238,44.10%,486,75,163,724
"Justice, Supreme Court, Place 8",0225,376,405,781,3305,23.63%,424,82,66,572
"Justice, Supreme Court, Place 8",0226,227,307,534,2436,21.92%,152,70,34,256
"Justice, Supreme Court, Place 8",0227,558,423,981,1785,54.96%,775,44,42,861
"Justice, Supreme Court, Place 8",0228,362,195,557,1050,53.05%,43,67,87,197
"Justice, Supreme Court, Place 8",0229,31,96,127,815,15.58%,65,9,8,82
"Justice, Supreme Court, Place 8",0230,185,116,301,1089,27.64%,14,20,18,52
"Justice, Supreme Court, Place 8",0231,233,264,497,2232,22.27%,161,51,65,277
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0232,361,474,835,1760,47.44%,483,77,96,656
"Justice, Supreme Court, Place 8",0233,892,801,1693,4445,38.09%,885,187,225,1297
"Justice, Supreme Court, Place 8",0234,1192,913,2105,3993,52.72%,1700,68,60,1828
"Justice, Supreme Court, Place 8",0235,240,158,398,1356,29.35%,23,37,28,88
"Justice, Supreme Court, Place 8",0236,354,235,589,2079,28.33%,30,65,34,129
"Justice, Supreme Court, Place 8",0237,417,253,670,2161,31.00%,30,52,38,120
"Justice, Supreme Court, Place 8",0238,340,245,585,1925,30.39%,30,49,45,124
"Justice, Supreme Court, Place 8",0239,383,236,619,1964,31.52%,30,49,38,117
"Justice, Supreme Court, Place 8",0240,585,243,828,2649,31.26%,44,80,51,175
"Justice, Supreme Court, Place 8",0241,222,229,451,2372,19.01%,197,36,34,267
"Justice, Supreme Court, Place 8",0242,173,162,335,1596,20.99%,199,23,22,244
"Justice, Supreme Court, Place 8",0243,138,43,181,457,39.61%,8,13,15,36
