Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0301,210,255,465,2352,19.77%,211,29,22,262
"Justice, Supreme Court, Place 8",0302,353,343,696,2720,25.59%,438,34,40,512
"Justice, Supreme Court, Place 8",0303,924,784,1708,3245,52.63%,1409,61,69,1539
"Justice, Supreme Court, Place 8",0304,606,505,1111,2298,48.35%,683,59,106,848
"Justice, Supreme Court, Place 8",0305,524,432,956,4191,22.81%,431,99,88,618
"Justice, Supreme Court, Place 8",0306,650,342,992,1879,52.79%,750,49,61,860
"Justice, Supreme Court, Place 8",0307,733,670,1403,3099,45.27%,990,98,119,1207
"Justice, Supreme Court, Place 8",0308,199,130,329,1296,25.39%,126,36,25,187
"Justice, Supreme Court, Place 8",0309,708,593,1301,2524,51.55%,1080,43,46,1169
"Justice, Supreme Court, Place 8",0310,386,279,665,1435,46.34%,471,40,42,553
"Justice, Supreme Court, Place 8",0311,486,421,907,2986,30.38%,525,64,66,655
"Justice, Supreme Court, Place 8",0312,742,457,1199,3636,32.98%,806,97,75,978
"Justice, Supreme Court, Place 8",0313,9,0,9,62,14.52%,7,1,0,8
"Justice, Supreme Court, Place 8",0314,1121,913,2034,5647,36.02%,1320,176,127,1623
"Justice, Supreme Court, Place 8",0315,478,388,866,1608,53.86%,544,67,70,681
"Justice, Supreme Court, Place 8",0316,412,341,753,1537,48.99%,443,48,98,589
"Justice, Supreme Court, Place 8",0317,250,209,459,1588,28.90%,173,60,60,293
"Justice, Supreme Court, Place 8",0318,834,568,1402,3660,38.31%,127,153,139,419
"Justice, Supreme Court, Place 8",0319,512,230,742,2158,34.38%,74,81,65,220
"Justice, Supreme Court, Place 8",0320,234,168,402,1537,26.15%,221,31,24,276
"Justice, Supreme Court, Place 8",0321,262,191,453,2346,19.31%,192,46,36,274
"Justice, Supreme Court, Place 8",0322,182,129,311,1226,25.37%,112,32,41,185
"Justice, Supreme Court, Place 8",0323,278,211,489,1722,28.40%,243,55,61,359
"Justice, Supreme Court, Place 8",0324,532,646,1178,2336,50.43%,761,91,95,947
"Justice, Supreme Court, Place 8",0325,289,193,482,2112,22.82%,121,53,42,216
"Justice, Supreme Court, Place 8",0326,87,74,161,698,23.07%,88,12,6,106
"Justice, Supreme Court, Place 8",0327,380,129,509,1729,29.44%,29,42,43,114
"Justice, Supreme Court, Place 8",0328,151,140,291,1434,20.29%,145,21,24,190
"Justice, Supreme Court, Place 8",0329,191,184,375,1397,26.84%,167,45,29,241
"Justice, Supreme Court, Place 8",0330,334,253,587,1936,30.32%,349,45,52,446
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0331,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0332,18,7,25,138,18.12%,15,2,1,18
"Justice, Supreme Court, Place 8",0333,524,714,1238,3021,40.98%,891,90,97,1078
"Justice, Supreme Court, Place 8",0334,83,42,125,742,16.85%,23,11,16,50
"Justice, Supreme Court, Place 8",0335,121,98,219,1300,16.85%,94,19,16,129
"Justice, Supreme Court, Place 8",0336,870,624,1494,4051,36.88%,211,252,180,643
"Justice, Supreme Court, Place 8",0337,124,103,227,1029,22.06%,49,29,27,105
"Justice, Supreme Court, Place 8",0338,731,391,1122,4934,22.74%,436,108,89,633
"Justice, Supreme Court, Place 8",0339,202,222,424,1757,24.13%,107,43,50,200
"Justice, Supreme Court, Place 8",0340,1038,594,1832,3765,43.35%,1249,88,97,1434
"Justice, Supreme Court, Place 8",0341,91,167,258,1290,20.00%,101,27,24,152
"Justice, Supreme Court, Place 8",0342,875,605,1280,6526,19.61%,270,161,143,574
"Justice, Supreme Court, Place 8",0343,189,271,460,1964,23.42%,165,53,45,263
"Justice, Supreme Court, Place 8",0344,154,172,326,1160,28.10%,27,28,18,73
"Justice, Supreme Court, Place 8",0345,158,165,321,1804,17.79%,111,46,48,205
"Justice, Supreme Court, Place 8",0346,0,1,1,3,33.33%,1,0,0,1
"Justice, Supreme Court, Place 8",0347,592,436,1028,3387,30.35%,740,69,35,844
"Justice, Supreme Court, Place 8",0348,438,208,646,1708,37.82%,516,31,26,573
"Justice, Supreme Court, Place 8",0349,188,267,455,1349,33.73%,290,37,37,364
"Justice, Supreme Court, Place 8",0350,525,526,1051,2909,36.13%,495,124,167,786
"Justice, Supreme Court, Place 8",0351,1491,710,2201,4712,46.71%,1793,92,71,1956
"Justice, Supreme Court, Place 8",0352,520,339,859,3205,26.80%,646,47,40,733
"Justice, Supreme Court, Place 8",0353,885,451,1116,3862,28.90%,266,100,94,460
"Justice, Supreme Court, Place 8",0354,715,338,1053,3388,31.08%,316,118,93,527
"Justice, Supreme Court, Place 8",0355,301,264,565,1560,36.22%,81,69,55,205
"Justice, Supreme Court, Place 8",0356,594,538,1132,2972,38.09%,770,82,72,924
"Justice, Supreme Court, Place 8",0357,837,575,1412,3517,40.15%,1063,81,94,1238
"Justice, Supreme Court, Place 8",0358,213,254,487,2492,18.74%,82,52,48,182
"Justice, Supreme Court, Place 8",0359,235,224,459,3061,15.00%,79,62,37,178
"Justice, Supreme Court, Place 8",0360,524,380,904,2146,42.12%,501,77,107,685
"Justice, Supreme Court, Place 8",0361,41,295,336,1673,20.08%,72,61,109,242
"Justice, Supreme Court, Place 8",0362,1138,887,2025,5086,39.82%,1550,111,102,1763
"Justice, Supreme Court, Place 8",0383,620,412,1032,3677,28.07%,517,93,73,683
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0364,489,405,894,2658,33.63%,536,71,84,691
"Justice, Supreme Court, Place 8",0365,478,231,709,1305,54.33%,92,73,51,216
"Justice, Supreme Court, Place 8",0366,252,270,522,2454,21.27%,165,68,40,273
"Justice, Supreme Court, Place 8",0367,170,138,308,1130,27.26%,80,37,29,146
"Justice, Supreme Court, Place 8",0368,178,88,266,958,27.77%,88,20,19,127
"Justice, Supreme Court, Place 8",0369,32,29,61,559,10.91%,21,9,13,43
"Justice, Supreme Court, Place 8",0370,1532,1105,2637,6593,40.00%,2047,136,107,2290
"Justice, Supreme Court, Place 8",0371,122,52,174,502,34.66%,12,20,14,46
"Justice, Supreme Court, Place 8",0372,221,170,391,1224,31.94%,77,47,46,170
"Justice, Supreme Court, Place 8",0373,21,12,33,157,21.02%,2,2,4,8
"Justice, Supreme Court, Place 8",0374,65,93,158,738,21.41,%,64,15,8,87
"Justice, Supreme Court, Place 8",0375,254,220,474,2645,17.92%,264,26,27,317
"Justice, Supreme Court, Place 8",0376,278,205,483,1910,25.29%,233,40,26,299
"Justice, Supreme Court, Place 8",0377,526,583,1109,2920,37.98%,837,56,56,949
"Justice, Supreme Court, Place 8",0378,232,354,586,1829,32.04%,383,60,38,481
"Justice, Supreme Court, Place 8",0379,432,289,721,2027,35.57%,109,87,49,245
"Justice, Supreme Court, Place 8",0380,1303,995,2298,5666,40.56%,1322,228,181,1731
"Justice, Supreme Court, Place 8",0381,412,248,660,2855,23.12%,338,53,42,433
"Justice, Supreme Court, Place 8",0382,132,157,289,922,31.34%,217,20,12,249
"Justice, Supreme Court, Place 8",0383,289,263,552,2173,25.40%,239,47,36,322
"Justice, Supreme Court, Place 8",0384,573,373,946,2657,35.60%,236,105,105,446
"Justice, Supreme Court, Place 8",0385,583,670,1253,2207,56.77%,1006,53,48,1107
"Justice, Supreme Court, Place 8",0386,662,469,1131,2922,38.71%,864,49,35,948
"Justice, Supreme Court, Place 8",0387,555,672,1227,3935,31.18%,907,58,54,1019
"Justice, Supreme Court, Place 8",0388,1432,1010,2442,6888,35.45%,1468,212,167,1847
"Justice, Supreme Court, Place 8",0389,91,208,299,1026,29.14%,52,69,44,165
"Justice, Supreme Court, Place 8",0390,356,263,619,1480,41.82%,112,87,103,302
"Justice, Supreme Court, Place 8",0391,508,260,768,1883,40.79%,517,49,58,624
"Justice, Supreme Court, Place 8",0392,387,155,542,1446,37.48%,27,37,37,101
"Justice, Supreme Court, Place 8",0393,165,185,350,1292,27.09%,181,48,24,253
"Justice, Supreme Court, Place 8",0394,69,73,142,834,17.03%,74,13,6,93
"Justice, Supreme Court, Place 8",0395,470,404,874,1846,47.35%,639,59,67,765
"Justice, Supreme Court, Place 8",0396,623,216,839,2082,40.30%,37,58,51,146
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0397,86,78,164,760,21.58%,88,17,10,115
"Justice, Supreme Court, Place 8",0398,615,521,1136,4022,28.24%,644,110,99,853
"Justice, Supreme Court, Place 8",0399,404,366,770,2791,27.59%,455,56,54,565
"Justice, Supreme Court, Place 8",0400,620,359,979,2411,40.61%,738,53,52,843
"Justice, Supreme Court, Place 8",0401,330,205,535,1913,27.97%,34,61,40,135
"Justice, Supreme Court, Place 8",0402,466,266,732,1794,40.80%,63,67,60,190
"Justice, Supreme Court, Place 8",0403,475,498,973,1715,56.73%,611,60,86,757
"Justice, Supreme Court, Place 8",0404,419,330,749,2585,28.97%,466,50,45,561
"Justice, Supreme Court, Place 8",0405,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0406,137,67,204,628,32.48%,12,21,18,51
"Justice, Supreme Court, Place 8",0407,692,793,1485,3769,39.40%,1047,92,108,1247
"Justice, Supreme Court, Place 8",0408,146,153,299,1691,17.68%,157,25,19,201
"Justice, Supreme Court, Place 8",0409,122,149,271,1459,18.57%,125,17,17,159
"Justice, Supreme Court, Place 8",0410,132,80,212,899,23.58%,51,16,18,85
"Justice, Supreme Court, Place 8",0411,235,200,435,2339,18.60%,181,32,31,244
"Justice, Supreme Court, Place 8",0412,74,44,118,468,25.21%,14,13,10,37
"Justice, Supreme Court, Place 8",0413,767,386,1153,2992,38.54%,489,99,93,681
"Justice, Supreme Court, Place 8",0414,654,480,1134,3453,32.84%,901,33,31,965
"Justice, Supreme Court, Place 8",0415,539,598,1137,2203,51.61,%,783,75,82,940
"Justice, Supreme Court, Place 8",0416,538,558,1096,3791,28.91%,660,84,100,844
"Justice, Supreme Court, Place 8",0417,353,385,738,2448,30.15%,398,65,65,528
"Justice, Supreme Court, Place 8",0418,404,469,873,3584,24.36%,400,93,69,562
"Justice, Supreme Court, Place 8",0419,571,324,895,2658,33.67%,624,52,40,716
"Justice, Supreme Court, Place 8",0420,1036,874,1910,4762,40.11%,1609,71,48,1728
"Justice, Supreme Court, Place 8",0421,36,37,73,410,17.80%,31,8,9,48
"Justice, Supreme Court, Place 8",0422,731,402,1133,3345,33.87%,68,103,75,246
"Justice, Supreme Court, Place 8",0423,108,120,228,1376,16.57%,92,19,20,131
"Justice, Supreme Court, Place 8",0424,240,111,351,967,36.30%,216,37,30,283
"Justice, Supreme Court, Place 8",0425,107,123,230,883,26.05%,92,36,21,149
"Justice, Supreme Court, Place 8",0426,260,183,443,1218,36.37%,285,25,27,337
"Justice, Supreme Court, Place 8",0427,179,134,313,1092,28.66%,148,24,16,188
"Justice, Supreme Court, Place 8",0428,619,421,1040,4538,22.92%,383,99,78,560
"Justice, Supreme Court, Place 8",0429,445,314,759,3197,23.74%,237,81,83,401
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0430,161,133,294,1657,17.74%,100,42,42,184
"Justice, Supreme Court, Place 8",0431,327,84,411,3417,12.03%,164,45,48,257
"Justice, Supreme Court, Place 8",0432,123,157,280,1455,19.24%,115,46,48,209
"Justice, Supreme Court, Place 8",0433,50,63,113,581,19.45%,30,20,13,63
"Justice, Supreme Court, Place 8",0434,371,289,660,1503,43.91%,449,48,43,540
"Justice, Supreme Court, Place 8",0435,856,636,1492,3252,45.88%,1014,91,113,1218
"Justice, Supreme Court, Place 8",0436,629,531,1160,2933,39.55%,780,81,93,954
"Justice, Supreme Court, Place 8",0437,521,512,1033,2033,50.81%,761,41,62,864
"Justice, Supreme Court, Place 8",0438,619,389,1008,1861,54.16%,778,53,54,885
"Justice, Supreme Court, Place 8",0439,710,884,1594,3554,44.85%,1185,99,91,1375
"Justice, Supreme Court, Place 8",0440,664,858,1522,2930,51.95%,1238,52,50,1340
"Justice, Supreme Court, Place 8",0441,345,420,765,1669,45.84%,601,47,26,674
"Justice, Supreme Court, Place 8",0442,612,574,1186,2575,46.06%,1006,39,48,1093
"Justice, Supreme Court, Place 8",0443,227,138,365,646,56.50%,265,23,31,319
"Justice, Supreme Court, Place 8",0444,687,583,1270,3262,38.93%,823,101,97,1021
"Justice, Supreme Court, Place 8",0445,499,348,847,2026,41.81%,602,56,52,710
"Justice, Supreme Court, Place 8",0446,31,22,53,291,18.21%,27,6,3,36
"Justice, Supreme Court, Place 8",0447,93,86,179,637,28.10%,62,31,24,117
"Justice, Supreme Court, Place 8",0448,590,778,1368,3138,43.59%,806,135,147,1088
"Justice, Supreme Court, Place 8",0449,12,23,35,198,17.68%,5,6,2,13
"Justice, Supreme Court, Place 8",0450,436,328,764,2635,28.99%,271,85,70,426
"Justice, Supreme Court, Place 8",0451,1002,510,1512,2687,56.27%,1277,47,35,1359
"Justice, Supreme Court, Place 8",0452,554,444,998,3048,32.74%,752,61,46,859
"Justice, Supreme Court, Place 8",0453,231,262,493,1937,25.45%,223,43,56,322
"Justice, Supreme Court, Place 8",0454,594,248,842,2561,32.88%,37,61,43,141
"Justice, Supreme Court, Place 8",0455,367,165,532,1689,31.50%,30,49,32,111
"Justice, Supreme Court, Place 8",0456,482,362,844,3513,24.03%,522,43,43,608
"Justice, Supreme Court, Place 8",0457,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0458,471,237,708,1924,36.80%,64,74,58,196
"Justice, Supreme Court, Place 8",0459,951,474,1425,3021,47.17%,1157,67,63,1287
"Justice, Supreme Court, Place 8",0460,554,331,885,2837,31.19%,277,101,89,467
"Justice, Supreme Court, Place 8",0461,1165,735,1900,3871,49.08%,1371,100,104,1575
"Justice, Supreme Court, Place 8",0462,675,619,1294,3384,38.24%,550,103,147,800
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0463,481,404,885,3326,26.61%,449,108,84,641
"Justice, Supreme Court, Place 8",0464,356,430,786,2257,34.82%,571,48,40,659
"Justice, Supreme Court, Place 8",0465,688,520,1208,3564,33.89%,721,107,101,929
"Justice, Supreme Court, Place 8",0466,1058,614,1672,4184,39.96%,1023,133,113,1269
"Justice, Supreme Court, Place 8",0467,213,189,402,1270,31.65%,113,34,35,182
"Justice, Supreme Court, Place 8",0468,352,443,795,3598,22.10%,289,94,52,435
"Justice, Supreme Court, Place 8",0469,1299,547,1846,3985,46.32%,1494,81,73,1648
"Justice, Supreme Court, Place 8",0470,185,176,361,1326,27.22%,274,24,18,316
"Justice, Supreme Court, Place 8",0471,375,380,755,2387,31.63%,615,33,30,678
"Justice, Supreme Court, Place 8",0472,198,278,476,1081,44.03%,229,51,76,356
"Justice, Supreme Court, Place 8",0473,603,391,994,1806,55.04%,715,54,70,839
"Justice, Supreme Court, Place 8",0474,559,588,1147,3037,37.77%,822,88,77,987
"Justice, Supreme Court, Place 8",0475,189,267,456,1809,25.21%,240,41,33,314
"Justice, Supreme Court, Place 8",0476,404,473,877,2430,36.09%,529,66,51,646
"Justice, Supreme Court, Place 8",0477,737,567,1304,3505,37.20%,1025,79,66,1170
"Justice, Supreme Court, Place 8",0478,958,657,1615,4461,36.20%,1136,111,108,1355
"Justice, Supreme Court, Place 8",0479,640,612,1252,2714,46.13%,958,79,63,1100
"Justice, Supreme Court, Place 8",0480,493,450,943,2415,39.05%,700,70,52,822
"Justice, Supreme Court, Place 8",0481,770,623,1393,3482,40.01%,1079,61,79,1219
"Justice, Supreme Court, Place 8",0482,878,630,1508,4373,34.48%,1106,124,97,1327
"Justice, Supreme Court, Place 8",0483,1043,478,1521,4308,35.31%,934,131,138,1203
"Justice, Supreme Court, Place 8",0484,1107,930,2037,4979,40.91%,1542,127,114,1783
"Justice, Supreme Court, Place 8",0485,1095,911,2006,5388,37.23%,1601,132,72,1805
"Justice, Supreme Court, Place 8",0486,873,855,1728,3866,44.70%,1386,94,72,1552
"Justice, Supreme Court, Place 8",0487,570,294,864,3860,22.38%,347,79,58,484
"Justice, Supreme Court, Place 8",0488,268,254,522,1719,30.37%,225,51,39,315
"Justice, Supreme Court, Place 8",0489,350,290,640,1893,33.81%,246,68,65,379
"Justice, Supreme Court, Place 8",0490,444,368,812,1975,41.11%,337,77,104,518
"Justice, Supreme Court, Place 8",0491,315,372,687,1888,36.39%,441,61,71,573
"Justice, Supreme Court, Place 8",0492,556,410,966,2335,41.37%,625,74,61,760
"Justice, Supreme Court, Place 8",0493,480,322,802,1853,43.28%,570,53,51,674
"Justice, Supreme Court, Place 8",0494,381,247,628,2467,25.46%,107,61,36,204
"Justice, Supreme Court, Place 8",0495,522,523,1045,2375,44.00%,777,66,46,889
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0496,190,315,505,2160,23.38%,219,52,41,312
"Justice, Supreme Court, Place 8",0497,526,243,769,2257,34.07%,43,50,52,145
"Justice, Supreme Court, Place 8",0498,363,323,686,2297,29.87%,335,69,80,484
"Justice, Supreme Court, Place 8",0499,751,518,1269,2326,54.56%,979,60,75,1114
"Justice, Supreme Court, Place 8",0500,729,715,1444,3507,41.17%,1037,87,86,1210
"Justice, Supreme Court, Place 8",0501,341,417,758,1801,42.09%,306,114,141,561
"Justice, Supreme Court, Place 8",0502,477,350,827,2501,33.07%,680,33,26,739
"Justice, Supreme Court, Place 8",0503,174,116,290,1374,21.11%,124,30,26,180
"Justice, Supreme Court, Place 8",0504,624,527,1151,2288,50.31%,779,94,91,964
"Justice, Supreme Court, Place 8",0505,531,562,1193,3773,31.62%,595,131,158,884
"Justice, Supreme Court, Place 8",0506,665,670,1335,3502,38.12%,300,162,162,624
"Justice, Supreme Court, Place 8",0507,221,149,370,2452,15.09%,83,34,29,146
"Justice, Supreme Court, Place 8",0508,492,412,904,3287,27.50%,377,89,52,518
"Justice, Supreme Court, Place 8",0509,754,596,1350,3732,36.17%,988,87,74,1149
"Justice, Supreme Court, Place 8",0510,689,514,1203,3590,33.51%,647,126,138,911
"Justice, Supreme Court, Place 8",0511,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 8",0512,602,660,1262,5057,24.96%,662,126,99,887
"Justice, Supreme Court, Place 8",0513,1019,487,1506,2894,52.04%,1197,76,68,1341
"Justice, Supreme Court, Place 8",0514,954,720,1674,4275,39.16%,1301,91,71,1463
"Justice, Supreme Court, Place 8",0515,943,683,1626,3455,47.06%,1342,72,51,1465
"Justice, Supreme Court, Place 8",0516,1001,800,1801,5356,33.63%,1017,162,136,1315
"Justice, Supreme Court, Place 8",0517,482,256,738,2954,24.98%,446,69,54,569
"Justice, Supreme Court, Place 8",0518,635,693,1328,3943,33.68%,912,94,83,1089
"Justice, Supreme Court, Place 8",0519,623,493,1116,2966,37.63%,855,73,68,996
"Justice, Supreme Court, Place 8",0520,474,457,931,4580,20.33%,214,124,112,450
"Justice, Supreme Court, Place 8",0521,471,464,935,2866,32.62%,535,81,81,697
"Justice, Supreme Court, Place 8",0522,716,572,1288,2689,47.90%,1015,78,50,1143
"Justice, Supreme Court, Place 8",0523,751,415,1166,3052,38.20%,820,83,88,991
"Justice, Supreme Court, Place 8",0524,568,459,1027,3410,30.12%,402,107,95,604
"Justice, Supreme Court, Place 8",0525,707,482,1189,3091,38.47%,315,129,136,580
"Justice, Supreme Court, Place 8",0526,58,84,152,780,19.49%,49,14,14,77
"Justice, Supreme Court, Place 8",0527,37,40,77,574,13.41%,41,8,4,53
"Justice, Supreme Court, Place 8",0528,14,12,26,90,28.89%,2,3,0,5
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0529,1043,491,1534,3710,41.35%,1332,59,39,1430
"Justice, Supreme Court, Place 8",0530,114,107,221,1196,18.48%,68,18,16,102
"Justice, Supreme Court, Place 8",0531,363,174,537,1145,46.90%,431,21,12,464
"Justice, Supreme Court, Place 8",0532,205,146,351,1048,33.49%,266,21,16,303
"Justice, Supreme Court, Place 8",0533,124,108,232,1119,20.73%,134,15,15,164
"Justice, Supreme Court, Place 8",0534,783,524,1307,3837,34.06%,1039,55,46,1140
"Justice, Supreme Court, Place 8",0535,33,29,62,416,14.90%,33,8,3,44
"Justice, Supreme Court, Place 8",0536,554,780,1,334,5139,25.96%,595,137,93,825
"Justice, Supreme Court, Place 8",0537,857,778,1635,3050,53.61%,1256,68,45,1369
"Justice, Supreme Court, Place 8",0538,204,160,364,1303,27.94%,23,32,27,82
"Justice, Supreme Court, Place 8",0539,15,241,256,64,400.00%,91,30,31,152
"Justice, Supreme Court, Place 8",0540,378,316,694,1567,44.29%,307,62,114,483
"Justice, Supreme Court, Place 8",0541,789,505,1294,4599,28.14%,265,210,179,654
"Justice, Supreme Court, Place 8",0542,360,382,742,2557,29.02%,81,84,57,222
"Justice, Supreme Court, Place 8",0543,141,213,354,1565,22.62%,149,41,40,230
"Justice, Supreme Court, Place 8",0544,35,41,77,310,24.84%,15,5,8,28
"Justice, Supreme Court, Place 8",0545,596,620,1216,3629,33.51%,673,97,60,830
"Justice, Supreme Court, Place 8",0546,2,2,4,37,10.81%,2,1,1,4
"Justice, Supreme Court, Place 8",0547,501,466,967,2406,40.19%,695,77,58,830
"Justice, Supreme Court, Place 8",0548,285,293,579,2215,26.14%,325,51,41,417
"Justice, Supreme Court, Place 8",0549,343,418,761,2663,28.58%,141,81,68,290
"Justice, Supreme Court, Place 8",0550,501,431,932,3031,30.75%,560,71,70,701
"Justice, Supreme Court, Place 8",0551,1288,1394,2682,7034,38.13%,2088,169,111,2368
"Justice, Supreme Court, Place 8",0552,847,883,1730,3415,50.66%,1467,63,61,1591
"Justice, Supreme Court, Place 8",0553,579,529,1108,4686,23.64%,554,122,90,766
"Justice, Supreme Court, Place 8",0554,261,199,460,1757,26.18%,119,44,42,205
"Justice, Supreme Court, Place 8",0555,225,277,502,2219,22.62%,128,64,43,235
"Justice, Supreme Court, Place 8",0556,276,186,462,2319,19.92%,158,35,43,236
"Justice, Supreme Court, Place 8",0557,455,183,638,2830,22.54%,299,44,40,383
"Justice, Supreme Court, Place 8",0558,694,463,1157,4380,26.42%,453,149,146,748
"Justice, Supreme Court, Place 8",0559,641,494,1135,4969,22.84%,397,159,138,694
"Justice, Supreme Court, Place 8",0560,72,131,203,1120,18.13%,64,27,19,110
"Justice, Supreme Court, Place 8",0561,362,436,798,3064,26.04%,501,51,47,599
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0562,113,68,181,694,26.08%,28,18,18,64
"Justice, Supreme Court, Place 8",0563,1108,376,1484,3105,47.79%,1197,64,61,1322
"Justice, Supreme Court, Place 8",0564,471,426,897,3155,28.43%,283,137,155,575
"Justice, Supreme Court, Place 8",0565,108,78,186,1354,13.74%,51,23,21,95
"Justice, Supreme Court, Place 8",0566,418,324,742,2882,25.75%,273,102,96,471
"Justice, Supreme Court, Place 8",0567,301,193,494,2238,22.07%,178,48,47,273
"Justice, Supreme Court, Place 8",0568,876,685,1561,3594,43.43%,1072,116,126,1314
"Justice, Supreme Court, Place 8",0569,575,667,1242,3525,35.23%,718,154,116,988
"Justice, Supreme Court, Place 8",0570,239,210,449,1562,28.75%,174,62,89,325
"Justice, Supreme Court, Place 8",0571,155,149,304,1827,16.64%,139,11,20,170
"Justice, Supreme Court, Place 8",0572,556,375,931,3108,29.95%,525,96,87,708
"Justice, Supreme Court, Place 8",0573,290,151,441,1619,27.24%,17,27,31,75
"Justice, Supreme Court, Place 8",0574,31,42,73,402,18.16%,13,6,2,21
"Justice, Supreme Court, Place 8",0575,13,11,24,74,32.43%,19,1,2,22
"Justice, Supreme Court, Place 8",0576,486,318,804,2734,29.41%,44,75,56,175
"Justice, Supreme Court, Place 8",0577,148,88,236,608,38.82%,152,19,20,191
"Justice, Supreme Court, Place 8",0578,409,538,947,1799,52.64%,620,79,90,789
"Justice, Supreme Court, Place 8",0579,76,101,177,1056,16.76%,40,16,19,75
"Justice, Supreme Court, Place 8",0580,179,118,297,1031,28.81%,10,27,20,57
"Justice, Supreme Court, Place 8",0581,212,174,386,1032,37.40%,17,43,28,88
"Justice, Supreme Court, Place 8",0582,258,171,429,1588,27.02%,31,39,32,102
"Justice, Supreme Court, Place 8",0583,225,131,356,1262,28.21%,22,35,21,78
"Justice, Supreme Court, Place 8",0584,182,93,275,1014,27.12%,18,25,17,60
"Justice, Supreme Court, Place 8",0585,417,172,589,2511,23.46%,34,63,40,137
"Justice, Supreme Court, Place 8",0586,638,680,1318,4316,30.54%,825,107,89,1021
"Justice, Supreme Court, Place 8",0587,439,284,723,2598,27.83%,319,61,70,450
"Justice, Supreme Court, Place 8",0588,758,674,1432,3645,39.29%,1042,104,86,1232
"Justice, Supreme Court, Place 8",0589,500,386,886,3420,25.91%,527,87,62,676
"Justice, Supreme Court, Place 8",0590,773,399,1172,2162,54.21%,935,53,42,1030
"Justice, Supreme Court, Place 8",0591,183,231,414,2121,19.52%,142,35,34,211
"Justice, Supreme Court, Place 8",0592,133,157,290,1350,21.48%,94,25,26,145
"Justice, Supreme Court, Place 8",0593,544,564,1108,4380,25.30%,591,97,89,777
"Justice, Supreme Court, Place 8",0594,561,326,887,2490,35.62%,287,92,89,468
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Phil Johnson,LIB RS Roberto Koelsch,GRN Jim Chisolm,Totals
"Justice, Supreme Court, Place 8",0595,201,178,379,1693,22.39%,82,34,36,152
"Justice, Supreme Court, Place 8",0596,441,348,789,3007,26.24%,467,62,79,608
"Justice, Supreme Court, Place 8",0597,367,394,761,3653,20.83%,358,86,55,499
"Justice, Supreme Court, Place 8",0598,195,57,252,728,34.62%,203,15,11,229
"Justice, Supreme Court, Place 8",0599,850,578,1428,4950,28.85%,561,148,131,840
"Justice, Supreme Court, Place 8",0600,667,429,1096,3957,27.70%,479,116,71,666
"Justice, Supreme Court, Place 8",0601,1074,756,1830,4057,45.11%,1410,98,105,1613
"Justice, Supreme Court, Place 8",0602,293,235,528,1326,39.82%,398,36,30,464
"Justice, Supreme Court, Place 8",0603,554,794,1678,4843,34.65%,1102,158,114,1374
"Justice, Supreme Court, Place 8",0604,702,518,1220,3005,40.60%,1022,54,37,1113
"Justice, Supreme Court, Place 8",0605,907,556,1463,5582,26.21%,435,163,137,735
"Justice, Supreme Court, Place 8",0606,176,70,246,937,26.25%,12,18,12,42
