Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0070,882,664,1546,3337,46.33%,892,486,30,1408
"Judge, County Criminal Court No. 13",0071,602,722,1324,4197,31.55%,639,566,38,1243
"Judge, County Criminal Court No. 13",0072,220,293,513,1924,26.66%,159,302,18,479
"Judge, County Criminal Court No. 13",0073,252,414,666,1555,42.83%,375,216,19,610
"Judge, County Criminal Court No. 13",0074,1153,782,1935,3583,54.01%,1524,301,22,1847
"Judge, County Criminal Court No. 13",0075,254,280,534,1444,36.98%,201,281,16,498
"Judge, County Criminal Court No. 13",0076,373,374,747,2362,31.63%,434,257,24,715
"Judge, County Criminal Court No. 13",0077,43,46,89,566,15.72%,14,68,3,85
"Judge, County Criminal Court No. 13",0078,180,201,381,1522,25.03%,131,217,10,358
"Judge, County Criminal Court No. 13",0079,205,306,511,2927,17.46%,125,329,14,468
"Judge, County Criminal Court No. 13",0080,501,351,852,2725,31.27%,217,577,17,811
"Judge, County Criminal Court No. 13",0081,183,187,370,1835,20.16%,145,190,12,347
"Judge, County Criminal Court No. 13",0082,639,671,1310,3368,38.90%,987,268,18,1273
"Judge, County Criminal Court No. 13",0083,1296,888,2184,6625,32.97%,1058,1006,33,2097
"Judge, County Criminal Court No. 13",0084,208,218,426,1373,31.03%,305,96,9,410
"Judge, County Criminal Court No. 13",0085,271,248,519,2173,23.88%,19,470,14,503
"Judge, County Criminal Court No. 13",0086,447,568,1015,2910,34.88%,450,473,29,952
"Judge, County Criminal Court No. 13",0087,674,787,1461,2818,51.85%,930,394,16,1340
"Judge, County Criminal Court No. 13",0088,123,118,241,693,34.78%,154,66,7,227
"Judge, County Criminal Court No. 13",0089,165,371,536,1094,48.99%,298,179,7,484
"Judge, County Criminal Court No. 13",0090,844,790,1634,3700,44.16%,1194,340,31,1565
"Judge, County Criminal Court No. 13",0091,219,222,441,1505,29.30%,263,145,14,422
"Judge, County Criminal Court No. 13",0092,695,462,1157,2242,51.61%,763,297,21,1081
"Judge, County Criminal Court No. 13",0093,381,301,682,3356,20.32%,269,359,13,641
"Judge, County Criminal Court No. 13",0094,51,43,94,549,17.12%,27,60,4,91
"Judge, County Criminal Court No. 13",0095,917,576,1493,3177,46.99%,1088,305,31,1424
"Judge, County Criminal Court No. 13",0096,83,83,166,1296,12.81%,24,139,2,165
"Judge, County Criminal Court No. 13",0097,1024,725,1749,4828,36.23%,1292,365,27,1684
"Judge, County Criminal Court No. 13",0098,403,488,891,2651,33.61%,732,111,18,861
"Judge, County Criminal Court No. 13",0099,254,184,438,2092,20.94%,207,201,14,422
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0100,165,173,338,1730,19.54%,179,144,6,329
"Judge, County Criminal Court No. 13",0101,72,58,130,946,13.74%,45,76,7,128
"Judge, County Criminal Court No. 13",0102,207,121,328,1872,17.52%,88,218,7,313
"Judge, County Criminal Court No. 13",0103,700,714,1414,5371,26.33%,798,543,29,1370
"Judge, County Criminal Court No. 13",0104,530,231,761,1905,39.95%,18,718,9,745
"Judge, County Criminal Court No. 13",0105,196,210,406,2165,18.75%,132,231,14,377
"Judge, County Criminal Court No. 13",0106,18,7,25,294,8.50%,15,8,1,24
"Judge, County Criminal Court No. 13",0107,154,197,351,2032,17.27%,54,269,8,331
"Judge, County Criminal Court No. 13",0108,558,272,940,3365,27.93%,564,328,15,907
"Judge, County Criminal Court No. 13",0109,529,245,774,2824,27.41%,8,740,7,755
"Judge, County Criminal Court No. 13",0110,654,494,1148,3042,37.74%,743,355,14,1112
"Judge, County Criminal Court No. 13",0111,816,795,1611,4102,39.27%,1167,346,26,1539
"Judge, County Criminal Court No. 13",0112,542,485,1027,2976,34.51%,751,210,20,981
"Judge, County Criminal Court No. 13",0113,562,429,991,2647,37.44%,605,315,23,943
"Judge, County Criminal Court No. 13",0114,707,547,1254,3311,37.87%,1008,200,12,1220
"Judge, County Criminal Court No. 13",0115,238,150,388,1800,21.56%,51,315,8,374
"Judge, County Criminal Court No. 13",0116,982,776,1758,3147,55.86%,1350,282,13,1645
"Judge, County Criminal Court No. 13",0117,215,226,441,1880,23.46%,215,188,14,417
"Judge, County Criminal Court No. 13",0118,304,123,427,759,56.26%,359,49,3,411
"Judge, County Criminal Court No. 13",0119,1288,1024,2312,5500,42.04%,1857,335,24,2216
"Judge, County Criminal Court No. 13",0120,712,422,1134,3191,35.54%,735,327,22,1084
"Judge, County Criminal Court No. 13",0121,92,178,270,848,31.84%,188,68,5,261
"Judge, County Criminal Court No. 13",0122,352,225,577,1890,30.53%,19,523,9,551
"Judge, County Criminal Court No. 13",0123,284,288,572,1392,41.09%,144,369,19,532
"Judge, County Criminal Court No. 13",0124,1734,1292,3026,7254,41.71%,2396,512,34,2942
"Judge, County Criminal Court No. 13",0125,415,332,747,2405,31.06%,454,249,15,718
"Judge, County Criminal Court No. 13",0126,893,467,1360,3100,43.87%,1197,115,9,1321
"Judge, County Criminal Court No. 13",0127,435,154,589,1836,32.08%,417,130,7,554
"Judge, County Criminal Court No. 13",0128,445,707,1152,2290,50.31%,727,297,21,1045
"Judge, County Criminal Court No. 13",0129,1030,1200,2230,5746,38.81%,1408,665,36,2109
"Judge, County Criminal Court No. 13",0130,727,523,1250,2333,53.58%,924,249,11,1184
"Judge, County Criminal Court No. 13",0131,251,259,510,1935,26.36%,117,357,7,481
"Judge, County Criminal Court No. 13",0132,593,323,916,2387,38.37%,20,863,10,893
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0133,513,858,1371,2662,51.50%,799,431,23,1253
"Judge, County Criminal Court No. 13",0134,192,265,457,1437,31.80%,204,216,15,435
"Judge, County Criminal Court No. 13",0135,727,579,1306,2671,48.90%,917,290,14,1221
"Judge, County Criminal Court No. 13",0136,503,371,874,2013,43.42%,33,788,23,844
"Judge, County Criminal Court No. 13",0137,166,141,307,716,42.88%,151,120,5,276
"Judge, County Criminal Court No. 13",0138,296,199,495,1699,29.13%,17,464,2,483
"Judge, County Criminal Court No. 13",0139,699,551,1250,3037,41.16%,561,584,20,1165
"Judge, County Criminal Court No. 13",0140,699,480,1179,3214,36.68%,140,973,18,1131
"Judge, County Criminal Court No. 13",0141,80,80,160,855,18.71%,96,52,3,151
"Judge, County Criminal Court No. 13",0142,87,103,190,902,21.06%,64,109,6,179
"Judge, County Criminal Court No. 13",0143,1962,580,2542,6386,39.81%,1825,623,25,2473
"Judge, County Criminal Court No. 13",0144,216,158,374,1093,34.22%,10,354,0,364
"Judge, County Criminal Court No. 13",0145,264,213,477,1538,31.01%,9,449,5,463
"Judge, County Criminal Court No. 13",0146,426,519,945,2008,47.06%,414,442,30,886
"Judge, County Criminal Court No. 13",0147,589,329,1018,3008,33.84%,124,863,8,995
"Judge, County Criminal Court No. 13",0148,500,780,1280,2540,50.39%,499,633,31,1163
"Judge, County Criminal Court No. 13",0149,1621,737,2358,7993,29.50%,1203,1041,48,2292
"Judge, County Criminal Court No. 13",0150,236,169,405,1256,32.25%,14,381,3,398
"Judge, County Criminal Court No. 13",0151,137,79,216,826,26.15%,8,197,3,208
"Judge, County Criminal Court No. 13",0152,213,299,512,2788,18.36%,127,338,24,489
"Judge, County Criminal Court No. 13",0153,125,206,331,1808,18.31%,105,199,12,316
"Judge, County Criminal Court No. 13",0154,249,183,432,2190,19.73%,120,275,14,409
"Judge, County Criminal Court No. 13",0155,1022,619,1641,4109,39.94%,1143,418,20,1581
