Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0303,922,784,1706,3245,52.57%,1374,235,12,1621
"Judge, County Criminal Court No. 13",0304,606,505,1111,2298,48.35%,614,391,17,1022
"Judge, County Criminal Court No. 13",0305,524,432,956,4191,22.81%,400,502,23,925
"Judge, County Criminal Court No. 13",0306,549,342,991,1879,52.74%,725,197,10,932
"Judge, County Criminal Court No. 13",0307,733,670,1403,3099,45.27%,950,323,38,1311
"Judge, County Criminal Court No. 13",0308,199,130,329,1296,25.39%,113,194,11,318
"Judge, County Criminal Court No. 13",0309,708,593,1301,2524,51.55%,1031,165,17,1213
"Judge, County Criminal Court No. 13",0310,386,279,665,1435,46.34%,455,151,11,617
"Judge, County Criminal Court No. 13",0311,486,421,907,2986,30.38%,482,349,21,852
"Judge, County Criminal Court No. 13",0312,742,457,1199,3636,32.98%,790,342,14,1146
"Judge, County Criminal Court No. 13",0313,9,0,9,62,14.52%,7,1,0,8
"Judge, County Criminal Court No. 13",0314,1121,913,2034,5647,36.02%,1266,673,28,1967
"Judge, County Criminal Court No. 13",0315,478,388,866,1608,53.86%,509,274,19,802
"Judge, County Criminal Court No. 13",0316,412,341,753,1537,48.99%,417,257,19,693
"Judge, County Criminal Court No. 13",0317,248,209,457,1588,28.78%,148,277,11,436
"Judge, County Criminal Court No. 13",0318,834,568,1402,3660,38.31%,62,1270,22,1354
"Judge, County Criminal Court No. 13",0319,512,230,742,2158,34.38%,42,664,11,717
"Judge, County Criminal Court No. 13",0320,234,168,402,1537,26.15%,203,169,9,381
"Judge, County Criminal Court No. 13",0321,262,191,453,2346,19.31%,162,250,18,430
"Judge, County Criminal Court No. 13",0322,181,129,310,1226,25.29%,100,190,9,299
"Judge, County Criminal Court No. 13",0323,278,211,489,1722,28.40%,234,208,16,458
"Judge, County Criminal Court No. 13",0324,532,545,1178,2336,50.43%,724,329,22,1075
"Judge, County Criminal Court No. 13",0325,289,193,482,2112,22.82%,102,344,14,460
"Judge, County Criminal Court No. 13",0326,87,74,161,698,23.07%,76,72,6,154
"Judge, County Criminal Court No. 13",0327,380,129,509,1729,29.44%,7,479,5,491
"Judge, County Criminal Court No. 13",0328,151,140,291,1434,20.29%,122,148,7,277
"Judge, County Criminal Court No. 13",0329,189,184,373,1397,26.70%,141,196,12,349
"Judge, County Criminal Court No. 13",0330,334,253,587,1936,30.32%,323,226,10,559
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0331,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0332,18,7,25,138,18.12%,11,11,0,22
"Judge, County Criminal Court No. 13",0333,524,714,1238,3021,40.98%,857,286,29,1172
"Judge, County Criminal Court No. 13",0334,83,42,125,742,16.85%,21,98,1,120
"Judge, County Criminal Court No. 13",0335,121,98,219,1300,16.85%,81,118,6,205
"Judge, County Criminal Court No. 13",0336,866,624,1490,4051,36.78%,128,1300,27,1455
"Judge, County Criminal Court No. 13",0337,124,103,227,1029,22.06%,40,171,4,215
"Judge, County Criminal Court No. 13",0338,730,391,1121,4934,22.72%,362,678,19,1059
"Judge, County Criminal Court No. 13",0339,202,222,424,1757,24.13%,94,288,14,396
"Judge, County Criminal Court No. 13",0340,1038,594,1632,3765,43.35%,1220,292,43,1555
"Judge, County Criminal Court No. 13",0341,91,167,258,1290,20.00%,85,156,8,249
"Judge, County Criminal Court No. 13",0342,675,605,1280,6526,19.61%,208,1015,26,1249
"Judge, County Criminal Court No. 13",0343,189,271,460,1964,23.42%,135,293,4,432
"Judge, County Criminal Court No. 13",0344,154,172,326,1160,28.10%,13,294,3,310
"Judge, County Criminal Court No. 13",0345,156,165,321,1804,17.79%,96,202,7,305
"Judge, County Criminal Court No. 13",0346,0,1,1,3,33.33%,1,0,0,1
"Judge, County Criminal Court No. 13",0347,592,436,1028,3387,30.35%,692,277,23,992
"Judge, County Criminal Court No. 13",0348,438,208,646,1708,37.82%,498,108,12,618
"Judge, County Criminal Court No. 13",0349,188,267,455,1349,33.73%,275,140,15,430
"Judge, County Criminal Court No. 13",0350,524,526,1050,2909,36.09%,422,497,36,955
"Judge, County Criminal Court No. 13",0351,1491,710,2201,4712,46.71%,1742,353,24,2119
"Judge, County Criminal Court No. 13",0352,520,339,859,3205,26.80%,622,188,17,827
"Judge, County Criminal Court No. 13",0353,665,451,1116,3862,28.90%,198,867,18,1083
"Judge, County Criminal Court No. 13",0354,715,338,1053,3388,31.08%,260,741,15,1016
"Judge, County Criminal Court No. 13",0355,301,264,565,1560,36.22%,53,486,6,545
"Judge, County Criminal Court No. 13",0356,594,538,1132,2972,38.09%,746,312,18,1076
"Judge, County Criminal Court No. 13",0357,837,575,1412,3517,40.15%,1029,304,26,1359
"Judge, County Criminal Court No. 13",0358,212,254,466,2492,18.70%,47,397,6,450
"Judge, County Criminal Court No. 13",0359,234,224,458,3061,14.96%,58,385,4,447
"Judge, County Criminal Court No. 13",0360,522,380,902,2146,42.03%,481,324,19,824
"Judge, County Criminal Court No. 13",0361,41,295,336,1673,20.08%,48,235,12,295
"Judge, County Criminal Court No. 13",0362,1138,887,2025,5086,39.82%,1485,410,28,1923
"Judge, County Criminal Court No. 13",0363,620,412,1032,3677,28.07%,463,516,17,996
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0364,488,405,893,2658,33.60%,515,315,20,850
"Judge, County Criminal Court No. 13",0365,478,231,709,1305,54.33%,55,628,8,691
"Judge, County Criminal Court No. 13",0366,252,270,522,2454,21.27%,127,372,11,510
"Judge, County Criminal Court No. 13",0367,170,138,308,1130,27.26%,65,228,7,300
"Judge, County Criminal Court No. 13",0368,178,88,266,958,27.77%,70,184,1,255
"Judge, County Criminal Court No. 13",0369,32,29,61,559,10.91%,18,40,2,60
"Judge, County Criminal Court No. 13",0370,1532,1105,2637,6593,40.00%,1986,516,35,2537
"Judge, County Criminal Court No. 13",0371,122,52,174,502,34.66%,7,155,4,166
"Judge, County Criminal Court No. 13",0372,221,170,391,1224,31.94%,50,313,7,370
"Judge, County Criminal Court No. 13",0373,21,12,33,157,21.02%,1,28,2,31
"Judge, County Criminal Court No. 13",0374,65,93,158,738,21.41%,55,90,5,150
"Judge, County Criminal Court No. 13",0375,254,220,474,2645,17.92%,235,194,9,438
"Judge, County Criminal Court No. 13",0376,278,205,483,1910,25.29%,215,237,4,456
"Judge, County Criminal Court No. 13",0377,526,583,1109,2920,37.98%,810,216,24,1050
"Judge, County Criminal Court No. 13",0378,232,354,586,1829,32.04%,359,185,13,557
"Judge, County Criminal Court No. 13",0379,431,289,720,2027,35.52%,66,622,11,699
"Judge, County Criminal Court No. 13",0380,1299,995,2294,5666,40.49%,1236,925,49,2210
"Judge, County Criminal Court No. 13",0381,412,248,660,2855,23.12%,307,311,15,633
"Judge, County Criminal Court No. 13",0382,132,157,289,922,31.34%,215,62,3,280
"Judge, County Criminal Court No. 13",0383,289,263,552,2173,25.40%,225,292,12,529
"Judge, County Criminal Court No. 13",0384,573,373,946,2657,35.60%,184,711,11,906
"Judge, County Criminal Court No. 13",0385,583,670,1253,2207,56.77%,969,184,22,1175
"Judge, County Criminal Court No. 13",0386,662,469,1131,2922,38.71%,826,249,9,1084
"Judge, County Criminal Court No. 13",0387,555,672,1227,3935,31.18%,895,278,16,1189
"Judge, County Criminal Court No. 13",0388,1430,1010,2440,6888,35.42%,1390,925,46,2361
"Judge, County Criminal Court No. 13",0389,91,208,299,1026,29.14%,36,223,16,275
"Judge, County Criminal Court No. 13",0390,355,263,619,1480,41.82%,78,503,14,595
"Judge, County Criminal Court No. 13",0391,508,260,768,1883,40.79%,491,224,20,735
"Judge, County Criminal Court No. 13",0392,387,155,542,1446,37.48%,7,514,12,533
"Judge, County Criminal Court No. 13",0393,165,185,350,1292,27.09%,166,162,12,340
"Judge, County Criminal Court No. 13",0394,69,73,142,834,17.03%,69,58,9,136
"Judge, County Criminal Court No. 13",0395,469,404,873,1846,47.29%,630,176,16,822
"Judge, County Criminal Court No. 13",0396,622,216,838,2082,40.25%,15,793,7,815
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0397,86,78,164,760,21.58%,78,79,2,159
"Judge, County Criminal Court No. 13",0398,615,521,1136,4022,28.24%,607,478,18,1103
"Judge, County Criminal Court No. 13",0399,402,366,768,2791,27.52%,419,302,21,742
"Judge, County Criminal Court No. 13",0400,620,359,979,2411,40.61%,708,211,13,932
"Judge, County Criminal Court No. 13",0401,330,205,535,1913,27.97%,18,494,10,522
"Judge, County Criminal Court No. 13",0402,466,266,732,1794,40.80%,37,665,7,709
"Judge, County Criminal Court No. 13",0403,475,498,973,1715,56.73%,546,316,11,873
"Judge, County Criminal Court No. 13",0404,419,330,749,2585,28.97%,438,262,18,718
"Judge, County Criminal Court No. 13",0405,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0406,137,67,204,628,32.48%,3,192,1,196
"Judge, County Criminal Court No. 13",0407,688,793,1481,3769,39.29%,995,371,29,1395
"Judge, County Criminal Court No. 13",0408,146,153,299,1691,17.68%,142,134,8,284
"Judge, County Criminal Court No. 13",0409,122,149,271,1459,18.57%,111,144,6,261
"Judge, County Criminal Court No. 13",0410,132,80,212,899,23.58%,45,154,2,201
"Judge, County Criminal Court No. 13",0411,235,200,435,2339,18.60%,162,242,10,414
"Judge, County Criminal Court No. 13",0412,74,44,118,468,25.21%,8,103,1,112
"Judge, County Criminal Court No. 13",0413,767,386,1153,2992,38.54%,459,634,12,1105
"Judge, County Criminal Court No. 13",0414,654,480,1134,3453,32.84%,877,192,19,1088
"Judge, County Criminal Court No. 13",0415,539,598,1137,2203,51.61%,773,289,21,1083
"Judge, County Criminal Court No. 13",0416,538,558,1096,3791,28.91%,609,422,21,1052
"Judge, County Criminal Court No. 13",0417,353,385,738,2448,30.15%,369,314,22,705
"Judge, County Criminal Court No. 13",0418,403,469,872,3584,24.33%,353,460,14,827
"Judge, County Criminal Court No. 13",0419,571,324,895,2658,33.67%,602,231,18,851
"Judge, County Criminal Court No. 13",0420,1036,874,1910,4762,40.11%,1567,242,20,1829
"Judge, County Criminal Court No. 13",0421,36,37,73,410,17.80%,26,41,2,69
"Judge, County Criminal Court No. 13",0422,731,402,1133,3345,33.87%,28,1063,17,1108
"Judge, County Criminal Court No. 13",0423,108,120,228,1376,16.57%,79,136,3,218
"Judge, County Criminal Court No. 13",0424,240,111,351,967,36.30%,209,114,7,330
"Judge, County Criminal Court No. 13",0425,107,123,230,883,26.05%,89,122,7,218
"Judge, County Criminal Court No. 13",0426,260,183,443,1218,36.37%,257,158,7,422
"Judge, County Criminal Court No. 13",0427,179,134,313,1092,28.66%,134,153,2,289
"Judge, County Criminal Court No. 13",0428,619,421,1040,4538,22.92%,289,673,12,974
"Judge, County Criminal Court No. 13",0429,445,314,759,3197,23.74%,199,508,14,721
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0430,161,133,294,1657,17.74%,88,180,11,279
"Judge, County Criminal Court No. 13",0431,327,84,411,3417,12.03%,155,224,12,391
"Judge, County Criminal Court No. 13",0432,123,157,280,1455,19.24%,102,158,12,272
"Judge, County Criminal Court No. 13",0433,50,63,113,581,19.45%,24,76,7,107
"Judge, County Criminal Court No. 13",0434,370,289,659,1503,43.85%,428,184,8,620
"Judge, County Criminal Court No. 13",0435,855,636,1491,3252,45.85%,988,391,28,1407
"Judge, County Criminal Court No. 13",0436,629,531,1160,2933,39.55%,729,333,17,1079
"Judge, County Criminal Court No. 13",0437,521,512,1033,2033,50.81%,723,227,16,966
"Judge, County Criminal Court No. 13",0438,517,389,1006,1861,54.06%,770,159,9,938
"Judge, County Criminal Court No. 13",0439,710,884,1594,3554,44.85%,1153,319,22,1494
"Judge, County Criminal Court No. 13",0440,664,858,1522,2930,51.95%,1211,195,14,1420
"Judge, County Criminal Court No. 13",0441,345,420,765,1669,45.84%,585,126,5,716
"Judge, County Criminal Court No. 13",0442,612,574,1186,2575,46.06%,987,145,9,1141
"Judge, County Criminal Court No. 13",0443,226,138,364,646,56.35%,260,72,7,339
"Judge, County Criminal Court No. 13",0444,587,583,1270,3262,38.93%,804,362,28,1194
"Judge, County Criminal Court No. 13",0445,499,348,847,2026,41.81%,583,210,12,805
"Judge, County Criminal Court No. 13",0446,31,22,53,291,18.21%,27,23,0,50
"Judge, County Criminal Court No. 13",0447,93,86,179,637,28.10%,54,110,5,169
"Judge, County Criminal Court No. 13",0448,590,778,1368,3138,43.59%,752,480,41,1273
"Judge, County Criminal Court No. 13",0449,12,23,35,198,17.68%,4,31,0,35
"Judge, County Criminal Court No. 13",0450,435,328,763,2635,28.96%,241,474,17,732
"Judge, County Criminal Court No. 13",0451,1002,510,1512,2687,56.27%,1238,175,14,1427
"Judge, County Criminal Court No. 13",0452,554,444,998,3048,32.74%,736,213,14,963
"Judge, County Criminal Court No. 13",0453,231,262,493,1937,25.45%,187,274,7,468
"Judge, County Criminal Court No. 13",0454,594,248,842,2561,32.88%,12,810,1,823
"Judge, County Criminal Court No. 13",0455,367,165,532,1689,31.50%,21,494,9,524
"Judge, County Criminal Court No. 13",0456,482,362,844,3513,24.03%,491,317,11,819
"Judge, County Criminal Court No. 13",0457,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0458,471,237,708,1924,36.80%,32,645,7,684
"Judge, County Criminal Court No. 13",0459,951,474,1425,3021,47.17%,1123,227,19,1369
"Judge, County Criminal Court No. 13",0460,554,331,885,2837,31.19%,230,616,14,860
"Judge, County Criminal Court No. 13",0461,1155,735,1900,3871,49.08%,1317,430,24,1771
"Judge, County Criminal Court No. 13",0462,674,619,1293,3384,38.21%,462,733,29,1224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0463,480,404,884,3326,26.58%,402,430,19,851
"Judge, County Criminal Court No. 13",0464,356,430,786,2257,34.82%,567,178,13,758
"Judge, County Criminal Court No. 13",0465,687,520,1207,3564,33.87%,688,451,24,1163
"Judge, County Criminal Court No. 13",0466,1058,614,1672,4184,39.96%,982,612,16,1610
"Judge, County Criminal Court No. 13",0467,213,189,402,1270,31.65%,95,292,5,392
"Judge, County Criminal Court No. 13",0468,352,443,795,3598,22.10%,248,498,13,759
"Judge, County Criminal Court No. 13",0469,1294,547,1841,3985,46.20%,1455,283,22,1760
"Judge, County Criminal Court No. 13",0470,185,176,361,1326,27.22%,267,66,10,343
"Judge, County Criminal Court No. 13",0471,375,380,755,2387,31.63%,595,109,28,732
"Judge, County Criminal Court No. 13",0472,198,278,476,1081,44.03%,201,218,12,431
"Judge, County Criminal Court No. 13",0473,599,391,990,1806,54.82%,689,227,18,934
"Judge, County Criminal Court No. 13",0474,559,588,1147,3037,37.77%,797,280,25,1102
"Judge, County Criminal Court No. 13",0475,189,267,456,1809,25.21%,215,209,9,433
"Judge, County Criminal Court No. 13",0476,404,473,877,2430,36.09%,490,335,16,841
"Judge, County Criminal Court No. 13",0477,737,567,1304,3505,37.20%,995,235,27,1257
"Judge, County Criminal Court No. 13",0478,958,657,1615,4461,36.20%,1096,423,19,1538
"Judge, County Criminal Court No. 13",0479,638,612,1250,2714,46.06%,925,246,29,1200
"Judge, County Criminal Court No. 13",0480,493,450,943,2415,39.05%,677,203,19,899
"Judge, County Criminal Court No. 13",0481,770,623,1393,3482,40.01%,1054,253,27,1334
"Judge, County Criminal Court No. 13",0482,878,630,1508,4373,34.48%,1084,336,36,1456
"Judge, County Criminal Court No. 13",0483,1042,478,1520,4308,35.28%,888,533,35,1456
"Judge, County Criminal Court No. 13",0484,1107,930,2037,4979,40.91%,1468,460,35,1963
"Judge, County Criminal Court No. 13",0485,1095,911,2006,5388,37.23%,1554,356,37,1947
"Judge, County Criminal Court No. 13",0486,873,855,1728,3866,44.70%,1352,280,16,1648
"Judge, County Criminal Court No. 13",0487,570,294,864,3860,22.38%,290,494,19,803
"Judge, County Criminal Court No. 13",0488,268,254,522,1719,30.37%,189,277,16,482
"Judge, County Criminal Court No. 13",0489,350,290,640,1893,33.81%,211,384,15,610
"Judge, County Criminal Court No. 13",0490,444,368,812,1975,41.11%,296,462,20,778
"Judge, County Criminal Court No. 13",0491,314,372,686,1888,36.33%,410,220,15,645
"Judge, County Criminal Court No. 13",0492,556,410,966,2335,41.37%,601,299,15,915
"Judge, County Criminal Court No. 13",0493,479,322,801,1853,43.23%,543,196,12,751
"Judge, County Criminal Court No. 13",0494,381,247,628,2467,25.46%,84,522,5,611
"Judge, County Criminal Court No. 13",0495,522,523,1045,2375,44.00%,751,219,12,982
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0496,190,315,505,2160,23.38%,198,279,12,489
"Judge, County Criminal Court No. 13",0497,526,243,769,2257,34.07%,23,720,4,747
"Judge, County Criminal Court No. 13",0498,363,323,686,2297,29.87%,303,339,23,665
"Judge, County Criminal Court No. 13",0499,750,518,1268,2326,54.51%,938,237,17,1192
"Judge, County Criminal Court No. 13",0500,729,715,1444,3507,41.17%,1003,363,21,1387
"Judge, County Criminal Court No. 13",0501,341,417,758,1801,42.09%,275,407,17,699
"Judge, County Criminal Court No. 13",0502,477,350,827,2501,33.07%,668,117,11,796
"Judge, County Criminal Court No. 13",0503,174,116,290,1374,21.11%,104,162,9,275
"Judge, County Criminal Court No. 13",0504,624,527,1151,2288,50.31%,753,300,26,1079
"Judge, County Criminal Court No. 13",0505,531,562,1193,3773,31.62%,548,526,40,1114
"Judge, County Criminal Court No. 13",0506,665,670,1335,3502,38.12%,230,1032,23,1285
"Judge, County Criminal Court No. 13",0507,221,149,370,2452,15.09%,70,249,6,325
"Judge, County Criminal Court No. 13",0508,492,412,904,3287,27.50%,315,515,21,851
"Judge, County Criminal Court No. 13",0509,753,596,1349,3732,36.15%,933,317,30,1280
"Judge, County Criminal Court No. 13",0510,687,514,1201,3590,33.45%,614,498,33,1145
"Judge, County Criminal Court No. 13",0511,0,0,0,0,0.00%,0,0,0,0
"Judge, County Criminal Court No. 13",0512,602,660,1262,5057,24.96%,591,602,37,1230
"Judge, County Criminal Court No. 13",0513,1019,487,1506,2894,52.04%,1155,258,17,1430
"Judge, County Criminal Court No. 13",0514,953,720,1673,4275,39.13%,1273,310,21,1604
"Judge, County Criminal Court No. 13",0515,942,683,1625,3455,47.03%,1317,220,15,1552
"Judge, County Criminal Court No. 13",0516,1000,800,1800,5356,33.61%,944,731,43,1718
"Judge, County Criminal Court No. 13",0517,481,256,737,2954,24.95%,423,268,24,715
"Judge, County Criminal Court No. 13",0518,635,693,1328,3943,33.68%,867,376,31,1274
"Judge, County Criminal Court No. 13",0519,623,493,1116,2966,37.63%,831,220,27,1078
"Judge, County Criminal Court No. 13",0520,473,457,930,4580,20.31%,167,714,23,904
"Judge, County Criminal Court No. 13",0521,471,464,935,2866,32.62%,492,386,24,902
"Judge, County Criminal Court No. 13",0522,716,572,1288,2689,47.90%,1000,216,15,1231
"Judge, County Criminal Court No. 13",0523,751,415,1166,3052,38.20%,788,295,28,1111
"Judge, County Criminal Court No. 13",0524,567,459,1026,3410,30.09%,354,624,13,991
"Judge, County Criminal Court No. 13",0525,707,482,1189,3091,38.47%,276,838,19,1133
"Judge, County Criminal Court No. 13",0526,58,84,152,780,19.49%,44,95,4,143
"Judge, County Criminal Court No. 13",0527,37,40,77,574,13.41%,39,32,5,76
"Judge, County Criminal Court No. 13",0528,14,12,26,90,28.89%,1,21,1,23
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0529,1043,491,1534,3710,41.35%,1311,146,15,1472
"Judge, County Criminal Court No. 13",0530,114,107,221,1196,18.48%,55,148,3,206
"Judge, County Criminal Court No. 13",0531,363,174,537,1145,46.90%,417,89,8,514
"Judge, County Criminal Court No. 13",0532,205,146,351,1048,33.49%,255,76,8,339
"Judge, County Criminal Court No. 13",0533,124,108,232,1119,20.73%,134,82,5,221
"Judge, County Criminal Court No. 13",0534,783,524,1,307,3837,34.06%,996,229,22,1247
"Judge, County Criminal Court No. 13",0535,33,29,62,416,14.90%,31,27,2,60
"Judge, County Criminal Court No. 13",0536,554,780,1,334,5139,25.96%,515,746,28,1289
"Judge, County Criminal Court No. 13",0537,855,778,1633,3050,53.54%,1200,345,16,1561
"Judge, County Criminal Court No. 13",0538,204,160,364,1303,27.94%,6,344,6,356
"Judge, County Criminal Court No. 13",0539,15,241,256,64,400.00%,73,159,4,236
"Judge, County Criminal Court No. 13",0540,378,316,694,1567,44.29%,283,337,9,629
"Judge, County Criminal Court No. 13",0541,784,505,1289,4599,28.03%,182,1023,28,1233
"Judge, County Criminal Court No. 13",0542,360,382,742,2557,29.02%,45,660,10,715
"Judge, County Criminal Court No. 13",0543,141,213,354,1565,22.62%,116,206,9,331
"Judge, County Criminal Court No. 13",0544,35,41,77,310,24.84%,12,63,1,76
"Judge, County Criminal Court No. 13",0545,596,620,1216,3629,33.51%,605,545,14,1164
"Judge, County Criminal Court No. 13",0546,2,2,4,37,10.81%,3,0,1,4
"Judge, County Criminal Court No. 13",0547,501,466,967,2406,40.19%,669,225,32,926
"Judge, County Criminal Court No. 13",0548,286,293,579,2215,26.14%,304,252,7,563
"Judge, County Criminal Court No. 13",0549,343,418,761,2663,28.58%,109,626,10,745
"Judge, County Criminal Court No. 13",0550,501,431,932,3031,30.75%,540,342,15,897
"Judge, County Criminal Court No. 13",0551,1288,1394,2682,7034,38.13%,2030,530,39,2599
"Judge, County Criminal Court No. 13",0552,847,883,1730,3415,50.66%,1449,208,19,1676
"Judge, County Criminal Court No. 13",0553,578,529,1107,4686,23.62%,502,545,24,1071
"Judge, County Criminal Court No. 13",0554,261,199,460,1757,26.18%,101,327,6,434
"Judge, County Criminal Court No. 13",0555,225,277,502,2219,22.62%,108,368,7,483
"Judge, County Criminal Court No. 13",0556,276,186,462,2319,19.92%,132,300,12,444
"Judge, County Criminal Court No. 13",0557,455,183,638,2830,22.54%,250,313,13,576
"Judge, County Criminal Court No. 13",0558,693,463,1156,4380,26.39%,401,680,33,1114
"Judge, County Criminal Court No. 13",0559,640,494,1134,4969,22.82%,340,724,28,1092
"Judge, County Criminal Court No. 13",0560,72,131,203,1120,18.13%,53,133,2,188
"Judge, County Criminal Court No. 13",0561,362,436,798,3064,26.04%,483,256,18,757
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0562,113,68,181,694,26.08%,25,152,1,178
"Judge, County Criminal Court No. 13",0563,1107,376,1483,3105,47.76%,1169,232,15,1416
"Judge, County Criminal Court No. 13",0564,470,426,896,3155,28.40%,227,608,21,856
"Judge, County Criminal Court No. 13",0565,108,78,186,1354,13.74%,43,125,6,174
"Judge, County Criminal Court No. 13",0566,417,324,741,2882,25.71%,230,471,18,719
"Judge, County Criminal Court No. 13",0567,301,193,494,2238,22.07%,164,290,13,467
"Judge, County Criminal Court No. 13",0568,876,685,1561,3594,43.43%,1033,405,24,1462
"Judge, County Criminal Court No. 13",0569,572,667,1239,3525,35.15%,664,476,22,1162
"Judge, County Criminal Court No. 13",0570,238,210,448,1562,28.68%,157,246,9,412
"Judge, County Criminal Court No. 13",0571,155,149,304,1827,16.64%,119,170,7,296
"Judge, County Criminal Court No. 13",0572,555,375,930,3108,29.92%,486,380,19,885
"Judge, County Criminal Court No. 13",0573,290,151,441,1619,27.24%,9,423,5,437
"Judge, County Criminal Court No. 13",0574,31,42,73,402,18.16%,9,62,1,72
"Judge, County Criminal Court No. 13",0575,13,11,24,74,32.43%,19,3,1,23
"Judge, County Criminal Court No. 13",0576,485,318,803,2734,29.37%,22,755,11,788
"Judge, County Criminal Court No. 13",0577,147,88,235,608,38.65%,140,79,7,226
"Judge, County Criminal Court No. 13",0578,409,538,947,1799,52.64%,582,292,20,894
"Judge, County Criminal Court No. 13",0579,75,101,176,1056,16.67%,32,130,6,168
"Judge, County Criminal Court No. 13",0580,179,118,297,1031,28.81%,3,283,2,288
"Judge, County Criminal Court No. 13",0581,212,174,386,1032,37.40%,7,361,3,371
"Judge, County Criminal Court No. 13",0582,258,171,429,1588,27.02%,20,393,4,417
"Judge, County Criminal Court No. 13",0583,225,131,356,1262,28.21%,10,332,7,349
"Judge, County Criminal Court No. 13",0584,182,93,275,1014,27.12%,11,256,1,268
"Judge, County Criminal Court No. 13",0585,417,172,589,2511,23.46%,13,556,8,577
"Judge, County Criminal Court No. 13",0586,638,680,1318,4316,30.54%,796,442,29,1267
"Judge, County Criminal Court No. 13",0587,436,284,720,2598,27.71%,286,404,8,698
"Judge, County Criminal Court No. 13",0588,758,674,1432,3645,39.29%,1016,334,32,1382
"Judge, County Criminal Court No. 13",0589,500,386,886,3420,25.91%,489,350,21,860
"Judge, County Criminal Court No. 13",0590,772,399,1171,2162,54.16%,926,190,14,1130
"Judge, County Criminal Court No. 13",0591,183,231,414,2121,19.52%,127,257,11,395
"Judge, County Criminal Court No. 13",0592,133,157,290,1350,21.48%,74,193,8,275
"Judge, County Criminal Court No. 13",0593,543,564,1107,4380,25.27%,518,496,35,1049
"Judge, County Criminal Court No. 13",0594,561,326,887,2490,35.62%,245,592,18,855
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Don Smyth,DEM Jason Luong,GRN Clint Davidson,Totals
"Judge, County Criminal Court No. 13",0595,201,178,379,1693,22.39%,66,291,11,368
"Judge, County Criminal Court No. 13",0596,441,348,789,3007,26.24%,433,300,29,762
"Judge, County Criminal Court No. 13",0597,367,394,761,3653,20.83%,325,410,15,750
"Judge, County Criminal Court No. 13",0598,195,57,252,728,34.62%,205,34,5,244
"Judge, County Criminal Court No. 13",0599,850,578,1428,4950,28.85%,501,859,22,1382
"Judge, County Criminal Court No. 13",0600,667,429,1096,3957,27.70%,433,600,14,1047
"Judge, County Criminal Court No. 13",0601,1073,756,1829,4057,45.08%,1381,345,38,1764
"Judge, County Criminal Court No. 13",0602,293,235,528,1326,39.82%,386,116,12,514
"Judge, County Criminal Court No. 13",0603,884,794,1678,4843,34.65%,1064,529,41,1634
"Judge, County Criminal Court No. 13",0604,702,518,1220,3005,40.60%,1007,148,24,1179
"Judge, County Criminal Court No. 13",0605,907,556,1463,5582,26.21%,360,1042,19,1421
"Judge, County Criminal Court No. 13",0606,176,70,246,937,26.25%,5,235,3,243
"Judge, County Criminal Court No. 13",0607,52,51,113,728,15.52%,12,95,1,108
"Judge, County Criminal Court No. 13",0608,31,47,78,537,14.53%,47,26,0,73
"Judge, County Criminal Court No. 13",0609,557,680,1347,3384,39.80%,834,425,15,1274
