Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0762,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0763,108,146,254,1212,20.96%,108,135,243
"Member, State Board of Education, District 4",0766,40,25,65,392,16.58%,17,43,60
"Member, State Board of Education, District 4",0767,10,2,12,86,13.95%,6,6,12
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0769,54,16,70,183,38.25%,3,65,68
"Member, State Board of Education, District 4",0770,31,25,56,323,17.34%,29,27,56
"Member, State Board of Education, District 4",0774,30,41,71,378,18.78%,15,53,68
"Member, State Board of Education, District 4",0775,18,3,21,92,22.83%,0,21,21
"Member, State Board of Education, District 4",0777,46,40,86,652,13.19%,32,52,84
"Member, State Board of Education, District 4",0778,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0779,64,51,115,940,12.23%,44,66,110
"Member, State Board of Education, District 4",0780,63,59,122,595,20.50%,72,48,120
"Member, State Board of Education, District 4",0784,208,128,336,1079,31.14%,6,316,322
"Member, State Board of Education, District 4",0785,28,25,53,296,17.91%,27,26,53
"Member, State Board of Education, District 4",0786,100,98,198,1251,15.83%,80,114,194
"Member, State Board of Education, District 4",0787,46,52,98,488,20.08%,35,58,93
"Member, State Board of Education, District 4",0792,269,239,508,1865,27.24%,136,350,486
"Member, State Board of Education, District 4",0794,124,144,268,2710,9.89%,36,225,261
"Member, State Board of Education, District 4",0795,90,125,215,1217,17.67%,85,121,206
"Member, State Board of Education, District 4",0797,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0798,99,111,210,500,42.00%,86,118,204
"Member, State Board of Education, District 4",0799,28,15,43,161,26.71%,10,33,43
"Member, State Board of Education, District 4",0801,32,14,46,258,17.83%,17,28,45
"Member, State Board of Education, District 4",0806,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0808,12,17,29,131,22.14%,7,21,28
"Member, State Board of Education, District 4",0810,9,16,25,211,11.85%,8,16,24
"Member, State Board of Education, District 4",0811,29,50,79,270,29.26%,30,47,77
"Member, State Board of Education, District 4",0812,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0815,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0816,10,0,10,73,13.70%,3,7,10
"Member, State Board of Education, District 4",0817,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0818,85,39,125,616,20.29%,29,90,119
"Member, State Board of Education, District 4",0820,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0821,124,120,244,1242,19.65%,38,199,237
"Member, State Board of Education, District 4",0822,332,167,499,1535,32.51%,16,475,491
"Member, State Board of Education, District 4",0824,428,282,710,2700,26.30%,162,532,694
"Member, State Board of Education, District 4",0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0827,80,98,158,979,18.14%,88,85,153
"Member, State Board of Education, District 4",0829,54,22,78,264,28.79%,19,58,75
"Member, State Board of Education, District 4",0830,0,0,0,2,0.00%,0,0,0
"Member, State Board of Education, District 4",0831,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0832,34,28,82,352,17.81%,17,41,58
"Member, State Board of Education, District 4",0833,0,1,1,20,5.00%,0,1,1
"Member, State Board of Education, District 4",0838,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0840,381,174,555,1705,32.55%,201,344,545
"Member, State Board of Education, District 4",0841,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0842,421,434,855,3259,28.24%,408,419,825
"Member, State Board of Education, District 4",0843,0,1,1,0,0.00%,0,1,1
"Member, State Board of Education, District 4",0844,1,0,1,11,9.09%,0,1,1
"Member, State Board of Education, District 4",0848,23,24,47,229,20.52%,3,41,44
"Member, State Board of Education, District 4",0847,305,211,518,2015,25.81%,145,357,502
"Member, State Board of Education, District 4",0848,489,288,755,1858,40.88%,218,510,728
"Member, State Board of Education, District 4",0849,201,291,492,2124,23.18%,217,283,480
"Member, State Board of Education, District 4",0850,45,41,87,210,41.43%,33,51,84
"Member, State Board of Education, District 4",0852,0,0,0,1,0.00%,0,0,0
"Member, State Board of Education, District 4",0854,15,28,41,172,23.84%,9,30,39
"Member, State Board of Education, District 4",0855,5,9,14,18,87.50%,5,9,14
"Member, State Board of Education, District 4",0858,0,1,1,0,0.00%,0,1,1
"Member, State Board of Education, District 4",0857,0,0,0,1,0.00%,0,0,0
"Member, State Board of Education, District 4",0858,53,34,97,343,28.28%,4,91,95
"Member, State Board of Education, District 4",0859,157,108,283,890,29.55%,71,188,259
"Member, State Board of Education, District 4",0880,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0881,315,199,514,1842,27.90%,89,413,502
"Member, State Board of Education, District 4",0882,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0883,101,54,155,584,28.54%,9,145,154
"Member, State Board of Education, District 4",0884,193,299,492,2589,19.15%,147,327,474
"Member, State Board of Education, District 4",0885,2,3,5,21,23.81%,0,5,5
"Member, State Board of Education, District 4",0888,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0887,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0888,238,271,507,2328,21.80%,188,319,485
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0889,53,39,92,470,19.57%,24,85,89
"Member, State Board of Education, District 4",0871,1,0,1,3,33.33%,0,1,1
"Member, State Board of Education, District 4",0873,98,75,173,737,23.47%,42,128,170
"Member, State Board of Education, District 4",0883,543,702,1345,5408,24.87%,249,1088,1315
"Member, State Board of Education, District 4",0884,57,25,82,377,21.75%,9,70,79
"Member, State Board of Education, District 4",0889,14,0,14,57,24.58%,5,8,13
"Member, State Board of Education, District 4",0890,184,103,287,1095,24.38%,85,189,254
"Member, State Board of Education, District 4",0892,115,88,201,808,24.88%,74,118,190
"Member, State Board of Education, District 4",0893,0,2,2,8,33.33%,0,2,2
"Member, State Board of Education, District 4",0900,0,2,2,10,20.00%,1,1,2
"Member, State Board of Education, District 4",0905,123,100,223,904,24.87%,109,105,214
"Member, State Board of Education, District 4",0908,0,1,1,0,0.00%,0,1,1
"Member, State Board of Education, District 4",0909,2,1,3,18,18.87%,0,3,3
"Member, State Board of Education, District 4",0910,25,24,49,217,22.58%,19,25,44
"Member, State Board of Education, District 4",0922,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0924,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0927,44,30,74,270,27.41%,28,40,88
"Member, State Board of Education, District 4",0928,3,0,3,8,37.50%,0,3,3
"Member, State Board of Education, District 4",0929,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0930,109,54,183,584,27.91%,5,158,181
"Member, State Board of Education, District 4",0935,3,2,5,54,9.28%,3,1,4
"Member, State Board of Education, District 4",0938,8,2,10,81,12.35%,4,8,10
"Member, State Board of Education, District 4",0937,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0940,0,0,0,10,0.00%,0,0,0
"Member, State Board of Education, District 4",0945,1,2,3,17,17.85%,0,2,2
"Member, State Board of Education, District 4",0948,0,1,1,13,7.89%,0,1,1
"Member, State Board of Education, District 4",0947,177,248,423,799,52.94%,218,190,408
"Member, State Board of Education, District 4",0948,0,14,14,1,1400.00%,9,3,12
"Member, State Board of Education, District 4",0949,34,27,81,193,31.81%,33,28,59
"Member, State Board of Education, District 4",0953,18,9,27,275,9.82%,4,23,27
"Member, State Board of Education, District 4",0954,0,0,0,1,0.00%,0,0,0
"Member, State Board of Education, District 4",0957,97,95,192,582,34.18%,22,189,191
"Member, State Board of Education, District 4",0958,81,129,210,1081,19.43%,58,148,204
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",0959,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",0960,195,157,353,976,36.17%,69,271,340
"Member, State Board of Education, District 4",0961,15,0,16,56,28.57%,0,16,16
"Member, State Board of Education, District 4",0962,10,17,27,88,30.68%,4,23,27
"Member, State Board of Education, District 4",0963,54,41,105,426,24.65%,58,42,100
"Member, State Board of Education, District 4",0969,156,73,229,604,37.91%,1,225,226
"Member, State Board of Education, District 4",0970,83,36,119,731,16.28%,19,98,117
"Member, State Board of Education, District 4",0973,24,19,43,111,38.74%,17,21,38
"Member, State Board of Education, District 4",0974,57,36,93,299,31.10%,56,36,92
"Member, State Board of Education, District 4",0975,55,30,85,193,44.04%,40,41,81
"Member, State Board of Education, District 4",0976,58,62,130,683,19.03%,82,46,128
"Member, State Board of Education, District 4",0977,50,43,93,572,16.26%,43,50,93
"Member, State Board of Education, District 4",0978,77,79,156,546,28.57%,30,124,154
"Member, State Board of Education, District 4",0985,117,63,180,351,51.28%,86,84,170
"Member, State Board of Education, District 4",0986,43,30,73,463,15.77%,12,60,72
"Member, State Board of Education, District 4",0987,231,90,321,1155,27.79%,27,287,314
"Member, State Board of Education, District 4",0989,e,6,12,43,27.91%,9,3,12
"Member, State Board of Education, District 4",0994,e,5,11,25,44.00%,2,9,11
"Member, State Board of Education, District 4",0995,296,156,452,1393,32.45%,26,420,446
"Member, State Board of Education, District 4",0997,101,163,264,1656,15.94%,56,204,260
"Member, State Board of Education, District 4",1000,42,6,48,405,11.85%,12,35,47
"Member, State Board of Education, District 4",1004,111,139,250,654,38.23%,127,108,235
"Member, State Board of Education, District 4",1007,208,188,396,1547,25.60%,99,285,384
"Member, State Board of Education, District 4",1010,59,35,94,459,20.48%,18,74,92
"Member, State Board of Education, District 4",1012,134,201,335,1365,24.54%,100,226,326
"Member, State Board of Education, District 4",1013,0,6,6,58,10.34%,4,2,6
"Member, State Board of Education, District 4",1019,130,107,237,1456,16.28%,10,223,233
"Member, State Board of Education, District 4",1020,0,0,0,1,0.00%,0,0,0
"Member, State Board of Education, District 4",1024,55,61,116,249,46.59%,66,42,108
"Member, State Board of Education, District 4",1027,1,0,1,8,12.50%,1,0,1
"Member, State Board of Education, District 4",1031,59,71,130,792,16.41%,33,87,120
"Member, State Board of Education, District 4",1035,2,4,6,138,4.35%,1,5,6
"Member, State Board of Education, District 4",1038,52,6,68,327,20.80%,9,58,67
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,DEM Lawrence A. Allen Jr.,Totals
"Member, State Board of Education, District 4",1039,2,0,2,25,8.00%,0,2,2
"Member, State Board of Education, District 4",1041,0,2,2,0,0.00%,0,2,2
"Member, State Board of Education, District 4",1042,105,67,172,521,33.01%,56,112,168
"Member, State Board of Education, District 4",1043,e,6,12,33,36.36%,4,8,12
"Member, State Board of Education, District 4",1044,15,6,22,55,40.00%,7,15,22
"Member, State Board of Education, District 4",1045,197,173,370,1788,20.69%,52,305,357
"Member, State Board of Education, District 4",1046,11,5,16,62,25.81%,1,15,16
"Member, State Board of Education, District 4",1048,1,0,1,17,5.88%,1,0,1
"Member, State Board of Education, District 4",1049,14,45,59,290,20.34%,22,35,57
"Member, State Board of Education, District 4",1050,60,63,123,537,22.91%,35,83,118
"Member, State Board of Education, District 4",1052,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",1053,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",1055,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",1056,4,2,6,8,75.00%,0,6,6
"Member, State Board of Education, District 4",1057,7,9,16,118,13.56%,3,12,15
"Member, State Board of Education, District 4",1058,241,285,526,1243,42.32%,104,411,515
"Member, State Board of Education, District 4",1059,3,3,6,28,21.43%,2,4,6
"Member, State Board of Education, District 4",1063,55,59,125,857,14.59%,18,104,122
"Member, State Board of Education, District 4",1065,1,0,1,28,3.57%,0,1,1
"Member, State Board of Education, District 4",1066,72,0,72,229,31.44%,4,66,70
"Member, State Board of Education, District 4",1067,0,0,0,0,0.00%,0,0,0
"Member, State Board of Education, District 4",1068,22,8,30,121,24.79%,12,16,28
"Member, State Board of Education, District 4",Totals;,106879,86185,193064,690839,45862,141132,186994
