Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0077,43,46,89,566,15.72%,21,64,85
"District Judge, 190th Judicial District",0078,180,201,381,1522,25.03%,132,231,363
"District Judge, 190th Judicial District",0079,205,306,511,2927,17.46%,117,360,477
"District Judge, 190th Judicial District",0080,501,351,852,2725,31.27%,214,600,814
"District Judge, 190th Judicial District",0081,183,187,370,1835,20.16%,146,202,348
"District Judge, 190th Judicial District",0082,639,671,1310,3368,38.90%,999,277,1276
"District Judge, 190th Judicial District",0083,1296,888,2184,6625,32.97%,1070,1044,2114
"District Judge, 190th Judicial District",0084,208,218,426,1373,31.03%,321,89,410
"District Judge, 190th Judicial District",0085,271,248,519,2173,23.88%,24,484,508
"District Judge, 190th Judicial District",0086,447,568,1015,2910,34.88%,473,485,958
"District Judge, 190th Judicial District",0087,574,787,1461,2818,51.85%,972,393,1365
"District Judge, 190th Judicial District",0088,123,118,241,693,34.78%,155,73,228
"District Judge, 190th Judicial District",0089,165,371,536,1094,48.99%,320,174,494
"District Judge, 190th Judicial District",0090,844,790,1634,3700,44.16%,1215,354,1569
"District Judge, 190th Judicial District",0091,219,222,441,1505,29.30%,275,151,426
"District Judge, 190th Judicial District",0092,695,462,1157,2242,51.61%,793,297,1090
"District Judge, 190th Judicial District",0093,381,301,682,3356,20.32%,281,366,647
"District Judge, 190th Judicial District",0094,51,43,94,549,17.12%,27,64,91
"District Judge, 190th Judicial District",0095,917,576,1493,3177,46.99%,1122,307,1429
"District Judge, 190th Judicial District",0096,83,83,166,1296,12.81%,23,142,165
"District Judge, 190th Judicial District",0097,1024,725,1749,4828,36.23%,1314,379,1693
"District Judge, 190th Judicial District",0098,403,488,891,2651,33.61%,745,119,864
"District Judge, 190th Judicial District",0099,254,184,438,2092,20.94%,213,215,428
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0100,155,173,338,1730,19.54%,179,153,332
"District Judge, 190th Judicial District",0101,72,58,130,946,13.74%,49,78,127
"District Judge, 190th Judicial District",0102,207,121,328,1872,17.52%,87,231,318
