Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"District Judge, 190th Judicial District",0332,18,7,25,138,18.12%,14,7,21
"District Judge, 190th Judicial District",0333,524,714,1238,3021,40.98%,881,303,1184
"District Judge, 190th Judicial District",0334,83,42,125,742,16.85%,21,100,121
"District Judge, 190th Judicial District",0335,121,98,219,1300,16.85%,90,117,207
"District Judge, 190th Judicial District",0336,866,624,1490,4051,36.78%,142,1311,1453
"District Judge, 190th Judicial District",0337,124,103,227,1029,22.06%,45,173,218
"District Judge, 190th Judicial District",0338,730,391,1121,4934,22.72%,398,649,1047
"District Judge, 190th Judicial District",0339,202,222,424,1757,24.13%,88,316,404
"District Judge, 190th Judicial District",0340,1038,594,1632,3765,43.35%,1247,321,1568
"District Judge, 190th Judicial District",0341,91,167,258,1290,20.00%,81,170,251
"District Judge, 190th Judicial District",0342,675,605,1280,6526,19.61%,216,1034,1250
"District Judge, 190th Judicial District",0343,189,271,460,1964,23.42%,130,306,436
"District Judge, 190th Judicial District",0344,154,172,326,1160,28.10%,15,297,312
"District Judge, 190th Judicial District",0345,156,165,321,1804,17.79%,102,205,307
"District Judge, 190th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 190th Judicial District",0347,592,436,1028,3387,30.35%,702,292,994
"District Judge, 190th Judicial District",0348,438,208,646,1708,37.82%,504,112,616
"District Judge, 190th Judicial District",0349,188,267,455,1349,33.73%,288,147,435
"District Judge, 190th Judicial District",0350,524,526,1050,2909,36.09%,448,518,966
"District Judge, 190th Judicial District",0351,1491,710,2201,4712,46.71%,1756,368,2124
"District Judge, 190th Judicial District",0352,520,339,859,3205,26.80%,635,194,829
"District Judge, 190th Judicial District",0353,665,451,1116,3862,28.90%,204,878,1082
"District Judge, 190th Judicial District",0354,715,338,1053,3388,31.08%,266,760,1026
"District Judge, 190th Judicial District",0355,301,264,565,1560,36.22%,54,497,551
"District Judge, 190th Judicial District",0356,594,538,1132,2972,38.09%,756,323,1079
"District Judge, 190th Judicial District",0357,837,575,1412,3517,40.15%,1047,314,1361
"District Judge, 190th Judicial District",0358,212,254,466,2492,18.70%,56,393,449
"District Judge, 190th Judicial District",0359,234,224,458,3061,14.96%,66,383,449
"District Judge, 190th Judicial District",0360,522,380,902,2146,42.03%,497,329,826
"District Judge, 190th Judicial District",0361,41,295,336,1673,20.08%,54,246,300
"District Judge, 190th Judicial District",0362,1138,887,2025,5086,39.82%,1514,410,1924
"District Judge, 190th Judicial District",0363,620,412,1032,3677,28.07%,475,530,1005
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0364,488,405,893,2658,33.60%,522,330,852
"District Judge, 190th Judicial District",0365,478,231,709,1305,54.33%,62,628,690
"District Judge, 190th Judicial District",0366,252,270,522,2454,21.27%,134,375,509
"District Judge, 190th Judicial District",0367,170,138,308,1130,27.26%,71,230,301
"District Judge, 190th Judicial District",0368,178,88,266,958,27.77%,73,182,255
"District Judge, 190th Judicial District",0369,32,29,61,559,10.91%,15,45,60
"District Judge, 190th Judicial District",0370,1532,1105,2637,6593,40.00%,2022,526,2548
"District Judge, 190th Judicial District",0371,122,52,174,502,34.66%,7,161,168
"District Judge, 190th Judicial District",0372,221,170,391,1224,31.94%,52,328,380
"District Judge, 190th Judicial District",0373,21,12,33,157,21.02%,3,27,30
"District Judge, 190th Judicial District",0374,65,93,158,738,21.41%,52,102,154
"District Judge, 190th Judicial District",0375,254,220,474,2645,17.92%,239,202,441
"District Judge, 190th Judicial District",0376,278,205,483,1910,25.29%,217,246,463
"District Judge, 190th Judicial District",0377,525,583,1109,2920,37.98%,834,221,1055
"District Judge, 190th Judicial District",0378,232,354,586,1829,32.04%,379,186,565
"District Judge, 190th Judicial District",0379,431,289,720,2027,35.52%,70,631,701
"District Judge, 190th Judicial District",0380,1299,995,2294,5666,40.49%,1275,955,2230
"District Judge, 190th Judicial District",0381,412,248,660,2855,23.12%,317,318,635
"District Judge, 190th Judicial District",0382,132,157,289,922,31.34%,217,64,281
"District Judge, 190th Judicial District",0383,289,263,552,2173,25.40%,228,304,532
"District Judge, 190th Judicial District",0384,573,373,946,2657,35.60%,202,709,911
"District Judge, 190th Judicial District",0385,583,670,1253,2207,56.77%,995,192,1187
"District Judge, 190th Judicial District",0386,662,469,1131,2922,38.71%,838,254,1092
"District Judge, 190th Judicial District",0387,555,672,1227,3935,31.18%,907,281,1188
"District Judge, 190th Judicial District",0388,1430,1010,2440,6888,35.42%,1423,957,2380
"District Judge, 190th Judicial District",0389,91,208,299,1026,29.14%,43,235,278
"District Judge, 190th Judicial District",0390,356,263,619,1480,41.82%,81,514,595
"District Judge, 190th Judicial District",0391,508,260,768,1883,40.79%,501,234,735
"District Judge, 190th Judicial District",0392,387,155,542,1446,37.48%,6,525,531
"District Judge, 190th Judicial District",0393,165,185,350,1292,27.09%,174,166,340
"District Judge, 190th Judicial District",0394,69,73,142,834,17.03%,72,63,135
"District Judge, 190th Judicial District",0395,469,404,873,1846,47.29%,652,180,832
"District Judge, 190th Judicial District",0396,622,216,838,2082,40.25%,20,805,825
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0397,86,78,164,760,21.58%,84,77,161
"District Judge, 190th Judicial District",0398,615,521,1136,4022,28.24%,616,491,1107
"District Judge, 190th Judicial District",0399,402,366,768,2791,27.52%,433,312,745
"District Judge, 190th Judicial District",0400,620,359,979,2411,40.61%,731,203,934
"District Judge, 190th Judicial District",0401,330,205,535,1913,27.97%,23,502,525
"District Judge, 190th Judicial District",0402,466,266,732,1794,40.80%,42,672,714
"District Judge, 190th Judicial District",0403,475,498,973,1715,56.73%,571,318,889
"District Judge, 190th Judicial District",0404,419,330,749,2585,28.97%,449,273,722
"District Judge, 190th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 190th Judicial District",0406,137,67,204,628,32.48%,3,197,200
"District Judge, 190th Judicial District",0407,688,793,1481,3769,39.29%,1016,380,1396
"District Judge, 190th Judicial District",0408,146,153,299,1691,17.68%,146,136,282
"District Judge, 190th Judicial District",0409,122,149,271,1459,18.57%,111,154,265
"District Judge, 190th Judicial District",0410,132,80,212,899,23.58%,45,158,203
"District Judge, 190th Judicial District",0411,235,200,435,2339,18.60%,155,265,420
"District Judge, 190th Judicial District",0412,74,44,118,468,25.21%,8,105,113
"District Judge, 190th Judicial District",0413,767,386,1153,2992,38.54%,474,634,1108
"District Judge, 190th Judicial District",0414,654,480,1134,3453,32.84%,898,198,1096
"District Judge, 190th Judicial District",0415,539,598,1137,2203,51.61%,792,299,1091
"District Judge, 190th Judicial District",0416,538,558,1096,3791,28.91%,624,430,1054
"District Judge, 190th Judicial District",0417,353,385,738,2448,30.15%,377,326,703
"District Judge, 190th Judicial District",0418,403,469,872,3584,24.33%,371,464,835
"District Judge, 190th Judicial District",0419,571,324,895,2658,33.67%,604,253,857
"District Judge, 190th Judicial District",0420,1036,874,1910,4762,40.11%,1583,257,1840
"District Judge, 190th Judicial District",0421,36,37,73,410,17.80%,25,42,67
"District Judge, 190th Judicial District",0422,731,402,1133,3345,33.87%,33,1077,1110
"District Judge, 190th Judicial District",0423,108,120,228,1376,16.57%,76,144,220
"District Judge, 190th Judicial District",0424,240,111,351,967,36.30%,214,118,332
"District Judge, 190th Judicial District",0425,107,123,230,883,26.05%,90,131,221
"District Judge, 190th Judicial District",0426,260,183,443,1218,36.37%,277,141,418
"District Judge, 190th Judicial District",0427,179,134,313,1092,28.66%,138,151,289
"District Judge, 190th Judicial District",0428,619,421,1040,4538,22.92%,346,616,962
"District Judge, 190th Judicial District",0429,445,314,759,3197,23.74%,218,497,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0430,161,133,294,1657,17.74%,94,187,281
"District Judge, 190th Judicial District",0431,327,84,411,3417,12.03%,159,235,394
"District Judge, 190th Judicial District",0432,123,157,280,1455,19.24%,108,163,271
"District Judge, 190th Judicial District",0433,50,63,113,581,19.45%,28,82,110
"District Judge, 190th Judicial District",0434,370,289,659,1503,43.85%,431,193,624
"District Judge, 190th Judicial District",0435,855,636,1491,3252,45.85%,1005,407,1412
"District Judge, 190th Judicial District",0436,629,531,1160,2933,39.55%,759,331,1090
"District Judge, 190th Judicial District",0437,521,512,1033,2033,50.81%,744,229,973
"District Judge, 190th Judicial District",0438,517,389,1006,1861,54.06%,782,164,946
"District Judge, 190th Judicial District",0439,710,884,1594,3554,44.85%,1187,316,1503
"District Judge, 190th Judicial District",0440,664,858,1522,2930,51.95%,1239,201,1440
"District Judge, 190th Judicial District",0441,345,420,765,1669,45.84%,600,127,727
"District Judge, 190th Judicial District",0442,612,574,1186,2575,46.06%,995,146,1141
"District Judge, 190th Judicial District",0443,226,138,364,646,56.35%,272,74,346
"District Judge, 190th Judicial District",0444,587,583,1270,3262,38.93%,825,373,1198
"District Judge, 190th Judicial District",0445,499,348,847,2026,41.81%,593,219,812
"District Judge, 190th Judicial District",0446,31,22,53,291,18.21%,26,24,50
"District Judge, 190th Judicial District",0447,93,86,179,637,28.10%,58,115,173
"District Judge, 190th Judicial District",0448,590,778,1368,3138,43.59%,778,498,1276
"District Judge, 190th Judicial District",0449,12,23,35,198,17.68%,3,32,35
"District Judge, 190th Judicial District",0450,435,328,763,2635,28.96%,245,491,736
"District Judge, 190th Judicial District",0451,1002,510,1512,2687,56.27%,1273,176,1449
"District Judge, 190th Judicial District",0452,554,444,998,3048,32.74%,753,215,968
"District Judge, 190th Judicial District",0453,231,262,493,1937,25.45%,200,271,471
"District Judge, 190th Judicial District",0454,594,248,842,2561,32.88%,12,814,826
"District Judge, 190th Judicial District",0455,367,165,532,1689,31.50%,26,499,525
"District Judge, 190th Judicial District",0456,482,362,844,3513,24.03%,500,320,820
"District Judge, 190th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 190th Judicial District",0458,471,237,708,1924,36.80%,26,663,689
"District Judge, 190th Judicial District",0459,951,474,1425,3021,47.17%,1147,234,1381
"District Judge, 190th Judicial District",0460,554,331,885,2837,31.19%,228,639,867
"District Judge, 190th Judicial District",0461,1155,735,1900,3871,49.08%,1346,429,1775
"District Judge, 190th Judicial District",0462,674,619,1293,3384,38.21%,495,738,1233
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0463,480,404,884,3326,26.58%,410,448,858
"District Judge, 190th Judicial District",0464,356,430,786,2257,34.82%,575,189,764
"District Judge, 190th Judicial District",0465,687,520,1207,3564,33.87%,697,472,1169
"District Judge, 190th Judicial District",0466,1058,614,1672,4184,39.96%,1002,618,1620
"District Judge, 190th Judicial District",0467,213,189,402,1270,31.65%,98,295,393
"District Judge, 190th Judicial District",0468,352,443,795,3598,22.10%,258,509,767
"District Judge, 190th Judicial District",0469,1294,547,1841,3985,46.20%,1488,279,1767
"District Judge, 190th Judicial District",0470,185,176,361,1326,27.22%,274,70,344
"District Judge, 190th Judicial District",0471,375,380,755,2387,31.63%,611,127,738
"District Judge, 190th Judicial District",0472,198,278,476,1081,44.03%,223,220,443
"District Judge, 190th Judicial District",0473,599,391,990,1806,54.82%,714,231,945
"District Judge, 190th Judicial District",0474,559,588,1147,3037,37.77%,811,300,1111
"District Judge, 190th Judicial District",0475,189,267,456,1809,25.21%,225,211,436
"District Judge, 190th Judicial District",0476,404,473,877,2430,36.09%,493,349,842
"District Judge, 190th Judicial District",0477,737,567,1304,3505,37.20%,1005,252,1257
"District Judge, 190th Judicial District",0478,958,657,1615,4461,36.20%,1112,433,1545
"District Judge, 190th Judicial District",0479,638,612,1250,2714,46.06%,951,248,1199
"District Judge, 190th Judicial District",0480,493,450,943,2415,39.05%,695,212,907
"District Judge, 190th Judicial District",0481,770,623,1393,3482,40.01%,1081,254,1335
"District Judge, 190th Judicial District",0482,878,630,1508,4373,34.48%,1100,357,1457
"District Judge, 190th Judicial District",0483,1042,478,1520,4308,35.28%,902,558,1460
"District Judge, 190th Judicial District",0484,1107,930,2037,4979,40.91%,1502,475,1977
"District Judge, 190th Judicial District",0485,1095,911,2006,5388,37.23%,1586,373,1959
"District Judge, 190th Judicial District",0486,873,855,1728,3866,44.70%,1379,285,1664
"District Judge, 190th Judicial District",0487,570,294,864,3860,22.38%,315,480,795
"District Judge, 190th Judicial District",0488,268,254,522,1719,30.37%,201,286,487
"District Judge, 190th Judicial District",0489,350,290,640,1893,33.81%,223,387,610
"District Judge, 190th Judicial District",0490,444,368,812,1975,41.11%,310,471,781
"District Judge, 190th Judicial District",0491,314,372,686,1888,36.33%,431,229,660
"District Judge, 190th Judicial District",0492,556,410,966,2335,41.37%,602,317,919
"District Judge, 190th Judicial District",0493,479,322,801,1853,43.23%,552,204,756
"District Judge, 190th Judicial District",0494,381,247,628,2467,25.46%,84,530,614
"District Judge, 190th Judicial District",0495,522,523,1045,2375,44.00%,776,217,993
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0496,190,315,505,2160,23.38%,207,282,489
"District Judge, 190th Judicial District",0497,526,243,769,2257,34.07%,29,720,749
"District Judge, 190th Judicial District",0498,363,323,686,2297,29.87%,317,351,668
"District Judge, 190th Judicial District",0499,750,518,1268,2326,54.51%,966,233,1199
"District Judge, 190th Judicial District",0500,729,715,1444,3507,41.17%,1014,372,1386
"District Judge, 190th Judicial District",0501,341,417,758,1801,42.09%,296,414,710
"District Judge, 190th Judicial District",0502,477,350,827,2501,33.07%,678,122,800
"District Judge, 190th Judicial District",0503,174,116,290,1374,21.11%,110,159,269
"District Judge, 190th Judicial District",0504,624,527,1151,2288,50.31%,776,313,1089
"District Judge, 190th Judicial District",0505,531,562,1193,3773,31.62%,560,561,1121
"District Judge, 190th Judicial District",0506,665,670,1335,3502,38.12%,254,1032,1286
"District Judge, 190th Judicial District",0507,221,149,370,2452,15.09%,76,229,305
"District Judge, 190th Judicial District",0508,492,412,904,3287,27.50%,352,486,838
"District Judge, 190th Judicial District",0509,753,596,1349,3732,36.15%,970,317,1287
"District Judge, 190th Judicial District",0510,687,514,1201,3590,33.45%,625,525,1150
"District Judge, 190th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 190th Judicial District",0512,602,660,1262,5057,24.96%,616,613,1229
"District Judge, 190th Judicial District",0513,1019,487,1506,2894,52.04%,1189,258,1447
"District Judge, 190th Judicial District",0514,953,720,1673,4275,39.13%,1304,313,1617
"District Judge, 190th Judicial District",0515,942,683,1625,3455,47.03%,1339,221,1560
"District Judge, 190th Judicial District",0516,1000,800,1800,5356,33.61%,978,748,1726
"District Judge, 190th Judicial District",0517,481,256,737,2954,24.95%,435,283,718
"District Judge, 190th Judicial District",0518,635,693,1328,3943,33.68%,889,385,1274
"District Judge, 190th Judicial District",0519,623,493,1116,2966,37.63%,847,229,1076
"District Judge, 190th Judicial District",0520,473,457,930,4580,20.31%,174,732,906
"District Judge, 190th Judicial District",0521,471,464,935,2866,32.62%,511,393,904
"District Judge, 190th Judicial District",0522,715,572,1288,2689,47.90%,1001,242,1243
"District Judge, 190th Judicial District",0523,751,415,1166,3052,38.20%,818,300,1118
"District Judge, 190th Judicial District",0524,567,459,1026,3410,30.09%,365,628,993
"District Judge, 190th Judicial District",0525,707,482,1189,3091,38.47%,285,850,1135
"District Judge, 190th Judicial District",0526,58,84,152,780,19.49%,46,97,143
"District Judge, 190th Judicial District",0527,37,40,77,574,13.41%,42,32,74
"District Judge, 190th Judicial District",0528,14,12,26,90,28.89%,2,23,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0529,1043,491,1534,3710,41.35%,1326,150,1476
"District Judge, 190th Judicial District",0530,114,107,221,1196,18.48%,52,158,210
"District Judge, 190th Judicial District",0531,363,174,537,1145,46.90%,425,93,518
"District Judge, 190th Judicial District",0532,205,146,351,1048,33.49%,258,83,341
"District Judge, 190th Judicial District",0533,124,108,232,1119,20.73%,137,84,221
"District Judge, 190th Judicial District",0534,783,524,1,307,3837,34.06%,1020,232,1252
"District Judge, 190th Judicial District",0535,33,29,62,416,14.90%,29,31,60
"District Judge, 190th Judicial District",0536,554,780,1334,5139,25.96%,521,765,1286
"District Judge, 190th Judicial District",0537,855,778,1633,3050,53.54%,1228,339,1567
"District Judge, 190th Judicial District",0538,204,160,364,1303,27.94%,12,342,354
"District Judge, 190th Judicial District",0539,15,241,256,64,400.00%,74,164,238
"District Judge, 190th Judicial District",0540,378,316,694,1567,44.29%,311,335,646
"District Judge, 190th Judicial District",0541,784,505,1289,4599,28.03%,197,1038,1235
"District Judge, 190th Judicial District",0542,360,382,742,2557,29.02%,54,659,713
"District Judge, 190th Judicial District",0543,141,213,354,1565,22.62%,111,224,335
"District Judge, 190th Judicial District",0544,35,41,77,310,24.84%,13,62,75
"District Judge, 190th Judicial District",0545,596,620,1216,3629,33.51%,623,551,1174
"District Judge, 190th Judicial District",0546,2,2,4,37,10.81%,1,2,3
"District Judge, 190th Judicial District",0547,501,466,967,2406,40.19%,687,238,925
"District Judge, 190th Judicial District",0548,286,293,579,2215,26.14%,308,256,564
"District Judge, 190th Judicial District",0549,343,418,761,2663,28.58%,113,631,744
"District Judge, 190th Judicial District",0550,501,431,932,3031,30.75%,539,363,902
"District Judge, 190th Judicial District",0551,1288,1394,2682,7034,38.13%,2061,547,2608
"District Judge, 190th Judicial District",0552,847,883,1730,3415,50.66%,1469,210,1679
"District Judge, 190th Judicial District",0553,578,529,1107,4686,23.62%,513,564,1077
"District Judge, 190th Judicial District",0554,261,199,460,1757,26.18%,106,320,426
"District Judge, 190th Judicial District",0555,225,277,502,2219,22.62%,110,370,480
"District Judge, 190th Judicial District",0556,276,186,462,2319,19.92%,141,305,446
"District Judge, 190th Judicial District",0557,455,183,638,2830,22.54%,272,293,565
"District Judge, 190th Judicial District",0558,693,463,1156,4380,26.39%,425,686,1111
"District Judge, 190th Judicial District",0559,640,494,1134,4969,22.82%,349,740,1089
"District Judge, 190th Judicial District",0560,72,131,203,1120,18.13%,48,143,191
"District Judge, 190th Judicial District",0561,362,436,798,3064,26.04%,501,272,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0562,113,68,181,694,26.08%,21,159,180
"District Judge, 190th Judicial District",0563,1107,376,1483,3105,47.76%,1183,237,1420
"District Judge, 190th Judicial District",0564,470,426,896,3155,28.40%,254,608,862
"District Judge, 190th Judicial District",0565,108,78,186,1354,13.74%,45,129,174
"District Judge, 190th Judicial District",0566,417,324,741,2882,25.71%,235,486,721
"District Judge, 190th Judicial District",0567,301,193,494,2238,22.07%,171,281,452
"District Judge, 190th Judicial District",0568,876,685,1561,3594,43.43%,1045,434,1479
"District Judge, 190th Judicial District",0569,572,667,1239,3525,35.15%,670,501,1171
"District Judge, 190th Judicial District",0570,238,210,448,1562,28.68%,160,253,413
"District Judge, 190th Judicial District",0571,155,149,304,1827,16.64%,118,175,293
"District Judge, 190th Judicial District",0572,555,375,930,3108,29.92%,496,397,893
"District Judge, 190th Judicial District",0573,290,151,441,1619,27.24%,7,427,434
"District Judge, 190th Judicial District",0574,31,42,73,402,18.16%,9,64,73
"District Judge, 190th Judicial District",0575,13,11,24,74,32.43%,19,4,23
"District Judge, 190th Judicial District",0576,485,318,803,2734,29.37%,29,756,785
"District Judge, 190th Judicial District",0577,147,88,235,608,38.65%,145,81,226
"District Judge, 190th Judicial District",0578,409,538,947,1799,52.64%,607,291,898
"District Judge, 190th Judicial District",0579,75,101,176,1056,16.67%,34,135,169
"District Judge, 190th Judicial District",0580,179,118,297,1031,28.81%,4,284,288
"District Judge, 190th Judicial District",0581,212,174,386,1032,37.40%,7,366,373
"District Judge, 190th Judicial District",0582,258,171,429,1588,27.02%,22,393,415
"District Judge, 190th Judicial District",0583,225,131,356,1262,28.21%,13,334,347
"District Judge, 190th Judicial District",0584,182,93,275,1014,27.12%,14,257,271
"District Judge, 190th Judicial District",0585,417,172,589,2511,23.46%,19,564,583
"District Judge, 190th Judicial District",0586,638,680,1318,4316,30.54%,815,453,1268
"District Judge, 190th Judicial District",0587,436,284,720,2598,27.71%,291,410,701
"District Judge, 190th Judicial District",0588,758,674,1432,3645,39.29%,1034,352,1386
"District Judge, 190th Judicial District",0589,500,386,886,3420,25.91%,510,351,861
"District Judge, 190th Judicial District",0590,772,399,1171,2162,54.16%,936,195,1131
"District Judge, 190th Judicial District",0591,183,231,414,2121,19.52%,119,279,398
"District Judge, 190th Judicial District",0592,133,157,290,1350,21.48%,81,197,278
"District Judge, 190th Judicial District",0593,543,564,1107,4380,25.27%,550,509,1059
"District Judge, 190th Judicial District",0594,561,326,887,2490,35.62%,257,602,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0595,201,178,379,1693,22.39%,71,299,370
"District Judge, 190th Judicial District",0596,441,348,789,3007,26.24%,446,317,763
"District Judge, 190th Judicial District",0597,367,394,761,3653,20.83%,330,420,750
"District Judge, 190th Judicial District",0598,195,57,252,728,34.62%,210,38,248
"District Judge, 190th Judicial District",0599,850,578,1428,4950,28.85%,531,858,1389
"District Judge, 190th Judicial District",0600,667,429,1096,3957,27.70%,440,604,1044
"District Judge, 190th Judicial District",0601,1073,756,1829,4057,45.08%,1424,344,1768
"District Judge, 190th Judicial District",0602,293,235,528,1326,39.82%,386,127,513
"District Judge, 190th Judicial District",0603,884,794,1678,4843,34.65%,1089,556,1645
"District Judge, 190th Judicial District",0604,702,518,1220,3005,40.60%,1024,163,1187
"District Judge, 190th Judicial District",0605,907,556,1463,5582,26.21%,366,1060,1426
"District Judge, 190th Judicial District",0606,176,70,246,937,26.25%,3,238,241
"District Judge, 190th Judicial District",0607,52,51,113,728,15.52%,13,95,108
"District Judge, 190th Judicial District",0608,31,47,78,537,14.53%,44,29,73
"District Judge, 190th Judicial District",0609,557,680,1347,3384,39.80%,878,408,1286
"District Judge, 190th Judicial District",0610,231,188,419,1927,21.74%,226,160,386
"District Judge, 190th Judicial District",0611,495,242,737,2488,29.62%,25,697,722
"District Judge, 190th Judicial District",0612,996,497,1493,3307,45.15%,1144,277,1421
"District Judge, 190th Judicial District",0613,186,204,390,1554,25.10%,65,316,381
"District Judge, 190th Judicial District",0614,737,566,1303,4207,30.97%,518,740,1258
"District Judge, 190th Judicial District",0615,480,299,779,1967,39.60%,510,241,751
"District Judge, 190th Judicial District",0616,739,663,1402,3436,40.80%,1009,343,1352
"District Judge, 190th Judicial District",0617,541,393,934,3809,24.52%,391,524,915
"District Judge, 190th Judicial District",0618,946,567,1513,6003,25.20%,777,689,1466
"District Judge, 190th Judicial District",0619,1219,803,2022,4297,47.06%,1528,401,1929
"District Judge, 190th Judicial District",0620,689,264,953,2897,32.90%,617,296,913
"District Judge, 190th Judicial District",0621,154,101,255,1133,22.51%,140,101,241
"District Judge, 190th Judicial District",0622,881,524,1405,4403,31.91,%,890,466,1356
"District Judge, 190th Judicial District",0623,887,487,1374,3691,37.23%,961,358,1319
"District Judge, 190th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 190th Judicial District",0625,477,362,839,1820,46.10%,499,291,790
"District Judge, 190th Judicial District",0626,581,440,1021,2861,35.69%,587,380,967
"District Judge, 190th Judicial District",0627,346,322,668,3049,21.91%,253,387,640
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0628,152,219,371,1675,22.15%,200,160,360
"District Judge, 190th Judicial District",0629,37,53,90,696,12.93%,14,75,89
"District Judge, 190th Judicial District",0630,974,600,1574,3905,40.31%,127,1404,1531
"District Judge, 190th Judicial District",0631,822,404,1226,2846,43.08%,919,265,1184
"District Judge, 190th Judicial District",0632,7,4,11,343,3.21%,4,7,11
"District Judge, 190th Judicial District",0633,943,731,1674,3559,47.04%,1218,398,1616
"District Judge, 190th Judicial District",0634,458,442,900,3029,29.71%,608,263,871
"District Judge, 190th Judicial District",0635,743,485,1228,3393,36.19%,951,247,1198
"District Judge, 190th Judicial District",0636,836,874,1710,4140,41.30%,1490,172,1662
"District Judge, 190th Judicial District",0637,409,362,771,2512,30.69%,185,538,723
"District Judge, 190th Judicial District",0638,304,245,549,2204,24.91%,48,481,529
"District Judge, 190th Judicial District",0639,549,547,1096,2526,43.39%,898,158,1056
"District Judge, 190th Judicial District",0640,641,459,1100,3733,29.47%,703,367,1070
"District Judge, 190th Judicial District",0641,649,596,1245,3650,34.11%,847,354,1201
"District Judge, 190th Judicial District",0642,471,394,865,1764,49.04%,709,119,828
"District Judge, 190th Judicial District",0643,934,653,1587,5945,26.69%,646,893,1539
"District Judge, 190th Judicial District",0644,1019,823,1842,5523,33.35%,1233,533,1766
"District Judge, 190th Judicial District",0645,654,594,1248,4185,29.82%,699,494,1193
"District Judge, 190th Judicial District",0646,364,287,651,2220,29.32%,213,401,614
"District Judge, 190th Judicial District",0647,904,470,1374,6084,22.58%,403,857,1260
"District Judge, 190th Judicial District",0648,838,579,1417,3367,42.08%,1040,333,1373
"District Judge, 190th Judicial District",0649,687,434,1121,4576,24.50%,377,675,1052
"District Judge, 190th Judicial District",0650,906,766,1672,3888,43.00%,1245,363,1608
"District Judge, 190th Judicial District",0651,963,766,1729,5128,33.72%,1136,524,1660
"District Judge, 190th Judicial District",0652,467,515,982,2815,34.88%,180,769,949
"District Judge, 190th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 190th Judicial District",0654,950,1005,1955,6208,31.49%,1079,810,1889
"District Judge, 190th Judicial District",0655,1116,1079,2195,6855,32.02%,1401,721,2122
"District Judge, 190th Judicial District",0656,579,393,972,2674,36.35%,39,906,945
"District Judge, 190th Judicial District",0657,246,172,418,1292,32.35%,171,232,403
"District Judge, 190th Judicial District",0658,540,426,966,2807,34.41%,646,298,944
"District Judge, 190th Judicial District",0659,1149,788,1937,4856,39.89%,1415,469,1884
"District Judge, 190th Judicial District",0660,950,825,1775,5372,33.04%,169,1570,1739
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0661,675,765,1440,4567,31.53%,861,526,1387
"District Judge, 190th Judicial District",0662,1148,890,2038,4874,41.81%,1654,321,1975
"District Judge, 190th Judicial District",0663,717,797,1514,3346,45.25%,784,630,1414
