Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0038,784,589,1373,2875,47.76%,429,849,1278
"District Judge, 184th Judicial District",0039,657,575,1232,2759,44.65%,301,847,1148
"District Judge, 184th Judicial District",0040,136,152,288,541,53.23%,120,143,263
"District Judge, 184th Judicial District",0041,176,230,406,1334,30.43%,167,226,393
"District Judge, 184th Judicial District",0042,228,109,337,1071,31.47%,5,322,327
"District Judge, 184th Judicial District",0043,293,210,503,1695,29.68%,271,209,480
"District Judge, 184th Judicial District",0044,204,222,426,2001,21.29%,94,306,400
"District Judge, 184th Judicial District",0045,894,750,1644,6698,24.54%,330,1264,1594
"District Judge, 184th Judicial District",0046,290,247,537,2511,21.39%,99,405,504
"District Judge, 184th Judicial District",0047,213,218,431,1627,26.49%,18,403,421
"District Judge, 184th Judicial District",0048,157,142,299,940,31.81%,24,269,293
"District Judge, 184th Judicial District",0049,584,482,1066,3343,31.89%,774,258,1032
"District Judge, 184th Judicial District",0050,785,771,1556,5211,29.86%,849,655,1504
"District Judge, 184th Judicial District",0051,353,243,596,1689,35.29%,444,130,574
"District Judge, 184th Judicial District",0052,422,447,869,2457,35.37%,395,420,815
"District Judge, 184th Judicial District",0053,564,726,1290,2971,43.42%,501,699,1200
"District Judge, 184th Judicial District",0054,269,364,633,1487,42.57%,326,269,595
"District Judge, 184th Judicial District",0055,191,251,442,1506,29.35%,193,223,416
"District Judge, 184th Judicial District",0056,282,278,560,1326,42.23%,367,166,533
"District Judge, 184th Judicial District",0057,710,831,1541,3153,48.87%,574,844,1418
"District Judge, 184th Judicial District",0058,469,556,1025,2690,38.10%,436,540,976
"District Judge, 184th Judicial District",0059,555,609,1164,2544,45.75%,457,634,1091
"District Judge, 184th Judicial District",0060,498,564,1062,2453,43.29%,254,730,984
"District Judge, 184th Judicial District",0061,172,204,376,1773,21.21%,157,195,352
"District Judge, 184th Judicial District",0062,145,322,467,2181,21.41%,119,324,443
"District Judge, 184th Judicial District",0063,264,354,618,1826,33.84%,478,119,597
"District Judge, 184th Judicial District",0064,191,221,412,2141,19.24%,86,303,389
"District Judge, 184th Judicial District",0065,172,230,402,2167,18.55%,98,281,379
"District Judge, 184th Judicial District",0066,69,143,212,1098,19.31%,37,161,198
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0067,304,282,586,2794,20.97%,168,378,546
"District Judge, 184th Judicial District",0068,553,352,905,2924,30.95%,23,860,883
"District Judge, 184th Judicial District",0069,80,124,204,1284,15.89%,43,149,192
"District Judge, 184th Judicial District",0070,882,664,1546,3337,46.33%,864,564,1428
"District Judge, 184th Judicial District",0071,602,722,1324,4197,31.55%,648,611,1259
"District Judge, 184th Judicial District",0072,220,293,513,1924,26.66%,165,318,483
"District Judge, 184th Judicial District",0073,252,414,666,1555,42.83%,380,231,611
"District Judge, 184th Judicial District",0074,1153,782,1935,3583,54.01%,1498,363,1861
"District Judge, 184th Judicial District",0075,254,280,534,1444,36.98%,194,306,500
"District Judge, 184th Judicial District",0076,373,374,747,2362,31.63%,447,273,720
"District Judge, 184th Judicial District",0077,43,46,89,566,15.72%,22,65,87
"District Judge, 184th Judicial District",0078,180,201,381,1522,25.03%,134,227,361
"District Judge, 184th Judicial District",0079,205,306,511,2927,17.46%,129,338,467
"District Judge, 184th Judicial District",0080,501,351,852,2725,31.27%,216,597,813
"District Judge, 184th Judicial District",0081,183,187,370,1835,20.16%,147,202,349
"District Judge, 184th Judicial District",0082,639,671,1310,3368,38.90%,987,286,1273
"District Judge, 184th Judicial District",0083,1296,888,2184,6625,32.97%,1074,1038,2112
"District Judge, 184th Judicial District",0084,208,218,426,1373,31.03%,315,96,411
"District Judge, 184th Judicial District",0085,271,248,519,2173,23.88%,28,482,510
"District Judge, 184th Judicial District",0086,447,568,1015,2910,34.88%,452,505,957
"District Judge, 184th Judicial District",0087,574,787,1461,2818,51.85%,887,469,1356
"District Judge, 184th Judicial District",0088,123,118,241,693,34.78%,155,73,228
"District Judge, 184th Judicial District",0089,165,371,536,1094,48.99%,277,214,491
