Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0328,151,140,291,1434,20.29%,126,153,279
"District Judge, 184th Judicial District",0329,189,184,373,1397,26.70%,146,210,356
"District Judge, 184th Judicial District",0330,334,253,587,1936,30.32%,325,233,558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"District Judge, 184th Judicial District",0332,18,7,25,138,18.12%,13,9,22
"District Judge, 184th Judicial District",0333,524,714,1238,3021,40.98%,859,314,1173
"District Judge, 184th Judicial District",0334,83,42,125,742,16.85%,21,100,121
"District Judge, 184th Judicial District",0335,121,98,219,1300,16.85%,81,121,202
"District Judge, 184th Judicial District",0336,866,624,1490,4051,36.78%,134,1316,1450
"District Judge, 184th Judicial District",0337,124,103,227,1029,22.06%,41,176,217
"District Judge, 184th Judicial District",0338,730,391,1121,4934,22.72%,387,661,1048
"District Judge, 184th Judicial District",0339,202,222,424,1757,24.13%,90,308,398
"District Judge, 184th Judicial District",0340,1038,594,1632,3765,43.35%,1226,338,1564
"District Judge, 184th Judicial District",0341,91,167,258,1290,20.00%,81,168,249
"District Judge, 184th Judicial District",0342,875,605,1280,6526,19.61%,210,1039,1249
"District Judge, 184th Judicial District",0343,189,271,460,1964,23.42%,135,301,436
"District Judge, 184th Judicial District",0344,154,172,326,1160,28.10%,14,297,311
"District Judge, 184th Judicial District",0345,156,165,321,1804,17.79%,100,205,305
"District Judge, 184th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 184th Judicial District",0347,592,436,1028,3387,30.35%,691,300,991
"District Judge, 184th Judicial District",0348,438,208,646,1708,37.82%,487,129,616
"District Judge, 184th Judicial District",0349,188,267,455,1349,33.73%,279,156,435
"District Judge, 184th Judicial District",0350,524,526,1050,2909,36.09%,408,560,968
"District Judge, 184th Judicial District",0351,1491,710,2201,4712,46.71%,1727,398,2125
"District Judge, 184th Judicial District",0352,520,339,859,3205,26.80%,626,200,826
"District Judge, 184th Judicial District",0353,665,451,1116,3862,28.90%,203,876,1079
"District Judge, 184th Judicial District",0354,715,338,1053,3388,31.08%,260,761,1021
"District Judge, 184th Judicial District",0355,301,264,565,1560,36.22%,47,502,549
"District Judge, 184th Judicial District",0356,594,538,1132,2972,38.09%,721,358,1079
"District Judge, 184th Judicial District",0357,837,575,1412,3517,40.15%,1023,337,1360
"District Judge, 184th Judicial District",0358,212,254,466,2492,18.70%,55,395,450
"District Judge, 184th Judicial District",0359,234,224,458,3061,14.96%,65,383,448
"District Judge, 184th Judicial District",0360,522,380,902,2146,42.03%,452,374,826
"District Judge, 184th Judicial District",0361,41,295,336,1673,20.08%,56,246,302
"District Judge, 184th Judicial District",0362,1138,887,2025,5086,39.82%,1498,425,1923
"District Judge, 184th Judicial District",0363,820,412,1032,3677,28.07%,474,535,1009
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0364,488,405,893,2658,33.60%,525,327,852
"District Judge, 184th Judicial District",0365,478,231,709,1305,54.33%,50,635,685
"District Judge, 184th Judicial District",0366,252,270,522,2454,21.27%,136,370,506
"District Judge, 184th Judicial District",0367,170,138,308,1130,27.26%,70,233,303
"District Judge, 184th Judicial District",0368,178,88,266,958,27.77%,69,185,254
"District Judge, 184th Judicial District",0369,32,29,61,559,10.91%,18,42,60
"District Judge, 184th Judicial District",0370,1532,1105,2637,6593,40.00%,2004,543,2547
"District Judge, 184th Judicial District",0371,122,52,174,502,34.66%,7,161,168
"District Judge, 184th Judicial District",0372,221,170,391,1224,31.94%,51,327,378
"District Judge, 184th Judicial District",0373,21,12,33,157,21.02%,3,28,31
"District Judge, 184th Judicial District",0374,85,93,158,738,21.41%,62,92,154
"District Judge, 184th Judicial District",0375,254,220,474,2645,17.92%,237,207,444
"District Judge, 184th Judicial District",0376,278,205,483,1910,25.29%,215,246,461
"District Judge, 184th Judicial District",0377,525,583,1109,2920,37.98%,810,245,1055
"District Judge, 184th Judicial District",0378,232,354,586,1829,32.04%,369,196,565
"District Judge, 184th Judicial District",0379,431,289,720,2027,35.52%,72,629,701
"District Judge, 184th Judicial District",0380,1299,995,2294,5666,40.49%,1258,966,2224
"District Judge, 184th Judicial District",0381,412,248,660,2855,23.12%,308,326,634
"District Judge, 184th Judicial District",0382,132,157,289,922,31.34%,214,66,280
"District Judge, 184th Judicial District",0383,289,263,552,2173,25.40%,225,308,533
"District Judge, 184th Judicial District",0384,573,373,946,2657,35.60%,192,715,907
"District Judge, 184th Judicial District",0385,583,670,1253,2207,56.77%,925,257,1182
"District Judge, 184th Judicial District",0386,662,469,1131,2922,38.71%,822,266,1088
"District Judge, 184th Judicial District",0387,555,672,1227,3935,31.18%,867,319,1186
"District Judge, 184th Judicial District",0388,1430,1010,2440,6888,35.42%,1424,947,2371
"District Judge, 184th Judicial District",0389,91,208,299,1026,29.14%,45,232,277
"District Judge, 184th Judicial District",0390,356,263,619,1480,41.82%,79,516,595
"District Judge, 184th Judicial District",0391,508,260,768,1883,40.79%,484,251,735
"District Judge, 184th Judicial District",0392,387,155,542,1446,37.48%,8,527,535
"District Judge, 184th Judicial District",0393,165,185,350,1292,27.09%,164,178,342
"District Judge, 184th Judicial District",0394,89,73,142,834,17.03%,71,64,135
"District Judge, 184th Judicial District",0395,469,404,873,1846,47.29%,625,202,827
"District Judge, 184th Judicial District",0396,622,216,838,2082,40.25%,18,802,820
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0397,86,78,164,760,21,58%,80,79,159
"District Judge, 184th Judicial District",0398,615,521,1136,4022,28.24%,612,496,1108
"District Judge, 184th Judicial District",0399,402,366,768,2791,27.52%,421,321,742
"District Judge, 184th Judicial District",0400,520,359,979,2411,40.61%,713,220,933
"District Judge, 184th Judicial District",0401,330,205,535,1913,27.97%,24,498,522
"District Judge, 184th Judicial District",0402,466,266,732,1794,40.80%,40,674,714
"District Judge, 184th Judicial District",0403,475,498,973,1715,56.73%,525,364,889
"District Judge, 184th Judicial District",0404,419,330,749,2585,28.97%,434,284,718
"District Judge, 184th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 184th Judicial District",0406,137,67,204,628,32.48%,4,197,201
"District Judge, 184th Judicial District",0407,688,793,1481,3769,39.29%,976,419,1395
"District Judge, 184th Judicial District",0408,146,153,299,1691,17.68%,139,144,283
"District Judge, 184th Judicial District",0409,122,149,271,1459,18.57%,113,151,264
"District Judge, 184th Judicial District",0410,132,80,212,899,23.58%,42,160,202
"District Judge, 184th Judicial District",0411,235,200,435,2339,18.60%,157,257,414
"District Judge, 184th Judicial District",0412,74,44,118,468,25.21%,7,107,114
"District Judge, 184th Judicial District",0413,767,386,1153,2992,38.54%,461,642,1103
"District Judge, 184th Judicial District",0414,654,480,1134,3453,32.84%,876,212,1088
"District Judge, 184th Judicial District",0415,539,598,1137,2203,51.61%,754,335,1089
"District Judge, 184th Judicial District",0416,538,558,1096,3791,28.91%,619,435,1054
"District Judge, 184th Judicial District",041,7,353,385,738,2448,30.15%,374,330,704
"District Judge, 184th Judicial District",0418,403,469,872,3584,24.33%,366,466,832
"District Judge, 184th Judicial District",0419,571,324,895,2658,33.67%,601,254,855
"District Judge, 184th Judicial District",0420,1036,874,1910,4762,40.11%,1562,280,1842
"District Judge, 184th Judicial District",0421,35,37,73,410,17.80%,23,43,66
"District Judge, 184th Judicial District",0422,731,402,1133,3345,33.87%,28,1082,1110
"District Judge, 184th Judicial District",0423,108,120,228,1376,16.57%,76,142,218
"District Judge, 184th Judicial District",0424,240,111,351,967,36.30%,205,128,333
"District Judge, 184th Judicial District",0425,107,123,230,883,26.05%,89,133,222
"District Judge, 184th Judicial District",0426,260,183,443,1218,36.37%,262,159,421
"District Judge, 184th Judicial District",0427,179,134,313,1092,28.66%,131,156,287
"District Judge, 184th Judicial District",0428,619,421,1040,4538,22.92%,341,618,959
"District Judge, 184th Judicial District",0429,445,314,759,3197,23.74%,218,499,717
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0430,181,133,294,1857,17.74%,88,188,274
"District Judge, 184th Judicial District",0431,327,84,411,3417,12.03%,150,240,390
"District Judge, 184th Judicial District",0432,123,157,280,1455,19.24%,108,181,289
"District Judge, 184th Judicial District",0433,50,83,113,581,19.45%,28,83,109
"District Judge, 184th Judicial District",0434,370,289,859,1503,43.85%,412,212,824
"District Judge, 184th Judicial District",0435,855,838,1491,3252,45.85%,937,470,1407
"District Judge, 184th Judicial District",0438,829,531,1180,2933,39.55%,719,375,1094
"District Judge, 184th Judicial District",0437,521,512,1033,2033,50.81%,709,258,985
"District Judge, 184th Judicial District",0438,517,389,1008,1881,54.08%,735,212,947
"District Judge, 184th Judicial District",0439,710,884,1594,3554,44.85%,1102,392,1494
"District Judge, 184th Judicial District",0440,884,858,1522,2930,51.95%,1184,248,1432
"District Judge, 184th Judicial District",0441,345,420,785,1889,45.84%,582,181,723
"District Judge, 184th Judicial District",0442,812,574,1188,2575,48.08%,988,173,1141
"District Judge, 184th Judicial District",0443,228,138,384,848,58.35%,250,93,343
"District Judge, 184th Judicial District",0444,587,583,1270,3282,38.93%,795,403,1198
"District Judge, 184th Judicial District",0445,499,348,847,2028,41.81%,555,258,813
"District Judge, 184th Judicial District",0448,31,22,53,291,18.21%,25,24,49
"District Judge, 184th Judicial District",0447,93,88,179,837,28.10%,55,114,189
"District Judge, 184th Judicial District",0448,590,778,1388,3138,43.59%,750,527,1277
"District Judge, 184th Judicial District",0449,12,23,35,198,17.88%,3,32,35
"District Judge, 184th Judicial District",0450,435,328,783,2835,28.98%,234,500,734
"District Judge, 184th Judicial District",0451,1002,510,1512,2887,58.27%,1228,219,1445
"District Judge, 184th Judicial District",0452,554,444,998,3048,32.74%,740,228,988
"District Judge, 184th Judicial District",0453,231,282,493,1937,25.45%,202,270,472
"District Judge, 184th Judicial District",0454,594,248,842,2581,32.88%,12,811,823
"District Judge, 184th Judicial District",0455,387,185,532,1889,31.50%,24,503,527
"District Judge, 184th Judicial District",0458,482,382,844,3513,24.03%,488,328,814
"District Judge, 184th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 184th Judicial District",0458,471,237,708,1924,38.80%,33,849,882
"District Judge, 184th Judicial District",0459,951,474,1425,3021,47.17%,1127,255,1382
"District Judge, 184th Judicial District",0480,554,331,885,2837,31.19%,239,825,884
"District Judge, 184th Judicial District",0481,1155,735,1900,3871,49.08%,1278,502,1778
"District Judge, 184th Judicial District",0482,874,819,1293,3384,38.21%,474,758,1230
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0463,480,404,884,3326,26.58%,404,450,854
"District Judge, 184th Judicial District",0464,356,430,786,2257,34.82%,560,203,763
"District Judge, 184th Judicial District",0465,687,520,1207,3564,33.87%,675,492,1167
"District Judge, 184th Judicial District",0466,1058,614,1672,4184,39.96%,981,641,1622
"District Judge, 184th Judicial District",0467,213,189,402,1270,31.65%,99,294,393
"District Judge, 184th Judicial District",0468,352,443,795,3598,22.10%,259,507,766
"District Judge, 184th Judicial District",0469,1294,547,1841,3985,46.20%,1444,319,1763
"District Judge, 184th Judicial District",0470,185,176,361,1326,27.22%,265,75,340
"District Judge, 184th Judicial District",0471,375,380,755,2387,31.63%,604,134,738
"District Judge, 184th Judicial District",0472,198,278,476,1081,44.03%,180,258,438
"District Judge, 184th Judicial District",0473,599,391,990,1806,54.82%,679,263,942
"District Judge, 184th Judicial District",0474,559,588,1147,3037,37.77%,797,313,1110
"District Judge, 184th Judicial District",0475,189,267,456,1809,25.21%,222,216,438
"District Judge, 184th Judicial District",0476,404,473,877,2430,36.09%,494,347,841
"District Judge, 184th Judicial District",0477,737,567,1304,3505,37.20%,991,265,1256
"District Judge, 184th Judicial District",0478,958,657,1615,4461,36.20%,1085,458,1543
"District Judge, 184th Judicial District",0479,638,612,1250,2714,46.06%,922,273,1195
"District Judge, 184th Judicial District",0480,493,450,943,2415,39.05%,677,232,909
"District Judge, 184th Judicial District",0481,770,623,1393,3482,40.01%,1068,268,1336
"District Judge, 184th Judicial District",0482,878,630,1508,4373,34.48%,1084,372,1456
"District Judge, 184th Judicial District",0483,1042,478,1520,4308,35.28%,890,568,1458
"District Judge, 184th Judicial District",0484,1107,930,2037,4979,40.91%,1463,511,1974
"District Judge, 184th Judicial District",0485,1095,911,2006,5388,37.23%,1555,400,1955
"District Judge, 184th Judicial District",0486,873,855,1728,3866,44.70%,1346,315,1661
"District Judge, 184th Judicial District",0487,570,294,864,3860,22.38%,315,483,798
"District Judge, 184th Judicial District",0488,268,254,522,1719,30.37%,203,279,482
"District Judge, 184th Judicial District",0489,350,290,640,1893,33.81%,211,399,610
"District Judge, 184th Judicial District",0490,444,368,812,1975,41.11%,291,486,777
"District Judge, 184th Judicial District",0491,314,372,686,1888,36.33%,409,246,655
"District Judge, 184th Judicial District",0492,556,410,966,2335,41.37%,584,336,920
"District Judge, 184th Judicial District",0493,479,322,801,1853,43.23%,535,215,750
"District Judge, 184th Judicial District",0494,381,247,628,2467,25.46%,83,530,613
"District Judge, 184th Judicial District",0495,522,523,1045,2375,44.00%,762,231,993
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0496,190,315,505,2160,23.38%,209,279,488
"District Judge, 184th Judicial District",0497,526,243,769,2257,34.07%,27,724,751
"District Judge, 184th Judicial District",0498,363,323,686,2297,29.87%,316,352,668
"District Judge, 184th Judicial District",0499,750,518,1268,2326,54.51%,909,289,1198
"District Judge, 184th Judicial District",0500,729,715,1444,3507,41.17%,996,394,1390
"District Judge, 184th Judicial District",0501,341,417,758,1801,42.09%,270,434,704
"District Judge, 184th Judicial District",0502,477,350,827,2501,33.07%,670,130,800
"District Judge, 184th Judicial District",0503,174,116,290,1374,21.11%,115,155,270
"District Judge, 184th Judicial District",0504,624,527,1151,2288,50.31%,720,358,1078
"District Judge, 184th Judicial District",0505,531,562,1193,3773,31.62%,545,579,1124
"District Judge, 184th Judicial District",0506,665,670,1335,3502,38.12%,247,1039,1286
"District Judge, 184th Judicial District",0507,221,149,370,2452,15.09%,76,226,302
"District Judge, 184th Judicial District",0508,492,412,904,3287,27.50%,350,488,838
"District Judge, 184th Judicial District",0509,753,596,1349,3732,36.15%,948,342,1290
"District Judge, 184th Judicial District",0510,687,514,1201,3590,33.45%,598,553,1151
"District Judge, 184th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 184th Judicial District",0512,602,660,1262,5057,24.96%,612,619,1231
"District Judge, 184th Judicial District",0513,1019,487,1506,2894,52.04%,1143,299,1442
"District Judge, 184th Judicial District",0514,953,720,1673,4275,39.13%,1274,340,1614
"District Judge, 184th Judicial District",0515,942,683,1625,3455,47.03%,1308,253,1561
"District Judge, 184th Judicial District",0516,1000,800,1800,5356,33.61%,958,764,1722
"District Judge, 184th Judicial District",0517,481,256,737,2954,24.95%,427,283,710
"District Judge, 184th Judicial District",0518,635,693,1328,3943,33.68%,877,400,1277
"District Judge, 184th Judicial District",0519,623,493,1116,2966,37.63%,830,248,1078
"District Judge, 184th Judicial District",0520,473,457,930,4580,20.31%,169,738,907
"District Judge, 184th Judicial District",0521,471,464,935,2866,32.62%,511,392,903
"District Judge, 184th Judicial District",0522,715,572,1288,2689,47.90%,992,251,1243
"District Judge, 184th Judicial District",0523,751,415,1166,3052,38.20%,787,327,1114
"District Judge, 184th Judicial District",0524,567,459,1026,3410,30.09%,352,637,989
"District Judge, 184th Judicial District",0525,707,482,1189,3091,38.47%,269,863,1132
"District Judge, 184th Judicial District",0526,58,84,152,780,19.49%,43,99,142
"District Judge, 184th Judicial District",0527,37,40,77,574,13.41%,40,35,75
"District Judge, 184th Judicial District",0528,14,12,26,90,28.89%,3,22,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0529,1043,491,1534,3710,41.35%,1320,153,1473
"District Judge, 184th Judicial District",0530,114,107,221,1196,18.48%,58,147,205
"District Judge, 184th Judicial District",0531,363,174,537,1145,46.90%,416,99,515
"District Judge, 184th Judicial District",0532,205,146,351,1048,33.49%,254,86,340
"District Judge, 184th Judicial District",0533,124,108,232,1119,20.73%,136,84,220
"District Judge, 184th Judicial District",0534,783,524,1,307,3837,34.06%,991,264,1255
"District Judge, 184th Judicial District",0535,33,29,62,416,14.90%,29,31,60
"District Judge, 184th Judicial District",0536,554,780,1334,5139,25.96%,529,759,1288
"District Judge, 184th Judicial District",0537,855,778,1633,3050,53.54%,1192,369,1561
"District Judge, 184th Judicial District",0538,204,160,364,1303,27.94%,7,345,352
"District Judge, 184th Judicial District",0539,15,241,256,64,400.00%,78,158,236
"District Judge, 184th Judicial District",0540,378,316,694,1567,44.29%,259,378,637
"District Judge, 184th Judicial District",0541,784,505,1289,4599,28.03%,194,1041,1235
"District Judge, 184th Judicial District",0542,360,382,742,2557,29.02%,47,664,711
"District Judge, 184th Judicial District",0543,141,213,354,1565,22.62%,125,207,332
"District Judge, 184th Judicial District",0544,35,41,77,310,24.84%,12,63,75
"District Judge, 184th Judicial District",0545,596,620,1216,3629,33.51%,624,545,1169
"District Judge, 184th Judicial District",0546,2,2,4,37,10.81%,3,0,3
"District Judge, 184th Judicial District",0547,501,466,967,2406,40.19%,686,240,926
"District Judge, 184th Judicial District",0548,286,293,579,2215,26.14%,308,258,566
"District Judge, 184th Judicial District",0549,343,418,761,2663,28.58%,113,629,742
"District Judge, 184th Judicial District",0550,501,431,932,3031,30.75%,533,364,897
"District Judge, 184th Judicial District",0551,1288,1394,2682,7034,38.13%,2026,580,2606
"District Judge, 184th Judicial District",0552,847,883,1730,3415,50.66%,1433,247,1680
"District Judge, 184th Judicial District",0553,578,529,1107,4686,23.62%,507,569,1076
"District Judge, 184th Judicial District",0554,261,199,460,1757,26.18%,98,330,428
"District Judge, 184th Judicial District",0555,225,277,502,2219,22.62%,105,378,483
"District Judge, 184th Judicial District",0556,276,186,462,2319,19.92%,137,306,443
"District Judge, 184th Judicial District",0557,455,183,638,2830,22.54%,268,292,560
"District Judge, 184th Judicial District",0558,693,463,1156,4380,26.39%,414,695,1109
"District Judge, 184th Judicial District",0559,640,494,1134,4969,22.82%,342,748,1090
"District Judge, 184th Judicial District",0560,72,131,203,1120,18.13%,55,134,189
"District Judge, 184th Judicial District",0561,362,436,798,3064,26.04%,487,286,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0562,113,68,181,694,26.08%,27,151,178
"District Judge, 184th Judicial District",0563,1107,376,1483,3105,47.76%,1141,274,1415
"District Judge, 184th Judicial District",0564,470,426,896,3155,28.40%,238,617,855
"District Judge, 184th Judicial District",0565,108,78,186,1354,13.74%,44,128,172
"District Judge, 184th Judicial District",0566,417,324,741,2882,25.71%,238,480,718
"District Judge, 184th Judicial District",0567,301,193,494,2238,22.07%,154,295,449
"District Judge, 184th Judicial District",0568,876,685,1561,3594,43.43%,1014,460,1474
"District Judge, 184th Judicial District",0569,572,667,1239,3525,35.15%,651,517,1168
"District Judge, 184th Judicial District",0570,238,210,448,1562,28.68%,153,259,412
"District Judge, 184th Judicial District",0571,155,149,304,1827,16.64%,121,173,294
"District Judge, 184th Judicial District",0572,555,375,930,3108,29.92%,480,406,886
"District Judge, 184th Judicial District",0573,290,151,441,1619,27.24%,5,428,433
"District Judge, 184th Judicial District",0574,31,42,73,402,18.16%,9,63,72
"District Judge, 184th Judicial District",0575,13,11,24,74,32.43%,17,6,23
"District Judge, 184th Judicial District",0576,485,318,803,2734,29.37%,23,762,785
"District Judge, 184th Judicial District",0577,147,88,235,608,38.65%,136,88,224
"District Judge, 184th Judicial District",0578,409,538,947,1799,52.64%,578,326,904
"District Judge, 184th Judicial District",0579,75,101,176,1056,16.67%,36,131,167
"District Judge, 184th Judicial District",0580,179,118,297,1031,28.81%,5,285,290
"District Judge, 184th Judicial District",0581,212,174,386,1032,37.40%,8,368,376
"District Judge, 184th Judicial District",0582,258,171,429,1588,27.02%,21,395,416
"District Judge, 184th Judicial District",0583,225,131,356,1262,28.21%,14,332,346
"District Judge, 184th Judicial District",0584,182,93,275,1014,27.12%,11,259,270
"District Judge, 184th Judicial District",0585,417,172,589,2511,23.46%,19,562,581
"District Judge, 184th Judicial District",0586,638,680,1318,4316,30.54%,808,465,1273
"District Judge, 184th Judicial District",0587,436,284,720,2598,27.71%,291,407,698
"District Judge, 184th Judicial District",0588,758,674,1432,3645,39.29%,1029,359,1388
"District Judge, 184th Judicial District",0589,500,386,886,3420,25.91%,503,360,863
"District Judge, 184th Judicial District",0590,772,399,1171,2162,54.16%,895,239,1134
"District Judge, 184th Judicial District",0591,183,231,414,2121,19.52%,127,269,396
"District Judge, 184th Judicial District",0592,133,157,290,1350,21.48%,73,204,277
"District Judge, 184th Judicial District",0593,543,564,1107,4380,25.27%,552,504,1056
"District Judge, 184th Judicial District",0594,561,326,887,2490,35.62%,244,610,854
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0595,201,178,379,1693,22.39%,72,300,372
"District Judge, 184th Judicial District",0596,441,348,789,3007,26.24%,441,322,763
"District Judge, 184th Judicial District",0597,367,394,761,3653,20.83%,329,421,750
"District Judge, 184th Judicial District",0598,195,57,252,728,34.62%,205,42,247
"District Judge, 184th Judicial District",0599,850,578,1428,4950,28.85%,514,866,1380
"District Judge, 184th Judicial District",0600,667,429,1096,3957,27.70%,451,596,1047
"District Judge, 184th Judicial District",0601,1073,756,1829,4057,45.08%,1382,385,1767
"District Judge, 184th Judicial District",0602,293,235,528,1326,39.82%,383,130,513
"District Judge, 184th Judicial District",0603,884,794,1678,4843,34.65%,1084,558,1642
"District Judge, 184th Judicial District",0604,702,518,1220,3005,40.60%,1018,164,1182
"District Judge, 184th Judicial District",0605,907,556,1463,5582,26.21%,372,1052,1424
"District Judge, 184th Judicial District",0606,176,70,246,937,26.25%,3,236,239
"District Judge, 184th Judicial District",0607,62,51,113,728,15.52%,13,94,107
"District Judge, 184th Judicial District",0608,31,47,78,537,14.53%,44,28,72
"District Judge, 184th Judicial District",0609,557,680,1347,3384,39.80%,850,435,1285
"District Judge, 184th Judicial District",0610,231,188,419,1927,21.74%,214,172,386
"District Judge, 184th Judicial District",0611,495,242,737,2488,29.62%,22,699,721
"District Judge, 184th Judicial District",0612,996,497,1493,3307,45.15%,1121,297,1418
"District Judge, 184th Judicial District",0613,186,204,390,1554,25.10%,64,315,379
"District Judge, 184th Judicial District",0614,737,566,1303,4207,30.97%,508,744,1252
"District Judge, 184th Judicial District",0615,480,299,779,1967,39.60%,496,262,758
"District Judge, 184th Judicial District",0616,739,663,1402,3436,40.80%,987,362,1349
"District Judge, 184th Judicial District",0617,541,393,934,3809,24.52%,392,523,915
"District Judge, 184th Judicial District",0618,946,567,1513,6003,25.20%,770,697,1467
"District Judge, 184th Judicial District",0619,1219,803,2022,4297,47.06%,1500,432,1932
"District Judge, 184th Judicial District",0620,689,264,953,2897,32.90%,597,315,912
"District Judge, 184th Judicial District",0621,154,101,255,1133,22.51%,131,110,241
"District Judge, 184th Judicial District",0622,881,524,1405,4403,31.91%,876,480,1356
"District Judge, 184th Judicial District",0623,887,487,1374,3691,37.23%,934,384,1318
"District Judge, 184th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 184th Judicial District",0625,477,362,839,1820,46.10%,483,314,797
"District Judge, 184th Judicial District",0626,581,440,1021,2861,35.69%,568,396,964
"District Judge, 184th Judicial District",0627,346,322,668,3049,21.91%,247,389,636
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0628,152,219,371,1675,22.15%,195,164,359
"District Judge, 184th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"District Judge, 184th Judicial District",0630,974,600,1574,3905,40.31%,116,1411,1527
"District Judge, 184th Judicial District",0631,822,404,1226,2846,43.08%,903,279,1182
"District Judge, 184th Judicial District",0632,7,4,11,343,3.21%,4,7,11
"District Judge, 184th Judicial District",0633,943,731,1674,3559,47.04%,1194,422,1616
"District Judge, 184th Judicial District",0634,458,442,900,3029,29.71%,602,270,872
"District Judge, 184th Judicial District",0635,743,485,1228,3393,36.19%,934,260,1194
"District Judge, 184th Judicial District",0636,835,874,1710,4140,41.30%,1483,180,1663
"District Judge, 184th Judicial District",0637,409,362,771,2512,30.69%,193,525,718
"District Judge, 184th Judicial District",0638,304,245,549,2204,24.91%,45,486,531
"District Judge, 184th Judicial District",0639,549,547,1096,2526,43.39%,880,174,1054
"District Judge, 184th Judicial District",0640,641,459,1100,3733,29.47%,699,370,1069
"District Judge, 184th Judicial District",0641,649,596,1245,3650,34.11%,835,366,1201
"District Judge, 184th Judicial District",0642,471,394,865,1764,49.04%,699,132,831
"District Judge, 184th Judicial District",0643,934,653,1587,5945,26.69%,634,902,1536
"District Judge, 184th Judicial District",0644,1019,823,1842,5523,33.35%,1227,537,1764
"District Judge, 184th Judicial District",0645,654,594,1248,4185,29.82%,679,518,1197
"District Judge, 184th Judicial District",0646,364,287,651,2220,29.32%,211,401,612
"District Judge, 184th Judicial District",0647,904,470,1374,6084,22.58%,399,863,1262
"District Judge, 184th Judicial District",0648,838,579,1417,3367,42.08%,1028,340,1368
"District Judge, 184th Judicial District",0649,687,434,1121,4576,24.50%,380,675,1055
"District Judge, 184th Judicial District",0650,906,766,1672,3888,43.00%,1207,394,1601
"District Judge, 184th Judicial District",0651,963,766,1729,5128,33.72%,1123,535,1658
"District Judge, 184th Judicial District",0652,467,515,982,2815,34.88%,173,768,941
"District Judge, 184th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 184th Judicial District",0654,950,1005,1955,6208,31.49%,1106,789,1895
"District Judge, 184th Judicial District",0655,1115,1079,2195,6855,32.02%,1380,738,2118
"District Judge, 184th Judicial District",0656,579,393,972,2674,36.35%,40,907,947
"District Judge, 184th Judicial District",0657,246,172,418,1292,32.35%,172,230,402
"District Judge, 184th Judicial District",0658,540,426,966,2807,34.41%,634,311,945
"District Judge, 184th Judicial District",0659,1149,788,1937,4856,39.89%,1393,491,1884
"District Judge, 184th Judicial District",0660,950,825,1775,5372,33.04%,175,1561,1736
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0661,675,765,1440,4567,31.53%,842,543,1385
"District Judge, 184th Judicial District",0662,1148,890,2038,4874,41.81%,1640,330,1970
"District Judge, 184th Judicial District",0663,717,797,1514,3346,45.25%,759,653,1412
