"City of Seabrook, Proposition 4",0090,337,302,639,1567,40.78%,299,250,549
"City of Seabrook, Proposition 4",0333,524,714,1238,3021,40.98%,625,434,1059
"City of Seabrook, Proposition 4",0692,444,548,992,2847,34.84%,502,339,841
