Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0310,386,279,665,1435,46.34%,466,159,13,11,649
Commissioner of the General Land Office,0311,486,421,907,2986,30.38%,503,333,11,22,869
Commissioner of the General Land Office,0312,742,457,1199,3636,32.98%,801,343,28,10,1182
Commissioner of the General Land Office,0313,9,0,9,62,14.52%,7,2,0,0,9
Commissioner of the General Land Office,0314,1121,913,2034,5647,36.02%,1286,660,43,16,2005
Commissioner of the General Land Office,0315,478,388,866,1608,53.86%,516,287,20,19,842
Commissioner of the General Land Office,0316,412,341,753,1537,48.99%,432,270,14,15,731
Commissioner of the General Land Office,0317,250,209,459,1588,28.90%,156,281,7,7,451
Commissioner of the General Land Office,0318,834,568,1402,3660,38.31%,78,1279,7,11,1375
Commissioner of the General Land Office,0319,512,230,742,2158,34.38%,46,668,2,11,727
Commissioner of the General Land Office,0320,234,168,402,1537,26.15%,202,179,4,3,388
Commissioner of the General Land Office,0321,262,191,453,2346,19.31%,170,256,4,12,442
Commissioner of the General Land Office,0322,182,129,311,1226,25.37%,97,195,8,5,305
Commissioner of the General Land Office,0323,278,211,489,1722,28.40%,233,224,8,7,472
Commissioner of the General Land Office,0324,532,545,1178,2336,50.43%,768,348,25,9,1150
Commissioner of the General Land Office,0325,289,193,482,2112,22.82%,104,349,11,7,471
Commissioner of the General Land Office,0326,87,74,161,698,23.07%,76,72,5,2,155
Commissioner of the General Land Office,0327,380,129,509,1729,29.44%,11,486,1,6,504
Commissioner of the General Land Office,0328,151,140,291,1434,20.29%,131,140,6,4,281
Commissioner of the General Land Office,0329,191,184,375,1397,26.84%,151,200,10,7,368
Commissioner of the General Land Office,0330,334,253,587,1936,30.32%,339,203,15,10,567
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0331,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0332,18,7,25,138,18.12%,13,10,0,0,23
Commissioner of the General Land Office,0333,524,714,1238,3021,40.98%,879,285,39,13,1216
Commissioner of the General Land Office,0334,83,42,125,742,16.85%,21,97,2,1,121
Commissioner of the General Land Office,0335,121,98,219,1300,16.85%,87,115,8,4,214
Commissioner of the General Land Office,0336,870,624,1494,4051,36.88%,140,1296,21,14,1471
Commissioner of the General Land Office,0337,124,103,227,1029,22.06%,42,171,1,3,217
Commissioner of the General Land Office,0338,731,391,1122,4934,22.74%,382,649,19,18,1068
Commissioner of the General Land Office,0339,202,222,424,1757,24.13%,105,283,8,11,407
Commissioner of the General Land Office,0340,1038,594,1632,3765,43.35%,1241,301,49,20,1611
Commissioner of the General Land Office,0341,91,167,258,1290,20.00%,83,157,4,8,252
Commissioner of the General Land Office,0342,675,605,1280,6526,19.61%,206,1025,16,17,1264
Commissioner of the General Land Office,0343,189,271,460,1964,23.42%,139,282,9,9,439
Commissioner of the General Land Office,0344,154,172,326,1160,28.10%,16,297,2,1,316
Commissioner of the General Land Office,0345,156,165,321,1804,17.79%,96,199,7,7,309
Commissioner of the General Land Office,0346,0,1,1,3,33.33%,1,0,0,0,1
Commissioner of the General Land Office,0347,592,436,1028,3387,30.35%,691,285,24,11,1011
Commissioner of the General Land Office,0348,438,208,646,1708,37.82%,510,109,13,9,641
Commissioner of the General Land Office,0349,188,267,455,1349,33.73%,281,138,17,14,450
Commissioner of the General Land Office,0350,525,526,1051,2909,36.13%,459,519,21,18,1017
Commissioner of the General Land Office,0351,1491,710,2201,4712,46.71%,1771,353,37,15,2176
Commissioner of the General Land Office,0352,520,339,859,3205,26.80%,622,194,24,6,846
Commissioner of the General Land Office,0353,665,451,1116,3862,28.90%,218,863,6,11,1098
Commissioner of the General Land Office,0354,715,338,1053,3388,31.08%,274,737,13,7,1031
Commissioner of the General Land Office,0355,301,264,565,1560,36.22%,54,496,3,2,555
Commissioner of the General Land Office,0356,594,538,1132,2972,38.09%,769,313,19,7,1108
Commissioner of the General Land Office,0357,837,575,1412,3517,40.15%,1019,322,32,13,1386
Commissioner of the General Land Office,0358,213,254,467,2492,18.74%,48,402,5,3,458
Commissioner of the General Land Office,0359,235,224,459,3061,15.00%,61,381,3,4,449
Commissioner of the General Land Office,0360,524,380,904,2146,42.12%,503,333,24,12,872
Commissioner of the General Land Office,0361,41,295,336,1673,20.08%,77,221,9,14,321
Commissioner of the General Land Office,0362,1138,887,2025,5086,39.82%,1498,419,43,22,1982
Commissioner of the General Land Office,0363,620,412,1032,3677,28.07%,465,525,15,14,1019
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0364,489,405,894,2658,33.63%,526,324,23,7,880
Commissioner of the General Land Office,0365,478,231,709,1305,54.33%,62,626,3,7,698
Commissioner of the General Land Office,0366,252,270,522,2454,21.27%,142,359,8,4,513
Commissioner of the General Land Office,0367,170,138,308,1130,27.26%,64,227,11,3,305
Commissioner of the General Land Office,0368,178,88,266,958,27.77%,79,177,2,4,262
Commissioner of the General Land Office,0369,32,29,61,559,10.91%,20,39,0,1,60
Commissioner of the General Land Office,0370,1532,1105,2637,6593,40.00%,1998,525,44,23,2590
Commissioner of the General Land Office,0371,122,52,174,502,34.66%,6,162,2,1,171
Commissioner of the General Land Office,0372,221,170,391,1224,31.94%,52,322,2,7,383
Commissioner of the General Land Office,0373,21,12,33,157,21.02%,2,28,0,1,31
Commissioner of the General Land Office,0374,85,93,158,738,21.41,%,61,88,4,3,156
Commissioner of the General Land Office,0375,254,220,474,2645,17.92%,251,198,8,6,463
Commissioner of the General Land Office,0376,278,205,483,1910,25.29%,220,240,5,4,469
Commissioner of the General Land Office,0377,526,583,1109,2920,37.98%,836,224,27,6,1093
Commissioner of the General Land Office,0378,232,354,586,1829,32.04%,365,185,25,3,578
Commissioner of the General Land Office,0379,432,289,721,2027,35.57%,83,620,3,7,713
Commissioner of the General Land Office,0380,1303,995,2298,5666,40.56%,1242,940,58,27,2267
Commissioner of the General Land Office,0381,412,248,660,2855,23.12%,317,309,9,5,640
Commissioner of the General Land Office,0382,132,157,289,922,31.34%,212,64,9,1,286
Commissioner of the General Land Office,0383,289,263,552,2173,25.40%,228,298,10,6,542
Commissioner of the General Land Office,0384,573,373,946,2657,35.60%,203,711,5,10,929
Commissioner of the General Land Office,0385,583,670,1253,2207,56.77%,1009,197,18,7,1231
Commissioner of the General Land Office,0386,662,469,1131,2922,38.71%,845,253,13,4,1115
Commissioner of the General Land Office,0387,555,672,1227,3935,31.18%,891,288,25,6,1210
Commissioner of the General Land Office,0388,1432,1010,2442,6888,35.45%,1383,937,64,26,2410
Commissioner of the General Land Office,0389,91,208,299,1026,29.14%,45,219,11,10,285
Commissioner of the General Land Office,0390,355,283,819,1480,41.82%,76,514,11,5,606
Commissioner of the General Land Office,0391,508,260,768,1883,40.79%,500,232,11,15,758
Commissioner of the General Land Office,0392,387,155,542,1446,37.48%,9,518,2,7,536
Commissioner of the General Land Office,0393,165,185,350,1292,27.09%,161,169,9,7,346
Commissioner of the General Land Office,0394,89,73,142,834,17.03%,70,60,5,4,139
Commissioner of the General Land Office,0395,470,404,874,1846,47.35%,643,178,24,13,858
Commissioner of the General Land Office,0396,623,216,839,2082,40.30%,22,800,6,3,831
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0397,86,78,164,760,21.58%,83,74,1,2,160
Commissioner of the General Land Office,0398,615,521,1136,4022,28.24%,620,469,24,9,1122
Commissioner of the General Land Office,0399,404,366,770,2791,27.59%,429,308,13,8,758
Commissioner of the General Land Office,0400,620,359,979,2411,40.61%,726,202,23,6,957
Commissioner of the General Land Office,0401,330,205,535,1913,27.97%,20,495,3,9,527
Commissioner of the General Land Office,0402,466,266,732,1794,40.80%,47,665,3,5,720
Commissioner of the General Land Office,0403,475,498,973,1715,56.73%,585,341,8,6,940
Commissioner of the General Land Office,0404,419,330,749,2585,28.97%,443,275,12,5,735
Commissioner of the General Land Office,0405,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0406,137,67,204,628,32.48%,4,197,1,0,202
Commissioner of the General Land Office,0407,692,793,1485,3769,39.40%,1020,391,24,13,1448
Commissioner of the General Land Office,0408,146,153,299,1691,17.68%,142,137,8,7,294
Commissioner of the General Land Office,0409,122,149,271,1459,18.57%,112,142,4,5,263
Commissioner of the General Land Office,0410,132,80,212,899,23.58%,48,157,2,1,208
Commissioner of the General Land Office,0411,235,200,435,2339,18.60%,164,244,10,6,424
Commissioner of the General Land Office,0412,74,44,118,468,25.21%,7,105,1,1,114
Commissioner of the General Land Office,0413,767,386,1153,2992,38.54%,470,638,9,6,1123
Commissioner of the General Land Office,0414,654,480,1134,3453,32.84%,878,210,16,10,1114
Commissioner of the General Land Office,0415,539,598,1137,2203,51.61%,780,301,27,12,1120
Commissioner of the General Land Office,0416,538,558,1096,3791,28.91%,621,407,25,22,1075
Commissioner of the General Land Office,0417,353,385,738,2448,30.15%,373,318,23,6,720
Commissioner of the General Land Office,0418,404,469,873,3584,24.36%,377,442,16,13,848
Commissioner of the General Land Office,0419,571,324,895,2658,33.67%,613,243,20,7,883
Commissioner of the General Land Office,0420,1036,874,1910,4762,40.11%,1592,258,28,8,1886
Commissioner of the General Land Office,0421,36,37,73,410,17.80%,27,40,2,2,71
Commissioner of the General Land Office,0422,731,402,1133,3345,33.87%,32,1081,1,8,1122
Commissioner of the General Land Office,0423,108,120,228,1376,16.57%,78,140,0,3,221
Commissioner of the General Land Office,0424,240,111,351,967,36.30%,215,114,8,8,345
Commissioner of the General Land Office,0425,107,123,230,883,26.05%,96,120,9,2,227
Commissioner of the General Land Office,0426,260,183,443,1218,36.37%,277,150,3,4,434
Commissioner of the General Land Office,0427,179,134,313,1092,28.66%,140,149,6,4,299
Commissioner of the General Land Office,0428,619,421,1040,4538,22.92%,338,617,12,11,978
Commissioner of the General Land Office,0429,445,314,759,3197,23.74%,213,492,7,13,725
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0430,161,133,294,1657,17.74%,88,188,6,7,289
Commissioner of the General Land Office,0431,327,84,411,3417,12.03%,152,226,11,7,396
Commissioner of the General Land Office,0432,123,157,280,1455,19.24%,102,156,12,6,276
Commissioner of the General Land Office,0433,50,63,113,581,19.45%,26,78,3,1,108
Commissioner of the General Land Office,0434,371,289,660,1503,43.91%,435,191,17,8,651
Commissioner of the General Land Office,0435,856,636,1492,3252,45.88%,1019,403,22,18,1462
Commissioner of the General Land Office,0436,629,531,1160,2933,39.55%,778,332,16,12,1138
Commissioner of the General Land Office,0437,521,512,1033,2033,50.81%,767,224,15,9,1015
Commissioner of the General Land Office,0438,519,389,1008,1861,54.16%,803,162,16,5,986
Commissioner of the General Land Office,0439,710,884,1594,3554,44.85%,1184,317,37,14,1552
Commissioner of the General Land Office,0440,664,858,1522,2930,51.95%,1261,192,25,12,1490
Commissioner of the General Land Office,0441,345,420,765,1669,45.84%,610,127,10,4,751
Commissioner of the General Land Office,0442,612,574,1186,2575,46.06%,982,154,31,9,1176
Commissioner of the General Land Office,0443,227,138,365,646,56.50%,272,73,9,7,361
Commissioner of the General Land Office,0444,587,583,1270,3262,38.93%,800,378,45,17,1240
Commissioner of the General Land Office,0445,499,348,847,2026,41.81%,586,216,18,11,831
Commissioner of the General Land Office,0446,31,22,53,291,18.21%,28,22,1,0,51
Commissioner of the General Land Office,0447,93,86,179,637,28.10%,54,109,9,3,175
Commissioner of the General Land Office,0448,590,778,1368,3138,43.59%,788,474,43,24,1329
Commissioner of the General Land Office,0449,12,23,35,198,17.68%,3,30,0,1,34
Commissioner of the General Land Office,0450,435,328,764,2635,28.99%,243,488,13,14,758
Commissioner of the General Land Office,0451,1002,510,1512,2687,56.27%,1282,187,11,5,1485
Commissioner of the General Land Office,0452,554,444,998,3048,32.74%,732,212,28,5,977
Commissioner of the General Land Office,0453,231,262,493,1937,25.45%,215,255,2,8,480
Commissioner of the General Land Office,0454,594,248,842,2561,32.88%,15,805,5,7,832
Commissioner of the General Land Office,0455,367,165,532,1689,31.50%,22,496,3,6,527
Commissioner of the General Land Office,0456,482,362,844,3513,24.03%,511,309,5,9,834
Commissioner of the General Land Office,0457,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0458,471,237,708,1924,36.80%,42,642,6,7,697
Commissioner of the General Land Office,0459,951,474,1425,3021,47.17%,1130,240,29,9,1408
Commissioner of the General Land Office,0460,554,331,885,2837,31.19%,223,620,13,13,869
Commissioner of the General Land Office,0461,1155,735,1900,3871,49.08%,1412,411,26,14,1863
Commissioner of the General Land Office,0462,675,619,1294,3384,38.24%,503,725,20,17,1265
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0463,481,404,885,3326,26.61%,418,418,22,12,870
Commissioner of the General Land Office,0464,356,430,786,2257,34.82%,559,185,27,6,777
Commissioner of the General Land Office,0465,588,520,1208,3564,33.89%,686,473,23,12,1194
Commissioner of the General Land Office,0466,1058,614,1672,4184,39.96%,1002,622,16,6,1646
Commissioner of the General Land Office,0467,213,189,402,1270,31.65%,100,289,5,3,397
Commissioner of the General Land Office,0468,352,443,795,3598,22.10%,245,512,11,6,774
Commissioner of the General Land Office,0469,1299,547,1846,3985,46.32%,1497,283,23,14,1817
Commissioner of the General Land Office,0470,185,176,361,1326,27.22%,268,70,9,7,354
Commissioner of the General Land Office,0471,375,380,755,2387,31.63%,604,113,20,13,750
Commissioner of the General Land Office,0472,198,278,476,1081,44.03%,224,226,10,6,466
Commissioner of the General Land Office,0473,603,391,994,1806,55.04%,715,241,15,5,976
Commissioner of the General Land Office,0474,559,588,1147,3037,37.77%,791,285,45,11,1132
Commissioner of the General Land Office,0475,189,267,456,1809,25.21%,227,201,9,6,443
Commissioner of the General Land Office,0476,404,473,877,2430,36.09%,496,329,21,11,857
Commissioner of the General Land Office,0477,737,567,1304,3505,37.20%,983,254,40,8,1285
Commissioner of the General Land Office,0478,958,657,1615,4461,36.20%,1111,442,32,11,1596
Commissioner of the General Land Office,0479,640,612,1252,2714,46.13%,937,246,35,12,1230
Commissioner of the General Land Office,0480,493,450,943,2415,39.05%,686,209,26,9,930
Commissioner of the General Land Office,0481,770,623,1393,3482,40.01%,1072,249,22,18,1361
Commissioner of the General Land Office,0482,878,630,1508,4373,34.48%,1078,355,50,8,1491
Commissioner of the General Land Office,0483,1043,478,1521,4308,35.31%,882,546,35,25,1488
Commissioner of the General Land Office,0484,1107,930,2037,4979,40.91%,1486,451,48,15,2000
Commissioner of the General Land Office,0485,1095,911,2006,5388,37.23%,1544,374,54,15,1987
Commissioner of the General Land Office,0486,873,855,1728,3866,44.70%,1356,276,56,14,1702
Commissioner of the General Land Office,0487,570,294,864,3860,22.38%,327,467,7,11,812
Commissioner of the General Land Office,0488,268,254,522,1719,30.37%,199,278,15,6,498
Commissioner of the General Land Office,0489,350,290,640,1893,33.81%,226,381,12,10,629
Commissioner of the General Land Office,0490,444,368,812,1975,41.11%,306,464,12,12,794
Commissioner of the General Land Office,0491,315,372,687,1888,36.39%,433,219,17,8,677
Commissioner of the General Land Office,0492,556,410,966,2335,41.37%,618,303,12,16,949
Commissioner of the General Land Office,0493,480,322,802,1853,43.28%,565,200,13,7,785
Commissioner of the General Land Office,0494,381,247,628,2467,25.46%,83,522,5,7,617
Commissioner of the General Land Office,0495,522,523,1045,2375,44.00%,763,223,29,6,1021
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0496,190,315,505,2160,23.38%,209,270,7,5,491
Commissioner of the General Land Office,0497,526,243,769,2257,34.07%,26,728,0,1,755
Commissioner of the General Land Office,0498,363,323,686,2297,29.87%,306,336,20,14,676
Commissioner of the General Land Office,0499,751,518,1269,2326,54.56%,956,250,27,13,1246
Commissioner of the General Land Office,0500,729,715,1444,3507,41.17%,1007,363,32,19,1421
Commissioner of the General Land Office,0501,341,417,758,1801,42.09%,279,415,29,16,739
Commissioner of the General Land Office,0502,477,350,827,2501,33.07%,676,127,7,5,815
Commissioner of the General Land Office,0503,174,116,290,1374,21.11%,114,150,2,6,272
Commissioner of the General Land Office,0504,624,527,1151,2288,50.31%,779,314,33,11,1137
Commissioner of the General Land Office,0505,531,562,1193,3773,31.62%,557,544,37,29,1167
Commissioner of the General Land Office,0506,665,670,1335,3502,38.12%,237,1028,13,27,1305
Commissioner of the General Land Office,0507,221,149,370,2452,15.09%,73,226,6,6,311
Commissioner of the General Land Office,0508,492,412,904,3287,27.50%,339,481,18,14,852
Commissioner of the General Land Office,0509,754,596,1350,3732,36.17%,959,310,37,14,1320
Commissioner of the General Land Office,0510,689,514,1203,3590,33.51%,614,515,39,15,1183
Commissioner of the General Land Office,0511,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0512,602,660,1262,5057,24.96%,590,605,34,18,1247
Commissioner of the General Land Office,0513,1019,487,1506,2894,52.04%,1203,253,21,8,1485
Commissioner of the General Land Office,0514,954,720,1674,4275,39.16%,1288,313,38,17,1656
Commissioner of the General Land Office,0515,943,683,1626,3455,47.06%,1346,225,24,10,1605
Commissioner of the General Land Office,0516,1001,800,1801,5356,33.63%,981,727,37,20,1765
Commissioner of the General Land Office,0517,482,256,738,2954,24.98%,423,277,18,11,729
Commissioner of the General Land Office,0518,635,693,1328,3943,33.68%,885,384,25,11,1305
Commissioner of the General Land Office,0519,623,493,1116,2966,37.63%,824,233,30,12,1099
Commissioner of the General Land Office,0520,474,457,931,4580,20.33%,170,720,12,17,919
Commissioner of the General Land Office,0521,471,464,935,2866,32.62%,495,387,25,12,919
Commissioner of the General Land Office,0522,715,572,1288,2689,47.90%,998,225,33,9,1265
Commissioner of the General Land Office,0523,751,415,1166,3052,38.20%,811,300,26,12,1149
Commissioner of the General Land Office,0524,568,459,1027,3410,30.12%,367,617,8,10,1002
Commissioner of the General Land Office,0525,707,482,1189,3091,38.47%,281,849,26,13,1169
Commissioner of the General Land Office,0526,58,84,152,780,19.49%,48,89,4,4,145
Commissioner of the General Land Office,0527,37,40,77,574,13.41%,40,30,2,3,75
Commissioner of the General Land Office,0528,14,12,26,90,28.89%,2,22,1,0,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0529,1043,491,1534,3710,41.35%,1313,145,36,13,1507
Commissioner of the General Land Office,0530,114,107,221,1196,18.48%,61,143,2,5,211
Commissioner of the General Land Office,0531,363,174,537,1145,46.90%,428,95,4,1,528
Commissioner of the General Land Office,0532,205,146,351,1048,33.49%,257,76,6,6,345
Commissioner of the General Land Office,0533,124,108,232,1119,20.73%,135,81,7,1,224
Commissioner of the General Land Office,0534,783,524,1307,3837,34.06%,1015,231,29,12,1287
Commissioner of the General Land Office,0535,33,29,62,416,14.90%,29,29,2,1,61
Commissioner of the General Land Office,0536,554,780,1334,5139,25.96%,542,731,19,13,1305
Commissioner of the General Land Office,0537,857,778,1635,3050,53.61%,1227,341,27,10,1605
Commissioner of the General Land Office,0538,204,160,364,1303,27.94%,10,339,2,7,358
Commissioner of the General Land Office,0539,15,241,256,64,400.00%,80,151,8,5,244
Commissioner of the General Land Office,0540,378,316,694,1567,44.29%,324,328,7,12,671
Commissioner of the General Land Office,0541,789,505,1294,4599,28.14%,205,1031,17,15,1268
Commissioner of the General Land Office,0542,360,382,742,2557,29.02%,51,656,8,5,720
Commissioner of the General Land Office,0543,141,213,354,1565,22.62%,123,204,3,13,343
Commissioner of the General Land Office,0544,35,41,77,310,24.84%,13,62,0,0,75
Commissioner of the General Land Office,0545,596,620,1216,3629,33.51%,634,534,18,7,1193
Commissioner of the General Land Office,0546,2,2,4,37,10.81%,2,0,1,0,3
Commissioner of the General Land Office,0547,501,466,967,2406,40.19%,680,219,34,19,952
Commissioner of the General Land Office,0548,285,293,579,2215,26.14%,301,249,14,6,570
Commissioner of the General Land Office,0549,343,418,761,2663,28.58%,110,630,3,6,749
Commissioner of the General Land Office,0550,501,431,932,3031,30.75%,528,352,23,11,914
Commissioner of the General Land Office,0551,1288,1394,2682,7034,38.13%,2035,543,52,18,2648
Commissioner of the General Land Office,0552,847,883,1730,3415,50.66%,1441,221,35,9,1706
Commissioner of the General Land Office,0553,579,529,1108,4686,23.64%,500,547,26,9,1082
Commissioner of the General Land Office,0554,261,199,460,1757,26.18%,100,329,4,4,437
Commissioner of the General Land Office,0555,225,277,502,2219,22.62%,115,367,8,2,492
Commissioner of the General Land Office,0556,276,186,462,2319,19.92%,146,295,2,11,454
Commissioner of the General Land Office,0557,455,183,638,2830,22.54%,277,280,6,11,574
Commissioner of the General Land Office,0558,694,463,1157,4380,26.42%,417,664,31,22,1134
Commissioner of the General Land Office,0559,641,494,1135,4969,22.84%,346,715,21,31,1113
Commissioner of the General Land Office,0560,72,131,203,1120,18.13%,66,122,3,4,195
Commissioner of the General Land Office,0561,362,436,798,3064,26.04%,493,263,17,13,786
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0562,113,68,181,694,26.08%,28,149,0,1,178
Commissioner of the General Land Office,0563,1108,376,1484,3105,47.79%,1189,234,29,14,1466
Commissioner of the General Land Office,0564,471,426,897,3155,28.43%,252,583,20,17,872
Commissioner of the General Land Office,0565,108,78,186,1354,13.74%,41,126,5,7,179
Commissioner of the General Land Office,0566,418,324,742,2882,25.75%,235,460,11,24,730
Commissioner of the General Land Office,0567,301,193,494,2238,22.07%,175,269,12,8,464
Commissioner of the General Land Office,0568,876,685,1561,3594,43.43%,1025,435,39,20,1519
Commissioner of the General Land Office,0569,575,667,1242,3525,35.23%,708,471,25,12,1216
Commissioner of the General Land Office,0570,239,210,449,1562,28.75%,166,242,15,11,434
Commissioner of the General Land Office,0571,155,149,304,1827,16.64%,124,165,2,4,295
Commissioner of the General Land Office,0572,556,375,931,3108,29.95%,494,393,27,7,921
Commissioner of the General Land Office,0573,290,151,441,1619,27.24%,7,425,1,3,436
Commissioner of the General Land Office,0574,31,42,73,402,18.16%,10,61,0,2,73
Commissioner of the General Land Office,0575,13,11,24,74,32.43%,18,4,1,0,23
Commissioner of the General Land Office,0576,485,318,804,2734,29.41%,25,749,5,11,790
Commissioner of the General Land Office,0577,148,88,236,608,38.82%,145,81,3,1,230
Commissioner of the General Land Office,0578,409,538,947,1799,52.64%,608,288,24,10,930
Commissioner of the General Land Office,0579,76,101,177,1056,16.76%,36,132,2,2,172
Commissioner of the General Land Office,0580,179,118,297,1031,28.81%,3,285,1,1,290
Commissioner of the General Land Office,0581,212,174,385,1032,37.40%,8,372,2,0,382
Commissioner of the General Land Office,0582,258,171,429,1588,27.02%,20,392,4,5,421
Commissioner of the General Land Office,0583,225,131,356,1262,28.21%,12,333,3,3,351
Commissioner of the General Land Office,0584,182,93,275,1014,27.12%,11,257,1,2,271
Commissioner of the General Land Office,0585,417,172,589,2511,23.46%,19,560,1,4,584
Commissioner of the General Land Office,0586,638,680,1318,4316,30.54%,798,442,37,17,1294
Commissioner of the General Land Office,0587,439,284,723,2598,27.83%,279,409,17,8,713
Commissioner of the General Land Office,0588,758,674,1432,3645,39.29%,1034,333,38,7,1412
Commissioner of the General Land Office,0589,500,386,886,3420,25.91%,483,346,27,11,867
Commissioner of the General Land Office,0590,773,399,1172,2162,54.21%,929,196,30,6,1161
Commissioner of the General Land Office,0591,183,231,414,2121,19.52%,130,256,5,11,402
Commissioner of the General Land Office,0592,133,157,290,1350,21.48%,83,194,3,6,286
Commissioner of the General Land Office,0593,544,564,1108,4380,25.30%,551,487,24,20,1082
Commissioner of the General Land Office,0594,551,325,887,2490,35.62%,251,600,11,13,875
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0595,201,178,379,1693,22.39%,74,291,2,4,371
Commissioner of the General Land Office,0596,441,348,789,3007,26.24%,443,297,22,14,776
Commissioner of the General Land Office,0597,367,394,761,3653,20.83%,329,404,10,11,754
Commissioner of the General Land Office,0598,195,57,252,728,34.62%,201,35,4,6,246
Commissioner of the General Land Office,0599,850,578,1428,4950,28.85%,514,856,20,15,1405
Commissioner of the General Land Office,0600,667,429,1096,3957,27.70%,447,585,20,11,1063
Commissioner of the General Land Office,0601,1074,756,1830,4057,45.11%,1391,344,44,12,1791
Commissioner of the General Land Office,0602,293,235,525,1326,39.82%,387,124,11,3,525
Commissioner of the General Land Office,0603,554,794,1678,4843,34.65%,1048,529,52,20,1649
Commissioner of the General Land Office,0604,702,518,1220,3005,40.60%,1008,158,31,7,1204
Commissioner of the General Land Office,0605,907,556,1463,5582,26.21%,372,1048,10,14,1444
Commissioner of the General Land Office,0606,176,70,246,937,26.25%,6,235,0,0,241
Commissioner of the General Land Office,0607,52,51,113,728,15.52%,14,94,1,0,109
Commissioner of the General Land Office,0608,31,47,78,537,14.53%,42,28,3,1,74
Commissioner of the General Land Office,0609,557,680,1347,3384,39.80%,869,408,21,15,1313
Commissioner of the General Land Office,0610,231,188,419,1927,21.74%,229,154,11,4,398
Commissioner of the General Land Office,0611,495,242,737,2488,29.62%,22,695,5,1,723
Commissioner of the General Land Office,0612,996,497,1493,3307,45.15%,1136,272,31,18,1457
Commissioner of the General Land Office,0613,186,204,390,1554,25.10%,68,309,7,3,387
Commissioner of the General Land Office,0514,737,555,1303,4207,30.97%,499,749,13,15,1276
Commissioner of the General Land Office,0615,450,299,779,1967,39.60%,501,243,16,6,766
Commissioner of the General Land Office,0616,739,663,1402,3436,40.80%,991,336,33,13,1373
Commissioner of the General Land Office,0617,541,393,934,3809,24.52%,380,512,22,9,923
Commissioner of the General Land Office,0618,946,567,1513,6003,25.20%,749,682,40,12,1483
Commissioner of the General Land Office,0619,1219,803,2022,4297,47.06%,1511,400,54,25,1990
Commissioner of the General Land Office,0620,689,264,953,2897,32.90%,629,289,12,5,935
Commissioner of the General Land Office,0621,154,101,255,1133,22.51%,138,100,5,7,250
Commissioner of the General Land Office,0622,881,524,1405,4403,31.91,%,870,446,38,20,1374
Commissioner of the General Land Office,0623,887,487,1374,3691,37.23%,967,363,15,7,1352
Commissioner of the General Land Office,0624,1,1,2,3,66.67%,1,1,0,0,2
Commissioner of the General Land Office,0625,477,362,839,1820,46.10%,490,302,16,13,821
Commissioner of the General Land Office,0626,551,440,1021,2861,35.69%,592,366,24,15,997
Commissioner of the General Land Office,0627,345,322,668,3049,21.91%,239,385,12,11,647
