Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0073,252,414,666,1555,42.83%,382,227,17,16,642
Commissioner of the General Land Office,0074,1153,782,1935,3583,54.01%,1543,322,25,7,1897
Commissioner of the General Land Office,0075,254,280,534,1444,36.98%,215,275,15,14,519
Commissioner of the General Land Office,0076,373,374,747,2362,31.63%,450,264,11,9,734
Commissioner of the General Land Office,0077,43,46,89,566,15.72%,20,66,2,0,88
Commissioner of the General Land Office,0078,181,201,382,1522,25.10%,148,204,6,10,368
Commissioner of the General Land Office,0079,205,306,511,2927,17.46%,158,312,11,11,492
Commissioner of the General Land Office,0080,501,351,852,2725,31.27%,230,581,10,11,832
Commissioner of the General Land Office,0081,183,187,370,1835,20.16%,158,193,3,4,358
Commissioner of the General Land Office,0082,639,671,1310,3368,38.90%,973,266,39,17,1295
Commissioner of the General Land Office,0083,1298,888,2186,6625,33.00%,1081,1010,41,20,2152
Commissioner of the General Land Office,0084,208,218,426,1373,31.03%,314,89,9,5,417
Commissioner of the General Land Office,0085,271,248,519,2173,23.88%,25,471,5,10,511
Commissioner of the General Land Office,0086,448,568,1016,2910,34.91%,471,468,37,14,990
Commissioner of the General Land Office,0087,574,787,1461,2818,51.85%,989,405,36,11,1441
Commissioner of the General Land Office,0088,123,118,241,693,34.78%,162,67,5,2,236
Commissioner of the General Land Office,0089,165,371,536,1094,48.99%,315,190,9,7,521
Commissioner of the General Land Office,0090,845,790,1635,3700,44.19%,1195,354,40,15,1604
Commissioner of the General Land Office,0091,221,222,443,1505,29.44%,264,144,16,10,434
Commissioner of the General Land Office,0092,695,462,1157,2242,51.61%,787,303,27,15,1132
Commissioner of the General Land Office,0093,381,301,582,3356,20.32%,287,343,13,12,655
Commissioner of the General Land Office,0094,51,43,94,549,17.12%,26,56,1,7,90
Commissioner of the General Land Office,0095,917,576,1493,3177,46.99%,1116,307,36,16,1475
Commissioner of the General Land Office,0096,83,83,166,1296,12.81%,23,139,0,3,165
Commissioner of the General Land Office,0097,1024,725,1749,4828,36.23%,1301,375,42,8,1726
Commissioner of the General Land Office,0098,403,488,891,2651,33.61%,723,118,27,7,875
Commissioner of the General Land Office,0099,254,184,438,2092,20.94%,21,7,202,7,8,434
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0100,185,173,338,1730,19.54%,181,145,5,4,335
Commissioner of the General Land Office,0101,72,58,130,948,13.74%,41,78,7,4,128
Commissioner of the General Land Office,0102,207,121,328,1872,17.52%,93,211,8,5,315
Commissioner of the General Land Office,0103,700,714,1414,5371,28.33%,792,582,29,11,1394
Commissioner of the General Land Office,0104,530,231,781,1905,39.95%,18,730,4,4,758
Commissioner of the General Land Office,0105,198,210,408,2185,18.75%,138,235,8,5,388
Commissioner of the General Land Office,0108,18,7,25,294,8.50%,18,7,0,0,25
Commissioner of the General Land Office,0107,154,197,351,2032,17.27%,85,289,3,5,342
Commissioner of the General Land Office,0108,558,272,940,3385,27.93%,581,332,17,10,920
Commissioner of the General Land Office,0109,530,245,775,2824,27.44%,8,751,2,8,787
Commissioner of the General Land Office,0110,854,494,1148,3042,37.74%,753,338,28,8,1123
Commissioner of the General Land Office,0111,818,795,1811,4102,39.27%,1185,348,40,12,1585
Commissioner of the General Land Office,0112,542,485,1027,2978,34.51%,755,217,35,8,1015
Commissioner of the General Land Office,0113,552,429,991,2847,37.44%,820,322,19,18,977
Commissioner of the General Land Office,0114,707,547,1254,3311,37.87%,1013,201,24,5,1243
Commissioner of the General Land Office,0115,238,150,388,1800,21.58%,54,318,8,4,380
Commissioner of the General Land Office,0118,982,778,1758,3147,55.88%,1373,298,35,10,1714
Commissioner of the General Land Office,0117,218,228,442,1880,23.51%,221,201,8,8,434
Commissioner of the General Land Office,0118,304,123,427,759,58.28%,389,44,9,0,422
Commissioner of the General Land Office,0119,1290,1024,2314,5500,42.07%,1888,340,47,7,2282
Commissioner of the General Land Office,0120,713,422,1135,3191,35.57%,758,328,19,11,1112
Commissioner of the General Land Office,0121,92,178,270,848,31.84%,185,73,5,4,287
Commissioner of the General Land Office,0122,352,225,577,1890,30.53%,18,538,8,7,585
Commissioner of the General Land Office,0123,285,288,573,1392,41.18%,147,383,12,15,557
Commissioner of the General Land Office,0124,1734,1292,3028,7254,41.71%,2424,507,52,13,2998
Commissioner of the General Land Office,0125,415,332,747,2405,31.08%,451,252,20,12,735
Commissioner of the General Land Office,0128,893,487,1380,3100,43.87%,1198,113,27,8,1344
Commissioner of the General Land Office,0127,435,154,589,1838,32.08%,423,129,18,4,572
Commissioner of the General Land Office,0128,445,707,1152,2290,50.31%,780,339,18,11,1128
Commissioner of the General Land Office,0129,1031,1200,2231,5748,38.83%,1454,881,47,34,2198
Commissioner of the General Land Office,0130,727,523,1250,2333,53.58%,981,249,14,7,1231
Commissioner of the General Land Office,0131,251,259,510,1935,28.38%,119,358,7,8,490
Commissioner of the General Land Office,0132,593,323,918,2387,38.37%,24,872,2,5,903
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0133,514,858,1372,2662,51.54%,832,456,30,22,1340
Commissioner of the General Land Office,0134,192,265,457,1437,31.80%,199,225,15,7,446
Commissioner of the General Land Office,0135,730,579,1309,2671,49.01%,977,290,17,4,1288
Commissioner of the General Land Office,0136,503,371,874,2013,43.42%,46,794,6,16,862
Commissioner of the General Land Office,0137,166,141,307,716,42.88%,160,126,10,5,301
Commissioner of the General Land Office,0138,296,199,495,1699,29.13%,16,463,1,6,486
Commissioner of the General Land Office,0139,700,551,1251,3037,41.19%,603,576,24,18,1221
Commissioner of the General Land Office,0140,701,480,1181,3214,36.75%,137,978,18,24,1157
Commissioner of the General Land Office,0141,80,80,160,855,18.71%,94,53,4,2,153
Commissioner of the General Land Office,0142,87,103,190,902,21.06%,69,109,1,6,185
Commissioner of the General Land Office,0143,1962,580,2542,6386,39.81%,1837,623,53,9,2522
Commissioner of the General Land Office,0144,216,158,374,1093,34.22%,7,357,3,1,368
Commissioner of the General Land Office,0145,264,213,477,1538,31.01%,12,445,2,3,462
Commissioner of the General Land Office,0146,426,519,945,2008,47.06%,440,440,19,25,924
Commissioner of the General Land Office,0147,589,329,1018,3008,33.84%,131,847,10,11,999
Commissioner of the General Land Office,0148,500,780,1280,2540,50.39%,557,638,28,25,1248
Commissioner of the General Land Office,0149,1621,737,2358,7993,29.50%,1217,1039,47,23,2326
Commissioner of the General Land Office,0150,236,169,405,1256,32.25%,12,387,2,1,402
Commissioner of the General Land Office,0151,137,79,216,826,26.15%,12,195,1,2,210
Commissioner of the General Land Office,0152,214,299,513,2788,18.40%,138,333,10,14,495
Commissioner of the General Land Office,0153,125,206,331,1808,18.31%,111,196,10,2,319
Commissioner of the General Land Office,0154,249,183,432,2190,19.73%,129,273,6,11,419
Commissioner of the General Land Office,0155,1022,619,1641,4109,39.94%,1173,413,17,15,1618
Commissioner of the General Land Office,0156,800,326,1126,3071,36.67%,44,1042,8,13,1107
Commissioner of the General Land Office,0157,448,214,662,2236,29.61%,24,620,3,3,650
Commissioner of the General Land Office,0158,600,315,915,3035,30.15%,27,866,4,5,902
Commissioner of the General Land Office,0159,116,127,243,998,24.35%,39,190,5,4,238
Commissioner of the General Land Office,0160,122,73,195,696,28.02%,6,186,2,1,195
Commissioner of the General Land Office,0161,163,141,304,991,30.68%,4,290,1,2,297
Commissioner of the General Land Office,0162,101,83,184,1265,14.55%,73,98,4,0,175
Commissioner of the General Land Office,0163,230,320,550,3037,18.11%,245,276,6,5,532
Commissioner of the General Land Office,0164,182,205,387,1420,27.25%,12,366,1,0,379
Commissioner of the General Land Office,0165,535,483,1018,2334,43.62%,679,264,31,14,988
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0166,158,233,391,1028,38.04%,119,232,18,10,379
Commissioner of the General Land Office,0167,3,0,3,24,12.50%,1,2,0,0,3
Commissioner of the General Land Office,0168,92,58,150,503,29.82%,4,138,3,0,145
Commissioner of the General Land Office,0169,516,251,767,2513,30.52%,13,732,2,5,752
Commissioner of the General Land Office,0170,271,141,412,1869,22.04%,218,164,11,7,400
Commissioner of the General Land Office,0171,202,198,400,1604,24.94%,11,376,0,3,390
Commissioner of the General Land Office,0172,86,80,166,621,26.73%,67,83,3,7,160
Commissioner of the General Land Office,0173,819,739,1558,3599,43.29%,1249,249,29,7,1534
Commissioner of the General Land Office,0174,830,733,1563,3296,47.42%,1096,388,29,17,1530
Commissioner of the General Land Office,0175,560,749,1309,2618,50.00%,721,511,18,24,1274
Commissioner of the General Land Office,0176,344,451,795,1602,49.63%,465,289,11,10,775
Commissioner of the General Land Office,0177,278,326,604,1496,40.37%,363,210,11,6,590
Commissioner of the General Land Office,0178,504,365,869,1765,49.24%,626,201,21,4,852
Commissioner of the General Land Office,0179,256,188,444,1575,28.19%,241,165,12,15,433
Commissioner of the General Land Office,0180,470,343,813,2834,28.69%,24,752,5,7,788
Commissioner of the General Land Office,0181,175,262,437,2061,21.20%,143,265,4,12,424
Commissioner of the General Land Office,0182,590,974,1564,3405,45.93%,999,464,23,18,1504
