Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0334,83,42,125,742,16.85%,21,100,121
"District Judge, 113th Judicial District",0335,121,98,219,1300,16.85%,80,124,204
"District Judge, 113th Judicial District",0336,866,624,1490,4051,36.78%,134,1322,1456
"District Judge, 113th Judicial District",0337,124,103,227,1029,22.06%,43,175,218
"District Judge, 113th Judicial District",0338,730,391,1121,4934,22.72%,382,662,1044
"District Judge, 113th Judicial District",0339,202,222,424,1757,24.13%,99,302,401
"District Judge, 113th Judicial District",0340,1038,594,1632,3765,43.35%,1225,344,1569
"District Judge, 113th Judicial District",0341,91,167,258,1290,20.00%,85,166,251
"District Judge, 113th Judicial District",0342,675,605,1280,6526,19.61%,211,1040,1251
"District Judge, 113th Judicial District",0343,189,271,460,1964,23.42%,138,296,434
"District Judge, 113th Judicial District",0344,154,172,326,1160,28.10%,14,298,312
"District Judge, 113th Judicial District",0345,156,165,321,1804,17.79%,95,211,306
"District Judge, 113th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 113th Judicial District",0347,592,436,1028,3387,30.35%,685,309,994
"District Judge, 113th Judicial District",0348,438,208,646,1708,37.82%,494,127,621
"District Judge, 113th Judicial District",0349,188,267,455,1349,33.73%,283,151,434
"District Judge, 113th Judicial District",0350,524,526,1050,2909,36.09%,387,587,974
"District Judge, 113th Judicial District",0351,1491,710,2201,4712,46.71%,1725,403,2128
"District Judge, 113th Judicial District",0352,520,339,859,3205,26.80%,632,199,831
"District Judge, 113th Judicial District",0353,665,451,1116,3862,28.90%,204,879,1083
"District Judge, 113th Judicial District",0354,715,338,1053,3388,31.08%,259,764,1023
"District Judge, 113th Judicial District",0355,301,264,565,1560,36.22%,49,503,552
"District Judge, 113th Judicial District",0356,594,538,1132,2972,38.09%,727,353,1080
"District Judge, 113th Judicial District",0357,837,575,1412,3517,40.15%,1023,342,1365
"District Judge, 113th Judicial District",0358,212,254,466,2492,18.70%,52,400,452
"District Judge, 113th Judicial District",0359,234,224,458,3061,14.96%,63,385,448
"District Judge, 113th Judicial District",0360,522,380,902,2146,42.03%,439,393,832
"District Judge, 113th Judicial District",0361,41,295,336,1673,20.08%,48,254,302
"District Judge, 113th Judicial District",0362,1138,887,2025,5086,39.82%,1483,442,1925
"District Judge, 113th Judicial District",0363,620,412,1032,3677,28.07%,468,538,1006
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0364,488,405,893,2658,33.60%,512,340,852
"District Judge, 113th Judicial District",0365,478,231,709,1305,54.33%,48,642,690
"District Judge, 113th Judicial District",0366,252,270,522,2454,21.27%,139,367,506
"District Judge, 113th Judicial District",0367,170,138,308,1130,27.26%,67,233,300
"District Judge, 113th Judicial District",0368,178,88,266,958,27.77%,72,186,258
"District Judge, 113th Judicial District",0369,32,29,61,559,10.91%,18,42,60
"District Judge, 113th Judicial District",0370,1532,1105,2637,6593,40.00%,2005,551,2556
"District Judge, 113th Judicial District",0371,122,52,174,502,34.66%,8,162,170
"District Judge, 113th Judicial District",0372,221,170,391,1224,31.94%,47,333,380
"District Judge, 113th Judicial District",0373,21,12,33,157,21.02%,2,29,31
"District Judge, 113th Judicial District",0374,65,93,158,738,21.41%,58,95,153
"District Judge, 113th Judicial District",0375,254,220,474,2645,17.92%,230,212,442
"District Judge, 113th Judicial District",0376,278,205,483,1910,25.29%,218,243,461
"District Judge, 113th Judicial District",0377,525,583,1109,2920,37.98%,814,244,1058
"District Judge, 113th Judicial District",0378,232,354,586,1829,32.04%,365,201,566
"District Judge, 113th Judicial District",0379,431,289,720,2027,35.52%,75,627,702
"District Judge, 113th Judicial District",0380,1299,995,2294,5666,40.49%,1253,977,2230
"District Judge, 113th Judicial District",0381,412,248,660,2855,23.12%,309,325,634
"District Judge, 113th Judicial District",0382,132,157,289,922,31.34%,213,68,281
"District Judge, 113th Judicial District",0383,289,263,552,2173,25.40%,228,305,533
"District Judge, 113th Judicial District",0384,573,373,946,2657,35.60%,190,722,912
"District Judge, 113th Judicial District",0385,583,670,1253,2207,56.77%,937,261,1198
"District Judge, 113th Judicial District",0386,662,469,1131,2922,38.71%,829,264,1093
"District Judge, 113th Judicial District",0387,555,672,1227,3935,31.18%,897,296,1193
"District Judge, 113th Judicial District",0388,1430,1010,2440,6888,35.42%,1428,956,2384
"District Judge, 113th Judicial District",0389,91,208,299,1026,29.14%,43,235,278
"District Judge, 113th Judicial District",0390,356,263,619,1480,41.82%,77,520,597
"District Judge, 113th Judicial District",0391,508,260,768,1883,40.79%,476,261,737
"District Judge, 113th Judicial District",0392,387,155,542,1446,37.48%,7,526,533
"District Judge, 113th Judicial District",0393,165,185,350,1292,27.09%,166,177,343
"District Judge, 113th Judicial District",0394,69,73,142,834,17.03%,71,64,135
"District Judge, 113th Judicial District",0395,469,404,873,1846,47.29%,614,219,833
"District Judge, 113th Judicial District",0396,622,216,838,2082,40.25%,18,807,825
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0397,86,78,164,760,21.58%,81,79,160
"District Judge, 113th Judicial District",0398,615,521,1136,4022,28.24%,609,500,1109
"District Judge, 113th Judicial District",0399,402,366,768,2791,27.52%,415,330,745
"District Judge, 113th Judicial District",0400,620,359,979,2411,40.61%,708,227,935
"District Judge, 113th Judicial District",0401,330,205,535,1913,27.97%,22,501,523
"District Judge, 113th Judicial District",0402,466,266,732,1794,40.80%,36,680,716
"District Judge, 113th Judicial District",0403,475,498,973,1715,56.73%,507,388,895
"District Judge, 113th Judicial District",0404,419,330,749,2585,28.97%,435,289,724
"District Judge, 113th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 113th Judicial District",0406,137,67,204,628,32.48%,4,198,202
"District Judge, 113th Judicial District",0407,688,793,1481,3769,39.29%,987,420,1407
"District Judge, 113th Judicial District",0408,146,153,299,1691,17.68%,140,144,284
"District Judge, 113th Judicial District",0409,122,149,271,1459,18.57%,112,151,263
"District Judge, 113th Judicial District",0410,132,80,212,899,23.58%,44,158,202
"District Judge, 113th Judicial District",0411,235,200,435,2339,18.60%,161,258,419
"District Judge, 113th Judicial District",0412,74,44,118,468,25.21%,8,105,113
"District Judge, 113th Judicial District",0413,767,386,1153,2992,38.54%,469,640,1109
"District Judge, 113th Judicial District",0414,654,480,1134,3453,32.84%,875,221,1096
"District Judge, 113th Judicial District",0415,539,598,1137,2203,51.61%,748,343,1091
"District Judge, 113th Judicial District",0416,538,558,1096,3791,28.91%,612,446,1058
"District Judge, 113th Judicial District",0417,353,385,738,2448,30.15%,373,333,706
"District Judge, 113th Judicial District",0418,403,469,872,3584,24.33%,361,471,832
"District Judge, 113th Judicial District",0419,571,324,895,2658,33.67%,606,257,863
"District Judge, 113th Judicial District",0420,1036,874,1910,4762,40.11%,1561,285,1846
"District Judge, 113th Judicial District",0421,36,37,73,410,17.80%,23,44,67
"District Judge, 113th Judicial District",0422,731,402,1133,3345,33.87%,33,1079,1112
"District Judge, 113th Judicial District",0423,108,120,228,1376,16.57%,78,144,222
"District Judge, 113th Judicial District",0424,240,111,351,967,36.30%,208,127,335
"District Judge, 113th Judicial District",0425,107,123,230,883,26.05%,87,135,222
"District Judge, 113th Judicial District",0426,260,183,443,1218,36.37%,262,157,419
"District Judge, 113th Judicial District",0427,179,134,313,1092,28.66%,135,158,293
"District Judge, 113th Judicial District",0428,619,421,1040,4538,22.92%,332,635,967
"District Judge, 113th Judicial District",0429,445,314,759,3197,23.74%,211,506,717
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0430,161,133,294,1657,17.74%,86,197,283
"District Judge, 113th Judicial District",0431,327,84,411,3417,12.03%,151,242,393
"District Judge, 113th Judicial District",0432,123,157,280,1455,19.24%,104,165,269
"District Judge, 113th Judicial District",0433,50,63,113,581,19.45%,26,84,110
"District Judge, 113th Judicial District",0434,370,289,659,1503,43.85%,394,232,626
"District Judge, 113th Judicial District",0435,855,636,1491,3252,45.85%,927,488,1415
"District Judge, 113th Judicial District",0436,629,531,1160,2933,39.55%,702,396,1098
"District Judge, 113th Judicial District",0437,521,512,1033,2033,50.81%,705,265,970
"District Judge, 113th Judicial District",0438,517,389,1006,1861,54.06%,730,217,947
"District Judge, 113th Judicial District",0439,710,884,1594,3554,44.85%,1128,384,1512
"District Judge, 113th Judicial District",0440,664,858,1522,2930,51.95%,1192,260,1452
"District Judge, 113th Judicial District",0441,345,420,765,1669,45.84%,563,168,731
"District Judge, 113th Judicial District",0442,612,574,1186,2575,46.06%,972,173,1145
"District Judge, 113th Judicial District",0443,225,138,354,646,56.35%,247,98,345
"District Judge, 113th Judicial District",0444,587,583,1270,3262,38.93%,807,401,1208
"District Judge, 113th Judicial District",0445,499,348,847,2026,41.81%,571,250,821
"District Judge, 113th Judicial District",0446,31,22,53,291,18.21%,26,24,50
"District Judge, 113th Judicial District",0447,93,86,179,637,28.10%,55,116,171
"District Judge, 113th Judicial District",0448,590,778,1368,3138,43.59%,743,545,1288
"District Judge, 113th Judicial District",0449,12,23,35,198,17.68%,3,32,35
"District Judge, 113th Judicial District",0450,435,328,763,2635,28.96%,228,506,734
"District Judge, 113th Judicial District",0451,1002,510,1512,2687,56.27%,1221,226,1447
"District Judge, 113th Judicial District",0452,554,444,998,3048,32.74%,734,232,966
"District Judge, 113th Judicial District",0453,231,262,493,1937,25.45%,196,277,473
"District Judge, 113th Judicial District",0454,594,248,842,2561,32.88%,14,815,829
"District Judge, 113th Judicial District",0455,367,165,532,1689,31.50%,21,506,527
"District Judge, 113th Judicial District",0456,482,362,844,3513,24.03%,492,331,823
"District Judge, 113th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 113th Judicial District",0458,471,237,708,1924,36.80%,28,661,689
"District Judge, 113th Judicial District",0459,951,474,1425,3021,47.17%,1123,260,1383
"District Judge, 113th Judicial District",0460,554,331,885,2837,31.19%,238,626,864
"District Judge, 113th Judicial District",0461,1155,735,1900,3871,49.08%,1290,496,1786
"District Judge, 113th Judicial District",0462,674,619,1293,3384,38.21%,467,768,1235
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0463,480,404,884,3326,26.58%,404,454,858
"District Judge, 113th Judicial District",0464,356,430,786,2257,34.82%,564,198,762
"District Judge, 113th Judicial District",0465,687,520,1207,3564,33.87%,679,490,1169
"District Judge, 113th Judicial District",0466,1058,614,1672,4184,39.96%,960,665,1625
"District Judge, 113th Judicial District",0467,213,189,402,1270,31.65%,97,293,390
"District Judge, 113th Judicial District",0468,352,443,795,3598,22.10%,255,513,768
"District Judge, 113th Judicial District",0469,1294,547,1841,3985,46.20%,1435,329,1764
"District Judge, 113th Judicial District",0470,185,176,361,1326,27.22%,267,75,342
"District Judge, 113th Judicial District",0471,375,380,755,2387,31.63%,609,130,739
"District Judge, 113th Judicial District",0472,198,278,476,1081,44.03%,175,272,447
"District Judge, 113th Judicial District",0473,599,391,990,1806,54.82%,675,273,948
"District Judge, 113th Judicial District",0474,559,588,1147,3037,37.77%,795,317,1112
"District Judge, 113th Judicial District",0475,189,267,456,1809,25.21%,224,215,439
"District Judge, 113th Judicial District",0476,404,473,877,2430,36.09%,492,353,845
"District Judge, 113th Judicial District",0477,737,567,1304,3505,37.20%,999,259,1258
"District Judge, 113th Judicial District",0478,958,657,1615,4461,36.20%,1081,463,1544
"District Judge, 113th Judicial District",0479,638,612,1250,2714,46.06%,925,279,1204
"District Judge, 113th Judicial District",0480,493,450,943,2415,39.05%,683,224,907
"District Judge, 113th Judicial District",0481,770,623,1393,3482,40.01%,1070,270,1340
"District Judge, 113th Judicial District",0482,878,630,1508,4373,34.48%,1086,377,1463
"District Judge, 113th Judicial District",0483,1042,478,1520,4308,35.28%,883,579,1462
"District Judge, 113th Judicial District",0484,1107,930,2037,4979,40.91%,1464,510,1974
"District Judge, 113th Judicial District",0485,1095,911,2006,5388,37.23%,1574,388,1962
"District Judge, 113th Judicial District",0486,873,855,1728,3866,44.70%,1347,319,1666
"District Judge, 113th Judicial District",0487,570,294,864,3860,22.38%,314,482,796
"District Judge, 113th Judicial District",0488,268,254,522,1719,30.37%,200,284,484
"District Judge, 113th Judicial District",0489,350,290,640,1893,33.81%,211,398,609
"District Judge, 113th Judicial District",0490,444,368,812,1975,41.11%,285,499,784
"District Judge, 113th Judicial District",0491,314,372,686,1888,36.33%,405,255,660
"District Judge, 113th Judicial District",0492,556,410,966,2335,41.37%,573,348,921
"District Judge, 113th Judicial District",0493,479,322,801,1853,43.23%,531,225,756
"District Judge, 113th Judicial District",0494,381,247,628,2467,25.46%,85,529,614
"District Judge, 113th Judicial District",0495,522,523,1045,2375,44.00%,756,234,990
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0496,190,315,505,2160,23.38%,202,288,490
"District Judge, 113th Judicial District",0497,526,243,769,2257,34.07%,25,724,749
"District Judge, 113th Judicial District",0498,363,323,686,2297,29.87%,305,367,672
"District Judge, 113th Judicial District",0499,750,518,1268,2326,54.51%,911,295,1206
"District Judge, 113th Judicial District",0500,729,715,1444,3507,41.17%,1001,393,1394
"District Judge, 113th Judicial District",0501,341,417,758,1801,42.09%,271,440,711
"District Judge, 113th Judicial District",0502,477,350,827,2501,33.07%,671,127,798
"District Judge, 113th Judicial District",0503,174,116,290,1374,21.11%,112,159,271
"District Judge, 113th Judicial District",0504,624,527,1151,2288,50.31%,716,369,1085
"District Judge, 113th Judicial District",0505,531,562,1193,3773,31.62%,546,582,1128
"District Judge, 113th Judicial District",0506,665,670,1335,3502,38.12%,240,1052,1292
"District Judge, 113th Judicial District",0507,221,149,370,2452,15.09%,77,225,302
"District Judge, 113th Judicial District",0508,492,412,904,3287,27.50%,345,496,841
"District Judge, 113th Judicial District",0509,753,596,1349,3732,36.15%,953,339,1292
"District Judge, 113th Judicial District",0510,687,514,1201,3590,33.45%,591,562,1153
"District Judge, 113th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 113th Judicial District",0512,602,660,1262,5057,24.96%,614,614,1228
"District Judge, 113th Judicial District",0513,1019,487,1506,2894,52.04%,1141,304,1445
"District Judge, 113th Judicial District",0514,953,720,1673,4275,39.13%,1269,343,1612
"District Judge, 113th Judicial District",0515,942,683,1625,3455,47.03%,1309,253,1562
"District Judge, 113th Judicial District",0516,1000,800,1800,5356,33.61%,958,768,1726
"District Judge, 113th Judicial District",0517,481,256,737,2954,24.95%,425,291,716
"District Judge, 113th Judicial District",0518,635,693,1328,3943,33.68%,870,406,1276
"District Judge, 113th Judicial District",0519,623,493,1116,2966,37.63%,832,246,1078
"District Judge, 113th Judicial District",0520,473,457,930,4580,20.31%,168,743,911
"District Judge, 113th Judicial District",0521,471,464,935,2866,32.62%,507,397,904
"District Judge, 113th Judicial District",0522,715,572,1288,2689,47.90%,985,259,1244
"District Judge, 113th Judicial District",0523,751,415,1166,3052,38.20%,790,330,1120
"District Judge, 113th Judicial District",0524,567,459,1026,3410,30.09%,351,642,993
"District Judge, 113th Judicial District",0525,707,482,1189,3091,38.47%,267,877,1144
"District Judge, 113th Judicial District",0526,58,84,152,780,19.49%,43,97,140
"District Judge, 113th Judicial District",0527,37,40,77,574,13.41%,41,33,74
"District Judge, 113th Judicial District",0528,14,12,26,90,28.89%,2,23,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0529,1043,491,1534,3710,41.35%,1318,157,1475
"District Judge, 113th Judicial District",0530,114,107,221,1196,18.48%,55,150,205
"District Judge, 113th Judicial District",0531,363,174,537,1145,46.90%,419,99,518
"District Judge, 113th Judicial District",0532,205,146,351,1048,33.49%,255,86,341
"District Judge, 113th Judicial District",0533,124,108,232,1119,20.73%,135,84,219
"District Judge, 113th Judicial District",0534,783,524,1,307,3837,34.06%,990,271,1261
"District Judge, 113th Judicial District",0535,33,29,62,416,14.90%,32,28,60
"District Judge, 113th Judicial District",0536,554,780,1334,5139,25.96%,529,759,1288
"District Judge, 113th Judicial District",0537,855,778,1633,3050,53.54%,1189,381,1570
"District Judge, 113th Judicial District",0538,204,160,364,1303,27.94%,7,349,356
"District Judge, 113th Judicial District",0539,15,241,256,64,400.00%,72,168,240
"District Judge, 113th Judicial District",0540,378,316,694,1567,44.29%,256,387,643
"District Judge, 113th Judicial District",0541,784,505,1289,4599,28.03%,188,1055,1243
"District Judge, 113th Judicial District",0542,360,382,742,2557,29.02%,47,668,715
"District Judge, 113th Judicial District",0543,141,213,354,1565,22.62%,117,218,335
"District Judge, 113th Judicial District",0544,35,41,77,310,24.84%,12,58,70
"District Judge, 113th Judicial District",0545,596,620,1216,3629,33.51%,619,556,1175
"District Judge, 113th Judicial District",0546,2,2,4,37,10.81%,3,0,3
"District Judge, 113th Judicial District",0547,501,466,967,2406,40.19%,677,247,924
"District Judge, 113th Judicial District",0548,286,293,579,2215,26.14%,305,258,563
"District Judge, 113th Judicial District",0549,343,418,761,2663,28.58%,111,631,742
"District Judge, 113th Judicial District",0550,501,431,932,3031,30.75%,537,366,903
"District Judge, 113th Judicial District",0551,1288,1394,2682,7034,38.13%,2022,585,2607
"District Judge, 113th Judicial District",0552,847,883,1730,3415,50.66%,1436,248,1684
"District Judge, 113th Judicial District",0553,578,529,1107,4686,23.62%,509,567,1076
"District Judge, 113th Judicial District",0554,261,199,460,1757,26.18%,99,330,429
"District Judge, 113th Judicial District",0555,225,277,502,2219,22.62%,103,376,479
"District Judge, 113th Judicial District",0556,276,186,462,2319,19.92%,139,306,445
"District Judge, 113th Judicial District",0557,455,183,638,2830,22.54%,258,301,559
"District Judge, 113th Judicial District",0558,693,463,1156,4380,26.39%,411,700,1111
"District Judge, 113th Judicial District",0559,640,494,1134,4969,22.82%,333,758,1091
"District Judge, 113th Judicial District",0560,72,131,203,1120,18.13%,55,133,188
"District Judge, 113th Judicial District",0561,362,436,798,3064,26.04%,486,290,776
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0562,113,68,181,694,26.08%,25,151,176
"District Judge, 113th Judicial District",0563,1107,376,1483,3105,47.76%,1155,264,1419
"District Judge, 113th Judicial District",0564,470,426,896,3155,28.40%,232,622,854
"District Judge, 113th Judicial District",0565,108,78,186,1354,13.74%,41,131,172
"District Judge, 113th Judicial District",0566,417,324,741,2882,25.71%,225,496,721
"District Judge, 113th Judicial District",0567,301,193,494,2238,22.07%,153,302,455
"District Judge, 113th Judicial District",0568,876,685,1561,3594,43.43%,997,481,1478
"District Judge, 113th Judicial District",0569,572,667,1239,3525,35.15%,641,533,1174
"District Judge, 113th Judicial District",0570,238,210,448,1562,28.68%,149,268,417
"District Judge, 113th Judicial District",0571,155,149,304,1827,16.64%,122,171,293
"District Judge, 113th Judicial District",0572,555,375,930,3108,29.92%,474,420,894
"District Judge, 113th Judicial District",0573,290,151,441,1619,27.24%,7,428,435
"District Judge, 113th Judicial District",0574,31,42,73,402,18.16%,8,64,72
"District Judge, 113th Judicial District",0575,13,11,24,74,32.43%,18,4,22
"District Judge, 113th Judicial District",0576,485,318,803,2734,29.37%,23,762,785
"District Judge, 113th Judicial District",0577,147,88,235,608,38.65%,150,78,228
"District Judge, 113th Judicial District",0578,409,538,947,1799,52.64%,563,336,899
"District Judge, 113th Judicial District",0579,75,101,176,1056,16.67%,34,134,168
"District Judge, 113th Judicial District",0580,179,118,297,1031,28.81%,4,287,291
"District Judge, 113th Judicial District",0581,212,174,386,1032,37.40%,7,370,377
"District Judge, 113th Judicial District",0582,258,171,429,1588,27.02%,19,399,418
"District Judge, 113th Judicial District",0583,225,131,356,1262,28.21%,15,332,347
"District Judge, 113th Judicial District",0584,182,93,275,1014,27.12%,11,258,269
"District Judge, 113th Judicial District",0585,417,172,589,2511,23.46%,14,569,583
"District Judge, 113th Judicial District",0586,638,680,1318,4316,30.54%,802,470,1272
"District Judge, 113th Judicial District",0587,436,284,720,2598,27.71%,281,420,701
"District Judge, 113th Judicial District",0588,758,674,1432,3645,39.29%,1023,365,1388
"District Judge, 113th Judicial District",0589,500,386,886,3420,25.91%,499,365,864
"District Judge, 113th Judicial District",0590,772,399,1171,2162,54.16%,897,236,1133
"District Judge, 113th Judicial District",0591,183,231,414,2121,19.52%,132,267,399
"District Judge, 113th Judicial District",0592,133,157,290,1350,21.48%,76,203,279
"District Judge, 113th Judicial District",0593,543,564,1107,4380,25.27%,546,509,1055
"District Judge, 113th Judicial District",0594,561,326,887,2490,35.62%,251,605,856
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0595,201,178,379,1693,22.39%,70,301,371
"District Judge, 113th Judicial District",0596,441,348,789,3007,26.24%,438,325,763
"District Judge, 113th Judicial District",0597,367,394,761,3653,20.83%,333,415,748
"District Judge, 113th Judicial District",0598,195,57,252,728,34.62%,202,44,246
"District Judge, 113th Judicial District",0599,850,578,1428,4950,28.85%,512,870,1382
"District Judge, 113th Judicial District",0600,667,429,1096,3957,27.70%,451,595,1046
"District Judge, 113th Judicial District",0601,1073,756,1829,4057,45.08%,1389,380,1769
"District Judge, 113th Judicial District",0602,293,235,528,1326,39.82%,388,126,514
"District Judge, 113th Judicial District",0603,554,794,1678,4843,34.65%,1077,566,1643
"District Judge, 113th Judicial District",0604,702,518,1220,3005,40.60%,1015,173,1188
"District Judge, 113th Judicial District",0605,907,556,1463,5582,26.21%,366,1057,1423
"District Judge, 113th Judicial District",0606,176,70,246,937,26.25%,4,237,241
"District Judge, 113th Judicial District",0607,52,51,113,728,15.52%,13,95,108
"District Judge, 113th Judicial District",0608,31,47,78,537,14.53%,45,27,72
"District Judge, 113th Judicial District",0609,557,680,1347,3384,39.80%,843,447,1290
"District Judge, 113th Judicial District",0610,231,188,419,1927,21.74%,216,173,389
"District Judge, 113th Judicial District",0611,495,242,737,2488,29.62%,21,702,723
"District Judge, 113th Judicial District",0612,996,497,1493,3307,45.15%,1121,300,1421
"District Judge, 113th Judicial District",0613,186,204,390,1554,25.10%,63,317,380
"District Judge, 113th Judicial District",0614,737,566,1303,4207,30.97%,497,759,1256
"District Judge, 113th Judicial District",0615,450,299,779,1967,39.60%,497,259,756
"District Judge, 113th Judicial District",0616,739,663,1402,3436,40.80%,988,362,1350
"District Judge, 113th Judicial District",0617,541,393,934,3809,24.52%,388,530,918
"District Judge, 113th Judicial District",0618,946,567,1513,6003,25.20%,759,707,1466
"District Judge, 113th Judicial District",0619,1219,803,2022,4297,47.06%,1502,429,1931
"District Judge, 113th Judicial District",0620,689,264,953,2897,32.90%,586,327,913
"District Judge, 113th Judicial District",0621,154,101,255,1133,22.51%,132,111,243
"District Judge, 113th Judicial District",0622,881,524,1405,4403,31.91,%,860,501,1361
"District Judge, 113th Judicial District",0623,887,487,1374,3691,37.23%,937,382,1319
"District Judge, 113th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 113th Judicial District",0625,477,362,839,1820,46.10%,483,317,800
"District Judge, 113th Judicial District",0626,551,440,1021,2861,35.69%,564,410,974
"District Judge, 113th Judicial District",0627,345,322,668,3049,21.91,%,244,395,639
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0628,152,219,371,1675,22.15%,195,165,360
"District Judge, 113th Judicial District",0629,37,53,90,696,12.93%,16,74,90
"District Judge, 113th Judicial District",0630,974,600,1574,3905,40.31%,119,1413,1532
"District Judge, 113th Judicial District",0631,822,404,1226,2846,43.08%,896,288,1184
"District Judge, 113th Judicial District",0632,7,4,11,343,3.21%,4,7,11
"District Judge, 113th Judicial District",0633,943,731,1674,3559,47.04%,1190,425,1615
"District Judge, 113th Judicial District",0634,458,442,900,3029,29.71%,598,274,872
"District Judge, 113th Judicial District",0635,743,485,1228,3393,36.19%,931,264,1195
"District Judge, 113th Judicial District",0636,835,874,1710,4140,41.30%,1480,183,1663
"District Judge, 113th Judicial District",0637,409,362,771,2512,30.69%,192,535,727
"District Judge, 113th Judicial District",0638,304,245,549,2204,24.91%,44,488,532
"District Judge, 113th Judicial District",0639,549,547,1096,2526,43.39%,885,174,1059
"District Judge, 113th Judicial District",0640,641,459,1100,3733,29.47%,696,373,1069
"District Judge, 113th Judicial District",0641,649,596,1245,3650,34.11%,834,371,1205
"District Judge, 113th Judicial District",0642,471,394,865,1764,49.04%,695,137,832
"District Judge, 113th Judicial District",0643,934,653,1587,5945,26.69%,632,910,1542
"District Judge, 113th Judicial District",0644,1019,823,1842,5523,33.35%,1220,546,1766
"District Judge, 113th Judicial District",0645,654,594,1248,4185,29.82%,667,530,1197
"District Judge, 113th Judicial District",0646,364,287,651,2220,29.32%,206,403,609
"District Judge, 113th Judicial District",0647,904,470,1374,6084,22.58%,397,865,1262
"District Judge, 113th Judicial District",0648,838,579,1417,3367,42.08%,1022,348,1370
"District Judge, 113th Judicial District",0649,687,434,1121,4576,24.50%,375,676,1051
"District Judge, 113th Judicial District",0650,906,766,1672,3888,43.00%,1201,404,1605
"District Judge, 113th Judicial District",0651,963,766,1729,5128,33.72%,1109,550,1659
"District Judge, 113th Judicial District",0652,467,515,982,2815,34.88%,175,773,948
"District Judge, 113th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 113th Judicial District",0654,950,1005,1955,6208,31.49%,1100,794,1894
"District Judge, 113th Judicial District",0655,1115,1079,2195,6855,32.02%,1379,743,2122
"District Judge, 113th Judicial District",0656,579,393,972,2674,36.35%,39,913,952
"District Judge, 113th Judicial District",0657,246,172,418,1292,32.35%,172,232,404
"District Judge, 113th Judicial District",0658,540,426,966,2807,34.41%,627,321,948
"District Judge, 113th Judicial District",0659,1149,788,1937,4856,39.89%,1390,493,1883
"District Judge, 113th Judicial District",0660,950,825,1775,5372,33.04%,169,1573,1742
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Steven E. Kirkland,Totals
"District Judge, 113th Judicial District",0661,675,765,1440,4567,31.53%,849,535,1384
"District Judge, 113th Judicial District",0662,1148,890,2038,4874,41.81%,1634,349,1983
"District Judge, 113th Judicial District",0663,717,797,1514,3346,45.25%,741,679,1420
"District Judge, 113th Judicial District",0664,352,250,602,2869,20.98%,129,447,576
"District Judge, 113th Judicial District",0665,482,348,830,2154,38.53%,702,104,806
"District Judge, 113th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 113th Judicial District",0667,488,502,990,2149,46.07%,772,183,955
"District Judge, 113th Judicial District",0668,399,509,908,2775,32.72%,597,282,879
"District Judge, 113th Judicial District",0669,850,738,1,588,3425,46.36%,1125,393,1518
"District Judge, 113th Judicial District",0670,955,471,1427,2983,47.84%,1108,270,1378
