Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0427,179,134,313,1092,28.66%,145,151,296
County Clerk,0428,619,421,1040,4538,22.92%,324,633,957
County Clerk,0429,445,314,759,3197,23.74%,212,509,721
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0430,161,133,294,1657,17.74%,93,190,283
County Clerk,0431,327,84,411,3417,12.03%,152,241,393
County Clerk,0432,123,157,280,1455,19.24%,105,166,271
County Clerk,0433,50,63,113,581,19.45%,27,80,107
County Clerk,0434,370,289,659,1503,43.85%,421,202,623
County Clerk,0435,855,636,1491,3252,45.85%,987,434,1421
County Clerk,0436,629,531,1160,2933,39.55%,738,363,1101
County Clerk,0437,521,512,1033,2033,50.81%,734,248,982
County Clerk,0438,517,389,1006,1861,54.06%,771,178,949
County Clerk,0439,710,884,1594,3554,44.85%,1156,355,1511
County Clerk,0440,664,858,1522,2930,51.95%,1217,223,1440
County Clerk,0441,345,420,765,1669,45.84%,587,138,725
County Clerk,0442,612,574,1186,2575,46.06%,981,164,1145
County Clerk,0443,225,138,354,646,56.35%,258,86,344
County Clerk,0444,587,583,1270,3262,38.93%,814,399,1213
County Clerk,0445,499,348,847,2026,41.81%,586,235,821
County Clerk,0446,31,22,53,291,18.21%,26,24,50
County Clerk,0447,93,86,179,637,28.10%,50,120,170
County Clerk,0448,590,778,1368,3138,43.59%,758,532,1290
County Clerk,0449,12,23,35,198,17.68%,4,31,35
County Clerk,0450,435,328,763,2635,28.96%,241,495,736
County Clerk,0451,1002,510,1512,2687,56.27%,1238,209,1447
County Clerk,0452,554,444,998,3048,32.74%,736,237,973
County Clerk,0453,231,262,493,1937,25.45%,201,273,474
County Clerk,0454,594,248,842,2561,32.88%,12,815,827
County Clerk,0455,367,165,532,1689,31.50%,17,505,522
County Clerk,0456,482,362,844,3513,24.03%,501,323,824
County Clerk,0457,0,0,0,0,0.00%,0,0,0
County Clerk,0458,471,237,708,1924,36.80%,37,650,687
County Clerk,0459,951,474,1425,3021,47.17%,1136,245,1381
County Clerk,0460,554,331,885,2837,31.19%,226,638,864
County Clerk,0461,1155,735,1900,3871,49.08%,1348,451,1799
County Clerk,0462,674,619,1293,3384,38.21%,477,762,1239
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0463,480,404,884,3326,26.58%,406,451,857
County Clerk,0464,356,430,786,2257,34.82%,564,199,763
County Clerk,0465,687,520,1207,3564,33.87%,688,481,1169
County Clerk,0466,1058,614,1672,4184,39.96%,984,636,1620
County Clerk,0467,213,189,402,1270,31.65%,101,291,392
County Clerk,0468,352,443,795,3598,22.10%,251,512,763
County Clerk,0469,1294,547,1841,3985,46.20%,1464,306,1770
County Clerk,0470,185,176,361,1326,27.22%,268,75,343
County Clerk,0471,375,380,755,2387,31.63%,600,135,735
County Clerk,0472,198,278,476,1081,44.03%,195,241,436
County Clerk,0473,599,391,990,1806,54.82%,693,252,945
County Clerk,0474,559,588,1147,3037,37.77%,792,315,1107
County Clerk,0475,189,267,456,1809,25.21%,223,212,435
County Clerk,0476,404,473,877,2430,36.09%,495,349,844
County Clerk,0477,737,567,1304,3505,37.20%,985,275,1260
County Clerk,0478,958,657,1615,4461,36.20%,1099,455,1554
County Clerk,0479,638,612,1250,2714,46.06%,939,268,1207
County Clerk,0480,493,450,943,2415,39.05%,679,226,905
County Clerk,0481,770,623,1393,3482,40.01%,1070,270,1340
County Clerk,0482,878,630,1508,4373,34.48%,1077,386,1463
County Clerk,0483,1042,478,1520,4308,35.28%,900,563,1463
County Clerk,0484,1107,930,2037,4979,40.91%,1477,500,1977
County Clerk,0485,1095,911,2006,5388,37.23%,1565,394,1959
County Clerk,0486,873,855,1728,3866,44.70%,1365,298,1663
County Clerk,0487,570,294,864,3860,22.38%,305,491,796
County Clerk,0488,268,254,522,1719,30.37%,195,289,484
County Clerk,0489,350,290,640,1893,33.81%,214,396,610
County Clerk,0490,444,368,812,1975,41.11%,295,488,783
County Clerk,0491,314,372,686,1888,36.33%,422,235,657
County Clerk,0492,556,410,966,2335,41.37%,605,330,935
County Clerk,0493,479,322,801,1853,43.23%,546,221,767
County Clerk,0494,381,247,628,2467,25.46%,80,533,613
County Clerk,0495,522,523,1045,2375,44.00%,749,235,984
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0496,190,315,505,2160,23.38%,200,291,491
County Clerk,0497,526,243,769,2257,34.07%,25,725,750
County Clerk,0498,363,323,686,2297,29.87%,309,361,670
County Clerk,0499,750,518,1268,2326,54.51%,941,263,1204
County Clerk,0500,729,715,1444,3507,41.17%,1002,396,1398
County Clerk,0501,341,417,758,1801,42.09%,284,428,712
County Clerk,0502,477,350,827,2501,33.07%,677,128,805
County Clerk,0503,174,116,290,1374,21.11%,110,159,269
County Clerk,0504,524,527,1151,2288,50.31%,762,338,1100
County Clerk,0505,531,562,1193,3773,31.62%,540,588,1128
County Clerk,0506,665,670,1335,3502,38.12%,239,1059,1298
County Clerk,0507,221,149,370,2452,15.09%,75,228,303
County Clerk,0508,492,412,904,3287,27.50%,352,487,839
County Clerk,0509,753,596,1349,3732,36.15%,953,334,1287
County Clerk,0510,687,514,1201,3590,33.45%,619,541,1160
County Clerk,0511,0,0,0,0,0.00%,0,0,0
County Clerk,0512,602,660,1262,5057,24.96%,598,633,1231
County Clerk,0513,1019,487,1506,2894,52.04%,1173,277,1450
County Clerk,0514,953,720,1673,4275,39.13%,1277,340,1617
County Clerk,0515,942,683,1625,3455,47.03%,1321,248,1569
County Clerk,0516,1000,800,1800,5356,33.61%,963,766,1729
County Clerk,0517,481,256,737,2954,24.95%,426,290,716
County Clerk,0518,635,693,1328,3943,33.68%,874,411,1285
County Clerk,0519,623,493,1116,2966,37.63%,840,246,1086
County Clerk,0520,473,457,930,4580,20.31%,172,738,910
County Clerk,0521,471,464,935,2866,32.62%,500,403,903
County Clerk,0522,715,572,1288,2689,47.90%,1008,240,1248
County Clerk,0523,751,415,1166,3052,38.20%,794,329,1123
County Clerk,0524,567,459,1026,3410,30.09%,355,636,991
County Clerk,0525,707,482,1189,3091,38.47%,272,869,1141
County Clerk,0526,58,84,152,780,19.49%,46,96,142
County Clerk,0527,37,40,77,574,13.41%,40,34,74
County Clerk,0528,14,12,26,90,28.89%,1,25,26
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0529,1043,491,1534,3710,41.35%,1319,164,1483
County Clerk,0530,114,107,221,1196,18.48%,56,153,209
County Clerk,0531,363,174,537,1145,46.90%,415,99,514
County Clerk,0532,205,146,351,1048,33.49%,257,86,343
County Clerk,0533,124,108,232,1119,20.73%,135,83,218
County Clerk,0534,783,524,1,307,3837,34.06%,986,266,1252
County Clerk,0535,33,29,62,416,14.90%,31,30,61
County Clerk,0536,554,780,1334,5139,25.96%,530,761,1291
County Clerk,0537,855,778,1633,3050,53.54%,1205,368,1573
County Clerk,0538,204,160,364,1303,27.94%,8,350,358
County Clerk,0539,15,241,256,64,400.00%,76,161,237
County Clerk,0540,378,316,694,1567,44.29%,287,359,646
County Clerk,0541,784,505,1289,4599,28.03%,186,1052,1238
County Clerk,0542,360,382,742,2557,29.02%,43,669,712
County Clerk,0543,141,213,354,1565,22.62%,115,218,333
County Clerk,0544,35,41,77,310,24.84%,12,64,76
County Clerk,0545,596,620,1216,3629,33.51%,622,557,1179
County Clerk,0546,2,2,4,37,10.81%,3,0,3
County Clerk,0547,501,466,967,2406,40.19%,673,260,933
County Clerk,0548,286,293,579,2215,26.14%,309,255,564
County Clerk,0549,343,418,761,2663,28.58%,107,639,746
County Clerk,0550,501,431,932,3031,30.75%,537,363,900
County Clerk,0551,1288,1394,2682,7034,38.13%,2040,577,2617
County Clerk,0552,847,883,1730,3415,50.66%,1446,231,1677
County Clerk,0553,578,529,1107,4686,23.62%,498,578,1076
County Clerk,0554,261,199,460,1757,26.18%,103,327,430
County Clerk,0555,225,277,502,2219,22.62%,113,371,484
County Clerk,0556,276,186,462,2319,19.92%,136,311,447
County Clerk,0557,455,183,638,2830,22.54%,269,296,565
County Clerk,0558,693,463,1156,4380,26.39%,401,714,1115
County Clerk,0559,640,494,1134,4969,22.82%,351,742,1093
County Clerk,0560,72,131,203,1120,18.13%,53,136,189
County Clerk,0561,362,436,798,3064,26.04%,488,281,769
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0562,113,68,181,694,26.08%,24,154,178
County Clerk,0563,1107,376,1483,3105,47.76%,1172,256,1428
County Clerk,0564,470,426,896,3155,28.40%,237,617,854
County Clerk,0565,108,78,186,1354,13.74%,42,130,172
County Clerk,0566,417,324,741,2882,25.71%,228,494,722
County Clerk,0567,301,193,494,2238,22.07%,165,292,457
County Clerk,0568,876,685,1561,3594,43.43%,1032,446,1478
County Clerk,0569,572,667,1239,3525,35.15%,680,504,1184
County Clerk,0570,238,210,448,1562,28.68%,153,261,414
County Clerk,0571,155,149,304,1827,16.64%,121,174,295
County Clerk,0572,555,375,930,3108,29.92%,492,409,901
County Clerk,0573,290,151,441,1619,27.24%,8,429,437
County Clerk,0574,31,42,73,402,18.16%,9,63,72
County Clerk,0575,13,11,24,74,32.43%,18,5,23
County Clerk,0576,485,318,803,2734,29.37%,23,765,788
County Clerk,0577,147,88,235,608,38.65%,143,81,224
County Clerk,0578,409,538,947,1799,52.64%,590,317,907
County Clerk,0579,75,101,176,1056,16.67%,33,134,167
County Clerk,0580,179,118,297,1031,28.81%,6,279,285
County Clerk,0581,212,174,386,1032,37.40%,11,364,375
County Clerk,0582,258,171,429,1588,27.02%,21,397,418
County Clerk,0583,225,131,356,1262,28.21%,11,340,351
County Clerk,0584,182,93,275,1014,27.12%,11,260,271
County Clerk,0585,417,172,589,2511,23.46%,21,555,576
County Clerk,0586,638,680,1318,4316,30.54%,803,473,1276
County Clerk,0587,436,284,720,2598,27.71%,283,418,701
County Clerk,0588,758,674,1432,3645,39.29%,1031,355,1386
County Clerk,0589,500,386,886,3420,25.91%,491,370,861
County Clerk,0590,772,399,1171,2162,54.16%,924,208,1132
County Clerk,0591,183,231,414,2121,19.52%,123,273,396
County Clerk,0592,133,157,290,1350,21.48%,77,202,279
County Clerk,0593,543,564,1107,4380,25.27%,540,515,1055
County Clerk,0594,561,326,887,2490,35.62%,251,610,861
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0595,201,178,379,1693,22.39%,70,298,368
County Clerk,0596,441,348,789,3007,26.24%,445,318,763
County Clerk,0597,367,394,761,3653,20.83%,328,421,749
County Clerk,0598,195,57,252,728,34.62%,204,41,245
County Clerk,0599,850,578,1428,4950,28.85%,517,876,1393
County Clerk,0600,667,429,1096,3957,27.70%,447,610,1057
County Clerk,0601,1073,756,1829,4057,45.08%,1398,384,1782
County Clerk,0602,293,235,528,1326,39.82%,388,127,515
County Clerk,0603,884,794,1678,4843,34.65%,1079,561,1640
County Clerk,0604,702,518,1220,3005,40.60%,1015,168,1183
County Clerk,0605,907,556,1463,5582,26.21%,365,1065,1430
County Clerk,0606,176,70,246,937,26.25%,3,239,242
County Clerk,0607,62,51,113,728,15.52%,13,96,109
County Clerk,0608,31,47,78,537,14.53%,44,29,73
County Clerk,0609,667,680,1347,3384,39.80%,844,442,1286
County Clerk,0610,231,188,419,1927,21.74%,217,174,391
County Clerk,0611,495,242,737,2488,29.62%,22,702,724
County Clerk,0612,996,497,1493,3307,45.15%,1131,295,1426
County Clerk,0613,186,204,390,1554,25.10%,66,313,379
County Clerk,0614,737,566,1303,4207,30.97%,505,758,1263
County Clerk,0615,480,299,779,1967,39.60%,502,259,761
County Clerk,0616,739,663,1402,3436,40.80%,984,369,1353
County Clerk,0617,541,393,934,3809,24.52%,384,529,913
County Clerk,0618,946,567,1513,6003,25.20%,756,712,1468
County Clerk,0619,1219,803,2022,4297,47.06%,1515,422,1937
County Clerk,0620,689,264,953,2897,32.90%,613,301,914
County Clerk,0621,154,101,255,1133,22.51%,137,108,245
County Clerk,0622,881,524,1405,4403,31.91,%,874,490,1364
County Clerk,0623,887,487,1374,3691,37.23%,943,381,1324
County Clerk,0624,1,1,2,3,66.67%,1,1,2
County Clerk,0625,477,362,839,1820,46.10%,493,304,797
County Clerk,0626,581,440,1021,2861,35.69%,583,398,981
County Clerk,0627,346,322,668,3049,21.91%,243,396,639
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0628,152,219,371,1675,22.15%,197,163,360
County Clerk,0629,37,53,90,696,12.93%,16,74,90
County Clerk,0630,974,600,1574,3905,40.31%,117,1418,1535
County Clerk,0631,822,404,1226,2846,43.08%,906,281,1187
County Clerk,0632,7,4,11,343,3.21%,4,7,11
County Clerk,0633,943,731,1674,3559,47.04%,1188,431,1619
County Clerk,0634,458,442,900,3029,29.71%,599,273,872
County Clerk,0635,743,485,1228,3393,36.19%,926,267,1193
County Clerk,0636,836,874,1710,4140,41.30%,1483,173,1656
County Clerk,0637,409,362,771,2512,30.69%,183,541,724
County Clerk,0638,304,245,549,2204,24.91%,45,483,528
County Clerk,0639,549,547,1096,2526,43.39%,889,166,1055
County Clerk,0640,641,459,1100,3733,29.47%,691,376,1067
County Clerk,0641,649,596,1245,3650,34.11%,831,376,1207
County Clerk,0642,471,394,865,1764,49.04%,687,142,829
County Clerk,0643,934,653,1587,5945,26.69%,626,913,1539
County Clerk,0644,1019,823,1842,5523,33.35%,1226,545,1771
County Clerk,0645,654,594,1248,4185,29.82%,695,511,1206
County Clerk,0646,364,287,651,2220,29.32%,206,411,617
County Clerk,0647,904,470,1374,6084,22.58%,374,891,1265
County Clerk,0648,838,579,1417,3367,42.08%,1023,356,1379
County Clerk,0649,687,434,1121,4576,24.50%,368,686,1054
County Clerk,0650,906,766,1672,3888,43.00%,1224,384,1608
County Clerk,0651,963,766,1729,5128,33.72%,1115,554,1669
County Clerk,0652,467,515,982,2815,34.88%,166,787,953
County Clerk,0653,0,4,4,0,0.00%,0,4,4
County Clerk,0654,950,1005,1955,6208,31.49%,1085,811,1896
County Clerk,0655,1116,1079,2195,6855,32.02%,1383,738,2121
County Clerk,0656,579,393,972,2674,36.35%,38,916,954
County Clerk,0657,246,172,418,1292,32.35%,172,235,407
County Clerk,0658,540,426,966,2807,34.41%,633,311,944
County Clerk,0659,1149,788,1937,4856,39.89%,1385,495,1880
County Clerk,0660,950,825,1775,5372,33.04%,166,1569,1735
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0661,675,765,1440,4567,31.53%,850,550,1400
County Clerk,0662,1148,890,2038,4874,41.81%,1641,338,1979
County Clerk,0663,717,797,1514,3346,45.25%,772,663,1435
County Clerk,0664,352,250,602,2869,20.98%,132,444,576
County Clerk,0665,482,348,830,2154,38.53%,702,102,804
County Clerk,0666,0,0,0,0,0.00%,0,0,0
County Clerk,0667,488,502,990,2149,46.07%,784,179,963
County Clerk,0668,399,509,908,2775,32.72%,594,293,887
County Clerk,0669,850,738,1588,3425,46.36%,1161,373,1534
County Clerk,0670,955,471,1427,2983,47.84%,1132,244,1376
County Clerk,0671,403,565,968,3037,31.87%,595,339,934
County Clerk,0672,959,862,1821,5706,31.91%,1244,526,1770
County Clerk,0673,729,516,1245,2995,41.57%,986,214,1200
County Clerk,0674,1071,618,1689,4091,41.29%,1266,367,1633
County Clerk,0675,0,1,1,0,0.00%,1,0,1
County Clerk,0676,0,0,0,0,0.00%,0,0,0
County Clerk,0677,127,127,254,1266,20.06%,95,149,244
County Clerk,0678,166,108,274,735,37.28%,181,79,260
County Clerk,0679,635,520,1155,3381,34.16%,870,237,1107
County Clerk,0680,21,14,35,162,21.60%,13,21,34
County Clerk,0681,1,0,1,5,20.00%,1,0,1
County Clerk,0682,711,654,1365,4216,32.38%,1008,315,1323
County Clerk,0683,29,20,49,276,17.75%,12,34,46
County Clerk,0684,27,22,49,223,21.97%,27,20,47
County Clerk,0685,110,29,139,307,45.28%,63,69,132
County Clerk,0686,17,12,29,208,13.94%,12,16,28
County Clerk,0687,549,537,1085,2609,41.63%,744,291,1035
County Clerk,0688,999,617,1616,3504,46.12%,1298,273,1571
County Clerk,0689,211,387,598,2346,25.49%,307,262,569
County Clerk,0690,926,1104,2030,5102,39.79%,1653,323,1976
County Clerk,0691,2,5,7,25,28.00%,3,4,7
County Clerk,0692,444,548,992,2847,34.84%,755,203,958
County Clerk,0693,167,91,258,666,38.74%,74,172,246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0694,260,120,380,845,44.97%,265,93,358
County Clerk,0695,232,193,425,1724,24.65%,270,141,411
County Clerk,0696,261,207,468,1982,23.61%,295,153,448
County Clerk,0697,605,613,1218,4413,27.60%,311,871,1182
County Clerk,0698,448,489,937,3189,29.38%,100,814,914
County Clerk,0699,568,414,982,2343,41.91,%,665,262,927
County Clerk,0700,255,251,506,1371,36.91%,423,66,489
County Clerk,0701,56,43,99,588,16.84%,60,32,92
County Clerk,0702,54,70,134,539,24.86%,18,114,132
County Clerk,0703,372,490,862,1882,45.80%,632,191,823
County Clerk,0704,569,599,1168,3064,38.12%,944,185,1129
County Clerk,0705,114,113,227,1523,14.90%,32,185,217
County Clerk,0706,115,71,186,610,30.49%,96,83,179
County Clerk,0707,153,86,239,707,33.80%,159,69,228
County Clerk,0708,54,52,106,563,18.83%,50,47,97
County Clerk,0709,1375,947,2322,6848,33.91%,1412,848,2260
County Clerk,0710,371,462,833,2082,40.01%,469,315,784
County Clerk,0711,702,506,1208,3484,34.67%,744,407,1151
County Clerk,0712,491,463,954,3670,25.99%,403,534,937
County Clerk,0713,228,262,490,1907,25.69%,252,221,473
County Clerk,0714,35,19,55,296,18.58%,33,20,53
County Clerk,0715,176,187,363,1408,25.78%,207,137,344
County Clerk,0716,449,407,856,2680,31.94%,606,231,837
County Clerk,0717,373,250,623,2002,31.12%,77,528,605
County Clerk,0718,1017,806,1823,4229,43.11%,1305,435,1740
County Clerk,0719,247,137,384,1589,24.17%,232,138,370
County Clerk,0720,994,780,1774,4282,41.43%,1341,381,1722
County Clerk,0721,754,532,1286,2870,44.81%,856,374,1230
County Clerk,0722,871,494,1365,4479,30.48%,101,1224,1325
County Clerk,0723,401,202,603,1858,32.45%,134,447,581
County Clerk,0724,151,128,279,766,36.42%,217,52,269
County Clerk,0725,423,237,660,2237,29.50%,313,331,644
County Clerk,0726,592,402,994,2087,47.63%,872,101,973
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0727,338,290,628,2488,25.24%,213,386,599
County Clerk,0728,209,151,360,880,40.91%,222,114,336
County Clerk,0729,136,59,195,464,42.03%,122,70,192
County Clerk,0730,428,359,787,1747,45.05%,525,224,749
County Clerk,0731,58,27,85,352,24.15%,24,58,82
County Clerk,0732,441,324,765,1924,39.76%,484,245,729
County Clerk,0733,13,7,20,215,9.30%,8,10,18
County Clerk,0734,1558,962,2520,7005,35.97%,1742,707,2449
County Clerk,0735,8,0,6,18,33.33%,6,0,6
County Clerk,0736,3,1,4,22,18.18%,0,3,3
County Clerk,0737,11,7,18,51,35.29%,14,4,18
County Clerk,0738,139,100,239,1361,17.56%,46,187,233
County Clerk,0739,353,301,654,2955,22.13%,344,287,631
County Clerk,0740,96,98,194,939,20.66%,128,58,186
County Clerk,0741,0,1,1,0,0.00%,0,0,0
County Clerk,0742,0,11,11,0,0.00%,6,5,11
County Clerk,0743,15,18,33,210,15.71%,18,13,31
County Clerk,0744,456,392,848,2027,41.84%,559,248,807
County Clerk,0745,683,372,1055,2494,42.30%,657,353,1010
County Clerk,0746,114,77,191,691,27.64%,92,96,188
County Clerk,0747,550,467,1017,3743,27.17%,505,488,993
County Clerk,0748,170,140,310,1403,22.10%,162,139,301
County Clerk,0749,30,17,47,377,12.47%,9,37,46
County Clerk,0750,111,96,207,767,26.99%,129,75,204
County Clerk,0751,925,964,1889,5084,37.16%,1248,579,1827
County Clerk,0752,286,200,486,1483,32.77%,369,99,468
County Clerk,0753,55,73,128,259,49.42%,82,41,123
County Clerk,0754,0,0,0,0,0.00%,0,0,0
County Clerk,0755,442,584,1026,4294,23.89%,450,536,986
County Clerk,0756,251,177,428,1600,26.75%,172,242,414
County Clerk,0757,520,508,1028,4035,25.48%,182,816,998
County Clerk,0758,1114,692,1806,4096,44.09%,1468,287,1755
County Clerk,0759,465,413,878,2730,32.16%,565,285,850
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0760,1432,639,2071,4367,47.42%,1733,263,1996
County Clerk,0761,548,253,801,1550,51.68%,574,186,760
County Clerk,0762,0,0,0,0,0.00%,0,0,0
County Clerk,0763,108,146,254,1212,20.96%,104,139,243
County Clerk,0764,1133,774,1907,5217,36.55%,1210,644,1854
County Clerk,0765,647,426,1073,4055,26.46%,451,570,1021
County Clerk,0766,40,25,65,392,16.58%,17,43,60
County Clerk,0767,10,2,12,86,13.95%,6,5,11
County Clerk,0768,1359,1015,2374,5857,40.53%,1939,385,2324
County Clerk,0769,54,16,70,183,38.25%,3,66,69
County Clerk,0770,31,25,56,323,17.34%,26,26,52
County Clerk,0771,324,254,578,2426,23.83%,333,229,562
County Clerk,0772,1792,851,2643,5709,46.30%,2033,505,2538
County Clerk,0773,473,312,785,2918,26.90%,220,500,720
County Clerk,0774,30,41,71,378,18.78%,15,54,69
County Clerk,0775,18,3,21,92,22.83%,0,21,21
County Clerk,0776,551,496,1047,3053,34.29%,625,387,1012
County Clerk,0777,46,40,86,652,13.19%,30,55,85
County Clerk,0778,0,0,0,0,0.00%,0,0,0
County Clerk,0779,64,51,115,940,12.23%,40,70,110
County Clerk,0780,63,59,122,595,20.50%,70,49,119
County Clerk,0781,666,273,939,3603,26.06%,431,421,852
County Clerk,0782,368,370,738,2236,33.01%,454,259,713
County Clerk,0783,49,13,62,294,21.09%,45,15,60
County Clerk,0784,208,128,336,1079,31.14%,7,314,321
County Clerk,0785,28,25,53,296,17.91%,28,25,53
County Clerk,0786,100,98,198,1251,15.83%,75,118,193
County Clerk,0787,46,52,98,488,20.08%,34,62,96
County Clerk,0788,74,32,106,454,23.35%,50,52,102
County Clerk,0789,0,3,3,3,100.00%,1,2,3
County Clerk,0790,0,0,0,3,0.00%,0,0,0
County Clerk,0791,0,0,0,0,0.00%,0,0,0
County Clerk,0792,269,239,508,1865,27.24%,128,358,486
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0793,448,247,695,2484,27.98%,425,253,678
County Clerk,0794,124,144,268,2710,9.89%,34,230,264
County Clerk,0795,90,125,215,1217,17.67%,81,126,207
County Clerk,0796,83,51,134,476,28.15%,75,55,130
County Clerk,0797,0,0,0,0,0.00%,0,0,0
County Clerk,0798,99,111,210,500,42.00%,82,120,202
County Clerk,0799,28,15,43,161,26.71%,8,35,43
County Clerk,0800,588,642,1230,2932,41.95%,843,335,1178
County Clerk,0801,32,14,46,258,17.83%,15,29,44
County Clerk,0802,51,27,78,312,25.00%,15,61,76
County Clerk,0803,725,511,1236,2893,42.72%,922,283,1205
County Clerk,0804,932,591,1523,4768,31.94%,967,516,1483
County Clerk,0805,765,533,1298,2866,45.29%,1054,205,1259
County Clerk,0806,0,0,0,0,0.00%,0,0,0
County Clerk,0807,211,204,415,2028,20.46%,96,306,402
County Clerk,0808,12,17,29,131,22.14%,7,21,28
County Clerk,0809,7,6,13,92,14.13%,5,6,11
County Clerk,0810,9,16,25,211,11.85%,7,17,24
County Clerk,0811,29,50,79,270,29.26%,26,51,77
County Clerk,0812,0,0,0,0,0.00%,0,0,0
County Clerk,0813,938,761,1699,5807,29.26%,854,804,1658
County Clerk,0814,673,533,1206,5102,23.64%,302,867,1169
County Clerk,0815,0,0,0,0,0.00%,0,0,0
County Clerk,0816,10,0,10,73,13.70%,3,7,10
County Clerk,0817,0,0,0,0,0.00%,0,0,0
County Clerk,0818,86,39,125,616,20.29%,28,93,121
County Clerk,0819,64,30,94,240,39.17%,51,34,85
County Clerk,0820,0,0,0,0,0.00%,0,0,0
County Clerk,0821,124,120,244,1242,19.65%,32,205,237
County Clerk,0822,332,167,499,1535,32.51%,16,468,484
County Clerk,0823,821,564,1385,5087,27.23%,799,547,1346
County Clerk,0824,428,282,710,2700,26.30%,156,539,695
County Clerk,0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0826,73,50,123,358,34.36%,67,53,120
County Clerk,0827,60,98,158,979,16.14%,70,83,153
County Clerk,0828,541,388,929,1916,48.49%,750,144,894
County Clerk,0829,54,22,76,264,28.79%,19,56,75
County Clerk,0830,0,0,0,2,0.00%,0,0,0
County Clerk,0831,0,0,0,0,0.00%,0,0,0
County Clerk,0832,34,28,62,352,17.61%,17,41,58
County Clerk,0833,0,1,1,20,5.00%,0,1,1
County Clerk,0834,0,0,0,0,0.00%,0,0,0
County Clerk,0835,38,19,57,290,19.66%,14,39,53
County Clerk,0836,3,0,3,19,15.79%,1,2,3
County Clerk,0837,0,0,0,0,0.00%,0,0,0
County Clerk,0838,0,0,0,0,0.00%,0,0,0
County Clerk,0839,136,118,254,1128,22.52%,53,190,243
County Clerk,0840,381,174,555,1705,32.55%,198,348,546
County Clerk,0841,0,0,0,0,0.00%,0,0,0
County Clerk,0842,421,434,855,3259,26.24%,397,429,826
County Clerk,0843,0,1,1,0,0.00%,0,1,1
County Clerk,0844,1,0,1,11,9.09%,0,1,1
County Clerk,0845,54,9,63,134,47.01%,39,21,60
County Clerk,0846,23,24,47,229,20.52%,2,44,46
County Clerk,0847,305,211,516,2015,25.61%,143,358,501
County Clerk,0848,489,266,755,1856,40.68%,234,494,728
County Clerk,0849,201,291,492,2124,23.16%,186,287,473
County Clerk,0850,46,41,87,210,41.43%,35,51,86
County Clerk,0851,1029,657,1686,4709,35.80%,1137,498,1635
County Clerk,0852,0,0,0,1,0.00%,0,0,0
County Clerk,0853,575,620,1296,2882,44.97%,992,253,1245
County Clerk,0854,15,26,41,172,23.84%,8,31,39
County Clerk,0855,5,9,14,16,87.50%,5,8,13
County Clerk,0856,0,1,1,0,0.00%,0,1,1
County Clerk,0857,0,0,0,1,0.00%,0,0,0
County Clerk,0858,63,34,97,343,28.28%,4,90,94
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
