Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0100,165,173,338,1730,19.54%,173,156,329
County Clerk,0101,72,58,130,946,13.74%,46,80,126
County Clerk,0102,207,121,328,1872,17.52%,87,227,314
County Clerk,0103,700,714,1414,5371,26.33%,800,578,1378
County Clerk,0104,530,231,761,1905,39.95%,17,727,744
County Clerk,0105,196,210,406,2165,18.75%,127,245,372
County Clerk,0106,18,7,25,294,8.50%,15,9,24
County Clerk,0107,154,197,351,2032,17.27%,56,280,336
County Clerk,0108,558,272,940,3365,27.93%,566,350,916
County Clerk,0109,529,245,774,2824,27.41%,9,745,754
County Clerk,0110,654,494,1148,3042,37.74%,746,368,1114
County Clerk,0111,816,795,1611,4102,39.27%,1179,372,1551
County Clerk,0112,542,485,1027,2976,34.51%,755,231,986
County Clerk,0113,562,429,991,2647,37.44%,604,348,952
County Clerk,0114,707,547,1254,3311,37.87%,1013,215,1228
County Clerk,0115,238,150,388,1800,21.56%,50,327,377
County Clerk,0116,982,776,1758,3147,55.86%,1343,316,1659
County Clerk,0117,215,226,441,1880,23.46%,218,204,422
County Clerk,0118,304,123,427,759,56.26%,361,53,414
County Clerk,0119,1288,1024,2312,5500,42.04%,1879,354,2233
County Clerk,0120,712,422,1134,3191,35.54%,740,353,1093
County Clerk,0121,92,178,270,848,31.84%,190,69,259
County Clerk,0122,352,225,577,1890,30.53%,19,535,554
County Clerk,0123,284,288,572,1392,41.09%,144,402,546
County Clerk,0124,1734,1292,3026,7254,41.71%,2419,538,2957
County Clerk,0125,415,332,747,2405,31.06%,450,274,724
County Clerk,0126,893,467,1360,3100,43.87%,1214,120,1334
County Clerk,0127,435,154,589,1836,32.08%,417,141,558
County Clerk,0128,445,707,1152,2290,50.31%,725,344,1069
County Clerk,0129,1030,1200,2230,5746,38.81%,1415,717,2132
County Clerk,0130,727,523,1250,2333,53.58%,933,260,1193
County Clerk,0131,251,259,510,1935,26.36%,124,363,487
County Clerk,0132,593,323,916,2387,38.37%,19,877,896
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stan Stanart,DEM Ann Harris Bennett,Totals
County Clerk,0133,513,858,1371,2662,51.50%,791,478,1269
County Clerk,0134,192,265,457,1437,31.80%,211,228,439
County Clerk,0135,727,579,1305,2671,48.90%,921,308,1229
County Clerk,0136,503,371,874,2013,43.42%,32,819,851
County Clerk,0137,166,141,307,716,42.88%,148,136,284
County Clerk,0138,296,199,495,1699,29.13%,16,469,485
County Clerk,0139,699,551,1250,3037,41.16%,557,631,1188
County Clerk,0140,699,480,1179,3214,36.68%,145,993,1138
County Clerk,0141,80,80,160,855,18.71%,96,57,153
County Clerk,0142,87,103,190,902,21.06%,60,123,183
County Clerk,0143,1962,580,2542,6386,39.81%,1827,655,2482
County Clerk,0144,216,158,374,1093,34.22%,7,358,365
County Clerk,0145,264,213,477,1538,31.01%,9,455,464
County Clerk,0146,426,519,945,2008,47.06%,419,476,895
County Clerk,0147,589,329,1018,3008,33.84%,128,868,996
County Clerk,0148,500,780,1280,2540,50.39%,512,684,1196
County Clerk,0149,1621,737,2358,7993,29.50%,1230,1079,2309
County Clerk,0150,236,169,405,1256,32.25%,17,383,400
County Clerk,0151,137,79,216,826,26.15%,10,201,211
County Clerk,0152,213,299,512,2788,18.36%,135,356,491
County Clerk,0153,125,206,331,1808,18.31%,105,212,317
County Clerk,0154,249,183,432,2190,19.73%,117,291,408
County Clerk,0155,1022,619,1641,4109,39.94%,1140,447,1587
County Clerk,0156,799,326,1125,3071,36.63%,37,1064,1101
County Clerk,0157,448,214,662,2236,29.61%,24,620,644
County Clerk,0158,600,315,915,3035,30.15%,27,865,892
County Clerk,0159,116,127,243,998,24.35%,38,198,236
County Clerk,0160,122,73,195,696,28.02%,5,186,191
County Clerk,0161,163,141,304,991,30.68%,4,291,295
County Clerk,0162,101,83,184,1265,14.55%,66,106,172
County Clerk,0163,230,320,550,3037,18.11%,227,296,523
County Clerk,0164,182,205,387,1420,27.25%,12,369,381
