Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0094,51,43,94,549,17.12%,23,43,2,1,69
Straight Party,0095,917,576,1493,3177,46.99%,751,193,4,2,950
Straight Party,0096,83,83,166,1296,12.81%,12,115,0,1,128
Straight Party,0097,1024,725,1749,4828,36.23%,927,257,3,1,1188
Straight Party,0098,403,488,891,2651,33.61%,553,80,5,1,639
Straight Party,0099,254,184,438,2092,20.94%,158,162,4,1,325
Straight Party,0100,185,173,338,1730,19.54%,125,114,0,3,242
Straight Party,0101,72,58,130,948,13.74%,33,82,0,0,95
Straight Party,0102,207,121,328,1872,17.52%,85,178,3,0,248
Straight Party,0103,701,714,1415,5371,28.35%,803,414,4,4,1025
Straight Party,0104,530,231,781,1905,39.95%,14,813,0,1,828
Straight Party,0105,198,210,408,2185,18.75%,87,188,5,3,283
Straight Party,0108,18,7,25,294,8.50%,14,8,0,0,22
Straight Party,0107,154,197,351,2032,17.27%,44,240,0,1,285
Straight Party,0108,558,272,940,3385,27.93%,423,241,8,1,873
Straight Party,0109,530,245,775,2824,27.44%,4,838,0,1,841
Straight Party,0110,854,494,1148,3042,37.74%,553,222,8,0,783
Straight Party,0111,818,795,1811,4102,39.27%,875,222,10,0,1107
Straight Party,0112,542,485,1027,2978,34.51%,558,143,13,0,712
Straight Party,0113,582,429,991,2847,37.44%,428,214,4,4,850
Straight Party,0114,707,547,1254,3311,37.87%,777,131,8,2,918
Straight Party,0115,238,150,388,1800,21.58%,34,278,0,3,315
Straight Party,0118,982,778,1758,3147,55.88%,888,150,4,1,1043
Straight Party,0117,218,228,442,1880,23.51%,153,149,2,2,308
Straight Party,0118,304,123,427,759,58.28%,242,27,4,0,273
Straight Party,0119,1291,1024,2315,5500,42.09%,1388,220,8,2,1818
Straight Party,0120,713,422,1135,3191,35.57%,548,215,4,1,788
Straight Party,0121,92,178,270,848,31.84%,152,58,1,1,210
Straight Party,0122,352,225,577,1890,30.53%,9,441,2,2,454
Straight Party,0123,285,288,573,1392,41.18%,78,245,3,0,324
Straight Party,0124,1734,1292,3028,7254,41.71%,1823,338,12,2,2173
Straight Party,0125,415,332,747,2405,31.08%,335,170,8,3,514
Straight Party,0128,893,487,1380,3100,43.87%,929,79,8,0,1018
Straight Party,0127,435,154,589,1838,32.08%,308,89,2,2,401
Straight Party,0128,445,707,1152,2290,50.31%,404,181,4,0,589
Straight Party,0129,1033,1200,2233,5748,38.88%,945,408,13,3,1389
Straight Party,0130,727,523,1250,2333,53.58%,888,180,2,1,829
Straight Party,0131,251,259,510,1935,28.38%,97,288,1,1,385
Straight Party,0132,593,323,918,2387,38.37%,10,753,2,3,788
Straight Party,0133,514,858,1372,2662,51.54%,445,240,10,1,696
Straight Party,0134,192,265,457,1437,31.80%,141,157,2,1,301
Straight Party,0135,732,579,1311,2671,49.08%,568,172,7,0,747
Straight Party,0136,503,371,874,2013,43.42%,17,582,1,3,603
Straight Party,0137,166,141,307,716,42.88%,76,56,1,0,133
Straight Party,0138,296,199,495,1699,29.13%,9,416,0,2,427
Straight Party,0139,701,551,1252,3037,41.22%,313,343,7,6,669
Straight Party,0140,701,480,1181,3214,36.75%,73,687,3,2,765
Straight Party,0141,80,80,160,855,18.71%,70,41,1,0,112
