Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0078,180,201,381,1522,25.03%,137,222,359
"District Judge, 208th Judicial District",0079,205,306,511,2927,17.46%,141,331,472
"District Judge, 208th Judicial District",0080,501,351,852,2725,31.27%,224,589,813
"District Judge, 208th Judicial District",0081,183,187,370,1835,20.16%,148,202,350
"District Judge, 208th Judicial District",0082,639,671,1310,3368,38.90%,997,277,1274
"District Judge, 208th Judicial District",0083,1296,888,2184,6625,32.97%,1074,1040,2114
"District Judge, 208th Judicial District",0084,208,218,426,1373,31.03%,315,99,414
"District Judge, 208th Judicial District",0085,271,248,519,2173,23.88%,23,486,509
"District Judge, 208th Judicial District",0086,447,568,1015,2910,34.88%,475,485,960
"District Judge, 208th Judicial District",0087,574,787,1461,2818,51.85%,952,405,1357
"District Judge, 208th Judicial District",0088,123,118,241,693,34.78%,154,73,227
"District Judge, 208th Judicial District",0089,165,371,536,1094,48.99%,303,190,493
"District Judge, 208th Judicial District",0090,844,790,1634,3700,44.16%,1211,350,1561
"District Judge, 208th Judicial District",0091,219,222,441,1505,29.30%,274,151,425
"District Judge, 208th Judicial District",0092,695,462,1157,2242,51.61%,787,302,1089
"District Judge, 208th Judicial District",0093,381,301,682,3356,20.32%,277,367,644
"District Judge, 208th Judicial District",0094,51,43,94,549,17.12%,28,63,91
"District Judge, 208th Judicial District",0095,917,576,1493,3177,46.99%,1109,316,1425
"District Judge, 208th Judicial District",0096,83,83,166,1296,12.81%,22,143,165
"District Judge, 208th Judicial District",0097,1024,725,1749,4828,36.23%,1309,382,1691
"District Judge, 208th Judicial District",0098,403,488,891,2651,33.61%,745,121,866
"District Judge, 208th Judicial District",0099,254,184,438,2092,20.94%,218,207,425
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0100,155,173,338,1730,19.54%,181,151,332
"District Judge, 208th Judicial District",0101,72,58,130,946,13.74%,49,79,128
"District Judge, 208th Judicial District",0102,207,121,328,1872,17.52%,94,221,315
"District Judge, 208th Judicial District",0103,700,714,1414,5371,26.33%,812,562,1374
"District Judge, 208th Judicial District",0104,530,231,761,1905,39.95%,24,726,750
"District Judge, 208th Judicial District",0105,195,210,406,2165,18.75%,137,239,376
"District Judge, 208th Judicial District",0106,15,7,25,294,8.50%,17,8,25
"District Judge, 208th Judicial District",0107,154,197,351,2032,17.27%,59,275,334
"District Judge, 208th Judicial District",0108,558,272,940,3365,27.93%,570,338,908
"District Judge, 208th Judicial District",0109,529,245,774,2824,27.41%,15,743,758
"District Judge, 208th Judicial District",0110,554,494,1148,3042,37.74%,748,364,1112
"District Judge, 208th Judicial District",0111,815,795,1611,4102,39.27%,1197,355,1552
"District Judge, 208th Judicial District",0112,542,485,1027,2976,34.51%,762,229,991
"District Judge, 208th Judicial District",0113,552,429,991,2647,37.44%,626,320,946
"District Judge, 208th Judicial District",0114,707,547,1254,3311,37.87%,1018,208,1225
"District Judge, 208th Judicial District",0115,238,150,388,1800,21.56%,53,323,376
"District Judge, 208th Judicial District",0116,982,776,1758,3147,55.86%,1366,293,1659
"District Judge, 208th Judicial District",0117,215,226,441,1880,23.46%,221,198,419
"District Judge, 208th Judicial District",0118,304,123,427,759,56.26%,359,51,410
"District Judge, 208th Judicial District",0119,1288,1024,2312,5500,42.04%,1897,331,2228
"District Judge, 208th Judicial District",0120,712,422,1134,3191,35.54%,755,334,1089
"District Judge, 208th Judicial District",0121,92,178,270,848,31.84%,192,66,258
"District Judge, 208th Judicial District",0122,352,225,577,1890,30.53%,23,540,563
"District Judge, 208th Judicial District",0123,284,288,572,1392,41.09%,153,377,530
"District Judge, 208th Judicial District",0124,1734,1292,3026,7254,41.71%,2415,532,2947
"District Judge, 208th Judicial District",0125,415,332,747,2405,31.06%,465,257,722
"District Judge, 208th Judicial District",0126,893,467,1360,3100,43.87%,1205,122,1327
"District Judge, 208th Judicial District",0127,435,154,589,1836,32.08%,424,131,555
"District Judge, 208th Judicial District",0128,445,707,1152,2290,50.31%,727,327,1054
"District Judge, 208th Judicial District",0129,1030,1200,2230,5746,38.81%,1422,689,2111
"District Judge, 208th Judicial District",0130,727,523,1250,2333,53.58%,943,242,1185
"District Judge, 208th Judicial District",0131,251,259,510,1935,26.36%,131,359,490
"District Judge, 208th Judicial District",0132,593,323,916,2387,38.37%,22,877,899
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Denise Collins,DEM Chuck Silverman,Totals
"District Judge, 208th Judicial District",0133,513,858,1371,2662,51.50%,807,449,1256
"District Judge, 208th Judicial District",0134,192,265,457,1437,31.80%,215,221,436
"District Judge, 208th Judicial District",0135,727,579,1305,2671,48.90%,940,292,1232
"District Judge, 208th Judicial District",0136,503,371,874,2013,43.42%,47,801,848
"District Judge, 208th Judicial District",0137,166,141,307,716,42.88%,155,124,279
