Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Seabrook, Proposition 2",0090,337,302,639,1567,40.78%,400,150,550
"City of Seabrook, Proposition 2",0333,524,714,1238,3021,40.98%,765,291,1056
"City of Seabrook, Proposition 2",0692,444,548,992,2847,34.84%,627,212,839
