Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,"DEM Scot ""Dolli"" Dollinger",Totals
"Judge, County Court at Law No. 2",0343,189,271,460,1964,23.42%,148,284,432
"Judge, County Court at Law No. 2",0344,154,172,326,1160,28.10%,16,294,310
"Judge, County Court at Law No. 2",0345,156,165,321,1804,17.79%,103,200,303
"Judge, County Court at Law No. 2",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Court at Law No. 2",0347,592,436,1028,3387,30.35%,706,283,989
"Judge, County Court at Law No. 2",0348,438,208,646,1708,37.82%,498,118,616
"Judge, County Court at Law No. 2",0349,188,267,455,1349,33.73%,280,150,430
"Judge, County Court at Law No. 2",0350,524,526,1050,2909,36.09%,448,515,963
"Judge, County Court at Law No. 2",0351,1491,710,2201,4712,46.71%,1762,357,2119
"Judge, County Court at Law No. 2",0352,520,339,859,3205,26.80%,625,200,825
"Judge, County Court at Law No. 2",0353,665,451,1116,3862,28.90%,217,866,1083
"Judge, County Court at Law No. 2",0354,715,338,1053,3388,31.08%,278,743,1021
"Judge, County Court at Law No. 2",0355,301,264,565,1560,36.22%,50,498,548
"Judge, County Court at Law No. 2",0356,594,538,1132,2972,38.09%,757,324,1081
"Judge, County Court at Law No. 2",0357,837,575,1412,3517,40.15%,1042,316,1358
"Judge, County Court at Law No. 2",0358,212,254,466,2492,18.70%,62,389,451
"Judge, County Court at Law No. 2",0359,234,224,458,3061,14.96%,67,380,447
"Judge, County Court at Law No. 2",0360,522,380,902,2146,42.03%,492,332,824
"Judge, County Court at Law No. 2",0361,41,295,336,1673,20.08%,54,240,294
"Judge, County Court at Law No. 2",0362,1138,887,2025,5086,39.82%,1507,418,1925
"Judge, County Court at Law No. 2",0363,620,412,1032,3677,28.07%,479,523,1002
"Judge, County Court at Law No. 2",0364,488,405,893,2658,33.60%,524,327,851
"Judge, County Court at Law No. 2",0365,478,231,709,1305,54.33%,63,627,690
"Judge, County Court at Law No. 2",0366,252,270,522,2454,21.27%,141,365,506
"Judge, County Court at Law No. 2",0367,170,138,308,1130,27.26%,74,228,302
"Judge, County Court at Law No. 2",0368,178,88,266,958,27.77%,77,178,255
"Judge, County Court at Law No. 2",0369,32,29,61,559,10.91%,19,40,59
"Judge, County Court at Law No. 2",0370,1532,1105,2637,6593,40.00%,2016,534,2550
"Judge, County Court at Law No. 2",0371,122,52,174,502,34.66%,6,160,166
"Judge, County Court at Law No. 2",0372,221,170,391,1224,31.94%,58,321,379
"Judge, County Court at Law No. 2",0373,21,12,33,157,21.02%,3,28,31
"Judge, County Court at Law No. 2",0374,85,93,158,738,21.41%,60,93,153
"Judge, County Court at Law No. 2",0375,254,220,474,2645,17.92%,240,202,442
"Judge, County Court at Law No. 2",0376,278,205,483,1910,25.29%,217,243,460
"Judge, County Court at Law No. 2",0377,525,583,1109,2920,37.98%,823,228,1051
"Judge, County Court at Law No. 2",0378,232,354,586,1829,32.04%,367,188,555
"Judge, County Court at Law No. 2",0379,431,289,720,2027,35.52%,77,621,698
"Judge, County Court at Law No. 2",0380,1299,995,2294,5666,40.49%,1272,949,2221
"Judge, County Court at Law No. 2",0381,412,248,660,2855,23.12%,312,323,635
"Judge, County Court at Law No. 2",0382,132,157,289,922,31.34%,214,65,279
"Judge, County Court at Law No. 2",0383,289,263,552,2173,25.40%,239,296,535
"Judge, County Court at Law No. 2",0384,573,373,946,2657,35.60%,208,701,909
"Judge, County Court at Law No. 2",0385,583,670,1253,2207,56.77%,981,193,1174
"Judge, County Court at Law No. 2",0386,662,469,1131,2922,38.71%,826,260,1086
"Judge, County Court at Law No. 2",0387,555,672,1227,3935,31.18%,892,299,1191
"Judge, County Court at Law No. 2",0388,1430,1010,2440,6888,35.42%,1436,934,2370
"Judge, County Court at Law No. 2",0389,91,208,299,1026,29.14%,49,224,273
"Judge, County Court at Law No. 2",0390,356,263,619,1480,41.82%,88,508,596
"Judge, County Court at Law No. 2",0391,508,260,768,1883,40.79%,494,237,731
"Judge, County Court at Law No. 2",0392,387,155,542,1446,37.48%,11,520,531
"Judge, County Court at Law No. 2",0393,165,185,350,1292,27.09%,168,169,337
"Judge, County Court at Law No. 2",0394,69,73,142,834,17.03%,67,68,135
"Judge, County Court at Law No. 2",0395,469,404,873,1846,47.29%,648,179,827
"Judge, County Court at Law No. 2",0396,622,216,838,2082,40.25%,17,802,819
"Judge, County Court at Law No. 2",0397,86,78,164,760,21.58%,80,79,159
"Judge, County Court at Law No. 2",0398,615,521,1136,4022,28.24%,619,485,1104
"Judge, County Court at Law No. 2",0399,402,366,768,2791,27.52%,436,308,744
"Judge, County Court at Law No. 2",0400,620,359,979,2411,40.61%,731,204,935
"Judge, County Court at Law No. 2",0401,330,205,535,1913,27.97%,22,498,520
"Judge, County Court at Law No. 2",0402,466,266,732,1794,40.80%,39,673,712
"Judge, County Court at Law No. 2",0403,475,498,973,1715,56.73%,561,322,883
"Judge, County Court at Law No. 2",0404,419,330,749,2585,28.97%,440,279,719
"Judge, County Court at Law No. 2",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0406,137,67,204,628,32.48%,4,194,198
"Judge, County Court at Law No. 2",0407,688,793,1481,3769,39.29%,1008,388,1396
"Judge, County Court at Law No. 2",0408,146,153,299,1691,17.68%,145,140,285
"Judge, County Court at Law No. 2",0409,122,149,271,1459,18.57%,115,146,261
"Judge, County Court at Law No. 2",0410,132,80,212,899,23.58%,45,156,201
"Judge, County Court at Law No. 2",0411,235,200,435,2339,18.60%,162,251,413
"Judge, County Court at Law No. 2",0412,74,44,118,468,25.21%,8,106,114
"Judge, County Court at Law No. 2",0413,767,386,1153,2992,38.54%,470,640,1110
"Judge, County Court at Law No. 2",0414,654,480,1134,3453,32.84%,888,199,1087
"Judge, County Court at Law No. 2",0415,539,598,1137,2203,51.61%,778,303,1081
"Judge, County Court at Law No. 2",0416,538,558,1096,3791,28.91%,621,432,1053
"Judge, County Court at Law No. 2",0417,353,385,738,2448,30.15%,382,320,702
"Judge, County Court at Law No. 2",0418,403,469,872,3584,24.33%,377,453,830
"Judge, County Court at Law No. 2",0419,571,324,895,2658,33.67%,597,253,850
"Judge, County Court at Law No. 2",0420,1036,874,1910,4762,40.11%,1576,258,1834
"Judge, County Court at Law No. 2",0421,36,37,73,410,17.80%,26,42,68
"Judge, County Court at Law No. 2",0422,731,402,1133,3345,33.87%,44,1064,1108
"Judge, County Court at Law No. 2",0423,108,120,228,1376,16.57%,74,144,218
"Judge, County Court at Law No. 2",0424,240,111,351,967,36.30%,220,112,332
"Judge, County Court at Law No. 2",0425,107,123,230,883,26.05%,90,131,221
"Judge, County Court at Law No. 2",0426,260,183,443,1218,36.37%,267,156,423
"Judge, County Court at Law No. 2",0427,179,134,313,1092,28.66%,138,149,287
"Judge, County Court at Law No. 2",0428,619,421,1040,4538,22.92%,347,615,962
"Judge, County Court at Law No. 2",0429,445,314,759,3197,23.74%,224,493,717
"Judge, County Court at Law No. 2",0430,161,133,294,1657,17.74%,96,183,279
"Judge, County Court at Law No. 2",0431,327,84,411,3417,12.03%,156,235,391
"Judge, County Court at Law No. 2",0432,123,157,280,1455,19.24%,109,160,269
"Judge, County Court at Law No. 2",0433,50,63,113,581,19.45%,31,76,107
"Judge, County Court at Law No. 2",0434,370,289,659,1503,43.85%,428,193,621
"Judge, County Court at Law No. 2",0435,855,636,1491,3252,45.85%,997,413,1410
"Judge, County Court at Law No. 2",0436,629,531,1160,2933,39.55%,762,330,1092
"Judge, County Court at Law No. 2",0437,521,512,1033,2033,50.81%,757,215,972
"Judge, County Court at Law No. 2",0438,517,389,1006,1861,54.06%,786,168,954
"Judge, County Court at Law No. 2",0439,710,884,1594,3554,44.85%,1178,320,1498
"Judge, County Court at Law No. 2",0440,664,858,1522,2930,51.95%,1233,202,1435
"Judge, County Court at Law No. 2",0441,345,420,765,1669,45.84%,597,125,722
"Judge, County Court at Law No. 2",0442,612,574,1186,2575,46.06%,991,148,1139
"Judge, County Court at Law No. 2",0443,225,138,354,646,56.35%,258,86,344
"Judge, County Court at Law No. 2",0444,587,583,1270,3262,38.93%,830,369,1199
"Judge, County Court at Law No. 2",0445,499,348,847,2026,41.81%,586,222,808
"Judge, County Court at Law No. 2",0446,31,22,53,291,18.21%,26,24,50
"Judge, County Court at Law No. 2",0447,93,86,179,637,28.10%,54,116,170
"Judge, County Court at Law No. 2",0448,590,778,1368,3138,43.59%,782,502,1284
"Judge, County Court at Law No. 2",0449,12,23,35,198,17.68%,3,32,35
"Judge, County Court at Law No. 2",0450,435,328,763,2635,28.96%,252,479,731
"Judge, County Court at Law No. 2",0451,1002,510,1512,2687,56.27%,1254,181,1435
"Judge, County Court at Law No. 2",0452,554,444,998,3048,32.74%,750,219,969
"Judge, County Court at Law No. 2",0453,231,262,493,1937,25.45%,205,265,470
"Judge, County Court at Law No. 2",0454,594,248,842,2561,32.88%,13,808,821
"Judge, County Court at Law No. 2",0455,367,165,532,1689,31.50%,21,502,523
"Judge, County Court at Law No. 2",0456,482,362,844,3513,24.03%,500,319,819
"Judge, County Court at Law No. 2",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0458,471,237,708,1924,36.80%,36,646,682
"Judge, County Court at Law No. 2",0459,951,474,1425,3021,47.17%,1138,232,1370
"Judge, County Court at Law No. 2",0460,554,331,885,2837,31.19%,242,625,867
"Judge, County Court at Law No. 2",0461,1155,735,1900,3871,49.08%,1355,422,1777
"Judge, County Court at Law No. 2",0462,674,619,1293,3384,38.21%,503,729,1232
"Judge, County Court at Law No. 2",0463,480,404,884,3326,26.58%,417,436,853
"Judge, County Court at Law No. 2",0464,356,430,786,2257,34.82%,573,186,759
"Judge, County Court at Law No. 2",0465,687,520,1207,3564,33.87%,701,467,1168
"Judge, County Court at Law No. 2",0466,1058,614,1672,4184,39.96%,1002,606,1608
"Judge, County Court at Law No. 2",0467,213,189,402,1270,31.65%,105,291,396
"Judge, County Court at Law No. 2",0468,352,443,795,3598,22.10%,259,501,760
"Judge, County Court at Law No. 2",0469,1294,547,1841,3985,46.20%,1475,275,1750
"Judge, County Court at Law No. 2",0470,185,176,361,1326,27.22%,268,73,341
"Judge, County Court at Law No. 2",0471,375,380,755,2387,31.63%,602,132,734
"Judge, County Court at Law No. 2",0472,198,278,476,1081,44.03%,206,227,433
"Judge, County Court at Law No. 2",0473,599,391,990,1806,54.82%,711,232,943
"Judge, County Court at Law No. 2",0474,559,588,1147,3037,37.77%,804,300,1104
"Judge, County Court at Law No. 2",0475,189,267,456,1809,25.21%,229,205,434
"Judge, County Court at Law No. 2",0476,404,473,877,2430,36.09%,504,334,838
"Judge, County Court at Law No. 2",0477,737,567,1304,3505,37.20%,1012,242,1254
"Judge, County Court at Law No. 2",0478,958,657,1615,4461,36.20%,1118,425,1543
"Judge, County Court at Law No. 2",0479,638,612,1250,2714,46.06%,943,252,1195
"Judge, County Court at Law No. 2",0480,493,450,943,2415,39.05%,687,214,901
"Judge, County Court at Law No. 2",0481,770,623,1393,3482,40.01%,1063,267,1330
"Judge, County Court at Law No. 2",0482,878,630,1508,4373,34.48%,1110,351,1461
"Judge, County Court at Law No. 2",0483,1042,478,1520,4308,35.28%,926,534,1460
"Judge, County Court at Law No. 2",0484,1107,930,2037,4979,40.91%,1492,470,1962
"Judge, County Court at Law No. 2",0485,1095,911,2006,5388,37.23%,1572,378,1950
"Judge, County Court at Law No. 2",0486,873,855,1728,3866,44.70%,1362,287,1649
"Judge, County Court at Law No. 2",0487,570,294,864,3860,22.38%,319,478,797
"Judge, County Court at Law No. 2",0488,268,254,522,1719,30.37%,203,279,482
"Judge, County Court at Law No. 2",0489,350,290,640,1893,33.81%,224,384,608
"Judge, County Court at Law No. 2",0490,444,368,812,1975,41.11%,315,465,780
"Judge, County Court at Law No. 2",0491,314,372,686,1888,36.33%,427,228,655
"Judge, County Court at Law No. 2",0492,556,410,966,2335,41.37%,613,306,919
"Judge, County Court at Law No. 2",0493,479,322,801,1853,43.23%,555,205,760
"Judge, County Court at Law No. 2",0494,381,247,628,2467,25.46%,89,521,610
"Judge, County Court at Law No. 2",0495,522,523,1045,2375,44.00%,774,218,992
"Judge, County Court at Law No. 2",0496,190,315,505,2160,23.38%,205,284,489
"Judge, County Court at Law No. 2",0497,526,243,769,2257,34.07%,28,720,748
"Judge, County Court at Law No. 2",0498,363,323,686,2297,29.87%,322,346,668
"Judge, County Court at Law No. 2",0499,750,518,1268,2326,54.51%,955,235,1190
"Judge, County Court at Law No. 2",0500,729,715,1444,3507,41.17%,1017,372,1389
"Judge, County Court at Law No. 2",0501,341,417,758,1801,42.09%,292,402,694
"Judge, County Court at Law No. 2",0502,477,350,827,2501,33.07%,665,130,795
"Judge, County Court at Law No. 2",0503,174,116,290,1374,21.11%,119,152,271
"Judge, County Court at Law No. 2",0504,524,527,1151,2288,50.31%,779,307,1086
"Judge, County Court at Law No. 2",0505,531,562,1193,3773,31.62%,558,554,1112
"Judge, County Court at Law No. 2",0506,665,670,1335,3502,38.12%,247,1034,1281
"Judge, County Court at Law No. 2",0507,221,149,370,2452,15.09%,123,222,345
"Judge, County Court at Law No. 2",0508,492,412,904,3287,27.50%,367,471,838
"Judge, County Court at Law No. 2",0509,753,596,1349,3732,36.15%,966,323,1289
"Judge, County Court at Law No. 2",0510,687,514,1201,3590,33.45%,635,511,1146
"Judge, County Court at Law No. 2",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0512,602,660,1262,5057,24.96%,613,618,1231
"Judge, County Court at Law No. 2",0513,1019,487,1506,2894,52.04%,1169,264,1433
"Judge, County Court at Law No. 2",0514,953,720,1673,4275,39.13%,1285,321,1606
"Judge, County Court at Law No. 2",0515,942,683,1625,3455,47.03%,1324,232,1556
"Judge, County Court at Law No. 2",0516,1000,800,1800,5356,33.61%,986,733,1719
"Judge, County Court at Law No. 2",0517,481,256,737,2954,24.95%,435,281,716
"Judge, County Court at Law No. 2",0518,635,693,1328,3943,33.68%,894,381,1275
"Judge, County Court at Law No. 2",0519,623,493,1116,2966,37.63%,842,235,1077
"Judge, County Court at Law No. 2",0520,473,457,930,4580,20.31%,179,729,908
"Judge, County Court at Law No. 2",0521,471,464,935,2866,32.62%,514,389,903
"Judge, County Court at Law No. 2",0522,715,572,1288,2689,47.90%,1015,227,1242
"Judge, County Court at Law No. 2",0523,751,415,1166,3052,38.20%,801,315,1116
"Judge, County Court at Law No. 2",0524,567,459,1026,3410,30.09%,382,616,998
"Judge, County Court at Law No. 2",0525,707,482,1189,3091,38.47%,281,854,1135
"Judge, County Court at Law No. 2",0526,68,84,152,780,19.49%,47,94,141
"Judge, County Court at Law No. 2",0527,37,40,77,574,13.41%,40,35,75
"Judge, County Court at Law No. 2",0528,14,12,26,90,28.89%,3,22,25
"Judge, County Court at Law No. 2",0529,1043,491,1534,3710,41.35%,1326,153,1479
"Judge, County Court at Law No. 2",0530,114,107,221,1196,18.48%,59,146,205
"Judge, County Court at Law No. 2",0531,363,174,537,1145,46.90%,417,94,511
"Judge, County Court at Law No. 2",0532,205,146,351,1048,33.49%,253,87,340
"Judge, County Court at Law No. 2",0533,124,108,232,1119,20.73%,133,85,218
"Judge, County Court at Law No. 2",0534,783,524,1,307,3837,34.06%,997,248,1245
"Judge, County Court at Law No. 2",0535,33,29,62,416,14.90%,32,28,60
"Judge, County Court at Law No. 2",0536,554,780,1334,5139,25.96%,549,738,1287
"Judge, County Court at Law No. 2",0537,855,778,1633,3050,53.54%,1206,348,1554
"Judge, County Court at Law No. 2",0538,204,160,364,1303,27.94%,11,346,357
"Judge, County Court at Law No. 2",0539,15,241,256,64,400.00%,75,162,237
"Judge, County Court at Law No. 2",0540,378,316,694,1567,44.29%,305,332,637
"Judge, County Court at Law No. 2",0541,784,505,1289,4599,28.03%,206,1030,1236
"Judge, County Court at Law No. 2",0542,360,382,742,2557,29.02%,47,667,714
"Judge, County Court at Law No. 2",0543,141,213,354,1565,22.62%,128,204,332
"Judge, County Court at Law No. 2",0544,35,41,77,310,24.84%,11,65,76
"Judge, County Court at Law No. 2",0545,596,620,1216,3629,33.51%,629,538,1167
"Judge, County Court at Law No. 2",0546,2,2,4,37,10.81%,3,0,3
"Judge, County Court at Law No. 2",0547,501,466,967,2406,40.19%,689,238,927
"Judge, County Court at Law No. 2",0548,286,293,579,2215,26.14%,311,252,563
"Judge, County Court at Law No. 2",0549,343,418,761,2663,28.58%,118,626,744
"Judge, County Court at Law No. 2",0550,501,431,932,3031,30.75%,535,360,895
"Judge, County Court at Law No. 2",0551,1288,1394,2682,7034,38.13%,2061,541,2602
"Judge, County Court at Law No. 2",0552,847,883,1730,3415,50.66%,1459,214,1673
"Judge, County Court at Law No. 2",0553,578,529,1107,4686,23.62%,517,552,1069
"Judge, County Court at Law No. 2",0554,261,199,460,1757,26.18%,116,320,436
"Judge, County Court at Law No. 2",0555,225,277,502,2219,22.62%,114,364,478
"Judge, County Court at Law No. 2",0556,276,186,462,2319,19.92%,143,302,445
"Judge, County Court at Law No. 2",0557,455,183,638,2830,22.54%,279,286,565
"Judge, County Court at Law No. 2",0558,693,463,1156,4380,26.39%,431,681,1112
"Judge, County Court at Law No. 2",0559,640,494,1134,4969,22.82%,362,728,1090
"Judge, County Court at Law No. 2",0560,72,131,203,1120,18.13%,59,131,190
"Judge, County Court at Law No. 2",0561,362,436,798,3064,26.04%,485,276,761
"Judge, County Court at Law No. 2",0562,113,68,181,694,26.08%,27,151,178
"Judge, County Court at Law No. 2",0563,1107,376,1483,3105,47.76%,1174,235,1409
"Judge, County Court at Law No. 2",0564,470,426,896,3155,28.40%,264,592,856
"Judge, County Court at Law No. 2",0565,108,78,186,1354,13.74%,47,125,172
"Judge, County Court at Law No. 2",0566,417,324,741,2882,25.71%,248,472,720
"Judge, County Court at Law No. 2",0567,301,193,494,2238,22.07%,187,277,464
"Judge, County Court at Law No. 2",0568,876,685,1561,3594,43.43%,1052,419,1471
"Judge, County Court at Law No. 2",0569,572,667,1239,3525,35.15%,693,478,1171
"Judge, County Court at Law No. 2",0570,238,210,448,1562,28.68%,164,246,410
"Judge, County Court at Law No. 2",0571,155,149,304,1827,16.64%,123,169,292
"Judge, County Court at Law No. 2",0572,555,375,930,3108,29.92%,500,387,887
"Judge, County Court at Law No. 2",0573,290,151,441,1619,27.24%,6,429,435
"Judge, County Court at Law No. 2",0574,31,42,73,402,18.16%,9,64,73
"Judge, County Court at Law No. 2",0575,13,11,24,74,32.43%,18,5,23
"Judge, County Court at Law No. 2",0576,485,318,803,2734,29.37%,25,760,785
"Judge, County Court at Law No. 2",0577,147,88,235,608,38.65%,147,76,223
"Judge, County Court at Law No. 2",0578,409,538,947,1799,52.64%,600,300,900
"Judge, County Court at Law No. 2",0579,75,101,176,1056,16.67%,36,132,168
"Judge, County Court at Law No. 2",0580,179,118,297,1031,28.81%,5,282,287
"Judge, County Court at Law No. 2",0581,212,174,386,1032,37.40%,6,366,372
"Judge, County Court at Law No. 2",0582,258,171,429,1588,27.02%,27,390,417
"Judge, County Court at Law No. 2",0583,225,131,356,1262,28.21%,16,332,348
"Judge, County Court at Law No. 2",0584,182,93,275,1014,27.12%,11,260,271
"Judge, County Court at Law No. 2",0585,417,172,589,2511,23.46%,24,553,577
"Judge, County Court at Law No. 2",0586,638,680,1318,4316,30.54%,814,457,1271
"Judge, County Court at Law No. 2",0587,436,284,720,2598,27.71%,290,410,700
"Judge, County Court at Law No. 2",0588,758,674,1432,3645,39.29%,1042,343,1385
"Judge, County Court at Law No. 2",0589,500,386,886,3420,25.91%,511,350,861
"Judge, County Court at Law No. 2",0590,772,399,1171,2162,54.16%,930,195,1125
"Judge, County Court at Law No. 2",0591,183,231,414,2121,19.52%,134,263,397
"Judge, County Court at Law No. 2",0592,133,157,290,1350,21.48%,82,193,275
"Judge, County Court at Law No. 2",0593,543,564,1107,4380,25.27%,558,497,1055
"Judge, County Court at Law No. 2",0594,561,326,887,2490,35.62%,263,597,860
"Judge, County Court at Law No. 2",0595,201,178,379,1693,22.39%,70,300,370
"Judge, County Court at Law No. 2",0596,441,348,789,3007,26.24%,447,316,763
"Judge, County Court at Law No. 2",0597,367,394,761,3653,20.83%,344,404,748
"Judge, County Court at Law No. 2",0598,195,57,252,728,34.62%,207,39,246
"Judge, County Court at Law No. 2",0599,850,578,1428,4950,28.85%,528,850,1378
"Judge, County Court at Law No. 2",0600,667,429,1096,3957,27.70%,455,589,1044
"Judge, County Court at Law No. 2",0601,1073,756,1829,4057,45.08%,1409,357,1766
"Judge, County Court at Law No. 2",0602,293,235,528,1326,39.82%,388,124,512
"Judge, County Court at Law No. 2",0603,884,794,1678,4843,34.65%,1086,550,1636
"Judge, County Court at Law No. 2",0604,702,518,1220,3005,40.60%,1009,171,1180
"Judge, County Court at Law No. 2",0605,907,556,1463,5582,26.21%,374,1044,1418
"Judge, County Court at Law No. 2",0606,176,70,246,937,26.25%,4,238,242
"Judge, County Court at Law No. 2",0607,62,51,113,728,15.52%,13,93,106
"Judge, County Court at Law No. 2",0608,31,47,78,537,14.53%,46,27,73
"Judge, County Court at Law No. 2",0609,667,680,1347,3384,39.80%,865,414,1279
"Judge, County Court at Law No. 2",0610,231,188,419,1927,21.74%,225,163,388
"Judge, County Court at Law No. 2",0611,495,242,737,2488,29.62%,26,696,722
"Judge, County Court at Law No. 2",0612,996,497,1493,3307,45.15%,1134,275,1409
"Judge, County Court at Law No. 2",0613,186,204,390,1554,25.10%,66,311,377
"Judge, County Court at Law No. 2",0614,737,566,1303,4207,30.97%,524,729,1253
"Judge, County Court at Law No. 2",0615,480,299,779,1967,39.60%,510,245,755
"Judge, County Court at Law No. 2",0616,739,663,1402,3436,40.80%,1004,350,1354
"Judge, County Court at Law No. 2",0617,541,393,934,3809,24.52%,391,521,912
"Judge, County Court at Law No. 2",0618,946,567,1513,6003,25.20%,778,680,1458
"Judge, County Court at Law No. 2",0619,1219,803,2022,4297,47.06%,1519,406,1925
"Judge, County Court at Law No. 2",0620,689,264,953,2897,32.90%,620,293,913
"Judge, County Court at Law No. 2",0621,154,101,255,1133,22.51%,136,106,242
"Judge, County Court at Law No. 2",0622,881,524,1405,4403,31.91%,884,471,1355
"Judge, County Court at Law No. 2",0623,887,487,1374,3691,37.23%,950,357,1307
"Judge, County Court at Law No. 2",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Court at Law No. 2",0625,477,362,839,1820,46.10%,508,285,793
"Judge, County Court at Law No. 2",0626,581,440,1021,2861,35.69%,593,373,966
"Judge, County Court at Law No. 2",0627,346,322,668,3049,21.91%,254,385,639
"Judge, County Court at Law No. 2",0628,152,219,371,1675,22.15%,205,154,359
"Judge, County Court at Law No. 2",0629,37,53,90,696,12.93%,18,72,90
"Judge, County Court at Law No. 2",0630,974,600,1574,3905,40.31%,142,1382,1524
"Judge, County Court at Law No. 2",0631,822,404,1226,2846,43.08%,910,271,1181
"Judge, County Court at Law No. 2",0632,7,4,11,343,3.21%,4,7,11
"Judge, County Court at Law No. 2",0633,943,731,1674,3559,47.04%,1211,396,1607
"Judge, County Court at Law No. 2",0634,458,442,900,3029,29.71%,608,260,868
"Judge, County Court at Law No. 2",0635,743,485,1228,3393,36.19%,939,251,1190
"Judge, County Court at Law No. 2",0636,835,874,1710,4140,41.30%,1487,171,1658
"Judge, County Court at Law No. 2",0637,409,362,771,2512,30.69%,205,514,719
"Judge, County Court at Law No. 2",0638,304,245,549,2204,24.91%,46,479,525
"Judge, County Court at Law No. 2",0639,549,547,1096,2526,43.39%,880,168,1048
"Judge, County Court at Law No. 2",0640,641,459,1100,3733,29.47%,703,364,1067
"Judge, County Court at Law No. 2",0641,649,596,1245,3650,34.11%,847,353,1200
"Judge, County Court at Law No. 2",0642,471,394,865,1764,49.04%,700,130,830
"Judge, County Court at Law No. 2",0643,934,653,1587,5945,26.69%,650,890,1540
"Judge, County Court at Law No. 2",0644,1019,823,1842,5523,33.35%,1245,524,1769
"Judge, County Court at Law No. 2",0645,654,594,1248,4185,29.82%,702,496,1198
"Judge, County Court at Law No. 2",0646,364,287,651,2220,29.32%,222,393,615
"Judge, County Court at Law No. 2",0647,904,470,1374,6084,22.58%,432,841,1273
"Judge, County Court at Law No. 2",0648,838,579,1417,3367,42.08%,1035,335,1370
"Judge, County Court at Law No. 2",0649,687,434,1121,4576,24.50%,391,660,1051
"Judge, County Court at Law No. 2",0650,906,766,1672,3888,43.00%,1242,360,1602
"Judge, County Court at Law No. 2",0651,963,766,1729,5128,33.72%,1140,514,1654
"Judge, County Court at Law No. 2",0652,467,515,982,2815,34.88%,192,756,948
"Judge, County Court at Law No. 2",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Court at Law No. 2",0654,950,1005,1955,6208,31.49%,1132,751,1883
"Judge, County Court at Law No. 2",0655,1115,1079,2195,6855,32.02%,1380,728,2108
"Judge, County Court at Law No. 2",0656,579,393,972,2674,36.35%,42,906,948
"Judge, County Court at Law No. 2",0657,246,172,418,1292,32.35%,177,229,406
"Judge, County Court at Law No. 2",0658,540,426,966,2807,34.41%,637,304,941
"Judge, County Court at Law No. 2",0659,1149,788,1937,4856,39.89%,1404,469,1873
"Judge, County Court at Law No. 2",0660,950,825,1775,5372,33.04%,176,1554,1730
"Judge, County Court at Law No. 2",0661,675,765,1440,4567,31.53%,866,520,1386
"Judge, County Court at Law No. 2",0662,1148,890,2038,4874,41.81%,1639,334,1973
"Judge, County Court at Law No. 2",0663,717,797,1514,3346,45.25%,787,622,1409
"Judge, County Court at Law No. 2",0664,352,250,602,2869,20.98%,139,433,572
"Judge, County Court at Law No. 2",0665,482,348,830,2154,38.53%,699,98,797
"Judge, County Court at Law No. 2",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0667,488,502,990,2149,46.07%,794,159,953
"Judge, County Court at Law No. 2",0668,399,509,908,2775,32.72%,610,273,883
"Judge, County Court at Law No. 2",0669,850,738,1,588,3425,46.36%,1178,348,1526
"Judge, County Court at Law No. 2",0670,955,471,1427,2983,47.84%,1151,218,1369
"Judge, County Court at Law No. 2",0671,403,565,968,3037,31.87%,613,318,931
"Judge, County Court at Law No. 2",0672,959,862,1821,5706,31.91%,1253,507,1760
"Judge, County Court at Law No. 2",0673,729,516,1245,2995,41.57%,993,199,1192
"Judge, County Court at Law No. 2",0674,1071,618,1689,4091,41.29%,1285,343,1628
"Judge, County Court at Law No. 2",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Court at Law No. 2",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 2",0677,127,127,254,1266,20.06%,94,144,238
"Judge, County Court at Law No. 2",0678,166,108,274,735,37.28%,183,69,252
"Judge, County Court at Law No. 2",0679,635,520,1155,3381,34.16%,882,224,1106
"Judge, County Court at Law No. 2",0680,21,14,35,162,21.60%,14,21,35
"Judge, County Court at Law No. 2",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Court at Law No. 2",0682,711,654,1365,4216,32.38%,1018,296,1314
"Judge, County Court at Law No. 2",0683,29,20,49,276,17.75%,8,35,43
"Judge, County Court at Law No. 2",0684,27,22,49,223,21.97%,27,19,46
"Judge, County Court at Law No. 2",0685,110,29,139,307,45.28%,64,64,128
"Judge, County Court at Law No. 2",0686,17,12,29,208,13.94%,12,16,28
"Judge, County Court at Law No. 2",0687,549,537,1085,2609,41.63%,750,271,1021
"Judge, County Court at Law No. 2",0688,999,617,1616,3504,46.12%,1298,249,1547
"Judge, County Court at Law No. 2",0689,211,387,598,2346,25.49%,319,252,571
"Judge, County Court at Law No. 2",0690,926,1104,2030,5102,39.79%,1670,296,1966
