Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",1027,1,0,1,8,12.50%,1,1
"Judge, County Criminal Court No. 12",1028,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",1029,537,719,1256,2927,42.91%,1038,1038
"Judge, County Criminal Court No. 12",1030,231,151,382,785,48.66%,335,335
"Judge, County Criminal Court No. 12",1031,59,71,130,792,16.41%,44,44
"Judge, County Criminal Court No. 12",1032,31,25,56,244,22.95%,38,38
"Judge, County Criminal Court No. 12",1033,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",1034,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",1035,2,4,6,138,4.35%,2,2
"Judge, County Criminal Court No. 12",1036,65,24,89,449,19.82%,75,75
"Judge, County Criminal Court No. 12",1037,19,11,30,76,39.47%,18,18
"Judge, County Criminal Court No. 12",1038,62,6,68,327,20.80%,12,12
"Judge, County Criminal Court No. 12",1039,2,0,2,25,8.00%,0,0
"Judge, County Criminal Court No. 12",1040,91,66,157,771,20.36%,85,85
"Judge, County Criminal Court No. 12",1041,0,2,2,0,0.00%,1,1
"Judge, County Criminal Court No. 12",1042,105,67,172,521,33.01%,62,62
"Judge, County Criminal Court No. 12",1043,5,6,12,33,36.36%,4,4
"Judge, County Criminal Court No. 12",1044,16,6,22,55,40.00%,11,11
"Judge, County Criminal Court No. 12",1045,197,173,370,1788,20.69%,69,69
"Judge, County Criminal Court No. 12",1046,11,5,16,62,25.81%,1,1
"Judge, County Criminal Court No. 12",1047,255,186,441,1568,28.13%,202,202
"Judge, County Criminal Court No. 12",1048,1,0,1,17,5.88%,1,1
"Judge, County Criminal Court No. 12",1049,14,45,59,290,20.34%,25,25
"Judge, County Criminal Court No. 12",1050,50,63,123,537,22.91%,44,44
"Judge, County Criminal Court No. 12",1051,0,31,31,0,0.00%,23,23
"Judge, County Criminal Court No. 12",1052,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",1053,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",1054,0,0,0,1,0.00%,0,0
"Judge, County Criminal Court No. 12",1055,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",1056,4,2,6,8,75.00%,2,2
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",1057,7,9,16,118,13.56%,4,4
"Judge, County Criminal Court No. 12",1058,241,285,526,1243,42.32%,139,139
"Judge, County Criminal Court No. 12",1059,3,3,6,28,21.43%,2,2
"Judge, County Criminal Court No. 12",1060,5,2,7,42,16.67%,5,5
"Judge, County Criminal Court No. 12",1061,332,184,516,1716,30.07%,310,310
"Judge, County Criminal Court No. 12",1062,17,6,23,201,11.44%,7,7
"Judge, County Criminal Court No. 12",1063,66,59,125,857,14.59%,30,30
"Judge, County Criminal Court No. 12",1064,25,11,36,119,30.25%,28,28
"Judge, County Criminal Court No. 12",1065,1,0,1,28,3.57%,0,0
"Judge, County Criminal Court No. 12",1066,72,0,72,229,31.44%,6,6
"Judge, County Criminal Court No. 12",1067,0,0,0,0,0.00%,0,0
"Judge, County Criminal Court No. 12",1068,22,8,30,121,24.79%,16,16
"Judge, County Criminal Court No. 12",1069,434,256,690,2580,26.74%,356,356
"Judge, County Criminal Court No. 12",Totals:,378846,308736,687582,2044361,392485,392485
