Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0079,205,306,511,2927,17.46%,196,196
"Judge, County Criminal Court No. 12",0080,501,351,852,2725,31.27%,283,283
"Judge, County Criminal Court No. 12",0081,183,187,370,1835,20.16%,174,174
"Judge, County Criminal Court No. 12",0082,639,671,1310,3368,38.90%,1033,1033
"Judge, County Criminal Court No. 12",0083,1296,888,2184,6625,32.97%,1212,1212
"Judge, County Criminal Court No. 12",0084,208,218,426,1373,31.03%,322,322
"Judge, County Criminal Court No. 12",0085,271,248,519,2173,23.88%,65,65
"Judge, County Criminal Court No. 12",0086,447,568,1015,2910,34.88%,536,536
"Judge, County Criminal Court No. 12",0087,574,787,1461,2818,51.85%,975,975
"Judge, County Criminal Court No. 12",0088,123,118,241,693,34.78%,162,162
"Judge, County Criminal Court No. 12",0089,165,371,536,1094,48.99%,325,325
"Judge, County Criminal Court No. 12",0090,844,790,1634,3700,44.16%,1237,1237
"Judge, County Criminal Court No. 12",0091,219,222,441,1505,29.30%,295,295
"Judge, County Criminal Court No. 12",0092,695,462,1157,2242,51.61%,797,797
"Judge, County Criminal Court No. 12",0093,381,301,682,3356,20.32%,327,327
"Judge, County Criminal Court No. 12",0094,51,43,94,549,17.12%,41,41
"Judge, County Criminal Court No. 12",0095,917,576,1493,3177,46.99%,1121,1121
"Judge, County Criminal Court No. 12",0096,83,83,166,1296,12.81%,37,37
"Judge, County Criminal Court No. 12",0097,1024,725,1749,4828,36.23%,1346,1346
"Judge, County Criminal Court No. 12",0098,403,488,891,2651,33.61%,753,753
"Judge, County Criminal Court No. 12",0099,254,184,438,2092,20.94%,232,232
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0100,165,173,338,1730,19.54%,194,194
"Judge, County Criminal Court No. 12",0101,72,58,130,946,13.74%,61,61
"Judge, County Criminal Court No. 12",0102,207,121,328,1872,17.52%,111,111
"Judge, County Criminal Court No. 12",0103,700,714,1414,5371,26.33%,867,867
"Judge, County Criminal Court No. 12",0104,530,231,761,1905,39.95%,62,62
"Judge, County Criminal Court No. 12",0105,196,210,406,2165,18.75%,176,176
"Judge, County Criminal Court No. 12",0106,18,7,25,294,8.50%,18,18
"Judge, County Criminal Court No. 12",0107,154,197,351,2032,17.27%,86,86
"Judge, County Criminal Court No. 12",0108,668,272,940,3365,27.93%,608,608
"Judge, County Criminal Court No. 12",0109,529,245,774,2824,27.41%,32,32
"Judge, County Criminal Court No. 12",0110,654,494,1148,3042,37.74%,809,809
"Judge, County Criminal Court No. 12",0111,816,795,1611,4102,39.27%,1246,1246
"Judge, County Criminal Court No. 12",0112,542,485,1027,2976,34.51%,788,788
"Judge, County Criminal Court No. 12",0113,562,429,991,2647,37.44%,664,664
"Judge, County Criminal Court No. 12",0114,707,547,1254,3311,37.87%,1055,1055
"Judge, County Criminal Court No. 12",0115,238,150,388,1800,21.56%,78,78
"Judge, County Criminal Court No. 12",0116,982,776,1758,3147,55.86%,1369,1369
"Judge, County Criminal Court No. 12",0117,215,226,441,1880,23.46%,253,253
"Judge, County Criminal Court No. 12",0118,304,123,427,759,56.26%,357,357
"Judge, County Criminal Court No. 12",0119,1288,1024,2312,5500,42.04%,1936,1936
"Judge, County Criminal Court No. 12",0120,712,422,1134,3191,35.54%,794,794
"Judge, County Criminal Court No. 12",0121,92,178,270,848,31.84%,196,196
"Judge, County Criminal Court No. 12",0122,352,225,577,1890,30.53%,46,46
"Judge, County Criminal Court No. 12",0123,284,288,572,1392,41.09%,189,189
"Judge, County Criminal Court No. 12",0124,1734,1292,3026,7254,41.71%,2484,2484
"Judge, County Criminal Court No. 12",0125,415,332,747,2405,31.06%,507,507
"Judge, County Criminal Court No. 12",0126,893,467,1360,3100,43.87%,1212,1212
"Judge, County Criminal Court No. 12",0127,435,154,589,1836,32.08%,439,439
"Judge, County Criminal Court No. 12",0128,445,707,1152,2290,50.31%,752,752
"Judge, County Criminal Court No. 12",0129,1030,1200,2230,5746,38.81%,1510,1510
"Judge, County Criminal Court No. 12",0130,727,523,1250,2333,53.58%,936,936
"Judge, County Criminal Court No. 12",0131,251,259,510,1935,26.36%,156,156
"Judge, County Criminal Court No. 12",0132,593,323,916,2387,38.37%,54,54
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0133,513,858,1371,2662,51.50%,856,856
"Judge, County Criminal Court No. 12",0134,192,265,457,1437,31.80%,234,234
"Judge, County Criminal Court No. 12",0135,727,579,1306,2671,48.90%,928,928
"Judge, County Criminal Court No. 12",0136,503,371,874,2013,43.42%,105,105
"Judge, County Criminal Court No. 12",0137,166,141,307,716,42.88%,163,163
"Judge, County Criminal Court No. 12",0138,296,199,495,1699,29.13%,32,32
"Judge, County Criminal Court No. 12",0139,699,551,1250,3037,41.16%,624,624
"Judge, County Criminal Court No. 12",0140,699,480,1179,3214,36.68%,265,265
"Judge, County Criminal Court No. 12",0141,80,80,160,855,18.71%,101,101
"Judge, County Criminal Court No. 12",0142,87,103,190,902,21.06%,82,82
"Judge, County Criminal Court No. 12",0143,1962,580,2542,6386,39.81%,1928,1928
"Judge, County Criminal Court No. 12",0144,216,158,374,1093,34.22%,24,24
"Judge, County Criminal Court No. 12",0145,264,213,477,1538,31.01%,28,28
"Judge, County Criminal Court No. 12",0146,426,519,945,2008,47.06%,484,484
"Judge, County Criminal Court No. 12",0147,689,329,1018,3008,33.84%,195,195
"Judge, County Criminal Court No. 12",0148,500,780,1280,2540,50.39%,559,559
"Judge, County Criminal Court No. 12",0149,1621,737,2358,7993,29.50%,1378,1378
"Judge, County Criminal Court No. 12",0150,236,169,405,1256,32.25%,30,30
"Judge, County Criminal Court No. 12",0151,137,79,216,826,26.15%,19,19
"Judge, County Criminal Court No. 12",0152,213,299,512,2788,18.36%,192,192
"Judge, County Criminal Court No. 12",0153,125,206,331,1808,18.31%,147,147
"Judge, County Criminal Court No. 12",0154,249,183,432,2190,19.73%,156,156
"Judge, County Criminal Court No. 12",0155,1022,619,1641,4109,39.94%,1204,1204
"Judge, County Criminal Court No. 12",0156,799,326,1125,3071,36.63%,119,119
"Judge, County Criminal Court No. 12",0157,448,214,662,2236,29.61%,48,48
"Judge, County Criminal Court No. 12",0158,600,315,915,3035,30.15%,60,60
"Judge, County Criminal Court No. 12",0159,116,127,243,998,24.35%,64,64
"Judge, County Criminal Court No. 12",0160,122,73,195,696,28.02%,14,14
"Judge, County Criminal Court No. 12",0161,163,141,304,991,30.68%,18,18
"Judge, County Criminal Court No. 12",0162,101,83,184,1265,14.55%,79,79
"Judge, County Criminal Court No. 12",0163,230,320,550,3037,18.11%,279,279
"Judge, County Criminal Court No. 12",0164,182,205,387,1420,27.25%,25,25
"Judge, County Criminal Court No. 12",0165,535,483,1018,2334,43.62%,704,704
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0166,158,233,391,1028,38.04%,156,156
"Judge, County Criminal Court No. 12",0167,3,0,3,24,12.50%,1,1
"Judge, County Criminal Court No. 12",0168,92,58,150,503,29.82%,7,7
"Judge, County Criminal Court No. 12",0169,516,251,767,2513,30.52%,52,52
"Judge, County Criminal Court No. 12",0170,271,141,412,1869,22.04%,240,240
"Judge, County Criminal Court No. 12",0171,202,198,400,1604,24.94%,23,23
"Judge, County Criminal Court No. 12",0172,86,80,166,621,26.73%,73,73
"Judge, County Criminal Court No. 12",0173,817,739,1556,3599,43.23%,1298,1298
"Judge, County Criminal Court No. 12",0174,829,733,1562,3296,47.39%,1137,1137
"Judge, County Criminal Court No. 12",0175,557,749,1306,2618,49.89%,736,736
"Judge, County Criminal Court No. 12",0176,344,451,795,1602,49.63%,442,442
"Judge, County Criminal Court No. 12",0177,278,326,604,1496,40.37%,366,366
"Judge, County Criminal Court No. 12",0178,504,365,869,1765,49.24%,607,607
"Judge, County Criminal Court No. 12",0179,256,188,444,1575,28.19%,263,263
"Judge, County Criminal Court No. 12",0180,470,343,813,2834,28.69%,65,65
"Judge, County Criminal Court No. 12",0181,175,262,437,2061,21.20%,191,191
"Judge, County Criminal Court No. 12",0182,590,974,1564,3405,45.93%,1030,1030
"Judge, County Criminal Court No. 12",0183,519,794,1313,2491,52.71%,906,906
"Judge, County Criminal Court No. 12",0184,106,135,241,994,24.25%,103,103
"Judge, County Criminal Court No. 12",0185,283,292,575,1933,29.75%,246,246
"Judge, County Criminal Court No. 12",0186,97,106,203,798,25.44%,51,51
"Judge, County Criminal Court No. 12",0187,21,25,46,311,14.79%,20,20
"Judge, County Criminal Court No. 12",0188,153,146,299,1637,18.27%,158,158
"Judge, County Criminal Court No. 12",0189,239,360,599,1465,40.89%,345,345
"Judge, County Criminal Court No. 12",0190,120,177,297,1723,17.24%,146,146
"Judge, County Criminal Court No. 12",0191,79,126,205,1366,15.01%,108,108
"Judge, County Criminal Court No. 12",0192,380,225,605,1959,30.88%,65,65
"Judge, County Criminal Court No. 12",0193,173,187,360,1074,33.52%,33,33
"Judge, County Criminal Court No. 12",0194,350,431,781,1912,40.85%,305,305
"Judge, County Criminal Court No. 12",0195,269,278,547,1694,32.29%,48,48
"Judge, County Criminal Court No. 12",0196,52,32,84,316,26.58%,14,14
"Judge, County Criminal Court No. 12",0197,543,309,852,2914,29.24%,70,70
"Judge, County Criminal Court No. 12",0198,53,74,127,642,19.78%,13,13
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Robin Brown,Totals
"Judge, County Criminal Court No. 12",0199,812,661,1473,3216,45.80%,1184,1184
"Judge, County Criminal Court No. 12",0200,962,536,1498,3382,44.29%,770,770
"Judge, County Criminal Court No. 12",0201,98,87,185,724,25.55%,12,12
"Judge, County Criminal Court No. 12",0202,217,189,406,1464,27.73%,31,31
"Judge, County Criminal Court No. 12",0203,107,68,175,960,18.23%,56,56
"Judge, County Criminal Court No. 12",0204,816,784,1600,3487,45.88%,964,964
"Judge, County Criminal Court No. 12",0205,464,171,635,1664,38.16%,42,42
"Judge, County Criminal Court No. 12",0206,362,462,824,2779,29.65%,317,317
"Judge, County Criminal Court No. 12",0207,265,261,526,1188,44.28%,218,218
"Judge, County Criminal Court No. 12",0208,322,262,584,2195,26.61%,210,210
"Judge, County Criminal Court No. 12",0209,0,2,2,0,0.00%,2,2
"Judge, County Criminal Court No. 12",0210,502,467,969,2533,38.26%,185,185
"Judge, County Criminal Court No. 12",0211,307,386,693,2914,23.78%,331,331
"Judge, County Criminal Court No. 12",0212,96,155,251,1300,19.31%,78,78
"Judge, County Criminal Court No. 12",0213,826,913,1739,3350,51.91%,1397,1397
"Judge, County Criminal Court No. 12",0214,404,491,895,1854,48.27%,597,597
"Judge, County Criminal Court No. 12",0215,421,711,1132,2258,50.13%,727,727
"Judge, County Criminal Court No. 12",0216,362,223,585,1945,30.08%,70,70
"Judge, County Criminal Court No. 12",0217,844,631,1475,2678,55.08%,982,982
"Judge, County Criminal Court No. 12",0218,391,402,793,2292,34.60%,347,347
"Judge, County Criminal Court No. 12",0219,496,436,932,2767,33.68%,103,103
"Judge, County Criminal Court No. 12",0220,325,187,512,2310,22.16%,381,381
"Judge, County Criminal Court No. 12",0221,332,369,701,2529,27.72%,371,371
"Judge, County Criminal Court No. 12",0222,623,674,1297,2501,51.86%,657,657
"Judge, County Criminal Court No. 12",0223,563,377,940,3582,26.24%,369,369
"Judge, County Criminal Court No. 12",0224,530,456,986,2238,44.06%,503,503
"Judge, County Criminal Court No. 12",0225,376,405,781,3305,23.63%,450,450
