Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"GRPUD, Proposition 1",0602,166,119,285,758,37.60%,172,62,234
"GRPUD, Proposition 1",0688,48,31,79,144,54.86%,51,19,70
"GRPUD, Proposition 1",0828,167,152,319,670,47.61%,216,62,278
