Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Katherine Cabaniss,DEM Shawna L. Reagin,Totals
"District Judge, 248th Judicial District",0093,381,301,682,3356,20.32%,281,361,642
"District Judge, 248th Judicial District",0094,51,43,94,549,17.12%,29,62,91
"District Judge, 248th Judicial District",0095,917,576,1493,3177,46.99%,1063,359,1422
"District Judge, 248th Judicial District",0096,83,83,166,1296,12.81%,23,141,164
"District Judge, 248th Judicial District",0097,1024,725,1749,4828,36.23%,1307,382,1689
"District Judge, 248th Judicial District",0098,403,488,891,2651,33.61%,737,126,863
"District Judge, 248th Judicial District",0099,254,184,438,2092,20.94%,210,214,424
"District Judge, 248th Judicial District",0100,165,173,338,1730,19.54%,186,146,332
"District Judge, 248th Judicial District",0101,72,58,130,946,13.74%,47,80,127
"District Judge, 248th Judicial District",0102,207,121,328,1872,17.52%,89,226,315
"District Judge, 248th Judicial District",0103,700,714,1414,5371,26.33%,813,563,1376
"District Judge, 248th Judicial District",0104,530,231,761,1905,39.95%,20,732,752
"District Judge, 248th Judicial District",0105,196,210,406,2165,18.75%,133,240,373
"District Judge, 248th Judicial District",0106,18,7,25,294,8.50%,16,9,25
"District Judge, 248th Judicial District",0107,154,197,351,2032,17.27%,61,277,338
"District Judge, 248th Judicial District",0108,558,272,940,3365,27.93%,568,339,907
"District Judge, 248th Judicial District",0109,529,245,774,2824,27.41%,10,748,758
"District Judge, 248th Judicial District",0110,654,494,1148,3042,37.74%,745,364,1109
"District Judge, 248th Judicial District",0111,816,795,1611,4102,39.27%,1191,352,1543
"District Judge, 248th Judicial District",0112,542,485,1027,2976,34.51%,757,232,989
"District Judge, 248th Judicial District",0113,562,429,991,2647,37.44%,600,344,944
"District Judge, 248th Judicial District",0114,707,547,1254,3311,37.87%,1015,207,1222
"District Judge, 248th Judicial District",0115,238,150,388,1800,21.56%,49,330,379
"District Judge, 248th Judicial District",0116,982,776,1758,3147,55.86%,1342,313,1655
"District Judge, 248th Judicial District",0117,215,226,441,1880,23.46%,221,200,421
"District Judge, 248th Judicial District",0118,304,123,427,759,56.26%,351,62,413
"District Judge, 248th Judicial District",0119,1288,1024,2312,5500,42.04%,1880,348,2228
"District Judge, 248th Judicial District",0120,712,422,1134,3191,35.54%,740,344,1084
"District Judge, 248th Judicial District",0121,92,178,270,848,31.84%,189,69,258
"District Judge, 248th Judicial District",0122,352,225,577,1890,30.53%,19,542,561
"District Judge, 248th Judicial District",0123,284,288,572,1392,41.09%,139,396,535
"District Judge, 248th Judicial District",0124,1734,1292,3026,7254,41.71%,2402,546,2948
"District Judge, 248th Judicial District",0125,415,332,747,2405,31.06%,468,254,722
"District Judge, 248th Judicial District",0126,893,467,1360,3100,43.87%,1203,118,1321
"District Judge, 248th Judicial District",0127,435,154,589,1836,32.08%,413,142,555
"District Judge, 248th Judicial District",0128,445,707,1152,2290,50.31%,691,369,1060
"District Judge, 248th Judicial District",0129,1030,1200,2230,5746,38.81%,1375,738,2113
"District Judge, 248th Judicial District",0130,727,523,1250,2333,53.58%,913,269,1182
"District Judge, 248th Judicial District",0131,251,259,510,1935,26.36%,124,364,488
"District Judge, 248th Judicial District",0132,593,323,916,2387,38.37%,18,880,898
"District Judge, 248th Judicial District",0133,513,858,1371,2662,51.50%,774,489,1263
"District Judge, 248th Judicial District",0134,192,265,457,1437,31.80%,206,230,436
"District Judge, 248th Judicial District",0135,727,579,1305,2671,48.90%,895,343,1238
"District Judge, 248th Judicial District",0136,503,371,874,2013,43.42%,36,814,850
"District Judge, 248th Judicial District",0137,166,141,307,716,42.88%,151,132,283
"District Judge, 248th Judicial District",0138,296,199,495,1699,29.13%,15,471,486
"District Judge, 248th Judicial District",0139,699,551,1250,3037,41.16%,544,627,1171
"District Judge, 248th Judicial District",0140,699,480,1179,3214,36.68%,148,990,1138
"District Judge, 248th Judicial District",0141,80,80,160,855,18.71%,97,55,152
"District Judge, 248th Judicial District",0142,87,103,190,902,21.06%,70,110,180
"District Judge, 248th Judicial District",0143,1962,580,2542,6386,39.81%,1834,649,2483
"District Judge, 248th Judicial District",0144,216,158,374,1093,34.22%,9,356,365
"District Judge, 248th Judicial District",0145,264,213,477,1538,31.01%,9,456,465
"District Judge, 248th Judicial District",0146,426,519,945,2008,47.06%,407,483,890
"District Judge, 248th Judicial District",0147,589,329,1018,3008,33.84%,130,862,992
"District Judge, 248th Judicial District",0148,500,780,1280,2540,50.39%,480,703,1183
"District Judge, 248th Judicial District",0149,1621,737,2358,7993,29.50%,1235,1058,2293
"District Judge, 248th Judicial District",0150,236,169,405,1256,32.25%,12,387,399
"District Judge, 248th Judicial District",0151,137,79,216,826,26.15%,11,196,207
"District Judge, 248th Judicial District",0152,213,299,512,2788,18.36%,145,347,492
"District Judge, 248th Judicial District",0153,125,206,331,1808,18.31%,111,204,315
"District Judge, 248th Judicial District",0154,249,183,432,2190,19.73%,120,288,408
"District Judge, 248th Judicial District",0155,1022,619,1641,4109,39.94%,1141,442,1583
"District Judge, 248th Judicial District",0156,799,326,1125,3071,36.63%,43,1052,1095
"District Judge, 248th Judicial District",0157,448,214,662,2236,29.61%,25,618,643
"District Judge, 248th Judicial District",0158,600,315,915,3035,30.15%,23,875,898
"District Judge, 248th Judicial District",0159,116,127,243,998,24.35%,40,196,236
"District Judge, 248th Judicial District",0160,122,73,195,696,28.02%,6,186,192
"District Judge, 248th Judicial District",0161,163,141,304,991,30.68%,2,295,297
"District Judge, 248th Judicial District",0162,101,83,184,1265,14.55%,73,99,172
"District Judge, 248th Judicial District",0163,230,320,550,3037,18.11%,238,285,523
"District Judge, 248th Judicial District",0164,182,205,387,1420,27.25%,12,368,380
"District Judge, 248th Judicial District",0165,535,483,1018,2334,43.62%,671,299,970
"District Judge, 248th Judicial District",0166,158,233,391,1028,38.04%,121,250,371
"District Judge, 248th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 248th Judicial District",0168,92,58,150,503,29.82%,3,143,146
"District Judge, 248th Judicial District",0169,518,251,767,2513,30.52%,15,732,747
"District Judge, 248th Judicial District",0170,271,141,412,1869,22.04%,219,173,392
"District Judge, 248th Judicial District",0171,202,198,400,1604,24.94%,10,382,392
"District Judge, 248th Judicial District",0172,88,80,166,621,26.73%,64,89,153
"District Judge, 248th Judicial District",0173,817,739,1556,3599,43.23%,1248,254,1502
"District Judge, 248th Judicial District",0174,829,733,1562,3296,47.39%,1065,408,1473
"District Judge, 248th Judicial District",0175,557,749,1306,2618,49.89%,652,552,1204
