Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0327,380,129,509,1729,29.44%,10,483,493
"Judge, County Court at Law No. 3",0328,151,140,291,1434,20.29%,121,156,277
"Judge, County Court at Law No. 3",0329,189,184,373,1397,26.70%,138,216,354
"Judge, County Court at Law No. 3",0330,334,253,587,1936,30.32%,328,226,554
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",0332,18,7,25,138,18.12%,11,10,21
"Judge, County Court at Law No. 3",0333,524,714,1238,3021,40.98%,859,309,1168
"Judge, County Court at Law No. 3",0334,83,42,125,742,16.85%,23,98,121
"Judge, County Court at Law No. 3",0335,121,98,219,1300,16.85%,83,120,203
"Judge, County Court at Law No. 3",0336,866,624,1490,4051,36.78%,131,1322,1453
"Judge, County Court at Law No. 3",0337,124,103,227,1029,22.06%,44,170,214
"Judge, County Court at Law No. 3",0338,730,391,1121,4934,22.72%,386,657,1043
"Judge, County Court at Law No. 3",0339,202,222,424,1757,24.13%,89,307,396
"Judge, County Court at Law No. 3",0340,1038,594,1632,3765,43.35%,1221,334,1555
"Judge, County Court at Law No. 3",0341,91,167,258,1290,20.00%,81,168,249
"Judge, County Court at Law No. 3",0342,675,605,1280,6526,19.61%,217,1029,1246
"Judge, County Court at Law No. 3",0343,189,271,460,1964,23.42%,132,298,430
"Judge, County Court at Law No. 3",0344,154,172,326,1160,28.10%,12,299,311
"Judge, County Court at Law No. 3",0345,156,165,321,1804,17.79%,97,206,303
"Judge, County Court at Law No. 3",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Court at Law No. 3",0347,592,436,1028,3387,30.35%,691,306,997
"Judge, County Court at Law No. 3",0348,438,208,646,1708,37.82%,498,116,614
"Judge, County Court at Law No. 3",0349,188,267,455,1349,33.73%,281,149,430
"Judge, County Court at Law No. 3",0350,524,526,1050,2909,36.09%,402,555,957
"Judge, County Court at Law No. 3",0351,1491,710,2201,4712,46.71%,1721,394,2115
"Judge, County Court at Law No. 3",0352,520,339,859,3205,26.80%,634,195,829
"Judge, County Court at Law No. 3",0353,665,451,1116,3862,28.90%,204,877,1081
"Judge, County Court at Law No. 3",0354,715,338,1053,3388,31.08%,269,755,1024
"Judge, County Court at Law No. 3",0355,301,264,565,1560,36.22%,48,500,548
"Judge, County Court at Law No. 3",0356,594,538,1132,2972,38.09%,732,347,1079
"Judge, County Court at Law No. 3",0357,837,575,1412,3517,40.15%,1029,330,1359
"Judge, County Court at Law No. 3",0358,212,254,466,2492,18.70%,55,396,451
"Judge, County Court at Law No. 3",0359,234,224,458,3061,14.96%,65,382,447
"Judge, County Court at Law No. 3",0360,522,380,902,2146,42.03%,458,363,821
"Judge, County Court at Law No. 3",0361,41,295,336,1673,20.08%,48,246,294
"Judge, County Court at Law No. 3",0362,1138,887,2025,5086,39.82%,1483,436,1919
"Judge, County Court at Law No. 3",0363,620,412,1032,3677,28.07%,473,527,1000
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0364,488,405,893,2658,33.60%,51,7,333,850
"Judge, County Court at Law No. 3",0365,478,231,709,1305,54.33%,51,641,692
"Judge, County Court at Law No. 3",0366,252,270,522,2454,21.27%,130,378,508
"Judge, County Court at Law No. 3",0367,170,138,308,1130,27.26%,72,228,300
"Judge, County Court at Law No. 3",0368,178,88,266,958,27.77%,71,184,255
"Judge, County Court at Law No. 3",0369,32,29,61,559,10.91%,18,40,58
"Judge, County Court at Law No. 3",0370,1532,1105,2637,6593,40.00%,2003,543,2546
"Judge, County Court at Law No. 3",0371,122,52,174,502,34.66%,7,161,168
"Judge, County Court at Law No. 3",0372,221,170,391,1224,31.94%,50,326,376
"Judge, County Court at Law No. 3",0373,21,12,33,157,21.02%,3,28,31
"Judge, County Court at Law No. 3",0374,65,93,158,738,21.41%,53,98,151
"Judge, County Court at Law No. 3",0375,254,220,474,2645,17.92%,238,200,438
"Judge, County Court at Law No. 3",0376,278,205,483,1910,25.29%,216,246,462
"Judge, County Court at Law No. 3",0377,525,583,1109,2920,37.98%,815,238,1053
"Judge, County Court at Law No. 3",0378,232,354,586,1829,32.04%,367,192,559
"Judge, County Court at Law No. 3",0379,431,289,720,2027,35.52%,69,630,699
"Judge, County Court at Law No. 3",0380,1299,995,2294,5666,40.49%,1258,964,2222
"Judge, County Court at Law No. 3",0381,412,248,660,2855,23.12%,313,319,632
"Judge, County Court at Law No. 3",0382,132,157,289,922,31.34%,216,64,280
"Judge, County Court at Law No. 3",0383,289,263,552,2173,25.40%,226,305,531
"Judge, County Court at Law No. 3",0384,573,373,946,2657,35.60%,185,722,907
"Judge, County Court at Law No. 3",0385,583,670,1253,2207,56.77%,934,240,1174
"Judge, County Court at Law No. 3",0386,662,469,1131,2922,38.71%,832,253,1085
"Judge, County Court at Law No. 3",0387,555,672,1227,3935,31.18%,891,295,1186
"Judge, County Court at Law No. 3",0388,1430,1010,2440,6888,35.42%,1417,948,2365
"Judge, County Court at Law No. 3",0389,91,208,299,1026,29.14%,41,234,275
"Judge, County Court at Law No. 3",0390,356,263,619,1480,41.82%,75,521,596
"Judge, County Court at Law No. 3",0391,508,260,768,1883,40.79%,477,251,728
"Judge, County Court at Law No. 3",0392,387,155,542,1446,37.48%,7,524,531
"Judge, County Court at Law No. 3",0393,165,185,350,1292,27.09%,169,167,336
"Judge, County Court at Law No. 3",0394,69,73,142,834,17.03%,71,65,136
"Judge, County Court at Law No. 3",0395,469,404,873,1846,47.29%,627,200,827
"Judge, County Court at Law No. 3",0396,622,216,838,2082,40.25%,19,799,818
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0397,86,78,164,760,21.58%,85,74,159
"Judge, County Court at Law No. 3",0398,615,521,1136,4022,28.24%,610,491,1101
"Judge, County Court at Law No. 3",0399,402,366,768,2791,27.52%,418,322,740
"Judge, County Court at Law No. 3",0400,620,359,979,2411,40.61%,711,221,932
"Judge, County Court at Law No. 3",0401,330,205,535,1913,27.97%,18,502,520
"Judge, County Court at Law No. 3",0402,466,266,732,1794,40.80%,35,678,713
"Judge, County Court at Law No. 3",0403,475,498,973,1715,56.73%,518,359,877
"Judge, County Court at Law No. 3",0404,419,330,749,2585,28.97%,440,280,720
"Judge, County Court at Law No. 3",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",0406,137,67,204,628,32.48%,2,196,198
"Judge, County Court at Law No. 3",0407,688,793,1481,3769,39.29%,980,415,1395
"Judge, County Court at Law No. 3",0408,146,153,299,1691,17.68%,144,138,282
"Judge, County Court at Law No. 3",0409,122,149,271,1459,18.57%,111,149,260
"Judge, County Court at Law No. 3",0410,132,80,212,899,23.58%,44,157,201
"Judge, County Court at Law No. 3",0411,235,200,435,2339,18.60%,156,257,413
"Judge, County Court at Law No. 3",0412,74,44,118,468,25.21%,5,107,112
"Judge, County Court at Law No. 3",0413,767,386,1153,2992,38.54%,460,646,1106
"Judge, County Court at Law No. 3",0414,654,480,1134,3453,32.84%,878,208,1086
"Judge, County Court at Law No. 3",0415,539,598,1137,2203,51.61%,753,327,1080
"Judge, County Court at Law No. 3",0416,538,558,1096,3791,28.91%,616,440,1056
"Judge, County Court at Law No. 3",0417,353,385,738,2448,30.15%,372,332,704
"Judge, County Court at Law No. 3",0418,403,469,872,3584,24.33%,370,461,831
"Judge, County Court at Law No. 3",0419,571,324,895,2658,33.67%,598,255,853
"Judge, County Court at Law No. 3",0420,1036,874,1910,4762,40.11%,1562,271,1833
"Judge, County Court at Law No. 3",0421,36,37,73,410,17.80%,26,41,67
"Judge, County Court at Law No. 3",0422,731,402,1133,3345,33.87%,31,1080,1111
"Judge, County Court at Law No. 3",0423,108,120,228,1376,16.57%,74,144,218
"Judge, County Court at Law No. 3",0424,240,111,351,967,36.30%,210,123,333
"Judge, County Court at Law No. 3",0425,107,123,230,883,26.05%,87,131,218
"Judge, County Court at Law No. 3",0426,260,183,443,1218,36.37%,265,156,421
"Judge, County Court at Law No. 3",0427,179,134,313,1092,28.66%,137,153,290
"Judge, County Court at Law No. 3",0428,619,421,1040,4538,22.92%,334,626,960
"Judge, County Court at Law No. 3",0429,445,314,759,3197,23.74%,214,501,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0430,161,133,294,1657,17.74%,86,194,280
"Judge, County Court at Law No. 3",0431,327,84,411,3417,12.03%,150,243,393
"Judge, County Court at Law No. 3",0432,123,157,280,1455,19.24%,103,166,269
"Judge, County Court at Law No. 3",0433,50,63,113,581,19.45%,25,82,107
"Judge, County Court at Law No. 3",0434,370,289,659,1503,43.85%,413,204,617
"Judge, County Court at Law No. 3",0435,855,636,1491,3252,45.85%,957,447,1404
"Judge, County Court at Law No. 3",0436,629,531,1160,2933,39.55%,727,360,1087
"Judge, County Court at Law No. 3",0437,521,512,1033,2033,50.81%,706,255,961
"Judge, County Court at Law No. 3",0438,617,389,1006,1861,54.06%,754,202,956
"Judge, County Court at Law No. 3",0439,710,884,1594,3554,44.85%,1128,369,1497
"Judge, County Court at Law No. 3",0440,664,858,1522,2930,51.95%,1183,247,1430
"Judge, County Court at Law No. 3",0441,345,420,765,1669,45.84%,574,144,718
"Judge, County Court at Law No. 3",0442,612,574,1186,2575,46.06%,978,161,1139
"Judge, County Court at Law No. 3",0443,226,138,364,646,56.35%,253,86,339
"Judge, County Court at Law No. 3",0444,687,583,1270,3262,38.93%,798,399,1197
"Judge, County Court at Law No. 3",0445,499,348,847,2026,41.81%,570,240,810
"Judge, County Court at Law No. 3",0446,31,22,53,291,18.21%,26,25,51
"Judge, County Court at Law No. 3",0447,93,86,179,637,28.10%,49,118,167
"Judge, County Court at Law No. 3",0448,590,778,1368,3138,43.59%,760,518,1278
"Judge, County Court at Law No. 3",0449,12,23,35,198,17.68%,3,31,34
"Judge, County Court at Law No. 3",0450,435,328,763,2635,28.96%,237,495,732
"Judge, County Court at Law No. 3",0451,1002,510,1512,2687,56.27%,1213,220,1433
"Judge, County Court at Law No. 3",0452,554,444,998,3048,32.74%,742,228,970
"Judge, County Court at Law No. 3",0453,231,262,493,1937,25.45%,200,270,470
"Judge, County Court at Law No. 3",0454,594,248,842,2561,32.88%,13,808,821
"Judge, County Court at Law No. 3",0455,367,165,532,1689,31.50%,23,499,522
"Judge, County Court at Law No. 3",0456,482,362,844,3513,24.03%,499,318,817
"Judge, County Court at Law No. 3",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",0458,471,237,708,1924,36.80%,29,653,682
"Judge, County Court at Law No. 3",0459,951,474,1425,3021,47.17%,1122,247,1369
"Judge, County Court at Law No. 3",0460,554,331,885,2837,31.19%,229,630,859
"Judge, County Court at Law No. 3",0461,1165,735,1900,3871,49.08%,1280,492,1772
"Judge, County Court at Law No. 3",0462,674,619,1293,3384,38.21%,473,750,1223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0463,480,404,884,3326,26.58%,408,448,856
"Judge, County Court at Law No. 3",0464,356,430,786,2257,34.82%,562,194,756
"Judge, County Court at Law No. 3",0465,687,520,1207,3564,33.87%,673,491,1164
"Judge, County Court at Law No. 3",0466,1058,614,1672,4184,39.96%,972,639,1611
"Judge, County Court at Law No. 3",0467,213,189,402,1270,31.65%,101,292,393
"Judge, County Court at Law No. 3",0468,352,443,795,3598,22.10%,258,508,766
"Judge, County Court at Law No. 3",0469,1294,547,1841,3985,46.20%,1435,318,1753
"Judge, County Court at Law No. 3",0470,185,176,361,1326,27.22%,266,75,341
"Judge, County Court at Law No. 3",0471,375,380,755,2387,31.63%,604,130,734
"Judge, County Court at Law No. 3",0472,198,278,476,1081,44.03%,180,256,436
"Judge, County Court at Law No. 3",0473,599,391,990,1806,54.82%,684,249,933
"Judge, County Court at Law No. 3",0474,559,588,1147,3037,37.77%,796,312,1108
"Judge, County Court at Law No. 3",0475,189,267,456,1809,25.21%,221,211,432
"Judge, County Court at Law No. 3",0476,404,473,877,2430,36.09%,493,351,844
"Judge, County Court at Law No. 3",0477,737,567,1304,3505,37.20%,999,254,1253
"Judge, County Court at Law No. 3",0478,958,657,1615,4461,36.20%,1085,449,1534
"Judge, County Court at Law No. 3",0479,638,612,1250,2714,46.06%,924,270,1194
"Judge, County Court at Law No. 3",0480,493,450,943,2415,39.05%,683,219,902
"Judge, County Court at Law No. 3",0481,770,623,1393,3482,40.01%,1061,268,1329
"Judge, County Court at Law No. 3",0482,878,630,1508,4373,34.48%,1090,365,1455
"Judge, County Court at Law No. 3",0483,1042,478,1520,4308,35.28%,889,571,1460
"Judge, County Court at Law No. 3",0484,1107,930,2037,4979,40.91%,1467,497,1964
"Judge, County Court at Law No. 3",0485,1095,911,2006,5388,37.23%,1573,378,1951
"Judge, County Court at Law No. 3",0486,873,855,1728,3866,44.70%,1348,304,1652
"Judge, County Court at Law No. 3",0487,570,294,864,3860,22.38%,326,466,792
"Judge, County Court at Law No. 3",0488,268,254,522,1719,30.37%,194,289,483
"Judge, County Court at Law No. 3",0489,350,290,640,1893,33.81%,213,398,611
"Judge, County Court at Law No. 3",0490,444,368,812,1975,41.11%,294,482,776
"Judge, County Court at Law No. 3",0491,314,372,686,1888,36.33%,406,239,645
"Judge, County Court at Law No. 3",0492,556,410,966,2335,41.37%,578,339,917
"Judge, County Court at Law No. 3",0493,479,322,801,1853,43.23%,541,213,754
"Judge, County Court at Law No. 3",0494,381,247,628,2467,25.46%,75,534,609
"Judge, County Court at Law No. 3",0495,522,523,1045,2375,44.00%,753,223,976
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0496,190,315,505,2160,23.38%,201,286,487
"Judge, County Court at Law No. 3",0497,526,243,769,2257,34.07%,27,719,746
"Judge, County Court at Law No. 3",0498,363,323,686,2297,29.87%,308,358,666
"Judge, County Court at Law No. 3",0499,750,518,1268,2326,54.51%,920,272,1192
"Judge, County Court at Law No. 3",0500,729,715,1444,3507,41.17%,1003,381,1384
"Judge, County Court at Law No. 3",0501,341,417,758,1801,42.09%,272,425,697
"Judge, County Court at Law No. 3",0502,477,350,827,2501,33.07%,675,121,796
"Judge, County Court at Law No. 3",0503,174,116,290,1374,21.11%,112,157,269
"Judge, County Court at Law No. 3",0504,624,527,1151,2288,50.31%,734,347,1081
"Judge, County Court at Law No. 3",0505,531,562,1193,3773,31.62%,545,567,1112
"Judge, County Court at Law No. 3",0506,665,670,1335,3502,38.12%,241,1042,1283
"Judge, County Court at Law No. 3",0507,221,149,370,2452,15.09%,80,224,304
"Judge, County Court at Law No. 3",0508,492,412,904,3287,27.50%,351,484,835
"Judge, County Court at Law No. 3",0509,753,596,1349,3732,36.15%,957,324,1281
"Judge, County Court at Law No. 3",0510,687,514,1201,3590,33.45%,601,540,1141
"Judge, County Court at Law No. 3",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 3",0512,602,660,1262,5057,24.96%,617,610,1227
"Judge, County Court at Law No. 3",0513,1019,487,1506,2894,52.04%,1135,297,1432
"Judge, County Court at Law No. 3",0514,953,720,1673,4275,39.13%,1271,332,1603
"Judge, County Court at Law No. 3",0515,942,683,1625,3455,47.03%,1302,247,1549
"Judge, County Court at Law No. 3",0516,1000,800,1800,5356,33.61%,961,752,1713
"Judge, County Court at Law No. 3",0517,481,256,737,2954,24.95%,428,289,717
"Judge, County Court at Law No. 3",0518,635,693,1328,3943,33.68%,885,390,1275
"Judge, County Court at Law No. 3",0519,623,493,1116,2966,37.63%,835,240,1075
"Judge, County Court at Law No. 3",0520,473,457,930,4580,20.31%,169,740,909
"Judge, County Court at Law No. 3",0521,471,464,935,2866,32.62%,511,392,903
"Judge, County Court at Law No. 3",0522,715,572,1288,2689,47.90%,1010,228,1238
"Judge, County Court at Law No. 3",0523,751,415,1166,3052,38.20%,798,317,1115
"Judge, County Court at Law No. 3",0524,567,459,1026,3410,30.09%,351,640,991
"Judge, County Court at Law No. 3",0525,707,482,1189,3091,38.47%,269,863,1132
"Judge, County Court at Law No. 3",0526,68,84,152,780,19.49%,44,98,142
"Judge, County Court at Law No. 3",0527,37,40,77,574,13.41%,43,31,74
"Judge, County Court at Law No. 3",0528,14,12,26,90,28.89%,2,22,24
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0529,1043,491,1534,3710,41.35%,1322,151,1473
"Judge, County Court at Law No. 3",0530,114,107,221,1196,18.48%,56,152,208
"Judge, County Court at Law No. 3",0531,363,174,537,1145,46.90%,415,96,511
"Judge, County Court at Law No. 3",0532,205,146,351,1048,33.49%,255,84,339
"Judge, County Court at Law No. 3",0533,124,108,232,1119,20.73%,134,84,218
"Judge, County Court at Law No. 3",0534,783,524,1,307,3837,34.06%,996,249,1245
"Judge, County Court at Law No. 3",0535,33,29,62,416,14.90%,29,31,60
"Judge, County Court at Law No. 3",0536,554,780,1334,5139,25.96%,524,763,1287
"Judge, County Court at Law No. 3",0537,855,778,1633,3050,53.54%,1198,361,1559
"Judge, County Court at Law No. 3",0538,204,160,364,1303,27.94%,6,348,354
"Judge, County Court at Law No. 3",0539,15,241,256,64,400.00%,77,163,240
"Judge, County Court at Law No. 3",0540,378,316,694,1567,44.29%,261,375,636
"Judge, County Court at Law No. 3",0541,784,505,1289,4599,28.03%,190,1041,1231
"Judge, County Court at Law No. 3",0542,360,382,742,2557,29.02%,47,667,714
"Judge, County Court at Law No. 3",0543,141,213,354,1565,22.62%,113,219,332
"Judge, County Court at Law No. 3",0544,36,41,77,310,24.84%,12,58,70
"Judge, County Court at Law No. 3",0545,596,620,1216,3629,33.51%,617,551,1168
"Judge, County Court at Law No. 3",0546,2,2,4,37,10.81%,2,1,3
"Judge, County Court at Law No. 3",0547,501,466,967,2406,40.19%,688,237,925
"Judge, County Court at Law No. 3",0548,286,293,579,2215,26.14%,309,251,560
"Judge, County Court at Law No. 3",0549,343,418,761,2663,28.58%,112,631,743
"Judge, County Court at Law No. 3",0550,501,431,932,3031,30.75%,532,364,896
"Judge, County Court at Law No. 3",0551,1288,1394,2682,7034,38.13%,2033,567,2600
"Judge, County Court at Law No. 3",0552,847,883,1730,3415,50.66%,1431,242,1673
"Judge, County Court at Law No. 3",0553,578,529,1107,4686,23.62%,513,559,1072
"Judge, County Court at Law No. 3",0554,261,199,460,1757,26.18%,100,326,426
"Judge, County Court at Law No. 3",0555,225,277,502,2219,22.62%,105,374,479
"Judge, County Court at Law No. 3",0556,276,186,462,2319,19.92%,138,305,443
"Judge, County Court at Law No. 3",0557,455,183,638,2830,22.54%,265,297,562
"Judge, County Court at Law No. 3",0558,693,463,1156,4380,26.39%,419,693,1112
"Judge, County Court at Law No. 3",0559,640,494,1134,4969,22.82%,345,745,1090
"Judge, County Court at Law No. 3",0560,72,131,203,1120,18.13%,50,138,188
"Judge, County Court at Law No. 3",0561,362,436,798,3064,26.04%,480,281,761
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0562,113,68,181,694,26.08%,26,153,179
"Judge, County Court at Law No. 3",0563,1107,376,1483,3105,47.76%,1158,258,1416
"Judge, County Court at Law No. 3",0564,470,426,896,3155,28.40%,232,619,851
"Judge, County Court at Law No. 3",0565,108,78,186,1354,13.74%,43,128,171
"Judge, County Court at Law No. 3",0566,417,324,741,2882,25.71%,231,487,718
"Judge, County Court at Law No. 3",0567,301,193,494,2238,22.07%,161,292,453
"Judge, County Court at Law No. 3",0568,876,685,1561,3594,43.43%,1013,450,1463
"Judge, County Court at Law No. 3",0569,572,667,1239,3525,35.15%,644,518,1162
"Judge, County Court at Law No. 3",0570,238,210,448,1562,28.68%,154,257,411
"Judge, County Court at Law No. 3",0571,155,149,304,1827,16.64%,124,171,295
"Judge, County Court at Law No. 3",0572,555,375,930,3108,29.92%,480,405,885
"Judge, County Court at Law No. 3",0573,290,151,441,1619,27.24%,7,430,437
"Judge, County Court at Law No. 3",0574,31,42,73,402,18.16%,8,65,73
"Judge, County Court at Law No. 3",0575,13,11,24,74,32.43%,19,4,23
"Judge, County Court at Law No. 3",0576,485,318,803,2734,29.37%,23,762,785
"Judge, County Court at Law No. 3",0577,147,88,235,608,38.65%,145,80,225
"Judge, County Court at Law No. 3",0578,409,538,947,1799,52.64%,578,321,899
"Judge, County Court at Law No. 3",0579,75,101,176,1056,16.67%,35,133,168
"Judge, County Court at Law No. 3",0580,179,118,297,1031,28.81%,5,282,287
"Judge, County Court at Law No. 3",0581,212,174,386,1032,37.40%,7,365,372
"Judge, County Court at Law No. 3",0582,258,171,429,1588,27.02%,20,396,416
"Judge, County Court at Law No. 3",0583,225,131,356,1262,28.21%,12,336,348
"Judge, County Court at Law No. 3",0584,182,93,275,1014,27.12%,11,259,270
"Judge, County Court at Law No. 3",0585,417,172,589,2511,23.46%,16,562,578
"Judge, County Court at Law No. 3",0586,638,680,1318,4316,30.54%,807,460,1267
"Judge, County Court at Law No. 3",0587,436,284,720,2598,27.71%,282,415,697
"Judge, County Court at Law No. 3",0588,758,674,1432,3645,39.29%,1020,357,1377
"Judge, County Court at Law No. 3",0589,500,386,886,3420,25.91%,499,359,858
"Judge, County Court at Law No. 3",0590,772,399,1171,2162,54.16%,906,222,1128
"Judge, County Court at Law No. 3",0591,183,231,414,2121,19.52%,125,272,397
"Judge, County Court at Law No. 3",0592,133,157,290,1350,21.48%,79,197,276
"Judge, County Court at Law No. 3",0593,543,564,1107,4380,25.27%,546,508,1054
"Judge, County Court at Law No. 3",0594,561,326,887,2490,35.62%,253,604,857
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0595,201,178,379,1693,22.39%,69,300,369
"Judge, County Court at Law No. 3",0596,441,348,789,3007,26.24%,443,319,762
"Judge, County Court at Law No. 3",0597,367,394,761,3653,20.83%,332,416,748
"Judge, County Court at Law No. 3",0598,195,57,252,728,34.62%,206,39,245
"Judge, County Court at Law No. 3",0599,850,578,1428,4950,28.85%,509,871,1380
"Judge, County Court at Law No. 3",0600,667,429,1096,3957,27.70%,446,599,1045
"Judge, County Court at Law No. 3",0601,1073,756,1829,4057,45.08%,1383,380,1763
"Judge, County Court at Law No. 3",0602,293,235,525,1326,39.82%,385,126,511
"Judge, County Court at Law No. 3",0603,554,794,1678,4843,34.65%,1089,547,1636
"Judge, County Court at Law No. 3",0604,702,518,1220,3005,40.60%,1011,163,1174
"Judge, County Court at Law No. 3",0605,907,556,1463,5582,26.21%,360,1061,1421
"Judge, County Court at Law No. 3",0606,176,70,246,937,26.25%,4,238,242
"Judge, County Court at Law No. 3",0607,52,51,113,728,15.52%,13,93,106
"Judge, County Court at Law No. 3",0608,31,47,78,537,14.53%,47,26,73
"Judge, County Court at Law No. 3",0609,557,680,1347,3384,39.80%,836,438,1274
"Judge, County Court at Law No. 3",0610,231,188,419,1927,21.74%,216,170,386
"Judge, County Court at Law No. 3",0611,495,242,737,2488,29.62%,26,699,725
"Judge, County Court at Law No. 3",0612,996,497,1493,3307,45.15%,1122,290,1412
"Judge, County Court at Law No. 3",0613,186,204,390,1554,25.10%,67,311,378
"Judge, County Court at Law No. 3",0614,737,566,1303,4207,30.97%,504,750,1254
"Judge, County Court at Law No. 3",0615,450,299,779,1967,39.60%,495,259,754
"Judge, County Court at Law No. 3",0616,739,663,1402,3436,40.80%,985,364,1349
"Judge, County Court at Law No. 3",0617,541,393,934,3809,24.52%,394,515,909
"Judge, County Court at Law No. 3",0618,946,567,1513,6003,25.20%,773,690,1463
"Judge, County Court at Law No. 3",0619,1219,803,2022,4297,47.06%,1506,418,1924
"Judge, County Court at Law No. 3",0620,589,264,953,2897,32.90%,593,313,906
"Judge, County Court at Law No. 3",0621,154,101,255,1133,22.51%,135,105,240
"Judge, County Court at Law No. 3",0622,881,524,1405,4403,31.91,%,872,481,1353
"Judge, County Court at Law No. 3",0623,887,487,1374,3691,37.23%,933,377,1310
"Judge, County Court at Law No. 3",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Court at Law No. 3",0625,477,362,839,1820,46.10%,474,309,783
"Judge, County Court at Law No. 3",0626,551,440,1021,2861,35.69%,573,394,967
"Judge, County Court at Law No. 3",0627,345,322,668,3049,21.91%,251,387,638
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0628,152,219,371,1675,22.15%,202,159,361
"Judge, County Court at Law No. 3",0629,37,53,90,696,12.93%,15,74,89
"Judge, County Court at Law No. 3",0630,974,600,1574,3905,40.31%,121,1405,1526
"Judge, County Court at Law No. 3",0631,822,404,1226,2846,43.08%,896,284,1180
"Judge, County Court at Law No. 3",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Court at Law No. 3",0633,943,731,1674,3559,47.04%,1196,412,1608
"Judge, County Court at Law No. 3",0634,458,442,900,3029,29.71%,603,266,869
"Judge, County Court at Law No. 3",0635,743,485,1228,3393,36.19%,935,257,1192
"Judge, County Court at Law No. 3",0636,835,874,1710,4140,41.30%,1490,168,1658
"Judge, County Court at Law No. 3",0637,409,362,771,2512,30.69%,182,536,718
"Judge, County Court at Law No. 3",0638,304,245,549,2204,24.91%,41,484,525
"Judge, County Court at Law No. 3",0639,549,547,1096,2526,43.39%,884,164,1048
"Judge, County Court at Law No. 3",0640,641,459,1100,3733,29.47%,703,359,1062
"Judge, County Court at Law No. 3",0641,649,596,1245,3650,34.11%,840,360,1200
"Judge, County Court at Law No. 3",0642,471,394,865,1764,49.04%,697,125,822
"Judge, County Court at Law No. 3",0643,934,653,1587,5945,26.69%,634,903,1537
"Judge, County Court at Law No. 3",0644,1019,823,1842,5523,33.35%,1233,530,1763
"Judge, County Court at Law No. 3",0645,654,594,1248,4185,29.82%,676,517,1193
"Judge, County Court at Law No. 3",0646,364,287,651,2220,29.32%,211,400,611
"Judge, County Court at Law No. 3",0647,904,470,1374,6084,22.58%,402,860,1262
"Judge, County Court at Law No. 3",0648,838,579,1417,3367,42.08%,1027,341,1368
"Judge, County Court at Law No. 3",0649,687,434,1121,4576,24.50%,362,684,1046
"Judge, County Court at Law No. 3",0650,906,766,1672,3888,43.00%,1216,381,1597
"Judge, County Court at Law No. 3",0651,963,766,1729,5128,33.72%,1127,526,1653
"Judge, County Court at Law No. 3",0652,467,515,982,2815,34.88%,179,769,948
"Judge, County Court at Law No. 3",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Court at Law No. 3",0654,950,1005,1955,6208,31.49%,1091,791,1882
