Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0075,254,280,534,1444,36.98%,203,296,499
"Judge, County Court at Law No. 3",0076,373,374,747,2362,31.63%,427,288,715
"Judge, County Court at Law No. 3",0077,43,46,89,566,15.72%,22,63,85
"Judge, County Court at Law No. 3",0078,180,201,381,1522,25.03%,132,229,361
"Judge, County Court at Law No. 3",0079,205,306,511,2927,17.46%,125,348,473
"Judge, County Court at Law No. 3",0080,501,351,852,2725,31.27%,219,589,808
"Judge, County Court at Law No. 3",0081,183,187,370,1835,20.16%,143,204,347
"Judge, County Court at Law No. 3",0082,639,671,1310,3368,38.90%,987,285,1272
"Judge, County Court at Law No. 3",0083,1296,888,2184,6625,32.97%,1070,1034,2104
"Judge, County Court at Law No. 3",0084,208,218,426,1373,31.03%,312,96,408
"Judge, County Court at Law No. 3",0085,271,248,519,2173,23.88%,24,478,502
"Judge, County Court at Law No. 3",0086,447,568,1015,2910,34.88%,449,509,958
"Judge, County Court at Law No. 3",0087,574,787,1461,2818,51.85%,884,462,1346
"Judge, County Court at Law No. 3",0088,123,118,241,693,34.78%,155,73,228
"Judge, County Court at Law No. 3",0089,165,371,536,1094,48.99%,281,210,491
"Judge, County Court at Law No. 3",0090,844,790,1634,3700,44.16%,1171,386,1557
"Judge, County Court at Law No. 3",0091,219,222,441,1505,29.30%,266,156,422
"Judge, County Court at Law No. 3",0092,695,462,1157,2242,51.61%,753,324,1077
"Judge, County Court at Law No. 3",0093,381,301,682,3356,20.32%,274,365,639
"Judge, County Court at Law No. 3",0094,51,43,94,549,17.12%,27,64,91
"Judge, County Court at Law No. 3",0095,917,576,1493,3177,46.99%,1073,354,1427
"Judge, County Court at Law No. 3",0096,83,83,166,1296,12.81%,24,139,163
"Judge, County Court at Law No. 3",0097,1024,725,1749,4828,36.23%,1305,387,1692
"Judge, County Court at Law No. 3",0098,403,488,891,2651,33.61%,741,122,863
"Judge, County Court at Law No. 3",0099,254,184,438,2092,20.94%,211,214,425
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0100,185,173,338,1730,19.54%,178,153,331
"Judge, County Court at Law No. 3",0101,72,58,130,948,13.74%,48,79,127
"Judge, County Court at Law No. 3",0102,207,121,328,1872,17.52%,89,227,318
"Judge, County Court at Law No. 3",0103,700,714,1414,5371,28.33%,805,588,1371
"Judge, County Court at Law No. 3",0104,530,231,781,1905,39.95%,17,728,745
"Judge, County Court at Law No. 3",0105,198,210,408,2185,18.75%,130,242,372
"Judge, County Court at Law No. 3",0108,18,7,25,294,8.50%,15,9,24
"Judge, County Court at Law No. 3",0107,154,197,351,2032,17.27%,54,280,334
"Judge, County Court at Law No. 3",0108,558,272,940,3385,27.93%,589,339,908
"Judge, County Court at Law No. 3",0109,529,245,774,2824,27.41%,10,745,755
"Judge, County Court at Law No. 3",0110,854,494,1148,3042,37.74%,743,385,1108
"Judge, County Court at Law No. 3",0111,818,795,1811,4102,39.27%,1187,351,1538
"Judge, County Court at Law No. 3",0112,542,485,1027,2978,34.51%,755,229,984
"Judge, County Court at Law No. 3",0113,582,429,991,2847,37.44%,597,344,941
"Judge, County Court at Law No. 3",0114,707,547,1254,3311,37.87%,1014,205,1219
"Judge, County Court at Law No. 3",0115,238,150,388,1800,21.58%,49,329,378
"Judge, County Court at Law No. 3",0118,982,778,1758,3147,55.88%,1325,330,1855
"Judge, County Court at Law No. 3",0117,215,228,441,1880,23.48%,224,192,418
"Judge, County Court at Law No. 3",0118,304,123,427,759,58.28%,353,58,411
"Judge, County Court at Law No. 3",0119,1288,1024,2312,5500,42.04%,1877,345,2222
"Judge, County Court at Law No. 3",0120,712,422,1134,3191,35.54%,738,348,1088
"Judge, County Court at Law No. 3",0121,92,178,270,848,31.84%,192,88,258
"Judge, County Court at Law No. 3",0122,352,225,577,1890,30.53%,20,533,553
"Judge, County Court at Law No. 3",0123,284,288,572,1392,41.09%,143,390,533
"Judge, County Court at Law No. 3",0124,1734,1292,3028,7254,41.71%,2410,538,2948
"Judge, County Court at Law No. 3",0125,415,332,747,2405,31.08%,458,282,720
"Judge, County Court at Law No. 3",0128,893,487,1380,3100,43.87%,1201,121,1322
"Judge, County Court at Law No. 3",0127,435,154,589,1838,32.08%,415,137,552
"Judge, County Court at Law No. 3",0128,445,707,1152,2290,50.31%,888,381,1047
"Judge, County Court at Law No. 3",0129,1030,1200,2230,5748,38.81%,1373,739,2112
"Judge, County Court at Law No. 3",0130,727,523,1250,2333,53.58%,921,287,1188
"Judge, County Court at Law No. 3",0131,251,259,510,1935,28.38%,129,357,488
"Judge, County Court at Law No. 3",0132,593,323,918,2387,38.37%,19,874,893
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0133,513,858,1371,2662,51.50%,775,485,1260
"Judge, County Court at Law No. 3",0134,192,265,457,1437,31.80%,205,227,432
"Judge, County Court at Law No. 3",0135,727,579,1305,2671,48.90%,862,356,1218
"Judge, County Court at Law No. 3",0136,503,371,874,2013,43.42%,27,820,847
"Judge, County Court at Law No. 3",0137,166,141,307,716,42.88%,147,132,279
"Judge, County Court at Law No. 3",0138,296,199,495,1699,29.13%,15,469,484
"Judge, County Court at Law No. 3",0139,699,551,1250,3037,41.16%,530,643,1173
"Judge, County Court at Law No. 3",0140,699,480,1179,3214,36.68%,136,998,1134
"Judge, County Court at Law No. 3",0141,80,80,160,855,18.71%,96,56,152
"Judge, County Court at Law No. 3",0142,87,103,190,902,21.06%,59,121,180
"Judge, County Court at Law No. 3",0143,1962,580,2542,6386,39.81%,1827,649,2476
"Judge, County Court at Law No. 3",0144,216,158,374,1093,34.22%,9,357,366
"Judge, County Court at Law No. 3",0145,264,213,477,1538,31.01%,10,452,462
"Judge, County Court at Law No. 3",0146,426,519,945,2008,47.06%,404,485,889
"Judge, County Court at Law No. 3",0147,589,329,1018,3008,33.84%,134,857,991
"Judge, County Court at Law No. 3",0148,500,780,1280,2540,50.39%,465,701,1166
"Judge, County Court at Law No. 3",0149,1621,737,2358,7993,29.50%,1236,1064,2300
"Judge, County Court at Law No. 3",0150,236,169,405,1256,32.25%,11,386,397
"Judge, County Court at Law No. 3",0151,137,79,216,826,26.15%,11,197,208
"Judge, County Court at Law No. 3",0152,213,299,512,2788,18.36%,131,359,490
"Judge, County Court at Law No. 3",0153,125,206,331,1808,18.31%,104,214,318
"Judge, County Court at Law No. 3",0154,249,183,432,2190,19.73%,109,297,406
"Judge, County Court at Law No. 3",0155,1022,619,1641,4109,39.94%,1142,442,1584
"Judge, County Court at Law No. 3",0156,799,326,1125,3071,36.63%,39,1053,1092
"Judge, County Court at Law No. 3",0157,448,214,662,2236,29.61%,22,620,642
"Judge, County Court at Law No. 3",0158,600,315,915,3035,30.15%,21,868,889
"Judge, County Court at Law No. 3",0159,116,127,243,998,24.35%,38,197,235
"Judge, County Court at Law No. 3",0160,122,73,195,696,28.02%,6,185,191
"Judge, County Court at Law No. 3",0161,163,141,304,991,30.68%,5,290,295
"Judge, County Court at Law No. 3",0162,101,83,184,1265,14.55%,70,100,170
"Judge, County Court at Law No. 3",0163,230,320,550,3037,18.11%,238,284,522
"Judge, County Court at Law No. 3",0164,182,205,387,1420,27.25%,12,367,379
"Judge, County Court at Law No. 3",0165,535,483,1018,2334,43.62%,679,293,972
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0166,158,233,391,1028,38.04%,119,253,372
"Judge, County Court at Law No. 3",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Court at Law No. 3",0168,92,58,150,503,29.82%,3,142,145
"Judge, County Court at Law No. 3",0169,518,251,767,2513,30.52%,18,727,745
"Judge, County Court at Law No. 3",0170,271,141,412,1869,22.04%,213,178,391
"Judge, County Court at Law No. 3",0171,202,198,400,1604,24.94%,11,379,390
"Judge, County Court at Law No. 3",0172,88,80,166,621,26.73%,64,90,154
"Judge, County Court at Law No. 3",0173,817,739,1556,3599,43.23%,1250,256,1506
"Judge, County Court at Law No. 3",0174,829,733,1562,3296,47.39%,1050,423,1473
"Judge, County Court at Law No. 3",0175,557,749,1306,2618,49.89%,643,555,1198
"Judge, County Court at Law No. 3",0176,344,451,795,1602,49.63%,398,325,723
"Judge, County Court at Law No. 3",0177,278,326,604,1496,40.37%,338,231,569
"Judge, County Court at Law No. 3",0178,504,365,869,1765,49.24%,571,230,801
"Judge, County Court at Law No. 3",0179,256,188,444,1575,28.19%,239,181,420
"Judge, County Court at Law No. 3",0180,470,343,813,2834,28.69%,21,753,774
"Judge, County Court at Law No. 3",0181,175,262,437,2061,21.20%,139,276,415
"Judge, County Court at Law No. 3",0182,590,974,1564,3405,45.93%,918,506,1424
"Judge, County Court at Law No. 3",0183,519,794,1313,2491,52.71%,841,378,1219
"Judge, County Court at Law No. 3",0184,106,135,241,994,24.25%,82,137,219
"Judge, County Court at Law No. 3",0185,283,292,575,1933,29.75%,203,347,550
"Judge, County Court at Law No. 3",0186,97,106,203,798,25.44%,30,165,195
"Judge, County Court at Law No. 3",0187,21,25,46,311,14.79%,14,31,45
"Judge, County Court at Law No. 3",0188,153,146,299,1637,18.27%,142,144,286
"Judge, County Court at Law No. 3",0189,239,360,599,1465,40.89%,307,241,548
"Judge, County Court at Law No. 3",0190,120,177,297,1723,17.24%,125,162,287
"Judge, County Court at Law No. 3",0191,79,126,205,1366,15.01%,85,110,195
"Judge, County Court at Law No. 3",0192,380,225,605,1959,30.88%,28,558,586
"Judge, County Court at Law No. 3",0193,173,187,360,1074,33.52%,9,337,346
"Judge, County Court at Law No. 3",0194,350,431,781,1912,40.85%,238,500,738
"Judge, County Court at Law No. 3",0195,269,278,547,1694,32.29%,21,509,530
"Judge, County Court at Law No. 3",0196,52,32,84,316,26.58%,4,76,80
"Judge, County Court at Law No. 3",0197,543,309,852,2914,29.24%,14,817,831
"Judge, County Court at Law No. 3",0198,53,74,127,642,19.78%,2,123,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Linda Storey,DEM Gloria Cantu Minnick,Totals
"Judge, County Court at Law No. 3",0199,812,661,1473,3216,45.80%,1149,258,1407
"Judge, County Court at Law No. 3",0200,962,536,1498,3382,44.29%,657,729,1386
"Judge, County Court at Law No. 3",0201,98,87,185,724,25.55%,1,179,180
"Judge, County Court at Law No. 3",0202,217,189,406,1464,27.73%,13,382,395
"Judge, County Court at Law No. 3",0203,107,68,175,960,18.23%,42,124,166
"Judge, County Court at Law No. 3",0204,816,784,1600,3487,45.88%,876,604,1480
"Judge, County Court at Law No. 3",0205,464,171,635,1664,38.16%,12,611,623
